,Les Précieuses Ridicules1,Les Véritables Précieuses2,Cost,Operation Type
232,"('#mascarille', ""C'est ce qui fait que je veux pendre l'épée au croc. "")",,1.0,Insertion
233,"('#cathos', ""Pour moi j'ai un furieux tendre pour les hommes d'épée. "")",,1.0,Insertion
234,"('#magdelon', ""Je les aime aussi : mais je veux que l'esprit assaisonne la bravoure. "")","('#le-poete', ""Il est tout vrai que si l'hôtel de Bourgogne eût joué cette pièce, elle eût extrêmement réussi ; car c'est un merveilleux assaisonnement à une pièce que les bons comédiens, et tels malgré toute la fortune de leur nom, tels malgré la force de leur brigue ne réussiraient pas comme ils font, si l'on jouait leurs pièces à Bourbon."")",1.32,Substitution
235,"('#mascarille', ""Te souvient-il, Vicomte, de cette demi-lune, que nous emportâmes sur les ennemis au Siège d'Arras ? "")",,1.0,Insertion
236,"('#jodelet', ""Que veux-tu dire avec ta demi-lune ?  C'était bien une lune toute entière. "")",,1.0,Insertion
237,"('#mascarille', 'Je pense que tu as raison. ')",,1.0,Insertion
238,"('#jodelet', ""Il m'en doit bien souvenir, ma foi : j'y fus blessé à la jambe d'un coup de grenade, dont je porte encore les marques.  Tâtez un peu, de grâce, vous sentirez quelque coup, c'était là. "")",,1.0,Insertion
239,"('#cathos', 'Il est vrai, que la cicatrice est grande. ')",,1.0,Insertion
240,"('#mascarille', 'Donnez-moi un peu votre main, et tâtez celui-ci : là, justement au derrière de la tête : y êtes-vous ? ')","('#artemise', 'Quoi !  Monsieur, il ne brigue donc point du tout.')",1.5,Substitution
241,"('#magdelon', 'Oui : je sens quelque chose. ')",,1.0,Insertion
242,"('#mascarille', ""C'est un coup de mousquet que je reçus la dernière campagne, que j'ai faite. "")",,1.0,Insertion
243,"('#jodelet', ""Voici un autre coup qui me perça de part en part à l'attaque de Gravelines. "")",,1.0,Insertion
244,"('#mascarille', 'Je vais vous montrer une furieuse plaie. ')",,1.0,Insertion
245,"('#magdelon', ""Il n'est pas nécessaire, nous le croyons sans y regarder. "")","('#le-poete', ""Point du tout, et il n'a jamais lu sa pièce qu'à deux de ses amis !  Encore les y a-t-il fait entrer pour rien."")",1.61,Substitution
246,"('#mascarille', ""Ce sont des marques honorables, qui font voir ce qu'on est. "")","('#le-baron', ""Mais, Monsieur, c'est assez parler des autres, et je crois que ces Dames sont dans une furieuse impatience d'entendre la lecture de vos pièces, et qu'elles sont déjà assez persuadées de votre mérite, pour vous promettre avec moi-même sans les entendre, d'y applaudir de la belle manière, quand on les représentera."")",1.3,Substitution
247,"('#cathos', 'Nous ne doutons point de ce que vous êtes. ')","('#iscarie', 'Sans doute.')",0.88,Substitution
248,,"('#le-poete', ""Je vous dirai donc pour entrer d'abord en matière que j'ai fait deux pièces de style différent, car l'une est une Tragédie nommée, La Mort de LUSSE-TU-CRU."")",1.0,Deletion
249,"('#mascarille', 'Vicomte, as-tu là ton carrosse ? ')",,1.0,Insertion
250,"('#jodelet', 'Pourquoi ? ')","('#artemise', 'Le sujet est bien du temps.')",1.19,Substitution
251,,"('#iscarie', ""Mais quelle en est la catastrophe, car c'est là la pierre d'achoppement des Tragédies."")",1.0,Deletion
252,"('#mascarille', 'Nous mènerions promener ces Dames hors des portes, et leur donnerions un cadeau. ')","('#le-poete', 'Je le fais lapider par les femmes.')",1.19,Substitution
253,"('#magdelon', ""Nous ne saurions sortir aujourd'hui. "")",,1.0,Insertion
254,"('#mascarille', 'Ayons donc les violons pour danser. ')",,1.0,Insertion
255,"('#jodelet', ""Ma foi c'est bien avisé. "")",,1.0,Insertion
256,"('#magdelon', 'Pour cela, nous y consentons ; mais il faut donc quelque surcroît de compagnie. ')",,1.0,Insertion
257,"('#mascarille', ""Holà Champagne, Picard, Bourguignon, Casquaret, Basque, la Verdure, Lorrain, Provençal, la Violette !  Au diable soient tous les laquais !  Je ne pense pas qu'il y ait gentilhomme, en France, plus mal servi, que moi.  Ces canailles me laissent toujours seul. "")",,1.0,Insertion
258,"('#magdelon', ""Almanzor, dites aux gens de Monsieur, qu'ils aillent quérir des violons, et nous faites venir ces Messieurs, et ces Dames d'ici près, pour peupler la solitude de notre bal. "")","('#le-baron', ""Ah !  Mesdames qu'il a bien rencontré, qu'elle est bien imaginée !  Qu'il s'est bien dévulgarisé !  Ah !  Que cela me met dans la dernière démangeaison de savoir le nom de votre Comédie."")",0.94,Substitution
259,"('#mascarille', 'Vicomte, que dis-tu de ces yeux ? ')",,1.0,Insertion
260,"('#jodelet', ""Mais toi-même, Marquis, que t'en semble ? "")",,1.0,Insertion
261,"('#mascarille', ""Moi, je dis, que nos libertés auront peine à sortir d'ici, les braies nettes.  Au moins, pour moi, je reçois d'étranges secousses, et mon coeur ne tient plus qu'à un filet. "")","('#le-poete', ""Je l'intitule, Les Noces de Pantagruel."")",1.98,Substitution
262,"('#magdelon', ""Que tout ce qu'il dit est naturel !  Il tourne les choses le plus agréablement du monde. "")",,1.0,Insertion
263,"('#cathos', ""Il est vrai qu'il fait une furieuse dépense en esprit. "")","('#le-baron', ""Il ne s'est point démenti, ce titre est incomparable."")",1.41,Substitution
264,"('#mascarille', 'Pour vous montrer, que je suis véritable, je veux faire un impromptu là-dessus. ')","('#isabelle', 'Cela stupéficie mon âme.')",1.05,Substitution
265,"('#cathos', ""Eh je vous en conjure de toute la dévotion de mon coeur.  Que nous ayons quelque chose qu'on ait fait pour nous. "")","('#artemise', ""Pour moi, cela m'enlève jusqu'au troisième ciel."")",1.67,Substitution
266,"('#jodelet', ""J'aurais envie d'en faire autant : mais je me trouve un peu incommodé de la veine poétique, pour la quantité des saignées que j'y ai faites ces jours passés. "")","('#le-poete', ""Jamais l'hydre fécond en mille et mille têtes,  N'excita tant de bruit ni de telles tempêtes. Que cause de douleurs en moi Lusse-tu-cru,  La femme acariâtre, et gueuse de vertu,  Par sa langue maudite et toujours empestée,  À me persécuter on la voit à heurtée,  Je l'ai voulu changer, mais, Ô ! Grands Dieux, hélas ! Bien loin d'en retirer profit, lot, ou soullas,  La mauvaise me suit de taverne en taverne,  Me frappe, m'injurie, [m']égratigne et me berne,  J'en ai partout la fièvre, et je ne sais pas où,  Pour pouvoir me fourrer je puis trouver un trou. Je m'en vais donc commencer. LA MORT DE LUSSE-TU-CRU LAPIDÉ PAR LES FEMMES. TRAGÉDIE. ACTE I. SCÈNE PREMIÈRE.  LUSSE-TU-CRU, seul ouvre le Théâtre. LUSSE-TU-CRU."")",0.61,Substitution
267,"('#mascarille', ""Que diable est cela ?  Je fais toujours bien le premier vers ; mais j'ai peine à faire les autres.  Ma foi, ceci est un peu trop pressé : je vous ferai un impromptu à loisir, que vous trouverez le plus beau du monde. "")","('#le-baron', 'Ah !  Monsieur, arrêtez et donnez-nous le loisir de nous extasier sur la magnificence de vos signifiantes expressions.')",0.74,Substitution
268,,"('#iscarie', 'Il faut avouer que ces vers tonnent délicatement bien.')",1.0,Deletion
269,"('#jodelet', ""Il a de l'esprit comme un démon. "")",,1.0,Insertion
270,"('#magdelon', 'Et du galant, et du bien tourné. ')","('#le-poete', 'Ils parlent un peu contre le sexe, mais dans mon Pantagruel, je le justifie comme il faut.')",0.82,Substitution
271,"('#mascarille', ""Vicomte dis-moi un peu, y a-t-il longtemps, que tu n'as vu la Comtesse ? "")",,1.0,Insertion
272,"('#jodelet', 'Il y a plus de trois semaines que je ne lui ai rendu visite. ')",,1.0,Insertion
273,"('#mascarille', ""Sais-tu bien que le Duc m'est venu voir, ce matin, et m'a voulu mener à la campagne, courir un cerf, avec lui."")",,1.0,Insertion
274,"('#magdelon', 'Voici nos amies qui viennent. ')",,1.0,Insertion
275,"('#magdelon', 'Mon_Dieu, mes chères, nous vous demandons pardon.  Ces Messieurs ont eu fantaisie de nous donner les âmes des pieds, et nous vous avons envoyé quérir pour remplir les vides de notre assemblée. ')","('#artemise', ""Ah !  Que j'ai d'empressement d'ouïr ce qui fait pour nous."")",1.2,Substitution
276,"('#lucile', 'Vous nous avez obligées, sans doute. ')","('#le-baron', 'Je crois que vous avez raison ; car aussi bien il faut avoir plus de temps pour lire une pièce sérieuse.')",1.77,Substitution
277,"('#mascarille', ""Ce n'est ici qu'un bal à la hâte ; mais l'un de ces jours nous vous en donnerons un dans les formes.  Les violons sont-ils venus ? "")","('#le-poete', 'Où sont les violons ? As-tu vu Dulcinée,  Pour qui mon âme est, fut et sera calcinée. Hé bien !  Je commence sans façonner.  Pantagruel entre avec un confident et dit :')",0.7,Substitution
278,"('#almanzor', 'Oui, Monsieur, ils sont ici. ')",,1.0,Insertion
279,"('#cathos', 'Allons donc, mes chères, prenez place. ')",,1.0,Insertion
280,"('#mascarille', 'La, la, la, la, la, la, la, la. ')","('#le-baron', 'Calcinée, que ce mot est emphatique. ')",1.69,Substitution
281,"('#magdelon', 'Il a tout à fait la taille élégante. ')",,1.0,Insertion
282,"('#cathos', 'Et a la mine de danser proprement. ')",,1.0,Insertion
283,"('#mascarille', ""Ma franchise va danser la courante aussi bien que mes pieds.  En cadence, Violons, en cadence.  Ô quels ignorants !  Il n'y a pas moyen de danser avec eux.  Le diable vous emporte, ne sauriez-vous jouer en mesure ?  La, la, la, la, la, la, la, la.  Ferme, ô violons de village. "")","('#le-poete', ""Les violons sont prêts, et vous allez dans peu  Oeillader comme il faut l'objet de votre feu. Ah ! Que de tourbillons excitent dans mon âme  La bouillonnante ardeur de ma flottante flamme. Ah ! Je sens que l'amour, ce frétillant nabot,  Drisle dedans mon coeur, comme des pois en pot,  Il virvolte, il se tourne, il y fait la patrouille,  Sautille comme en l'eau ferait une grenouille,  Il reymbe, il s'étend comme un cheval fougueux,  Qui prend le mors aux dents, et bondit furieux,  Il va, monte, et descend dans la chambre et le bouge,  Il furte tous les coins, et si jamais ne bouge. LE CONFIDENT. PANTAGRUEL."")",0.45,Substitution
284,"('#jodelet', 'Holà, ne pressez pas si fort la cadence, je ne fais que sortir de maladie. ')",,1.0,Insertion
285,"('#la-grange', 'Ah, ah, coquins, que faites-vous ici ?  Il y a trois heures que nous vous cherchons. ')","('#iscarie', 'Ah !  Laissez-moi admirer ces similitudes !  Je trouve ces vers-là tout à fait épais.')",1.39,Substitution
286,"('#mascarille', ""Ahy, ahy, ahy, vous ne m'aviez pas dit que les coups en seraient aussi. "")","('#le-poete', ""Hé de grâce !  Ne m'interrompez point !  Ces sortes de choses veulent de larges poumons, et pour les faire paraître, il ne faut pas s'arrêter au milieu."")",1.44,Substitution
287,"('#jodelet', 'Ahy, ahy, ahy ! ')","('#artemise', 'Ah !  Vous les lisez à pleine bouche.')",1.07,Substitution
288,"('#la-grange', ""C'est bien à vous, infâme que vous êtes, à vouloir faire l'homme d'importance. "")",,1.0,Insertion
289,"('#du-croisy', 'Voilà qui vous apprendra à vous connaître.  Il sortent.')","('#le-poete', ""Sans mon écoulement de nez je les aurais lu d'un ton bien plus fortifié."")",1.47,Substitution
290,"('#magdelon', 'Que veut donc dire ceci ? ')","('#flanquin', 'Elles donnent dans le panneau.')",1.56,Substitution
291,,"('#isabelle', 'Madame, voilà Monsieur de Gréval qui vient.')",1.0,Deletion
292,"('#jodelet', ""C'est une gageure. "")","('#iscarie', 'Il peut entrer.')",1.73,Substitution
293,"('#cathos', 'Quoi vous laisser battre de la sorte ! ')","('#le-poete', ""Ah !  Qu'il vient mal à propos empêcher mon Apologie d'éclater : car j'en suis à cet endroit."")",1.44,Substitution
294,"('#mascarille', ""Mon_Dieu, je n'ai pas voulu faire semblant de rien : car je suis violent, et je me serais emporté. "")","('#iscarie', ""Monsieur, vous pouvez poursuivre, bien que ce soit un bourgeois, il n'est point façonnier, et ce n'est point un esprit de Marguillier."")",1.79,Substitution
295,"('#magdelon', 'Endurer un affront, comme celui-là, en notre présence ! ')","('#artemise', ""C'est une âme du premier ordre."")",1.68,Substitution
296,"('#mascarille', ""Ce n'est rien, ne laissons pas d'achever.  Nous nous connaissons il y a longtemps, et entre amis on ne va pas se piquer, pour si peu de chose. "")","('#flanquin', ""Je n'oublierai pas ceux-ci."")",1.74,Substitution
297,"('#la-grange', 'Ma foi, marauds, vous ne vous rirez pas de nous, je vous promets.  Entrez, vous autres. ')","('#iscarie', 'Ne vous éloignez pas de la portée de ma voix.')",1.2,Substitution
298,"('#magdelon', 'Quelle est donc cette audace, de venir nous troubler de la sorte, dans notre maison ? ')","('#greval', 'Mesdames que faites-vous donc de cet honnête homme ici ?')",1.1,Substitution
299,"('#du-croisy', ""Comment, Mesdames, nous endurerons que nos laquais soient mieux reçus que nous ?  Qu'ils viennent vous faire l'amour à nos dépens, et vous donnent le bal ? "")","('#le-poete', 'Tout est gâté.')",1.91,Substitution
300,,"('#flanquin', 'La mèche est découverte.')",1.0,Deletion
301,,"('#iscarie', ""C'est un grand poète, que Monsieur nous a amené, et qui nous a charmé des beaux vers qu'il nous a récités."")",1.0,Deletion
302,"('#magdelon', 'Vos laquais !')",,1.0,Insertion
303,"('#la-grange', ""Oui, nos laquais, et cela n'est ni beau, ni honnête, de nous les débaucher, comme vous faites. "")","('#greval', ""Vous voulez m'en donner !  C'est le valet de feu Monsieur Durier, je l'ai vu cent fois chez lui."")",1.24,Substitution
304,"('#magdelon', 'Ô Ciel, quelle insolence ! ')",,1.0,Insertion
305,"('#la-grange', ""Mais ils n'auront pas l'avantage de se servir de nos habits, pour vous donner dans la vue, et si vous les voulez aimer, ce sera, ma foi, pour leurs beaux yeux, vite, qu'on les dépouille sur-le-champ. "")","('#le-poete', ""Ma foi, puisque vous me connaissez si bien, je vais vous dire la vérité de la chose.  Mon maître étant mort, je me trouvai fort embarrassé de ma personne parce que je me trouvais fort gueux, et que je n'avais gagné à son service que la méthode de faire des vers cocy cocy.  Le sieur de la Force, dit Gille le Niais, voyant que je ne savais où donner de la tête, et que je lui pouvais être utile dans sa troupe, me pria d'y entrer : j'y résistai d'abord, ne voulant point passer pour un Farceur, mais il me représenta que toutes les personnes les plus illustres de Paris, allaient tous les jours voir la farce au Petit-Bourbon, et me persuada si bien que les siennes étaient aussi honnêtes que plusieurs de celles que Mascarille a faites, que je me laissai vaincre, et que j'entrai dans sa troupe.  Quelque temps après voyant que Bourbon nous ôtait tous nos chalands, il fit dessein de jouer dans un lieu fermé, de me faire composer quelques Comédies, de mettre de bonnes Farces au bout, et d'y prendre de l'argent de même que les autres, et comme il savait que le succès de ces Pièces ne dépendait pas tant de leur bonté, que de la brigue de leurs Auteurs, il a trouvé le moyen de m'introduire dans les Compagnies, et il y a déjà plus de deux cents personnes qui sont infatuées de mes pièces."")",0.74,Substitution
306,"('#jodelet', 'Adieu notre braverie. ')",,1.0,Insertion
307,"('#mascarille', 'Voilà le Marquisat et la Vicomté à bas. ')",,1.0,Insertion
308,"('#du-croisy', ""Ha ha, coquins, vous avez l'audace d'aller sur nos brisées.  Vous irez chercher autre part de quoi vous rendre agréables aux yeux de vos belles, je vous en assure. "")","('#iscarie', ""Et quoi, Monsieur !  Souffrez-vous sans l'assommer qu'un coquin vous joue de la sorte, car enfin c'est vous qui avez été le premier dupé."")",1.41,Substitution
309,"('#la-grange', ""C'est trop que de nous supplanter, et de nous supplanter avec nos propres habits. "")",,1.0,Insertion
310,"('#mascarille', 'Ô Fortune, quelle est ton inconstance. ')",,1.0,Insertion
311,"('#du-croisy', ""Vite, qu'on leur ôte jusqu'à la moindre chose. "")",,1.0,Insertion
312,"('#la-grange', ""Qu'on emporte toutes ces hardes, dépêchez.  Maintenant, Mesdames, en l'état qu'ils sont, vous pouvez continuer vos amours avec eux tant qu'il vous plaira, nous vous laissons toute sorte de liberté pour cela, et nous vous protestons, Monsieur, et moi, que nous n'en serons aucunement jaloux. "")","('#le-baron', ""Dites, dites plutôt qu'il n'y a que vous seules, et pour vous le persuader apprenez que je suis la Force, dit Gilles le Niais en mon nom de Théâtre, que je vous ai rendu trois ou quatre visites pour connaître votre humeur, et qu'ayant vu que vous étiez faciles à décevoir, nous nous sommes enquis mon camarade et moi, de la réputation de tous les Auteurs, de leurs pièces nouvelles.  Nous avons appris [page 69] quelques mots précieux, et nous sommes demeurés d'accord qu'il viendrait ici quand je serais avec vous, qu'il lirait ses pièces, et que j'admirerais tout, pour vous faire donner dans le panneau.  Flanquin, que voilà avec moi, et qui est de notre troupe a bien joué son rôle, et en contrefaisant le précieux a bien su duper la suivante."")",0.43,Substitution
313,"('#cathos', 'Ah quelle confusion ! ')",,1.0,Insertion
314,"('#magdelon', 'Je crève de dépit. ')","('#artemise', ""Je demeure muette d'étonnement."")",0.68,Substitution
315,"('#violons', ""Qu'est-ce donc que ceci ?  Qui nous payera, nous autres ? "")","('#greval', ""Ce trait est hardi, et s'il était arrivé à quelques autres qu'à vous j'en rirais de bon coeur."")",1.58,Substitution
316,"('#mascarille', 'Demandez à Monsieur le Vicomte. ')",,1.0,Insertion
317,"('#violons', ""Qui est-ce, qui nous donnera de l'argent ? "")",,1.0,Insertion
318,"('#jodelet', 'Demandez à Monsieur le Marquis. ')",,1.0,Insertion
319,"('#gorgibus', ""Ah !  Coquines que vous êtes, vous nous mettez dans de beaux draps blancs, à ce que je vois, et je viens d'apprendre de belles affaires vraiment, de ces Messieurs, qui sortent."")","('#iscarie', 'Un Farceur chez moi !  Ah !  Si vous ne fuyez...')",1.59,Substitution
320,"('#magdelon', ""Ah !  Mon père, c'est une pièce sanglante qu'ils nous ont faite. "")",,1.0,Insertion
321,"('#gorgibus', ""Oui, c'est une pièce sanglante ; mais qui est un effet de votre impertinence, infâmes !  Ils se sont ressentis du traitement que vous leur avez fait, et cependant, malheureux que je suis, il faut, que je boive l'affront. "")","('#le-baron', ""Nous craignons peu vos menaces, et nous sommes tous trois bien résolus de nous défendre si l'on nous attaque.  Sachez donc avant que je sorte, que puisque Mascarille vous rend visite, vous devez bien me souffrir, que s'il s'est acquis par ses Farces la réputation d'avoir de l'esprit, que j'en fais aussi bien que lui sans l'aide des Italiens, et qu'enfin si la veuve de Guilotgorju, mon Maître et le sien, ne lui eût vendu, ces Farces ne lui eussent jamais donné tant de gloire."")",0.39,Substitution
322,"('#magdelon', 'Ah, je jure, que nous en serons vengés, ou que je mourrai en la peine.  Et vous, marauds, osez-vous vous tenir ici, après votre insolence ? ')","('#iscarie', ""Ah !  Je me lasse de vous entendre, et si vous ne sortez j'enverrai quérir un mauvais ange des criminels."")",0.94,Substitution
323,"('#mascarille', ""Traiter comme cela un Marquis !  Voilà ce que c'est que du monde, la moindre disgrâce nous fait mépriser de ceux qui nous chérissaient.  Allons, camarade, allons chercher fortune autre part ; je vois bien qu'on n'aime ici, que la vaine apparence, et qu'on n'y considère point la vertu toute nue. Ils sortent tous deux."")","('#le-baron', 'Puisque mon rôle est achevé, il faut bien que je sorte.  Allons mes compagnons.  Adieu Mesdames.')",1.08,Substitution
324,"('#violons', 'Monsieur nous entendons, que vous nous contentiez à leur défaut, pour ce que nous avons joué ici. ')",,1.0,Insertion
325,"('#gorgibus', 'Oui, oui, je vous vais contenter ; et voici la monnaie, dont je vous veux payer.  Et vous, pendardes, je ne sais qui me tient, que je ne vous en fasse autant, nous allons servir de fable, et de risée à tout le monde, et voilà ce que vous vous êtes attiré par vos extravagances.  Allez vous cacher, vilaines, allez vous cacher pour jamais.  Et vous, qui êtes cause de leur folie, sottes billevesées, pernicieux amusements des esprits oisifs, romans, vers, chansons, sonnets, et sonnettes, puissiez-vous être à tous les Diables.')","('#flanquin', ""Si tu veux venir dans notre Troupe, nous gagnerons bien de l'argent, car nous allons jouer trois Docteurs et les Précieuses ridicules."")",0.82,Substitution
