,Sganarelle ou Le Cocu Imaginaire,La Cocue Imaginaire,Cost,Operation Type
162,"('#lelie', 'Ah ! Je vois...')","('#cephise', 'Je ne vois... ')",0.34,Substitution
163,"('#celie', 'Cet objet suffit pour te confondre.')","('#alcippe', 'Cet objet a droit de vous surprendre. ')",1.39,Substitution
164,"('#lelie', 'Mais pour vous obliger bien plutôt à rougir.')","('#cephise', ""Mais il doit t'obliger à rougir bien plutôt. "")",0.0,Match
165,"('#sganarelle', ""Ma colère à présent est en état d'agir, Dessus ses grands chevaux est monté mon courage Et si je le rencontre on verra du carnage : Oui j'ai juré sa mort, rien ne peut m'empêcher Où je le trouverai, je le veux dépêcher, Au beau milieu du coeur il faut que je lui donne..."")","('#paquette', ""Je sens, je sens mon coeur animé comme il faut,  Et prêt à seconder mon bras dans cette affaire.  Sus donc, satisfaisons notre juste colère,  Et pour en assouvir la pressante fureur,  Portons lui ce poignard jusqu'au milieu du coeur. "")",0.22,Substitution
166,"('#lelie', 'À qui donc en veut-on ?')",,1.0,Insertion
167,"('#sganarelle', ""Je n'en veux à personne."")",,1.0,Insertion
168,"('#lelie', 'Pourquoi ces armes-là ?')",,1.0,Insertion
169,"('#sganarelle', ""C'est un habillement Que j'ai pris pour la pluie.  Ah ! Quel contentement J'aurais à le tuer, prenons-en le courage. À part."")",,1.0,Insertion
170,"('#lelie', 'Hay ?')","('#cephise', ""Qu'entends-je ? "")",0.72,Substitution
171,"('#sganarelle', ""Je ne parle pas. Ah ! Poltron dont j'enrage, Lâche, vrai coeur de poule. À part."")","('#paquette', ""Voulez-vous que j'aille voir Madame ;  Ce bruit ainsi qu'à vous me vient d'alarmer l'âme. "")",1.55,Substitution
172,"('#celie', ""Il t'en doit dire assez Cet objet, dont tes yeux nous paraissent blessés."")","('#alcippe', 'Cet Objet vous émeut sans doute et vous fait voir... ')",1.27,Substitution
173,"('#lelie', ""Oui, je connais par là que vous êtes coupable De l'infidélité la plus inexcusable, Qui jamais d'un amant puisse outrager la foi."")","('#cephise', ""Que tu t'es pu noircir du crime le plus noir... "")",1.13,Substitution
174,"('#sganarelle', ""Que n'ai-je un peu de coeur !"")",,1.0,Insertion
175,"('#celie', ""Ah ! Cesse devant moi Traître, de ce discours l'insolence cruelle."")","('#alcippe', ""Finissez un discours si rempli d'insolence. "")",0.03,Substitution
176,"('#sganarelle', ""Sganarelle, tu vois qu'elle prend ta querelle, Courage mon enfant, sois un peu vigoureux, Là, hardi, tâche à faire un effort généreux, En le tuant, tandis qu'il tourne le derrière."")","('#paquette', ""Puisque cet homme encor veut prendre ta défense,  Prends courage mon coeur, sois un peu généreux,  Et lave dans son sang ses impudiques feux :  Peut-être qu'il pourra seconder notre fuite. "")",0.3,Substitution
177,"('#lelie', ""Puisqu'un pareil discours émeut votre colère, Je dois de votre coeur me montrer satisfait. Et l'applaudir ici du beau choix qu'il a fait."")","('#cephise', ""Puisque avecque raison un tel discours t'irrite,  Bien loin de t'accuser de ton lâche forfait,  Je dois louer un choix si rare et si parfait. "")",0.1,Substitution
178,"('#celie', ""Oui, oui, mon choix est tel qu'on n'y peut rien reprendre."")","('#alcippe', 'On ne peut dans mon choix trouver rien à redire. ')",0.81,Substitution
179,"('#lelie', 'Allez, vous faites bien de le vouloir défendre.')","('#cephise', ""Pourquoi le défends-tu puisque enfin je l'admire. "")",0.86,Substitution
180,,"('#alcippe', 'Ce discours me déplaît, ne raillons point ici. ')",1.0,Deletion
181,"('#sganarelle', ""Sans doute elle fait bien de défendre mes droits ! Cette action Monsieur, n'est point selon les lois, J'ai raison de m'en plaindre, et si je n'étais sage, On verrait arriver un étrange carnage."")","('#paquette', ""Il agit prudemment de me défendre ainsi,  Et vous n'ignorez pas le tort que vous me faites. "")",0.37,Substitution
182,"('#lelie', ""D'où vous naît cette plainte ? Et quel chagrin brutal..."")","('#cephise', ""D'où vient l'emportement où je vois que vous êtes. "")",0.54,Substitution
183,"('#sganarelle', ""Suffit, vous savez bien où le bois me fait mal ; Mais votre conscience et le soin de votre âme Vous devraient mettre aux yeux que ma femme est ma femme, Et vouloir à ma barbe en faire votre bien, Que ce n'est pas du tout agir en bon chrétien."")",,1.0,Insertion
184,"('#lelie', ""Un semblable soupçon est bas et ridicule, Allez, dessus ce point n'ayez aucun scrupule, Je sais qu'elle est à vous, et bien loin de brûler..."")","('#alcippe', 'Ah ! Que vous feignez bien. ')",0.74,Substitution
185,"('#celie', ""Ah ! Qu'ici tu sais bien traître, dissimuler !"")",,1.0,Insertion
186,"('#lelie', ""Quoi me soupçonnez-vous d'avoir une pensée De qui son âme ait lieu de se croire offensée ? De cette lâcheté voulez-vous me noircir ?"")","('#cephise', ""De quoi m'accuse-t-on ? "")",1.18,Substitution
187,"('#celie', ""Parle, parle à lui-même, il pourra t'éclaircir."")",,1.0,Insertion
188,"('#sganarelle', ""Vous me défendez mieux que je ne saurais faire, Et du biais qu'il faut vous prenez cette affaire."")",,1.0,Insertion
189,"('#la-femme-sganarelle', ""Je ne suis point d'humeur à vouloir contre vous Faire éclater Madame, un esprit trop jaloux ; Mais je ne suis point dupe et vois ce qui se passe : Il est de certains feux de fort mauvaise grâce, Et votre âme devrait prendre un meilleur emploi, Que de séduire un coeur qui doit n'être qu'à moi."")","('#spadarille', ""Je pourrais bien Madame avec quelque raison  Vous faire voir ici ce que peut ma colère,  Et débaucher ainsi l'objet qui m'a su plaire,  C'est fort mal fait à vous. "")",0.0,Match
190,"('#celie', 'La déclaration est assez ingénue.')","('#alcippe', 'Sa déclaration  Ne fait que trop hélas, voir votre passion. ')",1.16,Substitution
191,,"('#cephise', 'Que veut dire ceci ? ')",1.0,Deletion
192,"('#sganarelle', ""L'on ne demandait pas carogne ta venue, Tu la viens quereller lorsqu'elle me défend, Et tu trembles de peur qu'on t'ôte ton galant."")","('#paquette', ""Tu ne viens infidèle  Que de peur qu'on maltraite ici ta Demoiselle. "")",0.58,Substitution
193,"('#celie', ""Allez, ne croyez pas que l'on en ait envie. Tu vois si c'est mensonge, et j'en suis fort ravie."")",,1.0,Insertion
194,"('#lelie', 'Que me veut-on conter ?')",,1.0,Insertion
195,"('#la-suivante', ""Ma foi, je ne sais pas Quand on verra finir ce galimatias, Déjà depuis longtemps je tâche à le comprendre, Et si plus je l'écoute et moins je puis l'entendre ; Je vois bien à la fin que je m'en dois mêler. Répondez-moi par ordre et me laissez parler. Vous, qu'est-ce qu'à son coeur peut reprocher le vôtre ? Allant se mettre entre Lélie et sa maîtresse. À Lélie."")","('#roguespine', ""Déjà depuis longtemps je tâche à concevoir  Ce galimatias, et je ne puis savoir,  Quel sujet peut entre eux causer un si grand trouble,  Mais je m'en veux mêler de peur qu'il ne redouble.  Et que de leur querelle il n'arrive malheur.  Répondez-moi par ordre, et c'est un coup bien sûr  Que je vous tirerai des peines où vous êtes,  Et qu'on verra dans peu vos âmes satisfaites.  Vous parlez s'il vous plaît, d'où vient votre courroux ?  Que mon maître a-t-il fait, de quoi l'accusez-vous ?  Allant se mettre entre Alcippe et Céphise. À Céphise."")",0.0,Match
196,"('#lelie', ""Que l'infidèle a pu me quitter pour un autre ; Que lorsque, sur le bruit de son hymen fatal, J'accours tout transporté d'un amour sans égal, Dont l'ardeur résistait à se croire oubliée, Mon abord en ces lieux la trouve mariée."")","('#cephise', ""Qu'après m'avoir promis une éternelle flamme  Le traître en mon absence a pu prendre une femme. "")",0.0,Match
197,,"('#roguespine', 'Une femme. ')",1.0,Deletion
198,"('#la-suivante', 'Mariée, à qui donc ?')",,1.0,Insertion
199,"('#lelie', 'À lui.')","('#cephise', 'Une femme et présente en ces lieux. ')",1.58,Substitution
200,"('#la-suivante', 'Comment à lui ?')","('#roguespine', 'Nommez-nous donc encor cet objet glorieux ? ')",1.13,Substitution
201,"('#lelie', 'Oui-da.')","('#cephise', 'Le voilà. ')",0.32,Substitution
202,"('#la-suivante', ""Qui vous l'a dit ?"")",,1.0,Insertion
203,"('#lelie', ""C'est lui-même, aujourd'hui."")",,1.0,Insertion
204,"('#la-suivante', 'Est-il vrai ?')",,1.0,Insertion
205,"('#sganarelle', ""Moi, j'ai dit que c'était à ma femme Que j'étais marié."")","('#roguespine', ""Que me conte-t-on, moi  J'ai dit qu'à mon mari j'avais donné ma foi,  Et que j'étais sa femme. "")",0.59,Substitution
206,"('#lelie', ""Dans un grand trouble d'âme, Tantôt de mon portrait je vous ai vu saisi."")",,1.0,Insertion
207,"('#sganarelle', 'Il est vrai : le voilà.')",,1.0,Insertion
208,"('#lelie', ""Vous m'avez dit aussi Que celle aux mains de qui vous aviez pris ce gage Était liée à vous des noeuds du mariage."")","('#cephise', ""Une heureuse aventure  M'ayant fait reconnaître en vos mains ma peinture,  Ne m'avez vous pas dit aussitôt que l'objet  Des mains dont vous veniez de prendre mon portrait  Était votre mari. "")",0.53,Substitution
209,"('#sganarelle', ""Sans doute, et je l'avais de ses mains arraché, Et n'eusse pas sans lui découvert son péché."")","('#paquette', ""Cela pourrait bien être ;  Car je l'avais surpris dans les mains de ce traître,  Et n'eusse pas sans lui fait savoir son forfait.  Lui montrant son mari."")",0.0,Match
210,"('#la-femme-sganarelle', ""Que me viens-tu conter par ta plainte importune ? Je l'avais sous mes pieds rencontré par fortune, Et même quand après ton injuste courroux J'ai fait dans sa faiblesse entrer Monsieur chez nous. Je n'ai pas reconnu les traits de sa peinture. Montrant Lélie."")","('#spadarille', ""Que me viens-tu conter avecque ton portrait  C'est à tort là-dessus que le courroux t'emporte,  Je l'avais par bonheur trouvé près notre porte,  Et même quand après ton grand emportement  Ayant pris à Madame un mal subitement  Je l'ai jusques chez nous conduit à la même heure :  Et dedans ce moment, je n'ai pas où je meure  Remarqué que c'était la Dame du portrait. "")",0.0,Match
211,,"('#paquette', 'Voyez comme il sait bien déguiser son forfait. ')",1.0,Deletion
212,"('#celie', ""C'est moi qui du portrait ai causé l'aventure Et je l'ai laissé choir en cette pâmoison Qui m'a fait par vos soins remettre à la maison. À Sganarelle."")","('#alcippe', ""C'est à tort sur ce point que votre coeur murmure,  Et j'ai de ce portrait fait naître l'aventure,  Puisque pour mon malheur tantôt sans le savoir,  Dans le mal qui m'a pris je l'avais laissé choir. "")",0.01,Substitution
213,"('#la-suivante', ""Vous voyez que sans moi vous y seriez encore, Et vous aviez besoin de mon peu d'ellébore."")",,1.0,Insertion
214,"('#sganarelle', ""Prendrons-nous tout ceci pour de l'argent comptant ; Mon front l'a sur mon âme eu bien chaude pourtant ?"")",,1.0,Insertion
215,"('#la-femme-sganarelle', ""Ma crainte toutefois n'est pas trop dissipée Et doux que soit le mal ; je crains d'être trompée."")","('#roguespine', ""Les choses que je dis doivent passer pour sûres,  Et ne suis-je pas un grand dénoueur d'aventures. "")",0.66,Substitution
216,"('#sganarelle', ""Hé ! Mutuellement croyons-nous gens de bien, Je risque plus du mien que tu ne fais du tien : Accepte sans façon le marché qu'on propose."")","('#paquette', 'Dois-je à de tels discours ajouter quelque foi ?  Oui, puisque enfin notre homme est bonhomme ma foi,  Touche-là. ')",1.02,Substitution
217,"('#la-femme-sganarelle', ""Soit, mais gare le bois si j'apprends quelque chose."")","('#spadarille', 'Tu sais que quoi que tu puisses faire,  Je ne puis contre toi retenir ma colère. ')",1.58,Substitution
218,"('#celie', ""Ah ! Dieux s'il est ainsi, qu'est-ce donc que j'ai fait ? Je dois de mon courroux appréhender l'effet : Oui, vous croyant sans foi, j'ai pris pour ma vengeance. Le malheureux secours de mon obéissance ; Et depuis un moment mon coeur vient d'accepter Un hymen que toujours j'eus lieu de rebuter, J'ai promis à mon père, et ce qui me désole... Mais je le vois venir."")","('#alcippe', ""Oui, oui, jusqu'à ce point j'ai bien pu me trahir,  Vous croyant sans honneur j'ai promis d'obéir.  Mais mon père paraît. "")",0.0,Match
219,"('#lelie', 'Il me tiendra parole.')",,1.0,Insertion
220,"('#lelie', ""Monsieur, vous me voyez en ces lieux de retour Brûlant des mêmes feux, et mon ardente amour Verra comme je crois la promesse accomplie Qui me donna l'espoir de l'hymen de Célie."")","('#cephise', 'Ah ! Funeste aventure,  Tu mets pour tout jamais mon âme à la torture. ')",1.03,Substitution
221,"('#gorgibus', ""Monsieur, que je revois en ces lieux de retour Brûlant des mêmes feux, et dont l'ardente amour Verra que vous croyez la promesse accomplie Qui vous donna l'espoir de l'hymen de Célie, Très humble serviteur à votre seigneurie."")","('#geronte', 'Quoi, Céphise en ces lieux ? ')",1.15,Substitution
222,"('#lelie', ""Quoi ? Monsieur, est-ce ainsi qu'on trahit mon espoir ?"")",,1.0,Insertion
223,"('#gorgibus', ""Oui Monsieur, c'est ainsi que je fais mon devoir, Ma fille en suit les lois."")",,1.0,Insertion
224,"('#celie', ""Mon devoir m'intéresse, Mon père, à dégager vers lui votre promesse."")",,1.0,Insertion
225,"('#gorgibus', ""Est-ce répondre en fille à mes commandements ? Tu te démens bientôt de tes bons sentiments, Pour Valère tantôt... Mais j'aperçois son père, Il vient assurément pour conclure l'affaire."")","('#cephise', ""Oui je suis de retour,  Et le dépit m'amène ici plus que l'amour.  Je viens vous reprocher... "")",0.73,Substitution
226,"('#gorgibus', 'Qui vous amène ici, Seigneur Villebrequin ?')",,1.0,Insertion
227,"('#villebrequin', ""Un secret important, que j'ai su ce matin, Qui rompt absolument ma parole donnée. Mon fils, dont votre fille acceptait l'hyménée, Sous des liens cachés trompant les yeux de tous, Vit, depuis quatre mois, avec Lise en époux ; Et comme des parents le bien et la naissance M'ôtent tout le pouvoir d'en casser l'alliance, Je vous viens..."")","('#geronte', ""Soyez moins en colère.  Le Ciel prend votre cause et veut vous satisfaire,  Puisque depuis longtemps sans qu'on le sût chez eux,  Hippolyte et Cléon sont mariés tous deux ;  C'est pourquoi je vous tiens ma parole donnée,  Et veux voir achever dans peu votre hyménée,  Si votre coeur encor y veut bien consentir  Et veut me pardonner après mon repentir. "")",0.11,Substitution
228,,"('#cephise', ""Que ne ferait-on point, hélas, lorsque l'on aime ! "")",1.0,Deletion
229,"('#gorgibus', ""Brisons là, si sans votre congé, Valère votre fils ailleurs s'est engagé, Je ne vous puis celer que ma fille Célie, Dès longtemps par moi-même est promise à Lélie, Et que riche en vertus son retour aujourd'hui M'empêche d'agréer un autre époux que lui."")","('#alcippe', 'Que ne vous dois-je point pour ce plaisir extrême. ')",0.84,Substitution
230,"('#villebrequin', 'Un tel choix me plaît fort.')",,1.0,Insertion
231,"('#lelie', ""Et cette juste envie, D'un bonheur éternel va couronner ma vie."")","('#roguespine', ""Si de l'autre mon maître eût épousé la peau,  Il eût été chargé de la vache et du veau. "")",1.66,Substitution
232,"('#gorgibus', 'Allons choisir le jour pour se donner la foi.')",,1.0,Insertion
233,"('#sganarelle', ""A-t-on mieux cru jamais être cocu que moi ? Vous voyez qu'en ce fait la plus forte apparence Peut jeter dans l'esprit une fausse créance ? De cet exemple-ci, ressouvenez-vous bien, Et quand vous verriez tout, ne croyez jamais rien. Sans mentir, Monsieur, vous me devez être bien obligé de tant de belles choses que je vous envoie, et tous les melons de votre jardin ne sont pas suffisants pour me payer de la peine d'avoir retenu pour l'amour de vous toute cette pièce par coeur ; mais j'oubliais de vous dire une chose à l'avantage de son auteur, qui est que comme je n'ai eu cette pièce que je vous envoie que par de effort de mémoire, il peut s'y être coulé quantité de mots les uns pour les autres, bien qu'ils signifient la même chose ; et comme ceux de l'auteur peuvent être plus significatifs, je vous prie de m'imputer toutes les fautes de cette nature que vous y trouverez ; et je vous conjure avec tous les curieux de France de venir voir représenter cette pièce comme un des plus beaux ouvrages, et un des mieux joués qui ait jamais paru sur la scène."")","('#spadarille', ""Il est bien des cocus dans le Siècle où nous sommes,  C'est un mal à présent commun à tous les hommes,  Il prend également le laid et le bien fait,  Aucuns le sont en songe, et d'autres en effet,  D'autres le sont aussi qui ne croient pas l'être,  D'autres qui ne font pas semblant de le connaître,  D'autres qui voudraient bien aussi ne l'être pas,  D'autres qui font par là venir de bons Ducats ;  Et d'autres qui toujours se forment des chimères,  Dont le nombre est plus grand, ne sont qu'imaginaires."")",0.17,Substitution
