DamaDuende,Google Trad,Esprit Folet,Modernisé,,,
"BEATRIZ |Tan cortésmente os quejáis|que, aunque agradecer quisiera|vuestras penas, no lo hiciera|solo por que las digáis.|","BEATRIZ |Vous vous plaignez si poliment|que même si je voudrais remercier|vos chagrins, je ne le ferais pas|simplement parce que vous les dites.|","Florestan| Carrille, que fais-tu ?","Florestan |  Carrille, que fais-tu ?",,,
"LUIS |Como tan mal me tratáis,|el idioma del desdén|aprendí.","LUIS |Parce que tu m'as si mal traité,|j'ai appris le langage du dédain.","Carille|Carrille, que fais-tu ? Dieux ! je tremble de peur.","Carille | Carrille, que fais-tu ? Dieux ! je tremble de peur.",,,
"BEATRIZ |Pues ése es bien |que sigáis, que en caso tal|hará soledad el mal|a quien le dice tan bien.| (Detiénela.)","BEATRIZ |Eh bien, c'est bien que vous continuiez, car dans ce cas|le mal sera seul|pour ceux qui le disent si bien.| (Arrête-la.)",Florestan| Pourquoy n’es-tu là haut ?,Florestan |  Pourquoy n’es-tu là haut ?,,,
"LUIS |Oye, si en eso te vengas,|y padezcamos los dos.|","LUIS |Hé, si c'est pour ça que tu viens,|et souffrons tous les deux.|","Carrille|Pourquoy n’es-tu là haut ? Je n’oserois, Monsieur.","Carrille | Pourquoy n’es-tu là haut ? Je n’oserois, Monsieur.",,,
"BEATRIZ |No he de escucharos; por Dios,|amiga, que le detengas.| |(Vase.)","BEATRIZ |Je n'ai pas besoin de t'écouter ; Pour l'amour de Dieu, mon ami, arrêtez-le. |(Sortie.)","Florestan| Pour quel sujet, qu’as-tu ?","Florestan |  Pour quel sujet, qu’as-tu ?",,,
ÁNGELA |¡Que tan poco valor tengas|que esto quieras oír y ver!|,ANGELA |Comme tu as peu de courage|de vouloir entendre et voir ça !|,"Carrille| [p. 72]|Pour quel sujet, qu’as-tu ? Dois-je pas avoir crainte|Que cét Esprit Folet* ne me donne une atteinte?|Je crains trop d’esprouver ce que pese sa main.","Carrille |  [p. 72] | Pour quel sujet, qu’as-tu ? Dois-je pas avoir crainte | Que cét Esprit Folet* ne me donne une atteinte? | Je crains trop d’esprouver ce que pese sa main.",,,
"LUIS |¡Ay, hermana! ¿Qué he de hacer?","LUIS | Oh, ma sœur ! Que dois-je faire?","Florestan|L’impertinent maraut, tu le fais à dessein| De faire le plaisant.","Florestan | L’impertinent maraut, tu le fais à dessein |  De faire le plaisant.",,,
"ÁNGELA |Dar tus penas al olvido,|que querer aborrecido|es morir y no querer.| |(Vase con ISABEL.)","ANGELA |Donner ses peines à l'oubli,|aimer ce qui est détesté|c'est mourir et ne pas aimer.| |(Il part avec ISABEL.)","Carrille|De faire le plaisant. Quand on me devroit pendre,|Faschez-vous-en, ou non, je ne m’en puis deffendre,|J’y fais ce que je puis, qu’importe si j’ay peur,|Par menace croit-on me releverle cœur ?|On ne sçauroit m’oster aysément ces ombrages,|Non pas quand on devroit me retrancher mes gages,| J’ayme mieux perdre tout.","Carrille | De faire le plaisant. Quand on me devroit pendre, | Faschez-vous-en, ou non, je ne m’en puis deffendre, | J’y fais ce que je puis, qu’importe si j’ay peur, | Par menace croit-on me releverle cœur ? | On ne sçauroit m’oster aysément ces ombrages, | Non pas quand on devroit me retrancher mes gages, |  J’ayme mieux perdre tout.",,,
"LUIS |Quejoso, ¿cómo podré|olvidarla?, que es error.|Dila que me haga un favor|y, obligado, olvidaré;|ofendido no, porque|el más prudente, el más sabio|da su sentimiento al labio;|si olvidarse el favor suele,|es porque el favor no duele|de la suerte que el agravio.| | (Sale RODRIGO.)","LUIS |La plaignante, comment puis-je|l'oublier ? C'est une erreur.|Dites-lui de me rendre service|et, forcé, j'oublierai;|pas offensé, car|le plus prudent, le plus sage|donne son sentiment au lèvre;| Si la faveur est habituellement oubliée, c’est que la faveur ne fait pas mal de la même manière que la blessure. | (Rodrigue sort.)","Florestan|J’ayme mieux perdre tout. Mais voyez ce maraut,|Allume la chandelle, et la porte là haut,|Apreste mon habit, le diable te confonde.","Florestan | J’ayme mieux perdre tout. Mais voyez ce maraut, | Allume la chandelle, et la porte là haut, | Apreste mon habit, le diable te confonde.",,,
RODRIGO¿De dónde vienes?,RODRIGO D'où viens-tu ?,"Carrille|Je n’irois pas tout seul, pour tous les biens du monde,|Ne me l’ordonnez pas, je sçay fort bien pourquoy.","Carrille | Je n’irois pas tout seul, pour tous les biens du monde, | Ne me l’ordonnez pas, je sçay fort bien pourquoy.",,,
LUIS |No|sé.,LUIS Je ne sais pas.,"Florestan|Va, j’y seray, te dis-je, aussi-tost comme toy,|Va querir un flambeau, je t’attens à la porte.","Florestan | Va, j’y seray, te dis-je, aussi-tost comme toy, | Va querir un flambeau, je t’attens à la porte.",,,
RODRIGO |Triste parece que estás.|¿La causa no me dirás?|,RODRIGO |Tu as l'air triste.|Tu ne veux pas m'en dire la cause ?|,"Carrille (en s’en allant)|Ah Dieux ! c’est à ce coup, Monsieur, qu’il nous emporte | Scene IV §| Isabelle, (seule dans la chambre de Florestan, avec son present à tatons.)| |","Carrille (en s’en allant) | Ah Dieux ! c’est à ce coup, Monsieur, qu’il nous emporte  |  Scene IV § |  Isabelle, (seule dans la chambre de Florestan, avec son present à tatons.) |   |",,,
LUIS |Con doña Beatriz hablé.,LUIS | J’ai parlé avec Mme Beatriz.,"Isabelle|Je sçay qu’ils sont dehors, on m’en vient d’advertir,|Mais j’ignore à present par où je dois sortir,|Ne pouvant remarquer par où je suis entrée,|Dans cette obscurité je me suis esgarée,|Que deviendray-je, ô Dieux ? j’en suis fort en soucy,|Ny mesme où je mettray ce present que voicy ;|Car je ne puis trouver la porte, ny la table ;|Juste Ciel, soyez moy maintenant favorable,|Si quelqu’un survenoit, de quels charmes* grands Dieux,|Pourrois-je me servir pour ebloüyr ses yeux ?|Tout seroit descouvert, la chose est infaillible ; [p. 74]|Car de passer plus outre, il seroit impossible ;|J’en tremble en y pensant, c’est à ce coup, j’entends|Qu’on ouvre cette porte, ah ! je perds tous les sens* ;|Celuy qui l’ouvre encor, porte de la lumiere,|Que deviendray-je ? il faut me cacher là derriere. | Scene V §| Carrille, Isabelle, Florestan| |","Isabelle | Je sçay qu’ils sont dehors, on m’en vient d’advertir, | Mais j’ignore à present par où je dois sortir, | Ne pouvant remarquer par où je suis entrée, | Dans cette obscurité je me suis esgarée, | Que deviendray-je, ô Dieux ? j’en suis fort en soucy, | Ny mesme où je mettray ce present que voicy ; | Car je ne puis trouver la porte, ny la table ; | Juste Ciel, soyez moy maintenant favorable, | Si quelqu’un survenoit, de quels charmes* grands Dieux, | Pourrois-je me servir pour ebloüyr ses yeux ? | Tout seroit descouvert, la chose est infaillible ; [p. 74] | Car de passer plus outre, il seroit impossible ; | J’en tremble en y pensant, c’est à ce coup, j’entends | Qu’on ouvre cette porte, ah ! je perds tous les sens* ; | Celuy qui l’ouvre encor, porte de la lumiere, | Que deviendray-je ? il faut me cacher là derriere.  |  Scene V § |  Carrille, Isabelle, Florestan |   |",,,
"RODRIGO |No digas más; ya se ve|en ti lo que respondió.|Pero ¿dónde está?, que yo| |no la he visto.","RODRIGO | N’en dis pas plus ; Vous pouvez déjà voir ce qu'il a répondu.|Mais où est-il ?, que je| |Je ne l'ai pas vu.","Carrille, (seul avec de la chandelle.)|Esprit je te conjure en toute humilité| (Car tu n’es pas, je croy, de basse qualité)|Si ta mauvaise humeur icy ne se transporte,|Si la sumission d’un homme de ma sorte,|Peut en cét accident quelque chose sur toy,|Aujourd’huy pour le moins ne songespoint à moy,|Je suis le serviteur, tu n’en veux qu’à mon Maistre.| (Isabelle se met derriere luy, de peur qu’il ne la voye.)","Carrille, (seul avec de la chandelle.) | Esprit je te conjure en toute humilité |  (Car tu n’es pas, je croy, de basse qualité) | Si ta mauvaise humeur icy ne se transporte, | Si la sumission d’un homme de ma sorte, | Peut en cét accident quelque chose sur toy, | Aujourd’huy pour le moins ne songespoint à moy, | Je suis le serviteur, tu n’en veux qu’à mon Maistre. |  (Isabelle se met derriere luy, de peur qu’il ne la voye.)",,,
"LUISLa|tirana |es huéspeda de mi hermana|unos días, por que no|me falte un enfado así|de un huésped, que cada día|mis hermanos a porfía|se conjuran contra mí,|pues cualquiera tiene aquí|uno que pesar me dé:|de don Manuel, ya se ve;|y de Beatriz, pues los cielos|me traen a casa mis celos,|por que sin ellos no esté.|","LUISLe|tyran|est l'hôte de ma sœur|pour quelques jours, pourquoi pas|je ne serais pas tellement en colère|de la part d'un invité, que chaque jour|mes frères s'entêtent|conspirent contre moi,|car ici quelqu'un|a quelqu'un à peser et à donner moi:|de Don Manuel, tu vois;|et de Beatriz, eh bien, les cieux|me ramènent ma jalousie,|car sans eux je ne serais pas là.|",Isabelle (bas)|La lumiere m’a faict aysément recognoistre.,Isabelle (bas) | La lumiere m’a faict aysément recognoistre.,,,
"RODRIGO |Mira que don Manuel puede|oírte, que viene allí.| | (Sale DON MANUEL.)","RODRIGO |Regarde, Don Manuel t'entend|il arrive.| | (DON MANUEL sort.)","Carrille| [p. 75]|Aye pitié de moy, tout mal-heur me poursuit,|Je suis las, laissez-moy reposer cette nuit","Carrille |  [p. 75] | Aye pitié de moy, tout mal-heur me poursuit, | Je suis las, laissez-moy reposer cette nuit",,,
"MANUEL |(¿Sólo en el mundo por mí|tan gran prodigio sucede?|¿Qué haré, cielos, con que quede|desengañado y saber|de una vez si esta mujer|de don Luis dama ha sido|o cómo mano ha tenido|y cautela para hacer|tantos engaños?).",Manuel | |et prudence de faire|tant de tromperies ?).,"Isabelle (bas qui va derriere luy.)|Je me puis aysément desrober à sa veuë,|Il ne m’a point encor dans la chambre aperceuë ;|Joüons luy d’une fourbe, ayons-en le plaisir,|Tüons luy la chandelle avant qu’il ait loisir|De l’aller rallumer, je seray repassée.","Isabelle (bas qui va derriere luy.) | Je me puis aysément desrober à sa veuë, | Il ne m’a point encor dans la chambre aperceuë ; | Joüons luy d’une fourbe, ayons-en le plaisir, | Tüons luy la chandelle avant qu’il ait loisir | De l’aller rallumer, je seray repassée.",,,
LUIS |Señor| | don Manuel.,LUIS |Monsieur| | Don Manuel.,,,,,
MANUEL |Señor|don Luis.,MANUEL |Monsieur|don Luis.,,,,,
LUIS | ¿De dónde bueno venís?|,LUIS | D'où viens-tu ?|,,,,,
MANUEL | De palacio.,MANUEL | Du palais.,,,,,
"LUIS |Grande|error |el mío fue en preguntar|a quien pretensiones tiene|dónde va ni dónde viene,|porque es fuerza que ha de dar|cualquiera línea en palacio,|como centro de su esfera.|","LUIS |Grosse|erreur |la mienne a été de demander|de quelles prétentions il a|où il va et d'où il vient,|car c'est une force qui doit donner|n'importe quelle ligne dans le palais,|comme centre de son sphère.|",,,,,
"MANUEL |Si sólo a palacio fuera,|estuviera más de espacio;|pero mi afán inmortal|mayor término ha pedido:|su Majestad ha salido|esta tarde al Escurial|y es fuerza esta noche ir|con mis despachos allá,|que de importancia será.|","MANUEL |Si seulement j'allais au palais,|il y aurait plus d'espace;|mais mon désir immortel|a demandé un but plus grand:|Sa Majesté est sortie|cet après-midi à l'Escurial|et il faut y aller ce soir |avec mes dépêches là-bas,|cela sera important.|",,,,,
"LUIS |Si ayudaros a servir|puedo en algo, ya sabéis|que soy, en cualquier suceso,|vuestro.","LUIS |Si je peux t'aider à servir|en quoi que ce soit, tu sais déjà|que je suis, de toute façon,|à toi.",,,,,
MANUEL |Las|manos os beso | por la merced que me hacéis.,MANUEL |Les|mains je t'embrasse | pour la faveur que tu me fais.,,,,,
LUISVed que no es lisonja esto.,LUIS Vous voyez que ce n'est pas flatteur.,,,,,
MANUEL | Ya veo que|es voluntad | de mi aumento.,MANUEL | Je vois que|c'est volonté | de mon augmentation.,,,,,
LUIS |Así|es verdad |//(por que negocies más presto).,LUIS |C'est vrai |//(car vous négociez plus vite).,,,,,
"MANUEL | Pero a un galán cortesano, |tanto como vos no es justo|divertirle de su gusto,|porque yo tengo por llano|que estaréis entretenido,|y gran desacuerdo fuera|que ausentaros pretendiera.|","MANUEL | Mais pour un galant de cour, |autant que vous, il n'est pas juste|de l'amuser à son goût,|car je crois clairement|que vous serez diverti,|et ce serait un grand désaccord|qu'il ait l'intention de tu es absent.|",,,,,
"LUIS |Aunque hubiérades oído|lo que con Rodrigo hablaba,|no respondierais así.|","LUIS |Même si tu avais entendu|de quoi Rodrigo parlait,|tu ne réagirais pas comme ça.|",,,,,
MANUEL | Luego ¿bien he dicho?,"MANUEL | Alors, est-ce que je l'ai bien dit ?",,,,,
"LUISSí,| |que, aunque es verdad que lloraba|de una hermosura el rigor,|a la firme voluntad|le hace tanta soledad|el desdén como el favor.|","LUISOui,| |que, bien qu'il soit vrai qu'il criait|pour une beauté de rigueur,|à la ferme volonté|le dédain le rend aussi seul que la faveur.|",,,,,
MANUEL | ¡Qué|desvalido os pintáis!,MANUEL | Comme vous avez l’air impuissant !,,,,,
LUIS |Amo una grande hermosura|sin estrella y sin ventura.|,LUIS |J'aime une grande beauté|sans étoile et sans fortune.|,,,,,
MANUEL¿Conmigo disimuláis | agora?,MANUEL¿Disimulez avec moi | maintenant?,,,,,
"LUIS |¡Pluguiera|al cielo! |Mas tan infeliz nací|que huye esta beldad de mí,|como de la noche el velo|de la hermosa luz del día,|a cuyos rayos me quemo.|¿Queréis ver con cuánto estremo|es la triste suerte mía?|Pues, por que no la siguiera|amante y celoso yo,|a una persona pidió|que mis pasos detuviera.|Ved si hay rigores más fieros,|pues todos suelen buscar|terceros para alcanzar|y ella huye por terceros.| |(Vase él y RODRIGO.)","LUIS |Pluguiera|au paradis ! |Mais je suis née si malheureuse|que cette beauté me fuit,|comme le voile de la nuit|de la belle lumière du jour,|dans les rayons duquel je brûle.|Voulez-vous voir à quel point mon triste sort est extrême ? | Eh bien, pourquoi ne la suivrais-je pas, aimante et jalouse,|J'ai demandé à une personne|d'arrêter mes pas.|Voyez s'il y a des rigueurs plus féroces,|car tout le monde a tendance à chercher|des tiers à atteindre|et elle s'enfuit pour des tiers.| |(Lui et RODRIGO partent.)",,,,,
"MANUEL |¿Qué más se ha de declarar?|Mujer que su vista huyó|y a otra persona pidió|que le llegase a estorbar...|Por mí lo dice y por ella.|Ya por lo menos vencí|una duda, pues ya vi|que, aunque es verdad que es aquella,|no es su dama, porque él|despreciado no viviera,|si en su casa la tuviera.|Ya es mi duda más cruel.|Si no es su dama ni vive|en su casa, ¿cómo así|escribe y responde? Aquí|muere un engaño y concibe|otro engaño. ¿Qué he de hacer,|que soy en mis opiniones|confusión de confusiones?|¡Válgate Dios por mujer!| | (Sale COSME.)","MANUEL |Qu'est-ce qu'il faut déclarer d'autre ?|Une femme qui s'est enfuie de sa vue|et une autre personne a demandé|pour gêner...|Elle le dit pour moi et pour elle.|Au moins, j'ai déjà vaincu|un sans doute, eh bien, j'ai déjà vu|que, même s'il est vrai que c'est elle,|elle n'est pas sa dame, parce que la personne méprisée ne vivrait pas|s'il l'avait dans sa maison.|C'est déjà mon plus cruel doute.|Si elle n'est pas sa dame et qu'elle n'habite pas| À la maison, comment écrivez-vous et répondez-vous ? Ici|une tromperie meurt et conçoit|une autre tromperie. Que dois-je faire,|car je suis dans mes opinions|confusion de confusions ?|Dieu m'utilise comme femme !| | (COSME sort.)",,,,,
"COSME |Señor, ¿qué hay de duende? ¿Acaso|hasle visto por acá?|Que de saber que no está|allá me holgaré...|","COSME |Monsieur, qu'en est-il des elfes ? L'avez-vous déjà vu ici ? Si je sais qu'il n'est pas là, je serai heureux... |",,,,,
MANUEL |Habla|paso.,MANUEL |Parler|pas.,,,,,
COSME |...que tengo mucho que hacer | en nuestro cuarto|y no puedo | entrar.,COSME |...J'ai beaucoup à faire | dans notre chambre|et je ne peux pas | Montez.,,,,,
MANUEL |  Pues|¿qué tienes?,"MANUEL |Eh bien, qu'est-ce que tu as ?","Carrille|Je sens mon ame, ô Dieux ! de cent craintes glacée ;|Mon Maistre tarde bien, ah ! qu’il est aujourd’huy|Bien aisé de railler, mesme aux depens d’autruy.| (Isabelle luy tuë la chandelle et luy donne un grand coup de poing.)","Carrille | Je sens mon ame, ô Dieux ! de cent craintes glacée ; | Mon Maistre tarde bien, ah ! qu’il est aujourd’huy | Bien aisé de railler, mesme aux depens d’autruy. |  (Isabelle luy tuë la chandelle et luy donne un grand coup de poing.)",,,
COSME |Miedo.|,COSME |Peur.|,"Carrille|On m’assomme, grands Dieux ! misericorde, à l’ayde,|Tout de bon, ce Demon à present me possede ;|Il m’emporte, il m’estrangle, ah Dieux ! j’ay beau prier,| Invoquant tous les Dieux.","Carrille | On m’assomme, grands Dieux ! misericorde, à l’ayde, | Tout de bon, ce Demon à present me possede ; | Il m’emporte, il m’estrangle, ah Dieux ! j’ay beau prier, |  Invoquant tous les Dieux.",,,
MANUEL | ¿Miedo un hombre ha de tener?,MANUEL | Un homme doit-il avoir peur ?,Florestan|Invoquant tous les Dieux. Dy qui te fait crier ?| Qu’as-tu ?,Florestan | Invoquant tous les Dieux. Dy qui te fait crier ? |  Qu’as-tu ?,,,
"COSME |No le ha de tener, señor,|pero ve aquí que le tiene,|porque al suceso conviene.|","COSME |Vous ne devriez pas l'avoir, monsieur,|mais vous voyez ici qu'il l'a,|car cela convient à l'événement.|","Carrille|Qu’as-tu ? Monsieur, ils sont tous sourds à ma priere.","Carrille | Qu’as-tu ? Monsieur, ils sont tous sourds à ma priere.",,,
"MANUEL |Deja aquese necio humor|y lleva luz, porque tengo|que disponer y escribir,|y esta noche he de salir| |de Madrid.","MANUEL |Laisse cet humour idiot|et apporte la lumière, parce que je dois|préparer et écrire,|et ce soir je dois sortir| |de Madrid.","Florestan|T’ay-je pas commandé d’avoir de la lumiere,| Pourquoy n’en as-tu pas ?","Florestan | T’ay-je pas commandé d’avoir de la lumiere, |  Pourquoy n’en as-tu pas ?",,,
"COSME |A|eso me atengo, |pues dices con eso aquí|que tienes miedo al suceso.|","COSME |Je m'en tiens à cela, |parce que vous dites avec cela ici|que vous avez peur de l'événement.|","Carrille|Pourquoy n’en as-tu pas ? Ah ! cét ESPRIT FOLET*|Nous a tuez tous deux, moy d’un si grand souflet|Qu’il m’a, fort peu s’en faut, fait cracher la cervelle,|Et d’un souffle aussi-tost a tué la chandelle.","Carrille | Pourquoy n’en as-tu pas ? Ah ! cét ESPRIT FOLET* | Nous a tuez tous deux, moy d’un si grand souflet | Qu’il m’a, fort peu s’en faut, fait cracher la cervelle, | Et d’un souffle aussi-tost a tué la chandelle.",,,
"MANUEL |Antes te he dicho con eso|que no hago caso de ti,|pues de otras cosas me acuerdo|que son diferentes; cuando|en estas me estás hablando,|el tiempo en efeto pierdo.|En tanto que me despido| |de don Juan, ten luz. |(Vase.)","MANUEL |Avant, je te disais avec ça|que je ne fais pas attention à toi,|parce que je me souviens d'autres choses|qui sont différentes ; Quand tu me parles, je perds du temps pendant que je te dis au revoir. |de la part de don Juan, ayez la lumière. |(Sortie.)",Florestan|Comme la peur te fait avoir ces visions.,Florestan | Comme la peur te fait avoir ces visions.,,,
"COSME |Sí|haré, |luz al duende llevaré,|que es hora que sea servido|y no esté a escuras. Aquí|ha de haber una cerilla;|en aquella lamparilla|que está murmurando allí|encenderla agora puedo.|¡Oh, qué prevenido soy!|Y entre estas y estotras voy|titiritando de miedo.| |(Vase y sale ISABEL|por la alacena con un azafate cubierto.)","COSME |Oui|Je le ferai, |J'apporterai la lumière à l'elfe,|il est temps qu'il soit servi|et ne soit pas dans le noir. Ici|il doit y avoir une allumette;|dans cette petite lampe|qui murmure là|Je peux l'allumer maintenant.|Oh, comme je suis prévenu!|Et entre ceux-ci et ceux-là, je vais|frissonnant de peur.| |(Il part et ISABEL sort|à travers le placard avec une armoire couverte.)","Carrille|Ce ne sont pas, Monsieur, imaginations,|Diable, je ne suis point, tout à fait insensible.","Carrille | Ce ne sont pas, Monsieur, imaginations, | Diable, je ne suis point, tout à fait insensible.",,,
"ISABEL |Fuera están, que así el criado|me lo dijo. Agora es tiempo|de poner este azafate|de ropa blanca en el puesto|señalado. ¡Ay de mí, triste!,|que, como es de noche, tengo|con la grande obscuridad|de mí misma asombro y miedo.|¡Válgame Dios, que temblando|estoy! El duende primero|soy que se encomienda a Dios.|No hallo el bufete. ¿Qué es esto?|Con la turbación y espanto|perdí de la sala el tiento.|No sé dónde estoy ni hallo|la mesa. ¿Qué he de hacer? ¡Cielos!|Si no acertase a salir|y me hallasen aquí dentro,|dábamos con todo el caso|al traste. Gran temor tengo|y más agora que abrir|la puerta del cuarto siento|y trae luz el que la abre.|Aquí dio fin el suceso,|que ya ni puedo esconderme|ni volver a salir puedo.| |(Sale COSME con luz.)","ISABEL |Ils sont dehors, c'est ce que m'a dit la servante. Il est maintenant temps de placer ce portant de vêtements blancs à l’endroit désigné. Malheur à moi, triste ! Car, comme il fait nuit, je suis étonné et effrayé par ma grande obscurité. Dieu me vienne en aide, je tremble ! L'elfe d'abord|C'est moi qui me confie à Dieu.|Je ne trouve pas le bureau. Qu'est-ce que c'est ?|Avec confusion et peur|J'ai perdu la notion de la pièce.|Je ne sais pas où je suis et je ne trouve pas|la table. Que dois-je faire? Mon Dieu !|Si je n'arrivais pas à sortir|et qu'ils me trouvaient ici,|nous finirions avec toute l'affaire|en ruines. J'ai une grande peur|et plus maintenant que d'ouvrir|la porte de la chambre, je sens|et celui qui l'ouvre apporte la lumière.|Ici l'événement s'est terminé,|je ne peux plus me cacher|ni sortir.| |(COSME sort avec de la lumière.)","Isabelle (bas)|Maintenant par ces ais, r’entrons s’il est possible.","Isabelle (bas) | Maintenant par ces ais, r’entrons s’il est possible.",,,
"COSME |Duende, mi señor, si acaso|obligan los rendimientos|a los duendes bien nacidos,|humildemente le ruego|que no se acuerde de mí|en sus muchos embelecos,|y esto por cuatro razones:|la primera, yo me entiendo;| |(Va andando y ISABEL detrás|de él, huyendo de que no la vea.) la segunda, usted lo sabe;|la tercera, por aquello|de que al buen entendedor...;|la cuarta, por estos versos:|«Señor Dama Duende,|duélase de mí,|que soy niño y solo|y nunca en tal me vi».|","COSME |Duende, mon seigneur, si par hasard|rend|oblige les elfes bien nés,|je vous prie humblement|de ne pas vous souvenir de moi|dans vos nombreux prétextes,|et cela pour quatre raisons :|la première, je, comprendre ;| |(Il marche et ISABEL est derrière lui, fuyant pour qu'il ne la voie pas.) le deuxième, tu sais;|le troisième, à cause de ça|ça au bon entendeur...;|le quatrième, à cause de ces versets : |""M. Lady Goblin,|pleurez-moi,|car je suis un enfant et seul|et je ne me suis jamais vu comme tel.""|","Florestan| (Il rencontre Isabelle.)|Qui va là, je la tiens, va promptement là-bas,| R’allumer ta chandelle.","Florestan |  (Il rencontre Isabelle.) | Qui va là, je la tiens, va promptement là-bas, |  R’allumer ta chandelle.",,,
"ISABEL |(Ya con la luz he cobrado|el tino del aposento|y él no me ha visto; si aquí|se la mato, será cierto|que, mientras la va a encender,|salir a mi cuarto puedo,|que, cuando sienta el ruido,|no me verá por lo menos|y a dos daños el menor).|","Isabel | quand tu sens le bruit,|tu ne me verras pas au moins|et deux dégâts au mineur).|",Carrille |R’allumer ta chandelle. Ah ! ne le laschez pas.| (Carrille sort.),Carrille  | R’allumer ta chandelle. Ah ! ne le laschez pas. |  (Carrille sort.),,,
COSME |¡Qué gran músico es el miedo!,COSME | Quelle grande peur du musicien !,"Isabelle (bas)|Justes Dieux ; c’est bien pis, j’ay rencontré le Maistre.","Isabelle (bas) | Justes Dieux ; c’est bien pis, j’ay rencontré le Maistre.",,,
ISABEL |(Esto ha de ser desta suerte).(Dale|un porrazo y mátale la luz.),ISABEL |(Ça doit être comme ça).(Donnez-lui un coup et éteignez la lumière.),"Florestan|Qui que tu sois, atten, car si tu fais paroistre|De vouloir eschaper, je te poignarderay.","Florestan | Qui que tu sois, atten, car si tu fais paroistre | De vouloir eschaper, je te poignarderay.",,,
COSME | ¡Verbo|Caro... fiteor Deo! | ¡Que me han muerto!,COSME | Verbe|Caro... fiteor Deo! | Ils m'ont tué !,,,,,
"ISABEL |(Ahora podré |escaparme).(Al querer huir ISABEL,|sale DON MANUEL.)","ISABEL |(Maintenant je vais pouvoir m'échapper).(Quand ISABEL veut fuir, DON MANUEL sort.)","Isabelle (bas)|Que deviendray-je, ô Dieux ! qu’est-ce que je feray ?|Il a pris le panier, je luy laisse, il n’importe,|Je m’en vay me sauver, j’ay remarqué la porte|Par où je suis entrée, allons y vitement.| (Elle rentre par les ais.)","Isabelle (bas) | Que deviendray-je, ô Dieux ! qu’est-ce que je feray ? | Il a pris le panier, je luy laisse, il n’importe, | Je m’en vay me sauver, j’ay remarqué la porte | Par où je suis entrée, allons y vitement. |  (Elle rentre par les ais.)",,,
"MANUEL |¿Qué|es aquesto? | Cosme, ¿cómo estás sin luz?|","MANUEL |Qu'est-ce que c'est ? | Cosme, comment vas-tu sans électricité ?|","Florestan|Elle s’est eschapée, et je ne sçay comment.|Ce n’est point une femme en effect que je touche,|Que veut dire cela ? vrays Dieux ! plus qu’une souche|Je demeure immobile, et ne sçay que penser.","Florestan | Elle s’est eschapée, et je ne sçay comment. | Ce n’est point une femme en effect que je touche, | Que veut dire cela ? vrays Dieux ! plus qu’une souche | Je demeure immobile, et ne sçay que penser.",,,
COSME |Como a los dos nos ha muerto|el duende: la luz de un soplo| |y a mí de un golpe.,COSME |Comme nous sommes morts tous les deux|l'elfe : la lumière d'un souffle| |et moi d'un seul coup.,"Carrille, (r’entre avec de la chandelle.)|Esprit malin, qui croit icy nous traverser,| Tu n’eschaperas pas.","Carrille, (r’entre avec de la chandelle.) | Esprit malin, qui croit icy nous traverser, |  Tu n’eschaperas pas.",,,
MANUELTu|miedo | te hará creer esas cosas.,MANUELVotre|peur | Cela vous fera croire ces choses.,Florestan|Tu n’eschaperas pas. Aporte la lumiere.,Florestan | Tu n’eschaperas pas. Aporte la lumiere.,,,
COSME | Bien a|mi costa las creo.,COSME | Et bien à mes dépens je les crois.,Carrille| Qu’est-il donc devenu ?,Carrille |  Qu’est-il donc devenu ?,,,
"ISABEL |(¡Oh, si la puerta topase!).","ISABEL |(Oh, si la porte cogne !).","Florestan|Qu’est-il donc devenu ? Regarde là derriere,|Je le tenois tantost ; mais il m’est eschapé.","Florestan | Qu’est-il donc devenu ? Regarde là derriere, | Je le tenois tantost ; mais il m’est eschapé.",,,
MANUEL | ¿Quién está aquí?(Topa ISABEL con DON MANUEL y él la tiene|del azafate.),MANUEL | Qui est ici ? (ISABEL tombe sur DON MANUEL et il la prend chez l'intendant.),"Carrille|Aussi bien comme moy vous estes attrapé,|Et bien qu’en dites-vous ? ne vouliez-vous pas croire|Que c’estoit une fable, et non pas une histoire ?|Vous disiez que c’estoient imaginations,|Que la peur me faisoit avoir ces visions,|Cela suffit-il pas encor pour vous confondre ?| Ne le teniez-vous pas ?","Carrille | Aussi bien comme moy vous estes attrapé, | Et bien qu’en dites-vous ? ne vouliez-vous pas croire | Que c’estoit une fable, et non pas une histoire ? | Vous disiez que c’estoient imaginations, | Que la peur me faisoit avoir ces visions, | Cela suffit-il pas encor pour vous confondre ? |  Ne le teniez-vous pas ?",,,
"ISABEL |(Peor es esto,|que con el amo he encontrado).","ISABEL |(C'est pire que ça,|qu'avec le maître que j'ai trouvé).","Florestan|Ne le teniez-vous pas ? Je ne puis que respondre,|Il me vient de laisser ces hardes* dans les mains,| Et puis s’est eschapé.","Florestan | Ne le teniez-vous pas ? Je ne puis que respondre, | Il me vient de laisser ces hardes* dans les mains, |  Et puis s’est eschapé.",,,
