Line,Google Trad,Modernisé,similarity,5_closest
407,MANUELVotre|peur | Cela vous fera croire ces choses.,Florêtan|Tu n'échapperas pas. Aporte la lumière.,0,"[(0.72, '▁peur', 'êt'), (0.67, '▁peur', 'porte'), (0.67, '▁fera', 'porte'), (0.66, '▁croire', 'porte'), (0.64, 'UE', 'porte')]"
408,COSME | Et bien à mes dépens je les crois.,Carrille|Qu'est il donc devenu?,0,"[(0.68, '▁crois', '▁devenu'), (0.59, '▁dépens', '▁devenu'), (0.58, '▁bien', '▁devenu'), (0.4, '▁crois', '▁Qu'), (0.34, '▁dépens', '▁Qu')]"
409,"ISABEL |(Oh, si la porte cogne !).","Florêtan|Qu'est il donc devenu? Regarde là derrière,|Je le tenais tantôt ; mais il m'est échappé.",0,"[(0.69, '▁).', 'êt'), (0.68, '▁).', '▁tenais'), (0.65, '▁).', '▁tantôt'), (0.64, '▁).', '▁Regarde'), (0.62, '▁porte', '▁tenais')]"
410,MANUEL | Qui est ici ? (ISABEL tombe sur DON MANUEL et il la prend chez l'intendant.),"Carrille|Aussi bien comme moi vous êtes attrapé,|Et bien qu'en dites-vous? ne vouliez-vous pas croire|Que c'était une fable, et non pas une histoire?|Vous disiez que c'étaient imaginations,|Que la peur me faisait avoir ces visions,|Cela suffit-il pas encor pour vous confondre?|Ne le teniez-vous pas?",0,"[(0.75, '▁tombe', '▁êtes'), (0.71, '▁ici', '▁bien'), (0.7, '▁ici', '▁êtes'), (0.68, '▁ici', '▁croire'), (0.68, '▁tombe', '▁croire')]"
411,"ISABEL |(C'est pire que ça,|qu'avec le maître que j'ai trouvé).","Florêtan|Ne le teniez-vous pas? Je ne puis que répondre,|Il me vient de laisser ces hardes dans les mains,|Et puis s'est échappé.",0,"[(0.8, '▁trouvé', '▁répondre'), (0.78, '▁maître', '▁répondre'), (0.78, '▁trouvé', '▁vient'), (0.74, '▁pire', '▁répondre'), (0.74, '▁maître', '▁vient')]"
412,"MANUEL |Apporte la lumière, Cosme, je l'ai déjà| | à qui.","Carrille|Et puis s'est échappé. Voyez donc si je crains,|Que c'est avec raison Ah! Monsieur, je vous prie|Ne vous en moquez point.",0,"[(0.66, '▁Apport', '▁crains'), (0.66, '▁Cos', '▁Voyez'), (0.65, '▁lumière', '▁raison'), (0.65, '▁Cos', '▁Monsieur'), (0.64, '▁Apport', '▁Voyez')]"
413,COSME |Eh bien|ne le laisse pas partir.,"Florêtan|Ne vous en moquez point. C'est une raillerie,|De croire que jamais on me puisse charmer.",0,"[(0.66, '▁bien', '▁jamais'), (0.64, '▁bien', 'êt'), (0.63, '▁bien', '▁croire'), (0.63, '▁bien', '▁puisse'), (0.6, '▁laisse', '▁puisse')]"
414,,MANUEL|Je ne vais pas,0,[]
415,COSME | Tenle bien. |(Vase.),"Florêtan|Mais qu'en croyez-vous donc? Il est à présumer,|Que dis-je à présumer? sans doute qu'il doit être|Que c'est celle qui craint de se faire connaître,|Et qu'un de ses valets m'apportant ses écrits,|Était entré ceants, et se trouvant surpris,|T' a tué ta chandelle, et traité de la sorte,|Et s'est enfui après.",0,"[(0.75, '▁bien', '▁entré'), (0.7, '▁bien', '▁craint'), (0.7, '▁bien', '▁tué'), (0.68, '▁bien', '▁écrits'), (0.67, '▁bien', '▁surpris')]"
416,ISABEL |(Il a saisi le placard ,je l'ai laissé entre ses mains.|J'ai trouvé le placard. Au revoir!).|(Il part et il prend|le placard.),0,[]
417,"MANUEL |Qui que ce soit reste|jusqu'à ce qu'ils apportent la lumière,|car sinon le ciel vit,|qu'il le poignarde !|Mais j'embrasse seulement le vent|et je ne trouve qu'une chose|de vêtements et de peu de poids. |Qu'est-ce que ce sera ? Que Dieu m'aide, il m'a mis encore plus dans la confusion !| | (COSME sort avec la lumière.)",Florêtan|Et s'est enfui après. Par où? Par cette porte.,0,"[(0.75, '▁sort', '▁porte'), (0.74, '▁chose', '▁porte'), (0.71, '▁trouve', '▁porte'), (0.7, '▁vit', '▁porte'), (0.7, '▁lumière', '▁porte')]"
418,"COSME |Que l'elfe soit dans la lumière.|Eh bien, que devient-il ? N'était-il pas en prison ?|Qu'a-t-on fait ? Où est-il ?| | Qu'est-ce que c'est, monsieur ?","Carrille|Vous me feriez mourir, bien moquez-vous de moi,|Je l'ai vu, je vous jure, ainsi que je vous vois.",0,"[(0.76, '▁bien', '▁bien'), (0.72, '▁monsieur', '▁bien'), (0.69, '▁devient', '▁bien'), (0.66, '▁devient', '▁vois'), (0.61, '▁prison', '▁bien')]"
419,MANUELI n'a pas raison de répondre. Ces vêtements m'ont abandonné et se sont enfuis.|,Florêtan|Dis donc il est fait?,0,"[(0.74, '▁répondre', '▁Dis'), (0.69, 'LI', 'êt'), (0.65, 'LI', '▁Dis'), (0.62, '▁vêtements', '▁Dis'), (0.61, 'UE', 'êt')]"
420,COSME |Et que dites-vous de cette situation ?|Même si tout à l'heure vous-même|disiez que vous l'aviez|et que c'est parti au vent.|,"Carrille|Dis donc il est fait? Ah! de crainte j'en tremble,|Laissez-moi respirer ; il est fait ce me semble|Comme un coq d'Indenoir; mais trente fois plus grand.",0,"[(0.8, '▁dis', '▁Dis'), (0.77, '▁situation', '▁crainte'), (0.71, '▁situation', '▁Dis'), (0.68, 'aviez', '▁Laissez'), (0.66, '▁dis', '▁crainte')]"
421,"MANUEL |Je dirai que cette personne,|qui avec art et ingéniosité|entre et sort ici, ce soir|était enfermée à l'intérieur;|que pour sortir|la lumière t'a tué et ensuite|il m'a laissé l'hôtesse|et Je me suis échappé en fuyant.|","Florêtan|Voyez comme la peur saisit cet ignorant.|Tiens, pren.|(Lui donnant le panier.)",0,"[(0.81, '▁laissé', '▁donnant'), (0.8, '▁ensuite', '▁ignorant'), (0.79, '▁ensuite', '▁donnant'), (0.78, '▁sortir', '▁donnant'), (0.78, '▁lumière', '▁ignorant')]"
422,COSME | Par où?,"Carrille|Tiens, prends. Moi manier des choses infernales?",0,[]
423,MANUELPrès de cette porte.,"Florêtan|Pren, te dis-je, pendard.",0,"[(0.74, 'LP', 'êt'), (0.72, 'UE', 'êt'), (0.66, 'UE', 'ard'), (0.66, 'LP', 'ard'), (0.66, '▁porte', 'êt')]"
424,COSME |Tu vas me faire perdre la tête.|Vive Dieu!Je l'ai vu|dans les dernières réflexions|que l'étincelle a laissé|de la lumière qui était morte en moi.|,"Carrille|Pren, te dis-je, pendard. Monsieur, j'ai les mains salles.|Comme vous le voyez toutes pleines de suff.",0,"[(0.82, '▁dernières', '▁mains'), (0.8, '▁dernières', '▁pleines'), (0.8, '▁réflexions', '▁mains'), (0.77, '▁réflexions', '▁pleines'), (0.74, '▁laissé', '▁mains')]"
425,MANUEL | De quelle forme s'agissait-il ?,"Florêtan|Je ne connu jamais un maraud si craintif,|Dis-moi, de quoi peux-tu jamais être capable?",0,"[(0.75, '▁forme', 'raud'), (0.74, '▁forme', '▁jamais'), (0.72, '▁forme', '▁capable'), (0.64, '▁forme', 'êt'), (0.64, '▁forme', '▁craint')]"
426,"COSMEEIl était|un petit frère|et il portait|un grand cône,|qui, d'après ces signes, je pense|était un elfe capucin.|","Carrille|Ce n'est pas pour cela, mettez le sur la table,|Vous le verrez bien mieux.",0,"[(0.8, '▁portait', '▁mettez'), (0.77, '▁signes', '▁mettez'), (0.76, '▁grand', '▁mettez'), (0.75, '▁petit', '▁mettez'), (0.75, '▁signes', '▁verrez')]"
427,MANUEL |Ce que fait la peur !|Elle brille ici et ce qu'elle a apporté|nous verrons le petit macareux.|Vous avez cet intendant.|,"Florêtan|Vous le verrez bien mieux. Sus donc puisqu'il te plaît,|Ôtons ce taffetas, et voyons ce que c'est,|C'est une belle écharpe, et quelques confitures.",0,"[(0.9, '▁verrons', '▁verrez'), (0.77, '▁avez', '▁verrez'), (0.76, '▁ici', 'tons'), (0.75, '▁brille', 'tons'), (0.75, '▁verrons', 'tons')]"
428,COSME | Suis-je les hôtesses de l'enfer ?,Carrille|A-t-on jamais parlé de telles adventures?,0,"[(0.59, '▁hôtesse', '▁ad'), (0.59, 'enfer', 'venture'), (0.5, '▁hôtesse', '▁parlé'), (0.44, 'enfer', '▁parlé'), (0.43, 'enfer', '▁jamais')]"
429,MANUEL | Ayez-le | alors.,"Florestan|Et cette lettre icy, voyons ce qu'elle dit.|Lettre/p>|Je vay ce soir au bal, ne manquez pas d'en estre,|Recevez cette escharpe, et pour en faire cas,|Daignez de l'honorer d'un si genereux bras,|La portant cette nuit, je vous sçauray cognoistre.|Mais pour moy qui me vois de cent yeux esclairée|Pardonner si la peur de faire des jaloux,|Fait que je ne pourrois me descouvrir à vous,|Sans courir le hasard d'estre deshonorée.|Qu'un sort injurieux à tous malheurs me livre,|Si pour aymer je fais jamais un autre chois,|Et quand je cesseray de reverer vos loix,|Croyez qu'assurément je cesseray de vivre.",0,"[(0.72, '▁Ay', '▁Recevez'), (0.7, '▁Ay', '▁Croyez'), (0.68, '▁Ay', '▁Qu'), (0.64, '▁Ay', '▁Flore'), (0.64, '▁Ay', '▁Lettre')]"
430,"COSME |Mes mains |sont sales, monsieur, avec le suif|de la bougie et je tacherai|le taffetas qui la recouvre; Ce serait mieux si vous le mettiez au sol.|","Florêtan|Aporte, donne moi promptement mon habit,|Fut-il jamais au monde une telle surprise?",0,"[(0.73, '▁mains', '▁donne'), (0.71, '▁monsieur', '▁donne'), (0.7, '▁tache', '▁donne'), (0.69, '▁tache', '▁surprise'), (0.68, '▁mains', '▁surprise')]"
431,"MANUEL |Ce sont des vêtements blancs et un morceau de papier.|Voyons si le frère est discret.|(lit.)|« Depuis le peu de temps que vous vivez dans cette maison, il n'a pas été possible de confectionner plus de vêtements ; Une fois fait, cela sera réalisé. A ce que vous dites de votre ami, persuadé que je suis la dame de Don Luis, je vous assure que non seulement je ne le suis pas, mais que je ne peux pas l'être ; et je laisse cela en vue, que ce sera bientôt. Dieu te protège. |Baptisé est cet elfe,| | |car Dieu se souvient.",,0,[]
432,COSME | Le voyez-vous | Comment existe-t-il un elfe religieux ?,,0,[]
433,"MANUEL |Il est bien tard ; va faire|les valises et les coussins,|et dans un sac mets ceux-ci|(Donnez-lui des papiers.) papiers, qui sont tout|ce que nous cherchons, que j'essaie|tant que je laisse une réponse|à mon elfe. (Mettez-les sur une chaise et DON MANUEL écrit.)",,0,[]
434,"COSME |Ici|Je les veux, |pour ne pas les oublier|et qu'ils soient à portée de main, pose-les|pendant que je m'arrête un moment|juste pour dire ceci:|as-tu déjà cru qu'il y avait des lutins ?|",Carrille|Croyez-vous aux esprits?,1,"[(0.73, '▁oublier', '▁esprits'), (0.68, '▁Ici', '▁esprits'), (0.65, '▁cru', '▁Croyez'), (0.63, '▁veux', '▁esprits'), (0.63, '▁pose', '▁esprits')]"
435,MANUEL | Quelle absurdité !,"Florêtan|Croyez-vous aux esprits? Ah Dieux, quelle sottise!",1,"[(0.58, 'absurdité', '▁Dieu'), (0.55, 'absurdité', 'otti'), (0.54, 'absurdité', 'êt'), (0.53, 'UE', 'êt'), (0.53, 'UE', '▁esprits')]"
436,"COSME | Est-ce un non-sens ? Voyez-vous vous-même tant d'effets, comme un cadeau qui arrive entre vos mains dans le vent, et vous en doutez encore ? Mais vous faites bien,|si tout se passe bien pour vous ;|mais laissez-moi faire,|quel pire parti j'ai,|croyez-le.","Carrille (en habillant son maître.)|Vous en dites autant de tout ce que je fais,|Vous en voyez vous-même arriver tant d'effets,|Vous voyez un présent que par l'air on vous porte,|Que l'on entre ceants sans passer par la porte,|Et vous n'en croyez rien? Mais à ce que je vois|Tout le bien est pour vous, et tout le mal pour moi.",0,"[(0.96, 'effets', 'effets'), (0.83, '▁Voyez', '▁voyez'), (0.83, '▁croyez', '▁croyez'), (0.82, '▁pire', '▁voyez'), (0.82, '▁pire', '▁présent')]"
437,MANUEL |De quelle manière ?,Florêtan|Comment le mal pour toi?,0,"[(0.53, 'UE', 'êt'), (0.44, '▁manière', 'êt')]"
438,"COSME |Voici comment je le prouve :|s'ils gâchent nos vêtements,|tu ris beaucoup en le regardant|et c'est moi qui l'invente,|ce n'est pas une mince affaire;|s'ils te laissent des papiers| et ils prennent deux concepts,| Ils me laissent des charbons | et ils prennent mon argent; ,|les wallons et les mouchoirs,|ça me fait peur|de l'entendre et de le savoir;|oui, quand nous venons tous les deux ici presque en même temps temps,|on vous donne une hôtesse|si soignée et posée,| Cela me rend malade|dans ces plaisanteries|si énormes et si grandes|que cela me fait cracher la cervelle.|Pour vous seul, monsieur,|c'est le plaisir et le bénéfice;|pour moi la peur et les dégâts;|et cela a pour effet l'elfe|pour toi une main de laine,|pour moi une main de fer.|Eh bien, laisse-moi le croire,|que la souffrance est vivifié|vouloir nier à un homme|ce qu'il arrive et voit.|","Carrille|Comment le mal pour toi? Si je vois qu'on renverse|Nos hardes en ce lieu, pour en faire un commerce,|J'ai la peine, et le soin de les raccommoder,|Vous ne faites que rire, et que me gourmander,|On vous fait des présents, avec des confitures,|Moi, l'on me fait jeuner, et n'aique des injures,|On ne me donne rien si ce n'est du charbon,|Si je perds mon argent, on m'appelle bouffon,|On écrit, on vous flatte, on vous élève en gloire,|À moi d'un coup de poing on me rompt la mâchoire.",0,"[(0.9, '▁charbon', '▁charbon'), (0.9, '▁argent', '▁argent'), (0.87, '▁vouloir', '▁renverse'), (0.86, '▁prouve', '▁renverse'), (0.85, '▁prennent', '▁vois')]"
439,"MANUEL |Faites vos valises et c'est parti,|Je vous attends dans la chambre| |de don Juan.",Florêtan|Je l'espierai si bien que je la surprendrai.,0,"[(0.67, '▁chambre', 'êt'), (0.65, '▁attend', '▁surprend'), (0.58, '▁Juan', '▁surprend'), (0.56, '▁Juan', 'êt'), (0.53, 'UE', 'êt')]"
440,"COSME |Eh bien, qu'est-ce qu'il y a à faire, |si là, habillé en noir|il faut marcher et cela se fait|en prenant une mésange bleue ?|","Carrille|Et vous dirai, je gage, encor qu'il n'est pas vrai,|Je n'en veux point avoir de plus grand témoignage",0,"[(0.72, '▁habillé', '▁dirai'), (0.7, '▁prenant', 'cor'), (0.67, '▁faut', '▁vrai'), (0.65, '▁faire', '▁vrai'), (0.65, '▁faut', '▁dirai')]"
441,"MANUEL |Laissez-le fermé et prenez la clé; si à ce moment-là|on en a besoin, Don Juan en a une autre. Confus, je suis absent|car je ne sais pas déjà|ce qui doit arriver si tôt;|mais l'un compte pour l'honneur|de ma maison et mon revenu,|et l'autre seulement pour le goût;|et ainsi entre les deux extrêmes,| où l'honneur est le plus, tout le reste est moins.| | (Sortie. DOÑA ÁNGELA, DOÑA|BEATRIZ et ISABEL sortent.)","Florêtan|Allons sans discourir en ce lieu davantage.|Isabelle, Angélique, Lucinde",0,"[(0.77, '▁absent', '▁lieu'), (0.76, 'tie', 'êt'), (0.73, '▁compte', '▁lieu'), (0.71, '▁maison', '▁lieu'), (0.68, '▁sais', '▁lieu')]"
442,ANGELA : Est-ce que ça t'est arrivé ?,"Isabelle|Tout comme je vous dis était désespéré,|Mais je l'ai sans mentir plaisamment reparé.",0,"[(0.65, '▁arrivé', '▁dis'), (0.61, '▁arrivé', '▁repar'), (0.6, '▁arrivé', '▁désespéré'), (0.5, '▁arrivé', '▁plais'), (0.38, '▁arrivé', 'am')]"
443,"ISABEL |Maintenant, j'ai vu tous les embellissements perdus,|car, s'il me voyait là,|ce serait une force, madame,|de tout révéler;|mais, en fait, je me suis échappé de la manière|je vous l'ai dit.","Angélique|Tu nous contes ici de bien étranges choses,|Et je doute quasi que tu nous les supposes|Je ne puis sans mentir l'imaginer encor,|Isabelle il est vrai, tu vaux ton pesant d'or.",0,"[(0.79, '▁perdus', '▁ici'), (0.78, '▁échappé', '▁ici'), (0.77, '▁échappé', '▁étranges'), (0.76, '▁perdus', '▁étranges'), (0.76, '▁voyait', '▁ici')]"
444,ANGELA C'était|étrange | événement,"Isabelle|Si dans les accidents j'eusse été moins experte,|Votre fourbe sans doute eût été découverte,|Ce n'a pas toutefois été sans avoir peur,|Mais je l'ai fait avoir plus grande au serviteur.",0,"[(0.83, '▁étrange', '▁accidents'), (0.81, '▁étrange', 'be'), (0.8, '▁étrange', '▁four'), (0.75, '▁étrange', '▁découverte'), (0.74, '▁étrange', '▁serviteur')]"
445,"BEATRIZ |Et|il faut donner de la force à la tromperie, |sans avoir vu des gens,|pour voir qu'ils donnent un spectacle et qu'ils sont absents.|","Lucinde|Le succès en effet en est plus qu'admirable,|Et rendra cette fourbe encor plus vraisemblable,|Je voudrais bien propavoir ce qu'il pense à présent,|De sentir qu'en ses mains on avait mette un présent,|Qu'il reçoive une lettre et qu'il n'ait vu personne,|Quelque esprit fort qu'il ait il faut qu'il s'en étonne.",0,"[(0.82, '▁faut', '▁faut'), (0.78, '▁faut', '▁bien'), (0.76, '▁voir', '▁succès'), (0.75, '▁voir', '▁bien'), (0.75, '▁spectacle', '▁succès')]"
446,"ANGELA | Si après cela j'arrive à me voir comme je te le dis, je ne doute pas que je perdrai. |le procès.",Angélique|Il aura bien sujet d'être plus interdit|Quand nous effectuerons ce que nous avons dit.,0,"[(0.74, '▁procès', '▁interdit'), (0.72, '▁procès', '▁bien'), (0.7, '▁voir', '▁bien'), (0.69, '▁procès', 'lique'), (0.63, '▁voir', '▁interdit')]"
447,"BEATRIZL'attention la plus sérieuse et la plus saine |est une force qui t'effraie,|Angela, avec un événement similaire,|parce que vouloir l'appeler|sans savoir d'où il vient et qu'il se retrouvera|alors avec une dame|si belle, si riche et d'une telle renommée, |sans savoir qui il est ni où il habite|-que c'est ce que lui dit votre ingéniosité-,|et ayant, couvert et aveugle,|pour sortir encore et douter plus tard,| |Qui ne faut-il pas admirer ?","Lucinde|Qui ne serait confus se trouvant en sa place?|Le fait est très subtil, mais grands Dieux quand sera ce?",0,"[(0.84, '▁Angela', 'inde'), (0.82, '▁Angela', '▁grands'), (0.82, '▁dame', 'inde'), (0.81, '▁retrouvera', 'inde'), (0.8, '▁vouloir', '▁grands')]"
448,"ÁNGELA Tout | prévenu | est déjà et parce que tu es ici, cela n'a pas été | aujourd'hui la première nuit | |qui doit venir|me voir.","Angélique|Cette nuit, je n'attends pour lui jouer ce tour,|Que l'heure et le moment qu'il sera de retour,|Il ne s'est vu jamais si surpris en sa vie|Comme il sera tantôt.",0,"[(0.74, '▁venir', '▁tantôt'), (0.73, '▁nuit', '▁tantôt'), (0.73, '▁venir', 'lique'), (0.73, '▁venir', '▁surpris'), (0.72, '▁nuit', '▁nuit')]"
449,BEATRIZ |Je ne savais pas | Je fais taire l'événement | de ton amour?,Lucinde|Comme il sera tantôt. Mon âme en est ravie.,0,"[(0.75, '▁taire', '▁tantôt'), (0.73, '▁amour', '▁âme'), (0.72, '▁savais', 'inde'), (0.71, '▁taire', 'inde'), (0.7, '▁taire', '▁âme')]"
450,"ANGELA |// Non, cousine, ce n'est pas pour cela, |mais parce que, étant à la maison|vous, comme mes frères, êtes brûlés par|ton amour, ils ne le quittent pas,|adorant les rayons de votre étoile ; |et je m'aventurerais dehors,|n'étant pas absent, je m'engage.| | (DON LUIS sort vers le drap.)","Angélique (à Isabelle.)|Toi sitôt qu'un chacun se sera retiré|Tu sais bien ce que j'ai tantôt délibéré,|Apprête la lumière, afin d'aller moi-même|Dans sa chambre quérir ce beau portrait qu'il aime,|Je ne veux pas qu'un homme à qui je veux du bien,|Chérisse si je puis d'autre objetque le mien.|Fin du troisième Acte.|Angélique, Carrille, Lucinde",0,"[(0.83, '▁amour', '▁aime'), (0.83, '▁sort', 'sse'), (0.81, '▁amour', '▁homme'), (0.81, '▁sort', '▁retiré'), (0.8, 'DON', '▁retiré')]"
451,"LUIS |//(Oh, mon Dieu, qui pourrait|cacher son affection ! Qui mettrait|une limite à la pensée,|un frein à la voix et une loi au sentiment !|Mais puisque avec moi|je peux si peu faire que Je ne peux pas y parvenir,| à partir de là je dois essayer moi-même|de vaincre ma passion et mon rapport).|","Angélique|Isabelle m'as tu préparé la lumière?|Il est temps que je passe à présent là derrière,|Chacun est retiré, je pourrai librement|Aller sans qu'on me voie en son appartement.|Mais de peur de surprise, ajuste la chandelle|Dans la lanterne sourde et sois en sentinelle,|Je ne l'ouvrirai point que je ne sois dedans,|De crainte que quelqu'un qui peut veiller céans,|Descouvre la clarté, vous cousine allez faire|Ce que vous savez bien nous être nécessaire:|Mais Dieux j'oubliais bien ici le principal,|De l'avertir qu'il vienne à son retour du bal,|Il me faut promptement écrire un mot de lettre,|Il n'y manquera pas, oui je m'ose promettre|Qu'il me viendra trouver, où je le manderai.",0,"[(0.9, '▁dois', '▁faut'), (0.86, '▁cacher', '▁veiller'), (0.85, '▁mettrai', '▁veiller'), (0.85, '▁vaincre', '▁veiller'), (0.85, '▁rapport', '▁cousine')]"
452,"BEATRIZ |Je dirai quelle chance|sera disponible pour éviter de te faire|un mauvais tiers et me retrouver|ici, car je regretterais d'être absente|sans voir l'effet| |ce que je souhaite.","Lucinde|Ne doutez point de moi, croyez que je ferai|Mieux que vous ne croyez.",0,"[(0.83, '▁dirai', '▁ferai'), (0.83, '▁chance', 'inde'), (0.83, '▁chance', '▁ferai'), (0.8, '▁absente', '▁ferai'), (0.79, '▁ici', '▁ferai')]"
453,"ANGEL : Eh bien, dis-moi comment.","Isabelle|Mieux que vous ne croyez. Et moi je vous proteste|Que je viendrai fort bien à bout de tout le reste.|Florêtan, Carrille",0,"[(0.69, '▁bien', '▁bien'), (0.53, '▁dis', '▁prot'), (0.48, '▁bien', '▁prot'), (0.47, '▁dis', '▁Mieux'), (0.45, '▁dis', '▁croyez')]"
454,"LUIS |(De quoi parlent-ils tous les deux,|qu'ils s'appuient sur le même souffle ?).|","Florêtan|On t'a pris ton flambeau, maraud, je gagerais|Qu'on te l'a derobé pendant que tu dormais,|Comment me coucherai-je à présent sans chandelle?",0,"[(0.75, '▁souffle', '▁flambeau'), (0.73, '▁).', 'rais'), (0.71, '▁souffle', '▁gage'), (0.69, '▁).', 'êt'), (0.69, '▁).', '▁gage')]"
455,"BEATRIZ |Nous publierons tous les deux|que mon père m'a envoyé chercher et nous|le défaireons de manière|que, comme tout le monde est déjà parti,|je resterai à nouveau à la maison...|","Carrille|Si vous ne désirez à présent que j'appelle|Quelqu'un dans le logis, vous n'en apauriez avoir.|Mais ne sauriez-vous pas vous coucher sans y voir?|Votre lit est tout prêt.",0,"[(0.8, '▁chercher', '▁voir'), (0.75, '▁chercher', 'appelle'), (0.74, '▁publier', 'appelle'), (0.72, 'ons', 'appelle'), (0.72, '▁parti', '▁voir')]"
456,"LUIS | (Qu'est-ce qui arrive, mon Dieu, à mon grief ?).","Florêtan|Votre lit est tout prêt. Penses-tu que je veuille|Faire du bruit céans, afin que je rêveille|Tout le monde qui dort? Ouvre donc promptement.",0,"[(0.81, '▁).', '▁veuille'), (0.77, '▁grief', '▁veuille'), (0.69, '▁).', 'êt'), (0.66, 'UI', '▁Faire'), (0.65, '▁arrive', '▁dort')]"
457,"BEATRIZ |...et, caché dans le secret|//sans entrave je pourrai voir l'effet...|",,0,[]
458,"LUIS |(Qu'est-ce que c'est, un paradis injuste ?).",,0,[]
459,BEATRIZ |...ce qui doit être un tel plaisir pour moi.,,0,[]
460,"ANGELA |Et puis, que dirons-nous| | te revoir ici ?",,0,[]
461,BEATRIZEh bien|n'aurons-nous pas |-à quel point cela vous admire !-|l'ingéniosité pour faire un autre mensonge ?|,,0,[]
462,"LUIS |(Oui, vous le ferez. J'entends cela !|Avec de nouveaux chagrins et tourments, je me bats).|",,0,[]
463,"BEATRIZ |Avec cela, sans témoins et en secret,|je verrai l'effet de cet amour remarquable,|eh bien, étant caché|Moi et la maison étant rassemblés,|sans scandale je prétends|qu'il peut passer de sa chambre à la vôtre .|",,0,[]
464,"LUIS//(Très clairement, j'en déduis |-je vis lâche et j'ose mourir-|son intention. Plus heureux|mon frère le mérite. Je suis jaloux!|Il préfère lui donner|l'opportunité qu'il désire et c'est ce qu'il veut| qu'il sorte de sa chambre,|sans que personne ne le sache, et je me brûlerai.|Et, parce que sans témoins|ils réussissent, ô ennemis !,|en mentant mes soupçons,|il veut me salir. |Eh bien, s'il en est ainsi, ciel,|pour que ton amour soit entravé, j'en appelle;|et, quand il sera caché|en cherchant une autre occasion, avec audace|résolution je verrai toute la maison|jusqu'à ce que je la trouve, car le feu qui me brûle n'a plus d'autre moyen que de gêner est le dernier remède du jaloux. Aide-moi, cieux saint, car brûlé d'amour, je meurs de jalousie !). |(Sortie.)",,0,[]
465,"ANGELA |Soyez bien préparés,|et demain nous dirons que vous êtes parti. (DON JUAN sort.)",,0,[]
466,JEAN | Ma sœur ! Belle Béatriz !,,0,[]
467,BEATRIZ |Vous nous avez déjà manqué.,,0,[]
468,"JUAN |Si|mon étoile |tant de bonheurs s'améliorent|que ton soleil me manque, madame,|de moi-même envieux|je me considérerai suspect,|comment il n'a pas été possible|que tu aies mérité|mon amour ce soin; | et ainsi, envieux et envié de moi,|j'aurai dans un si doux abîme|Je me plains et m'envie.|",,0,[]
469,"BEATRIZ |Je ne veux pas contredire|un argument, don Juan, si flatteur,|que quelqu'un qui a tant tardé à venir me voir et qui m'a oublié,|qui doute qu'il|se divertisse? Oui, et là il aurait|envie de sa fortune|et de la pitié, en perdant la beauté|qui l'amuse tant;|alors bien sûr il prouve ce sort|avec un certain syllogisme|de pitié et d'envie de lui-même.|",,0,[]
470,"JUAN |Si ce n'était pas pour m'offenser, moi et toi,|j'essaierais, Beatriz, de te satisfaire|en te disant que j'ai été|avec Don Manuel, mon hôte, actuellement occupé avec son départ,| |parce qu'il est parti ce soir.",,0,[]
471,ANGELA | Oh ma vie !,,0,[]
472,"JUAN | Quoi, ma sœur, c'est la frayeur ?",,0,[]
473,ANGELA | Un plaisir ressort comme un déplaisir.,,0,[]
474,"JUAN |Je suis désolé que ce ne soit pas|un plaisir comblé que voit ta poitrine,|car elle reviendra demain.|",,0,[]
475,"ANGELA |(Revivez un espoir vain). |J'avais déjà eu peur,|de la rapidité avec laquelle la colère nous envahissait,|qu'elle soit toujours importune.|",,0,[]
476,"JUAN |Je ne soupçonne pas qu'il vous en donnera,|mais plutôt que vous et Don Luis manifestez du mécontentement|parce que c'est quelque chose dans lequel j'ai pris plaisir.|",,0,[]
477,"ANGELA |Je ne veux pas te répondre,|même si j'ai une bonne idée, et c'est pour ne pas te jouer|un mauvais jeu, étant maintenant|tiers de ton amour, car personne n'ignore|que les fleurs de un tricheur exerce l'amour|main dans la main mieux qu'avec un tiers.| Viens, Isabel, avec moi|(car cette nuit même je me force à apporter|le portrait, parce que je peux|passer avec plus d'espace et moins de peur.| Vous m'avez prêt|une lumière et dans laquelle il puisse être caché;|car il ne faut pas qu'il y ait, contre ma renommée,|qui m'écrit le portrait d'une autre dame).|(Sort.)",,0,[]
478,BÉATRICE | Je ne pense pas que les subtilités vous dérangent.,,0,[]
479,JUAN |Le|carat que je prouve |de ma foi -car c'est beaucoup-| | dans un|discours.,,0,[]
480,BÉATRICE |Souhait.|,,0,[]
481,"JUAN |Attends,|écoute : |Belle Beatriz, ma foi est si vraie,|mon amour si ferme, mon passe-temps si étrange,|que même si je ne t'aimais pas, je te désirerais,|contre ma propre affection, je je t'aimerais.|Estimer ma vie de telle sorte que, si je pouvais t'oublier, je t'oublierais, parce que plus tard, par choix, je t'aimerais; le libre arbitre me l'accorde.|Je ne peux pas t'oublier, belle Beatriz,|et je suis désolé de voir à quel point mon étoile reste fière|de la victoire de ton amour.|",,0,[]
