,biancolelli-ecole-galante,dufresny-depart-des-comediens,Cost,Operation Type
218,"('#argentine', ""Quoi, vous vous préparez à terminer mes jours, Et vous voulez vous-même en abréger le cours ? Détournez loin de moi cet appareil terrible, Qu'à mes vives douleurs vôtre coeur soit sensible. De tout ce que j'ai fait, ingrat est-ce le prix ? Par où donc ai-je pu m'attirer vos mépris ? Ha, de mes tristes yeux voyez couler mes larmes, Et daignez dissiper mes mortelles alarmes. Quand je veux vous donner le nom de mon époux, Que je cherche à répondre à vos voeux les plus doux, Vous pouvez vous résoudre à m'arracher la vie ! Vôtre fureur sur moi doit-elle etre assouvie ? A vos jaloux soupçons vous voulez m'immoler, Et c'est par vous, cruel, que mon sang, doit couler ?  Pendant qu'Argentine dit ces vers, Arlequin petit à petit laisse tomber toutes ses Armes en pleurant à sa manière, et faisant des lazzi tout plaisants, après quoi Argentine prend un mousqueton et va sur Arlequin, qui se met à genoux devant elle en criant."")","('#arlequin', ""Oui : mais ces ajustements de l'habit du jour, où les prendrez-vous, si vous n'avez point de métier pour les gagner."")",0.67,Substitution
219,"('#argentine', ""Non, c'est sur toi qu'il faut qu'éclate ma colère, Je veux exécuter ce que tu n'as su faire, C'est à présent mon tour, et je vais te purger. C'est donc ainsi, faquin, que tu veux te venger ? Ah ! Le vilain magot, apprends à me connaître, Si tu viens au Logis, ma foi, par la fenêtre Je te ferai sortir."")","('#octave', 'Où je les prendrai ?  Ah, ah ! Où je les prendrai !  Je vois bien que tu ne te connais pas en physionomie. Il rit.')",0.75,Substitution
220,"('#arlequin', 'Mais...')",,1.0,Insertion
221,"('#argentine', ""Tu parles, je crois ? Je te conseille encor de te jouer à moi ; Dans ta bouche je veux mettre quelque pilule, Mais non, de te tuer je me fais un scrupule, Tu n'en vaux pas la peine : adieu, maître poltron ; C'est ainsi que je sais punir un fanfaron. Elle entre."")","('#arlequin', ""Ah, ah, je vous entends. C'est-à-dire, vous dépenserez les libéralités de quelque vieille dupe, qui se sera fort mal à propos coiffée de votre noire peau."")",1.0,Substitution
222,,"('#octave', 'À midi, je prendrai un consommé.  À...')",1.0,Deletion
223,"('#arlequin', ""Voilà comme l'on doit se tirer d'une affaire, Ma foi, j'ai bien du coeur, et l'on ne peut mieux faire, Ah ! Chien de naturel ! J'admire ma valeur, Une femme aujourd'hui m'outrage et me fait peur ! "")","('#arlequin', ""Je vous quitte de ce détail-là ; je sais par coeur le journal coquet d'un comédien distingué.  Mais, faites-vous réflexion que nous fermons le théâtre, et qu'en France on oublie bien vite ce qu'on n'a plus devant les yeux ?  Croyez-moi, quelque mérite qu'ait un acteur, il cesse de briller quand le théâtre ne le met plus en vogue."")",0.93,Substitution
224,"('#pierrot', ""Petit fouille-partout, Dieu plus méchant qu'un Diable, Amour, c'est trop long temps me rendre misérable : Depuis que sur Pierrot décochant tous tes traits, Tu l'as fait par malice entrer dans tes filets, Il ne fait que languir, pleurer, gémir, et braire, Ma foi pour me guérir je ne sais plus que faire. J'ai depuis quelque temps un cours de ventre affreux : Argentine, mamour, doux objet de mes voeux, Quand soulagerez-vous le tourment que j'endure ? Vous avez un onguent très bon pour la brûlure. Aouf, quel gros soupir ! Non ce n'est pas un jeu, Je brûle là dedans, au feu, Messieurs, au feu."")","('#octave', ""Je veux me retirer vous dis-je.  Le mérite le plus caché est celui que les dames recherchent avec le plus d'empressement."")",0.93,Substitution
225,"('#scaramouche', 'Pourquoi crier au feu, ta Maison brûle-t-elle ?')",,1.0,Insertion
226,"('#pierrot', ""Hélas, c'est que l'amour me trouble la cervelle : Je suis devenu fou par faute de raison, Et dans mon estomac je sens comme un tison,  Qui petit à petit par les deux bouts s'allume ; Je crains bien qu'à la fin ce feu ne me consume : Argentine est l'objet qui me fait tant languir, Elle m'aime beaucoup, et ne peut me souffrir."")",,1.0,Insertion
227,"('#scaramouche', ""Aux dépens de Pierrot, ma foi je prétends rire : C'est donc-là la beauté pour qui ton coeur soupire ? Comment pauvre nigaud veux-tu t'en faire aimer ? Peut-on en te voyant se laisser enflammer ? Un habit de meunier te sert de couverture, Tu n'as point de cheveux, et ta laide figure Doit plutôt dans une âme inspirer du mépris : Aujourd'hui, mon enfant, on s'attache aux habits, Et quand tu serais beau comme un petit Narcisse, Si tu n'est bien vêtu, tu seras un Jocrisse,"")","('#arlequin', ""Il est certain négoce où l'on perd beaucoup en quittant boutique."")",1.91,Substitution
228,"('#pierrot', ""Comment, c'est donc l'habit qui donne de l'amour ?"")",,1.0,Insertion
229,"('#scaramouche', ""Aux habits, à l'argent les femmes font la cour : Est-on riche et bien mis, on doit s'attendre à plaire, La femme aime l'éclat, et non pas la misère. Fagoté de la sorte avec ce vêtement, On te prendrait ma foi pour un sac de froment : Mais si Pierrot voulait reformer sa figure, Et comme un petit Maître affecter la parure, Se mettre tout en frange, et se poudrer le dos, Il serait en amour reçu comme un héros. Oui tu serais couru de toutes les coquettes, Des Dames du grand air, et même des grisettes : Je vais, si tu le veux, pour te mettre en crédit, Dans ce même moment te chercher un habit."")","('#octave', ""On n'a que faire d'enseigne, quand on est bien achalandé."")",1.89,Substitution
230,"('#pierrot', ""Tope, je le veux bien, que j'aurai bonne mine ! Je suis sûr de charmer mon aimable Argentine, Quand elle me verra couvert d'un bel harnois : Dans le fond je n'ai pas un trop vilain minois,  Ce n'est que cet habit qui seul me défigure, Sans cela j'aurais eu quelque bonne aventure. Scaramouche revient avec un habit tout garni de franges de soie, le chapeau et les gants de même ; il habille Pierrot, après quoi il lui dit qu'il est trop pâle, et qu'il faut lui donner un peu de couleur ; il prend une palette de Peintre, et lui barbouille le visage avec différentes couleurs ; il lui met ensuite une Perruque et le poudre par tout, en disant que c'est la mode d'être en frange et bien poudré : après plusieurs jeux de théâtre il le laisse en lui disant qu'il va avertir Argentine de le venir voir ; mais il dit qu'il veut le faire rosser, et que pour cet effet il va envoyer des gens de sa connaissance qui en feront l'office."")","('#arlequin', ""Quand on trafique des colifichets, et qu'on n'a que des babioles à vendre, il faut étaler en place marchande pour en avoir le débit.  En un mot, je ne veux point m'associer avec vous."")",0.96,Substitution
231,"('#pierrot', ""Voilà ce qui s'appelle être sur le bon pied, Au Diable l'habit blanc, fi je faisais pitié : Sous ces beaux ornements je pourrai bien paraître, Je crois qu'ainsi vêtu j'ai l'air d'un petit Maître. Quatre Danseurs avec des bâtons entrent au son des violons, font une danse figurée, en chargeant Pierrot de coups ; après quoi ils prennent un tapis, le mettent dedans, et l'emportent en cadence. Pierrot crie, et le second acte finit."")",,1.0,Insertion
232,"('#octave', ""Quand du puissant amour nous ressentons les feux, Ce vainqueur aisément nous rend ingénieux ; A qui subit ses lois il n'est rien d'impossible, Ce Dieu fait surmonter un obstacle invincible : C'est par lui que Spinette a trompé le Docteur, Ce tour est merveilleux, et j'en ris de bon coeur. Mais il faut au plutôt m'assurer de la belle, Quoique son père fasse exacte sentinelle, Je prétends l'enlever, le dessein en est pris, Et je ne puis enfin être heureux qu'à ce prix."")","('#octave', ""Va, va, je n'ai que faire de ta société ; je trouverai bien dans Paris quelque illustre associé qui m'apprendra le fin du commerce."")",0.98,Substitution
233,"('#leandre', ""Cher ami, vos conseils ont engagé mon âme A brûler comme vous d'une fidèle flamme ; Les leçons d'Arlequin m'ont su déterminer, Je vous fais un aveu qui doit vous étonner : L'indifférence était de mon coeur, le partage, Mais l'amour aujourd'hui s'y fait un doux passage."")",,1.0,Insertion
234,"('#octave', 'Vous aimez ?')","('#arlequin', ""À quel emploi vous destinez-vous, s'il vous plaît ?"")",0.95,Substitution
235,"('#leandre', ""C'en est fait, j'ai cédé malgré moi, Je n'ai pu me soustraire à l'amoureuse loi : Vainement les plus fiers cherchent à s'en défendre, Et cent fois plus que vous, ami j'ai le coeur tendre. Pour marquer à ma belle un violent amour, Je la dois enlever avant la fin du jour ; Et pour la délivrer du jaloux qui l'obsède, Cette grande entreprise en est le seul remède."")",,1.0,Insertion
236,"('#octave', ""Nos desseins sont égaux, pour preuve de mes feux, Je tromperai les soins d'un père trop fâcheux ; Par un enlèvement digne de ma tendresse, Je m'assure aujourd'hui de ma chère Maîtresse : Mais quelle est la beauté dont vous êtes épris ? Vous le savez assez, je suis de vos amis, Ne me déguisez rien. "")","('#le-comedien', ""Moi ?  Je suis retenu auprès d'une comtesse."")",1.63,Substitution
237,,"('#arlequin', 'Est-ce en qualité de singe ou de doguin ?')",1.0,Deletion
238,,"('#le-comedien', ""Non : c'est pour lui apprendre la langue."")",1.0,Deletion
239,,"('#arlequin', 'Hé, quelle langue ?  Grecque, latine, hébraïque, syriaque ?')",1.0,Deletion
240,"('#leandre', ""Non, c'est vôtre voisine, Elle loge ici près, et se nomme Argentine."")","('#le-comedien', ""Non, c'est la langue des mines agréables, gentilles, et mignonnes."")",1.34,Substitution
241,"('#octave', ""Comment, que dites-vous ? Vous me surprenez fort, Argentine ! Vraiment d'un si tendre transport Vôtre Maître Arlequin vous sera redevable, Vous en usez fort bien avec ce pauvre Diable, Qui charitablement vous a tantôt instruit : Il devait, ce dit on, l'épouser cette nuit."")","('#arlequin', ""Le langage minaudier ?  Diable !  C'est une mère langue, une langue vivante : car les vieilles minaudent aussi volontiers que les jeunes.  Montrez-moi un peu le dictionnaire et la grammaire de cette langue-là."")",1.45,Substitution
242,"('#leandre', ""Arlequin, dites-vous ! L'aventure est plaisante, Je ne le savais pas."")",,1.0,Insertion
243,"('#octave', ""Un tel aveu m'enchante."")","('#le-comedien', 'Le dictionnaire : le voilà. Il fait une grimace. ')",1.48,Substitution
244,"('#leandre', ""Je l'ai trouvé tantôt, et comme un imprudent Je l'ai de mes secrets rendu le confident, En l'instruisant d'abord de ma flamme nouvelle : Mais que faire ? Mon cher, j'adore cette belle, A ses yeux Arlequin est un monstre odieux, Si j'en crois ses discours, je lui plais beaucoup mieux : M'avoir pour son époux est ce qu'elle désire, Et mon coeur amoureux à ce bonheur aspire. Malgré le noir souci du jaloux Arlequin, J'ai chargé d'un billet mon valet Mezzetin ; Lui-même à cette belle aura soin de le rendre ; Il sait où la conduire, et moi je vais l'attendre."")","('#arlequin', ""Voilà un dictionnaire d'une vilaine impression.  Faites-moi voir dans votre grammaire quelque dialogue entre une femme et un officier, qui se parlent d'une loge à l'autre. Le Comédien fait des grimaces épouvantables, tantôt d'un côté, tantôt de l'autre, pour marquer l'homme et la femme. "")",0.79,Substitution
245,"('#octave', ""De grâce, cher ami, ne m'abandonnez pas, Je veux avec Spinette accompagner vos pas, Et dans le même endroit conduisant nos Maîtresses, Nous ferons éclater nos égales tendresses. Le Docteur doit dans peu sortir de la Maison, Vous pouvez me servir en cette occasion."")","('#arlequin', ""Fi, fi !  Arrêtez-vous, je n'en veux pas voir davantage.  Voulez-vous prendre un conseil d'ami ?  C'est de vous en aller à la campagne, et tâcher de vous louer pour épouvantail en quelque chènevière : car tant que vous resterez dans la troupe, vous volerez la part, et vous ferez fuir les spectateurs.  À le bien prendre, vous n'êtes propre à rien."")",0.38,Substitution
246,"('#leandre', ""Octave j'y consens. Et vôtre amour me touche."")","('#arlequin', ""Et vous, monsieur, qu'allez-vous faire ?"")",1.62,Substitution
247,"('#octave', 'Voici fort à propos mon valet Scaramouche.')",,1.0,Insertion
248,"('#octave', ""Attends ici Spinette. Il faut enlever, Avec elle bien-tôt tu viendras me trouver Au coin de cette rue, où nous allons l'attendre."")",,1.0,Insertion
249,"('#scaramouche', 'Vous êtes de moitié, vous et Monsieur Léandre, Et vous avez acquis ce bien à fond perdu.')",,1.0,Insertion
250,"('#octave', ""Réponds-moi comme il faut, m'as-tu bien entendu ?"")","('#pasquariel', ""Je m'en vais avec ma soeur jouer l'opéra en vendange."")",1.66,Substitution
251,"('#scaramouche', ""Qui ne vous entendrait serait bien dur d'oreille."")",,1.0,Insertion
252,"('#octave', 'Il la faut enlever...')",,1.0,Insertion
253,"('#scaramouche', ""Je comprends à merveille. Vous êtes en amour tous deux associés, J'y serais pour un tiers si vous me receviez."")","('#arlequin', 'Comment donc ?')",1.63,Substitution
254,"('#octave', ""Si-tôt que le Docteur aura quitté Spinette, Cours l'appeler, et songe à battre la retraite ; Adieu, nous t'attendons."")",,1.0,Insertion
255,"('#scaramouche', ""Allez toujours devant,  Et pendant ce temps là voyez d'où vient le Vent. Voici le dénouement de notre comédie : Quand le Docteur saura que sa fille est partie, D'abord contre mon Maître il fera décréter ; Messieurs les pousse-culs viendront le visiter, Ils me prendront aussi, moi j'avouerai l'affaire Comme étant du complot je ne pourrai rien taire : J'entendrai contre moi prononcer un arrêt, On fera tout d'abord préparer le gibet, Et Scaramouche ira sans en avoir envie, Danser la Sarabande en bonne compagnie. Belle réflexion ; mais voici le Docteur, Retirons nous... Il s'en va."")","('#mezzetin', ""Oui, monsieur.  Voyant qu'il n'y a plus rien à faire à la comédie, nous nous en allons jouer un opéra à la campagne.  Si vous voulez vous associer à nous, tenez, voilà toutes nos machines. Il montre une espèce de paravent que le comédien porte sur le dos, et qu'il pose à terre. "")",0.32,Substitution
256,"('#octave', ""Je vais chercher mon débiteur. Et me faire payer la somme qui m'est due. Son Obligation dés longtemps est échue, Il n'aura pas, je crois, de peine à l'acquitter ; D'ici pour un moment il me faut écarter. Il s'en va."")","('#arlequin', ""J'irais volontiers avec vous, mais je ne sais pas la musique."")",1.93,Substitution
257,"('#scaramouche', 'Ne perdons point de temps ; hola Mademoiselle ! Descendez au plutôt, la gloire vous appelle.')","('#pasquariel', ""Bon : et en faut-il savoir pour chanter à l'opéra ?  Nous ne la savons pas non plus, nous autres.  Nous avons mis Bellérophon sur les airs du pont-neuf : et si voulez être des nôtres, nous vous donnerons votre rôle, que vous chanterez à livre ouvert."")",0.79,Substitution
258,"('#scaramouche', ""Suivez-moi, s'il vous plaît, mon Maître vous attend, Je suis son Substitut, son Commis, son Agent, Il m'a passé son ordre, afin qu'en son absence J'acquitte son Billet au temps de l'échéance ; Je vais vous le payer en espèce ayant cours."")","('#arlequin', 'Et quel rôle me donnerez-vous ?')",1.25,Substitution
259,"('#spinette', 'Scaramouche, partons, et finis tes discours, Je crains que dans ces lieux mon père ne revienne. Enlève-moi donc vite.')",,1.0,Insertion
260,"('#scaramouche', ""Ah, qu'à cela ne tienne, L'enlèvement vous plaît."")",,1.0,Insertion
261,"('#spinette', ""Je ne puis t'exprimer Le plaisir que j'éprouve ; oui, je me sens charmer, Ne nous arrêtons pas, je meurs d'impatience, Ce doux enlèvement flatte mon espérance."")","('#mezzetin', 'Celui de Bellérophon.  Tenez, le voilà.  Essayons pour voir.')",1.19,Substitution
262,"('#scaramouche', ""D'où vous vient cette joie ?"")",,1.0,Insertion
263,"('#spinette', ""En lisant des romans, J'ai pris beaucoup de goût pour les enlèvements. Allons trouver Octave."")",,1.0,Insertion
264,"('#scaramouche', ""Il faut vous satisfaire, Quand je serais pendu ce n'est pas une affaire. "")",,1.0,Insertion
265,"('#mezzetin', ""Mon Maître honnêtement veut se servir de moi, Et de Courtier d'Amour il me donne l'emploi : Aujourd'hui ce métier est assez en usage, Avec un grand plaisir j'en fais l'apprentissage ; Pour mieux me distinguer, et me faire un beau nom, Je devrais bien porter des ailes au talon, Chacun me connaîtrait, et me rendrait hommage : Mais allons au plutôt faire nôtre message : À sa belle je dois remettre le poulet, Et m'acquitter de tout en fidèle Valet. Il m'a fait voir l'endroit où je dois la conduire, Faisons donc promptement ce que son coeur désire. Il frappe."")","('#arlequin', ""Princesse, tout conspire à couronner ma flamme,  Sentez-vous le plaisir qui règne dans mon âme ?  Je le veux bien. Mezzetin embrasse Arlequin, et en l'embrassant lui attache son tablier aux épaules, ce qui forme un habit à la romaine. Arlequin, se trouvant habillé en Bellérophon chante sur l'air, Sur le pont d'Avignon."")",0.18,Substitution
266,"('#argentine', ""Que voulez-vous, l'ami ?"")",,1.0,Insertion
267,"('#mezzetin', 'Vous rendre ce billet, De la part de Léandre.')",,1.0,Insertion
268,"('#argentine', ""Ah, donnez s'il vous plaît."")","('#mezzetin', ""J'ai toujours partagé vos peines,  Je dois partager vos plaisirs."")",1.12,Substitution
269,"('#mezzetin', ""Vous êtes, je le vois, fort âpre à la curée, Et fillette en amour n'est jamais modérée."")",,1.0,Insertion
270,"('#argentine', ""Pour vous dérober au pouvoir Du Jaloux odieux que votre coeur abhorre, N'écoutez point un barbare devoir, Et répondez au feu qui me dévore ; Avec mon Valet Mezzetin, Dans le lieu qu'il connaît vous n'avez qu'à vous rendre, Et vous y trouverez Léandre, Qui vous prépare un plus heureux destin. LÉANDRE."")","('#arlequin', ""Qu'un si doux aveu me doit plaire,  Qu'il rend mon destin glorieux ! "")",0.41,Substitution
271,"('#mezzetin', ""Madame suivez-moi, vous n'avez rien à craindre."")",,1.0,Insertion
272,"('#argentine', ""C'est assez, je ne puis plus longtemps me contraindre, Attendez un moment, je reviens sur mes pas. Elle rentre."")",,1.0,Insertion
273,"('#mezzetin', ""Ce petit tendron-là ne me déplairait pas, Cette fille est mignonne, une telle bouteille Rappelle par ma foi son buveur à merveille : Mon Maître est bon gourmet, il a fait un beau choix, Le gaillard en sait long, c'est un futé matois, Il se plaît d'en conter aux femmes comme aux filles, Et c'est un pèlerin qui vend bien ses coquilles. La voici de retour. "")",,1.0,Insertion
274,"('#mezzetin', 'Hé bien partirons-nous ?')",,1.0,Insertion
275,"('#argentine', ""Ah ! pour le refuser ce plaisir est trop doux ! Je vous suis... Juste Ciel mon importun s'avance !"")","('#mezzetin', ""Quand ma bouche pourrait se taire  L'amour ferait parler mes yeux. "")",0.72,Substitution
276,"('#mezzetin', ""Comment ? C'est Arlequin... Un peu de patience, Couvrez-vous le visage, et ne redoutez rien, C'est un franc animal, je le duperai bien."")","('#arlequin', ""Reçois, reçois, grand Apollon,  Reçois, reçois, grand Apollon,  Reçois ce sacrifice ;  Fais que le ciel, fais que le ciel à nos voeux soit propice. Tout cela va fort bien : mais certaine Sténobée jalouse, pria Amisodar de prier tous les cinquante mille diables de former un monstre de peinture et de carton, pour dévorer Bellérophon.  Bellérophon va prier le roi, le roi prie le sacrificateur, le sacrificateur prie la pythie, la pythie prie l'oracle, l'oracle prie Apollon, Apollon prie le tonnerre, le tonnerre...  Mais voyons un peu le sacrifice. Mezzetin prenant la robe de chambre de Pasquariel, devient sacrificateur, et Pasquariel reste avec un habit de prêtresse, et donne une bouteille de vin à Mezzetin, qui chante sur l'air : Ami, ne quittons point Créteil."")",1.11,Substitution
277,,"('#arlequin', ""Il faut verser le vin sur l'animal."")",1.0,Deletion
278,"('#arlequin', 'Où vas-tu Mezzetin avec cette femelle ?')","('#mezzetin', 'Quelle bête était-ce ?')",0.99,Substitution
279,,"('#arlequin', 'Un boeuf.')",1.0,Deletion
280,"('#mezzetin', ""Et morbleu, gardez vous d'effaroucher la belle, C'est une jeune Enfant, qu'au gré de mes désirs J'ai prise seulement pour mes menus plaisirs, Je l'enlève, mon cher, puisqu'il faut tout vous dire, En lieu de sûreté je prétends la conduire."")",,1.0,Insertion
281,"('#arlequin', 'Et ne pourrait-on pas voir la Belle au minois ?')",,1.0,Insertion
282,"('#mezzetin', ""Non pas, mais vous pourrez la voir une autre fois, Elle a de la pudeur, et craint d'être connue, Cette fille en un mot ne veut pas être vue. Adieu... Venez Madame il est temps de partir.  À Argentine."")",,1.0,Insertion
283,"('#arlequin', ""Moi seul de mes projets je dois me repentir, D'un objet tout charmant j'élève la jeunesse, Je lui donne mes soins, ma main, et ma tendresse, Et l'ingrate pour prix de ma sincérité, Accorde à mon Rival ce que j'ai mérité. Que trouve-t-elle en moi qui puisse lui déplaire ? Arlequin n'a-t-il pas de quoi la satisfaire ? J'ai du bien, de l'esprit, je ne suis pas mal fait, Et je suis ce me semble un assez beau brunet ; Que sur le coeur de l'homme une femme a d'empire, Tout cède à ses appas, quoique l'on puisse dire ! Trompe-t-elle un amant, bien loin de la blâmer, Il l'excuse sans peine, et vent toujours l'aimer, On peut avec le temps se garantir du vice, On évite aisément un affreux précipice. De la fureur du jeu, l'on sait se détacher, Au pouvoir d'une femme on ne peut s'arracher, Pourtant à mon avis elle est plus dangereuse, Qu'un Bois, un Précipice, une Mer Orageuse, Il n'est point d'Antidote à son mortel poison, Et contre un tel écueil se brise la raison. Entrons dans le Logis pour voir si cette Belle, Voudra pour un moment cesser d'être cruelle, Tâchons de ramener son esprit et son coeur, Et pour y réussir employons la douceur. Il entre."")","('#mezzetin', ""Par ce vin que je trouve bon,  Apollon, faites-moi raison.  Au glou de ma bouteille,  Hé bien,  Les dieux prêtent l'oreille,  Vous m'entendez bien.  Boeuf ou âne, n'importe. Il boit et chante sur l'air : Vous m'entendez bien. "")",0.79,Substitution
284,"('#le-docteur', ""Que le Ciel soit loué, j'ai fini mon affaire, Mon homme m'a reçu de la belle manière.  Il vient de me païer en bon argent comptant, Et de son procedé, je suis enfin content."")",,1.0,Insertion
285,"('#arlequin', 'Je suis assassiné, que faut-il que je fasse ? Ah ! Monsieur, le Docteur, secourez-moi de grace, Dans les occasions, on connoit ses amis.')",,1.0,Insertion
286,"('#le-docteur', 'Quelle verve vous prend ?')",,1.0,Insertion
287,"('#arlequin', 'Hélas ! Dans le logis Je ne retrouve plus la charmante Argentine, Ah ! Si je la tenais, dans mon humeur chagrine, De son ventre morbleu je ferais un fourreau, Oui, je la percerais....')",,1.0,Insertion
288,"('#le-docteur', 'Tout beau, Monsieur, tout beau, Il faut vous consoler, calmez cette colère, On doit bien réfléchir avant que de rien faire : Jamais un philosophe en son adversité, Ne doit faire paraître un esprit agité.')","('#la-pretresse', ""Chut, chut, gardez tous un silence extrême,  Je vois trembler le temple d'Apollon.  Il vous entend, il va parler lui-même.  Il va tonner à peu près sur le même ton,  Ton re lon, ton ton, tontaine, la tontaine, la ton ton.  On remue le paravent.  Le paravent s'ouvre. "")",0.52,Substitution
289,"('#arlequin', ""Quel homme flegmatique ! Ah, de bon coeur j'enrage,"")",,1.0,Insertion
290,"('#le-docteur', ""Modérez vos transports pour imiter le sage, Sans vous abandonner a de vaines douleurs, Soyez toujours constant dans les plus grands malheurs ? Vous pleurez, ah ! De grâce apaisez vos alarmes : Les femmes, les enfants ont bien recours aux larmes, Mais un homme d'esprit en verse rarement, Et vous vous démentez, vous dis-je, entièrement : Adieu, conservez-vous.  Il s'en va."")",,1.0,Insertion
291,"('#arlequin', ""Que le Diable t'emporte, Il veut que je surmonte une douleur si forte Quand j'ai tant de sujet pour me désespérer, Dans mes justes fureurs puis-je me modérer !  Que ferai-je à présent sans la belle Argentine ! Le fourbe Mezzetin emmenait la coquine, Il n'en faut plus douter, et rien n'est plus certain ; L'oiseau s'est envolé, quel sera mon destin ?"")",,1.0,Insertion
292,"('#le-docteur', 'Au secours.')",,1.0,Insertion
293,"('#arlequin', ""Qu'avez-vous ?"")",,1.0,Insertion
294,"('#le-docteur', ""On a volé ma fille, Peut-on ainsi traiter un père de famille ! Ah ! mon cher Arlequin ne m'abandonnez pas ; Unissons-nous tous deux, venez, suivez mes pas,"")",,1.0,Insertion
295,"('#arlequin', ""Ah ! Tout doux s'il vous plaît, calmez vôtre colère, Il faut bien réfléchir avant que de rien faire : Un philosophe doit modérer son chagrin, Et dans l'adversité garder un front serein."")","('#arlequin', ""Un des fils de Neptune  Apaisera dit-on,  La déleste rancune ;  Mais il lui faut Nanon. Flon, flon, etc.  Pendant qu'Arlequin est derrière le paravent, on lui met un manteau royal. "")",0.63,Substitution
296,"('#le-docteur', ""Vous vous moquez de moi quand le malheur m'accable."")",,1.0,Insertion
297,"('#arlequin', 'Consolez-vous, Monsieur.')","('#le-sacrificateur', 'Voici le Roi.')",1.57,Substitution
298,"('#le-docteur', 'Allez-vous en au Diable, Avec vôtre Doctrine, et vôtre air radouci.')",,1.0,Insertion
299,"('#arlequin', 'Fi ! vous ne devez pas vous emporter ainsi, Mon flegme devrait-il alarmer vôtre Oreille, Vous avez tort, Monsieur, je vous rends la pareille,')",,1.0,Insertion
300,"('#le-docteur', ""Il n'est pas temps, vous dis-je, ici de plaisanter : Cette fuite m'étonne, et me doit irriter, Ma fille, juste Ciel, qu'est-elle devenue ? Quel est l'audacieux qui la cache à ma vue ? Qu'il paroisse, et bien-tôt l'accablant sous ses coups, Le Docteur...."")","('#arlequin', ""Vous l'avez entendu, je n'ai rien à vous dire,  Je plains vos déplaisirs, avec vous j'en soupire :  Mais rien n'est préférable  Au repos de ces lieux.  Allez-vous-en au diable,  Soumettons-nous aux dieux. "")",0.36,Substitution
301,"('#arlequin', 'Argentine en quels lieux êtes-vous ? Faut-il que je sois veuf avant le Mariage !')",,1.0,Insertion
302,"('#le-docteur', 'Arlequin vengeons-nous, unissons nôtre rage, Que je suis malheureux ! mes chagrins sont cuisants. Il pleure.')","('#le-sacrificateur', 'Le monstre redouble sa rage. Le voilà qui vient, sauvez-vous. Pasquariel se change en monstre. Arlequin jette son manteau royal, et paraît monté sur un cheval ailé, combat le monstre, et après un jeu de culbutes, la scène finit.')",0.81,Substitution
303,"('#arlequin', ""Les femmes seulement, et les petits enfants S'amusent quelquefois à répandre des larmes, Monsieur ne pleurez pas."")",,1.0,Insertion
304,"('#le-docteur', 'Allons, courons aux armes.')",,1.0,Insertion
305,"('#arlequin', 'Je suis un peu poltron, ne comptez pas sur moi.')",,1.0,Insertion
306,"('#le-docteur', 'Vous voulez badiner.')",,1.0,Insertion
307,"('#arlequin', ""Non j'en jure ma foi."")",,1.0,Insertion
308,"('#le-docteur', ""À l'aide !"")",,1.0,Insertion
309,"('#arlequin', 'À la Justice !')",,1.0,Insertion
310,"('#le-docteur', 'Au meurtre !')",,1.0,Insertion
311,"('#arlequin', ""On m'assassine."")",,1.0,Insertion
312,"('#le-docteur', ""Spinette m'a quitté."")",,1.0,Insertion
313,"('#arlequin', 'Moi, je perds Argentine.')",,1.0,Insertion
314,"('#pierrot', ""D'où vient ce tintamarre ; et pourquoi tant crier ? Parbleu, vous alarmez la moitié du Quartier. Je vous ai toujours vu d'une humeur pacifique, Qu'avez-vous aujourd'hui, la pierre, la colique, La migraine, la toux, la goutte, et cetera. Au Docteur."")",,1.0,Insertion
315,"('#le-docteur', ""Non, j'ai perdu ma fille."")",,1.0,Insertion
316,"('#pierrot', 'On la retrouvera.')",,1.0,Insertion
317,"('#arlequin', ""Il faut avoir le coeur aussi dur qu'une Roche..."")",,1.0,Insertion
318,"('#pierrot', ""Fille ne se perd pas comme un couteau de poche, Qu'avez-vous ?"")",,1.0,Insertion
319,"('#arlequin', ""J'ai perdu ce que j'aime le mieux, Argentine. "")",,1.0,Insertion
320,"('#pierrot', 'Ma foi vous êtes fous tous deux.')",,1.0,Insertion
321,"('#arlequin', 'Argentine est partie avec Monsieur Léandre.')",,1.0,Insertion
322,"('#pierrot', ""Peut-être elle viendra, vous n'avez qu'à l'attendre, Lorsque de cette belle il se sera servi, S'il veut me la donner je serai son Mari Ces restes-là sont bons, je suis peu difficile."")","('#arlequin', ""Voilà qui est fait, je vais avec vous autres. Allons jouer l'opéra aux vendanges. Prenons auparavant congé de ces messieurs. Il montre les auditeurs. Ici tous les violons jouent, et tous les comédiens chantent ce qui suit. "")",0.91,Substitution
323,"('#le-docteur', 'Mon soin pour la garder était donc inutile ? Je crève dans ma peau, je me sens étouffer.')",,1.0,Insertion
324,"('#pierrot', 'La fille est comme un arbre il la faut bien greffer, Quelque bon jardinier aura pris cette peine.')","('#arlequin', 'Adieu théâtre, adieu balcons.  Adieu loges, adieu parterre.')",1.67,Substitution
325,"('#arlequin', ""La fille est, je l'avoue, une méchante graine."")",,1.0,Insertion
326,"('#pierrot', 'Nous en voyons souvent sortir de bons pépins.')",,1.0,Insertion
