,dancourt-metempsychose,la-fontaine-daphne,Cost,Operation Type
245,"('#merope', ""Et c'est justement ce qu'il ne faut pas faire.  Que l'on a peu d'esprit dans la jeune saison !  On n'est que feu, que pétulance,  On ferme par impertinence  Les yeux à l'intérêt, l'oreille à la raison :  De l'amour à longs traits l'on suce le poison.  Comme vous dans mon temps, j'ai fait même sottise :  Mais quoi ? Je n'avais pas un conseil aussi bon,  Je me conduisais à ma guise.  Eu suis-je mieux ? En ai-je mieux fait ? Non.  La beauté, du Ciel est un don  Dont il faut se servir tandis qu'elle est de mise,  Si j'avais su ce que je sais,  Je serais à présent grand-Dame ;  De mon mari jamais je n'eusse été la femme,  Mes premiers feux auraient été bien mieux placés.  De bons partis s'offraient assez,  Je les refusai tous. D'une amoureuse flamme,  Votre oncle avait rempli mon âme ;  De tous mes soins lui seul était l'objet :  J'étais pour lui d'amour toute troublée,  Je crois que le pendard m'avait ensorcelée :  L'aimer, lui plaire était mon unique souhait,  Et du bonheur le plus parfait  En l'épousant je me croyais comblée :  J'en fus au désespoir dès que cela fut fait,  Par cet exemple-là vous devez être instruite. "")","('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",0.49,Substitution
246,"('#corine', ""Aussi je le veux suivre en tout exactement,  Vous avez aimé tendrement,  Vous voyez que je vous imite,  Jusqu'à la fin j'aurai même conduite.  J'en fais tout mon bonheur, tout mon attachement ;  Je prétends comme vous épouser mon Amant ;  Si par hasard j'en ai du chagrin dans la suite,  Pour m'en désespérer n'en serai-je pas quitte ? "")","('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",0.42,Substitution
247,,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",1.0,Deletion
248,"('#merope', ""Et c'est ce que je veux prévenir justement.  Quelle étrange bizarrerie !  Mais je vous guérirai de cet entêtement. "")",,1.0,Insertion
249,"('#corine', 'Comme vous en fûtes guérie,  Ma tante, et jamais autrement. ')",,1.0,Insertion
250,"('#merope', ""Hom ! La petite ridicule !  Quelle cervelle ! Il faut pourtant  Tâcher de modérer cette ardeur qui la brûle,  Et qui va toujours s'augmentant,  Pour peu que l'on tarde à l'éteindre :  L'absent à son retour n'en sera pas content.  D'un feu si violent, les suites sont à craindre ;  Et nous ne sommes pas de race à nous contraindre ;  Je la blâme tout haut d'avoir un coeur constant,  Et je sens en secret que j'ai tort de m'en plaindre,  Moi-même j'en ferais tout autant. "")","('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",0.56,Substitution
251,"('#faunus', 'Quoi seule ! Où donc Corine est-elle, je vous prie ? ')",,1.0,Insertion
252,"('#merope', 'Je la quitte dans le moment. ')",,1.0,Insertion
253,"('#faunus', 'À dissiper sa rêverie,  Nous nous employons vainement. ')",,1.0,Insertion
254,"('#merope', ""Oui, je pense qu'il faut changer de batterie  Les plaisirs m'ont paru la toucher faiblement :  Toute jeune qu'elle est la fortune l'entête ;  Et quand par de brillants appas  Du coeur de votre maître elle a fait la conquête,  Ce qui cause notre embarras,  C'est d'ignorer quel sort il s'apprête à nous faire Nous avons nombre de parents,  Qui par la disgrâce des temps,  Loin d'avoir fait fortune, ont fait tout le contraire,  La plupart dans l'adversité. "")","('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",0.61,Substitution
255,"('#faunus', 'Bon, tant mieux, avec nous voilà comme il faut être. ')",,1.0,Insertion
256,"('#merope', ""Le mariage une fois contracté,  Cela ne ferait pas d'honneur à votre Maître,  Il ne serait pas bien quand on verra paraître  Ma nièce avec lui dans l'éclat,  Qu'il laissât la famille en un certain état. "")",,1.0,Insertion
257,"('#faunus', ""Non, non, ne craignez point que cela lui convienne,  La malepeste, allez, mon Maître n'est pas fat,  Que n'a-t-il point fait pour la sienne ?  Il avait un cousin, manant, faquin, pied-plat,  Par son crédit et son opulence,  Il en fit en six mois un Seigneur d'importance,  Il était sans honneur, et chacun l'honora ;  Il était fat, on l'admira :  Tous les défauts trouvèrent grâce,  Et le monde aisément comprit  Qu'il n'était ni de noble race,  Ni de mérite, ni d'esprit,  Mais parent de quelque homme en place.  Oh ! Mon Maître par-là fit bien voir son crédit. "")","('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",0.37,Substitution
258,"('#merope', ""Il faudra pour nous qu'il l'emploie. "")",,1.0,Insertion
259,"('#faunus', ""Il le fera, j'en suis sûr, avec joie.  Il fait pour ses amis toujours tout ce qu'il peut,  Et le bon de l'affaire est qu'il peut ce qu'il veut. "")",,1.0,Insertion
260,"('#merope', 'Bon. Nous avons dans la famille  Un Procureur Fiscal, un Commis de Greffier. ')",,1.0,Insertion
261,"('#faunus', 'Bons sujets ! ')","('#fleuves', 'Commandez.')",1.19,Substitution
262,"('#merope', ""Deux Clercs, un Huissier,  Qui d'un de nous vient d'épouser la fille. "")",,1.0,Insertion
263,"('#faunus', ""Ah ! Fort bien, ce sont-là des gens bons à placer,  Qu'il est facile d'avancer.  Dans le chemin de la fortune  Ils marchent à pas de Géant,  Et presque au sortir du néant  En peu de temps ils en ont une.  Il semble que le Ciel se plaise à les venger  Du mépris que pour eux certains sots font paraître,  Et cherche à les dédommager  Du peu qu'il les avait fait naître. "")","('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",0.54,Substitution
264,"('#merope', 'Selon moi le Ciel fait fort bien. ')",,1.0,Insertion
265,"('#faunus', ""N'est-il pas vrai ? Sagement il dispense  De la noblesse aux uns, aux autres l'opulence :  Il satisfait ainsi chacun par ce moyen. "")","('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",1.12,Substitution
266,"('#merope', ""Oui, mais j'aimerais mieux tenir de sa sagesse  De l'opulence sans noblesse,  Que de la noblesse avec rien. "")","('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",1.36,Substitution
267,"('#faunus', ""Vous avez bin esprit, et c'est fort bien l'entendre.  Mais qui vient brusquement nous troubler en ces lieux ? "")","('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",1.23,Substitution
268,"('#bacchus', ""Servons Junon de notre mieux,  Et faisons le bonheur d'un coeur fidèle et tendre ;  Malgré le Souverain des Dieux. "")",,1.0,Insertion
269,"('#faunus', ""Ah, morbleu ! C'est Bacchus ; qu'aurait-il à m'apprendre ? "")",,1.0,Insertion
270,"('#bacchus', ""Dans ce séjour délicieux,  Notre Maître bientôt tâchera de se rendre ;  Mais de quelque côté que je tourne les yeux,  Je ne vois point ici la beauté qu'il adore.  Est-elle renfermée en son appartement ? "")","('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",1.12,Substitution
271,"('#merope', 'Un noir chagrin qui la dévore  Fait que dans ces jardins on la voit rarement.  Mais vous avez apparemment  Quelque message amoureux à lui faire ? ')","('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",1.23,Substitution
272,"('#bacchus', 'Oui, de la part de son Amant  Dites-lui que dans le moment  Il arrive un courrier fort extraordinaire. ')",,1.0,Insertion
273,"('#faunus', 'Bacchus ici pour quelque affaire ? ')",,1.0,Insertion
274,"('#bacchus', 'Pour la même à peu près dont vous êtes chargé. ')",,1.0,Insertion
275,"('#faunus', 'Quoi ! Comment donc ? ')",,1.0,Insertion
276,"('#bacchus', ""Pour moi, ce n'est plus un mystère,  Et je viens vous trouver, suivant l'ordre que j'ai,  De servir les amours de Jupiter mon père,  Auprès de l'aimable Bergère,  Qui sous ses lois tient son coeur engagé. "")","('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",0.33,Substitution
277,"('#faunus', ""De sentiment il faut qu'il ait changé,  Car c'était un secret que nous voulions vous taire. "")",,1.0,Insertion
278,"('#bacchus', ""Oui, mais il se trouve obligé,  Ou par choix, ou par confiance,  De m'en faire la confidence.  Tandis qu'avec Mercure occupé dans les Cieux,  Parmi les Astres et les Dieux,  Il tâche à rétablir l'heureuse intelligence  Qui doit toujours régner entre eux,  Et qu'avait depuis peu dérangée son absence.  Le séjour qu'ici fait Junon  L'alarme et le tient en cervelle,  Et ce n'est pas tout-à-fait sans raison.  Il connaît la bonne Immortelle,  Et tremble qu'à l'objet de son nouvel amour  Elle ne fasse un mauvais tour. "")","('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",0.01,Substitution
279,"('#faunus', ""S'il est pour l'empêcher des mesures à prendre,  Que ne les prenait-il avant que de partir ?  Ne prévoyait-il pas ce qu'il devait attendre ?  Il n'avait qu'à m'en avertir. "")",,1.0,Insertion
280,"('#bacchus', ""Il a, tout Dieu qu'il est, tant d'affaires en tête,  Qu'il ne peut pas songer à tout. "")",,1.0,Insertion
281,"('#faunus', ""Oh ! Quelque mauvais tour que Junon nous apprête,  De m'en garder je viendrai bien à bout. "")","('#daphne', 'Ah, Clymène ! Plains-moi.')",1.49,Substitution
282,"('#bacchus', 'Pour vous bien seconder je ferai mon possible. ')","('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",1.52,Substitution
283,"('#faunus', ""Je prévois aisément tout ce qu'on peut tenter. "")",,1.0,Insertion
284,"('#bacchus', ""Et moi donc ? Mais pour l'éviter,  Il faut rendre Corine aux Dieux-mêmes invisible,  Et faire que Junon qui voudrait l'enlever,  Ne sache où pouvoir la trouver. "")","('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",0.87,Substitution
285,"('#faunus', ""Le tour serait assez risible,  Et le projet est bon. Mais comment l'achever ? "")","('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",1.09,Substitution
286,"('#bacchus', ""J'apporte pour le faire un moyen infaillible,  Et ce petit écrin renferme un Diamant,  Un Anneau constellé dont le charme invincible,  À tous les yeux cache dans le moment  Quiconque au doigt le porte seulement.  Il ne faut qu'à Corine en apprendre l(usage,  Et de la part de son Amant  Lui donner ce présent pour gage,  D'un éternel attachement. "")","('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",0.58,Substitution
287,"('#faunus', ""Mais que diantre pensera-t-elle ?  Jupiter à ses yeux paraît un gros Seigneur,  Elle va le croire Enchanteur :  Pour toucher le coeur d'une belle  C'est un assez mauvais moyen. "")","('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",1.33,Substitution
288,"('#bacchus', ""Se peut-il que Faunus oublie  Que nous sommes en Thessalie ?  Être ici sorcier, ce n'est rien,  C'est le pays de la magie. "")",,1.0,Insertion
289,"('#faunus', ""Il est vrai, je m'en ressouviens. "")",,1.0,Insertion
290,"('#bacchus', ""Voilà l'écrin, prenez soin de lui rendre. "")",,1.0,Insertion
291,"('#faunus', 'Peut-être elle fera quelque difficulté. ')",,1.0,Insertion
292,"('#bacchus', ""Il ne faut qu'exciter sa curiosité.  C'en est assez pour le lui faire prendre. "")","('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",1.04,Substitution
293,"('#bacchus', ""Fâché d'être éloigné de vos jeunes appas,  Votre Amant en ces lieux m'a fait porter mes pas Pour vous y donner assurance  Que l'éloignement ni l'absence  D'un coeur constant ne vous éloignent pas. "")",,1.0,Insertion
294,"('#corine', ""Je ne mérite pas tous les soins qu'il se donne,  Ni ceux que l'on prend d'empêcher  Que personne puisse approcher  De ces lieux où l'on m'emprisonne.  C'est me donner de son amour  Un assez fâcheux témoignage,  Et la contrainte est un triste présage  De mon malheur, si l'hymen quelque jour  Me mettait sous son esclavage. "")","('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",0.27,Substitution
295,"('#bacchus', ""Peut-on trop précieusement  Garder un objet si charmant ?  Épris pour vous de la plus vive flamme ;  Il sait qu'à son ardeur on veut vous enlever :  Le blâmez-vous des soins qu'il prend pour conserver  La Beauté qui règne en son âme ? "")","('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",0.18,Substitution
296,"('#corine', ""Vouloir la conserver ainsi,  C'est presque en assurer la perte ;  Et si de m'éloigner d'ici  L'occasion m'était offerte… "")",,1.0,Insertion
297,"('#faunus', 'Justement, attendez-vous-y,  Nous laisserons la porte ouverte. ')",,1.0,Insertion
298,"('#bacchus', ""Aux yeux de tout le monde il voudrait vous cacher,  Il craint que dans cette retraite,  De ses desseins sa famille inquiète,  Pendant qu'il est absent ne vienne vous chercher ;  Qu'un enlèvement ne les mette  En état un jour d'empêcher  L'hymen qu'en secret il projette. "")","('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",0.96,Substitution
299,"('#corine', ""Je n'approuve pas ses projets :  De ma part vous pouvez lui dire  Que cet hymen n'a rien qui flatte mes souhaits. "")",,1.0,Insertion
300,"('#bacchus', ""Je n'ai garde de l'en instruire,  Je suis discret, et je vous le promets. "")",,1.0,Insertion
301,"('#corine', ""Le plus grand bonheur où j'aspire,  C'est qu'il le sache, et ne le voir jamais. "")",,1.0,Insertion
302,"('#bacchus', ""Un tel discours a droit de me surprendre  Il ne mérite pas un pareil traitement.  On a quelque présent de sa part à vous rendre :  Recevez-le, de grâce, un peu plus poliment  Que vous n'avez reçu mon compliment."")","('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",0.87,Substitution
303,"('#corine', ""Des présents de sa part ! Suis-je fille à les prendre ?  Et me croit-il sensible à l'intérêt ?  Est-ce par-là que l'on rend un coeur tendre ? "")","('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",0.85,Substitution
304,"('#faunus', 'Il aurait tort de le prétendre :  Quoique dans un écrin… ')",,1.0,Insertion
305,"('#corine', ""Ouvrez-le, s'il vous plaît. "")",,1.0,Insertion
306,"('#faunus', ""C'est ce qu'avec grand soin l'on vient de me défendre. "")",,1.0,Insertion
307,"('#corine', 'Montrez-moi. ')","('#tharsis', 'Je vous verrai.')",0.63,Substitution
308,"('#faunus', 'Point. ')",,1.0,Insertion
309,"('#corine', ""Voyons seulement ce que c'est. "")",,1.0,Insertion
310,"('#faunus', 'Acceptez le présent. ')",,1.0,Insertion
311,"('#corine', 'Non, je ne le puis faire. ')",,1.0,Insertion
312,"('#faunus', ""Ni moi ne suivre pas l'ordre qu'on m'a dicté. "")",,1.0,Insertion
313,"('#corine', ""C'est avoir peu d'honnêteté. "")",,1.0,Insertion
314,"('#faunus', ""Oui, j'en conviens, je n'en ai guère. "")",,1.0,Insertion
315,"('#corine', 'Je voudrais bien pourtant pouvoir me satisfaire. ')",,1.0,Insertion
316,"('#faunus', 'Hé bien, épargnez-vous un scrupule affecté.  Tant de grimaces est fort peu nécessaire. ')","('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")",0.37,Substitution
317,"('#corine', 'Mais on ne vous a pas ordonné de vous taire,  Dites-moi… ')",,1.0,Insertion
318,"('#faunus', ""Volontiers, c'est un ajustement  Qu'on peut prendre dans cette affaire.  Oh bien donc ! Ce coffret renferme un diamant. "")",,1.0,Insertion
319,"('#corine', 'Je ne veux pas en savoir davantage. ')",,1.0,Insertion
320,"('#faunus', 'Un anneau. ')",,1.0,Insertion
321,"('#corine', ""Voilà justement  Ce que j'ai soupçonné dès le premier moment. "")",,1.0,Insertion
322,"('#faunus', ""Oui, mais de cet anneau vous ignorez l'usage. "")",,1.0,Insertion
323,"('#corine', ""Oh ! Je le devine aisément,  Qui reçoit un présent s'engage,  Et je sais que du mariage  Une bague acceptée est le commencement. "")",,1.0,Insertion
324,"('#faunus', ""N'en craignez point l'événement,  Le diamant ne peut être que magnifique ;  Mais ce n'est rien que la beauté ;  Par une puissance magique,  À votre doigt l'anneau porté,  Dans l'instant vous rend invisible,  Et l'on ne vous revoit qu'après qu'il est ôté. "")",,1.0,Insertion
325,"('#corine', 'Que dites-vous. ')",,1.0,Insertion
326,"('#faunus', 'La vérité. ')",,1.0,Insertion
327,"('#corine', ""Aux charmes, je le crois, il n'est rien d'impossible,  Et je n'en ai jamais douté :  Sans en avoir pourtant vu nul effet sensible,  Je souhaiterais fort…"")","('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")",0.51,Substitution
328,"('#faunus', ""Ce n'est point fausseté,  Le talisman est infaillible. "")",,1.0,Insertion
329,"('#corine', ""Voyons donnez… Au moins, c'est curiosité. "")",,1.0,Insertion
330,"('#faunus', 'Au plaisir de la nouveauté,  Est-il un coeur inaccessible ?  Voilà le présent accepté. ')",,1.0,Insertion
331,"('#corine', ""Je n'ouvre cet écrin que d'une main tremblante :  Que vois-je ? Quel brillant objet !  C'est un mensonge qu'on m'a fait,  Et cette lumière éclatante  Doit produire un contraire effet. "")","('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")",0.38,Substitution
332,"('#faunus', ""Comment donc, s'il vous plaît, croyez-vous que je mente ? "")",,1.0,Insertion
333,"('#corine', ""Non, mais mettez-le un peu, j'en veux faire l'essai,  Je verrai si vous dites vrai. "")",,1.0,Insertion
334,"('#faunus', ""Fort volontiers. Hé bien, n'êtes-vous pas contente ? "")",,1.0,Insertion
335,"('#corine', 'Vous avez disparu. Ciel, quel étonnement ! ')",,1.0,Insertion
336,"('#faunus', 'La chose est assez surprenante. ')",,1.0,Insertion
337,"('#corine', 'Sans doute, mais ce diamant  Fait-il le même effet sur tous également ? ')",,1.0,Insertion
338,"('#faunus', 'Oh ! Oui. ')",,1.0,Insertion
339,"('#corine', ""Pour en avoir une preuve constante  Par moi-même je veux l'essayer un moment. "")",,1.0,Insertion
340,"('#faunus', 'Fort bien. ')",,1.0,Insertion
341,"('#corine', 'Seconde, Amour, le projet que je tente. ')",,1.0,Insertion
342,"('#faunus', ""Rien n'est plus merveilleux. "")",,1.0,Insertion
343,"('#corine', 'Vous ne me voyez pas ? ')",,1.0,Insertion
344,"('#faunus', 'Comme si vous étiez absente. ')","('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",0.45,Substitution
345,"('#corine', ""Je ne suis pourtant qu'à deux pas. "")",,1.0,Insertion
346,"('#faunus', ""Ne vous éloignez pas s'il vous plaît davantage,  Allons vous avez fait l'épreuve, et c'est assez.  Ôtez la bague et finissez. "")",,1.0,Insertion
347,"('#corine', ""J'en connais trop le prix pour n'en pas faire usage,  Enfin mes voeux sont exaucés. "")",,1.0,Insertion
348,"('#faunus', 'Comment ! Que dites-vous ? ')","('#telamon', 'Ceci vous trouble et vous étonne.')",0.96,Substitution
349,"('#corine', ""Que je sors d'esclavage,  Et que mes malheurs sont passés.  Corine s'éloigne."")",,1.0,Insertion
350,"('#faunus', ""Comment ! Écoutez donc, Corine, je vous prie,  Ne vous avisez pas d'aller me faire ici  De mauvaise plaisanterie ;  Je n'aime pas la raillerie,  Et ce n'est pas un jeu que cette affaire-ci.  Elle ne répond point, elle s'est écartée :  Où la trouver et comment ?  Voilà pour un commencement,  Un bel effet de la bague enchantée : Jupiter ne sait ce qu'il fait,  Il me donne en partant à garder sa Bergère,  Et par Bacchus il envoie un secret  Pour empêcher de voir ce qu'elle voudra faire.  Je suis moi-même un grand sot aujourd'hui,  De n'avoir pas prévu la chose ;  Mais quand je l'aurais fait, je n'ose  Croire avoir plus d'esprit que lui.  À quoi la passion expose !  Elle obscurcit l'esprit, elle aveugle les yeux,  Et l'Amour, qui se rit de tous tant que nous sommes,  Fait assez souvent faire aux Dieux  Autant de sottises qu'aux hommes.  Quel parti prendre ! Il faut tâcher  Adroitement de faire en sorte  De rattraper la bague, et surtout d'empêcher  Que de ces lieux l'invisible ne sorte ;  Courons, et redoublons la garde de la porte,  Si on ne la voit pas, on pourra la toucher. "")",,1.0,Insertion
351,"('#corine', ""Que parle-t-il des Dieux, et de Jupiter même ?  Ai-je bien entendu : serait-ce un Dieu qui m'aime ?  Mais non, pourquoi se déguiser ?  Pourquoi descendre ainsi de sa grandeur suprême,  Et pour toucher un coeur chercher à l'abuser ?  Je sens qu'en secret je me flatte  De soumettre à mes lois une Divinité :  Trop dangereuse vanité  Qu'il faut que ma vertu combatte  Par le secours de la fidélité.  C'en est fait, et je veux que mon triomphe éclate.  Quelque bonheur qui me soit présenté,  Je me dois à Philène, et ne suis point ingrate,  Et le Dieu sera rebuté :  Voici Philène… sa présence  Dans tous mes sens allume un nouveau feu.  Il croit être seul en ce lieu,  Il ne me saurait voir, examinons-le un peu,  Écoutons, sachons ce qu'il pense,  Et s'il mérite sur un Dieu,  Qu'on lui donne la préférence. "")","('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")",0.0,Match
352,"('#philene', ""Tout favorise mes desseins,  C'est une Puissance divine  Qui vient de m'ouvrir les chemins  De ces beaux lieux habités par Corine.  Il n'est point de bonheur égal  À celui s'être aimé d'une beauté qu'on aime,  Si Corine est pour moi la même,  Je ne craindrai point d'un rival,  Ni le pouvoir, ni la colère :  Près d'elle conduit par l'Amour,  Mon bonheur me rend téméraire ;  Et j'affronterai pour lui plaire  Les périls où dans ce séjour,  De ce rival peut me livrer la haine,  Heureux de périr en ce jour,  En prouvant ma constance à Corine. "")","('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",0.49,Substitution
353,"('#corine', 'Ah Philène ! ')",,1.0,Insertion
354,"('#philene', ""Qu'entends-je Corine, est-ce vous ?  Quel charme vous cache à ma vue. "")",,1.0,Insertion
355,"('#corine', 'Le Ciel se déclare pour nous. ')","('#tharsis', 'Tu ris.')",1.72,Substitution
356,"('#philene', ""J'entends sa voix. Depuis que je vous ai perdue,  De mon bonheur les Dieux jaloux,  Ne peuvent-ils souffrir qu'à mes voeux les plus doux ?  Vous soyez tout-à-fait rendue ?  Je vous entends, et je ne puis vous voir ;  Auprès de vous c'est l'Amour qui m'amène ;  Ce Dieu m'a-t-il flatté d'une espérance vaine ? "")","('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")",0.23,Substitution
357,"('#corine', 'Non, Philène, ce Dieu va combler votre espoir,  Ce diamant me rendait invisible. ')","('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",1.37,Substitution
358,"('#philene', ""C'est un présent de mon rival :  Vous l'avez accepté, Corine, est-il possible ? "")",,1.0,Insertion
359,"('#corine', 'Oui, mais il lui sera fatal,  Il peut faciliter ma fuite ;  Ou si vous demeurez près de moi dans ces lieux,  Vous y cacher à tous les yeux. ')","('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",1.04,Substitution
360,,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",1.0,Deletion
361,"('#philene', ""Que s'il se peut, jamais je ne vous quitte,  Et que mon sort soit envié des Dieux. "")",,1.0,Insertion
362,"('#corine', ""N'en doutez point, Philène, il doit leur faire envie,  Ce présent vient de quelqu'un d'eux,  Corine vous le sacrifie.  Philène prend la bague et veut la mettre.  Que Corine me rend heureux ! "")","('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",0.87,Substitution
