,mareschala-genereuse-allemande,mareschala-genereuse-allemande-2,Cost,Operation Type
294,"('#aristandre', ""Combien j'honore une Princesse. "")",,1.0,Insertion
295,"('#cloriande', 'Que ton courage tue, et ta bouche caresse. ')","('#camille', 'Ainsi donc en fureur, ô Ciel ! Tu me regardes ? ')",1.0,Substitution
296,"('#aristandre', 'Vous tuer ? ')",,1.0,Insertion
297,"('#cloriande', 'Oui, meurtrier. ')","('#l-exempt', 'Ouvrez. ')",1.27,Substitution
298,"('#aristandre', 'Comment ? Et de quels traits ? ')","('#camille', 'À qui ? ')",0.56,Substitution
299,"('#cloriande', ""De ceux qu'en tout l'Enfer on ne voit point portraits. "")","('#l-exempt', ""C'est trop ; au Prince, et à son Exempt ;  Son pouvoir en mes mains le rend comme présent.  Ici l'Exempt dispose ses Gardes à l'entour du logis."")",1.4,Substitution
300,,"('#camille', 'Mourons plutôt, Ménipe. ')",1.0,Deletion
301,"('#aristandre', 'Ah ! Madame. ')","('#menipe', 'Il faut ouvrir , Madame. ')",0.45,Substitution
302,"('#cloriande', 'Ah ! Moqueur. ')",,1.0,Insertion
303,"('#aristandre', ""Dites, je vous conjure,  D'où vient ?... "")",,1.0,Insertion
304,"('#cloriande', ""Ne parle plus, ta voix me fait injure ;  Il te vaudrait mieux n'avoir parlé jamais  À telle… Mais c'est trop ; que dis-je désormais ?  Je parle trop moi-même, à moi-même contraire,  La parole me nuit, et je ne puis me taire,  Aveugle le me prends dedans mes propres rets,  Portons mon désespoir en des lieux plus secrets.  Elle sort toute en colère."")","('#camille', 'Ouvre premier ce coeur, fais passage à mon âme ;  Aussi bien de douleur je me sens défaillir. ')",0.31,Substitution
305,"('#aristandre', ""Ô Cieux ! Elle s'en va ; cette fureur l'emporte  Ainsi qu'une Bacchante, ou de la même sorte  Qu'une Biche fuirait, la flèche dans le sein ;  Que sa défaite est vraie, et mon triomphe vain !  Malheureuse princesse, en ta perte certaine  Que je te fais de mal, que tu me fais de peine !  Que tu te plais, Amour, à brouiller nos esprits !  Tu nous piques, malin, même quand tu nous ris :  Ainsi dans mon bonheur tu me rends misérable,  La fortune me nuit, m'étant trop favorable ;  Deux Princesses m'aimer ? L'une et l'autre sans fruit ?  Et voir que dans le choix, mon désir se détruit ?  Tantale entre ces biens l'abondance me frappe,  Cette eau flatte ma soif, et la flattant m'échappe.  Perdrai-je ces deux fruits, faute d'en choisir un ?  Ici le bien me charge, et me semble importun ;  Celle-ci sans mari, jeune et de bonne mine ;  Mais la plus belles aussi, vraiment c'est Roseline ;  Sans chercher un Pâris on en peut bien juger ;  Une Junon sur moi dût-elle se venger,  Roseline à mes yeux a déplié le voile,  Auprès de ce Soleil l'autre n'est qu'une Étoile.  Laissons-nous donc aller où me portent mes sens ;  Je suis à la plus belle, à la fin j'y consens ;  Le droit, outre mon choix, me conserve pour elle ;  Et déjà la Duchesse entre ses bras m'appelle,  L'heure est prise à demain, qu'elle me doit livrer  Cette faveur qui peut de plaisirs m'enivrer,  Où tout voluptueux je dois mettre au pillage,  Réduire à ma merci, soumettre à mon courage  Mille beautés, sur qui le coeur se pâmera,  L'oeil volera sans crainte, et la main nagera ;  Ah ! L'ombre du plaisir y pensant me transporte ;  Que feront les effets. Ai-je l'âme assez forte  Pour supporter un bien ; dont le penser trop vain  Me consomme aujourd'hui, sans attendre à demain ?  Mais, où vont mes esprits ? Qui les porte à l'extrême ?  Arrêtez-vous, mes sens, revenez en moi-même ;  Est-ce comme tu sais, mon coeur, te souvenir  Du seul objet d'amour qui dût m'entretenir ?  Veux-tu faire à Camille une si grande offense ?  Ne sais-tu pas quelle est sur cela ma défense ?  Que m'avais-tu promis ? Me faut-il retomber  Dedans ce précipice ? Y dois-je succomber ?  Non, courage, mon coeur ; encore un peu de force ;  Le charme se défait d'une si douce amorce.  C'en est fait ; je reviens à mon dessein rendu ;  C'est trop m'être égaré, c'est trop m'être perdu,  Je te suis dès demain, Adraste, je le jure,  Dans mon coeur contre moi ton absence murmure ;  Je ne donne qu'à toi ma résolution.  Tu peux plus que Camille en mon intention ;  Bien qu'elle sût le tout, voudrait-elle, mauvaise,  M'envier un bonheur, et dérober mon aise ?  Non, non, elle sait mieux vivre selon le temps ;  Ma foi seule pour toi rend mes voeux inconstants ;  Outre que ce beau coup qu'Amour me fait attendre  Demande plus de temps que je n'en saurais prendre ;  Attendant que nos feux se pussent amortir,  Chaque jour m'ôterait les moyens de partir ;  Et je sens aujourd'hui que ton départ me presse,  Que ma propre raison accuse ma paresse.  Dieux ! Que c'est discourir vainement de ma foi !  Il semble que je veux me déguiser à moi,  Je cherche des raisons pour me tromper moi-même ;  Que l'Amour me punit, en faisant que l'on m'aime !  Lève, lève le masque ; au bien que l'on te veut  Tu presses, on l'accorde, et cela ne se peut ;  Bonheur injurieux, cause de ma tristesse,  Qui me donne et ravit cette aimable Princesse !  Que ne vient ce bonheur plus_ou_moins attendu !  Que tout le bien d'amour m'est chèrement vendu !  Que mon mal est honteux ! Non non, c'est un vieux conte,  Si j'en rougis, c'est plus de dépit que de honte ;  L'amour, comme la guerre, a des coups de danger,  Qui nous restent longtemps d'un plaisir passager ;  Et c'est là mon malheur, de souffrir un martyre  Que l'on ne peur celer, et que l'on n'ose dire ;  J'en ai déjà trop dit, je crains que m'écoutant  Mon ombre à ma Princesse en aille dire autant ;  Un respect plus caché, qui me défend sa perte,  Refuse à nos désirs la jouissance offerte ;  Différons pour un temps ce doux combat d'amour ;  Je remets, (il le faut) la partie au retour.  Mais lui rendrai-je bien mon départ agréable ?  Son esprit amoureux ne se paie point de fable ;  Allons donc inventer quelque subtilité,  Qui flatte mon dessein, et sa crédulité. "")","('#menipe', ""Madame, voulez-vous plus qu'eux vous assaillir ?  Je veux, s'il en vient mal, sur ma tête le prendre ;  Vivez, je vous conjure, au respect d'Aristandre. "")",0.42,Substitution
306,,"('#camille', 'Au contraire, pour lui je dois, je veux mourir.')",1.0,Deletion
307,,"('#menipe', ""Oui, de peur d'endurer, et de le secourir. "")",1.0,Deletion
308,,"('#l-exempt', ""Ouvrez, et promptement, j'enfoncerai la porte. "")",1.0,Deletion
309,,"('#menipe', 'Le voulez-vous laisser au péril de la sorte ? ')",1.0,Deletion
310,"('#roseline', ""Enfin le jour paraît, mes voeux l'ont fait éclore,  Et ma flamme aujourd'hui sert au monde d'Aurore ;  Je t'adore, Vénus, avecque le Soleil,  Belle Étoile, qui luis jusques à son réveil,  Qui t'es fait voir à moi, seule depuis une heure,  Pour m'aider à souffrir l'ennui de sa demeure ;  Que j'ai trouvé charmant ton muet entretien !  Que mon espoir jaloux s'est flatté dans le tien !  Petit Astre tout clair, tu vaux plus que l'Aurore,  Plus que tous les brillants, plus que la Lune encore ;  Mais, pour te mieux nommer, douce Mère d'Amour,  Je dois, belle Vénus, à toi seule ce jour ;  Toi, qui veux à ce jour que mon amour te voue  Qu'avecque mon Pâris Hélène je me joue ;  Conduis notre dessein, comme tu fis le leur,  Joins-y plus de plaisir, et bien moins de malheur. Mais le Soleil jaloux qu'en ces lieux j'entretienne  L'Astre dont la clarté s'efface dans la sienne,  Que devant lui j'honore un flambeau de la nuit,  Avecque plus d'éclat m'environne, et reluit ;  Tout seul il s'est levé, l'Aurore est prévenue ;  Amour m'a fait venir, Amour l'a retenue ;  Je t'adore à ton tour, bel Astre sans pareil,  Sacré Père du jour, ennemi du sommeil ;  Dans tes feux je recouvre et le jour et la vie,  De crainte et de langueurs cette nuit poursuivie,  Mes yeux perdus dans l'ombre et mon sens écarté  Reprennent leur lumière avecque ta clarté.  Voici l'heure à la fin que je crains, et désire,  Où doit croître ma flamme, et finir mon martyre,  Heure, qui doit, Amour, à mon sort combattu  Témoigner ma faiblesse, et montrer ta vertu ;  Pardon, ô Chasteté ! Si mon coeur te refuse ;  Mon Amant dans ses yeux te montre mon excuse,  Je ne fais qu'obéir soumise à son pouvoir,  Il a forcé mes sens, il fausse mon devoir,  Mes forces contre lui seraient vaines et molles.  Mais ce temps est trop cher, pour le perdre en paroles,  Il coule sans ressource ; et passe plus soudain  Qu'un oiseau, qui lâché trompe l'oeil et la main ;  Le Soleil sans m'ouïr suit sa route première,  Il est déjà monté bien haut dans sa carrière ;  Et moi, je suis encore à discourir ici ;  Il faut que comme moi je me dépêche aussi ;  Tout le Palais sans bruit sans soupçon, et sans crainte,  Mon Mari le premier endormi dans ma feinte,  Qui près de lui m'a fait un prétexte à sortir,  Avecque peu de gens je pourrai bien partir,  Afin que mes désirs de bonne heure me rendent  Où ceux de mon Amant m'appellent et m'attendent ;  Suivons ; mon coeur s'en va, je ne le puis tenir.  Quoi ? Je l'allais chercher, et je le vois venir,  Je le croyais bien loin, et le voici tout proche ;  Mais que porte ce front que je vois tout de roche ? "")","('#camille', 'Que penses-tu gagner, me faisant vivre ici ?  Quelques moments de plus. ')",0.98,Substitution
311,"('#aristandre', ""Les marques d'un tourment qui me ronge le coeur,  Qui nourrit dans mes yeux des larmes de langueur,  Une mort au-dedans, au-dehors son image,  La douleur en la bouche, et dans l'âme la rage. "")","('#menipe', 'Perdez-en le souci ;  Ma tête du succès vous servira de gage,  Laissez-moi seulement jouer mon personnage. ')",1.75,Substitution
312,"('#roseline', 'Je meurs à tous ces mots ; quel orage excité,  Quel malheur a troublé notre félicité ? ')","('#camille', 'Que ne pourrait sur moi ton vouloir emporter ? ')",0.85,Substitution
313,,"('#menipe', 'Criez donc.  Il se jette du haut de la muraille dans la rue.')",1.0,Deletion
314,"('#aristandre', ""Le seul, (ô désespoir, à qui mon âme cède !)  Qui pouvait l'empêcher, et n'a point de remède :  Un mandement exprès me vient de l'Empereur,  Contre lequel je n'ai d'armes que la fureur ;  Il faut que je vous quitte, un seul moment à peine  Me permet le loisir de reprendre l'haleine,  Me permet de vous dire un misérable adieu,  Et le temps qu'il faudrait pour mourir en ce lieu. "")","('#camille', ""Il m'échappe, on ne peut l'arrêter,  Ce fou suit sa fureur, il se jette à la rue ;  À l'aide, mes amis, le malheureux se tue,  Qu'on lui tire ce fer : ah Dieu ! Que fera-t-il ?  Il prend une pertuisane de l'un de ces Gardes."")",0.11,Substitution
315,"('#roseline', ""Coup fatal de ma mort ! Astres noirs de malice !  Cieux de sang, et de feux, achevez mon supplice !  Pestes, serpents, horreurs, venez, étouffez-moi,  Faites marcher ici la fureur, et l'effroi.  Quoi ? J'appelle la mort, et rien ne me délivre ;  Ne saurais-je mourir, quand je ne puis plus vivre ? "")","('#menipe', ""Pour un sceptre en enfer passera cet outil :  Voulez-vous retirer de l'Averne un Thésée ?  Je servirai d'Alcide.  Ah ! La voilà brisée.  Que de fantômes noirs, et que d'Esprits volants !  Que de feux engouffrés, fumeux, étincelants !  Courage ! Le voici ; j'entends venir Cerbère.  Il en donne dans la porte qu'il met par terre. Camille descendant, il la prend pour Cerbère."")",0.58,Substitution
316,"('#aristandre', ""Voulez-vous me forcer à mourir par deux fois ?  Que je meure en mes maux, et dedans votre voix ?  La Parque en sa fureur veut, et n'ose vous plaire,  Raisonnable en ce point qu'elle a peur de le faire ;  C'est moi, c'est contre moi que son coup doit venir,  C'est moi seul qu'elle doit l'inhumaine punir :  Cruelle, insatiable, exécrable Mégère,  Viens noyer en mon sang ma vie, et ma misère ;  De la terre et du Ciel éternelles horreurs  Accourez, me voilà, venez à moi, fureurs,  Faites siffler vos fouets, portez feu, fer, et soufre ;  Pour me punir des maux que cette Belle souffre ;  Criminel en cela d'avoir pu la fâcher,  Sur ta roue, Ixion, l'on me doit attacher ;  J'ai plus péché que vous, sortez, maudites Âmes,  L'enfer n'a que pour moi de vautours, et de flammes,  Çà, vos chaînes, Titans, je dois les endurer ;  Mais non, votre destin ne se peut réparer,  Et mes fautes seraient en un point réparables ;  Vos crimes et vos maux vous sont inséparables,  Et les miens adoucis nous laisseraient contents,  Si Madame voulait un peu céder au temps. "")","('#l-exempt', ""Arrêtez-là, Madame ; il se met en colère ;  Ce Fou se méprendrait, il croit être en Enfer :  Orfus, qu'on lui saisisse et les mains et ce fer.  Tandis que les Gardes lui tirent la pertuisane, le Capitaine monte vers Camille, qui l'attend le pistolet et l'épée à la main sur le haut se l'escalier. "")",0.38,Substitution
317,,"('#camille', 'Encore à quelle fin tend cette violence ? ')",1.0,Deletion
318,,"('#l-exempt', 'Pour empêcher la vôtre. ')",1.0,Deletion
319,,"('#camille', ""Et quelle ? Ô l'insolence !  Parlez bien. "")",1.0,Deletion
320,"('#roseline', ""Qu'est-il pour mon repos enfin que je ne fasse ?  Parle, je ferai tout, dépêche, je trépasse. "")","('#menipe', ""Révoltés, suis-je pas votre Roi ? Quoi ? M'ôter cet honneur ? Que ferez-vous sans moi ?  Allez faire punir votre ardeur criminelle ;  Je vais vous laisser tous en la nuit éternelle.  Il s'enfuit."")",0.57,Substitution
321,,"('#garde-i', 'Assez dedans sa tête il porte de faux jours… ')",1.0,Deletion
322,,"('#garde-ii', ""Propos pour éclairer l'Enfer. "")",1.0,Deletion
323,,"('#garde-iii', ""Il fuit toujours :  Vraiment ce Roi nouveau, d'un plaisant équipage,  Ne va pas mal à pied sans serviteur, ni page. "")",1.0,Deletion
324,,"('#camille', 'Je ne vous laisserai faire un pas seulement  Sans savoir le sujet de tout ce mouvement. ')",1.0,Deletion
325,"('#aristandre', 'À ce remède seul pourrez-vous recourir ? ')","('#l-exempt', 'Madame, voulez-vous, vous perdre dans la force ? ')",1.31,Substitution
326,"('#roseline', ""Oui, je puis tout, après que je n'ai pu mourir. "")","('#camille', ""Vos efforts à mon feu ne sont que de l'amorce ;  Je n'aurai point de peur pour une fois autant ;  Ma liberté ne peut mourir qu'en disputant,  Oui, libre je mourrai comme je la suis née,  Je puis seule, je veux faire ma destinée ;  Je ne reconnais point d'autre que l'Empereur,  Vous faites m'offensant un crime d'une erreur ;  Je suis venue ici dessous sa sauvegarde,  Je ne réponds qu'à lui ; qu'aucun ne se hasarde,  On ne me touche point avec impunité,  Le plus traître en paiera pour tous la vanité ;  Tyran, tu répondras un jour de cet outrage. "")",1.02,Substitution
327,"('#aristandre', ""Vous pouvez, il est vrai, si vous m'aimez, ma Reine,  Nous conserver tous deux avec un peu de peine :  Souffrez que je m'en aille où m'appelle un destin,  Pour revenir ici dès le premier matin ;  Sitôt que j'aurai su ce que l'on me demande,  À quelle intention sa Majesté me mande,  Il n'est Dieu de la Cour qui m'y puisse tenir,  Je m'en vais, pour aller moins que pour revenir ;  Prenez, et me donnez un peu de patience. "")","('#l-exempt', ""Vous employez, Madame, un peu mal ce courage ;  Le Prince n'a pour vous que de l'affection. "")",0.28,Substitution
328,"('#roseline', ""Et bien, je veux dompter ici ma défiance ;  J'apprends que pout t'avoir il te faut mériter,  Et mes maux se pourront pour mérites conter."")","('#camille', ""Et me désire morte en son intention ;  L'inhumain, contre moi que veut-il entreprendre ?  Ce qu'on aime, l'on peut sans crime le défendre ;  Faut-il à sa fureur laisser les innocents,  Et mon Époux en proie, et moi, si j'y consens ?  Ce ne sera jamais, que sur l'heure vengée  Je ne sois en ma mort de quelque autre allégée  Un Dieu l'entreprenant, je le rendrais mortel. "")",0.12,Substitution
329,,"('#l-exempt', 'Non, Madame, jamais son dessein ne fut tel. ')",1.0,Deletion
330,,"('#camille', ""Et que veulent enfin ces Gardes qu'il me donne ? "")",1.0,Deletion
331,,"('#l-exempt', ""S'assurer du logis, et de votre personne,  Vous suivre seulement, et vous accompagner. "")",1.0,Deletion
332,"('#aristandre', ""Que ne mérite pas enfin cette victoire,  Telle, qu'en l'avouant je n'ose pas la croire ?  Il faut sortir du monde, à peine dans les Cieux  Est-il honneur qui vaille un coup si glorieux ?  Que je m'en vais content au milieu du supplice !  Ciel, que j'estime peu tes traits, et ta malice ! "")","('#camille', ""Oui, cependant qu'il veut, le Tyran, se baigner,  Dans le sang malheureux d'une victime offerte ;  Et c'est ainsi qu'il croit m'endormir en ma perte :  Non non, je suis à moi, m'arrêter ? C'est en vain,  Tandis que je tiendrai ce pistolet en main ;  Je verrai qui de vous sera plus téméraire. "")",0.36,Substitution
333,,"('#l-exempt', ""C'est s'alarmer à faux, on ne vous veux rien faire. "")",1.0,Deletion
334,"('#roseline', ""Moi, je n'ai plus d'espoir, ni de crainte qu'en toi ;  Tu fais mes passions, mon bonheur, et ma foi,  Tu peux, comme il te plaît, me retenir en vie,  Tu m'en peux retirer, s'il te vient cette envie ;  Cela certes t'oblige à me prendre à merci,  À tenir ta promesse, et revenir ici,  Pour rejoindre à mon corps l'âme que tu m'emportes,  Et pour ressusciter mes espérances mortes ;  Me le promets-tu pas ? Jures-en par les Cieux. "")","('#camille', ""On ne le peut aussi ; voici de bons garants ;  Je porte feu pour feu, jamais je ne me rends.  Montrant l'épée et le pistolet qu'elle a en main."")",0.35,Substitution
335,,"('#l-exempt', 'Sur votre liberté qui voudrait entreprendre ? ')",1.0,Deletion
336,,"('#camille', 'Ceux qui veulent la mort de mon cher Aristandre ? ')",1.0,Deletion
337,"('#aristandre', ""Encore par-delà, s'il s'y trouve des Dieux ;  Faut-il pousser en haut les feux qui même y tendent ?  Presser en bas les eaux, qui toujours y descendent ?  Me faut-il appeler à mon centre, à mon bien ?  Attiré de vos traits, faut-il autre lien ? "")","('#l-exempt', 'Et bien, de ces deux points je vous assurerai,  Sur le plus saint Autel je vous le jurerai ;  Tromper tant de vertus serait-ce pas un crime ? ')",0.58,Substitution
338,,"('#camille', 'Ainsi prête à mourir on flatte une victime. ')",1.0,Deletion
339,,"('#l-exempt', ""Faire un coup si méchant ? Quelle main l'oserait ?  Contre elle un foudre ardent pour vous s'opposerait. "")",1.0,Deletion
340,"('#roseline', ""Je t'en veux donner un, qui te suive dans Prague,  Qui t'en retire aussi ; regarde cette bague ;  Par elle mon Mari vit son désir content ;  Je te promets le même en me la rapportant,  Et te la mets au doigt, afin qu'il te souvienne,  Absent, de ta promesse autant que de la mienne,  Qu'elle soit… Mais que sens-je ? Une peur, un frisson,  Une sueur de glace, ou plutôt un glaçon ;  Il tombe sur mon coeur, je n'en puis plus, je pâme,  Soutiens-moi, je m'en vais, recueille, Ami, mon âme.  Elle tombe évanouie."")","('#camille', ""Qu'on ne me flatte point ; je sais, quoi qu'il advienne,  Qu'on ne me promet rien qu'après on ne me tienne. "")",0.45,Substitution
341,,"('#l-exempt', 'Ma foi, (recevez-la,) vous assure de tout. ')",1.0,Deletion
342,,"('#camille', ""Or sus, je le verrai, mon esprit se résout ;  On ne me peut tromper qu'une fois en sa vie. "")",1.0,Deletion
343,"('#aristandre', ""Ô Cieux ! Madame ! Et quoi ? Me quittez-vous ainsi ?  Vous laissez-vous mourir ? Ah ! Que je meurs aussi ;  Ouvrez l'oeil seulement, pour voir comme j'expire,  Que fais-je ? Ici l'avis le meilleur est le pire ;  Si l'on nous vient trouver tous deux en cet état ?  Ô Mort ! Qu'il vaudrait mieux que ton dard m'emportât !  Change de coup, aveugle, et me prends au lieu d'elle ;  Ne saurais-tu faillir ? À moi, frappe, cruelle !  Dieu ! Voilà son esprit qui passe en soupirant,  Mais non, c'est que son coeur respire en l'attirant.  Courage, c'en est fait, efforcez-vous, Madame. "")","('#l-exempt', ""Me punisse le Ciel, si j'en ai quelque envie :  Je crois que de ce bruit vous n'aurez que le son ;  Le Prince quittera peut-être le soupçon  Qui nous a fait venir, lors en cela trompée  Vous trouverez à vous mon coeur et mon épée :  Croyez que je n'ai pas épousé son courroux,  Si je n'étais à lui, que je serais pour vous. "")",0.25,Substitution
344,"('#roseline', ""Est-ce toi, Cher Ami, qui me viens rendre l'âme ? "")","('#camille', ""Cette vertu m'oblige, encore un peu suspecte. "")",1.63,Substitution
345,"('#aristandre', ""Et, ma Reine, c'est vous plutôt qui me l'ôtez :  Mais, non, je m'en dédis, vous me la rapportez ;  Je revis par vous-même, et dans votre courage,  Il nous met au-dessus… "")","('#l-exempt', 'Hors de ma charge, on sait combien je vous respecte.  Entrons. ')",1.3,Substitution
346,"('#roseline', ""D'un malheureux présage ;  Ton absence, et ma foi me feront encourir  Plus de mal en vivant qu'il n'en faut pour mourir ;  Soit ; peut-être qu'au sort qui ne me veut pas morte  Cette douleur dernière aura fermé la porte ;  Que le Ciel tourne en bien ces présages mortels ! "")","('#camille', ""Je sens enfin mon courage soumis ;  Que ne peut la douceur même des ennemis !  Ils entrent dans sa chambre, où par subtilité l'Exempt et ses Gardes la désarment. "")",0.72,Substitution
347,"('#aristandre', ""En vous perdant, Madame, il touche à ses Autels ;  Ne serait-ce pas être à lui-même contraire,  De détruire envieux ce qu'à peine il put faire ?  Il vous doit conserver pour sa gloire à jamais. "")","('#elyse', ""Qu'une Servante ait pu causer ce grand orage ?  L'ingrate, la perfide ! Ah ! J'en suis à la rage ;  Voilà tous nos desseins en un coup renversés,  Un foudre sans éclair les a soudain percés,  La tempête nous bat, paravant que prévue ?  D'un coup sourd et caché ce tonnerre nous tue :  L'air n'en devait porter, qu'afin de te punir,  Méchante… Mais il faut songer à l'avenir :  Camille tout le jour sans moi seule laissée,  D'un si cruel assaut mortellement blessée,  Dans la peur et les soins jusques ici m'attend :  La nuit de tous côtés sur la terre s'étend ;  Dès l'Aurore je suis à la Ville sortie,  Devrais-je pas l'avoir de ce coup avertie ?  Hâtons-nous. "")",0.31,Substitution
348,,"('#garde-i', 'Qui va là ?')",1.0,Deletion
349,,"('#elyse', 'Je suis de la maison. ')",1.0,Deletion
350,,"('#garde-ii', 'Entrez. ')",1.0,Deletion
351,,"('#elyse', 'Quoi ? Ce logis est donc une prison ? ')",1.0,Deletion
352,"('#roseline', ""Pour la tienne plutôt, s'il m'aime désormais.  Or adieu ; je vois bien que ton âme soupire  Après ce triste mot. "")","('#garde-iii', ""J'en vois dans votre sein une autre bien plus belle. "")",1.14,Substitution
353,,"('#elyse', 'Indiscrets.  En montant.')",1.0,Deletion
354,,"('#garde-i', 'Tous armés nous menacera-t-elle ? ')",1.0,Deletion
355,,"('#l-exempt', 'Tout vous sera permis, ce point seul excepté. ')",1.0,Deletion
356,"('#aristandre', ""C'est après mon martyre ;  Adieu, Madame. "")","('#camille', ""C'est en me donnant tout, m'ôter la liberté ;  Les mettre dans ma chambre ? Et moi sous leur puissance ?  Et vous la permettez, ô Dieux ! Cette licence ;  Jamais la cruauté ne vit telle action. "")",1.38,Substitution
357,"('#roseline', ""Adieu : je pense en te baisant  Prendre le dernier point que j'aurai de plaisant. "")","('#l-exempt', ""Renvoyez cette faute à ma commission,  C'est avecque regret qu'il faut que je la fasse ;  Jugez ce que je dois, mettez-vous en ma place,  C'est le dû de ma charge, et le point plus exprès. "")",1.33,Substitution
358,"('#aristandre', ""Et moi, en vous quittant, vos yeux m'arrachent l'âme,  D'un corps, qui ne vivra que d'amour et de flamme. "")","('#camille', ""Me promettre la vie, et me l'ôter après ?  Et ne m'avoir laissé de toute sorte d'armes  Contre la trahison que les cris et les larmes ? "")",0.49,Substitution
359,,"('#l-exempt', 'Et quoi ? Servir son Prince est-ce une trahison ? ')",1.0,Deletion
360,"('#roseline', ""Cher Ariste… Il m'échappe : à tous ses pas je vois  La mort en faire autant pour s'en venir à moi.  Ah, mon_Dieu ! Que mon coeur me dit d'étranges choses ! "")","('#camille', ""Méchant, ne parle plus ; c'est perdre la raison  Que d'en vouloir chercher d'un traître, et d'un parjure. "")",0.87,Substitution
361,"('#aristandre', ""Je m'en vais sur l'épine, et je quitte les roses. "")","('#l-exempt', ""Son désespoir éclate, et fait que j'en endure.  Voici sa Damoiselle, il m'en faut décharger :  Vous, ayez-en du soin, et faites-la manger ;  Je vais faire venir la cuisine du Prince.  Élyse monte. Il sort."")",1.32,Substitution
362,"('#mironte', ""Je ne puis plus, ma nièce, entendre ce discours,  Sans raison votre peur s'augmente tous les jours ;  Aristandre a des traits qui domptent la fortune,  Et la Terre, et le Ciel, d'une amitié commune, Ont juré pour sa vie un éternel accord. "")","('#camille', ""Je mangerais son coeur, pourvu que je le tinsse,  Lui seul aiguiserait ma colère et ma faim ;  La cuisine du Prince ? Ah ! L'office inhumain !  Ne lui suffit-il pas qu'ici l'on m'emprisonne ?  Non, ce n'est pas assez, il veut qu'on m'empoisonne,  Et comme il ne me peut perdre d'un coup ouvert,  Il veut faire jouer cette mine à couvert ;  Ma perte, il le sait bien, attirerait la sienne,  Il n'a Ville, Château, ni Fort qui le maintienne ;  S'il osait jusques-là d'autorité venir,  Tout l'Empire armerait afin de le punir,  Il verrait mille bras armés contre sa tête,  Tous les vents tourneraient sur lui cette tempête. "")",0.85,Substitution
363,"('#camille', ""Et la Terre, et le Ciel me présagent sa mort ;  La vie est un État, où la fortune règne,  Qui n'a de changements que mon amour ne craigne ;  C'est un champ, qui veut être arrosé de nos pleurs,  Où l'épine se cache et croît dessous les fleurs ;  Une Mer, dont le flux, d'une diverse sorte  Amène notre joie, et le reflux l'emporte ;  C'est un vent, qui n'abat que les arbres plus hauts,  Un gouffre, où les plus Grands font les plus rudes sauts ;  C'est un jeu de hasard, où la chance meilleure  Fait perdre tous nos ans dans l'espace d'une heure ;  C'est où les plus vaillants sont les plus malheureux,  Et cherchent par honneur un sort plus rigoureux ;  Où jamais la Vertu ne vit en assurance,  Où se glisse toujours, contre notre espérance,  Tout ce qu'on craint le plus, et qu'on attend le moins. "")","('#elyse', ""Madame, encore plus ; ne vous émouvez point ;  Il est bien éloigné d'en venir à ce point,  Quoi qu'il médite, il est plus que nous dans la crainte,  Sans savoir d'où le coup, il attend quelque atteinte,  Et c'est à ce sujet qu'il vous faut arrêter. "")",0.67,Substitution
364,"('#mironte', 'Que pouvez-vous tirer enfin de tant de soins ? ')","('#camille', ""D'où sais-tu ce qu'ici tu me viens raconter ? "")",1.44,Substitution
365,"('#camille', ""Interrogez le Ciel, c'est lui qui me les donne. "")",,1.0,Insertion
366,"('#mironte', ""Il donne le repos, et ne l'ôte à personne. "")","('#elyse', 'Ménipe… ')",1.56,Substitution
367,"('#camille', ""Quel repos, de pleurer toujours, et de gémir ?  Il ne m'a laissé l'usage du dormir ;  Ou, s'il me le permet, c'est lui, qui me figure  Des fantômes d'horreur, et de mauvais augure :  La nuit il me fait voir en songe mon Époux,  Maintenant pâle, affreux, et tout couvert de coups,  Qui rend l'âme, et le sang par une même plaie ;  Tantôt chargé de fers, que son courage essaie  De rompre, en les traînant d'un agréable bruit,  Et ses fers et ses cris font horreur à la nuit ;  Tantôt… "")","('#camille', ""Parle bas, partout on nous écoute ;  L'as-tu-vu ? Que fait-il ? Tu me réjouis toute,  Au mal que l'on connaît on peut remédier. "")",0.68,Substitution
368,"('#mironte', ""N'achevez point ; ces objets de tristesse  Remplissent notre esprit, et font qu'il les caresse  Même dans le mensonge, et tous hideux qu'ils sont ;  Notre âme s'entretient dans la peur qu'ils nous font :  Je veux vous divertir de cette fantaisie. "")","('#elyse', ""Encore si nouveau, qu'il ne vient que d'hier :  Ah ! Que votre courroux vous fera de dommage !  Ce gouffre si charmant fait broncher le plus sage ;  J'en eus, vous le savez, quelque appréhension ;  Que ne commandiez-vous à cette passion ?  Éprise de dépit d'avoir été chassée  La Servante vous a cette affaire brassée,  Donnant de vos desseins des soupçons pour avis,  De certains mots tenus par forme de devis,  Qui sous un sens caché marquaient une entreprise ;  Pour Oracle sa voix par conjecture prise,  De crainte on est venu s'assurer de vos mains,  Pour prévenir un coup dont ils sont incertains. "")",0.0,Match
369,,"('#camille', ""Qu'elle n'ait révélé rien de plus ? L'infidèle. "")",1.0,Deletion
370,"('#camille', ""C'est en vain, car j'en suis entièrement saisie. "")","('#elyse', ""Non, car elle n'a pu. "")",0.99,Substitution
371,,"('#camille', ""Qui se fut douté d'elle ? "")",1.0,Deletion
