,biancollelli-arlequin-gentilhomme,mongin-promenades-de-paris,Cost,Operation Type
191,"('#arlequin', 'Vous vous ferez frotter,  Et je vous donnerai ma foi sur les oreilles,  Ma charmante avec moi vous serez à merveilles  Je vous ferai porter les crochets quelquefois.  Beau-père, pouviez-vous faire un plus joli choix ?  Au Docteur.')","('#colombine', 'Mauvais moyen pour empêcher la chose !  Et tous ceux qui sous ces ormeaux  Font la charge de sentinelle ,  Bien loin de garder une belle,  Ne gardent rien que les manteaux.')",0.91,Substitution
192,"('#le-docteur', ""Vous êtes à présent le mari d'Isabelle,  Adieu pour un moment je vous laisse avec elle. "")","('#mezzetin', ""Que cette retraite est charmante !  Qu'il est doux d'être assis dessus ce vert gazon !"")",1.7,Substitution
193,"('#arlequin', ""C'est agir prudemment. "")",,1.0,Insertion
194,"('#isabelle', ""Ô mortelles douleurs !  Devais-tu m'exposer à de nouveaux malheurs  C'est toi qui dans ce jour cause mon infortune.  À Arlequin."")","('#colombine', 'Ne voilà pas déjà le gazon qui te tente ?  Adieu.')",1.67,Substitution
195,"('#arlequin', ""Ma mie en vérité ce discours m'importune.  Si vous continuez vous vous ferez rosser. "")","('#mezzetin', 'Non non, de grâce, arrête, écoute donc.')",1.34,Substitution
196,"('#isabelle', 'Infâme... ')","('#colombine', 'Laisse-moi.')",0.62,Substitution
197,"('#arlequin', ""Vous allez encore recommencer,  J'ai sur vous maintenant un pouvoir despotique  Vous pourriez à mes bras donner de la pratique,  Ainsi, ma chère femme, un peu plus de douceur  Là là, modérez-vous ma mignonne, mon coeur,  En voyant vos appas, l'eau me vient à la bouche,  Laissez-vous caresser, pourquoi cet air farouche ?  Ma belle crocheteuse allons-nous en coucher. "")",,1.0,Insertion
198,"('#isabelle', ""Quoi malheureux encore, ose-tu m'approcher ? "")","('#mezzetin', ""Mais d'où vient cette peur, cet effroi ?  Tu ne serais pas plus timide,  Quand tu serais avecque moi  Aux déserts de la Thébaïde."")",0.25,Substitution
199,"('#arlequin', 'Un soufflet, finissons ce jeu de Comédie.  Adieu je me retire et je vous répudie. ')","('#colombine', ""Oh, ce bois est plus dangereux  Que le désert le plus affreux.  Telle qui tiendrait bon où gîte la cicogne,  Se rend dans le Bois_de_Boulogne.  On ne va boire ni manger  Où les cicognes vont loger ;  Mais ici tous les jours l'ivrogne,  À l'aide du vin de Bourgogne,  Fait sonner l'heure du berger.  D'un précipice ou d'une grotte  Où sifflent les serpents, l'on peut se dégager :  Mais qu'une nymphe est en danger  Où l'on sait la contraindre à siffler la linotte !  Dans ces lieux la Coquette à la bisque se rend ;  Et pour la bisque aussi la prude  Permet dans cette solitude  Ce que partout elle défend."")",1.68,Substitution
200,"('#isabelle', ""Rien ne peut arrêter le torrent de mes pleurs  Venez, mon cher Léandre, apprendre mes malheurs,  Ce crocheteur a fait découvrir le mystère,  Il s'est sous votre habit, fait connaître à mon père,  Ayant trouvé sur lui la lettre de Damon,  Il a cru justement lui donner votre nom,  Le preant pour Léandre, Hélas ! Il m'a contrainte... "")","('#mezzetin', ""Oui, dans ce beau séjour tout ressent la tendresse,  On n'y voit que toi de tigresse.  Tu n'as point de pareil ici que ces cailloux ;  Et ce bois ne voit point ni d'humains ni de bêtes,  Qui dans leur tête à têtes  Soient si bêtes que nous.  Mais ne la fais donc plus la bête, Colombine.  Te sied-il bien d'être mutine Dans un séjour où tour se rend ;  Où nul coeur n'est indifférent ;  Où l'on ne voit enfin que toi d'impitoyable ?"")",0.71,Substitution
201,"('#leandre', "". . . . . . N'ayez aucune crainte,  C'est Léandre qui doit être votre époux,  Rien ne peut à mon coeur ravir un bien si doux  Et puisque entre mes bras votre père vous livre,  Il faut sans balancer vous résoudre à me suivre  La fuite est nécessaire en cette extrémité. "")","('#colombine', ""Ah ! Qu'Arlequin m'est redevable  Et que n'est-il ici, Coquin, au lieu de toi !  Quelle est la femme comme moi  Assez maîtresse d'elle, assez fidèle et sage  Pour résister, à ces hélas ?  Et pour ne sacrifier pas  Le plumet à la robe en ce sombre bocage ?  Mais chut ! Quelqu'un vient en ce lieu,  Et j'entends que l'on nous appelle ;  Et c'est fort à propos. Adieu."")",0.43,Substitution
202,"('#isabelle', 'Je dois me conformer à votre volonté,  Répondre à vos désirs est ma plus chère envie,  Vous pouvez disposer de mon sort et de ma vie. ')","('#calmar', ""C'est , Mademoiselle, une petite collation champêtre, comme vous voyez."")",1.57,Substitution
203,,"('#elise', ""Monsieur_Calmar ne fait rien que de magnifique, et à la campagne comme à la Ville tout est somptueux quand il s'en mêle. Ici Octave et Scaramouche mettent le couvert à terre. On apporte plusieurs carreaux sur lesquels on s'assied, et lorsqu'on découvre les plats qu'un avait servis pour manger, on les trouve remplis d'instruments de musique tout différents , qu'Octave, Scaramouche, et les autres garçons cabaretiers prennent et dont ils jouent ; ce qui forme un concert fort agréable. Calmar et Élise dansent ; après quoi on fait tomber Calmar, et on l'emporte enveloppé dans la nappe ; ce qui finit le premier acte."")",1.0,Deletion
204,"('#scaramouche', 'Enfin vous prétendez Monsieur le spadassin,  Persévérer toujours dans ce noble dessein,  Où Diable voulez-vous mener cette femelle ?  Pour en être charmé la trouvez-vous si belle ?  Pour moi je la verrais du haut jusques au bas,  Que je ne serais point tenté de ses appas. ')","('#calmar', ""Si j'avais eu cette épée, l'on ne m'aurait pas insulté impunément au Bois_de_Boulogne.  Holà Mezzetin, me voilà en état de plaire et de faire face aux Tuileries.  Mais avant que d'aller plus loin, dis-moi ce que tu penses de mon habit.  Trouves-tu qu'il pêche contre l'air guerrier ?  Me trouves-tu encore quelque teinture de la robe, et me prendrais-tu de loin pour Monsieur_Calmar ?"")",0.53,Substitution
205,"('#leandre', 'Monsieur le Précepteur finissez, je vous prie,  De pareils quolibets passent la raillerie. ')","('#mezzetin', ""Oh, vous voilà, Monsieur, tout à fait bien décalmardé ; il vous reste seulement à prendre l'air et les manières assortissantes à votre habit.  Là, mettez-moi ce chapeau sous le bras, par exemple.  Le peigne à la main ?  Barbouillez-vous le nez de tabac ; faites plisser votre justaucorps.  L'estomac débraillé.  Allons, l'air brusque, vif, et dissipé ?  Bon !  Il ne vous manque plus qu'une moustache, un ton de fausset, et des créanciers  à vos trousses, pour avoir toutes les parties d'un galant homme."")",0.87,Substitution
206,"('#isabelle', ""Scaramouche n'est pas un garçon fort poli. "")","('#calmar', ""Ce changement d'air et d'habit, ce produira je crois dans le cour d'Élise.  Cette métamorphose lui paraîtra peut-être extraordinaire : mais Jupiter lui-même s'est bien métamorphosé pour se rendre aimable."")",1.51,Substitution
207,"('#scaramouche', ""C'est que je ne vois rien en vous de trop joli. "")",,1.0,Insertion
208,"('#isabelle', 'Monsieur, votre valet est prompt à la riposte. ')","('#mezzetin', ""J'ai oui dire en effet, que Jupiter s'était changé en pluie d'or, et une pareille métamorphose, Monsieur, vous siérait bien mieux que celle-là.  Car enfin, que va-t-on dire devoir un vénérable Magistrat comme vous, venir donner le paroli à tous les petits-maîtres des Tuileries ?"")",1.54,Substitution
209,"('#leandre', ""Il faut aller chercher une chaise de poste,  Car je veux l'enlever. "")","('#calmar', ""Va va, je ne suis pas le seul de ma robe, qui au sortir du Palais, troque le rabat et le bonnet carré, contre l'épée et le plumet, pour se faire regarder de bon poil aux Tuileries. Que veux-tu ?  Élise ne se rend point aux fleurettes, aux cadeaux, ni aux fêtes ; il faut l'attaquer par les yeux, et les hommes aujourd'hui ne font donner les femmes dans le panneau, qu'en leur donnant dans la vue."")",1.63,Substitution
210,"('#scaramouche', 'Sans rien dire au Docteur.  Il pleure.')",,1.0,Insertion
211,"('#leandre', ""Scaramouche qu'as-tu ? "")",,1.0,Insertion
212,"('#scaramouche', 'Je pleure son honneur  Qui ne reviendra pas sitôt de ce voyage,  Pacatroufe en chemin il va faire naufrage. ')","('#mezzetin', ""D'accord.  Je sais que l'amour tout nu n'est plus de ce siècle, et que les étoffes de la rue_Saint-Denis font plus de conquêtes, que tout le mérite crotté de l'Académie_Française.  Mais ce n'est pas assez que l'attirail d'un guerrier ; il en faut les qualités, l'air, les manières, et ce je ne sais quoi enfin qui met tant de sympathie entre la coiffe et le plumet.  En un mot, il faut être héros de mine et d'effet, Monsieur, pour vaincre votre héroïne."")",1.37,Substitution
213,,"('#calmar', ""Et bien, s'il ne fallait qu'aller à la guerre, je suis capable de tout pour plaire à Élise."")",1.0,Deletion
214,"('#leandre', 'Pauvre fol ! ')","('#mezzetin', 'Vous allez à la guerre ?  Ah, ah, ah ! Il rit.')",1.86,Substitution
215,,"('#calmar', ""Oui, moi, à la guerre.  Pourquoi non ?  Je veux du mal à mon père et à ma mère de m'avoir envoyé au Droit plutôt qu'aux Cadets."")",1.0,Deletion
216,"('#scaramouche', 'Je vois bien que je perds mon latin,  Et vous ne voulez pas renoncer au butin,  Allons je vous suivrai par-delà la Turquie,  Partons. ')","('#mezzetin', 'Vous à la guerre ?  Fi donc !  Vous voudriez troquer votre Cabinet contre une tente ?  Votre carrosse contre un fourgon ?  Et votre vie enfin douce et tranquille, contre les fatigues et les peines de nos Césars ?')",1.06,Substitution
217,"('#leandre', ""Va-t'en frapper à cette hôtellerie,  Madame y restera jusqu'à notre retour. "")",,1.0,Insertion
218,"('#isabelle', ""Cher Léandre jugez de mon parfait amour  Puisque sans consulter une austère sagesse  Je cède aveuglément à l'ardeur qui me presse. "")","('#calmar', ""Oui.  J'affronterais les peines les plus rudes, pour engager Élise à soulager la mienne."")",0.93,Substitution
219,"('#leandre', ""Rassurez-vous, Madame, et croyez qu'avec moi  Vous ne risquez rien. "")","('#mezzetin', ""Chanson !  Quoi ?  Vous qui ne pouvez braver le sommeil à l'Audience, vous iriez affronter l'insomnie continuelle de l'Armée ?  Vous qui ne pouvez ouïr sans chagrin les sottises qui sortent de la bouche d'un Avocat, vous iriez vous exposer de gaîté de cour à celle du canon ?  Vous vous moquez, Monsieur, vous vous moquez."")",1.28,Substitution
220,"('#scaramouche', ""J'en jurerais ma foi  Mon maître est pour le moins sage comme une fille. "")","('#calmar', ""Non, sérieusement, je voudrais qu'il ne tînt, pour plaire à Élise, qu'à troquer ma robe contre l'épée, et ma charge contre un régiment."")",1.37,Substitution
221,,"('#mezzetin', ""Monsieur_Calmar à la tête d'un régiment ?  Ah, ah ! Le beau spectacle ! Il rit."")",1.0,Deletion
222,,"('#calmar', ""Oui, moi, à la tête d'un régiment.  Où est là le mot pour rire ?"")",1.0,Deletion
223,"('#leandre', 'Frappe donc. ')","('#mezzetin', ""Qu'il ferait beau voir la gravité d'un sénateur dans la tranchée ou sur la brèche !"")",1.41,Substitution
224,"('#scaramouche', 'Je commence à la trouver gentille,  Oh di casa ? ')","('#calmar', 'Encore ?  Ouais !  Ce Maraud-là se moque de moi.  Finissons ces ris, je te prie.  Changeons de discours, et va de ce pas avertir mes musiciens, et leur dis.')",1.35,Substitution
225,"('#pierrot', ""Claudine embrochez ce chapon,  Écumez la salade et plumez cet oignon,  Allez-vous-en compter avec ce Capitaine,  Scaramouche, bon jour, qu'est-ce qui vous amène.  En sortant et voyant Scaramouche."")","('#mezzetin', ""Quel plaisir de voir Monsieur_Calmar courir avec les gouttes sur les pas des Césars !  Ah, ah, ah, ah ! Il s'en va en riant."")",0.94,Substitution
226,"('#scaramouche', ""Cette fille est charmante et vaut un million,  Je veux dans ton logis la mettre en pension.  C'est moi qui l'entretiens, soit dit en confidence.  Toujours pour mes plaisirs je fis de la dépense. "")","('#calmar', ""À la fin la patience m'échappe.  Tu ris encore.  Il faut que je rosse ce coquin-là.  Arrête, arrête, arrête. Il court après."")",1.1,Substitution
227,"('#pierrot', ""Elle le porte beau, c'est tout or et azur.  Ma foi si de mon fait je pouvais être sûr,  Je m'amuserais bien à lui conter fleurette,  Car tel que tu me vois j'aime un peu la grisette. "")","('#colombine', ""Quoi, c'est toi, mon cher Arlequin ?  Mais sans aller plus loin, apprends-moi, je te prie,  Depuis quand donc ici ?"")",1.35,Substitution
228,"('#leandre', 'Mon ami recevez cette Dame chez vous. ')",,1.0,Insertion
229,"('#pierrot', ""Scaramouche, morgué tu te gausses de nous,  Tu n'entretiens donc pas cette beauté friande,  Puisque c'est ce Monsieur qui me la recommande,  Serais-tu par hasard de profit avec lui. "")","('#arlequin', ""J'arrive en ce jardin,  Et ne puis t'exprimer l'envie  Que je sentais de te revoir.  Mais du moins, fais donc ton devoir, Et permets qu'ici je t'embrasse ;  On ne refuse pas cette petite grâce. Il veut l'embrasser."")",0.46,Substitution
230,"('#scaramouche', ""Oui nous nous relevons c'est son jour aujourd'hui,  Demain j'aurai le mien chacun a sa journée,  Nous nous accommodons. "")",,1.0,Insertion
231,"('#pierrot', ""L'affaire est bien menée. "")",,1.0,Insertion
232,"('#leandre', 'Entrez belle personne et comptez sur mon coeur. ')",,1.0,Insertion
233,"('#isabelle', 'Puissent les justes Dieux couronner votre ardeur  Je vous attends Léandre avec impatience. ')",,1.0,Insertion
234,"('#leandre', 'Scaramouche suis-moi. ')",,1.0,Insertion
235,"('#scaramouche', ""Partons en diligence.  Isabelle entre avec Pierrot dans l'Hôtellerie."")",,1.0,Insertion
236,"('#le-docteur', ""Géronte cette fois ne sera pas content,  Mais lui-même à ma place en aurait fait autant,  Seul avec Isabelle ayant surpris Léandre,  Je crois que c'est ainsi que je devais m'y prendre,  Jusques au fond du coeur ce trait m'avait percé,  Il fallait satisfaire à l'honneur offensé  Ce parti pour ma fille est d'un grand avantage,  Et je me sais bon gré qu'il lui tombe en partage,  D'Octave je saurai bientôt me dégager  Et Géronte sur lui peut se dédommager,  Je vais lui raconter toute cette aventure,  Et de mon procédé je crains peu qu'il murmure.  Il frappe chez Géronte."")","('#colombine', ""Fi donc, l'on nous regarde ; apaise tes transports.  Ta personne me semble encore bien vivante,  Pour venir d'un pays où l'on voit tant de morts."")",0.9,Substitution
237,"('#geronte', ""Ah c'est vous chez moi, quel plaisir de vous voir,  Souffrez que je m'acquitte ici de mon devoir,  En vous remerciant de la tapisserie... "")","('#arlequin', ""C'est que l'absence, ma Charmante, A le don de rendre un amant  Une fois plus vif et plus tendre ;  Et surtout au retour de Flandre,  On se sent près de vous tout je ne sais comment."")",0.88,Substitution
238,"('#le-docteur', 'Fi donc ne parlez point de cela, je vous prie,  Je viens vous révéler des secrets importants,  Vous serez étonné... ')","('#colombine', 'Laissons cela, parlons de ton maître.')",1.3,Substitution
239,"('#geronte', 'Parlez je vous entends. ')","('#arlequin', ""Aujourd'hui  Ta maîtresse pourra s'expliquer avec lui. Était-ce avec Calmar que dans la grande allée  Elle riait de si bon cour,  Lorsque je t'ai du doigt doucement appelée ?"")",1.27,Substitution
240,"('#le-docteur', ""De retour au logis j'ai trouvé votre gendre,  Caché derrière un lit. "")","('#colombine', ""Non, c'est un autre adorateur.  Mais qui t'a dit que ma maîtresse  Fut aussi celle de Calmar !"")",1.46,Substitution
241,"('#geronte', 'Vous parlez de Léandre ? ')",,1.0,Insertion
242,"('#le-docteur', ""Justement à ma fille il faisait les yeux doux,  Et voulait profiter je crois du rendez-vous,  Léandre lui parlait, jugez de ma surprise,  Je me suis récrié contre son entreprise,  Mais enfin il fallait effacer ce forfait,  En cette occasion, cher ami, qu'ai-je fait ?  J'ai contraint le galant à devenir mon gendre,  D'épouser Isabelle, il n'a pu se défendre  Si vous eussiez été de la sorte insulté  Je crois qu'en pareil cas vous m'eussiez imité. "")","('#arlequin', ""Cela n'est que trop vrai, traîtresse,  Que sans avoir à la tendresse  Non plus qu'à la personne égard,  Tout_à_coup ta maîtresse Élise, l'infidèle  Quitte Léandre pour Calmar.  Je n'aurais jamais pu croire cette nouvelle.  Ah ! Malheureux Léandre !"")",0.26,Substitution
243,"('#geronte', ""À quoi bon plaisanter, Docteur, c'est assez rire,  Léandre est-il ici ? "")",,1.0,Insertion
244,"('#le-docteur', ""Tenez vous pouvez lire,  Vous connaîtrez par là si j'ai tort ou raison,  C'est la lettre d'avis que vous écrit Damon. "")",,1.0,Insertion
245,"('#geronte', ""Je vous plains, mais enfin ce n'est pas là mon compte,  Léandre m'a promis... "")",,1.0,Insertion
246,"('#le-docteur', ""Point de courroux Géronte,  Il m'a déshonoré. "")",,1.0,Insertion
247,"('#geronte', 'Que veut dire ceci,  Mais ne puis-je le voir ? ')","('#colombine', 'Il est mal informé ;  Et quoi que de Calmar Élise soit aimée,  Ton maître en est-il moins aimé ?')",1.33,Substitution
248,"('#le-docteur', 'Fort bien car le voici. ')",,1.0,Insertion
249,"('#geronte', ""Vous m'avez fait, Monsieur, une sensible offense,  Vous me tiendrez parole, ou j'en aurai vengeance. "")","('#arlequin', ""Et quoi, sans doute, puisqu'à l'armée  L'on nous a su mander son infidélité.  Mais ce bruit est-ce donc mensonge ou vérité ?"")",0.92,Substitution
250,"('#arlequin', 'Que dit donc ce vieux fol ? Je ne le connais pas. ')","('#colombine', 'Comment ton maître a cru ce faux bruit véritable ?')",1.2,Substitution
251,"('#le-docteur', ""C'est Géronte. "")",,1.0,Insertion
252,"('#arlequin', ""Ma foi j'en fais fort peu de cas. "")",,1.0,Insertion
253,"('#geronte', 'Vous devez épouser ma fille Léonore. ')",,1.0,Insertion
254,"('#arlequin', ""Il lui faudrait donner quelques grains d'ellébore,  Il en a grand besoin. "")",,1.0,Insertion
255,"('#geronte', ""Vous vous loquez de moi  Mais on n'abuse pas en vain ma bonne foi,  Votre père Damon... "")",,1.0,Insertion
256,"('#arlequin', ""Ah ! Le plaisant jocrisse,  Je n'ai jamais connu que ma mère nourrice,  Je suis du côté gauche, autrement dit bâtard,  Dans ce monde, dit-on, j'arrivai par hasard. "")","('#arlequin', ""Oui, c'est sur les discours que l'on nous a tenu,  Que de Flandre à Paris en poste il est venu."")",1.54,Substitution
257,"('#geronte', ""Est-ce ainsi que s'explique un homme de naissance,  Un Gentilhomme... "")","('#colombine', ""Oui, mais raisonne. Est-il croyable ? Qu'un homme au cour tendre, aux yeux doux,  Se quitte pour un sot de fort mauvaise mine ?"")",0.97,Substitution
258,"('#arlequin', ""Moi, vous êtes en démence  Depuis quand, s'il vous plaît, Messieurs les crocheteurs,  Ont-ils été placés parmi les grands Seigneurs. "")",,1.0,Insertion
259,"('#le-docteur', 'Mon gendre entrez chez nous. ')",,1.0,Insertion
260,"('#geronte', ""Il n'est pas nécessaire,  Venez dans ma maison. "")",,1.0,Insertion
261,"('#arlequin', ""Y fait-on bonne chère,  J'irai... non je ne puis et j'en sais les raisons,  On fait chez le docteur d'excellents macarons,  Allons-y promptement. "")",,1.0,Insertion
262,"('#le-docteur', 'Entrez, Monsieur Léandre. ')",,1.0,Insertion
263,"('#geronte', ""Corbleu vous n'irez pas. "")",,1.0,Insertion
264,"('#arlequin', ""Je ne puis m'en défendre  C'est lui qui le premier m'a voulu régaler,  Oh parbleu je suis las de me voir tirailler,  Laissez-moi donc vous dis-je. "")","('#arlequin', ""Tu dis encor vrai, Colombine.  Mais aujourd'hui les femmes, entre nous,  Aiment, et trouvent bons de si mauvais ragoûts,  Qu'en amour aussi bien qu'à table  On ne dispute point des goûts ;  Et dans ce siècle abominable,  Où pour ce métal seul tout cour est enflammé, C'est peu pour être bien aimé,  Que d'être de figure aimable.  Ce n'était pas Calmar non plus que ses désirs  Qui nous donnaient martel en tête ;  Nous craignions que ton or en butte à vos désirs,  Ne lui donnât une conquête,  Que tout l'or du Pérou ne pourrait pas payer."")",0.67,Substitution
265,"('#geronte', ""Hé bien je vais sur l'heure  Vous faire préparer une bonne demeure.  Il sort."")","('#colombine', ""Allez, vous étiez fous de vous tant effrayer.  Le cour de ma maîtresse est de la vieille roche, Un hameçon doré n'est pas ce qui l'accroche ;  Et si Calmar enfin est bien reçu chez nous,  C'est que de ma maîtresse il est l'homme d'affaire.  Il fait de son mieux pour lui plaire :  Mais ma foi, quoiqu'il puisse faire,  Il ne fera point de jaloux.  Quoi que de ces Calmars l'on souffre la présence,  Et les fêtes et la dépense,  On n'a pour eux d'autres douceurs  Que celles d'écouter les leurs."")",0.96,Substitution
266,"('#le-docteur', 'Il enrage. ')",,1.0,Insertion
267,"('#arlequin', ""Cet homme a le cerveau gâté  Je veux aller chez vous j'y suis fort bien traité,  Préparez-moi, beau-père, une soupe au fromage,  Car selon mon avis, c'est le meilleur potage. "")",,1.0,Insertion
268,"('#le-docteur', ""On va vous en faire une et chez moi mes valets  Vous serviront toujours au gré de vos souhaits.  Géronte vient avec des Archers,  leur montre Arlequin, les Archers veulent s'en saisir,  Arlequin se défend contre eux avec son coutelas ;  mais étant obligé à la fin de céder à la force,  il se laisse conduire en prison,  le Docteur se retire tout affligé. "")","('#arlequin', ""Oui mais, ces dragons noirs de la galanterie, N'ont-ils point non plus, je te prie,  Dedragonné tant soit peu ta vertu ?"")",1.35,Substitution
269,"('#octave', 'Je te suis obligé, ma chère Colombine. ')","('#colombine', 'Comment donc ? Pour qui me prends-tu ?  Crois-tu que de tout bois Colombine fait flèche ?  Ah ! Fi de ces Calmars cela ne me sent rien.')",1.25,Substitution
270,,"('#arlequin', ""On dit pourtant qu'ils ont fait brèche  À de plus grands cours que le tien.  Et qu'en amour tous ces reptiles,  Assiégeaient en été les cours  Comme ordinairement nous assiégeons les villes. "")",1.0,Deletion
271,"('#mezzetin', ""Je suis, je l'avouerai content de sa cuisine,  Messieurs les marmitons ont bien fait leur devoir. "")","('#colombine', 'Ah, ah ! Les illustres vainqueurs !  Ils ne les prenaient pas de même. ')",1.66,Substitution
272,,"('#arlequin', ""Comment ? Employaient-ils quelqu'autre stratagème ? Ils ne les prenaient pas de même ? Et pourquoi non ?"")",1.0,Deletion
273,"('#colombine', ""Je me flatte Monsieur, que vous viendrez nous voir,  Mon vin est assez bon j'en ai quelque barrique,  N'accordez qu'à moi seule au moins votre pratique. "")","('#colombine', ""Hé, c'est qu'une ville mutine,  Ville à l'épreuve du canon,  Vous la prenez, vous autres par famine.  Au contraire, bien des Iris,  Tenant bon dans une ruelle  Aux soupirs de leurs favoris, Capitulent souvent au Moulin de Javelle."")",0.75,Substitution
274,"('#mezzetin', 'Je vous accorderai la mienne de bon coeur,  Pourvu que vous vouliez recevoir cet honneur  Ne me refusez point ma petite mignonne.')","('#arlequin', ""Je t'entends. C'est à dire, en peu d'expressions,  Qu'en amour comme en guerre, avec une farouche,  Les meilleures munitions  Sont les munitions de bouche.  Les Calmars, à ce compte, opulents, généreux, Et surtout beaucoup amoureux,  Doivent avancer leurs conquêtes."")",1.62,Substitution
275,"('#octave', ""J'ai vu dans ton logis une aimable personne,  Ne sais-tu point son nom ?"")",,1.0,Insertion
276,"('#colombine', ""À vous parler sans fard,  On peut bien la nommer Madame du hasard,  Elle ne sent pas bon je le juge à la mine,  Je m'y connais un peu. "")","('#colombine', ""Hé bien, le nôtre encore un coup, N'avance que fort peu, quoi qu'il aime beaucoup,  Il nous donne souvent des cadeaux et des fêtes,  Et ce soir même il s'est offert De nous donner aux Tuileries  Au clair de Lune un fort joli concert."")",1.47,Substitution
277,,"('#arlequin', 'Un Concert ?')",1.0,Deletion
278,"('#mezzetin', ""La peste qu'elle est fine  Bien fol ferait celui qui voudrait s'y fier  Elle a l'odorat bon pour flairer le gibier,  Que je lui donnerais volontiers son décompte. "")","('#colombine', 'Oui, voilà de ses galanteries.')",1.22,Substitution
279,"('#octave', 'De grâce, enseignez-moi la maison de Géronte. ')","('#arlequin', 'Mon maître viendra donc à temps pour y chanter.  Mais attends, il me vient certain dessein en tête,  Qui pourrait bien déconcerter  Le héros du concert, le maître de la fête.  Est-ce de voix ce concert ?')",1.25,Substitution
280,"('#colombine', 'La voici. ')","('#colombine', 'Oui.')",0.0,Match
281,"('#octave', ""C'est assez j'y vais dans le moment. "")",,1.0,Insertion
282,"('#colombine', 'Si je puis vous servir commandez librement. ')",,1.0,Insertion
283,"('#mezzetin', 'Adieu belle traîteuse, hôtesse de mon âme. ')",,1.0,Insertion
284,"('#colombine', 'Adieu le gros joufflu. ')",,1.0,Insertion
285,"('#mezzetin', 'Votre valet Madame.  Colombine rentre chez elle.')",,1.0,Insertion
286,"('#octave', 'Frappe à cette maison. ')",,1.0,Insertion
287,"('#mezzetin', ""Vous êtes dans l'erreur,  Que n'allez-vous plutôt chez M. le Docteur ? "")",,1.0,Insertion
288,"('#octave', 'Non je veux avant tout chez Géronte me rendre,  [Pour] le voir de la part du père de Léandre. ')","('#arlequin', ""Fort bien. Le valet de Calmar n'est pas incorruptible.  Avec un doigt de vin la chose est infaillible.  Je connais un musicien.  Pour rendre ta chose complète,  Il ne me manque plus rien  Qu'un faiseur de vers, un poète."")",1.68,Substitution
289,"('#mezzetin', ""J'obéis. "")",,1.0,Insertion
290,"('#geronte', 'Que veut-on ? ')","('#colombine', 'Quel est donc ton dessein ?')",0.81,Substitution
291,"('#mezzetin', 'Le patron du logis  Est-il ici, Monsieur ? ')",,1.0,Insertion
292,"('#geronte', ""Oui sans doute j'y suis. "")",,1.0,Insertion
293,"('#mezzetin', ""Excusez je n'ai pas l'honneur de vous connaître  Vous êtes en ce lieu demandé par mon maître. "")",,1.0,Insertion
294,"('#octave', ""Avant que de partir pour me rendre à Lyon,  Un de vos bons amis que l'on nomme Damon,  Dont le fils, m'a-t-il dit, doit être votre gendre,  En arrivant ici m'a chargé de vous rendre  Cette lettre. "")",,1.0,Insertion
295,"('#geronte', ""Parbleu vous me faites honneur,  Et je serais content si j'avais le bonheur  De vous faire plaisir, je parle avec franchise,  Mais Monsieur, s'il vous plaît, permettez que je lise.  Vous venez épouser la fille du Docteur,  Il m'a pour cet hymen témoigné tant d'ardeur,  Que vous avez grand tort de l'avoir fait attendre.  Il lit la lettre après quoi il dit."")",,1.0,Insertion
296,"('#octave', 'Je dois aussi remettre une lettre à Léandre  Je ne le connais point. ')","('#arlequin', ""Tantôt tu le sauras ;  De ce que le t'ai dit garde d'ouvrir la bouche.  Adieu, j'aperçois Scaramouche,  Qui peut être pourra me tirer d'embarras.  Va donc, cours vite à ta maîtresse  Et dis-lui que Léandre arrive sur mes pas."")",0.49,Substitution
297,"('#geronte', 'Entrez dans ma maison. ')",,1.0,Insertion
298,"('#octave', ""Je crains d'être incommode. "")",,1.0,Insertion
299,"('#geronte', 'Ah Monsieur sans façon. ')",,1.0,Insertion
300,"('#mezzetin', 'Ce vieillard est civil. ')",,1.0,Insertion
301,"('#geronte', 'Entrez donc, je vous prie,  Et vous aussi, mon cher.  À Mezzetin.')",,1.0,Insertion
302,"('#mezzetin', 'Ah ! ')","('#colombine', 'Mais.')",0.0,Match
303,"('#geronte', 'Sans cérémonie. ')","('#arlequin', 'Va, te dis-je.')",1.58,Substitution
304,"('#le-docteur', ""Je ne puis revenir de mon étonnement :  Ciel ! Est-il pour un père un plus affreux tourment ?  Ma fille a déserté la maison paternelle  Tu formes le dessein, malheureuse Isabelle,  D'abandonner ainsi ton père, ton époux,  Sans craindre les effets de mon fuste courroux,  Ah ! Dans le désespoir qui pénètre mon âme,  Si le sort à mes yeux présentait cette infâme  Elle ressentirait ma fatale fureur,  Et je la livrerais à toute ma rigueur. "")","('#colombine', 'Hé bien, à revoir ; je te laisse.')",1.49,Substitution
305,"('#geronte', ""Je reviendrai bientôt vous n'avez qu'à m'attendre.  Docteur ai-je bien reçu le beau Léandre,  Ma foi s'il ne se met bientôt à la raison,  Il risque de rester quelque temps en prison.  Mais qu'avez-vous ?  En voyant le Docteur."")","('#arlequin', ""Hé bien , mon cher ami Scaramouche ?  Ouais !  Il me regarde, et ne me voit ni ne m'entend.  Holà donc, réveille-toi, Scaramouche."")",0.99,Substitution
306,"('#le-docteur', ""Hélas je suis inconsolable,  Ma fille m'a quitté. "")",,1.0,Insertion
307,"('#geronte', 'Ce serait bien le diable. ')","('#scaramouche', 'Ah !  Serviteur à votre Seigneurie.')",1.56,Substitution
