,quinault-cadmus-hermione,quinault-persee,Cost,Operation Type
201,"('#premier-prince-tyrien', ""Cadmus veut essayer de rendre Mars propice, C'est ici qu'il prétend offrir un sacrifice."")","('#mercure', ""Je ne puis, dans votre malheur, Vous offrir qu'un sommeil paisible."")",1.81,Substitution
202,"('#deuxieme-prince-tyrien', 'Pour des soins différents il faut nous séparer.')","('#meduse', 'Avec une vive douleur Le repos est incompatible.')",1.19,Substitution
203,"('#les-deux-princes-tyriens', 'Allons nous préparer.')",,1.0,Insertion
204,"('#arbas', ""Acquittons-nous des soins où Cadmus nous engage. Quel bruit ! Non, ce n'est rien, courage amis, courage ! Qu'on a peine à donner du courage en tremblant Il ne tient pas à moi que je ne sois vaillant, Je tâche au moins de le paraître ; Je ne suis pas le seul qui se pique de l'être, Et qui n'en fait que le semblant. Il faut puiser de l'eau pour la cérémonie ; Avancez, je vous suis. Quel dragon furieux !"")","('#mercure', ""Ô tranquille sommeil, que vous êtes charmant ! Que vous faites sentir un doux enchantement Dans la plus triste solitude ! Votre divin pouvoir calme l'inquiétude Vous savez adoucir le plus cruel tourment. Ô tranquille sommeil, que vous êtes charmant ! Jouissez du repos dans ce lieux solitaire. Aux Gorgornes."")",0.86,Substitution
205,"('#les-deux-africains', ""Ô Dieux ! Ô Dieux ! Dans le temps que les deux Africains veulent puiser de l'eau, le Dragon s'élance sur eux, et les entraîne."")",,1.0,Insertion
206,"('#arbas', ""Ah ! C'est fait de ma vie. N'est-il point d'arbres, ou de rocher, Qui s'entrouve pour me cacher ?"")","('#meduse #euryale #stenone', ""Non, ce n'est que pour la colère Que nos coeurs malheureux sont faits : Non, le repos ne peut nous plaire ; Nous y renonçons pour jamais. Non, ce n'est que pour la colère, etc."")",1.22,Substitution
207,"('#cadmus', 'Où vas-tu ?')",,1.0,Insertion
208,"('#arbas', 'Le Dragon...')",,1.0,Insertion
209,"('#cadmus', 'Hé bien ?')",,1.0,Insertion
210,"('#arbas', 'Ah ! mon cher maître...')","('#mercure', 'Il faut céder, il faut vous rendre Au charme qui va vous surprendre.')",1.5,Substitution
211,"('#cadmus', 'Parle donc ?')",,1.0,Insertion
212,"('#arbas', 'Le Dragon...')","('#meduse #euryale #stenone', ""Il faut nous rendre malgré nous Au charme d'un sommeil trop doux. Les trois Gorgones s'endorment."")",1.77,Substitution
213,"('#cadmus', ""Où le vois-tu paraître Je regarde partout, et je n'aperçois rien."")",,1.0,Insertion
214,"('#arbas', 'Quoi le dragon nous suit ? Mais regardez bien ?')",,1.0,Insertion
215,"('#cadmus', ""Où sont les compagnons ? Qui t'oblige à te taire ? Tu parais interdit d'effroi ?"")","('#mercure', ""Persée, approchez-vous ; Méduse est endormie. Avancez sans bruit ; surprenez Une si terrible ennemie. Si vous osez la voir, c'est fait de votre vie."")",1.56,Substitution
216,"('#arbas', ""Seigneur, vous jugez mal de moi, Si je suis interdit, ce n'est que de colère. Mes pauvres compagnons ! Hélas ! Le dragon n'en a fait qu'un fort léger repas."")",,1.0,Insertion
217,"('#cadmus', 'Allons il faut que je les venge.')","('#cephee', ""Je suivrai les conseils que vous m'avez donnés."")",1.56,Substitution
218,"('#arbas', 'Quelle hâte avez-vous que le Dragon vous mange ? Laissez-le se cacher. Ah ! Le voilà qui sort ! Au secours ! Au secours ! Je suis mort ! Je suis mort ! Ô ciel ! Où sera mon asile ? La frayeur me rend immobile ; Je ne saurais plus faire un pas : Ah ! cachons-nous, ne soufflons pas. Arbas se cache et Cadmus combat contre le dragon.')","('#mercure', ""Je vous laisse au milieu d'un péril redoutable ; Je ne puis plus rien pour vos jours ; Cherchez votre dernier secours Dans un courage inébranlable."")",1.1,Substitution
219,"('#cadmus', ""Il ne faut plus que je diffère D'engager le Dieu Mars à calmer sa colère ; Si je puis l'adoucir, rien ne peut me troubler. Mes gens sont écartés, il faut les rassembler."")","('#cephee', ""Un prix qui me doit charmer M'est offert par la Victoire : Quel péril peut m'alarmer ? L'amour et la gloire S'unissent pour m'animer. Mercure se retire, Persée, tenant son bouclier devant ses yeux, approche de Méduse ; il lui coupe la tête, et la cacha dans une écharpe pour l'emporter avec lui."")",0.33,Substitution
220,,"('#cephee', ""Le monde est délivré d'un monstre si terrible ; Le ciel s'est servi de mon bras."")",1.0,Deletion
221,"('#arbas', ""Le Dragon assouvi de sang et de carnage, S'est enfin retiré dans quelque antre sauvage : Tout est calme en ces lieux, et je n'entends plus rien. Je sens revenir mon courage, Allons conter partout le trépas de mon maître Que je plains son funeste sort ! Allons, mais que vois-je paraître ! Le Dragon étendu ! Ne fait-il point le mort ? Non, je le vois percé, son sang coule, ah ! Le traître ! Je ne puis contre lui retenir mon courroux, Et je lui veux donner au moins les derniers coups. Arbas met l'épée à la main et va percer le Dragon, qui fait encore quelque mouvement qui oblige Arbas de retourner sur le devant du théâtre."")","('#euryale #stenone', ""Tu fais périr Méduse ! Ah ! Traître ! Tu mourras.. Qu'il meure d'un trépas horrible ! Mais qui peut le rendre invisible... ? Méduse après sa mort trouble encor l'univers ; C'est son sang qui produit tant de monstres divers, Monstres, cherchez votre victime ; Vengez le sang qui vous anime, Servez nos fureurs, armez-vous ; Vengeons Méduse ; vengeons-nous. Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir. Chrysaor, Pégase et plusieurs autres monstres de figure bizarre et terrible, se forment du sang de Méduse. Chrysaor et Pégase volent, quelques-uns des autres monstres s'élèvent aussi dans l'air, quelques autres rampent, les autres courent, et tous cherchent Persée, qui est caché à leurs yeux par la vertu du casque."")",0.33,Substitution
222,"('#premier-prince-tyrien', ""Quoi l'épée à la main ! Que faut-il entreprendre ?"")","('#mercure', ""Persée allez, volez où l'amour vous appelle... Gorgones, désormais vous serez sans pouvoir : Ce lieu n'est pas pour vous un séjour assez noir, Venez dans la nuit éternelle. Persée vole, et emporte la tête de Méduse. Les monstres qui s'efforcent de la suivre tombent avec Euryale et Sténone dans les enfers, où Mercure les contraint de descendre."")",1.69,Substitution
223,"('#deuxieme-prince-tyrien', 'De quel péril es-tu pressé ?')","('#euryale #stenone', 'Des gouffres profonds sont ouverts : Ah ! Nous tombons dans les enfers.')",1.46,Substitution
224,"('#les-deux-princes-tyriens', 'Nous aurons soin de te défendre.')",,1.0,Insertion
225,"('#arbas', 'Vous venez un peu tard, le péril est passé.')",,1.0,Insertion
226,"('#les-deux-princes-tyriens', ""Que voyons nous ! Qui l'eût pû croire ? Quoi le Dragon est abbattu !"")","('#troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')",1.46,Substitution
227,"('#arbas', 'Nous en avons sans vous remporter la victoire.')","('#phinee', ""Persée est de retour, chacun court l'honorer ; Et le bonheur public va me désespérer ! Non, non, il n'est plus temps qu'un vain espoir m'abuse."")",1.29,Substitution
228,"('#premier-prince-tyrien', 'As-tu suivi Cadmus ?')",,1.0,Insertion
229,"('#deuxieme-prince-tyrien', 'As-tu part à sa gloire ?')","('#seconde-troupe-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')",1.23,Substitution
230,"('#arbas', ""Eh, nous n'étions pas loin quand il a combattu."")",,1.0,Insertion
231,"('#les-deux-princes-tyriens', 'Conte-nous ce combat.')",,1.0,Insertion
232,"('#arbas', ""J'en suis si hors d'haleine. Que je ne puis encore m'exprimer qu'avec peine. Il est bon d'essuyer ce fer ensanglanté, De crainte qu'il ne soit gâté."")","('#merope', 'Allons en secret soupirer : Non, je ne puis plus me montrer,  Triste comme je suis, interdite et confuse.')",0.73,Substitution
233,,"('#troisieme-troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse. Les Éthiopiens sortent.')",1.0,Deletion
234,"('#les-deux-princes-tyriens', ""Ah ! Quels chagrins pour nous de manquer l'avantage De signaler notre courage !"")","('#phinee', ""Nous ressentons mêmes douleurs, Fuyons une foule importune : D'une plainte commune Déplorons nos communs malheurs."")",0.97,Substitution
235,"('#arbas', 'Tous ces chagrins, et ces regrets Sont des soins qui ne coûtent guère, Quand on ne voit plus rien à faire On fait le brave à peu de frais.')","('#merope', ""Que l'amour a pour moi de chagrins et d'alarmes. Que Persée à mon coeur coûte de déplaisirs ! Son départ, ses dangers m'ont fait verser des larmes, Et son heureux retour m'arrache des soupirs. Persée est revenu, mais c'est pour Andromède. Pour m'offrir à ses yeux l'ardeur qui me possède M'a fait empresser vainement : Il n'a rien vu que ce qu'il aime ; Il n'a pas daigné même S'apercevoir de mon empressement, Et tous les soins de mon amour extrême N'ont pas été payés d'un regard seulement."")",0.6,Substitution
236,"('#premier-prince-tyrien', 'On prend peu garde à toi ; Cadmus nous rend justice, Mais il vient, rangeons-nous pour voir le sacrifice.')","('#phinee', ""Que le ciel pour Persée est prodigue en miracles ! Qui n'eût pas cru qu'un monstre furieux M'aurait débarrassé d'un rival odieux. Cependant, malgré mille obstacles, Mon rival est victorieux. Il s'est fait des routes nouvelles : Il a volé pour hâter son retour ; Et Mercure et l'Amour Ont pris soin à l'envi de lui prêter des ailes. Le peuple croit lui tout devoir : On entend de son nom retentir ce rivage, Le roi s'est empressé d'honorer son courage, Chacun jusqu'en ces lieux l'est venu recevoir. Qu'Andromède a paru contente de la voir ! Quel triomphe pour lui ! quel charmant avantage ! Et pour moi quelle rage, Et quel horrible désespoir ! La mer s'irrite, les flots s'élèvent et s'étendent sur le rivage."")",1.06,Substitution
237,"('#le-grand-sacrificateur', 'Mars ! Ô toi qui peux Déchaîner quand tu veux Les fureurs de la guerre,')","('#phinee #merope', ""Les vents impétueux s'échappent de la chaîne Qui le forçait d'être en repos. Une tempête soudaine Soulève les flots... Mer vaste, mer profonde, Dont les flots sont émus par les vents en courroux, Les coeurs amoureux et jaloux Sont plus agites que votre onde ; Les coeurs amoureux et jaloux Sont cent fois plus troublés que vous."")",0.7,Substitution
238,"('#le-choeur-des-sacrificateurs', 'Ô mars ! Reçois nos voeux.')",,1.0,Insertion
239,"('#le-grand-sacrificateur', ""Ton funeste courroux n'est pas moins dangereux Que l'éclat fatal du tonnerre : Ô Mars ! Reçois nos voeux."")","('#idas #ethiopiens', 'Ô ciel inexorable ! Ô malheur déplorable !')",1.17,Substitution
240,,"('#phinee #merope', ""Qui pourrait traverses ces trop heureux amants ? D'où naissent vos gémissements ? Aux Éthiopiens."")",1.0,Deletion
241,"('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux.')",,1.0,Insertion
242,"('#le-grand-sacrificateur', 'Les combats sanglants sont tes jeux ; Tu sais, quand il te plaît, remplir toute la Terre De ravages affreux. Ô Mars ! Reçois nos voeux.')","('#idas', ""L'implacable Junon cause notre infortune ; Elle arme contre nous l'empire de Neptune ; Un monstre en doit sortir, qui viendra dévorer L'innocente Andromède ; Et Thétis et ses soeurs viennent de déclarer Qu'il n'est plus permis d'espérer De voir finir nos maux sans ce cruel remède. Les Tritons ont saisi la princesse à nos yeux ; Et le pouvoir des dieux Nous a rendus tous immobiles. C'est sur ces bords qu'au monstre on la doit exposer. Pour son secours Persée en vain veut tout oser ; Ses efforts seront inutiles : Il faut céder aux dieux ; il faut céder au sort Dont Andromède est poursuivie. Croyait-on voir fini une si belle vie Par une si terrible mort ? Les Éthiopiens se placent sur les rochers qui bordent le rivage."")",0.63,Substitution
243,,"('#idas #ethiopiens', 'Ô sort inexorable ! Ô malheur déplorable ! Princesse infortunée, hélas ! Vous méritiez un sort plus favorable ; Vous ne mériteriez pas  Un si cruel trépas... Ô sort inexorable ! Ô malheur Déplorable !')",1.0,Deletion
244,"('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux. Les sacrificateurs chantants demeurent prosternés, les sacrificateurs dansants font cependant une entrée au son des timbales et au bruit des Armes, après quoi les sacrificateurs chantants se relèvent et chantent.')","('#phinee', 'Les dieux ont soin de nous venger : Le plaisir que je sens avec peine se cache.')",1.44,Substitution
245,,"('#merope', 'Verrez-vous sans douleur Andromède en danger ?')",1.0,Deletion
246,"('#le-grand-sacrificateur', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#phinee', ""Est-ce à moi que la mort l'arrache ? C'est à Persée à s'affliger. L'amour meurt dans mon coeur, la rage lui succède ; J'aime mieux voir un monstre affreux Dévorer l'ingrate Andromède, Les appas, les douceurs d'une amour mutuelle, Sont de mon sort fatal les plus terribles coups ; Le fils de Jupiter eût été mon époux ; Ah ! Que ma vie eût été belle ! Dieux ! Qui me destinez une mort si cruelle, etc."")",1.42,Substitution
247,"('#le-choeur-des-sacrificateurs', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#triton', 'Tremblez, superbe reine... Tremblez, mortels audacieux : Que votre orgueil apprenne Combien votre grandeur est vaine, Tremblez, mortels audacieux : Redoutez le courroux des dieux.')",1.14,Substitution
248,"('#le-grand-sacrificateur', 'Ô Mars impitoyable : Est-il révocable Que ta haine implacable Accable Une âme inébralable Au milieu des hasards.')","('#cassiope', 'Ah ! Quelle vengeance inhumaine !')",0.85,Substitution
249,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#cephee', 'Andromède !')",1.69,Substitution
250,,"('#cassiope', 'Ma fille !')",1.0,Deletion
251,"('#le-grand-sacrificateur', 'Que les tumultes des alarmes, Que le bruit, que le choc, que le fracas des armes, Retentisse de toutes parts.')","('#andromede', 'Ô cieux !')",1.35,Substitution
252,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#cassiope', ""Que les dieux sont cruels ! Qu'ils sont ingénieux À faire ressentir leur haine !"")",1.37,Substitution
253,"('#le-grand-sacrificateur', ""Qu'on fasse approcher la victime : Puisse-t-elle calmer le courroux qui t'anime, Et n'attirer sur nous que tes doux regards."")","('#cephee', 'Andromède !')",1.38,Substitution
254,,"('#cassiope', 'Ma fille !')",1.0,Deletion
255,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#andromede', 'Ô cieux ! Le monstre paraît.')",1.26,Substitution
256,"('#mars', ""C'est vainement que l'on espère Que d'inutiles voeux apaisent ma colère ; Je ne révoque point mes lois. Si Cadmus veut me satisfaire Qu'il achève, s'il peut, de mériter mon choix ! Un vain respect ne peut me plaire, On ne satisfait Mars que par de grands exploits. Vous, que l'enfer a nourries Venez, cruelles Furies, Venez, brisez l'autel en cent morceaux épars !"")","('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')",0.86,Substitution
257,"('#le-choeur', ""Ô Mars ! ô Mars ! ô Mars ! Quatre Furies descendent qui brisent l'Autel, et s'envolent ensuite, tenant chacune un tison du sacrifice à la main. Le char de Mars tourne dans un même temps, et l'emporte au fonds du théâtre, où l'on le perd de vue, et tous les sacrificateurs et les assistants se retirent, criant, ô Mars !"")",,1.0,Insertion
258,"('#cadmus', ""Voici le Champ de Mars, il faut que sans remise J'achève ici mon entreprise ; J'ai les dents du dragon, et je vais les semer."")",,1.0,Insertion
259,"('#arbas', ""Ce sont des ennemis que vous verrez former : Tant de soldats armés vont naître, Que vous serez d'abord accablé de leurs coups ; Et vous ne songez pas, peut-être, Que vous n'avez ici que moi seul avec vous."")","('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')",0.95,Substitution
260,"('#cadmus', ""Je ne veux exposer personne Au péril où je m'abandonne ; Je dois combattre seul, et ne retiens que toi : Tu connais mon amour, je suis sûr de ta foi, Je veux bien que tu sois le dernier qui me quitte."")","('#andromede', 'Je ne vois point Persée, et je flattais ma peine Du triste espoir de mourir à ses yeux.')",0.67,Substitution
261,"('#arbas', ""Seigneur, vous m'honnorez plus que je ne mérite :"")","('#cephee #cassiope #ethiopiens', 'Voyez voler ce héros glorieux.')",1.21,Substitution
262,"('#cadmus', ""Si je ne fais qu'un vain effort, Accompli ce que je t'ordonne : Sitôt que tu sauras ma mort, Hâtes-toi de voir Hermione : Va, porte-lui mes derniers voeux. Qu'elle vive, il suffit de plaindre un malheureux : Qu'elle ait soin de garder le souvenir fidèle D'une flamme si belle ; C'est l'unique prix que je veux De ce que j'aurai fait pour elle. Je ne prétends plus t'arrêter. Laisse-moi."")","('#cassiope #cephee', ""Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté ! Je perds ma fille, hélas ! Le ciel propice Me la donna pour ma félicité, Aujourd'hui le Ciel irrité Veut qu'un monstre me la ravisse. Ciel ! Que j'ai toujours respecté Ne m'avez-vous longtemps conservé la clarté Que pour me faire voir cet affreux sacrifice ? Ah ! Quel effroyable supplice ! Dieux, ô dieux ! Quelle cruauté ! C'est ma funeste vanité, C'est mon crime, grands dieux ! Qu'il faut que l'on punisse. Ma fille n'est pas complice, Et vos foudres vengeurs contre elle ont éclaté ! Dieux ! Pouvez-vous vouloir qu'Andromède périsse ? Sa jeunesse ni sa beauté N'ont-elles rien qui vous fléchisse ? La vertu, l'innocence a-t-elle mérité Les rigueurs de votre justice ?"")",0.21,Substitution
263,"('#arbas', 'Faut-il vous quitter ?')",,1.0,Insertion
264,"('#cadmus', 'Je le veux : obéis.')",,1.0,Insertion
265,"('#arbas', 'Ah ! Quelle violence, Seigneur exigez-vous de mon obéissance.')","('#cephee', 'Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté !')",0.51,Substitution
266,"('#l-amour', ""Cadmus reçoit le don que je viens t'apporter ! C'est l'ouvrage du Dieu qui forge le tonnerre ; Ne manque pas de le jeter ; Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. Achève le dessein où mon ardeur t'engage."")","('#cassiope #cephee', ""Que j'expire en mourant un si funeste crime."")",1.55,Substitution
267,"('#cadmus', 'Je te vais obéir dans tarder davantage.')",,1.0,Insertion
268,"('#l-amour #cadmus', ""Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. L'Amour s'envole, et Cadmus sème les dents du Dragon, dont la terre produit des soldats armés qui se préparent d'abord à tourner leurs armes contre Cadmus, mais il jette au milieu d'eux une manière de grenade, que l'Amour lui a apporté, qui se brise en plusieurs éclats, et qui inspire aux combattants une fureur qui les oblige à combattre les uns contre les autres, et à s'entregorger eux-mêmes. Huit soldats armés nés de la Terre. Les cinq derniers qui demeurent vivants, viennent apporter leurs armes aux pieds de Cadmus. "")",,1.0,Insertion
269,"('#echion', 'Arrêtons un transport funeste ; Pourquoi nous immoler en naissant dans ces lieux ? Réservons le sang qui nous reste, Pour servir un héros favorisé des Dieux.')","('#cassiope', ""Que par pitié j'obtienne une mort légitime. Cruels ! n'attachez pas ma fille à ce rocher, C'est moi qu'il y faut attacher !"")",0.92,Substitution
270,"('#cadmus', ""Allez : que dans ces murs chacun de vous s'empresse De rendre hommage à la princesse Qui doit donner ici des ordres absolus ; Vos premiers respects lui sont dûs, Je vous suivrai de près, c'est ma plus douce envie. Cherchons nos tiriens, ils tremblent pour ma vie.  Allons les rassurer, voyons de toutes parts. Les combattants obéissent à Cadmus qui demeure pour chercher et pour rassembler les tyriens. "")","('#choeur', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')",0.81,Substitution
271,"('#le-geant', ""Non, ce n'est point assez d'avoir satisfait Mars : Tu vois un ennemi qu'il faut encore abbattre, Au lieu de triompher recommence à combattre."")","('#cassiope #cephee', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')",1.57,Substitution
272,"('#cadmus', 'Combattons.')",,1.0,Insertion
273,"('#le-geant', ""J'ai pitié du péril que tu cours : Il m'est honteux de vaincre avec tant d'avantage, Va, fuir, et cède moi l'objet de nos amours. Tu n'auras plus de Dieux qui défendent tes jours."")","('#choeur', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")",0.67,Substitution
274,,"('#cassiope #cephee', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")",1.0,Deletion
275,"('#cadmus', ""Les dieux m'ont donné du courgae, Et c'est un assez grand secours."")",,1.0,Insertion
276,"('#le-geant', ""Voyons s'il n'est rien qui t'étonne."")",,1.0,Insertion
277,"('#le-geant', ""Qu'on vienne à moi, qu'on l'environne ! Qu'on le perce de tous côtés !"")","('#andromede', ""Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi flattiez-vous  De l'espoir d'un destin si doux ? Vous dont je tiens la vie Et vous peuple fidèle, Jouissez parmi vous d'une paix éternelle, Je vais fléchir les dieux irrités contre vous. Et si ma mère est criminelle, C'est moi qui dois calmer le céleste courroux ! Par le sang que j'ai reçu d'elle, Heureuse de périr pour le salut de tous. Un souvenir charmant qu'en mourant je rappelle. Les appas, les douceurs d'une amour maternelle Sont de mon triste sort les plus terribles coups. Le fils de Jupiter eut été mon époux ! Ah ! Que ma vie eut été belle ! Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi me flattiez-vous De l'espoir d'un destin si doux ? Tremblez ! Superbe Reine. Tremblez ! Mortels audacieux ! Que votre orgueil apprenne Combien votre grandeur est vaine : Tremblez mortels audacieux ! Redoutez le courroux de Dieux"")",1.02,Substitution
278,"('#pallas', 'Cadmus fermez les yeux. Perfides arrêtez. Pallas découvre son bouclier et le présente aux yeux des quatre géants, qui demeurent immobiles et deviennent dans un instant quatre statues de pierre.')","('#choeur-des-tritons', 'Tremblez mortels audacieux ! Redoutez le courroux de Dieux')",0.97,Substitution
279,"('#pallas', 'Vois, Cadmus, vois quel supplice A puni leur injustice.')","('#cassiope', 'Ah ! Quelle vengeance inhumaine !')",0.76,Substitution
280,"('#cadmus', 'Que vois-je ! Les géants armés Ne sont plus des corps animés.')",,1.0,Insertion
281,"('#pallas', ""Je t'ai promis mon assistance, Je vais te préparer un superbe Palais : Je veux joindre aux douceurs d'un hymen plein d'attraits, L'éclat, et la magnificence. Goûte en paix un sort glorieux. Va, n'écoute plus rien que l'amour qui t'anime ; Hermione vient dans ces lieux."")","('#cephee', 'Andromède !')",1.07,Substitution
282,"('#cadmus', ""Par quel remerciement faut-il que je m'exprime ?"")",,1.0,Insertion
283,"('#pallas', ""Protéger la vertu d'un prince magnanime, C'est le plus doux emploi des Dieux."")",,1.0,Insertion
284,"('#cadmus', 'Ma princesse !')","('#cassiope', 'Ma fille !')",0.51,Substitution
285,,"('#andromede', 'Ô cieux !')",1.0,Deletion
286,,"('#cassiope', ""Que les dieux sont cruels ! qu'ils sont ingénieux À faire ressentir leur haine !"")",1.0,Deletion
287,"('#hermione', 'Cadmus !')","('#cephee', 'Andromède !')",0.0,Match
288,"('#cadmus', 'Quel bonheur !')","('#cassiope', 'Ma fille !')",1.5,Substitution
289,"('#hermione', 'Quelle gloire !')","('#andromede', 'Ô cieux ! Le monstre paraît.')",0.8,Substitution
290,,"('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')",1.0,Deletion
291,"('#cadmus', 'Je vous vois libre enfin !')","('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')",1.07,Substitution
292,,"('#andromede', ""A s'exposer pour moi c'est en vain qu'il s'obstine. Persée vole, et combat le monstre."")",1.0,Deletion
293,"('#hermione', 'Je vous revois vainqueur ?')","('#nereides #tritons', 'Téméraire Persée, arrêtez ; respectez La vengeance divine.')",1.49,Substitution
294,"('#hermione', 'Quelle favorable victoire !')",,1.0,Insertion
295,"('#hermione', ""Qu'elle a coûté cher à mon coeur !"")",,1.0,Insertion
296,"('#cadmus', ""Que c'est un charmant avantage Que de pouvoir sauver d'un cruel esclavage La beauté dont on est charmé !"")",,1.0,Insertion
297,"('#hermione', ""Que c'est un sort digne d'envie Que de pouvoir tenir le bonheur de sa vie, De la main d'un vainqueur aimé !"")","('#cephee #cassiope #ethiopiens', ""Magnanime héros, combattez, remportez Le prix que l'amour vous destine."")",0.64,Substitution
298,,"('#nereides #tritons', 'Le fils de Jupiter brave notre courroux.')",1.0,Deletion
299,,"('#tous-ensemble', 'Le monstre expire sous ses coups.')",1.0,Deletion
300,"('#hermione #cadmus', 'Après des rigueurs inhumaines, Le ciel favorise nos voeux ; Ah ! Que le souvenir des peines Est doux quand on devient heureux.')","('#nereide #triton', ""Junon a vainement cherché notre assistance ; Nous nous vantions en vain d'achever sa vengeance. Et Persée a pour lui des dieux plus forts que nous,"")",1.16,Substitution
301,"('#cadmus', ""Dieux ! Je ne vois plus Hermione ! Quel nuage épais l'environne ! Un nuage s'élève de la Terre qui enveloppe Hermione."")","('#nereides #tritons', ""Descendons sous les ondes : Notre honte se doit cacher ; Allons chercher Des retraites profondes, Descendons sous les ondes. La mer s'apaise ; les flots s'abaissent et se retirent. Les Néréides et les Tritons disparaissent."")",1.28,Substitution
302,"('#junon', ""Tu vois l'effet de mon courroux, Il faut combattre encore Junon et sa puissance. Le soin que prend pour toi mon infidèle époux Attire sur tes feux l'éclat de ma vengeance. Iris, détruis l'espoir de cet audacieux ! Enlève sur ton arc Hermione à ses yeux. Exécute à l'instant ce que Junon t'ordonne."")","('#ethiopiens', 'Le monstre est mort ; Persée en est vainqueur ;  Persée est invincible.')",0.89,Substitution
303,,"('#cephee #cassiope', ""Quand l'amour anime un grand coeur, Il ne trouve rien d'impossible."")",1.0,Deletion
304,"('#hermione', 'Ô Ciel !')","('#cephee #andromede', 'Ah ! Que votre danger me paraissait terrible !')",1.48,Substitution
305,"('#tous-ensemble', 'Ô Ciel, ô ciel ! Hermione, Hermione.')","('#ethiopens', 'Le monstre est mort, etc. Les Éthiopiens descendent des rochers, et témoignent leur joie en chantant et en dansant. Des matelots et des matelottes se mêlent dans la réjouissance publique. Un des éthiopiens chante au milieu des matelots qui dansent.')",1.97,Substitution
306,"('#cadmus', ""Belle Hermione, hélas, puis-je être heureux sans vous ? Que sert dans ce palais la pompe qu'on prépare ? Tout espoir est perdu pour nous ? Le bonheur d'un amour si fidèle, et si rare, Jusques entre les Dieux a trouvé des jaloux. Belle Hermione, hélas, puis-je être heureux sans vous ? Nous nous étions flattés que notre sort barbare Avait épuisé son courroux : Quelle rigueur quand on sépare Deux coeurs prêts d'être unis par des Liens si doux ? Belle Hermione, hélas, puis-je être heureux sans vous."")","('#un-des-ethiopiens', ""Notre espoir allait faire naufrage ; Nous goûtons enfin un heureux sort. Quel bonheur d'échapper à l'orage ! Quel plaisir d'en retracer l'image, Quand on est au port !"")",0.35,Substitution
307,"('#pallas', ""Tes voeux vont être satisfaits ; Jupiter et Junon ont fini leur querelle, L'Amour lui-même a fait leur paix ; Ton Hermione enfin descend dans ce palais, Des Dieux s'avancent avec elle ; Le Ciel veut que ce jour soit célébré à jamais."")","('#cephee', ""Honorons à jamais le glorieux héros Qui nous donne un heureux repos. Sa valeur, à son gré, fait voler la victoire : Tour-à-tour la terre et les flots Sont le théâtre de sa gloire. Honorons à jamais, etc. Andromède, Cassiope et les Éthiopiens, répètent les vers que Céphée a chantés et les Matelots et les Matelottes dansent en réjouissance de la délivrance d'Andromède."")",0.13,Substitution
308,"('#jupiter', ""Que ce qui suit les lois du Maître du tonnerre, Que les Cieux, et la Terre, S'accordent pour combler vos voeux. Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux."")","('#un-des-ethiopiens', ""Que n'aimez-vous ? Coeurs insensibles ! Que n'aimez-vous ? Rien n'est si doux ! Non, ne vous vantez pas d'être invincibles ; Les dieux, les plus grands dieux, ont aimé tous."")",0.6,Substitution
