,moliere-impromptu-versailles,sand-roi-attend,Cost,Operation Type
235,"('#brecourt', ""Sur la réponse !  Ma foi je le trouverais un grand fou, s'il se mettait en peine de répondre à leurs invectives, tout le monde sait assez de quel motif elles peuvent partir ; et la meilleure réponse qu'il leur puisse faire, c'est une comédie qui réussisse comme toutes ses autres.  Voilà le vrai moyen de se venger d'eux comme il faut, et de l'humeur dont je les connais ; je suis fort assuré qu'une pièce nouvelle qui leur enlèvera le monde les fâchera bien plus, que toutes les satires qu'on pourrait faire de leurs personnes. "")","('#euripide', ""Les lois écrites donnent aux faibles et aux puissants des droits égaux.  Le dernier des citoyens ose répondre avec fierté au riche arrogant qui l'insulte, et le plus petit, s'il a le droit pour lui, l'emporte sur le plus grand. L'égalité unit étroitement les amis aux amis, les villes aux villes, les nations aux nations.  Il y a entre le plus et le moins une éternelle guerre ; mais les mortels ne possèdent pas en propre les richesses : elles appartiennent aux dieux, et nous en sommes les dépositaires.  Quand ils le veulent, ils les reprennent. J'ai vu l'indigence dans l'âme du riche, comme l'âme généreuse dans le sein du pauvre. Le sein d'un mortel renferme souvent les décrets de l'avenir, et la Muse chante les promesses de Jupiter Libérateur.  Ô terre, tu suis la route de la justice : ne souffre point qu'on te ravisse la gloire d'obéir aux dieux.  Minerve fait goûter au pauvre ainsi qu'à l'homme opulent la liqueur délicieuse de l'espérance."")",0.54,Substitution
236,"('#moliere', 'Mais, Chevalier... ')",,1.0,Insertion
237,"('#mademoiselle-bejart', ""Souffrez que j'interrompe pour un peu la répétition, voulez-vous que je vous dise, si j'avais été en votre place, j'aurais poussé les choses autrement.  Tout le monde attend de vous une réponse vigoureuse, et après la manière dont on m'a dit que vous étiez traité dans cette comédie, vous étiez en droit de tout dire contre les comédiens, et vous deviez n'en épargner aucun. "")","('#la-muse', ""Shakespeare, grand tragique et grand philosophe de la renaissance des lettres, parle aussi au poète qui rêve.  Voltaire, précurseur d'une grande révolution ; Beaumarchais, puissant levier d'une lutte mémorable, dites-lui par qui et comment son oeuvre sera continuée."")",1.03,Substitution
238,"('#moliere', ""J'enrage de vous ouïr parler de la sorte, et voilà votre manie, à vous autres femmes.  Vous voudriez que je prisse feu d'abord contre eux, et qu'à leur exemple j'allasse éclater promptement en invectives et en injures.  Le bel honneur que j'en pourrais tirer, et le grand dépit que je leur ferais.  Ne se sont-ils pas préparés de bonne volonté à ces sortes de choses ; et lorsqu'ils ont délibéré s'ils joueraient le Portrait du Peintre, sur la crainte d'une riposte, quelques-uns d'entre eux n'ont-ils pas répondu qu'il nous rende toutes les injures qu'il voudra, pourvu que nous gagnions de l'argent ?  N'est-ce pas là, la marque d'une âme fort sensible à la honte, et ne me vengerais-je pas bien d'eux en leur donnant ce qu'ils veulent bien recevoir ? "")","('#shakespeare', ""Ces temps nouveaux sont remplis d'étranges événements.  Toute la masse de la terre a chancelé comme une machine mal assurée, et des tempêtes se sont élevées, où les vents en fureur ont fendu le tronc des vieux chênes.  L'esclave a levé sa main gauche en l'air, elle a flambé comme vingt torches réunies, et sa main, insensible à la flamme, est restée sans brûlure.  Cassius affranchira Cassius d'esclavage.  C'est là, grands dieux !  que vous placez pour le faible une force invincible !  C'est par là que vous déjouez les tyrans.  Ni la tour de pierre, ni les murailles de bronze travaillé, ni le cachot privé d'air, ni les liens de fer massif ne peuvent enchaîner la force de l'âme... Oracles de l'antiquité, j'ai prophétisé aussi ; c'est la mission des poètes, c'est l'héritage que les morts laissent aux vivants...  Quant à moi, je n'étais point de ceux qui supportent l'injustice avec un visage serein, et, si parfois j'ai ri comme Molière, comme Molière j'avais l'âme et le visage sérieux. À Sophocle, Eschyle et Euripide."")",0.53,Substitution
239,"('#mademoiselle-de-brie', ""Ils se sont fort plaints, toutefois, de trois ou quatre mots que vous avez dits d'eux dans la Critique et dans vos Précieuses. "")",,1.0,Insertion
240,"('#moliere', ""Il est vrai, ces trois ou quatre mots sont fort offensants, et ils ont grande raison de les citer.  Allez, allez, ce n'est pas cela.  Le plus grand mal que je leur aie fait, c'est que j'ai eu le bonheur de plaire un peu plus qu'ils n'auraient voulu, et tout leur procédé depuis que nous sommes venus à Paris a trop marqué ce qui les touche ; mais laissons-les faire tant qu'ils voudront ; toutes leurs entreprises ne doivent point m'inquiéter.  Ils critiquent mes pièces, tant mieux, et Dieu me garde d'en faire jamais qui leur plaise, ce serait une mauvaise affaire pour moi. "")","('#voltaire', ""J'ai été vif en mon temps à l'endroit des vivants et des morts.  Mais les morts sont calmes et fort peu jaloux les uns des autres.  J'ai assez fait pour m'endormir tranquille après une longue bataille ; j'ai réduit le passé en poussière ; j'ai écrasé l'infâme intolérance ; j'ai fait une grande révolution.  Rousseau en a fait une seconde.  Nous avons tous deux édifié l'avenir, et la France nous garde deux couronnes qui se touchent sans se flétrir mutuellement dans la main de la Liberté."")",0.39,Substitution
241,"('#mademoiselle-de-brie', ""Il n'y a pas grand plaisir pourtant à voir déchirer ses ouvrages. "")",,1.0,Insertion
242,"('#moliere', ""Et qu'est-ce que cela me fait, n'ai-je pas obtenu de ma comédie tout ce que j'en voulais obtenir, puisqu'elle a eu le bonheur d'agréer aux augustes personnes, à qui particulièrement je m'efforce de plaire ?  N'ai-je pas lieu d'être satisfait de sa destinée, et toutes leurs censures ne viennent-elles pas trop tard ?  Est-ce moi, je vous prie, que cela regarde maintenant ; et lorsqu'on attaque une pièce qui a eu du succès, n'est-ce pas attaquer plutôt le jugement de ceux qui l'ont approuvée, que l'art de celui qui l'a faite ? "")","('#beaumarchais', ""Grand Molière, j'admire la sérénité de ton sommeil et l'égalité de ton âme !  La mienne fut un alambic et ma vie un orage.  Tu m'as légué Sganarelle et Scapin, dont j'ai fait Figaro ; et Figaro a remué la cour et la ville, les rois et le peuple.  Il a hâté la chute de ceux qui n'avaient eu que la peine de naître ; il a réhabilité l'intelligence ; il a flétri avec âcreté les entraves que la sottise et l'immoralité des favoris de la fortune voulaient river au cou des favoris de la nature.  J'ai démasqué le juge prévaricateur, j'ai raillé jusqu'au sang l'esprit de censure.  J'ai dit, je dis encore que les sottises imprimées n'ont d'importance que dans les lieux où on en gêne le cours, et que, sans la liberté de blâmer, il n'est point d'éloge flatteur.  J'ai dit qu'il n'y a que les petits hommes qui redoutent les petits écrits.  Tout ce que j'ai dit a percé comme le poinçon, sinon gravé comme le burin.  Fils d'artisan comme toi, Molière, j'ai vengé l'artisan du mépris des grands.  À présent, ma tâche est finie.  La nature m'avait fait vindicatif ; la Providence m'a fait vengeur."")",0.45,Substitution
243,"('#mademoiselle-de-brie', ""Ma foi, j'aurais joué ce petit Monsieur l'auteur, qui se mêle d'écrire contre des gens qui ne songent pas à lui. "")","('#la-muse', ""Il est passé, le temps de la vengeance !  La raison humaine a triomphé, l'obstacle est détruit, le chemin est libre ; levez-vous, poètes de l'avenir !  Qu'elle est belle, la poésie qui se prépare !  qu'il est grand, l'art qui va naître au souffle de la liberté !  vous qui viendrez cueillir des fleurs sur cette terre féconde, n'oubliez pas qu'elle fut longtemps arrosée de sang, de sueurs et de larmes.  Songez que vos pères l'ont trouvée inculte et qu'ils y ont semé la vie.  Rappelez-vous qu'ils n'ont dû l'éclat du talent qu'à la grandeur de la pensée, et que le génie est stérile quand le coeur est froid.  Réchauffez-vous à cet éternel foyer dont les vrais poètes ont fait jaillir l'étincelle.  Promenez-en la flamme sur le monde, et que le rayonnement de la France libre s'étende du couchant à l'aurore ! Éveille-toi, Molière, et vous, ombres immortelles, remontez vers les cieux, ce sanctuaire où l'âme humaine se retrempe, et d'où les bienfaits du génie des morts retombent sans cesse sur les vivants comme une pluie fécondante. Le nuage redescend, se perd pendant un choeur de musique, et la vision disparaît."")",1.19,Substitution
244,"('#moliere', ""Vous êtes folle.  Le beau sujet à divertir la Cour que Monsieur Boursau[l]t !  Je voudrais bien savoir de quelle façon on pourrait l'ajuster pour le rendre plaisant, et si quand on le bernerait sur un théâtre, il serait assez heureux pour faire rire le monde, ce lui serait trop d'honneur, que d'être joué devant une auguste assemblée, il ne demanderait pas mieux ; et il m'attaque de gaieté de coeur, pour se faire connaître, de quelque façon que ce soit.  C'est un homme qui n'a rien à perdre, et les comédiens ne me l'ont déchaîné, que pour m'engager à une sotte guerre, et me détourner par cet artifice, des autres ouvrages que j'ai à faire ; et cependant vous êtes assez simples pour donner toutes dans ce panneau, mais enfin j'en ferai ma déclaration publiquement.  Je ne prétends faire aucune réponse à toutes leurs critiques et leurs contre-critiques.  Qu'ils disent tous les maux du monde de mes pièces, j'en suis d'accord.  Qu'ils s'en saisissent après nous, qu'ils les retournent comme un habit pour les mettre sur leur théâtre, et tâchent à profiter de quelque agrément qu'on y trouve, et d'un peu de bonheur que j'ai, j'y consens, ils en ont besoin ; et je serai bien aise de contribuer à les faire subsister, pourvu qu'ils se contentent de ce que je puis leur accorder avec bienséance.  La courtoisie doit avoir des bornes, et il y a des choses qui ne font rire ni les spectateurs, ni celui dont on parle.  Je leur abandonne de bon coeur mes ouvrages, ma figure, mes gestes, mes paroles, mon ton de voix, et ma façon de réciter, pour en faire, et dire tout ce qu'il leur plaira, s'ils en peuvent tirer quelque avantage.  Je ne m'oppose point à toutes ces choses, et je serai ravi que cela puisse réjouir le monde ; mais en leur abandonnant tout cela, ils me doivent faire la grâce de me laisser le reste, et de ne point toucher à des matières de la nature de celles, sur lesquelles on m'a dit qu'ils m'attaquaient dans leurs comédies, c'est de quoi je prierai civilement cet honnête Monsieur qui se mêle d'écrire pour eux ; et voilà toute la réponse qu'ils auront de moi. "")","('#laforet', ""Hé !  pour l'amour de Dieu, Monsieur mon maître, qu'est-ce que vous faites ici, quand tout le monde vous demande et que le Roi crie après vous ?"")",0.82,Substitution
245,"('#mademoiselle-bejart', 'Mais enfin... ')",,1.0,Insertion
246,"('#moliere', ""Mais enfin, vous me feriez devenir fou.  Ne parlons point de cela davantage, nous nous amusons à faire des discours, au lieu de répéter notre comédie, où en étions-nous ?  Je ne m'en souviens plus. "")","('#moliere', ""Tu dis que le roi crie après moi ?  Est-ce qu'il y a encore des rois ?...  Je m'éveille d'un vrai chaos où il m'a semblé que tout avait changé de nom, de mode et de langage sur la terre...  Cela faisait un ensemble assez noble et une fort honnête compagnie...  Est-ce que tu serais aussi en léthargie, ma pauvre Laforêt ?"")",0.81,Substitution
247,"('#mademoiselle-de-brie', ""Vous en étiez à l'endroit... "")",,1.0,Insertion
248,"('#moliere', ""Mon_Dieu, j'entends du bruit, c'est le Roi qui arrive assurément, et je vois bien que nous n'aurons pas le temps de passer outre, voilà ce que c'est de s'amuser.  Oh bien faites donc pour le reste du mieux qu'il vous sera possible. "")","('#laforet', ""Léthargie tant que vous voudrez, monsieur, mais le Roi est dans la salle, le roi remplit la salle tout entière, du bas jusqu'en haut."")",0.57,Substitution
249,"('#mademoiselle-bejart', 'Par ma foi, la frayeur me prend, et je ne saurais aller jouer mon rôle, si je ne le répète tout entier. ')","('#moliere', ""Ah !  Ma foi, je suis fou, ou c'est toi qui perds le jugement, ma servante.  Qui est-ce qui me jugera, maintenant, si Laforêt déraisonne ?"")",0.94,Substitution
250,"('#moliere', 'Comment, vous ne sauriez aller jouer votre rôle ? ')",,1.0,Insertion
251,"('#mademoiselle-bejart', 'Non. ')",,1.0,Insertion
252,"('#mademoiselle-du-parc', 'Ni moi le mien. ')",,1.0,Insertion
253,"('#mademoiselle-de-brie', 'Ni moi non plus. ')",,1.0,Insertion
254,"('#mademoiselle-moliere', 'Ni moi. ')",,1.0,Insertion
255,"('#mademoiselle-herve', 'Ni moi. ')",,1.0,Insertion
256,"('#mademoiselle-du-croisy', 'Ni moi. ')",,1.0,Insertion
257,"('#moliere', 'Que pensez-vous donc faire, vous moquez-vous toutes de moi ? ')",,1.0,Insertion
258,"('#bejart', ""Messieurs, je viens vous avertir que le Roi est venu, et qu'il attend que vous commenciez. "")",,1.0,Insertion
259,"('#moliere', ""Ah !  Monsieur, vous me voyez dans la plus grande peine du monde, je suis désespéré à l'heure que je vous parle, voici des femmes qui s'effrayent, et qui disent qu'il leur faut répéter leurs rôles avant que d'aller commencer, nous demandons de grâce, encore un moment, le Roi a de la bonté, et il sait bien que la chose a été précipitée.  Eh, de grâce, tâchez de vous remettre, prenez courage, je vous prie."")","('#laforet', 'Mais, Monsieur, tournez-vous un peu, et regardez plutôt.  Vous verrez si je vous mens.  Regardez donc le roi qui vous attend depuis une heure, et tâchez à vous excuser en lui tournant quelque beau compliment de votre façon.')",0.08,Substitution
260,,"('#moliere', 'Le roi ?  Je ne vois point le roi ; où se peut-il être caché ?')",1.0,Deletion
261,"('#mademoiselle-du-parc', 'Vous devez vous aller excuser. ')","('#laforet', 'Dites toujours votre excuse ; vous regarderez après.')",0.75,Substitution
262,"('#moliere', ""Comment m'excuser ?"")",,1.0,Insertion
263,"('#un-necessaire', 'Messieurs, commencez donc. ')","('#moliere', ""Sire !... Il s'arrête, croise les bras et reste pensif."")",1.45,Substitution
264,"('#moliere', ""Tout à l'heure, Monsieur je crois que je perdrai l'esprit de cette affaire-ci, et... "")",,1.0,Insertion
265,"('#autre-necessaire', 'Messieurs, commencez donc. ')","('#laforet', ""Hé !  De grâce, parlez, ou le diantre m'emporte si vous n'êtes sifflé."")",1.01,Substitution
266,"('#moliere', ""Dans un moment, Monsieur.  Et quoi donc, voulez-vous que j'aie l'affront... "")","('#moliere', ""Laisse-moi, Laforêt, ne m'éveille pas, je rêve encore ; mais, tout en rêvant, mon esprit se dégage de sa pesanteur et je sens enfler mon courage.  Je vois bien un roi, mais il ne s'appelle plus Louis_XIV ; il s'appelle le peuple !  Le peuple souverain !  C'est un mot que je ne connaissais point, un mot grand comme l'éternité !  Ce souverain-là est grand aussi, plus grand que tous les rois, parce qu'il est bon, parce qu'il n'a pas d'intérêt à tromper, parce qu'au lieu de courtisans il a des frères...  Ah !  oui, je le reconnais maintenant, car j'en suis aussi, moi, de cette forte race, où le génie et le coeur vont de compagnie.  Quoi !  pas un seul marquis, point de précieuse ridicule, point de gras financier, point de Tartuffe, point de fâcheux, point de Pourceaugnac ?  Je te dis de ne me point éveiller, Laforêt, car je fais, cette fois, un bon rêve qui m'explique celui de tantôt."")",1.62,Substitution
267,"('#autre-necessaire', 'Messieurs, commencez donc. ')","('#laforet', ""Pardienne !  monsieur, où prendriez-vous vos marquis, à présent ?  Il y a beau temps que vous en avez fait justice, ainsi que de toutes ces vilaines gens que vous avez étrillées de la bonne manière, à telles enseignes qu'ils ne se montrent plus nulle_part."")",1.46,Substitution
268,,"('#moliere', 'Et les médecins ?  Y a-t-il encore des médecins ?')",1.0,Deletion
269,"('#moliere', ""Oui, Monsieur, nous y allons.  Eh, que de gens se font de fête, et viennent dire commencez donc, à qui le Roi ne l'a pas commandé."")","('#laforet', ""Oui, monsieur, il y en a encore ; mais ils tuent beaucoup moins de gens que de notre temps.  Allons, c'est assez babiller, faites au nouveau souverain votre compliment."")",0.76,Substitution
270,,"('#moliere', ""J'ai peur qu'il ne se moque à cause du vieux langage que nous parlons."")",1.0,Deletion
271,"('#autre-necessaire', 'Messieurs, commencez donc. ')","('#laforet', ""Hé !  Dites toujours.  Tous les hommes sont semblables par les paroles, et ce n'est que les actions qui les découvrent différents ; vous voyez que je vous sais par coeur."")",1.24,Substitution
272,"('#moliere', 'Voilà qui est fait, Monsieur.  Quoi donc recevrai-je la confusion... ')","('#moliere', 'Messieurs...')",1.37,Substitution
273,"('#moliere', 'Monsieur, vous venez pour nous dire de commencer, mais... ')","('#moliere', 'Il faut dire citoyens, à cette heure.')",1.54,Substitution
274,"('#bejart', ""Non, Messieurs, je viens pour vous dire qu'on a dit au Roi l'embarras où vous vous trouviez, et que par une bonté toute particulière il remet votre nouvelle comédie à une autre fois, et se contente pour aujourd'hui de la première que vous pourrez donner. "")","('#moliere', ""Sommes-nous donc à Rome ou à Sparte ?  Vive-Dieu !  Je le veux bien...  Mais non, je sens que nous sommes mieux encore à Paris.  Citoyens, le Théâtre de la République est heureux de vous ouvrir ses portes toutes grandes, et il vous invite à y entrer souvent.  C'est le grand Corneille, c'est le doux Racine, interprètes des grands tragiques de l'antiquité ; c'est l'étonnant Shakespeare, c'est le naïf Sedaine, c'est le brillant Beaumarchais, c'est le tendre Marivaux, c'est le puissant Voltaire, ce sont tous les anciens et tous les modernes, c'est enfin le vieux Molière qui vous en feront les honneurs.  Nous ne vous ferons pas ces prologues pompeux qu'on adressait aux rois.  On ne flatte pas ceux qu'on estime.  Nous avons de bonnes choses à vous servir, et nous savons qu'elles vous seront agréables, étant offertes du mieux que nous pourrons."")",0.2,Substitution
275,"('#moliere', ""Ah ! Monsieur, vous me redonnez la vie, le Roi nous fait la plus grande grâce du monde de nous donner du temps, pour ce qu'il avait souhaité ; et nous allons tous le remercier des extrêmes bontés qu'il nous fait paraître. "")",,1.0,Insertion
