,la-fontaine-daphne,quinault-thesee,Cost,Operation Type
210,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#aegle', ""Non, j'aime mieux la mort qu'une lâche inconstance, Tout l'enfer à mes yeux n'aura rien de si noir ; Malgré Médée et sa vengeance, Mon amour fera son devoir."")",0.51,Substitution
211,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#medee', ""Voyons si votre amour est tel qu'il veut paraître, Puisque vous le voulez vous allez me connaître : Je vais vous faire voir Ce que c'est que Médée et quel est son pouvoir. La scène change, et représente un désert épouvantable rempli de monstres furieux."")",0.5,Substitution
212,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous !')",1.0,Deletion
213,,"('#cleone', ""Que d'objets horribles !"")",1.0,Deletion
214,,"('#arcas', 'Quels monstres terribles !')",1.0,Deletion
215,,"('#aegle', 'Quel affreux courroux !')",1.0,Deletion
216,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes-nous !')",1.0,Deletion
217,,"('#aegle', 'Me laissez-vous, cruelle, Dans cette horreur mortelle ? Ah cruelle ! Où me laissez-vous ?')",1.0,Deletion
218,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous ?')",1.0,Deletion
219,,"('#cleone', ""Contre ce monstre qui m'alarme Viens me défendre Arcas."")",1.0,Deletion
220,,"('#arcas', ""Ne crains rien avant mon trépas. Ô ciel ! On me désarme ! Tu peux beaucoup ici, belle Dorine, hélas ! Ne l'abandonne pas. Un fantôme emporte l'épée d'Arcas."")",1.0,Deletion
221,,"('#cleone #arcas', ""Belle, Dorine, hélas ! Ne m'abandonne pas. Ne l'abandonne pas."")",1.0,Deletion
222,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#dorine', ""Il est bon d'être nécessaire ; C'est un charme puissant pour plaire Où peu de cours ont résisté : Un grand secours qu'on espère Est un grand trait de beauté."")",0.16,Substitution
223,,"('#arcas', ""Ce n'est pas d'aujourd'hui que je te trouve belle."")",1.0,Deletion
224,"('#telamon', ""N'en saurai-je pas plus ?"")","('#cleone', ""Où pourrait-il voir plus d'attraits ?"")",0.71,Substitution
225,,"('#dorine', 'Je sais trop votre amour nouvelle.')",1.0,Deletion
226,,"('#cleone #arcas', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",1.0,Deletion
227,,"('#dorine', 'Pour se tirer de peine Chacun promet assez ; Mais la promesse est vaine Lorsque les périls sont passés.')",1.0,Deletion
228,"('#clymene', ""Je n'ai rien appris d'elle."")","('#cleone #arcas', 'Ne doute point de ma promesse.')",1.62,Substitution
229,,"('#dorine', ""Non, je ne prétends point regagner désormais D'un si volage amant la trompeuse tendresse ; Non, non, je le promets ; Non, je ne l'aimerai jamais."")",1.0,Deletion
230,,"('#cleone #arcas #dorine', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",1.0,Deletion
231,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#medee', ""Qu'on ne me trouble point, qu'on leur ouvre un passage. C'est sur d'autres que vous que doit tomber ma rage, Fuyez de ce funeste lieu."")",0.5,Substitution
232,,"('#cleone #arcas', 'Adieu, Dorine, adieu.')",1.0,Deletion
233,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#medee', ""Sortez, ombres, sortez de la nuit éternelle. Voyez le jour pour le troubler. Hâtez-vous d'obéir quand ma voix vous appelle, Que l'affreux désespoir, que la rage cruelle Prennent soin de vous assembler. Sortez, ombres, sortez de la nuit éternelle."")",1.27,Substitution
234,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#le-choeur-de-l-enfer', 'Sortons de la nuit éternelle.')",0.99,Substitution
235,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#medee', ""Venez peuple infernal, venez, Avancez malheureux coupables, Soyez aujourd'hui déchaînés : Goûtez l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",0.83,Substitution
236,,"('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",1.0,Deletion
237,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#medee', 'Redoublez en ce jour le soin que vous prenez De mes vengeances redoutables.')",0.78,Substitution
238,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#le-choeur-de-l-enfer', 'Ordonnez, ordonnez.')",1.26,Substitution
239,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#medee', ""Ma rivale m'expose à des maux effroyables ; Qu'elle ait part aux tourments qui vous sont destinés : Tous les enfers impitoyables Auront peine à former des horreurs comparables Aux troubles qu'elle m'a donné : Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",0.52,Substitution
240,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables. On nous tourmente Sans cesse aux enfers, Que l'on ressente Nos feux et nos fers. Tout doit se troubler, Tout doit trembler. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. On nous déchaine, Suivons nos fureurs ; Dans notre peine Troublons tous les cours. Un grand désespoir Est doux à voir. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. Les habitants des enfers expriment la douceur qu'ils trouvent dans les ordres que Médée leur donne de donner des frayeurs, et de faire de la peine à Aeglé."")",0.02,Substitution
241,,"('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",1.0,Deletion
242,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')","('#aegle', 'Ah quel effroyable supplice ! Faites-moi promptement mourir.')",1.26,Substitution
243,,"('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",1.0,Deletion
244,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#aegle', 'Cruelle, ne voulez-vous pas Faire cesser ma peine ? Au moins achevez, inhumaine, Achevez mon trépas.')",1.1,Substitution
245,,"('#medee', 'Satisfaites le roi, contentez mon envie, Si vous voulez sortir de cet affreux sejour.')",1.0,Deletion
246,"('#leucippe', 'Et mon bien ?')","('#aegle', 'Hélas ! Laissez-moi mon amour, Prenez plutôt ma vie.')",1.11,Substitution
247,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#medee', ""Ma rage en vous perdant ne peut être assouvie, C'est grâce, c'est pitié de vous ôter le jour."")",1.25,Substitution
248,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#aegle', ""Vous aurez beau me poursuivre, Vous aurez beau m'alarmer, Ce n'est qu'en cessant de vivre Que je puis cesser d'aimer."")",0.94,Substitution
249,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#medee', ""Achevez de savoir de quoi je suis capable ; La plus horrible mort n'a rien de comparable Au coup qui vous menace en ce fatal instant : Moi-même j'en frémis tant il est effroyable."")",1.21,Substitution
250,,"('#aegle', ""Est-ce un crime si punissable D'avoir un coeur tendre et constant ?"")",1.0,Deletion
251,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#medee', ""Il n'est que trop aisé de percer un coeur tendre : Toute ma rage enfin va paraître à vos yeux."")",0.76,Substitution
252,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",,1.0,Insertion
253,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#aegle', ""Quel spectacle vient me surprendre ? C'est Thésée endormi qu'on transporte en ces lieux."")",0.96,Substitution
254,"('#telamon', 'Changera-t-il son âme ?')",,1.0,Insertion
255,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",,1.0,Insertion
256,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#medee', ""Venez à mon secours implacables furies. Que le sang innocent recommence à couler ; Il faut encor nous signaler Par de nouvelles barbaries, Venez à mon secours implacables furies. Les furies sortent tenant un tison ardent d'une main, et un couteau de l'autre."")",0.71,Substitution
257,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")",,1.0,Insertion
258,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",,1.0,Insertion
259,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')","('#aegle', 'Faut-il voir contre moi tous les enfers armés ?')",1.53,Substitution
260,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
261,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')","('#medee', ""Tremblez en apprenant quel est votre supplice. Votre amant va périr, c'est vous qui m'animez À m'en faire à vos yeux un affreux sacrifice."")",1.06,Substitution
262,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",,1.0,Insertion
263,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#aegle', ""Vous pouvez vouloir qu'il périsse ? Et vous dites que vous l'aimez ?"")",1.14,Substitution
264,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",,1.0,Insertion
265,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
266,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
267,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#medee', ""Il faut voir qui des deux l'aimera davantage, Plutôt que le céder, j'aime mieux que la mort En fasse entre nous le partage, Et l'amour n'en est que plus fort Quand il passe jusqu'à la rage. Dépêchez, achevez votre sanglant ouvrage. Elle parle aux furies."")",1.02,Substitution
268,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#aegle', ""Arrêtez, retenez leurs coups, J'épouserai le roi, je suivrai votre envie : Je cède ce héros, que son cour soit à vous, Rien ne m'est si cher que sa vie."")",0.89,Substitution
269,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')","('#medee', 'Mais aurez-vous bien le pouvoir De lui paraître ingrate, insensible, volage ?')",1.53,Substitution
270,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#aegle', ""C'est lui faire un cruel outrage, J'aimerais mieux ne le point voir."")",1.2,Substitution
271,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#medee', ""Non il faut lui montrer une âme déloyale Qui l'immole sans peine à la grandeur royale Tandis que je feindrai d'agir en sa faveur : Enfin je veux gagner son cour Par le secours de ma rivale."")",0.53,Substitution
272,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#aegle', 'Dieux ! Quelle contrainte fatale !')",0.68,Substitution
273,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")","('#medee', 'Pour le prix de ses jours attirez ses mépris, Ou je vais...')",1.31,Substitution
274,,"('#aegle', ""Non, qu'il vive, il n'importe à quel prix : Je veux tout, je puis tout pour sauver ce que j'aime ; Mon amour vous promet de se trahir lui-même."")",1.0,Deletion
275,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")","('#medee', 'Cessez donc de trembler : voyez en un moment Changer ces lieux affreux en un séjour charmant.')",1.48,Substitution
276,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#medee', ""Voyez ce que j'ai soin de faire Pour un trop malheureux amant."")",1.0,Substitution
277,,"('#thesee', ""Où suis-je ? Et d'où me vient ce nouvel ornement ?"")",1.0,Deletion
278,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#medee', ""J'ai voulu vous aider à plaire."")",1.34,Substitution
279,,"('#thesee', 'Mon épée ! Ah rendez-la moi.')",1.0,Deletion
280,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')","('#medee', ""On va vous l'apporter. Si vous craignez le roi, Je serai vos plus fortes armes."")",0.79,Substitution
281,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#thesee', 'Après tout ce que je vous dois... Est-ce vous ? Ma princesse, est-ce vous que je vois ? Mais où détournez-vous vos regards pleins de charmes ? Il aperçoit AEglé.')",1.16,Substitution
282,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')","('#medee', 'Quoy ? Vous ne tournez pas les yeux Sur un amant si glorieux ?')",1.41,Substitution
283,"('#aminte', 'Aurait-elle mieux répondu ?')","('#thesee', 'Belle AEglé, dites-moi, quel crime ai-je pu faire ?')",1.07,Substitution
284,,"('#medee', ""N'appreéhendez-vous point qu'on ose se venger ?"")",1.0,Deletion
285,,"('#thesee', ""Non, elle aura beau m'outrager, Elle me sera toujours chère."")",1.0,Deletion
286,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#medee', ""Tant d'amour ne vous touche pas ? Ingrate, croyez-vous qu'un trône ait plus d'appas ?"")",1.57,Substitution
287,,"('#thesee', ""Vous m'aviez tant promis de n'être point légère ?"")",1.0,Deletion
288,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#medee', ""De quoi ne vient point à bout Un roi qui veut plaire ? La constance ne tient guère Contre un amant qui peut tout. Le roi doit redouter que mon dépit n'éclate : Pour regagner son cour, je vais encor le voir. Essayez, cependant, d'attendrir cette ingrate : Si tous nos soins unis ne peuvent l'émouvoir, Votre amour seul peut-être aura plus de pouvoir."")",0.98,Substitution
289,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#thesee', ""AEglé ne m'aime plus, et n'a rien à me dire ? Qu'avez-vous fait des noeuds que l'amour fit pour nous ? Quoi pour les briser tous. Un jour, un seul jour peut suffire ? J'aurais abandonné le plus puissant empire Pour garder des liens si doux."")",0.9,Substitution
290,,"('#aegle', ""Cessez d'aimer une volage ; Servez-vous de votre courage Pour chercher un plus heureux sort."")",1.0,Deletion
291,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")","('#thesee', ""Je ne m'en servirai que pour chercher la mort. Si la belle AEglé m'est ravie Je ne prétends plus rien : Je perds l'unique bien Qui m'aurait fait aimer la vie."")",1.68,Substitution
292,,"('#aegle', 'Hélas !')",1.0,Deletion
293,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#thesee', 'Ah ! Quel soupir échappe à votre cour !')",0.98,Substitution
294,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#aegle', ""Ce soupir échappé n'est que pour la grandeur."")",0.9,Substitution
295,,"('#thesee', 'Vos beaux yeux répandent des larmes ?')",1.0,Deletion
296,,"('#aegle', ""Non, non, sans m'attendrir je verrai vos douleurs."")",1.0,Deletion
297,,"('#thesee', ""Vous voulez me cacher vos pleurs ? Pourquoi m'en dérober les charmes ?"")",1.0,Deletion
298,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
299,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
300,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")","('#aegle', 'Ah ! Que vous me donnez de mortelles alarmes ? On vous a peut-être entendu Thésée, et vous êtes perdu.')",1.26,Substitution
301,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",,1.0,Insertion
302,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#thesee', ""On ne nous entend point, non, ma belle princesse, Si vous m'aimez toujours ne craignez rien pour moi."")",1.17,Substitution
303,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#aegle', ""Que nous payerons cher l'excès de ma tendresse ? Il y va de vos jours, j'épouserai le roi."")",1.59,Substitution
304,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")","('#thesee', ""C'est trop appréhender que le roi ne s'irrite. Il faut vous dire tout, l'amour m'en sollicite ; Je suis fils du roi,"")",0.86,Substitution
305,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#aegle', 'Vous, seigneur !')",1.37,Substitution
306,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#thesee', ""Je n'ai montré d'abord que ma seule valeur, C'était à mon propre mérite Que je voulais devoir ma gloire et votre cour."")",1.22,Substitution
307,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",,1.0,Insertion
308,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#aegle', ""Le roi, le monde entier prendraient en vain les armes, Il n'est rien de si fort que Médée, et ses charmes, Nous sommes les objets de ses transports jaloux. S'ils n'en voulaient qu'à moi je les braverais tous, Mais ils m'ont su frapper par où je suis sensible."")",0.41,Substitution
309,,"('#thesee', 'Quoi, le roi sera votre époux ?')",1.0,Deletion
310,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#aegle', 'Je ne puis vous sauver sans cet hymen horrible.')",0.84,Substitution
311,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#thesee', ""Laissez armer plutôt tout l'enfer en courroux ; Le trépas est cent fois plus doux Qu'un secours si terrible ; Vivez pour moi, s'il est possible, Ou laissez-moi mourir pour vous."")",0.04,Substitution
312,,"('#aegle #thesee', 'Quel injustice ! Que de tourments ! Ah quel supplice De briser des noeuds si charmants !')",1.0,Deletion
313,,"('#medee', ""Finissez vos regrets, c'est trop, c'est trop vous plaindre, Je viens d'entendre tout il n'est plus temps de feindre."")",1.0,Deletion
314,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")","('#aegle', ""Pardonnez à l'amour qui ne m'a pas permis De tenir ce que j'ai promis."")",1.36,Substitution
315,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#thesee', 'Vengez-vous sur moi seul de notre amour extrême.')",0.58,Substitution
316,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#aegle', ""C'est par mon seul trépas qu'il faut nous désunir."")",0.88,Substitution
317,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#thesee', 'Sa vie est la faveur que je veux obtenir.')",1.99,Substitution
318,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')","('#aegle', 'Conservez ce héros, sauvez-le pour vous-même.')",1.78,Substitution
319,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#aegle #thesee', ""Épargnez ce que j'aime, C'est moi, c'est moi qu'il faut punir."")",0.89,Substitution
320,"('#daphne', 'Il le faut.')",,1.0,Insertion
321,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#medee', ""Je vous aime, Thésée, et vous l'allez connaître, Le crime enfin commence à me paraître affreux, Je respecte de si beaux noeuds, Ma rage a beau s'armer, vous en êtes le maître ; Votre vertu m'inspire un dépit généreux, Je rendrai ce que j'aime heureux Puisque mon amour ne peut l'être."")",0.28,Substitution
322,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#aegle #thesee', 'Quel bonheur surprenant pour nos cours amoureux !')",1.14,Substitution
323,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#medee', 'Espérez tout de mon secours. Vous pouvez reprendre vos armes. Gardez vos tendres amours, Goûtez-en les charmes, Aimez sans alarmes, Aimez-vous toujours. Thésée reprend son épée. Médée continue.')",0.7,Substitution
324,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")","('#aegle #thesee', 'Gardons nos tendres amours, Goûtons-en les charmes, Aimons sans alarmes, Aimons-nous toujours.')",1.36,Substitution
325,"('#leucippe', 'Achevez.')",,1.0,Insertion
326,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")",,1.0,Insertion
327,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#medee', 'Habitants fortunés de ces lieux si charmants ; Commencez les plaisirs de ces heureux amants.')",0.5,Substitution
328,"('#daphne-', ""Ne m'aimez plus."")",,1.0,Insertion
329,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')",,1.0,Insertion
330,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#deux-bergeres', ""Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. Ces lieux tranquilles Sont les asiles Des doux plaisirs, Et des heureux loisirs : La terre est belle, La fleur nouvelle Rit aux zéphirs. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. C'est dans nos bois Qu'amour a fait ses lois : Leur vert feuillage Doit toujours durer, Un cour sauvage N'y doit point entrer. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Lorsqu'il la mène, Bien qu'elle prenne De longs détours, Tous les chemins sont courts : Sa bergerie Est moins chérie Que ses amours. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Quand son amant La quitte un seul moment, Nos champs pour elle N'ont plus d'autre bien, Elle en querelle Jusques à son chien. La seule affaire D'une bergère C'est de songer À l'amour de son berger."")",1.13,Substitution
