,barante-arlequin-misanthrope,mongin-promenades-de-paris,Cost,Operation Type
379,"('#seconde-gasconne', 'Ah, peccaire !  Que bons raisounats plat !')",,1.0,Insertion
380,"('#arlequin', 'Ho oui, fort bien, je raisonne au plat.')","('#scaramouche', ""N'importe.  J'aime mieux, te dis-je, monter sur Pégase qu'en carrosse, et il vaut mieux prendre le chemin de l'Hôpital que celui de la Grève.  Venons à ton affaire.  Quel poète veux-tu ?  Est-ce un poète héroïque, lyrique, satyrique, tragique, ou comique ?"")",1.75,Substitution
381,"('#seconde-gasconne', 'Ah, Mossu, non disi pas accot.')",,1.0,Insertion
382,"('#arlequin', 'Je ne paie pas mon écot ?  Qui vous a dit cela.')",,1.0,Insertion
383,"('#seconde-gasconne', 'Cousino cresi que se truffo.')",,1.0,Insertion
384,"('#arlequin', ""Comment des Truffes ?  Est-ce que vous m'en apportez ?  Où sont vos Truffes ?  Cousine ?  Allons donc.  Mais vous reculez ?  Depuis quand les femmes de votre pays ont-elles appris à reculer ?"")",,1.0,Insertion
385,"('#gasconne', ""Aro que souits grandetto, Jo ne reculi plus, Ai conneseut l'abus, Cal être doucetto, Et per poudets charma Me cal aima."")","('#arlequin', ""Oh, oh !  En voilà encore du plus fin !  Non, c'est un poète de musique, d'opéra, de concert."")",1.49,Substitution
386,"('#arlequin', ""Diable !  C'est chanter cela !  Et voilà une chanson que je trouverais fort jolie, si je l'entendais."")","('#scaramouche', 'Tu veux dire un chansonnier ?')",0.69,Substitution
387,"('#seconde-gasconne', 'Es plats jantio, Mossu, quello cançonetto.  Ma fasés semblant de ne nou pas entendre.')","('#arlequin', 'Oui, voilà en un mot ce que je cherche, un chansonnier.')",1.51,Substitution
388,"('#arlequin', ""Quand io eri pichotto, Boulios pas far l'amour ; Dari que sois grandotto, Boudrias lo fa toujours. Flon flon, etc. Ah, Mademoiselle, les semblants sont plus de votre pays que du mien.  Ce n'est pas qu'autrefois j'ai su un couplet de chanson, qui disait : Mais qu'allez-vous chercher toutes deux à Paris."")","('#scaramouche', 'Et bien, je suis ton fait.  Je fuis le premier chansonnier du monde, et le premier de Paris pour les chansons.')",0.98,Substitution
389,"('#seconde-gasconne', 'Fortuno, Mossu, fortuno.  Dison que les gens de nouste pays, la fason tant vite.')","('#arlequin', ""Fort bien.  Fais m'en donc quelques-unes, je te les paierai sur le prix courant de l'Opéra."")",1.56,Substitution
390,,"('#scaramouche', ""C'est à dire en monnaie de singe."")",1.0,Deletion
391,,"('#arlequin', ""Et oui, ce doit être là la monnaie de l'Opéra, puisqu'au lieu de poètes et de musiciens, il n'y a plus à l'Opéra que des singes.  Mais revenons à mes chansons.  Je voudrais..."")",1.0,Deletion
392,"('#arlequin', ""Mais, fortune pour une femme, c'est un mari."")",,1.0,Insertion
393,"('#seconde-gasconne', ""Ah, Mossu, bous venez tout d'un saut à l'essentiel.  Hé donc ?"")","('#scaramouche', 'Et bien, parlez.  De quel caractère les voulez-vous ces chansons ?')",1.33,Substitution
394,"('#arlequin', ""Fillettes qu'anas à Paris Per cercas amants et maris ; Troubates prou frit gaites, abé : Ma guère d'espousaires, Bou m'entendez bé. Hé donc.  C'est bien dit.  Mais apprenez en votre patois, ce que vous trouverez où vous allez. Il chante sur un Vaudeville."")","('#arlequin', 'Je les veux...  Et mais, je les veux du caractère des chansons.')",1.15,Substitution
395,,"('#scaramouche', ""C'est à dire de quel style les aimez-vous ?  Par exemple, les chansons passionnées ?"")",1.0,Deletion
396,"('#seconde-gasconne', 'Anen, Cousino, anen, se truffo ma de nautres.')","('#arlequin', 'Passionnées ?  Non.')",1.64,Substitution
397,"('#monsieur-de-colafon', 'Serviteur très humble, Monsieur.')","('#scaramouche', 'Amoureuses, tendres ?')",1.48,Substitution
398,"('#arlequin', 'Bonjour, bonjour.')","('#arlequin', 'Oh non, non.')",0.64,Substitution
399,"('#monsieur-de-colafon', ""Avez-vous, Monsieur, besoin d'une petite leçon ?"")","('#scaramouche', 'Voudriez-vous quelque chanson bachique ?')",1.35,Substitution
400,"('#arlequin', ""Avec tout cet équipage, vous m'avez l'air de montrer le plus court chemin de l'Hôpital Général."")",,1.0,Insertion
401,"('#monsieur-de-colafon', ""Non, Monsieur, ce n'est pas cela."")","('#arlequin', 'Point du tout.')",1.52,Substitution
402,"('#arlequin', 'Mais que voulez-vous, et qui êtes-vous ?')",,1.0,Insertion
403,"('#monsieur-de-colafon', ""Hélas, Monsieur, sans exagérer, je puis me vanter, d'avoir couru la fortune au galop ; mais à présent..."")",,1.0,Insertion
404,"('#arlequin', ""À présent je vous défie d'aller au pas."")","('#scaramouche', 'Chanson héroïque ?')",1.16,Substitution
405,"('#monsieur-de-colafon', 'Si vous connaissiez mon talent, mon habileté, ma souplesse...')","('#arlequin', 'Encore moins.')",1.83,Substitution
406,"('#arlequin', 'Et quelle est votre profession ?')","('#scaramouche', 'Chanson tragique, énergique, mélancolique, chromatique ?')",1.34,Substitution
407,"('#monsieur-de-colafon', ""J'étais Maître à Danser à l'Opéra de Lyon, mais comme l'Opéra est tombé..."")",,1.0,Insertion
408,"('#arlequin', 'Il vous est tombé sur le corps, et vous voilà tout estropié ?')",,1.0,Insertion
409,"('#monsieur-de-colafon', ""Comme l'Opéra est tombé, j'ai trouvé à propos de quitter la Ville.  Je n'avais pas beaucoup d'Écoliers, car mon fort est dans la Danse haute, je n'ai pas la patience, de montrer la danse basse."")","('#arlequin', 'Et non, Cervelle lunatique, non ; je ne veux point de toutes ces chansons en ique ; il me faut, te dis- je...')",1.23,Substitution
410,"('#arlequin', ""Hé, qui diable aurait la patience d'apprendre de vous ?  On disait bien que la danse était mal à cheval, mais je ne la croyais pas si mal à pied."")",,1.0,Insertion
411,"('#monsieur-de-colafon', ""Oh, monsieur, j'ai renoncé à la danse."")",,1.0,Insertion
412,"('#arlequin', ""C'est bien fait."")",,1.0,Insertion
413,"('#monsieur-de-colafon', 'Je me suis jeté dans le Fleuret...')",,1.0,Insertion
414,"('#arlequin', 'Tant pis, diable, tant pis !')",,1.0,Insertion
415,"('#monsieur-de-colafon', ""Bon !  Je suis le premier homme du monde, pour escrimer.  C'est moi qui ai eu l'honneur de mettre les armes à la main aux trois quarts de la petite Gendarmerie de la rue Au-fer, et de la rue Saint-Denis."")",,1.0,Insertion
416,"('#arlequin', 'Tudieu !  Quels écoliers !')",,1.0,Insertion
417,"('#monsieur-de-colafon', ""Vous allez voir ce que je sais faire.  Allons, faites assaut contre moi. Le Maître à danser présente un Fleuret à Arlequin qui le refuse d'abord, et le prend enfin. Après avoir escrimé quelques moments, le Maître à danser sort un pistolet, et fait rendre la bourse à Arlequin, et s'en va en disant. Voilà une de mes bottes franches."")","('#scaramouche', ""Chantez, chantez, petits Oiseaux.  Près de vous l'Opéra, l'Opéra doit se taire.  Vous faites tous les jours des chants, des airs nouveaux,  Et l'Opéra n'en saurait faire.  Paix, je vais vous montrer un échantillon de celles que vous voulez, et voici une de mes chansons favorites.  Écoutez bien. Hé bien, cela vous plaît-il ?  Qu'en dites-vous ? Il chante."")",0.88,Substitution
418,"('#arlequin', ""Au voleur, au voleur ?  Mais voici peut-être quelqu'un de ses camarades.  Taisons-nous, de peur qu'il ne nous en coûte la vie."")",,1.0,Insertion
419,"('#arlequin', ""Hé, bien Madame, Qu'est-ce ?  Qu'y a-t-il ?  Quoi plus ?  De quoi est-il question ?  Que demandez-vous ?  Et que veulent tous ces visages de plâtre ?  Venez-vous me montrer quelque botte franche ?"")","('#arlequin', 'Fort bien.  Mais...')",1.64,Substitution
420,"('#madame-de-l-architrave', ""Monsieur, je suis une fabricatrice de niches humaines, un antidote contre les injures du temps, un répertoire de la commodité des saisons, un alambic des aises de la vie ; Architecte à votre service, commandant pour l'honneur de vos commandements, une escouade de Limousins."")",,1.0,Insertion
421,"('#arlequin', ""Hé bien, Madame, du répertoire, de l'alambic, et de l'escouade Limousine, de quoi est-il question ?"")","('#scaramouche', ""Vous faites tous les jours des chants, des airs nouveaux,  Et l'Opéra n'en saurait faire. "")",1.01,Substitution
422,"('#madame-de-l-architrave', ""D'une petite affaire de rien touchant notre métier ; de bâtir une Ville."")","('#arlequin', 'Écoutez- moi donc.  Il faudrait...')",1.38,Substitution
423,"('#arlequin', ""Une Ville ?  Il y en a déjà que trop.  Quand les hommes logeaient dans les Bois, ils étaient humains, et ne se mangeaient pas les uns les autres.  Le séjour des villes les a gâtées, les a rendus féroces, et plus ours et plus tigres que les ours et les tigres qu'ils ont laissés dans les forêts."")",,1.0,Insertion
424,"('#madame-de-l-architrave', ""Oh, cela est vrai ; et cependant nombre de gens qui veulent profiter de votre Philosophie, viendront s'établir ici, et vivre avec vous sous vos lois."")","('#scaramouche', 'Chantez, chantez, petits Oiseaux... ')",1.65,Substitution
425,"('#arlequin', 'Une ville ?')","('#arlequin', 'Encore ?')",0.64,Substitution
426,"('#madame-de-l-architrave', ""Sans doute, une Ville pour les Mécontents ; elle sera peuplée dans un instant.  Vous aurez d'abord tous ces importants d'office, qui se plaignent éternellement que la Cour, qui ne les connaît pas, ne fait rien pour eux.  Ces mères Coquettes désespérées du mauvais goût des hommes, qui les quittent pour leurs filles.  Ces Grisettes de conséquence, qui croient que les privautés d'un Duc ou d'un Marquis, leur ont acquis des droits incontestables sur le Carrosse et le nombre de Laquais.  Ces gens de lettres pestant éternellement contre l'injustice de la fortune, et la dureté du siècle, et surtout ce nombre presque infini d'Auteurs altérés, dont tous les théâtres regorgent."")","('#scaramouche', ""Prés de vous l'Opéra, l'Opéra doit se taire."")",1.03,Substitution
427,"('#arlequin', 'Voilà une Architecte qui a du bon.  Vous êtes de belle humeur, Madame ?')",,1.0,Insertion
428,"('#madame-de-l-architrave', ""Pour vous servir, Monsieur.  L'air joyeux, est la première partie d'un Architecte.  Si nos bâtiments ne sont riants, je n'en donnerais pas une nèfle.  La joie, la joie, partout ?  Il faut de l'air dans les maisons, la vue libre, l'abord aisé, l'aspect gracieux, les avenues faciles, les faux fuyants commodes, et les sorties borgnes et à discrétion."")","('#arlequin', ""Et tais-toi donc aussi, maudit Poète ; et par grâce... Scaramouche interrompt toujours Arlequin , et le quitte en chantant sans lui répondre. Arlequin s'en va."")",1.15,Substitution
429,"('#arlequin', 'Voici une femme rare !  Vous êtes donc bien employée, Madame.')",,1.0,Insertion
430,"('#madame-de-l-architrave', ""Oui !  Mais je n'aime à travailler que pour de jeunes veuves, et pour des gens d'affaires ; ce sont là les gens de bon goût, il faut primer avec eux.  Ils ont plus d'invention et de goût pour placer une chaise percée, que les autres pour arranger un cabinet."")",,1.0,Insertion
431,"('#arlequin', 'Les Abbés ne sont-ils pas de ce nombre ?  Vous les oubliez ?')",,1.0,Insertion
432,"('#madame-de-l-architrave', 'Oh point, ce sont des goûts différents.  Les Abbés appuient sur la cuisine, sur la cave, et les fausses portes des ruelles.')",,1.0,Insertion
433,"('#arlequin', ""Vous avez raison.  Diable !  Cette femme l'entend !  Est-ce vous qui avez inventé de mettre toutes les fenêtres en portes, surtout du côté des Jardins ?"")",,1.0,Insertion
434,"('#madame-de-l-architrave', ""Je n'ai pas trouvé cette invention, mais je l'ai perfectionnée ?  Vous allez voir ici de quoi je suis capable."")",,1.0,Insertion
435,"('#arlequin', ""Je vois bien qu'il faut s'y résoudre, il faut bien loger tant de gens qui viennent ici.  Car de quoi est-il question ?  Je vous avertis par avance que je veux une ville, qui ne ressemble en rien à Paris, où l'on ne paye point de Boues ni de Lanternes, et dont les rues ne servent que pour les chevaux, les mulets, les crocheteurs, et les autres bêtes de voiture."")",,1.0,Insertion
436,"('#madame-de-l-architrave', ""Je suis votre fait.  Voici comme je m'y prendrai.  Je ferai qu'il y aura partout des Balcons publics qui régneront sans interruption de maison en maison, et qui feront un saut par-dessus les rues qu'ils traversent ; les lumières qui éclairent les chambres éclaireront les Balcons, toutes les fenêtres seront des portes pour la commodité du public, et après cela ce sera la faute des particuliers s'ils ne se rendent pas visite."")",,1.0,Insertion
437,"('#arlequin', ""Oui, mais cette commodité me paraît trop commode.  L'occasion fait le larron.  Ces Balcons et ces fenêtres de communication sont cause que l'on communique plus qu'il ne faut.  Tenez, depuis que vous avez inventé à Paris et à la Campagne, ces larges gouttières en forme de Corridor autour des mansardes, les jolies femmes ne logent plus qu'au grenier, et les hommes comme des chats passent la nuit sur les gouttières."")",,1.0,Insertion
438,"('#madame-de-l-architrave', ""Oh, Monsieur, c'est un abus que de s'abuser sur cela, les chats suivront toujours les chattes, et les femmes trouveront toujours des matous qui les suivront."")",,1.0,Insertion
439,"('#arlequin', ""Je pense qu'elle a raison, c'est un mal sans remède.  Mais revenons à notre Ville."")",,1.0,Insertion
440,"('#madame-de-l-architrave', 'Nous pourrons fort bien la bâtir sue cette Rivière qui est ici près : cela sera fort commode.')",,1.0,Insertion
441,"('#arlequin', ""Peste !  Gardez-vous en bien.  Une rivière ?  Et nous y verrions dans rien établir des Moulins de Javelles, des Charentons, des Ports à l'Anglais, des îles...  Enfin je ne veux point de rivière."")",,1.0,Insertion
442,"('#madame-de-l-architrave', ""Soit, soit ; je suis accommodante.  Il faudra donc la bâtir ici, et ce grand espace nous servira pour faire un beau jardin public, précédé d'une grande avenue d'arbres."")",,1.0,Insertion
443,"('#arlequin', 'Hé oui, oui, un Jardin !  Voilà-t-il pas Paris tout revenu ?  Je ne veux ni cours ni Tuileries, entendez-vous, parce que je veux bannir de notre Ville la coquetterie et la médisance.')","('#colombine', ""En vérité, Mademoiselle, il n'est pas permis à une beauté d'aussi bon acabit que vous, d'entendre si peu le manège de la promenade.  Hé !  Vous vous promenez aussi nonchalamment aux Tuileries, qu'en pleine campagne."")",0.27,Substitution
444,"('#madame-de-l-architrave', ""J'ai tout prévu, je m'en vais commander mon Escouade de placer mon monde dans les postes convenables. Madame de l'Architrave se retire, et en même temps tous les maçons qui l'accompagnaient bâtissent en dansant, un magnifique Palais."")",,1.0,Insertion
445,"('#arlequin', ""Diantre !  C'est bâtir bien gaiement !  Mais pour qui destinez-vous cette habitation superbe ?"")",,1.0,Insertion
446,"('#un-maçon', ""Superbe, Monsieur.  Bon !  C'est la maison de campagne d'une fille de l'Opéra.  Ce n'est rien que cela, si vous voyez comme elle est meublée !"")",,1.0,Insertion
447,"('#arlequin', ""Est-ce que vos maisons se meublent à mesure qu'on les bâtit ?"")","('#elise', 'Mais comment donc faut-il se promener ici, Colombine ?')",1.23,Substitution
448,"('#un-maçon', ""Elles sont faites, meublées, et occupées tout à la fois.  Tenez, voilà l'Opératrice en question, sans doute elle veut répéter quelque chose."")",,1.0,Insertion
449,"('#la-chanteuse', ""Miei spirti amorosi, Brillatem'in sen : Amor vuol ch'io posi In braccio al mio ben. Miei spirti amorosi, Brillatem'in sen."")",,1.0,Insertion
450,"('#arlequin', ""Mais voilà qui est étonnant !  Je n'aurais jamais cru une fille d'Opéra si magnifiquement logée."")",,1.0,Insertion
451,"('#un-maçon', ""Il y a quinze jours qu'elle occupait un grenier, et il n'est pas bien décidé si elle ne retournera pas à son premier gîte.  En un mot, si vous voulez voir les fortunes de Théâtre, les voilà.  Un moment les élève, un moment les détruit. Tout le Palais se détruit."")",,1.0,Insertion
452,"('#arlequin', ""Je ne fais pas l'amour, Madame, en jeune sot, Et ne sais pas longtemps tourner autour du pot. Je vais d'abord au fait. Je vous aime, ma Reine, Vos yeux comme un forçat me tiennent à la chaîne ; Mais sans perdre le temps en fades compliments, Songez que les déserts sont faits pour les Amants, Profitez-en."")","('#colombine', ""Comme tout votre sexe, Mademoiselle.  Il faut comme toutes les belles, ne pas hasarder icI une démarche naturelle.  Êtes-vous avec moi dans la grande Allée, par exemple, il faut me parler toujours sans rien dire, pour sembler spirituelle ; rire sans sujet, pour paraître enjouée ; se redresser à tout moment, pour étaler sa gorge ; ouvrir les yeux, pour les agrandir, se mordre les lèvres pour les rougir, parler de la tête à l'un, de l'éventail à l'autre, donner une louange à celle-ci, un lardon à celle-là.  Enfin, radoucissez-vous, badinez, gesticulez, minaudez, et soutenez tout cela d'un air penché ; vous voilà à peindre aux Tuileries. Entrez en lice."")",0.08,Substitution
453,"('#colombine', ""Jamais d'une si brusque flamme Le pétulant aveu ne touchera mon âme ; Mais hélas ! Suis-je encor maîtresse de mon coeur ? Vous le savez, Octave..."")","('#elise', ""Fais ces leçons-là aux coquettes, Colombine; je ne viens aux Tuileries que pour me promener, et je ne me promènerais pas avec tant d'artifice, quand bien j'y viendrais pour plaire.  Mais ce n'est pas là mon dessein, et Léandre à grand tort de s'alarmer."")",0.84,Substitution
454,"('#arlequin', ""Oh ma foi, serviteur, Pour donner là-dedans je sais trop bien l'usage ; Ma Mignonne, il n'est plus de Novice à votre âge : À dix-huit ans passés quand on a de l'esprit, Le changement d'amant réveille l'appétit. Du lieu d'où vous venez oubliez-vous la mode ? Voulez-vous des Romans pratiquer la méthode ? À lorgner dans un bois croyez-vous m'obliger ? En Céladon moderne allez-vous m'ériger ? Un héros de Cyrus sans crainte de faiblesse, Pouvoir impunément enlever sa Maîtresse ; Avec lui sans façon la belle s'embarquait, Il ne lui baisait pas le petit bout du doigt. Ces braves Chevaliers par combats et prouesses. Envers et contre tous défendaient leurs Princesses ; Mais tout bien compassé, ces valeureux nigauds N'étaient de leur honneur que les Custodicos. Comme ce temps n'est plus, un autre a pris sa place, Les choses aujourd'hui se font de bonne grâce ; Et dès qu'en pareil cas l'Amant sait demander, De son côté la belle est prête d'accorder. Vous connaissez l'amour, je le connais de même Nous sommes seuls ici, Madame, et je vous aime."")","('#colombine', ""Cependant, Mademoiselle, à propos de Léandre, vous ne devez rien négliger pour le convaincre que Calmar qu'il croit son rival, n'est que votre dupe.  Mais que vois-je ?"")",0.71,Substitution
455,,"('#elise', ""Ah !  C'est Léandre, Colombine !"")",1.0,Deletion
456,"('#colombine', ""L'ai-je bien entendu ? Quelle surprise, ô Dieux ? Que me proposez-vous ? Ah trop funestes lieux ! À de pareils propos me serais-je attendue ? Seigneur, rendez le calme à mon âme éperdue. Voudriez-vous tout de bon... Non c'est pour m'éprouver."")",,1.0,Insertion
457,"('#arlequin', ""Madame, en mes panneaux je n'irai pas crever. Quelque sot !"")","('#colombine', ""Point du tout, et c'est, je crois, Monsieur_Calmar."")",1.86,Substitution
458,"('#colombine', 'Ah, Seigneur, vous êtes Philosophe ?')","('#elise', ""Quoi ?  C'est vous, Monsieur_Calmar ?"")",1.13,Substitution
459,"('#arlequin', ""Bon bon ! Nous sommes de la même étoffe ; Et Philosophe, ou non, Madame, il est écrit, Que l'on a de l'amour, quand on a de l'esprit, Cet esprit voit en vous de quoi me satisfaire, Vos petites façons ont le secret de plaire, Et le sort me donnant femme et lieux à mon choix Je crois qu'il ne faut pas que j'en fasse à deux fois."")","('#calmar', ""Oui, ma belle Demoiselle, c'est moi-même, et vous voyez ce que font pour vos beaux yeux ceux qui font de la juridiction, du ressort, et de la compétence de vos charmes.  Vous voilà satisfaite, et vous ne me reprocherez plus que je sens le procès et la chicane."")",0.41,Substitution
460,"('#colombine', ""Vous ne rougissez pas d'avoir tant de faiblesse, Vous que l'on voit prêcher une austère sagesse ? Vous qui vous gendarmez sur les défauts d'autrui ?"")",,1.0,Insertion
461,"('#arlequin', ""C'est là le grand talent du sage d'aujourd'hui, Loup-garou, fier, hargneux, farouche, impraticable, Sur les moindres défauts toujours inexorable, Regardant les plaisirs d'un oeil indifférent, Voilà comme il se montre au vulgaire ignorant. Mais quand se dérobant aux yeux de tout le monde, En un réduit rustique il peut mener sa blonde, Qu'il sait bien au milieu des plaisirs les plus doux, Apprécier de l'amour les plus exquis ragoûts ! Tout cela ne nuit pas à l'austère sagesse, Et la vertu ne gît qu'à cacher sa faiblesse, Ne vous entêtez point d'un chimérique honneur, Croyez-moi."")","('#colombine', ""En effet, Monsieur_Calmar a l'air tout à fait galant, et la physionomie toute martiale.  Ah !  De toutes les Métamorphoses, après la Pluie d'or, il n'y en a point qui touche plus les femmes que celle du plumet ; et Monsieur_Calmar sent sort le Petit-maître à pleine gorge. "")",0.2,Substitution
462,"('#colombine', ""Je ne puis en revenir, Seigneur, Quoi vous, qui détestant tous les mauvais usages ; Cherchez de la vertu dans ces antres sauvages, Qui voyez en pitié le reste des humains ; Osez faire éclater de criminels desseins ? Mais quand il serait vrai que votre âme enflammée De mes faibles attraits se sentirait charmée, Faut-il presser les gens, faut-il brusquer les coeurs ? Si vous avez pour moi de sincères ardeurs, D'un air moins violent faites-le moi paraître."")","('#calmar', ""Trouves-tu, Colombine ?  Nous n'avons point si mauvaise mine, n'est-ce pas ?  Et j'ose mettre en avant, sans ostentation, contestation, contravention intervention, discussion, et homologation."")",1.09,Substitution
463,"('#arlequin', ""La mode est aujourd'hui d'aimer en Petit Maître, C'est le goût général, Madame, et les abbés Même avant les Robins y sont enfin tombés. Tous nos hommes ont l'art d'attaquer et de prendre, Mais nos femmes n'ont pas celui de se défendre."")",,1.0,Insertion
464,"('#colombine', 'Mais nous voyons de graves Magistrats, Des Abbés réservés...')","('#elise', 'Ah, Colombine !  Bouchons nos oreilles.')",1.72,Substitution
465,"('#arlequin', ""Ne vous y fiez pas, Tel qu'on voit en public faire le bon apôtre, Sous deux doigts de verrouil, est homme comme un autre. La différence enfin du rabat au plumet, Se réduit à ceci : l'un dit plus qu'il ne fait, L'autre en ses actions tout rempli de mystère, Sait chercher son plaisir, en jouir et se taire. Mais qui vient nous troubler en ce doux entretien ? Examinons si c'est ou quelque chose, ou rien. Vous fuyez mes transports, en Amante discrète ? Allez, j'irai bientôt être leur interprète."")","('#colombine', ""Tout doux, Monsieur_Calmar, nous ne sommes pas ici à l'Audience.  Vous oubliez que vous êtes un Petit-maître, et vous déshonorez votre habit."")",0.6,Substitution
466,"('#arlequin', ""Quelle révérence !  Encore...  Ouf.  Je n'y saurais durer."")",,1.0,Insertion
467,"('#monsieur-de-geresol', 'Je ne sais, Monsieur, si vous nous connaissez.')",,1.0,Insertion
468,"('#arlequin', ""Non, et je n'en ai même aucune envie."")",,1.0,Insertion
469,"('#monsieur-de-geresol', 'Nous venons vous assurer de nos respects.')",,1.0,Insertion
470,"('#monsieur-de-la-cabriole', ""Nous n'avons pas voulu manquer cette occasion de vous faire la révérence."")",,1.0,Insertion
471,"('#arlequin', 'En voilà déjà plus de quinze de faites.')",,1.0,Insertion
472,"('#monsieur-de-geresol', ""Vous voyez, Monsieur, dans Monsieur de la Cabriole, les meilleurs pieds, et la plus belle jambe du monde.  C'est le héros des chaconnes et des rigodons."")",,1.0,Insertion
473,"('#monsieur-de-la-cabriole', ""Monsieur de Geresol est de mes amis, il me flatte ; mais il parlerait plus sincèrement, s'il vous disait qu'il est le Lulli de Quatre-vingt-seize."")",,1.0,Insertion
474,"('#arlequin', 'À vous la balle, Monsieur.')",,1.0,Insertion
475,"('#monsieur-de-geresol', 'Monsieur de la Cabriole est le Coryphée des Danseurs.')",,1.0,Insertion
476,"('#monsieur-de-la-cabriole', 'Monsieur de Geresol est la fleur, et la crème des musiciens.')","('#calmar', ""Que veux-tu, ma pauvre Colombine ?  C'est l'amour qui me fait parler.  Mais, au reste, Mademoiselle, je vous ai préparé un concert le plus agréable du monde."")",1.23,Substitution
477,"('#arlequin', 'Hé bien, monsieur le Coryphée, et vous monsieur la Crème, que voulez-vous ?')",,1.0,Insertion
478,"('#monsieur-de-geresol', 'Vous faire une proposition que vous ne pouvez refuser ?')",,1.0,Insertion
479,"('#monsieur-de-la-cabriole', ""Vous donner des moyens assurés de joindre l'agréable à l'utile."")",,1.0,Insertion
480,"('#arlequin', 'Promesses de Musicien !')","('#elise', 'À propos.  Et bien de quoi sera-t-il composé votre concert ?  Y aura-t-il des voix et des instruments ?')",1.17,Substitution
481,"('#monsieur-de-geresol', 'Dites un mot, et nous vous faisons trente mille livres de rente.')",,1.0,Insertion
482,"('#monsieur-de-la-cabriole', 'Vous vous enrichissez sans appauvrir personne.')",,1.0,Insertion
483,"('#arlequin', ""Ce n'est guères la manière de ce temps-ci.  Mais enfin ?"")","('#calmar', 'Vous serez dans peu éclaircie là-dessus, et je veux vous donner de surcroît le plaisir de la surprise ?')",1.21,Substitution
484,"('#monsieur-de-la-cabriole', 'Mais enfin, si vous voulez nous croire, vous ferez dans votre nouvelle Ville, une Académie de Danse et de Musique.')",,1.0,Insertion
485,"('#monsieur-de-geresol', ""Il n'y a pas de divertissement plus agréable au public, ni plus utile aux particuliers."")",,1.0,Insertion
486,"('#arlequin', ""Il est vrai que personne ne se plaint de l'Opéra, et que tout le monde y trouve son compte."")",,1.0,Insertion
487,"('#monsieur-de-la-cabriole', ""Son compte !  Et sans l'Opéra que deviendraient les bons airs, les pieds bien tournés, les visages plâtrés, et les jolis gosiers ?"")",,1.0,Insertion
488,"('#arlequin', ""Il est vrai.  Sans l'Opéra comment subsisteraient tant d'honnêtes fainéants ?  Que deviendraient tant de beautés, qui tirent tout leur mérite de l'Orchestre ?"")",,1.0,Insertion
489,"('#monsieur-de-la-cabriole', ""L'Opéra est un trésor inépuisable dont on ne voit jamais le fonds."")",,1.0,Insertion
490,"('#monsieur-de-geresol', ""C'est un abyme, un labyrinthe de ressources qu'on ne connaît qu'à mesure qu'on les creuse."")",,1.0,Insertion
491,"('#monsieur-de-la-cabriole', ""Tout y rapporte son revenu jusqu'aux rides d'une Coquette surannée."")",,1.0,Insertion
492,"('#monsieur-de-geresol', ""C'est une terre où on sème des sons et des gambades pour recueillir des pistoles."")",,1.0,Insertion
493,"('#arlequin', 'Mais encore, sur quoi assignez-vous les trente milles pistoles de rente que vous proposez ?')",,1.0,Insertion
494,"('#monsieur-de-la-cabriole', 'Sur la souplesse de mon jarret. Il saute.')","('#colombine', 'La surprise en effet sera le meilleur de la fête. Mais voilà Jeanneton la bouquetière des Tuileries.  En attendant, arrêtons-nous à elle.')",1.34,Substitution
495,"('#monsieur-de-geresol', 'Sur la douceur de mon gosier. Il fredonne.')",,1.0,Insertion
496,"('#monsieur-de-la-cabriole', ""Sur la fraîcheur d'Oriane."")",,1.0,Insertion
497,"('#monsieur-de-geresol', 'Sur les petites façons de Corisande.')",,1.0,Insertion
498,"('#monsieur-de-la-cabriole', 'Sur les Minauderies des Chanteuses.')","('#jeanneton', 'À moi, femmes et fillettes,  Prenez mes bouquets.  Ces fleurs cachent des fleurettes,  Et ces bouquets aux poulettes  Portent souvent des poulets. Des fleurs, des bouquets, Mesdames. Elle chante.')",0.59,Substitution
499,"('#monsieur-de-geresol', 'Sur le blanc et le rouge des Danseuses.')",,1.0,Insertion
500,"('#arlequin', ""Sur les brouillards de la rivière de Seine, et sur la constance de l'amour.  Je ne vois point mes sûretés là-dedans, et il me semble qu'une Chacone, et une Sarabande ne sont pas des Marchandises de bon débit."")","('#colombine', 'Fort bien. Mais, Jeanneton, approche et montre-nous  Tous ces poulets, ces billets doux.  Emportes-tu beaucoup ? Montre donc, je te prie.')",1.39,Substitution
501,"('#monsieur-de-la-cabriole', ""Hé, morbleu, si vous êtes si délicat, tant pis pour vous ; mais sachez qu'aujourd'hui dans le commerce, les meilleures Lettres de Change sont celles qu'on tire sur l'Opéra."")",,1.0,Insertion
502,"('#monsieur-de-geresol', ""Et qu'un créancier remet toujours le tiers de la dette, pour une rescription sur la Caisse de l'Académie Royale de Danse et de Musique."")",,1.0,Insertion
503,"('#arlequin', ""Je le crois.  Mais je ne suis point tenté ; je ne veux dans la ville que je bâtis, ni Musiciens, ni Danseurs, il n'y aura que des gens sobres."")",,1.0,Insertion
504,"('#monsieur-de-la-cabriole', ""Ma foi, Monsieur le petit fondateur, nous y perdrons beaucoup !  La menace est terrible, mais l'Opéra de Lyon nous tend les bras."")",,1.0,Insertion
505,"('#monsieur-de-geresol', ""En tous cas, il ne tiendra qu'à nous d'assister au rétablissement de celui de Rouen."")",,1.0,Insertion
