,donneau-de-vise-amours-du-soleil,dorneval-jugement-de-paris,Cost,Operation Type
207,"('#theaspe', 'Quand je la regardais, elle baissait les siens,  Et ses regards craignaient de rencontrer les miens. ')",,1.0,Insertion
208,"('#la-princesse', 'Cette crainte marquait une âme un peu blessée. ')",,1.0,Insertion
209,"('#theaspe', ""Ah j'étais satisfait qu'elle sut ma pensée ;  Et comme je n'avais alors aucuns Rivaux,  Je croyais que le temps ferait finir mes maux.  J'étais entre la crainte et l'espoir, quand son père,  Qui de tous ses secrets me fait dépositaire,  M'a fait voir avec elle un Rival plein d'amour  Qui paraissait brillant comme le Dieu du Jour :  D'un mouvement jaloux l'âme d'abord saisie,  Mes transports ont fait voir beaucoup de jalousie ;  Alors son père a cru dans sa vive douleur,  Que pour ses intérêts j'avais tant de chaleur. "")","('#jupiter', 'Mais, mais, il a raison.')",1.61,Substitution
210,"('#la-princesse', ""Qu'est devenu l'Amant ? "")",,1.0,Insertion
211,"('#theaspe', ""Sans se laisser connaître,  D'abord qu'il nous a vus, il a su disparaître ;  L'Amante a fait de même, et fuyant promptement,  Elle s'est dérobée au premier mouvement  D'un père dont l'humeur est barbare et cruelle,  Et qui n'eut pas manqué de s'emporter contre elle.  Alors, quoiqu'irrité, j'ai craint que son courroux  Ne devint trop funeste à des charmes si doux,  Et je l'ai conjuré d'arrêter sa colère,  Et de me laisser seul éclaircir ce mystère,  Parce que je croyais pouvoir adroitement  Savoir de cet objet le nom de son Amant,  Et j'espérais enfin avec ce stratagème  Servir et mon amour, et la Beauté que j'aime.  Je la venais chercher, lorsqu'on m'a découvert  Toute la vérité d'un secret qui me perd,  Et qu'on m'a fait savoir qu'un Dieu tout plein de charmes  Est le Rival qui causait mes alarmes.  Je ne sais que résoudre en un si grand malheur,  Le père est délicat sur le fait de l'honneur ;  Dans la punition il sera trop barbare,  Il n'écoutera point une Beauté si rare,  Et sans considérer qu'elle aime un Immortel,  Il trouvera toujours son amour criminel :  Mais d'un autre côté si je cache leur flamme,  Que de cruels chagrins déchireront mon âme !  Loin de me soulager, j'augmenterai mon mal,  Et ne travaillerai qu'à servir mon Rival. Dans un tel embarras, que résoudre et que faire ! "")",,1.0,Insertion
212,"('#la-princesse', 'Ah, Seigneur, gardez-vous de le dire à mon père. ')","('#venus', ""L'Enfant dit vrai."")",1.35,Substitution
213,"('#theaspe', ""Mon respect jusqu'ici m'avait fait vous cacher  Que vos divins appas avaient su me toucher ;  Et si vous ne veniez vous-même de le dire,  Ma bouche n'eut jamais osé vous en instruire. "")",,1.0,Insertion
214,"('#la-princesse', ""Je dois louer beaucoup votre discrétion :  Mais pour m'assurer mieux de votre passion,  Seigneur, encore un coup, empêchez que mon père  Ne découvre l'amour du Dieu de la Lumière. "")",,1.0,Insertion
215,"('#theaspe', 'Mais je dois réponse. ')",,1.0,Insertion
216,"('#la-princesse', 'Ah soyez généreux. ')",,1.0,Insertion
217,"('#theaspe', ""Mais pour l'être, faut-il que je sois malheureux ? "")",,1.0,Insertion
218,"('#la-princesse', 'Quoi, comptez-vous pour rien le bonheur de me plaire ? ')",,1.0,Insertion
219,"('#theaspe', 'Puisque vous le voulez... Mais las ! Que vais-je faire ?  Quoi ? Servir mon rival. ')",,1.0,Insertion
220,"('#la-princesse', ""Ah vous aimez donc mieux  M'exposer au courroux d'un père furieux. "")",,1.0,Insertion
221,"('#theaspe', ""De cette lâcheté me croyez-vous capable ?  Non, non, j'aime mieux être à jamais misérable,  Et sans aucun espoir adorer vos appas.  Mais Mercure paraît. "")","('#l-amour', ""Sans moi, que deviendraient la Villette, Passy, les Bois de Boulogne et de Vincennes, Charenton, la Râpée, etc.  Ces doux asiles des époux mal-assortis, ces correctifs de la nonchalance des maris deviendraient d'affreux déserts."")",0.96,Substitution
222,"('#la-princesse', 'Je vois aussi Pallas. ')",,1.0,Insertion
223,"('#pallas', ""Princesse, nous venons te dire,  Que si tu ne cesses d'aimer  Le grand Dieu qui pour toi soupire,  Et dont l'éclat a trop su te charmer,  Tu seras exposée à des peines cruelles,  Et qui seront même éternelles :  Mais ce n'est pas assez que d'étouffer l'amour  Qui te doit causer tant de peines,  Il faut qu'après avoir brisé tes chaînes,  Tu ne parles jamais au jeune Dieu du Jour. "")","('#jupiter', 'Tout cela est le mieux du monde, mon enfant ; mais fais quelque chose pour Thétis et Pelée.')",1.0,Substitution
224,"('#mercure', ""La déesse de la Prudence  Te vient te donner des avis  Qui dès ce jour doivent être suivis,  Si tu ne veux du Ciel éprouver la vengeance.  Pour te les confirmer, le grand maître des Dieux  M'a fait exprès sortir des Cieux.  Ils s'en retournent par un vol croisé."")",,1.0,Insertion
225,"('#theaspe', 'Hé bien, Princesse, enfin que prétendez-vous faire ?  Apollon pourra-t-il encor longtemps vous plaire ? ')",,1.0,Insertion
226,"('#la-princesse', ""Quel cruel embarras ! C'est le plus beau des Dieux,  Il sait toucher les coeurs aussi bien que les yeux. "")",,1.0,Insertion
227,"('#theaspe', 'Mais... ')",,1.0,Insertion
228,"('#la-princesse', ""Mais n'espérez pas, quand le Ciel me menace,  Pouvoir de ce grand Dieu remplir jamais la place. "")",,1.0,Insertion
229,"('#theaspe', ""Vous l'aimerez toujours ce cher amant ? "")",,1.0,Insertion
230,"('#la-princesse', ""Hélas !  Quand je vois son amour, puis-je ne l'aimer pas ? "")",,1.0,Insertion
231,"('#theaspe', 'Songez... ')",,1.0,Insertion
232,"('#la-princesse', 'Tout me fait peur ; mon âme inquiétée  De divers mouvements est assez agitée.')",,1.0,Insertion
233,"('#theaspe', 'Si votre coeur encor... ')",,1.0,Insertion
234,"('#la-princesse', ""En un trouble pareil,  Du Rival d'Apollon je ne prends point conseil. "")","('#l-amour', ""Soit : Mais, ce sera sans tirer à conséquence. Jupiter, pour mieux accorder l'Hymen et l'Amour les fait boire ensemble. Ensuite il dit :"")",0.88,Substitution
235,"('#venus', ""Oui, cette passion lui doit être fatale,  Et vous devez enfin perdre votre Rivale,  Ou l'obliger du moins à ne jamais revoir  Un Dieu qui de vos yeux a connu le pouvoir.  Apollon qui conserve encore dans son âme  Des restes mal éteints de sa première flamme,  Viendra peut-être alors, par un heureux retour,  Vous rapporter un coeur brûlant pour vous d'amour ;  Et s'il ne le fait pas, votre flamme outragée  Triomphera du moins, en se voyant vengée."")",,1.0,Insertion
236,"('#clitie', ""Ah ! L'on ne peut jamais goûter tranquillement  L'indigne et faux plaisir d'outrager un Amant.  Tant que je n'aurai point mérité sa colère  Par des emportements qui pourraient lui déplaire,  J'espérerai toujours de voir un jour son coeur  Brûler encor pour moi de sa première ardeur :  Mais dès que j'aurai fait éclater ma vengeance,  Je ne devrai jamais conserver d'espérance. "")","('#jupiter', ""Voilà qui est bien.  Dansons présentement. Les Divinités subalternes commencent a danser ; mais leur danse est tout-à-coup interrompue par un grand bruit qu'on entend dessous le théâtre. Il s'ouvre un abîme, d'où il s'élève une épaisse vapeur."")",1.23,Substitution
237,"('#venus', ""Qui s'emporte, se plaint, et perd ce qui lui nuit,  Travaille bien souvent avecque plus de fruit.  Ces transports pleins d'amour, ces haines obligeantes,  Marquent beaucoup d'amour, et sont plus convaincantes  Que toute la douceur et la tranquillité  D'un coeur qui souffre tout sans paraître agité,  Et n'osant jamais repousser une injure,  Souffre patiemment les mépris d'un parjure. "")","('#jupiter', ""Que signifie donc cette vapeur-là ?  Qui diable fait un si grand sabat ? Ah, morbleu !  C'est cette vilaine Discorde ! Voila bien du rabat-joie.  Jarni ! Apercevant la Discorde qui sort de l'abîme. Tapant du pied."")",0.86,Substitution
238,"('#clitie', ""Ah j'aime mieux devoir le retour d'un Amant  À son amour tout seul, qu'à mon emportement. "")",,1.0,Insertion
239,"('#venus', ""Vous avez dans vos feux trop de délicatesse ;  Mais craignez qu'Apollon ne quitte la Princesse,  Et que vous soupçonnant de l'aimer faiblement,  Ce Dieu ne veuille plus vous servir en Amant. "")","('#la-discorde', ""Ah !  Ha !  Je vous y atrape !  Dianche !  Comme vo z'y âllez !  Hé, d'où vient donc que vous né m'avez pas priée de la noche ?"")",1.23,Substitution
240,"('#clitie', ""Apollon qui connaît la grandeur de ma flamme,  Sait que je ne suis pas tranquille au fond de l'âme.  Les conseils de Vénus ont leurs motifs secrets,  Et lorsqu'elle paraît prendre mes intérêts,  Elle sert son courroux, et prétend que je serve  La haine qu'en secret on sait qu'elle conserve  Pour le Dieu des saisons, dont les perçants regards  Découvrirent ses feux avecque le Dieu Mars :  Mais je risquerais trop, en servant sa colère,  Et j'ai pris un dessein à ses avis contraire.  Tu vas me condamner, Nérice ; mais hélas !  Pour servir son amour, que ne ferait-on pas ?  Je veux qu'à l'avenir qu'avecque la Princesse  Une étroite amitié... Tu blâmes ma faiblesse. "")",,1.0,Insertion
241,"('#nerice', 'Vous avez vos raisons. ')","('#mercure', 'On a grand tort, assurément.')",1.1,Substitution
242,"('#clitie', ""Un coeur vraiment charmé  Doit se servir de tout pour voir l'objet aimé.  Ne pouvant autrement voir le grand Dieu que j'aime,  Je le verrai par là chez ma Rivale même ;  Sous des prétextes faux j'irai souvent la voir. "")",,1.0,Insertion
243,"('#nerice', ""Cette Princesse aussi peut s'en apercevoir ;  Mais...  En lui montrant la Princesse."")",,1.0,Insertion
244,"('#clitie', ""Ah je n'y suis pas encor bien résolue.  Et toujours mon dépit se réveille à ma vue.  Conseille-moi.  Clitie et Nérice se parlent bas."")","('#jupiter', ""Peste de Normande, ta présence m'afflige.  Va-t-en au Diable."")",1.03,Substitution
245,"('#la-princesse', ""Palmis, le conseil en est pris.  Quoique de ses appas il ne soit plus épris,  Sa froideur ne va point jusqu'à l'indifférence ;  Et s'il ne la peut voir jamais qu'en ma présence,  Et que notre amitié produise ces effets,  Je ne devrai pas craindre alors tant que je fais. "")","('#la-discorde', 'Hé !  Vas y tey-même, grand Chenapan.')",1.46,Substitution
246,"('#palmis', 'Je la vois. ')",,1.0,Insertion
247,"('#clitie', ""Je veux donc lui parler la première.  Hé bien, avez-vous vu le Dieu de la Lumière,  Princesse, et sait-il bien à quel point vous l'aimez ?  À la Princesse."")",,1.0,Insertion
248,"('#la-princesse', ""Oui, Nymphe ; mais enfin puisque vous l'estimez,  Et puisque ce grand Dieu vous estime de même,  Et que vous savez bien qu'il m'aime, et que je l'aime,  Lions-nous d'amitié toutes deux aujourd'hui,  Pour avoir le plaisir de nous parler de lui.  N'y consentez-vous pas ? "")","('#jupiter', ""Morguienne de vous. Quell' femme, quell' femme, Morguienne de vous, Quell' femme êtes vous. Refrain de l'AIR 72 : Morguienne de vous."")",0.86,Substitution
249,"('#clitie', 'Je le veux bien, Princesse ;  Ensemble nous pourrons parler de lui sans cesse. ')",,1.0,Insertion
250,"('#la-princesse', ""Nymphe, votre partage est meilleur que le mien ;  Quand on est estimée, on ne doit craindre rien,  Le temps détruit l'amour, et nous ne voyons guère  Qu'on plaise encor alors qu'on n'a plus de quoi plaire.  L'amour ne vieillit point, et pour être inconstants,  La plupart des Amants n'attendent pas ce temps ;  Quelque ardeur qu'on nous montre, au temps elle est sujette,  Et rien ne dure tant qu'une estime parfaite.  Si j'étais sûre encor qu'en cessant de m'aimer,  Apollon prit plaisir à me bien estimer,  Que j'eusse même rang que vous dedans son âme,  Je me consolerais de voir finir sa flamme. "")","('#la-discorde', ""Demandez à ces deux Normands Combien j'ai fait d'amants J'aurais été de trop ichit, apparemment.  No valons pourtant bien toutes ces Pinbéches-là. Air 8 : Je reviendrai demain au soir. Bis."")",0.72,Substitution
251,"('#clitie', ""Quoi, lorsque d'Apollon vous possédez le coeur,  Que l'éclat de vos yeux cause tout mon malheur,  Qu'il me quitte pour vous, et n'en n'aime point d'autre,  Mon partage est meilleur, dites-vous, que le vôtre ? "")","('#un-des-normands', ""Donn' z'au Guiéble, tout notre pais En va pour ses attraits. Bis."")",0.99,Substitution
252,"('#la-princesse', ""Je ne le croirais pas, si le grand Dieu du Jour  Devait brûler pour moi d'une éternelle amour. "")",,1.0,Insertion
253,"('#clitie', 'Devez-vous en douter avecque tant de charmes,  Et devez-vous avoir de si grandes alarmes ? ')",,1.0,Insertion
254,"('#la-princesse', ""Si j'ai quelque appas, d'autres n'en ont pas moins,  Et l'on aime les Dieux sans qu'ils rendent de soins :  C'est ce qui fait souvent qu'on en voit d'infidèles,  Et c'est pourquoi leurs coeurs vont de Belles en Belles. "")",,1.0,Insertion
255,"('#clitie', ""Ainsi vous croyez donc que quelque autre Beauté  Vous ravira le coeur que vous m'avez ôté ? "")",,1.0,Insertion
256,"('#la-princesse', ""Nous devons empêcher que ce malheur n'arrive,  Et que quelque autre objet toutes deux ne nous prive,  Vous d'une estime forte, et moi de son amour,  Et ne s'empare enfin de son coeur quelque jour :  Comme mes intérêts je veux prendre les vôtres,  Peut-être qu'Apollon en pourrait aimer d'autres  Qui ne les prendraient pas. "")",,1.0,Insertion
257,"('#clitie', ""Je dois peu m'étonner  De l'amour qu'à ce Dieu vous avez su donner,  Puisque par un effet de bonté sans égale  Vous savez attirer le coeur d'une Rivale,  Qui devrait vous haïr, et faire contre vous  Éclater justement sa haine et son courroux :  Mais puisqu'enfin le Dieu pour qui mon coeur soupire  Devait d'un autre objet reconnaître l'empire,  Princesse, j'aime mieux qu'il vous rende des soins,  Qu'à d'autres qui pourraient les mériter bien moins. "")","('#la-discorde', ""Domfront reconnoît ma puissance, Ainsi que Valogne et Guibray ; L'on m'adore à Vire, à Coutance, Tout Caen ne jure que par mey. Air 6 : Menuet de M. de Grandval."")",0.65,Substitution
258,"('#la-princesse', 'Puisque vous me montrer une amitié sincère,  Apprenez-moi par où vous avez su lui plaire. ')",,1.0,Insertion
259,"('#clitie', ""Je n'aimais qu'Apollon, le Dieu ne m'était rien ;  Et s'il toucha mon coeur, par là je pris le sien. "")","('#un-des-normands', 'Oh ! Vére, mâ fey.')",1.72,Substitution
260,"('#la-princesse', 'Mais encor... ')","('#jupiter', 'Plaisante puissance.')",1.34,Substitution
261,"('#clitie', ""Vous avez des charmes qu'on admire ;  Et pour plaire beaucoup, cela vous doit suffire. "")","('#le-normand', ""All est aussi pissante que vo, si pus n'est."")",1.24,Substitution
262,"('#la-princesse', ""Quand on a des appas, on plaît facilement :  Mais il faut plus pour bien attacher un Amant,  Et souvent par l'esprit, l'air, l'humeur, les manières... "")",,1.0,Insertion
263,"('#clitie', ""Je ne puis là-dessus vous donner de lumières.  Mais je vois Apollon, suivons partout ses pas.  Sachez qu'on plaît toujours, quand on a des appas :  Mais puisque ce moyen ne peut vous satisfaire,  Je vous laisse chercher d'autres secrets de plaire.  Bas à Nérice. À la Princesse."")",,1.0,Insertion
264,"('#la-princesse', ""Apollon est toujours le maître de son coeur,  Et je crois qu'elle cherche à troubler notre ardeur ;  Elle aura ce plaisir plutôt qu'elle ne pense,  Avec elle le Ciel paraît d'intelligence. Des avis de tantôt je ne sais que penser,  Tous les Dieux irrités la veulent traverser,  Et j'ai de mon malheur tant de tristes présages...  Quelles Divinités brillent dans ces nuages ?  Viennent-elles encor augmenter mes ennuis,  Ou me tirer enfin des troubles où je suis ?  Je crains tout, et ne sais que penser.  Le Ciel s'ouvre, et l'on voit de tous côtés paraître de gros nuages, sur lesquelles on voit trois femmes : dont l'éclat éblouit ; et la Princesse poursuit, pendant qu'ils s'avancent jusqu'au milieu du théâtre. "")","('#la-discorde', ""Vére, Guieume dânne !  Pat la sang-Guiêble !  Il me prend envie de vo galvauder tretons, et de jeter par les fernêtres les Dieux, les Diesses ry les violons z'aussi."")",0.75,Substitution
265,"('#palmis', ""Mais, Madame,  Lorsque pour les mortels les Dieux ont de la flamme,  Leur amour cause-t-il toujours tant d'embarras ?  Pour moi, j'aimerais mieux qu'un Dieu ne m'aimât pas. "")","('#junon', ""Ma Comète, ne te fâche point.  Si nous ne t'avons pas mise de la partie, ce n'a point été par mépris.  Tu sais que je t'ai toujours aimée."")",0.74,Substitution
266,"('#personne-1', ""Princesse, nous venons vous dire  Que tantôt Mercure et Pallas  N'avaient pas dessein de vous nuire,  Par leurs conseils que vous ne suivez pas :  Et que si votre âme incertaine  Balance encor à suivre des avis,  Que vous devriez avoir déjà suivis,  Le Ciel vous fera voir des effets de sa haine. "")",,1.0,Insertion
267,"('#personne-2', ""Vous devez renvoyer Apollon dans les Cieux,  Et ne prétendre plus à l'honneur de lui plaire ;  Ou bientôt contre vous les Dieux  Feront éclater leur colère. "")",,1.0,Insertion
268,"('#personne-3', 'Reconnaissez quelles sont les bontés  De trois grandes Divinités  Qui viennent ici pour vous dire  Les secrets du céleste Empire. ')","('#venus', ""On nous a dit que tu avais affaire aujourd'hui."")",1.65,Substitution
269,"('#la-princesse', ""Quelles Divinités sont-ce donc que je vois,  Dont la tendre pitié s'intéresse pour moi ? "")",,1.0,Insertion
270,"('#personne-1', ""Ne cherchez point à nous connaître,  Aux yeux de votre Amant nous craignons de paraître  Nous vous servirons mieux, en nous cachant ainsi,  Et nous ne voulons pas qu'il nous découvre ici. "")",,1.0,Insertion
271,"('#personne-2', ""Suivez donc nos avis fidèles,  Que votre coeur s'y rende sans combats,  Ou redoutez des peines bien cruelles. "")","('#la-discorde', ""Cela est vrai.  On a besoin de mey dans l'Université de Paris, où l'on va procéder ; à sélection d'un Recteur : mais, item, il fallait tréjours me semoncer de lâ noche."")",1.14,Substitution
272,"('#personne-1', ""Si nous n'étions pas immortelles,  Ces nuages ainsi ne nous soutiendraient pas.  Tous les nuages se retirent."")","('#junon', ""Tu n'aurais rien perdu pour cela, mon enfant, nous t'aurons gardé une part de gâteau."")",1.45,Substitution
273,"('#la-princesse', ""Est-ce une illusion ? Je me sens toute émue.  Mais quels affreux objets viennent frapper ma vue ?  Le théâtre paraît encor rempli de trois Furies, avec leurs habillements ordinaires, et des flambeaux à la main ; ce qui cause une grande surprise, parce qu'on ne les voit pas venir. La Princesse poursuit. "")",,1.0,Insertion
274,"('#furie-1', ""Arrêtez de la part du grand Maître des Dieux,  Et louez ses bontés extrêmes,  En apprenant par nous, que ceux qui dans ces lieux  Viennent de paraître à vos yeux,  Étaient fantômes vains animés par nous-mêmes,  Par l'ordre exprès d'une Divinité :  Mais son ordre à présent étant exécuté,  Nous venons vous instruire  De ce que contre vous  Nous avons fait pour servir son courroux ;  Et Jupiter encor nous force de vous dire  Que celle qui tantôt semblait exprès des Cieux,  Pour vous donner des conseils, descendue dans ces lieux,  Sous l'habit de Pallas, étaient la Jalousie ;  Et qu'en même temps l'Envie  Sous celui de Mercure a su tromper vos yeux.  Encor qu'un Dieu n'ait pas le pouvoir de défaire  Ce que son pareil a fait,  Il peut donner avis, et détourner l'effet  Du mal qu'un autre Dieu veut faire.  Depuis longtemps en Terre, et dans les Cieux,  Les Dieux prennent parti contre les autres Dieux :  Et le Souverain du Tonnerre  Voyant que vous aimez son Fils,  Saura punir vos ennemis,  Soit dans le Ciel, ou sur la Terre.  Il vous serait honteux de porter d'autres fers ;  Aimez toujours ce Dieu, méprisez tous les hommes...  Adieu, vous voyez qui nous sommes,  Puisque nous rentrons aux Enfers.  Elles tombent aux Enfers."")","('#la-discorde', ""Ah !  Que vo z'êtes de braves femmes !  Tenez par reconnaissance via un petit présent que je vo fais."")",1.24,Substitution
275,"('#la-princesse', ""Dans un malheur si grand, ah ! Palmis, que ferai-je ?  Du Ciel, ou de l'Enfer, auquel enfin croirai-je ?  Peut-être, que le Ciel qui condamne mon feu,  Veut se venger de moi, d'oser aimer un Dieu,  Et par de tels avis veut rassurer mon âme,  Pour mieux punir après ma téméraire flamme.  Ainsi j'ai des ennuis que je ne puis bannir,  Ainsi mon trouble croît lorsqu'il devrait finir,  Et les maux où le Ciel par ses avis me plonge,  Me font voir des effets de tout ce que je songe.  Allons, Palmis, allons dans l'antre du Sommeil. "")",,1.0,Insertion
276,"('#palmis', 'Apollon vient. ')","('#venus', 'Voyons, voyons.')",0.99,Substitution
277,"('#la-princesse', 'Hélas ! Mon trouble est sans pareil. ')",,1.0,Insertion
278,"('#apollon', ""Je viens de tout savoir par l'ordre de mon père ;  Il est pour nous. "")",,1.0,Insertion
279,"('#la-princesse', ""Oui, mais Vénus nous est contraire,  Ses charmes tout-puissants captivent bien des Dieux,  Et par là son pouvoir est grand dedans les Cieux :  Une Belle peut tout avec tant de charmes ;  Pour me nuire, l'Enfer lui prêtera des armes,  Et je ne pourrai pas aisément démêler,  D'elle, ou de Jupiter, qui me fera parler.  Je respecterai ceux qui voudront me détruire,  Je suivrai les conseils de qui me voudra nuire,  Et dans le même temps je rejetterai ceux  Que me fera donner le Monarque des Dieux.  Que n'ai-je encor mon coeur ! Je serais moins à plaindre,  Du Ciel et de l'Enfer je n'aurais rien à craindre ;  Rendez-le moi ce coeur, et cessez de m'aimer. "")","('#la-discorde', ""C'est une poume de Vire z'en Normandie. Que Junon, Pallas et Venus se la disputent. Elle prend la pomme des mains du Normand. "")",1.45,Substitution
280,"('#apollon', ""Ah cessez donc, Princesse, aussi de me charmer ;  Mais vous ne le pouvez, mon amour est extrême,  Et je vous aimerai toujours malgré vous-même ;  On me verra malgré l'Enfer, et tous les Dieux,  Reconnaître toujours le pouvoir de vos yeux ;  Et je vous aimerais encor malgré mon Père,  Quand ce Maître des Dieux me deviendrait contraire ;  Les obstacles feront redoubler mon ardeur,  Et vous ferez toujours maîtresse de mon coeur :  Mais sans vous alarmer, Princesse, l'un et l'autre,  Gardez toujours le mien, et me laissez le vôtre. "")","('#junon', ""Ah ! donne-la moi, ma mignonne. Avec quel plaisir je la vois 1 Air 4 : Comme un Coucou que l'amour presse."")",1.09,Substitution
281,"('#la-princesse', ""Quand on s'est pu résoudre à faire don d'un coeur,  Et qu'on le redemande après à son vainqueur,  C'est lui faire paraître une amour assez tendre ;  On ne demande point un coeur qu'on peut reprendre.  Que vois-je ? "")","('#la-discorde', ""Non, s'il vo pglaît, je ne la donne Qu'à la plus belle de vo trois."")",0.65,Substitution
282,"('#la-discorde', ""C'est Junon, c'est la Reine des Cieux,  Que tu vois paraître en ces lieux,  Et qui vient elle-même  Te détromper de ton erreur extrême,  Et t'avertir que son Époux  Dont tu dois craindre le courroux,  N'a jamais approuvé ta flamme ;  Et que ceux qui t'ont dit de conserver l'amour  Qu'a fait naître dedans ton âme  Le Dieu qui dispense le jour,  Feignaient d'approuver ta tendresse,  Pour te perdre avec plus d'adresse,  Et n'étaient point envoyés en ces lieux  Par le grand Monarque des Dieux.  Comme on pourrait encor te faire entendre  Que de la Déesse Junon  J'emprunte et la forme et le nom,  Et que je cherche à te surprendre,  J'ai bien voulu, pour t'ôter tout soupçon,  Te parler devant Apollon,  Qui sait bien qui je suis, et pourra te l'apprendre. "")","('#les-trois-deesses', ""C'est donc pour moi, c'est donc pour moi."")",1.91,Substitution
283,"('#apollon', ""Ah ne la croyez pas, ce n'est point là Junon,  Princesse, et l'on vous veut abuser sous ce nom. "")","('#la-discorde', ""Tenez, vieux Grigou.  C'est en vos mains que je lâ remets, pour en faire l'adjudication comme adviserez bon être."")",1.22,Substitution
284,"('#la-discorde', 'Lâche fils de Latone, apprends à me connaître. ')",,1.0,Insertion
285,"('#apollon', ""Vous la Reine des Cieux ? Vous ne la pouvez être.  De toutes vos bontés faites-moi voir l'effet,  En détournant le mal qui n'est pas encor fait :  Ce que je vous demande est en votre puissance,  Grand Monarque des Dieux, dont je tiens la naissance.  En regardant le Ciel."")","('#jupiter', ""Que voulez-vous que j'en fasse, moi ?"")",1.14,Substitution
286,"('#la-princesse', ""Quel éclat !  Le Ciel s'ouvre, et Jupiter paraît."")",,1.0,Insertion
287,"('#apollon', ""Ah c'est lui, c'est le grand Jupiter. "")",,1.0,Insertion
288,"('#la-discorde', 'Fuyons, car son courroux sur moi doit éclater. ')","('#la-discorde', ""Ce qu'il vo pglaira.  Adieu.  Réjouissez-vo bien , mez'efans. Cette poume vo bâillera du tintoin, comptez là-dessus. Elle rentre dans l'abîme."")",1.09,Substitution
289,"('#jupiter', ""Arrête, toi qu'on voit sans cesse  Troubler les mortels et les Dieux,  Toi qu'on m'a vu chasser des Cieux,  Et qui viens traverser l'amour d'une Princesse,  Discorde, que Vénus fait parler sous le nom  Et sous la forme de Junon."")","('#jupiter', 'Peste de la Carogne, avec sa chienne de pomme.')",1.83,Substitution
290,"('#la-princesse', ""Au grand Maître des Dieux elle n'ose répondre. "")","('#mercure', ""Hé, pourquoi la preniez-vous ?  En vous la donnant on vous avertit qu'elle sera fatale, vous êtes assez sot pour la recevoir."")",1.5,Substitution
291,"('#jupiter', ""Voilà le coup que ta témérité  A si justement mérité,  Et par où je dois te confondre.  Le char se brise en divers morceaux qui se séparent et paraissent enflammés au milieu de l'air. Ils se perdent de plusieurs côtés, et la Discorde tombe dans une des ailes du théâtre. "")","('#jupiter', ""Oui, j'ai tort, il est vrai, j'ai tort.  Ah !  Maudite Discorde !"")",1.2,Substitution
292,"('#apollon', 'Rendons grâce, Princesse, au Souverain des Dieux. ')","('#junon', ""Ça, ça, qu'on nous donne cette pomme."")",1.63,Substitution
293,"('#la-princesse', 'Cent nuages déjà le cachent à mes yeux.')",,1.0,Insertion
294,"('#apollon', 'De Vénus à présent je crains peu la colère. ')",,1.0,Insertion
295,"('#la-princesse', ""Et moi, je crains toujours le courroux de mon père,  Votre Rival pourra lui faire tout savoir ;  On ne ménage rien, quand on est sans espoir :  Mais si vous le pouvez, laissez-moi, car je tremble,  Et n'ai point de repos quand nous sommes ensemble ;  Je crains d'être surprise encore avecque vous.  Ah ! Si vous m'aimez bien, grand Dieu, séparons-nous. "")",,1.0,Insertion
296,"('#apollon', 'Ah ! Princesse, doit-on tant craindre quand on aime ? ')",,1.0,Insertion
297,"('#la-princesse', 'La crainte bien souvent marque une amour extrême. ')",,1.0,Insertion
298,"('#apollon', ""Quoique dans ces jardins nous soyons quelquefois,  Nous ne sommes jamais dans les mêmes endroits :  Je crois qu'il serait plus aisé de nous surprendre,  Si nous venions toujours au même lieu nous rendre. "")","('#pallas', 'Ne différons point.')",1.33,Substitution
299,"('#la-princesse', ""L'éclat dont vous brillez vous découvre partout.  Adieu. "")",,1.0,Insertion
300,"('#apollon', ""Vous me quittez ! Votre coeur s'y résout ! "")","('#venus', ""C'est le plus pressé."")",1.71,Substitution
301,"('#la-princesse', ""C'est avec regret ; et lorsque je vous quitte,  Je sens que contre moi tout mon amour s'irrite ;  Il fait pour m'arrêter, des efforts superflus ;  J'aime mieux vous voir moins, que de ne vous voir plus. "")","('#jupiter', ""Hé bien, hé bien, ne voilà-t-il pas déjà le commencement du branle ?  Ah !  Que je prévois de maux à l'heure qu'il est !"")",1.35,Substitution
302,"('#apollon', ""Que de ne me voir plus ! Quand l'amour est extrême,  On ne peut s'empêcher de voir ce que l'on aime ;  L'obstacle qu'on y trouve irrite le désir,  Et fait que l'on se voit avec plus de plaisir,  Qu'avec plus de chaleur on montre sa tendresse. "")",,1.0,Insertion
303,"('#clitie', 'Voyant que vous étiez avecque la Princesse... ')","('#pallas', 'Mon Papa, dépêchez-vous. Considérez ma figure. Air 47 : Robin, turelure lure.')",1.31,Substitution
304,"('#apollon', ""Ah ne m'en parlez point, Nymphe, si vous m'aimez. "")",,1.0,Insertion
305,"('#clitie', ""Je dois bien vous aimer, puisque vous m'estimez. "")","('#junon', 'Allons, mon fils, jugez-nous.')",1.3,Substitution
306,,"('#jupiter', 'Turelure.')",1.0,Deletion
307,"('#apollon', ""J'aurai toujours pour vous une estime si grande... "")","('#venus', ""J'aurai le prix, je vous jure."")",1.17,Substitution
