,la-fontaine-daphne,la-motte-carnaval-folie,Cost,Operation Type
204,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#momus', ""Il faut qu'avec cet ornement, J'aie encor le plaisir de tromper son amant."")",0.51,Substitution
205,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
206,"('#aminte', 'Aurait-elle mieux répondu ?')",,1.0,Insertion
207,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")",,1.0,Insertion
208,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")",,1.0,Insertion
209,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#le-carnaval', ""Qu'apprendrai-je, Momus, de l'objet de mes voeux ?"")",1.01,Substitution
210,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",,1.0,Insertion
211,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#momus', ""Je viens d'en triompher sans peine, L'Amour a dans son coeur fait renaître ses feux ; Et pour éterniser sa chaîne, Elle veut que l'hymen y joigne encor ses noeuds."")",0.55,Substitution
212,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")",,1.0,Insertion
213,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
214,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
215,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")",,1.0,Insertion
216,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",,1.0,Insertion
217,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')",,1.0,Insertion
218,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")",,1.0,Insertion
219,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")",,1.0,Insertion
220,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")",,1.0,Insertion
221,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")",,1.0,Insertion
222,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",,1.0,Insertion
223,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#le-carnaval', 'Ah ! Momus, cher Momus, que tu me rends heureux !')",1.17,Substitution
224,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#momus', ""Du nouvel amour qui l'engage Elle suivra toujours la loi : Son coeur désormais moins volage, M'a juré de n'aimer que moi."")",0.8,Substitution
225,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#le-carnaval', 'Que vous ?')",1.59,Substitution
226,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")",,1.0,Insertion
227,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#momus', 'Reconnaissez ce gage de sa foi.')",1.09,Substitution
228,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")",,1.0,Insertion
229,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#le-carnaval', 'Ô Ciel ! ')",0.89,Substitution
230,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')",,1.0,Insertion
231,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')",,1.0,Insertion
232,"('#daphne', 'Il le faut.')",,1.0,Insertion
233,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#momus', ""Épargnez-vous une plainte frivole. Que le Dieu du vin vous console Du coeur d'une ingrate beauté. Que pour ce Dieu charmant votre ardeur se réveille ; Venez, courez au vin que vous avez quitté ; Vous trouverez au fond de la bouteille, Le repos et la liberté. Il sort."")",0.55,Substitution
234,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#le-carnaval', ""Le suivrai-je ?... Mais quoi ! Laisser une volage S'applaudir en repos de m'oser outrager ? Non, il faut la punir : c'est mériter l'outrage, Que de n'oser pas s'en venger. Toi, sombre et triste Hiver, Divinité puissante ; Si jamais sur tes pas j'ai conduit les Plaisirs ; Si par mes soins ton règne enchante, Plus que le règne heureux de Flore et des Zéphirs : Reconnais mes faveurs au gré de mes désirs ; Rends aujourd'hui ma vengeance éclatante. Volez, volez, rapides Aquilons, Faites sur ce Palais les effets de la foudre ; Qu'il se brise, qu'il tombe en poudre : Élevez en ces lieux d'horribles tourbillons. Que cette île devienne un séjour effroyable, Faites-y déborder les flots ; Qu'elle soit à jamais l'image épouvantable De l'horreur du premier chaos. Les vents brisent le palais."")",0.79,Substitution
235,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#la-folie', ""Mon amant dans mes fers est toujours arrêté, Au trouble de ces lieux je vois trop qu'il m'adore. Malgré le secours du Léthé, Puisqu'il se venge, il m'aime encore. Quel triomphe pour mes attraits ! Ah ! Que sa vengeance m'enchante ! L'air mugissant, l'onde grondante, Les arbres arrachés dans le sein des forêts, Les rochers renversés, et la terre tremblante, Ah ! Que ce spectacle m'enchante ! Quel triomphe pour mes attraits !"")",0.09,Substitution
236,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")","('#la-folie', ""La guerre qu'en ces lieux les vents ont déclarée, Est donc l'effet de vos transports ? En croirons-nous l'impétueux Borée ? Il jure qu'il vous sert en ravageant ces bords."")",0.94,Substitution
237,"('#leucippe', 'Achevez.')",,1.0,Insertion
238,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#le-carnaval', ""N'en doutez point ; il venge un amour qu'on outrage."")",1.14,Substitution
239,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")",,1.0,Insertion
240,"('#daphne-', ""Ne m'aimez plus."")","('#la-folie', ""Quoi ? vous m'aimez encore !"")",0.0,Match
241,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')",,1.0,Insertion
242,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')",,1.0,Insertion
243,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#le-carnaval', ""Eh ! Puis-je vous haïr ! Vainement je m'excite à la haine, à la rage : Ce coeur, ce lâche coeur ne saurait m'obéir. Bacchus me suit et Momus m'abandonne. Silène rit de mes voeux superflus ; Moi-même je m'oublie et ne n'enivre plus, Que d'un amour qui m'empoisonne."")",0.15,Substitution
244,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')",,1.0,Insertion
245,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")","('#la-folie', 'Que ces transports charment mes yeux !')",1.68,Substitution
246,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#le-carnaval', ""Faut-il ne les sentir que pour une infidèle ? Perfide, reconnais les lieux où tu m'avais promis une ardeur éternelle."")",0.54,Substitution
247,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#la-folie', ""Tu vois dans ces jardins cette eau suivre son cours, Nos soupirs s'y mêlaient au murmure de l'onde. Regarde ces sombres détours, Nos amours y croissaient dans une paix profonde : Ces arbres, ces rochers sont témoins de ta foi ; Dans ce lieu même où mon amour te blesse, Mille fois les Échos m'ont redit après toi, Je jure de t'aimer sans cesse."")",0.26,Substitution
248,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#la-folie', ""Plaignez toujours ainsi la rigueur de vos maux. Non, le sommeil n'a point de si puissants pavots. C'est vainement que mes yeux s'en défendent. Les vents m'ont ôté le repos, Vos tendres plaintes me le rendent."")",0.92,Substitution
249,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#le-carnaval', ""Ciel ! Quel est donc pour moi ce mépris obstiné ! Vous ajoutez encor l'outrage à vos parjures."")",0.46,Substitution
250,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')","('#la-folie', ""Pourquoi m'éveillez-vous ? Contraignez vos murmures, Respectez le repos que vous m'avez donné."")",1.39,Substitution
251,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#le-carnaval', ""C'en est trop, Déesse inhumaine, Craignez le désespoir où vous m'avez jeté. De mille affreux transports mon coeur est agité, Et la Rage y confond et l'Amour et la Haine."")",0.45,Substitution
252,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#la-folie', ""Est-ce donc là l'effet qu'a produit le Léthé. Ses eaux n'ont pas éteint l'ardeur qui vous possède ; Mes traits de votre coeur ne sont pas effacés. L'eau vous est un fâcheux remède, Vous n'en aurez pas pris assez."")",0.64,Substitution
253,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#le-carnaval', ""Ah ? Chaque mot accroît le courroux qui m'entraîne !"")",1.22,Substitution
254,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#la-folie', ""Il faut aux amants plus d'un jour Pour briser une aimable chaîne : Et l'oubli ne prend pas sans peine La place d'un premier amour."")",0.9,Substitution
255,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")","('#le-carnaval', ""Perfide, vous avez éprouvé le contraire. En moins d'un jour vos feux se sont éteints"")",1.53,Substitution
256,"('#leucippe', 'Mes amours sont mes dieux.')","('#momus', 'Et voilà désormais le Dieu qui sait vous plaire.')",0.82,Substitution
257,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")",,1.0,Insertion
258,"('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')","('#la-folie', 'Ciel ! Qui peut avoir mis mon sceptre dans ses mains !')",1.4,Substitution
259,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")","('#la-folie', 'Quittez cet ornement que je tiens des Destins Et par qui tout se range à mon obéissance. Quoi ! Vouliez-vous sur les humains, Usurper ma puissance ?')",0.53,Substitution
260,"('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')","('#le-carnaval', ""Eh ! N'est-ce pas de vous que Momus en ce jour  A reçu ce gage d'amour !"")",1.09,Substitution
261,"('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')","('#momus', ""Je vous ai trompé l'un et l'autre : Mais c'est assez jouir de son trouble et du vôtre. Nous n'avons plus de regrets à former, Et chacun a suivi le penchant qui l'inspire : Le vôtre était de vous aimer, Le mien était d'en rire."")",1.37,Substitution
262,"('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")","('#plutus #la-jeunesse', ""Ah ! Cruel, fuyez de ces lieux : N'êtes-vous pas content de cet affreux ravage ! Fuyez, n'offrez plus â nos yeux Un ennemi qui nous outrage."")",0.27,Substitution
263,"('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")","('#le-carnaval', ""Ah ! Pardonnez l'effet d'un transport amoureux."")",0.84,Substitution
264,"('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")","('#plutus #la-jeunesse', ""Non , non, perdez toute espérance : Allez porter ailleurs votre rage et vos voeux : Nous ne voudrons jamais, après ce trouble affreux D'une si funeste alliance."")",1.99,Substitution
265,,"('#la-folie', 'Vous ne le voulez plus ? ')",1.0,Deletion
266,"('#amour', ""Viens l'éprouver."")","('#plutus #la-jeunesse', 'Non.')",0.86,Substitution
267,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")","('#la-folie', ""Et moi je le veux, Pour couronner sa flamme Et trouver nos liens charmants, Voilà les sentiments Où j'attendais votre âme. On entend une symphonie, et JUPITER descend sur des nuages avec VÉNUS, BACCHUS et MERCURE."")",0.37,Substitution
268,"('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")","('#plutus #la-jeunesse', 'Mais, quels nouveaux concerts et quels brillants nuages ! Les Dieux de leur présence honorent ces rivages.')",0.49,Substitution
269,"('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")","('#jupiter', ""Ne combattez plus leurs désirs : Le Sort veut que l'Hymen et l'Amour les unissent ; Et qu'à ce noeud charmant, par de nouveaux plaisirs, Le Ciel et la Terre applaudissent ; Que ce jardin se change en un palais pompeux ; Qu'un trône s'élève pour eux, sQu'ils y goûtent en paix une douce victoire, Le théâtre représente le Palais du CARNAVAL."")",0.4,Substitution
270,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')",,1.0,Insertion
271,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")","('#venus', 'Volez, Amours, volez, aimables Jeux ; Venez combler nos plaisirs et leur gloire.')",0.75,Substitution
272,"('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')",,1.0,Insertion
273,"('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")","('#jupiter #venus', 'Vous, Mortels, accourez ; tout ici vous engagez À célébrer de si beaux noeuds ; Que vos plaisirs soient votre hommage, Le Sort ne les unit que pour vous rendre heureux. Troupe de différents Peuples qui viennent rendre hommage au CARNAVAL. Ils prennent de sa main des Masques, et de celle de LA FOLIE des Marottes; et reviennent masqués se placer sur des gradins.')",1.57,Substitution
274,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")","('#choeur', 'Rassemblons-nous, dansons, folâtrons, chantons tous Célébrons par nos chants une chaîne si belle, Que leur flamme soit éternelle.')",0.72,Substitution
275,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")","('#jupiter', ""J'exerce à l'avenir un pouvoir glorieux, Viens recevoir les dons des Dieux. Toi, prends part à nos Jeux. Je te promets de rire. Mais sois moins téméraire et contrains-toi pour nous. À Momus."")",1.12,Substitution
276,"('#choeur', 'Comment faire Pour se taire ?')",,1.0,Insertion
277,"('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")","('#momus', ""La Fête et leur hymen sont si dignes de vous ! Le moyen d'en médire !"")",0.82,Substitution
278,"('#le-mechant-poete', 'Quoi ! Dans ces lieux sacrés on souffre la satire !')",,1.0,Insertion
279,"('#thalie', ""Soyez les premiers à rire. Les ridicules se consolent et font une entrée, dansant tous sur les mêmes pas, et gardant toutefois, autant qu'ils peuvent, leur caractère.  Mercure, monté sur Pégase, descend au sacré vallon. Il interrompt la danse des ridicules, et vient présenter trois couronnes de laurier à ces trois genres de poésie. "")","('#momus', ""Viva, viva, sempre viva, Il Dio d'ell'allegria Deux Matassins apportent une robe couverte de masques. On la met au Carnaval, tandis que Jupiter et Vénus chantent."")",0.77,Substitution
280,,"('#jupiter #venus', 'Sùsù pigliate Quella divina veste, Quando è come vi piacera, Ogni volto si cangiera.')",1.0,Deletion
281,,"('#choeur', ""Viva, Viva, sempre viva, Il Dio d'ell'allegria."")",1.0,Deletion
282,,"('#bacchus', 'Ti corona il pampino , Sarai sempre Dio dél vino.')",1.0,Deletion
283,,"('#choeur', ""Viva, Viva, sempre viva, Il Dio d'ell'allegria."")",1.0,Deletion
284,,"('#mercure', 'Quel scettro che ti do Ti fa il Re del Joco.')",1.0,Deletion
285,"('#mercure', ""Chacun de vous doit être couronné : Recevez ces présents de la part de Daphné. Elle est maintenant déesse, Aimant le dieu de ces lieux : Poussez-en jusques aux cieux Des chants remplis d'allégresse. Mercure revole au ciel, ayant laissé Pégase sur le double mont. Quatre auteurs lyriques et autant de Muses du même genre viennent danser en témoignage de joie ; puis les ridicules se mêlent avec eux, formant de différentes figures avec des branches de laurier qu'ils portent tous, et dont ils se font des espèces de berceaux. C'est le grand ballet. "")","('#la-folie #le-choeur', ""Viva, viva, sempre viva, Il Dio d'ell'allegria. On danse."")",0.8,Substitution
286,"('#une-muse-lyrique', ""Il n'est que de s'enflammer ; Laissez, laissez-vous charmer ; La raison vous y convie : Sans le dieu qui fait aimer, Que serait-ce que la vie ? Le grand ballet recommence encore."")","('#le-carnaval', ""Folâtrez, folâtrez, rien ne doit vous contraindre. La charmante Folie est toujours de saison : Qui perd une fois la raison, N'a plus que son retour à craindre."")",0.37,Substitution
287,"('#autre-muse-lyrique', 'Chacun sert quelque désir ; Tout consiste à bien choisir ; Faites-vous de douces chaînes : En amour tout est plaisir, Et même jusques aux peines.')",,1.0,Insertion
288,"('#le-choeur', ""Aimez, doctes nourrissons : S'il n'était point d'amour, serait-il des chansons ?"")","('#la-folie #le-choeur', ""Tendres haut-bois, douces musettes, Par vos sons amoureux célébrez ce grand jour : Battez, Tambours, sonnez, Trompettes : Mars me doit son hommage aussi bien que l'Amour."")",1.01,Substitution
