,la-fontaine-daphne,quinault-isis,Cost,Operation Type
200,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#choeur-des-nymphes', ""N'aimons jamais Pour vivre en paix"")",1.34,Substitution
201,,"('#syrinx', ""Faut-il qu'en vain discours un si beau jour se passe ? Mes compagnes courons dans le fond des forêts. Voyons qui d'entre nous se sert mieux de ses traits Courons à la chasse."")",1.0,Deletion
202,,"('#double-choeurs', 'À la chasse ! Courons à la chasse, à la chasse.')",1.0,Deletion
203,"('#leucippe', 'Et mon bien ?')","('#syrinx', 'Pourquoi me suivre de si près.')",1.17,Substitution
204,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#pan', 'Pourquoi fuir qui vous aime ?')",1.03,Substitution
205,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#syrinx', ""Un amant m'embarrasse."")",1.42,Substitution
206,,"('#syrinx #choeurs', 'Courons à la chasse, à la chasse.')",1.0,Deletion
207,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#pan', ""Je ne puis vous quitter, mon coeur s'attacher à vous Par des noeuds trop forts et trop deux."")",1.65,Substitution
208,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#syrinx', ""Mes compagnes, venez... C'est en vain que j'appelle."")",1.26,Substitution
209,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")","('#pan', 'Écoutez, ingrate, écoutez  Un Dieu charmé de vos beautés; Qui vous jure un amour fidèle.')",1.22,Substitution
210,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#syrinx', ""Je déclare à l'Amour une guerre immortelle."")",1.27,Substitution
211,,"('#troupe-de-bergers', 'Cruelle, arrêtez !')",1.0,Deletion
212,"('#telamon', 'Changera-t-il son âme ?')","('#troupe-de-sylvains-et-de-satyres', 'Arrêtez cruelle.')",1.67,Substitution
213,,"('#syrinx', 'On me retient de tous côtés')",1.0,Deletion
214,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')","('#troupe-de-sylvains-et-de-satyres', 'Cruelle, arrêtez !')",1.51,Substitution
215,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#syrinx', ""Dieux, protecteurs de l'innocence,  Naïades, Nymphes des eaux. J'implore ici votre assistance. Syrinx se jette dans les eaux."")",0.8,Substitution
216,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#pan', ""Où vous exposez-vous ? Quels prodiges nouveaux La nymphe est changée en roseaux ! Hélas ! hélas ! Quel bruit ! Qu'entends-je ! Ah ! Quelle voix nouvelle ! La Nymphe tâche encor d'exprimer ses regrets. Que son murmure est doux ! Que sa plainte a d'attraits. Ne cessons point de nous plaindre avec elle. Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Le vent pénètre dans les roseaux, et leur fait former un bruit plaintif. Pan donne des roseaux aux bergers, aux satyres et aux sylvains qui en forment un concert de flûtes."")",1.1,Substitution
217,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",,1.0,Insertion
218,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')","('#pan', ""Les yeux qui m'ont charmé ne verront plus le jour Était-ce ainsi, cruelle amour, Qu'il fallait te venger d'une beauté rebelle, N'aurait-il pas suffi de t'en rendre vainqueur  Et de voir dans les fers son insensible coeur, Brûler avec le mien d'une ardeur éternelle ? Que tout ressente mes tourments."")",1.29,Substitution
219,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
220,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",,1.0,Insertion
221,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")","('#pan #deux-bergers', ""Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Argus commence à s'assoupir, Mercure déguisé en berger s'approche de lui, et achève de l'endormir en la touchant de son caducée."")",1.19,Substitution
222,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#pan', 'Que ces roseaux plaintifs soient à jamais aimés.')",0.99,Substitution
223,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")","('#mercure', ""Il suffit Argus dort, tous ses yeux sont fermés, Allons, que rien ne nous retarde Délivrons la nymphe qu'il garde."")",1.18,Substitution
224,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
225,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
226,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#mercure', ""Reconnaissez Mercure et fuyez avec nous; Éloignez-vous d'Argus, avant qu'il se réveille."")",1.12,Substitution
227,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#hierax', 'Argus avec cent yeux sommeille; Mais croyez vous endormir un amant jaloux ? Demeurez !')",1.1,Substitution
228,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",,1.0,Insertion
229,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#mercure', ""Malheureux ! d'où te vient cette audace ?"")",0.65,Substitution
230,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#hierax', ""J'ai tout perdu j'attends le trépas sans effroi. Un coup de foudre est une grâce  Pour un malheureux comme moi. Éveillez vous, Argus, éveillez-vous, vous vous laissez surprendre."")",0.93,Substitution
231,,"('#hierax #argus', 'Puissante reine des cieux  Junon venez nous défendre.')",1.0,Deletion
232,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#mercure', ""Commencez d'éprouver la colère des Dieux. Argus tombe mort, et Hiérax changé en oiseau de proie s'envole."")",1.48,Substitution
233,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")","('#choeurs', 'Fuyons.')",1.21,Substitution
234,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",,1.0,Insertion
235,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#io', 'Vous me quittez ? Quel secours puis-je attendre !')",0.99,Substitution
236,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#choeurs', 'Fuyons, Junon vient dans ces lieux.')",1.34,Substitution
237,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",,1.0,Insertion
238,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#junon', ""Revois le jour, Argus que ta figure change. Et vous Nymphe apprenez comment Junon se venge. Sors, barbare Erinnis, sors du fond des Enfers ; Viens, prends de servir ma vengeance fatale Et d'en montrer l'horreur en cent climats divers Épouvante tout l'univers Par les tourments de ma rivale Viens la punir au gré de mon courroux; Redoutable ta rage infernale Et fais s'il se peut qu'elle égale La fureur de mon coeur jaloux. La Furie sort des Enfers, elle poursuit Io et l'enlève ; Junon remonte dans le Ciel."")",0.93,Substitution
239,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
240,"('#aminte', 'Aurait-elle mieux répondu ?')","('#io', 'Ô Dieux ! Ô Dieux ! Où me réduisez vous ?')",1.82,Substitution
241,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#choeur-des-peuples', ""L'hiver qui nous tourmente S'obstine à nous geler Nous ne saurions parler Qu'avec une voix tremblante La neige et les glaçons Nous donnent de mortels frissons Les frimas se répandent  Sur nos corps languissants; Le froid transit nos sens Les plus durs rochers se fendent. La neige et les glaçons Nous donnent de mortels frissons"")",1.59,Substitution
242,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#io', ""Laisse-moi, cruelle Furie,  Cruelle, laisse moi respirer un moment Ah ! Barbare, plus je te prie, Et plus tu prends plaisir d'augmenter mon tourment."")",1.27,Substitution
243,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#la-furie', 'Soupire, gémis, pleure, Crie je me fais de tes peines un spectacle charmant.')",0.53,Substitution
244,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",,1.0,Insertion
245,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#io', ""Laisse moi, cruelle Furie Cruelle laisse moi respirer un moment Quel horrible séjour ! Quel froid insupportable ! Tes serpents animés par ta rage implacable. Ne sont-ils pas d'assez cruels bourreaux ?  Pour punir un coeur misérable, Viens-tu chercher si loin des supplices nouveaux ?"")",0.79,Substitution
246,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#la-furie', ""Malheureux habitants d'une demeure affreuse,  Connaissez de Junon le funeste courroux: Par sa vengeance rigoureuse Vous voyez une malheureuse Qui souffre cent fois plus que vous."")",0.73,Substitution
247,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
248,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
249,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")","('#io #la-furie', 'Vous voyez une malheureuse Qui souffre cent fois plus que vous.')",1.71,Substitution
250,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")","('#choeur-des-peuples', ""Ah ! Quelle peine  De trembler de languir dans l'horreur des frimas."")",1.87,Substitution
251,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#io', ""Ah ! Quelle peine D'éprouver tant de maux, sans trouver le trépas Ah ! quelle vengeance inhumaine !"")",1.66,Substitution
252,,"('#la-furie', ""Viens changer de tourments, passe en d'autres climats."")",1.0,Deletion
253,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#io', 'Ah ! Quelle peine !')",1.51,Substitution
254,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")","('#choeur-des-peuples', ""Ah ! quelle peine  De trembler de languir dans l'horreur des frimas."")",1.55,Substitution
255,,"('#choeur-des-chabyles', 'Tôt tôt tôt.')",1.0,Deletion
256,,"('#premier-conducteur-des-chabyles', ""Que chacun avec soin s'empresse."")",1.0,Deletion
257,,"('#second-conducteur-chabyles', ""Forgez, qu'on travaille sans cesse."")",1.0,Deletion
258,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#les-deux-conducteurs', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt. Le choeur des Chabyles répète ces deux derniers vers, dans le temps que plusieurs Chalybes travaillent dans les forges, quelques autres vont et viennent avec empressement pour apporter l'acier des mines et pour disposer ce qui est nécessaire au travail qui se fait."")",1.28,Substitution
259,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#les-deux-conducteurs #choeur-des-chalybes', ""Que le feu des forges s'allume : Travaillons d'un effort nouveau : Qu'on fasse retentir l'enclume Sous les coups pesants du marteau. Entrée des forgerons."")",0.74,Substitution
260,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")","('#io', ""Quel déluge de feux vient sur moi se répandre. Ô ciel ! Les chalybes passent auprès d'Io avec des morceaux d'épées, de lances et de haches à demi forgées."")",1.52,Substitution
261,,"('#la-furie', ""Le ciel ne peut t'entendre, Tu ne te plains pas assez haut."")",1.0,Deletion
262,,"('#les-deux-conducteurs #le-choeur-des-chalybes', 'Tôt, tôt, tôt.')",1.0,Deletion
263,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#io', 'Junon serait moins inhumaine.  Tu me fais trop souffrir, tu sers trop bien sa haine.')",1.26,Substitution
264,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#la-furie', 'Au gré de son dépit jaloux Les maux les plus cruels seront encore trop doux.')",1.5,Substitution
265,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#io', ""Hélas ! Quelle rigueur extrême C'est en vain que Jupiter m'aime La haine de Junon jouit de mon tourment Que vous haïssez fortement, Grand Dieux ! Qu'il s'en faut bien que vous aimiez de même !"")",0.23,Substitution
266,,"('#conducteurs #choeurs-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt, tôt, tôt, tôt, tôt. Les feux des forges redoublent et les Chabyles environnent Io avec des morceaux d'acier rouges et brûlants."")",1.0,Deletion
267,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")","('#io', 'Ne pourrai-je cesse de vivre ? Cherchons le trépas dans les flots.')",1.17,Substitution
268,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#la-furie', ""Partout ma rage doit te suivre N'attends ni secours ni repos. Io fuit et monte au haut d'un rocher d'où elle se précipite dans la mer. La Furie s'y jette après la Nymphe."")",1.02,Substitution
269,,"('#choeur-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt."")",1.0,Deletion
270,,"('#choeur-de-la-suite-des-parques', ""Exécutons l'arrêt du sort Suivons ses lois les plus cruelles. Présentons sans cesse à la Mort Des victimes nouvelles"")",1.0,Deletion
271,,"('#la-guerre', 'Que le fer.')",1.0,Deletion
272,,"('#la-famine', 'Que la faim.')",1.0,Deletion
273,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#l-incendie', 'Que les feux')",0.5,Substitution
274,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
275,,"('#ensemble', 'Que tout serve à creuser mille et mille tombeaux')",1.0,Deletion
276,,"('#les-maladies-violentes', ""Qu'on s'empresse d'entrer dans les royaumes sombres par mille chemins différents"")",1.0,Deletion
277,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#les-maladies-languissantes', ""Achevez d'expirer, infortunés mourants, Cherchez un long repos dans le séjour des ombres."")",0.96,Substitution
278,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')",,1.0,Insertion
279,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#le-choeur', ""Exécutons l'arrêt du Sort, Suivons ses lois les plus cruelles ; Présentons sans cesse à la Mort Des victimes nouvelles."")",1.28,Substitution
280,"('#daphne', 'Il le faut.')","('#la-guerre', 'Que le fer.')",1.61,Substitution
281,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")",,1.0,Insertion
282,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#la-famine', 'Que la faim.')",1.39,Substitution
283,,"('#l-incendie', 'Que les feux')",1.0,Deletion
284,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
285,,"('#tous-ensemble', 'Que tout serve à creuse mille et mille tombeaux.')",1.0,Deletion
286,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#io', ""C'est contre moi qu'il faut tourner Votre rigueur la plus funeste, D'une vie odieuse arrachez moi le reste Hâtez vous de la terminer."")",0.59,Substitution
287,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")","('#choeur #suite-des-parques', ""C'est aux Parques de l'ordonner."")",1.3,Substitution
288,"('#leucippe', 'Achevez.')","('#io', 'Favorisez mes voeux, Déesses souveraines Qui réglez du Destin immuables lois, Finissez mes jours et mes peines,  Ne me condamnez pas à mourir mille fois.')",1.25,Substitution
289,,"('#les-parques', 'Le fil de la vie  De tous les humains Suivant notre envie Tourne dans nos mains. Suivant notre envie.')",1.0,Deletion
290,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#io', ""Tranchez mon triste sort d'un coup qui me délivre  Des tourments que Junon me contraint à souffrir; Chacun vous fait des voeux pour vivre Et je vous en fais pour mourir."")",0.94,Substitution
291,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#la-furie', ""Jupiter l'a soumise aux lois de son épouse ; Elle a rendu Junon jalouse; L'amour d'un Dieu puissant a trop su la charme. Elle est trop punie encore."")",1.07,Substitution
292,"('#daphne-', ""Ne m'aimez plus."")","('#io', ""Est ce si grand crime d'aimer Ce que tout l'Univers adore ?"")",1.02,Substitution
293,,"('#les-parques', ""Nymphe, apaise Junon si tu veux voir la fin  De ton sort déplorable ; C'est l'arrêt du Destin  Il est irrévocable."")",1.0,Deletion
294,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')","('#io', 'Hélas ! comment fléchir une haine implacable !')",1.58,Substitution
295,,"('#parques #furie #choeur', ""C'est l'arrêt du Destin, Il est irrévocable."")",1.0,Deletion
296,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#io', ""Terminez mes tourments, puissant maître du monde, Sans vous, sans votre amour hélas ! Je ne souffrirais pas. Réduite au désespoir, mourante, vagabonde, J'ai porté mon supplice en mille affreux climats ; Une horrible Furie attachée à mes pas, M'a suivie au travers du vaste sein de l'onde; Voyez de quels maux ici bas, Votre épouse punit mes malheureux appas Délivrez moi de ma douleur profonde, Ouvrez-moi par pitié, les portes du trépas. Terminez mes tourments puissant maître du monde. Sans vous, sans votre amour, hélas ! Je ne souffrirais pas. C'est Jupiter qui m'aime ! Eh ! Qui le pourrait croire ? Je ne suis plus dans sa mémoire, Il n'entend point mes cris, Il ne voit point mes pleurs Après m'avoir livré aux plus cruels malheurs,  Il est tranquille au comble de la gloire Il m'abandonne au milieu des douleurs. À la fin je succombe heureuse si je meurs. Io tombe accablée de ses tourments, et Jupiter touché de piété, descend du ciel."")",0.3,Substitution
297,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#jupiter', ""Il ne m'est pas permis de finir votre peine Et ma puissance souveraine Doit suivre du Destin l'irrévocable loi : C'est tout ce que je puis par un amour extrême Que de quitter le Ciel et ma gloire suprême Pour prendre part aux maux que vous souffrez pour moi."")",0.0,Match
298,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')","('#io', 'Ah ! mon supplice augmente encore ! Tout le feu des Enfers me brûle et me dévore; Mourrai-je tant de fois, sans voir finir mon sort ?')",0.94,Substitution
299,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")",,1.0,Insertion
300,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#jupiter', 'Ma tendresse pour vous rend Junon inflexible Elle voit mon amour il lui paraît trop fort; Son courroux se redouble et devient invincible.')",0.48,Substitution
301,,"('#io', ""N'importe en ma faveur soyez toujours sensible."")",1.0,Deletion
302,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#jupiter', ""C'est trop vous exposer à son jaloux transport, J'irrite en vous aimant sa vengeance terrible."")",1.05,Substitution
303,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#io', ""Aimez moi, s'il vous est possible Assez pour la forcer à me donner la mort. Junon descend sur la terre."")",0.81,Substitution
304,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#jupiter', ""Venez, venez Déesse impitoyable  Venez, voyez, reconnaissez Cette Nymphe mourante autrefois trop aimable. C'est assez la punir, c'est vous venger assez; L'éclat de sa beauté ne la rend plus coupable,  Par la cruelle horreur du tourment qui l'accable, Son crime et ses appas sont ensemble effacés. Sans jalousie et sans alarmes Voyez ses yeux noyés de larmes Que l'ombre de la mort commence de couvrir."")",0.22,Substitution
305,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')",,1.0,Insertion
306,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#junon', ""Ils n'ont encor que trop de charmes Puisqu'ils savent attendrir."")",0.93,Substitution
307,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#jupiter', ""Une juste pitié peut elle vous aigrir ? Votre courroux fatal ne doit-il pas s'éteindre ?"")",0.94,Substitution
308,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#junon', ""Ah ! vous la plaignez trop, elle n'est pas à plaindre  Non elle ne peut trop souffrir."")",1.78,Substitution
309,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#jupiter', ""Je sais que c'est de vous que son sort doit dépendre. Ce n'est qu'à vos bontés qu'elle doit recourir. Il n'est rien que de moi vous ne deviez attendre, Si je puis obliger votre haine à se rendre."")",0.19,Substitution
310,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")","('#io', 'Ah ! Laissez moi mourir.')",1.2,Substitution
