,andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Cost,Operation Type
235,"('#chapelle', 'Allons ; buvons à sa santé.')",,1.0,Insertion
236,"('#la-fontaine', ""À la santé d'Armide."")",,1.0,Insertion
237,"('#mignard', ""Et de l'ami Baptiste."")",,1.0,Insertion
238,"('#despreaux', ""Quel malheur c'eût été, si nous l'eussions perdu !"")",,1.0,Insertion
239,"('#lulli', ""Eh ! Oui, si j'étais mort, cela m'aurait rendu Le caractère bien plus triste."")",,1.0,Insertion
240,"('#chapelle', ""Hé ! sois triste plutôt d'en être revenu."")","('#mignard', ""Le bonhomme n'a ni la rusticité d'Esope, ni la recherche de Phèdre ; mais il plaît à l'esprit, fait au coeur la leçon, et conte comme la nature."")",1.3,Substitution
241,"('#lulli', ""Pourquoi donc ; s'il vous plaît ?"")","('#moliere', ""Messieurs !  Messieurs !  Le bonhomme ira plus loin que nous. Pendant la fin de cette scène et la suivante, on apporte des bougies et l'on prépare la table."")",1.45,Substitution
242,"('#chapelle', 'Aurais-tu la manie, Imbécile, dis-moi, de tenir à la vie ?')","('#lulli', ""Ouf !  Je crois, mes amis, qu'il ne faut pas compter sur La Fontaine : il ne... Par où diable est-il arrivé ! Apercevant La Fontaine."")",1.41,Substitution
243,,"('#la-fontaine', 'Par la galiote.')",1.0,Deletion
244,,"('#moliere', 'Comment la galiote ? ')",1.0,Deletion
245,"('#lulli', ""Hé ! mais, dans ce moment, je l'aime assez, vois-tu ?"")",,1.0,Insertion
246,"('#laforet', 'Monsieur !...')","('#la-fontaine', 'Oui. ')",0.1,Substitution
247,"('#moliere', 'Que me veut-on ?')",,1.0,Insertion
248,"('#laforet', ""C'est une jeune fille Qui voudrait vous parler."")",,1.0,Insertion
249,"('#chapelle', 'Est-elle un peu gentille ?')",,1.0,Insertion
250,"('#laforet', ""Est-ce qu'on prend garde à cela ? Mais gentille ou non, elle est là Qui montre un chagrin véritable. . C'est la fille du jardinier, De Thomas, que Monsieur chassa le mois dernier..."")",,1.0,Insertion
251,"('#moliere', ""Mais ce n'est pas l'instant, quand nous sommes à table...."")",,1.0,Insertion
252,"('#chapelle', ""Au contraire, vraiment; tu seras plus traitable, Plus indulgent; il faut la recevoir ; Et d'ailleurs, nous serons fort aises de la voir ; Va, Laforêt ; amène-là bien vite."")","('#chapelle', ""Mais elle passe ici vers midi, et tu n'es arrivé qu'à sept heures. "")",1.3,Substitution
253,"('#laforet', ""Vous l'ordonnez ? Entrez, petite."")",,1.0,Insertion
254,"('#isabelle', ""Messieurs... Pardon... Je n'ose... Aurez-vous la bonté ?"")",,1.0,Insertion
255,"('#la-fontaine', 'Elle tremble comme la feuille !')","('#boileau', ""Aurais-tu donc fait naufrage ?  Ce malheur serait nouveau,  Car jamais aucun orage  N'a retardé ce vaisseau. AIR : La plus belle promenade. "")",1.13,Substitution
256,"('#mignard', ""Cette belle enfant-là mérite qu'on l'accueille !..."")",,1.0,Insertion
257,"('#lulli', 'Elle est jolie , en vérité !')",,1.0,Insertion
258,"('#moliere', ""Approchez-vous.- C'est Isabelle !.... Il se lève de surprise, et dit à part."")","('#la-fontaine', ""Cela paraît incroyable :  Je vois qu'il faut dire tout.  Eh bien ! mes bons amis,  Je suis, en faisant une fable,  Descendu.... jusqu'à Saint-Cloud."")",1.06,Substitution
259,"('#isabelle', ""Monsieur me reconnaît, j'espère ?"")","('#moliere', 'Quand tu viens chez moi, tu prends donc le plus long ? ')",1.29,Substitution
260,,"('#boileau', ""Comme quand tu vas à l'Académie. "")",1.0,Deletion
261,"('#moliere', 'Assurément. Que voulez-vous, mademoiselle ? Vous prenez mal votre moment !')",,1.0,Insertion
262,"('#isabelle', 'Êtes-vous encore en colère ?')",,1.0,Insertion
263,"('#moliere', ""Oui, sans doute, j'y suis ;j'y dois être toujours."")",,1.0,Insertion
264,"('#isabelle', ""C'est un malheur pour nous d'avoir pu vous déplaire ; Ce n'est pas notre faute."")",,1.0,Insertion
265,"('#moliere', ""Ah ! Trêve de discours. Quand j'ai pris mon parti , moi je n'en reviens guère. Tout est dit entre nous."")","('#lulli', 'Tout cela est fort bien ; mais, pour me dédommager de ma course, il nous récitera un de ses contes.')",1.2,Substitution
266,"('#chapelle', ""Molière, qu'est cela ? Est-ce ainsi qu'on reçoit cette belle enfant-là ?"")",,1.0,Insertion
267,"('#moliere', 'De grâce, mêlez-vous, monsieur, de vos affaires.')",,1.0,Insertion
268,"('#chapelle', 'Ne te fâche donc pas ; voyons, écoutons-la. Ma petite, comment vous nomme-t-on ? Il se lève de table.')","('#moliere', ""Il te récitera la fable qu'il vient de faire...  Elle vaut bien un conte."")",1.23,Substitution
269,"('#isabelle', 'Charlotte, À vous servir, Monsieur.')","('#laforet', 'Peut-on vous servir ?')",0.23,Substitution
270,"('#lulli', ""Elle n'est pas tant sotte."")",,1.0,Insertion
271,"('#chapelle', ""Moi, je veux arranger l'affaire que voilà. Elle vient pour rentrer en grâce ! Son père eût-il des torts, il faut qu'on les lui passe."")",,1.0,Insertion
272,"('#isabelle', ""On vous a tourmenté de soupçons odieux, Et de craintes imaginaires ; Les méchants et les envieux , Du bonheur qu'ils n'ont pas éternels adversaires, Pour nuire, pour brouiller, font toujours de leur mieux."")",,1.0,Insertion
273,"('#moliere', ""Non, non; ce qu'on m'a dit n'est que trop véritable, Et j'ai sujet d'être fâché ; Pour prix d'un sentiment qui ne fut point caché, Je prétendais de vous un sentiment semblable ! Votre coeur n'était point touché !"")","('#moliere', ""À l'instant. "")",1.74,Substitution
274,"('#isabelle', 'Ô ciel !... Pouvez-vous dire une chose pareille !')","('#laforet', 'De quel vin vous donnerai-je ? ')",1.4,Substitution
275,"('#chapelle', ""Allons ; prouvez-lui qu'il a tort."")",,1.0,Insertion
276,"('#moliere', ""Mais .... la reconnais-tu d'abord ? C'est Isabelle."")","('#lulli', 'De celui que tu voudras. ')",1.3,Substitution
277,,"('#laforet', 'Du rouge ou du blanc. ')",1.0,Deletion
278,"('#chapelle', 'Eh ! oui, je le sais à merveille.')","('#boileau', 'Cela nous est parfaitement égal. Laforêt sort. ')",1.45,Substitution
279,,"('#chapelle', ""Pardon, sage Lulli, pardon, sage Boileau ; Je suis, mes bons amis, plus difficile à table,  Et je crois au vin blanc le rouge préférable,  Puisqu'il approche moins de la couleur de l'eau. Récitatif. "")",1.0,Deletion
280,"('#moliere', ""Ah ! Tu le sais vous êtes donc d'accord ?"")","('#la-fontaine', 'Eh bien !  De tous les deux. ')",0.79,Substitution
281,"('#isabelle', ""De ce duc espagnol qu'on croit si redoutable J'ai reçu ce matin le billet que voici. Lisez. Vous serez éclairci. Vous verrez de nous deux quel est le plus coupable."")","('#laforet', 'Quand il vous plaira.')",1.51,Substitution
282,"('#moliere', ""Que vois-je ? De quels traits mon esprit est frappé ! Ah ! Combien on m'avait trompé ! Pardon, pardon, mon Isabelle."")",,1.0,Insertion
283,"('#mignard', 'Isabelle, dit-il !')",,1.0,Insertion
284,"('#moliere', ""Oui, mes amis, c'est elle, Et que j'aime plus que jamais. Tous les convives se lèvent de table et s'approchent de Molière et d'Isabelle."")","('#moliere', 'Allons, mes amis, à table. ')",0.65,Substitution
285,"('#mignard', ""Eh ! bien ! tout bas je me disais : Mais j'ai vu quelque part cette aimable figure !"")","('#chapelle', ""Laforêt, mets le vin près de Despréaux ; c'est lui qui doit m'enivrer ce soir. "")",1.59,Substitution
286,"('#despreaux', ""Vraiment ! le tour n'est pas mauvais ! Bonsoir, Mademoiselle."")",,1.0,Insertion
287,"('#la-fontaine', 'Oui, je la reconnais ! Toujours jolie, avec la plus simple parure !')","('#boileau', ""T'enivrer ?  Il suffit, pour cela, de te laisser à ta discrétion.  Mais quoi !  Point d'eau sur la table ? "")",1.39,Substitution
288,"('#lulli', ""Molière, mon ami, tu n'es pas malheureux !"")","('#lulli', ""En vérité, mon cher Boileau,  Ta demande est fort indiscrète ;  Jamais je ne cherche de l'eau  Sur la table d'un bon poète :  Le vin est excellent chez lui,  Buvons-le pur, à tasse pleine ;  Mais si tu le crains aujourd'hui,  Mets Boileau près de La Fontaine. AIR : On compterait les diamants. "")",1.48,Substitution
289,"('#chapelle', 'Ils étaient brouillés tous les deux l Grâce à moi, voilà la paix faite.')",,1.0,Insertion
290,"('#moliere', 'Et pour toujours.')",,1.0,Insertion
291,"('#chapelle', 'Je le souhaite. Mais il faut me récompenser. Belle Charlotte, oh ! çà, peut-on vous embrasser !')","('#chapelle', 'Encore une turlupinade.')",0.92,Substitution
292,,"('#moliere', 'Et nous ne sommes pas au dessert ? Allons, servez-vous et ne ménagez rien ; pour moi, vous le voyez, je suis au régime. Il se mettent à table. Il prend du lait.')",1.0,Deletion
293,,"('#la-fontaine', 'Nous allons boire à ta meilleure santé.')",1.0,Deletion
294,"('#moliere', 'Le fripon songe à lui !')",,1.0,Insertion
295,"('#chapelle', ""Voyez ! J'ai tort peut-être !"")",,1.0,Insertion
296,"('#isabelle', ""Ce m'est bien de l'honneur; je ne puis balancer. Mais je croirais, autant que je puis m'y connaitre, Que ce serait plutôt par notre maître, S'il nous le permettait, qu'il faudrait commencer. Chapelle s'avance pour l'embrasser ; mais elle se tourne du côté de Molière."")","('#laforet', ""Au milieu de l'univers,  Sur un mont, dit notre maître,  Les auteurs vont pour connaître  Quel est le prix de leurs vers.  Ce mont s'appelle.... Parnasse.  Chacun y cherche une place ;  Mais souvent, quoi que l'on fasse,  On n'y trouve point accès :  Ce mont me semble une fable ;  Mais je vois à cette table  Le vrai Parnasse Français. On dit que les auteurs ne peuvent pas vivre ensemble, il me semble cependant que l'on est ici de fort bonne intelligence...  Que cet accord fait plaisir !  Un souper d'amis comme ceux-là n'est pas facile à trouver. AIR : Une fille est un oiseau. "")",0.73,Substitution
297,"('#chapelle', ""Ah ! c'est juste."")",,1.0,Insertion
298,"('#moliere', 'Entre nous, jamais aucun nuage.')",,1.0,Insertion
299,"('#mignard', ""Le meilleur de la fête est bien ce moment-ci, N'est-il pas vrai, Molière ?"")","('#moliere', 'Pour nous mettre en train, Lulli...  Fais-nous rire.')",1.37,Substitution
300,"('#chapelle', ""Et c'est là mon ouvrage."")","('#chapelle', 'Ah !  Laisse-le souper. ')",1.62,Substitution
301,"('#la-fontaine', ""Mais vous, ne souffrez plus qu'ainsi Sur des soupçons il vous tourmente ; C'est votre directeur, il faut le respecter ; Mais quelquefois aussi sachez lui résister. Si de lui désormais vous n'êtes pas contente, Vous avez des talents et vous êtes charmante, Ailleurs, quand vous voudrez, je vous fais débuter."")","('#lulli', 'Je vous rattraperai bien. Il prend le violon.')",1.49,Substitution
302,"('#isabelle', ""Non, non ; je vous suis obligée ; Je n'aime pas le changement. Je suis avec Molière à présent engagée, Et je ne veux jamais rompre l'engagement."")",,1.0,Insertion
303,"('#moliere', 'Non, non ; jamais après ce raccommodement.')",,1.0,Insertion
304,"('#isabelle', 's Je voudrais à ma mère en porter la nouvelle. Elle est dans la maison.')",,1.0,Insertion
305,"('#moliere', 'Votre mère est ici ?')","('#boileau', ""N'as-tu pas contre La Serre ou Colletet quelque chanson nouvelle ? "")",1.61,Substitution
306,"('#isabelle', 'Oui ; je suis venue avec elle.')",,1.0,Insertion
307,"('#moliere', ""Allons donc la trouver ; je veux la voir aussi, Lui dire qu'entre nous il n'est plus de querelle. Venez."")","('#chapelle', 'Ils ont assez de tes satires.  Chantes-nous un de tes vaudevilles.  À Boileau. À Lulli. ')",1.78,Substitution
308,,"('#la-fontaine', 'Oui, oui ; point de satyre. ')",1.0,Deletion
309,,"('#lulli', 'Volontiers. Il monte sur une chaise.')",1.0,Deletion
310,,"('#chapelle', 'Le chanteur public. ')",1.0,Deletion
311,"('#isabelle', 'Adieu messieurs.')","('#tous', 'Oui.')",0.45,Substitution
312,"('#chapelle', 'Eh ! Dites donc, la belle ? Et ce baiser qui doit me revenir ?')",,1.0,Insertion
313,"('#isabelle', ""Oh ! Je n'ai pas le temps, mon cher monsieur Chapelle ; Une autrefois faites-m'en souvenir."")",,1.0,Insertion
314,"('#chapelle', ""La friponne ! Morbleu ! Qu'elle a de gentillesse !"")",,1.0,Insertion
315,"('#chapelle', ""Notre souper n'est pas fini . Molière est plein de sa tendresse, Mais nous, buvons  Ils se remettent à table."")","('#lulli', ""Dans la vigne à Clau-di-ne, Les vendan-geurs y vont,  On choi-sit à la mi-ne, Ceux qui ven-dan-ge-ront ;  Aux vendangeurs qui bril-lent, On y don-ne le pas,  Les autres y gra-pillent, Et ne vendan-gent pas,  Et ne vendangent pas.  Sur la fin de l'automne  Vint un rusé vieillard :   Si la vendange est bonne,   J'en veux avoir ma part.  Cette prudente fille  Lui répondit tout bas :  Vieux vendangeur grapille,  Mais ne vendange pas.  Aux vignes de Cythère,  Parmi les raisins doux,  Est mainte grappe amère :  N'en cueillez point pour vous.  Ce choix pour une fille  Est un grand embarras :  La plus sage grapille,  Et ne vendange pas.  Soit.  Avec tous ses agréments ? Approchez-vous ? C'est une chanson nouvelle, faite par un écrivain...  Qui est auteur... littéraire.... et qui fait des airs... en couplets.... lyriques. Attention !  Vous allez voir comme quoi une fille doit toujours être sur ses gardes. Voilà la morale retenez-la bien. Il prélude du ton le plus faux, et dit, comme un chanteur public :  Il imite la voix d'un vieillard. Il imite la voix d'une jeune fille. Ils rient tous."")",1.32,Substitution
316,"('#despreaux', ""Je suis fâché pour notre ami, De voir qu'il perd du temps à cette fantaisie. De quoi s'avise-t-il, d'être un amant transi ? Est-on fait pour aimer, quand on a du génie ? "")","('#la-fontaine', 'Allons, allons : trêve à la folie...  Parlons raison. ')",1.09,Substitution
317,,"('#chapelle', 'Parlons du plaisir de nous voir tous réunis et bien portants.')",1.0,Deletion
318,"('#la-fontaine', ""Eh ! mais, assurément ; qui croirait vos propos Penserait que l'amour ne convient qu'à des sots. Vous bornez beaucoup sa puissance ; Quoique ce Dieu souvent m'ait assez maltraité, Ce n'est pas ainsi que je pense ; J'applaudirais à l'alliance Du génie et de la beauté,"")","('#mignard', ""Avouons-le ; ce n'est qu'entre nous, ce n'est qu'ici, que nous sommes à notre place et que nous pouvons jouir d'une liberté que n'empoisonne point l'envie ou la sottise des hommes. "")",0.58,Substitution
319,"('#despreaux', ""Cher Lafontaine, en vérité, Vous avez peu de prévoyance ! Vous voulez qu'il l'épouse ?... Eh !... Ce sera bien pis ; Songez combien l'hymen apporte de soucis."")",,1.0,Insertion
320,"('#chapelle', ""Despréaux n'a pas tort ; cependant Lafontaine A bien quelque raison aussi. D'abord, remarquez bien ceci ; C'est que, quelque parti qu'on prenne, Dans le monde toujours on est sûr d'enrager. On y trouve par-tout matière à s'affliger. Garçon ou marié, même veuf, que de causes De chagrin !"")","('#boileau', ""Mignard a raison.  La société n'offre qu'un plaisir, c'est celui d'y saisir des ridicules à censurer, ou des vices à combattre. "")",0.8,Substitution
321,"('#lulli', 'Tu deviens profond.')",,1.0,Insertion
322,"('#la-fontaine', 'Mais seulement tu vois les choses... Bien en noir.')",,1.0,Insertion
323,"('#chapelle', ""Je les vois alors comme elles sont, Car enfin, lorsqu'on songe aux misères humaines, N'est-il pas vrai , mes chers amis ? Cela forme un tableau qui cause tant de peines !... Qu'en pensez-vous ?"")","('#moliere', 'Je puis vous consulter, à ce que je vois, pour retoucher mon Misanthrope.')",1.39,Substitution
324,"('#mignard', ""Peut-on être d'un autre avis ? On ne voit qu'accidents."")",,1.0,Insertion
325,"('#lulli', ""Qu'horreurs, que tragédies."")",,1.0,Insertion
326,"('#despreaux', 'Que ridicules, que travers !')",,1.0,Insertion
327,"('#mignard', 'Les complots des hommes pervers !')","('#chapelle', 'Il faut en convenir, les hommes sont plus traîtres...  que le vin.')",1.04,Substitution
328,,"('#la-fontaine', ""Il y a des moments de folie où l'on maudit son existence. "")",1.0,Deletion
329,"('#la-fontaine', 'Et des femmes les perfidies !')",,1.0,Insertion
330,"('#chapelle', 'Les créanciers !')",,1.0,Insertion
331,"('#lulli', 'Les maladies !')",,1.0,Insertion
332,"('#la-fontaine', 'Les médecins ! ')",,1.0,Insertion
333,"('#despreaux', 'Les mauvais vers !')",,1.0,Insertion
334,"('#lulli', 'Le vin console un peu !')","('#chapelle', ""Dis plutôt des moments de raison ; car c'est quand le vin me fait perdre la mienne, que je puis seulement supporter la vie... Buvons.  Il verse à boire."")",0.8,Substitution
335,,"('#boileau', ""Lorsque l'amour, la table, le vin, le jeu, la gloire, satisfont nos passions, nous appelons cela des plaisirs, et ce ne sont que des erreurs.  L'amour enfante la jalousie. "")",1.0,Deletion
336,"('#chapelle', 'Sans lui pourrait-on vivre ?')",,1.0,Insertion
337,"('#lulli', 'Eh ! Bien, buvons-en donc.')","('#la-fontaine', ""Le vin, l'ivresse."")",0.45,Substitution
338,"('#mignard', 'Versez, versez tout plein.')","('#mignard', 'Le jeu, la ruine. ')",1.85,Substitution
339,"('#chapelle', ""On n'a de bons moments que ceux où l'on est ivre."")","('#boileau', ""La gloire, l'envie.  Depuis ce moment, l'ivresse et l'exaltation augmentent par degrés."")",1.11,Substitution
340,"('#lulli', 'Hors le temps des repas, je suis toujours chagrin.')","('#laforet', 'Voilà pour des gens gais une bien singulière conversation ! ')",1.62,Substitution
341,"('#chapelle', ""Moi, par exemple, puis-je avoir l'âme contente ? Nul travail obligé ne gêne mes loisirs ; Je fais des vers, je bois, je chante ; Je n'ai point à l'hymen asservi mes désirs ; J'ai vingt mille livres de rente, Bons amis, maîtresse charmante ; Est-ce là du bonheur ? sont-ce là des plaisirs ?"")","('#chapelle', ""Avec nos talents et notre réputation on nous croit fort heureux, et il s'en faut que nous le soyons...  Nous venons de bien rire ?  Nous venons de bien rire ?  Eh bien !  Je vous le demande, savons-nous pourquoi ?"")",0.61,Substitution
342,"('#lulli', ""Je suis le Dieu de l'harmonie ! Eh ! Bien ? Des mirmidons critiquent mes accords."")","('#mignard', 'Nous heureux !  Qui peut dire cela ?')",1.4,Substitution
343,,"('#chapelle', ""Par exemple, toi, je ne sais pas comment tu peux exister, oui, toi, Boileau...  On promet une pension à un poète, tout Paris te nomme, et c'est Chapelain qui l'obtient. "")",1.0,Deletion
344,"('#despreaux', ""Et moi, morbleu, je vois, malgré tous mes efforts,. Triompher le faux goût, la sottise ennemie ! Et Cotin, près de moi, siège à l'Académie ! ."")","('#boileau', ""Bien pis que ça : Je vois la foule entrer dans un temple....  Je la suis.... et c'est Cotin qui prêche."")",0.97,Substitution
345,,"('#moliere', ""Vous n'y pensez pas avec vos idées sombres...  La veille d'une noce ! "")",1.0,Deletion
346,"('#chapelle', 'Je le dis franchement ; je suis las de la vie.')","('#la-fontaine', ""Allons, Molière, tu n'es pas plus heureux qu'un autre."")",1.87,Substitution
347,,"('#tous', 'Non... certainement.')",1.0,Deletion
348,"('#lulli', ""C'est une chose indigne, et qu'on ne peut souffrir."")","('#moliere', ""S'attendre à tout est le moyen  D'alléger le poids de sa vie ;  N'espérer ou ne craindre rien,  Est la saine philosophie.  Oui, pour être heureux en effet,  Ma méthode est très salutaire :  Jugeons le mal que l'on nous fait  Par le mal qu'on pouvait nous faire.  Que dites-vous ?  J'aime fort mon état ; j'ai, d'ailleurs, des principes qui vous seraient, je crois, fort nécessaires. AIR : La comédie est un miroir. "")",1.12,Substitution
349,"('#chapelle', 'Et cependant, voyez !... On a peur de mourir !')","('#chapelle', ""Tu ne disais pas cela quand on arrêtait le Tartuffe, quand on n'allait qu'avec peine au Misanthrope, tandis que tout Paris courait aux pièces de Pradon."")",1.98,Substitution
350,,"('#boileau', ""Et Pradon, et Chapelain, et Brebeuf, sont de l'Académie !  C'est un enfer! "")",1.0,Deletion
351,,"('#lulli', 'Pourquoi travaillons-nous ?  Pour être dénigrés par des sots. ')",1.0,Deletion
352,,"('#la-fontaine', 'Pillés par des plagiaires.')",1.0,Deletion
353,,"('#mignard', 'Méprisés par des grands. ')",1.0,Deletion
354,,"('#chapelle', 'Déchirés par les journalistes. ')",1.0,Deletion
355,"('#mignard', ""Ah ! Si l'on avait du courage !"")","('#moliere', ""Que penser des hommes, si les plus sages, les plus éclairés peuvent s'oublier ainsi ? "")",1.64,Substitution
356,,"('#boileau', ""Il n'y a plus de goût. "")",1.0,Deletion
357,,"('#la-fontaine', 'Plus de probité.')",1.0,Deletion
358,,"('#mignard', ""Mes amis...  Il n'y a plus d'amis. "")",1.0,Deletion
359,"('#la-fontaine', ""Mais on est lâche, et l'on enrage, Quand on pourrait sitôt de ses maux se guérir !"")","('#chapelle', 'De tout temps la vie  est un fléau... et nous la supporterions !...  Non....  Mes amis, nous sommes des lâches ; le bonheur, le repos ne sont pas de ce monde...  Après avoir bu. ')",0.62,Substitution
360,,"('#boileau', ""Il faut le chercher dans le fond d'un cloître."")",1.0,Deletion
361,,"('#mignard', 'Dans un désert !')",1.0,Deletion
362,,"('#tous', 'Dans un désert. ')",1.0,Deletion
363,,"('#la-fontaine', 'Oui, dans un désert, où nous irons tous ensemble. ')",1.0,Deletion
364,,"('#lulli', ""Non pas, s'il vous plaît, chacun le sien. "")",1.0,Deletion
365,"('#mignard', 'Ma foi !... Ce serait le plus sage !')","('#chapelle', ""Quel embarras !  Un cloître pour moi, je vous jure,  Est sans appas :  Un désert ne nous convient pas.  Vers ce pont allons en droiture,  Et prenons-en tous la mesure  Du haut en bas.  Bah !  Bah !  Bah !  Vous ne savez pas ce qu'il vous faut.  Mais parbleu !  Je pense que nous ne sommes pas loin du pont...  Eh bien !  Mes amis, AIR : Du haut en bas. "")",1.41,Substitution
366,"('#laforet', 'Quel diable de propos ! .... parlent-ils tout de bon ? *')","('#tous', 'Bravo !  Bravo !  Oui, le pont.... du haut en bas. ')",1.42,Substitution
367,"('#chapelle', 'Si je trouvais un compagnon, Un seul, là, qui voulut me suivre l.;')","('#moliere', ""Voyons jusqu'où l'enthousiasme ira. "")",1.62,Substitution
368,"('#mignard', ""Tu n'en manqueras pas ; moi, morbleu !"")",,1.0,Insertion
369,"('#chapelle', 'Toi ?')","('#chapelle', 'Allons ! ')",0.14,Substitution
370,"('#mignard', 'Oui, moi.')",,1.0,Insertion
371,"('#lulli', 'Vous voilà déjà deux !... Nous serons trois, ma foi. Touchez là.')","('#laforet', 'Ah !  Mon_Dieu ! ')",1.26,Substitution
372,"('#la-fontaine', 'Mes amis, pourrais-je vous survivre ?')","('#lulli', 'Cette idée est grande, elle peut nous immortaliser.')",1.62,Substitution
373,"('#laforet', ""Des gens d'esprit comme eux ! ce que c'est que d'être ivre ! Si je ne l'entendais, je ne le croirais point."")","('#mignard', ""Pour nous quel bonheur ! Quelle gloire!  Notre mort un jour dans l'histoire  Fixera l'admiration.  Le besoin d'un prompt suicide  A guidé Brutus et Caton ;  Mais nous, nous ne prenons pour guide  Que la raison. AIR : Sans le savoir.  Il se lève."")",0.91,Substitution
374,"('#chapelle', ""Sommes-nous des amis ? moi, je pars de ce point. Si nous le sommes, il me semble Qu'il nous faut finir tous ensemble."")",,1.0,Insertion
375,"('#laforet', ""Je commence d'avoir, vraiment, quelque frayeur."")","('#boileau', ""Enfin je n'entendrai plus parler de la Serre, ni de l'abbé de Pure."")",1.61,Substitution
376,,"('#mignard', 'Je ne verrai plus de croutes. ')",1.0,Deletion
377,,"('#chapelle', 'Toi, plus de Tartuffes.')",1.0,Deletion
378,,"('#lulli', ""Je n'entendrai plus la musique de Colasse ni de Cambert. "")",1.0,Deletion
379,"('#tous', 'Oui, tous ensemble.')","('#la-fontaine', 'Partons ! ')",0.47,Substitution
380,"('#laforet', 'Allons vite avertir monsieur. Elle sort.')",,1.0,Insertion
381,"('#la-fontaine', ""Vous savez qu'aux vivants on conteste leur gloire ; Sont-ils morts ? on devient juste envers leur mémoire ; Faisons taire l'envie ; et de notre destin. Jouissons au plutôt, tous tant qu'ici nous sommes ; Soyons tous morts demain matin ; Demain matin nous serons de grands hommes."")","('#moliere', ""Un moment.  Ô mes amis !  Que faisons nous ?  N'abandonnons point une résolution si belle aux fausses interprétations qu'on peut lui donner.  On saura qu'à la suite d'un long souper nous aurons fait le sacrifice de notre existence, et la calomie, avide de tout dénigrer, répandra le bruit que l'ivresse nous a plus inspirés que la philosophie.  Amis, sauvons notre sagesse, attendons le retour prochain du soleil ; alors, aux yeux de tout le monde, nous donnerons cette leçon publique du mépris de la vie. "")",0.41,Substitution
382,"('#despreaux', 'La Fontaine a raison. Il a bien péroré.')",,1.0,Insertion
383,"('#chapelle', ""S'il faut qu'un de nous s'en dédise Je le tiens pour déshonoré."")",,1.0,Insertion
384,"('#lulli', 'Pour déshonoré, soit...')",,1.0,Insertion
385,"('#mignard', 'La nuit nous favorise.')",,1.0,Insertion
386,"('#lulli', ""La rivière n'est qu'à cent pas."")",,1.0,Insertion
387,"('#chapelle', 'Allons exécuter cette noble entreprise ; Je marche le premier.')","('#boileau', ""Il a raison ; c'est pour notre gloire que nous travaillons : il nous faut des témoins.  Eh bien !  Jurons que demain, à la pointe du jour..."")",1.16,Substitution
388,"('#la-fontaine', 'Nous ne te quittons pas.')","('#tous', 'Nous le jurons !')",1.44,Substitution
389,,"('#moliere', 'Laforêt ? ')",1.0,Deletion
390,,"('#laforet', ""Plaît-il ? J'entends, j'entends.  Molière parle bas. Elle sort."")",1.0,Deletion
391,"('#chapelle', 'Pour la dernière fois, encore une rasade.')","('#chapelle', ""Sa réflexion est de bon sens : notre sagesse n'en sera que plus éclatante."")",1.08,Substitution
392,,"('#moliere', ""Je lais-s ais vieil-lir ce vin,  A-mis, c'est de l'Hermitage,  Gou-tons-le, puisque de-main,  Nous fai-sons le grand voy-a-ge,  Feignons de prendre part à leurs folies, puisque je ne puis les ramener à la raison. Il prend deux bouteilles que lui donne Laforest."")",1.0,Deletion
393,"('#lulli', 'Oh ! Nous ne risquons rien de boire à nos santés. Aucun de nous jamais ne sera plus malade.')","('#lulli', ""Buvons, trinquons sans quar-tier,  Sa-vou-rons-en tous les charmes ;  Qu'après nous, notre héritier  N'ait à ver-ser que des lar-mes."")",0.87,Substitution
394,"('#moliere', ""Mes amis, on m'apprend ce que vous projetés."")","('#moliere', 'Enfin les voilà tous endormis...  Au réveil.  On vient : ce sont nos jeunes gens. ')",1.55,Substitution
395,"('#despreaux', 'Molière nous manquait ; bon ! Il sera des nôtres.')","('#antoine', ""Tout est prêt, nous n'attendons que notre bienfaiteur."")",0.94,Substitution
396,"('#moliere', ""Mais devais-je être instruit par d'autres ?"")",,1.0,Insertion
397,"('#chapelle', ""Nous comptions bien t'aller chercher ! Vraiment, nous aurions eu trop à nous reprocher De ne pas t'emmener dans un pareil voyage, Mon bon ami !..."")","('#madelon', ""Le village entier nous a suivi, et vous comble de bénédictions ; mais nous n'avons pas voulu qu'on entrât de peur de vous interrompre. "")",1.31,Substitution
398,,"('#moliere', ""Pourquoi donc ? Approchez, approchez : oh !  Ne craignez pas de les réveiller ; ils dorment bien. Aux villageois. Pendant que les villageois entrent avec précaution, l'orchestre joue le prélude du sommeil d'Atys."")",1.0,Deletion
399,"('#moliere', 'Comment ! Je vous en voudrais fort !... Je dois partager votre sort.')","('#mathurin', ""Voilà le contrat de nos enfants ; nous venons vous prier d'y bailler un mot de vot' signature."")",1.55,Substitution
400,"('#mignard', ""Moi, je l'ai toujours dit ; Molière a du courage."")","('#moliere', ""Ce m'est un grand plaisir ; mais il y manque encore une clause, père Mathurin. Mettez que Madelon a deux cents écus de dot. Au Tabellion."")",1.21,Substitution
401,,"('#madelon', 'Comment puis-je reconnaître...')",1.0,Deletion
402,"('#chapelle', ""Vous voyez bien qu'il est de notre avis."")","('#moliere', ""C'est un plaisir... "")",1.58,Substitution
403,,"('#mathurin', 'Nous nous souviendrons toujours...')",1.0,Deletion
404,,"('#moliere', 'Cela ne vaut pas... ')",1.0,Deletion
