,chevalier-amours-de-calotin,chevalier-barbons-amoureux,Cost,Operation Type
231,"('#guillot', ""Il a ta mine d'être un petit Maxima."")",,1.0,Insertion
232,"('#tersandre', 'Chanteras-tu toujours à tout le monde injure ?')","('#guillot', 'Je le sais bien, bonsoir.')",1.51,Substitution
233,"('#guillot', ""Est-ce l'injurier, que l'appeler Mercure ? Et pour lui n'est-ce pas un titre glorieux, Que le nommer du nom du Messager des Dieux ?"")","('#clidamant', 'Que veut dire ce sot ? ')",1.36,Substitution
234,,"('#guillot', ""Adieu jusqu'au revoir. "")",1.0,Deletion
235,,"('#beatrix', ""Et bien, si tu t'en vas, Dieu te veuille conduire. "")",1.0,Deletion
236,"('#tersandre', ""Page, et vous, Calotin, il le faut laisser dire, C'est un humeur gaillarde."")","('#clidamant', 'Parlez, Monsieur Guillot, dites, est-ce pour rire ? ')",0.79,Substitution
237,"('#guillot', ""Il est vrai, j'aime à rire."")","('#guillot', 'Nenni, pour rire ? Nenni ; très humble serviteur. ')",0.52,Substitution
238,"('#tersandre', 'Calotin, sais-tu bien le faubourg Saint-Germain ?')",,1.0,Insertion
239,"('#calotin', 'Oui, Monsieur.')","('#clidamant', 'Tiens donc. Tiens Béatrix.  Il tire sa bourse.')",1.47,Substitution
240,"('#tersandre', ""Viens donc prendre un billet de ma main, Et puis tu t'en iras aux Filles de Lorraine, Où tu demanderas à parler à Climène, Et si quelqu'un de là, par de fins entretiens, Te venait demander de quelle part tu viens, Tu lui diras que c'est de la part de son père."")",,1.0,Insertion
241,"('#climene', ""Je suis assez instruit, Monsieur, laissez-moi faire, D'abord que vous m'aurez donné votre billet, Dites, Climene l'a, car c'est autant de fait."")",,1.0,Insertion
242,"('#tersandre', ""Mais il faut, s'il se peut, en avoir la réponse."")",,1.0,Insertion
243,"('#climene', ""Si je ne l'ai, Monsieur, à servir je renonce."")","('#guillot', ""Elle vend son honneur,  Il n'est rien plus certain. "")",1.05,Substitution
244,"('#guillot', ""À ce que je puis voir, ce n'est pas le premier. Ah ! Que le petit traître est grec en ce métier ! "")",,1.0,Insertion
245,"('#tersandre', ""Viens prendre ce billet, Calotin, et vous, Page, Suivez-moi pour aller autre part en message. Pour Guillot, il n'aura qu'à m'attendre en ce lieu."")","('#beatrix', ""J'emploierai mon adresse,  À vous rendre service auprès de ma Maîtresse. "")",0.92,Substitution
246,"('#guillot', ""Vous me faites plaisir, et de bon coeur adieu. Depuis que je me trouve éloigné de Rosette, Je commence déjà d'en tenir pour Lisette ; Et puisque cet objet à mes yeux est présent, Je le veux par ma foi préférer à l'absent. Aussi bien voici l'heure à peu près, ce me semble, Que nous devons ici nous rencontrer ensemble, Pour chanter la chanson composée entre nous. Ah ! Bon, bon, les voici, je les vois venir tous. Ragotin, Beatrix, et toi, belle Lisette, Ça, tâchons d'exceller dans notre chansonnette. Mais si vous m'en croyez, pour mieux nous accorder, Avant que commencer, il nous faut préluder. Seul."")","('#guillot', 'Au voleur ! Arrêtez. ')",1.8,Substitution
247,"('#lisette', ""Guillot dit vrai, car c'est l'ordinaire habitude De débuter toujours par quelque beau prélude. CHANSON"")","('#clidamant', 'Qui te rend si surpris,  Dis donc. ')",1.44,Substitution
248,"('#guillot', ""Je n'aime rien tant que Lisette,"")",,1.0,Insertion
249,"('#ragotin', 'Ni moi, rien tant que Béatrix ;')","('#guillot', 'Rien, avez-vous fait avec Béatrix ? ')",0.35,Substitution
250,"('#lisette', 'Ragot est ce que je souhaite,')","('#clidamant', ""Oui, traître, j'ai tout fait ce que j'y voulais faire,  Pourquoi ? "")",1.3,Substitution
251,"('#beatrix', 'Et Guillot rend mon coeur épris.')",,1.0,Insertion
252,"('#tous-ensemble', ""Puisque l'amour tous quatre ensemble Nous rend l'un pour l'autre de feu : Si jamais l'hymen nous assemble, Je crois que nous verrons beau jeu."")",,1.0,Insertion
253,"('#lisette', 'Le bonheur ne sera pas moindre')",,1.0,Insertion
254,"('#beatrix', 'Que celui des Dieux et des Rois,')",,1.0,Insertion
255,"('#guillot', 'Alors que nous pourrons nous joindre')","('#guillot', 'Je sortirais de peur de vous distraire. ')",1.61,Substitution
256,"('#ragotin', 'De nos corps comme de nos voix.')",,1.0,Insertion
257,"('#tous-ensemble', 'Ah ! Quel plaisir ! Ah ! Quel delice !  Quel extrême contentement ! Si le sort quelque jour propice Nous joint copulativement.')","('#clidamant', 'Et par quelle raison ? ')",1.06,Substitution
258,,"('#guillot', ""Si chacun se mêlait  De faire sa besogne, ainsi qu'il le devrait,  Les Vaches bien souvent en seraient mieux gardées. "")",1.0,Deletion
259,"('#ragotin', ""Hé bien, que dites-vous d'une telle musique ? "")","('#clidamant', ""D'où te viennent maraud, ces fantasques idées ?  Me feras-tu toujours des contes d'animal ?  Je ne te dis rien, mais... "")",1.39,Substitution
260,"('#guillot', 'Pathétique, morbleu ! Du dernier pathétique.')",,1.0,Insertion
261,"('#lisette', 'Il est vrai que cet air est tout à fait touchant.')",,1.0,Insertion
262,"('#guillot', 'Lisette, que pour toi je me sens de penchant !')","('#guillot', ""Mais chacun sent son mal ;  Monsieur, contentez-vous de voir votre Maîtresse  Et ne muguetez point celle que je caresse :  À ce que je puis voir, vous trouvez tout fort bon  Et Dame, et Demoiselle, et Suivante, et Souillon,  Vous mettez tout en oeuvre ; ah ! La peste, quel drôle ! Avecques ses douceurs comme il les affriole.  En leur disant mon coeur, tu n'as rien que de beau,  Il vous les fait venir donner dans le panneau ;  Mais ces beaux mots n'étant que des billevesées  Ces pauvres filles, sont des filles abusées.  Mon Maître, s'il vous plaît, rengainées vos douceurs,  Ne vous en servez plus, si ce n'est pour nos soeurs, Si l'on m'a fait cocu, pour mon malheur, en herbe,  Il n'est pas de besoin que je le sois en gerbe. "")",0.95,Substitution
263,"('#beatrix', ""Adieu, séparons-nous, de peur qu'on ne nous crie."")","('#clidamant', 'Pour la voir avec moi, tu te fâches, Guillot ? ')",1.23,Substitution
264,,"('#guillot', 'Je ne trouve pas bon que vous me fassiez sot. ')",1.0,Deletion
265,"('#ragotin', 'Béatrix, feras-tu venir ici Julie ?')","('#clidamant', ""Crois-tu qu'elle soit fille à faire une sottise ? "")",1.24,Substitution
266,,"('#guillot', ""Je ne sais, vous savez si bien comme on courtise,  Que malheureusement pour me faire enrager  Vous pourriez la réduire à l'heure du Berger ;  Mais je serais gâté, cela n'est rien qui vaille,  Parce qu'en me gâtant, vous gâteriez sa taille.  Et si j'allais après me charger de sa peau,  Ce serait épouser, et la vache et le veau.  Pardon, si vous lui parlez, j'ai conclu dans mon âme,  Qu'elle n'aura jamais l'honneur d'être ma femme. "")",1.0,Deletion
267,"('#beatrix', 'Oui, je te le promets.')","('#clidamant', 'Bien loin que mon amour fasse du tort au tien,  Quand je lui parlerai, ce sera pour ton bien,  Et rien que pour toi seul...')",0.76,Substitution
268,"('#ragotin', 'Bon, cependant, Guillot, Allons au cabaret prendre un doigt de piot.')",,1.0,Insertion
269,"('#guillot', ""C'est fort bien avisé."")",,1.0,Insertion
270,"('#climene', ""Chacun d'eux se retire, Voyons ce que Tersandre ici daigne m'écrire. Après l'extrême amour qu'il me prouve aujourd'hui Je n'ai point de sujet de me plaindre de lui : Allons à son billet faire notre réponse; Pour Monsieur le Couvent, à jamais j'y renonce. Adorable Climène, depuis que mon malheureux destin m'a séparé de votree charmante personne, il faut que je vous avoue que je suis tellement accablé de tristesse, que rien au monde ne m'en saurait tirer que votre aimable présence.  Et en vérité si je m'avais une espérance tout à fait grande de vous revoir bientôt, il n'est point de moment que je ne m'abandonnasse au désespoir.  Mais ce qui me console un peu dans mon affliction, c'est que je suis certain d'être aimé parfaitement, et que vous ne changerez jamais.  Aussi, belle Climène, vous pouvez vous assurer que si vous êtes toute de constance pour moi que je suis tout de fidélité pour vous.  Adieu, je vous prie que ma lettre vous serve de consolation, et de me daigner faire la grâce de m'en envoyer la réponse par le même petit laquais.  C'est ce qu'attend avec impatience celui qui ne sera jamais qu'à vous, TERSANDRE. LETTRE DE TERSANDRE À CLIMÈNE."")","('#guillot', ""Et qu'il ne vous déplaise,  Vous vous embraseriez ainsi qu'une fournaise,  Dès que vous la verriez ; fi de votre entretien,  Celle qui vous verra, ne vaudra jamais rien.  Vous savez tellement comme on les attrape,  Qu'il est bien malaisé qu'aucune vous échappe :  Dès lors que vous prenez votre ton doucereux,  Vous les amadouez, vous emballez des mieux,  Et comme l'ennemi juré du mariage,  Vous n'avez d'autre but qu'au seul concubinage,  Vous savez si bien l'art de les persuader  Que vous leur en donnez bien souvent à garder.  D'abord qu'il se rencontre auprès d'une mignonne,  Il la couve des yeux, le drôle la mitonne,  Quand il voit à peu près qu'il a trouvé son fait,  Le galant sans façon plante là son piquet,  Et ne démord jamais d'auprès de la donzelle,  Que de son cher honneur il n'ait la cuisse ou l'aile.  Aussitôt qu'il a fait de l'honneur de Cloris,  Aux autres, me dit-il, Guillot, ceux-là sont pris. "")",0.28,Substitution
271,,"('#clidamant', 'Je ne sais pas pourquoi tu me donnes ce blâme. ')",1.0,Deletion
272,"('#policarpe', ""Bonjour, sieur Gorgibus, j'allais chez vous me rendre, Pour nous entretenir de Julie et Tersandre, Ainsi que nous l'avions tantôt prémédité. Policarpe, je rends grâce à votre bonté, De ce que je vous vois zélé dans cette affaire; Et ce m'est un honneur tout extraordinaire, De voir dans peu de temps votre fille et mon fils, Par le doux noeud d'hymen ensemble bien unis. Je sais que Clarimond, de valeur infinie, En mariage aussi voudrait avoir Julie, Mais vous voyant à lui Tersandre préférer, Nous ne pouvons tous deux trop vous considérer, Clarimond y pourrait assurément prétendre; Mais, Gorgibus, ma fille est promise à Tersandre, Et nous n'aurons jamais nulle difficulté En cette affaire ci que de votre côté. Pour moi, je ne crois pas que rien y mette obstacle, Si le ciel ne l'y met par un soudain miracle. Mais entrons pour un peu nous en entretenir, Puis après nous viendrons ici nous divertir. Quelques gens de chez moi, par certaine saillie, Doivent ici danser une galanterie ; Et comme ils m'ont prié d'en être spectateur, Vous les obligerez d'en être aussi, Monsieur."")","('#guillot', ""Si Polixène n'est dans fort peu votre femme,  Qu'elle ne fasse pas trêve à tous vos discours,  Pour peu qu'elle se plaise à souffrir vos amours,  Ne se mariant pas avecque vous en hâte,  Je suis très assuré qu'il faudra qu'elle en tâte ;  De sorte qu'une fille avec un peu d'honneur,  Vous devrait épouser à votre abord, Monsieur :  Car dès qu'elle vous parle, elle est d'amour émue. Ville qui parlemente est à demi rendue ;  Et pour peu que la belle entende le jargon,  On voit son pauvre honneur faire bientôt faux bond.  Monsieur, cela ma foi, n'est point du tout honnête.  Mais quoi ? Vous n'en ferez jamais qu'à votre tête.  J'ai beau sur ce sujet vous donner des leçons,  Tout ce que je vous dis, ce vous sont des chansons.  Vous vous moquez de tout. "")",0.0,Match
273,"('#policarpe', 'Je le veux bien, entrons.')","('#clidamant', ""Ce faquin me fait rire  Mais il faut demander l'objet de mon martyre,  Je vais revenir ; vois si son père est ici. "")",1.97,Substitution
274,"('#gorgibus', ""Après, si bon vous semble, Vous me ferez l'honneur que nous soupions ensemble."")","('#guillot', 'Ne parlez plus au mien, au moins. ')",1.5,Substitution
275,"('#clarimond', 'Julie assurément doit venir en ce lieu.')","('#clidamant', 'Non. ')",1.01,Substitution
276,"('#ragotin', ""Oui, vous allez l'y voir, et devant qu'il soit peu, Béatrix me l'a dit comme une chose sûre. Mais la voici déjà."")","('#guillot', 'Grand-merci.  Boniface est-il là ? ')",1.56,Substitution
277,,"('#beatrix', 'Non. ')",1.0,Deletion
278,"('#clarimond', 'La charmante aventure ! Quoi je vous vois, Julie ? Ah ! Que je suis heureux !')","('#guillot', ""Bonne mijaurée !  Avez-vous été bien muguetée et fleurée ? Mon Maître vous a-t-il débité le fleuron ?  Est-il dans votre coeur cet amant fanfaron ?  Ce charmant Damoiseau ? Ce Dameret superbe ?  Qui prétend sous le pied me couper bientôt l'herbe ?  Coquine, vous savez fort bien l'art d'écouter,  Quand le godelureau vient pour vous en conter ;  Mais alors que Guillot vous dit qu'il vous adore,  Vous le dédaignez caigne, et faites la pécore ;  Il voit paraître en vous un certain air honteux,  Vous faites la fâchée, et vous baissez les yeux,  Comme si je n'étais pas de votre calibre ;  Courtisez vos coquets, cela vous est fort libre :  Je vous dirai pourtant sans me mettre en courroux,  Qu'un homme comme moi, vaut un peu mieux que vous,  Madame la friponne, ou pour mieux dire gueuse ;  Vous me portez bien l'air d'une franche coureuse,  Pour aller bien souvent en carrosse à cinq sous,  Et tâcher d'attirer quelques muguets à vous :  Pour peu que vous alliez en ces lieux en voyage,  Qui sait si mon honneur fera bientôt naufrage. "")",0.99,Substitution
279,"('#ragotin', 'Pourquoi ne la pas voir, si vous avez des yeux, Puisque cette beauté se montre à votre vue ? Si vous ne la voyiez, vous auriez la berlue.')","('#beatrix', ""Ah, ah, monsieur Guillot, vous êtes donc jaloux ?  Vraiment j'en suis fâchée, et pour l'amour de vous.  Et je ne croyais pas que votre humeur jalouse,  M'osât traiter ainsi sans être votre épouse.  Si j'étais mariée avec vous, le beau fils,  Ayant pouvoir sur moi vous feriez donc bien pis.  Certes le beau garçon, vous êtes admirable !  Vous vous fâchez Amant ; mari, vous seriez diable.  Vous deviez mieux cacher votre méchante humeur ;  Un Amant ne plaît pas quand il fait le Censeur ;  Lorsqu'il se voit entrer la jalousie en l'âme,  Il ne se doit jamais charger d'aucune femme ;  Gardez donc bien d'en prendre, afin d'être content,  Car vous pourriez porter ce que vous craignez tant.  Quand vous pensez tenir une femme captive,  Tout ce que vous craignez bien souvent vous arrive.  Vous avez beau veiller dessus ses actions,  On appelle cela, vaines précautions.  Vous savez que je suis de manière Coquette ?  Que je prends grand plaisir alors que je caquette  Que j'aime le Galant quand il cajole bien ;  Vous savez bien aussi que je ne permets rien,  Et que si je voulais écouter leur fredaine,  Je crois sans vanité, que j'en vaux bien la peine.  Mais puisque sans sujet vous êtes si jaloux,  Vous ne me servirez ni d'Amant ni d'Époux. "")",0.8,Substitution
280,"('#clarimond', ""Cesse de bouffonner. Ah que mon sort est doux, De me pouvoir trouver un moment près de vous!. Car de tous les plaisirs) s'il en est un suprême, C'est celui de se voir auprès de ce qu'on aime."")","('#guillot', ""Non, mon petit tendron, ma Pouponne, ma Belle,  Tu dois peu te fâcher lorsque je te querelle ;  Si j'ai paru jaloux, c'est par trop d'amitié ;  Mon Fanfan, vois Guillot, il te fera pitié.  Va raccommodons-nous, ne soyons plus en grogne,  Ne suis-je pas bien fait, considère ma trogne ?  Aime-moi, me voyant pour toi bouffi d'amour.  Tandis que je suis jeune, et beau comme un bonjour,  Comme je suis gaillard, que tu parais gaillarde,  Nous ferons des enfants d'une humeur égrillarde ;  Tu me diras mon coeur, je te dirai m'amour ;  Nous nous en conterons et la nuit et le jour ;  Nous chercherons aux champs quelque place déserte,  Où nous nous donnerons tous deux la cotte-verte ;  Que nous prendrons souvent d'agréables ébats !  Que de Guillots viendront qui ne s'en doutent pas ! Ma petite Dondon, que je te crois féconde !  Que je te crois savante à bien peupler le monde !  Et que je me sens homme à m'en acquitter bien,  Pour peu que ton amour veuille répondre au mien ! Tu ne me réponds rien, dis-moi donc que t'en semble,  N'est-ce pas le secret d'être fort bien ensemble ? "")",0.72,Substitution
281,,"('#beatrix', ""Tu n'es qu'un discoureur, adieu je vais chez nous. "")",1.0,Deletion
282,"('#ragotin', ""Mon maître, Beatrix, a raison, par ma foi ; Mon plaisir le plus grand est d'être auprès de toi ; Et dès que je ne puis envisager ta face, Le pauvre Ragotin tout aussitôt trépasse."")","('#guillot', ""Voilà mon pauvre esprit tout sans dessus dessous,  Au diable soit l'amour, et la chienne de fille,  Mais je vois Ragotin, que cherche ici ce drille ? "")",0.32,Substitution
283,"('#julie', ""Vous voir assurément fait mon unique bien: Mais, Clarimond, que faire où nous ne pouvons rien? Et quand mon pere veut que j'épouse Tersandre, Je ne voy pas comment je pourray m'en defendre."")","('#ragotin', 'Ah ! Ton valet, Guillot. ')",1.62,Substitution
284,"('#clarimond', ""Si j'apprens cet hymen je mourray de regret."")",,1.0,Insertion
285,"('#ragotin', ""Pour finir vostre mal, c'est un fort beau secret: Mais vous aimant tous deux d'une amitié parfaite, Que ne l'enlevez-vous? Ce seroit chose faite."")",,1.0,Insertion
286,"('#clarimond', 'Dans un si grand malheur, he!as! que ferons-nous?')","('#guillot', 'Serviteur, Ragotin.  Pourrai-je savoir où te mène ton destin ? ')",1.42,Substitution
287,,"('#ragotin', 'Je vais chercher chez toi le Père de ton Maître. ')",1.0,Deletion
288,"('#julie', ""Que ne m'est-il permis de me donner à vous ? Mais comme mon devoir m'empêche de le faire, Et que je ne le puis, sans déplaire à mon père, Apprenez, Clarimond, que tant que je pourrai Éloigner ce malheur, qu'enfin je le ferai ; Et qu'il ne sera point au monde d'artifice, Que je n'emploie, afin de vous être propice."")","('#guillot', ""Ou je me trompe fort, ou je le vois paraître,  Et Monsieur Boniface, oyons ce qu'ils diront,  Cachons-nous, et voyons ce qu'après ils feront.  Ils se cachent."")",0.57,Substitution
289,"('#clarimond', ""Après un tel aveu, je m'en vais trop heureux: Mais vous pourrai-je voir encore dans ces lieux ?"")","('#policarpe', ""Ah ! Que j'aurai de joie épousant votre Fille,  Et que nos deux maisons ne soient qu'une Famille. "")",0.8,Substitution
290,"('#julie', 'Oui, je vous le promets. Adieu, voici Tersandre.')",,1.0,Insertion
291,"('#clarimond', 'Tâchons, sans être vu, de les pouvoir entendre.')",,1.0,Insertion
292,"('#julie', ""Si mon père savait que j'eusse un autre amant Que Tersandre, il ferait la chose en ce moment: Feignons donc de l'aimer, pour reculer l'affaire ; Peut-être que le ciel me deviendra prospère."")","('#boniface', ""J'en aurai Policarpe, autant et plus que vous,  En me voyant aussi de votre Fille Époux ! "")",0.98,Substitution
293,"('#tersandre', ""Feignons. Belle Julie, est-il rien de si doux Que les brillants attraits qu'on aperçoit en vous? Haut."")","('#guillot', 'Que diable disent-ils ? Ah ! Messeigneurs nos Maîtres.  Ma foi vous en tenez. ')",1.29,Substitution
294,"('#climene', 'Le traître ! ')","('#ragotin', 'Voyez donc les vieux traîtres. ')",0.11,Substitution
295,"('#julie', ""Le moyen de se pouvoir dédire, Aussitôt qu'on vous voit, d'être sous votre empire ?"")","('#boniface', 'Policarpe mon cher, que je suis amoureux ! ')",1.43,Substitution
296,,"('#policarpe', 'Faisons venir ici les objets de nos voeux. ')",1.0,Deletion
297,"('#clarimond', ""Qu'entends-je ? L'infidèle !"")","('#boniface', ""C'est bien dit, voyons-les, j'en meurs d'impatience. "")",1.42,Substitution
298,,"('#policarpe', 'Je suis pour Polixène en égale souffrance. ')",1.0,Deletion
299,"('#tersandre', ""Alors que je vous vis, De vos rares appas mes sens furent ravis : J'eus pour vous dans mon coeur d'amoureuses alarme. Et ne pus résister à vos merveilleux charmes. Oui, vous fûtes d'abord mon adoration."")","('#boniface', 'Je la vais appeler, Polixène, venez.  Je vous veux marier. ')",0.97,Substitution
300,,"('#polixene', 'Ô moments fortunés,  Quoi vous me marieriez ! Mais avec qui mon Père ? ')",1.0,Deletion
301,"('#guillot', ""Je pense, par ma foi, qu'il l'aime tout de bon ; Et pour peu que la dame en paraisse amoureuse, Il oubliera bientôt notre religieuse."")","('#boniface', ""Avec un homme enfin capable de te plaire,  De conduite, de coeur, d'esprit fort enjoué,  Aimable, libéral, digne d'être loué. "")",0.87,Substitution
302,"('#tersandre', ""Daignerez-vous m'aimer ?"")","('#polixene', ""Si c'était Clidamant que je serais heureuse ! "")",1.03,Substitution
303,"('#julie', ""Vous voyant tout de feu, Si je n'aime, du moins, je crois qu'il s'en faut peu."")","('#boniface', ""Enfin, je n'ai point vu d'Âme si généreuse ! "")",1.01,Substitution
304,"('#guillot', ""D'un et d'autre côté le feu prend à la mècbe Et sans doute l'amour dans leur cour a fait brèche."")",,1.0,Insertion
305,"('#climene', ""Le perfide l'ingrat ! Qu'ai-je fait ? Juste ciel !"")","('#polixene', ""Sans doute que c'est lui, que mes sens sont ravis !  Le Père vient exprès me parler pour son Fils. "")",1.1,Substitution
306,"('#rosette', 'Il vous faut avaler cela doux comme miel.')","('#policarpe', ""Avec permission de Monsieur votre Père,  Cet Amant pourrait-il avoir l'heure de vous plaire,  Ayant de jugement et d'esprit bien muni,  Le gousset d'argent passablement garni,  Pour faire comme il faut aller votre cuisine ?  Bien fait de sa personne, homme de bonne mine,  Il vous fera passer d'agréables moments,  Il sait fort bien jouer de tous les instruments ;  D'entretien merveilleux, qui danse comme un drôle.  Et qui sait à ravir passer la cabriole ?  Homme digne, en un mot, d'être sous votre loi. "")",1.45,Substitution
307,"('#julie', 'Mais vous avez acquis un nouvel héritage ?')","('#polixene', 'Mais Monsieur, quel est-il ? ')",1.22,Substitution
308,"('#tersandre', ""Oui, je me suis chargé d'un laquais et d'un page."")","('#policarpe', ""Vous saurez que c'est moi. "")",1.71,Substitution
309,"('#julie', ""Mon_Dieu, qu'ils sont jolis ! Qu'ils me plaisent tous deux !"")","('#polixene', 'Justes Dieux ! ')",1.13,Substitution
310,"('#rosette', ""Madame, assurément nous sommes trop heureux D'avoir acquis si tôt le bonheur de vous plaire."")",,1.0,Insertion
311,"('#climene', 'Que je te plaise, ou non, mais tu ne me plais guère. Nous sommes obligés par trop à vos bontés. Haut.')","('#boniface', 'Ah ! Ma Fille, es-tu pas trop heureuse ? ')",0.96,Substitution
312,"('#julie', ""Voyez qu'ils sont tous deux pleins de civilités."")",,1.0,Insertion
313,"('#guillot', ""On vante les vertus du laquais et du page, Mais pour l'homme de chambre ou n'en dit rien, j'enrage."")",,1.0,Insertion
314,"('#tersandre', ""Calotin, as-tu fait ce que je t'avais dit ?"")","('#polixene', ""Mon Père, j'ai fait voeu d'être Religieuse. "")",1.23,Substitution
315,"('#climene', ""Oui, Monsieur, je l'ai fait avec beaucoup d'esprit, Et j'ai sur moi de quoi vous faire bien connaître Que très fidèlement je sais servir mon maître."")","('#boniface', ""Quoi friponne ! Est-ce ainsi qu'on reçoit un Amant,  Et que l'on obéit à mon commandement ?  Est-ce là profiter ainsi que tu dois faire,  De tous les bons conseils qui te viennent d'un Père.  Mais m'ayant su déplaire, et l'ayant bien voulu  Tu t'en repentiras, après m'avoir déplu.  Je sais bien les moyens dont il te faut réduire. "")",0.41,Substitution
316,"('#julie', ""Voyez qu'il est adroit, qu'il répond à propos !"")",,1.0,Insertion
317,"('#climene', ""Je suis, quoique petit, des laquais le héros, Et je puis me vanter qu'il n'en est point en France De plus discret que moi, plus rempli de prudence : Je sais écrire et lire à la perfection, Je suis vaillant, adroit, et plus fier qu'un lion ; Si je portais l'épée, on m'en verrait défendre Avec autant d'adresse et de coeur qu'Alexandre. Dans les salles aussi l'on me voit triompher, Le fleuret à la main, et je bats bien le fer ; J'en donne, j'en reçois mais en faisant retraite, Je ne manque jamais à la botte secrète ; Quoiqu'on ait défendu les armes aux laquais, En cachette j'ai fait de bons coups au Marais."")","('#policarpe', ""Ne vous emportez pas, cela pourrait vous nuire,  Vous la prenez peut-être en de mauvais moments,  Qui font qu'elle ne peut suivre vos sentiments ;  Mais appelons Aminte, elle est obéissante,  Humble, souple, et ne fait que ce qui me contente,  Et n'a point tant de joie et de félicités,  Qu'au moment qu'elle peut suivre mes volontés.  Et vous l'allez bien voir ; Aminte ! Holà ! Ma Fille ! "")",0.8,Substitution
318,"('#guillot', ""C'est Roland le cadet."")","('#aminte', 'Plaît-il, mon Père ? ')",1.55,Substitution
319,"('#julie', ""Je l'aime, étant si drôle."")",,1.0,Insertion
320,"('#tersandre', 'Il est aimable aussi.')",,1.0,Insertion
321,"('#lisette', ""Par ma foi, j'en suis folle."")","('#policarpe', ""Il faut croître notre Famille,  Je te donne un mari qui vaut son pesant d'or.  Vois-tu cet homme-là ? "")",1.57,Substitution
322,,"('#aminte', ""Ce sera Lucidor,  Il n'est plus rien certain, car j'aperçois son Père. "")",1.0,Deletion
323,"('#guillot', ""Vous l'aimez, bonne pièce, et par quelle raison ?"")",,1.0,Insertion
324,"('#lisette', ""C'est qu'il a de l'esprit, et qu'il est beau garçon."")","('#boniface', ""Beauté dont le mérite est extraordinaire,  Je viens pour vous offrir un homme merveilleux,  Un homme digne enfin de paraître à vos yeux ;  Un homme qui sait bien comme il faut que l'on aime,  Et de qui la richesse est tout à fait extrême ;  Un homme qui n'est point un batteur de pavé ;  Un Homme qu'on peut dire, être un homme achevé ;  Adroit, gaillard, dispos ; enfin c'est un tel homme,  Qu'il n'a point son pareil d'ici jusques à Rome. "")",0.64,Substitution
325,"('#guillot', ""Et vous, n'aimez-vous point aussi Monsieur le Page ?"")","('#aminte', 'Quel peut-être, Monsieur, cet homme si parfait ? ')",0.83,Substitution
326,"('#beatrix', ""Pourquoi ne l'aimer pas ? Il est bien fait, bien sage."")","('#boniface', ""C'est moi-même, voyez, ne suis-je pas bien fait ? "")",1.08,Substitution
327,"('#ragotin', 'Carogne !')","('#aminte', 'Dieux ! ')",0.0,Match
328,"('#guillot', ""Puisque d'eux vous faites vos mignons, Et Ragotin, et moi, nous les ajusterons : Sachez que votre amour leur deviendra funeste."")",,1.0,Insertion
329,"('#lisette', ""Ils n'ont que trop de quoi vous donner votre reste,"")",,1.0,Insertion
330,"('#julie', 'Demeurez bons amis.')","('#policarpe', 'Que vous allez faire ensemble un bon ménage ! ')",0.81,Substitution
331,,"('#aminte', 'Mon père, excusez-moi, je ne suis pas en âge. ')",1.0,Deletion
332,"('#tersandre', 'Soyez sage, Guillot.')","('#policarpe', ""Est-ce là m'obéir ? Ô cerveau démonté ! "")",1.81,Substitution
333,,"('#boniface', ""Elle n'est pas encore en sa maturité. "")",1.0,Deletion
334,"('#guillot', ""Qu'elles le soient aussi, car je ne suis pas sot."")","('#policarpe', 'Ah Ciel ! Quelle insensée ! ')",1.5,Substitution
335,"('#julie', ""Maigre moi, cher Tersandre, il faut que je vous quitte ; Adieu jusqu'à tantôt."")","('#boniface', ""Elle est obéissante,  Humble, souple, et ne fait que ce qui vous contente,  Et n'a point tant de joie et de félicités,  Qu'au moment qu'elle peut suivre vos volontés ;  Ne nous reprochons rien, s'il vous plaît l'un à l'autre,  Car ma Fille obéit aussi bien que la vôtre :  Mais cependant ami, nous sommes amoureux,  Que diable ferons –nous pour contenter nos feux ? "")",1.42,Substitution
336,"('#tersandre', 'Adieu, rare mérite. Allons vite chez moi pour lire mon billet. À Calotin.')","('#policarpe', ""Ce qu'il faut faire, il faut, sans nul autre mystère  Aller chez les Contrats pour passer le Notaire ;  Ces moyens nous mettront bientôt hors d'embarras "")",1.05,Substitution
337,"('#climene', ""Détalons promptement, Monsieur, c'est fort bien fait."")","('#boniface', 'Dites chez le Notaire, et non chez les Contrats.  Je crois que vous avez la cervelle en écharpe. ')",1.64,Substitution
338,"('#clarimond', ""Est-ce là cet amour, est-ce là la tendresse, Ingrate, dont tantôt vous m'aviez fait promesse ?"")","('#policarpe', ""Il est vrai, j'extravague, ô pauvre Policarpe !  L'amour a tellement mes esprits étourdis  Que la raison n'est plus en tout ce que je dis.  Enfin, c'est le plus court d'aller chez le Notaire. "")",1.17,Substitution
339,"('#ragotin', ""Apprenez que promettre et que tenir sont deux : Comment le pourrait-elle, ayant tant d'amoureux ? Je vous en dois aussi, vous aimez donc le page ? À Béatrix."")","('#boniface', ""Allons donc promptement terminer cette affaire,  Mais avant que partir enfermons-les si bien,  Qu'elles ne sortent point que par notre moyen.  Ils s'en vont."")",1.45,Substitution
340,"('#julie', ""D'où vous vient ce chagrin, Clarimond ?"")","('#guillot', 'Pouvait-il arriver un plus fâcheux désastre ? ')",1.12,Substitution
341,"('#clarimond', ""Ah volage, Après ce que j'ai vu."")","('#ragotin', 'Nos deux Maîtres sont nés sous un malheureux Astre ? ')",1.79,Substitution
