,cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Cost,Operation Type
245,"('#laforet', ""Au milieu de l'univers,  Sur un mont, dit notre maître,  Les auteurs vont pour connaître  Quel est le prix de leurs vers.  Ce mont s'appelle.... Parnasse.  Chacun y cherche une place ;  Mais souvent, quoi que l'on fasse,  On n'y trouve point accès :  Ce mont me semble une fable ;  Mais je vois à cette table  Le vrai Parnasse Français. On dit que les auteurs ne peuvent pas vivre ensemble, il me semble cependant que l'on est ici de fort bonne intelligence...  Que cet accord fait plaisir !  Un souper d'amis comme ceux-là n'est pas facile à trouver. AIR : Une fille est un oiseau. "")","('#ninon', ""Belle Ninon, une goutte ennemie  Enchaîne mes membres perdus ;  Je vois mal, je ne marche plus ; Toute la nuit je veille, et tout le jour je crie :  Mais quoique ma douleur me laisse peu d'espoir,  Le chagrin de ne pas vous voir  Est ma plus grande maladie.  Être au milieu de mes amis,  Voir Ninon, entendre Molière,  Était le Paradis sur terre :  Ce bonheur ne m'est pas permis.  ......................  Je le perds, plaignez mes disgrâces ;  Du destin je maudis les lois ;  C'est trop souffrir que de perdre à-la-fois  L'amitié, l'esprit..."")",0.6,Substitution
246,"('#moliere', 'Pour nous mettre en train, Lulli...  Fais-nous rire.')","('#chapelle', 'Et les grâces. » ')",1.33,Substitution
247,,"('#ninon', ""S'il est malade, au moins son esprit ne l'est pas. "")",1.0,Deletion
248,"('#chapelle', 'Ah !  Laisse-le souper. ')",,1.0,Insertion
249,"('#lulli', 'Je vous rattraperai bien. Il prend le violon.')",,1.0,Insertion
250,"('#boileau', ""N'as-tu pas contre La Serre ou Colletet quelque chanson nouvelle ? "")","('#chapelle', 'Quel esprit le serait pour chanter vos appas ? ')",0.72,Substitution
251,,"('#ninon', ""J'entends quelqu'un. "")",1.0,Deletion
252,"('#chapelle', 'Ils ont assez de tes satires.  Chantes-nous un de tes vaudevilles.  À Boileau. À Lulli. ')","('#ninon', ""C'est vous Corneille, La Fontaine,  Boileau, Racine , ah bien ! "")",0.99,Substitution
253,,"('#corneille', ""Aux ordres d'une Reine... "")",1.0,Deletion
254,"('#la-fontaine', 'Oui, oui ; point de satyre. ')","('#ninon', 'Les Rois manquent souvent. ')",1.88,Substitution
255,"('#lulli', 'Volontiers. Il monte sur une chaise.')","('#la-fontaine', 'Nous Rois...')",1.42,Substitution
256,"('#chapelle', 'Le chanteur public. ')",,1.0,Insertion
257,"('#tous', 'Oui.')","('#ninon', 'Par le talent.')",0.69,Substitution
258,"('#lulli', ""Dans la vigne à Clau-di-ne, Les vendan-geurs y vont,  On choi-sit à la mi-ne, Ceux qui ven-dan-ge-ront ;  Aux vendangeurs qui bril-lent, On y don-ne le pas,  Les autres y gra-pillent, Et ne vendan-gent pas,  Et ne vendangent pas.  Sur la fin de l'automne  Vint un rusé vieillard :   Si la vendange est bonne,   J'en veux avoir ma part.  Cette prudente fille  Lui répondit tout bas :  Vieux vendangeur grapille,  Mais ne vendange pas.  Aux vignes de Cythère,  Parmi les raisins doux,  Est mainte grappe amère :  N'en cueillez point pour vous.  Ce choix pour une fille  Est un grand embarras :  La plus sage grapille,  Et ne vendange pas.  Soit.  Avec tous ses agréments ? Approchez-vous ? C'est une chanson nouvelle, faite par un écrivain...  Qui est auteur... littéraire.... et qui fait des airs... en couplets.... lyriques. Attention !  Vous allez voir comme quoi une fille doit toujours être sur ses gardes. Voilà la morale retenez-la bien. Il prélude du ton le plus faux, et dit, comme un chanteur public :  Il imite la voix d'un vieillard. Il imite la voix d'une jeune fille. Ils rient tous."")","('#la-fontaine', ""Je n'ai que des troupeaux dans mon Gouvernement... "")",1.52,Substitution
259,"('#la-fontaine', 'Allons, allons : trêve à la folie...  Parlons raison. ')","('#boileau', 'Et tu les mènes bien. ')",1.77,Substitution
260,"('#chapelle', 'Parlons du plaisir de nous voir tous réunis et bien portants.')","('#ninon', ""En attendant Molière,  Le Prince de Condé qui ne tarderont guère,  Dites-moi la Chronique : avez-vous aujourd'hui  Dans Paris entendu quelque nouvelle ? "")",1.55,Substitution
261,"('#mignard', ""Avouons-le ; ce n'est qu'entre nous, ce n'est qu'ici, que nous sommes à notre place et que nous pouvons jouir d'une liberté que n'empoisonne point l'envie ou la sottise des hommes. "")",,1.0,Insertion
262,"('#boileau', ""Mignard a raison.  La société n'offre qu'un plaisir, c'est celui d'y saisir des ridicules à censurer, ou des vices à combattre. "")","('#racine', ""Oui,  Les honneurs qu'à la Cour obtint le grand Corneille."")",1.67,Substitution
263,"('#moliere', 'Je puis vous consulter, à ce que je vois, pour retoucher mon Misanthrope.')",,1.0,Insertion
264,"('#chapelle', 'Il faut en convenir, les hommes sont plus traîtres...  que le vin.')",,1.0,Insertion
265,"('#la-fontaine', ""Il y a des moments de folie où l'on maudit son existence. "")",,1.0,Insertion
266,"('#chapelle', ""Dis plutôt des moments de raison ; car c'est quand le vin me fait perdre la mienne, que je puis seulement supporter la vie... Buvons.  Il verse à boire."")",,1.0,Insertion
267,"('#boileau', ""Lorsque l'amour, la table, le vin, le jeu, la gloire, satisfont nos passions, nous appelons cela des plaisirs, et ce ne sont que des erreurs.  L'amour enfante la jalousie. "")",,1.0,Insertion
268,"('#la-fontaine', ""Le vin, l'ivresse."")",,1.0,Insertion
269,"('#mignard', 'Le jeu, la ruine. ')","('#ninon', 'Est-ce une pension, rente, ou faveur pareille ? ')",1.72,Substitution
270,"('#boileau', ""La gloire, l'envie.  Depuis ce moment, l'ivresse et l'exaltation augmentent par degrés."")","('#racine', ""C'est plus cent fois. "")",1.11,Substitution
271,,"('#la-fontaine', 'Quoi donc ? ')",1.0,Deletion
272,"('#laforet', 'Voilà pour des gens gais une bien singulière conversation ! ')","('#ninon', 'Expliquez-vous ? Parlez ? ')",0.78,Substitution
273,"('#chapelle', ""Avec nos talents et notre réputation on nous croit fort heureux, et il s'en faut que nous le soyons...  Nous venons de bien rire ?  Nous venons de bien rire ?  Eh bien !  Je vous le demande, savons-nous pourquoi ?"")","('#racine', ""Seigneurs et courtisans s'étaient tous rassemblés  Pour entendre le Cid : même de sa présence  Le Monarque honorait cette assemblée immense  Après une grande heure et d'attente et d'ennui,  On demanda Corneille ; il ne manquait que lui :  On murmure tout haut : CornsiUe arrive, passe,  Et sans le saluer chacun reste à sa place.  Il s'approche du Roi ; Louis à son aspect  Se lève, et devant lui s'incline avec respect.  La Cour l'imite ; alors, quoique sans diadème,  Corneille paraissait plus Roi que le Roi même. "")",1.04,Substitution
274,"('#mignard', 'Nous heureux !  Qui peut dire cela ?')","('#chapelle', ""Ah ! Que ce trait est beau ! Messieurs les courtisans,  Vous apprendrez qu'il faut honorer les talents,  Et vous serez moins fiers. "")",1.56,Substitution
275,"('#chapelle', ""Par exemple, toi, je ne sais pas comment tu peux exister, oui, toi, Boileau...  On promet une pension à un poète, tout Paris te nomme, et c'est Chapelain qui l'obtient. "")",,1.0,Insertion
276,"('#boileau', ""Bien pis que ça : Je vois la foule entrer dans un temple....  Je la suis.... et c'est Cotin qui prêche."")","('#racine', ""L'anecdote est certaine  Car j'étais spectateur. "")",1.28,Substitution
277,"('#moliere', ""Vous n'y pensez pas avec vos idées sombres...  La veille d'une noce ! "")",,1.0,Insertion
278,"('#la-fontaine', ""Allons, Molière, tu n'es pas plus heureux qu'un autre."")","('#ninon', ""Dites-moi, La Fontaine ?  Celle qui court sur vous et dont l'on a tant ri. "")",1.73,Substitution
279,"('#tous', 'Non... certainement.')","('#la-fontaine', 'Laquelle ? ')",0.68,Substitution
280,,"('#ninon', 'Ce voyage à Château-Thierry. ')",1.0,Deletion
281,"('#moliere', ""S'attendre à tout est le moyen  D'alléger le poids de sa vie ;  N'espérer ou ne craindre rien,  Est la saine philosophie.  Oui, pour être heureux en effet,  Ma méthode est très salutaire :  Jugeons le mal que l'on nous fait  Par le mal qu'on pouvait nous faire.  Que dites-vous ?  J'aime fort mon état ; j'ai, d'ailleurs, des principes qui vous seraient, je crois, fort nécessaires. AIR : La comédie est un miroir. "")","('#corneille', ""Oui, voulant rétablir la paix dans son ménage  Pour aller voir sa femme, il fait un long voyage,  Revient sans l'avoir vue. As-tu rempli ton but ?  Lui dit-on... Non vraiment, elle était au Salut. "")",1.02,Substitution
282,"('#chapelle', ""Tu ne disais pas cela quand on arrêtait le Tartuffe, quand on n'allait qu'avec peine au Misanthrope, tandis que tout Paris courait aux pièces de Pradon."")","('#la-fontaine', ""J'avais garde vraiment de déranger ma femme,  Elle avait tant besoin de prier pour son âme ! "")",1.67,Substitution
283,"('#boileau', ""Et Pradon, et Chapelain, et Brebeuf, sont de l'Académie !  C'est un enfer! "")",,1.0,Insertion
284,"('#lulli', 'Pourquoi travaillons-nous ?  Pour être dénigrés par des sots. ')",,1.0,Insertion
285,"('#la-fontaine', 'Pillés par des plagiaires.')","('#ninon', 'Racine ; vos débats avec le cher Boileau  Sont-ils finis ? ')",1.47,Substitution
286,"('#mignard', 'Méprisés par des grands. ')",,1.0,Insertion
287,"('#chapelle', 'Déchirés par les journalistes. ')",,1.0,Insertion
288,"('#moliere', ""Que penser des hommes, si les plus sages, les plus éclairés peuvent s'oublier ainsi ? "")","('#racine', ""Toujours mon courroux est nouveau.  Sans nul ménagement, sans cesse il me critique ;  De trouver des défauts, on dirait qu'il se pique.  Lorsque de mon rival ! Je me crois délivré,  Il me dit aussitôt du ton d'un inspiré :  « Vingt fois sur le métier remettez votre ouvrage, » J'ai toujours ses conseils et jamais son suffrage. "")",1.44,Substitution
289,"('#boileau', ""Il n'y a plus de goût. "")",,1.0,Insertion
290,"('#la-fontaine', 'Plus de probité.')",,1.0,Insertion
291,"('#mignard', ""Mes amis...  Il n'y a plus d'amis. "")",,1.0,Insertion
292,"('#chapelle', 'De tout temps la vie  est un fléau... et nous la supporterions !...  Non....  Mes amis, nous sommes des lâches ; le bonheur, le repos ne sont pas de ce monde...  Après avoir bu. ')","('#boileau', ""Racine, vous croyez mes avis indiscrets.  Je vous critique avant, pour vous louer après.  La gloire sans effort est un bien périssable :  Il faut la mériter quand on la veut durable..  Les succès usurpés n'ont jamais qu'un moment.  Les efforts concertés peuvent pour un instant  D'un peuple enthousiaste égarer le suffrage,  Mais bientôt du bon goût le temps vengeant l'outrage,  Vient livrer à l'oubli la médiocrité.  L'intrigue lutte en vain, de la postérité  Le jour s'élève, luit ; l'ombre pâlit, s'efface ,  Le fantôme s'éclipse, et tout reprend sa place. "")",0.77,Substitution
293,"('#boileau', ""Il faut le chercher dans le fond d'un cloître."")",,1.0,Insertion
294,"('#mignard', 'Dans un désert !')",,1.0,Insertion
295,"('#tous', 'Dans un désert. ')","('#un-valet', 'Le Prince de Condé.')",1.85,Substitution
296,"('#la-fontaine', 'Oui, dans un désert, où nous irons tous ensemble. ')",,1.0,Insertion
297,"('#lulli', ""Non pas, s'il vous plaît, chacun le sien. "")",,1.0,Insertion
298,"('#chapelle', ""Quel embarras !  Un cloître pour moi, je vous jure,  Est sans appas :  Un désert ne nous convient pas.  Vers ce pont allons en droiture,  Et prenons-en tous la mesure  Du haut en bas.  Bah !  Bah !  Bah !  Vous ne savez pas ce qu'il vous faut.  Mais parbleu !  Je pense que nous ne sommes pas loin du pont...  Eh bien !  Mes amis, AIR : Du haut en bas. "")",,1.0,Insertion
299,"('#tous', 'Bravo !  Bravo !  Oui, le pont.... du haut en bas. ')",,1.0,Insertion
300,"('#moliere', ""Voyons jusqu'où l'enthousiasme ira. "")",,1.0,Insertion
301,"('#chapelle', 'Allons ! ')","('#tous', 'Monseigneur... ')",0.23,Substitution
302,"('#laforet', 'Ah !  Mon_Dieu ! ')","('#le-prince', 'Mes amis,  Il est bien doux pour moi de me trouver admis  Dans le cercle brillant des grâces, du génie. ')",1.36,Substitution
303,"('#lulli', 'Cette idée est grande, elle peut nous immortaliser.')","('#ninon', 'Prince, et de la valeur ; car la France est remplie  Du bruit de vos exploits. ')",1.3,Substitution
304,"('#mignard', ""Pour nous quel bonheur ! Quelle gloire!  Notre mort un jour dans l'histoire  Fixera l'admiration.  Le besoin d'un prompt suicide  A guidé Brutus et Caton ;  Mais nous, nous ne prenons pour guide  Que la raison. AIR : Sans le savoir.  Il se lève."")","('#le-prince', ""Cessez de m'en parler.  La guerre est un fléau ; Messieurs, la rappeler  C'est m'offrir, je l'avoue, un souvenir pénible.  Plus je montre au combat, un coeur froid, inflexible, Plus, après le triomphe, un sentiment secret  M'entraîne à la douleur et me livre au regret.  Je m'éloigne, et reviens dans le sein de nos villes  Couler des jours plus purs, moins brillants, plus tranquilles ; Je rends enfin le calme à mon coeur agité,  Et je jouis des arts auprès de la beauté.  Mais où donc est Molière ! "")",0.39,Substitution
305,"('#boileau', ""Enfin je n'entendrai plus parler de la Serre, ni de l'abbé de Pure."")","('#ninon', 'Eh ! Voilà sa servante.  Que fais- lu là ? ')",1.64,Substitution
306,"('#mignard', 'Je ne verrai plus de croutes. ')",,1.0,Insertion
307,"('#chapelle', 'Toi, plus de Tartuffes.')",,1.0,Insertion
308,"('#lulli', ""Je n'entendrai plus la musique de Colasse ni de Cambert. "")",,1.0,Insertion
309,"('#la-fontaine', 'Partons ! ')","('#laforet', ""Mais rien ; j'étais impatiente... "")",1.18,Substitution
310,"('#moliere', ""Un moment.  Ô mes amis !  Que faisons nous ?  N'abandonnons point une résolution si belle aux fausses interprétations qu'on peut lui donner.  On saura qu'à la suite d'un long souper nous aurons fait le sacrifice de notre existence, et la calomie, avide de tout dénigrer, répandra le bruit que l'ivresse nous a plus inspirés que la philosophie.  Amis, sauvons notre sagesse, attendons le retour prochain du soleil ; alors, aux yeux de tout le monde, nous donnerons cette leçon publique du mépris de la vie. "")","('#ninon', 'Que veux -tu ? ')",1.82,Substitution
311,,"('#laforet', ""J'attendais Madame que par ici  Vous regardiez : mon maître a ben plus de souci.  J'crois qu'il ne viendra pas. "")",1.0,Deletion
312,"('#boileau', ""Il a raison ; c'est pour notre gloire que nous travaillons : il nous faut des témoins.  Eh bien !  Jurons que demain, à la pointe du jour..."")","('#ninon', 'Ciel ! Que viens-tu me dire ? ')",1.47,Substitution
313,,"('#laforet', 'Monsieur le Président lui défend de vous lire  Tartuffe. ')",1.0,Deletion
314,"('#tous', 'Nous le jurons !')","('#ninon', 'Quoi ! Molière à cet ordre a cédé ! ')",1.67,Substitution
315,"('#moliere', 'Laforêt ? ')","('#laforet', ""J'n'en sais rien ; mais ce s'rait, y m' semble ben hasardé  De vouloir se moquer d'un' menace aussi claire :  Il ne m'a pas encor consulté dans s' t'affaire. "")",1.69,Substitution
316,"('#laforet', ""Plaît-il ? J'entends, j'entends.  Molière parle bas. Elle sort."")","('#le-prince', 'Quoi ! Molière pourrait lâchement effrayé ?...')",0.54,Substitution
317,"('#chapelle', ""Sa réflexion est de bon sens : notre sagesse n'en sera que plus éclatante."")","('#corneille', 'Que Molière par vous soit mieux apprécié !  De céder à la peur son âme est incapable. ')",1.37,Substitution
318,,"('#racine', 'Il ne doit pas garder un silence coupable. ')",1.0,Deletion
319,"('#moliere', ""Je lais-s ais vieil-lir ce vin,  A-mis, c'est de l'Hermitage,  Gou-tons-le, puisque de-main,  Nous fai-sons le grand voy-a-ge,  Feignons de prendre part à leurs folies, puisque je ne puis les ramener à la raison. Il prend deux bouteilles que lui donne Laforest."")","('#ninon', ""Moi, je gage, écartant un injuste soupçon,  Qu'il lira le Tartuffe.  Molière parait."")",1.17,Substitution
320,"('#lulli', ""Buvons, trinquons sans quar-tier,  Sa-vou-rons-en tous les charmes ;  Qu'après nous, notre héritier  N'ait à ver-ser que des lar-mes."")","('#moliere', ""Et vous avez raison.  Prince... C'est bien assez qu'une défense expresse  Sans cause, sans motif, ait arrêté ma pièce,  Qu'on m'ait injustement dépouillé de mes droits !  Un hypocrite encor veut étouffer ma voix !  Non. "")",1.22,Substitution
321,,"('#ninon', ""J'étais sûre, moi, de connaître Molière. "")",1.0,Deletion
322,"('#moliere', 'Enfin les voilà tous endormis...  Au réveil.  On vient : ce sont nos jeunes gens. ')",,1.0,Insertion
323,"('#antoine', ""Tout est prêt, nous n'attendons que notre bienfaiteur."")","('#laforet', 'Nous avons toujours eu beaucoup de caractère. ')",1.58,Substitution
324,"('#madelon', ""Le village entier nous a suivi, et vous comble de bénédictions ; mais nous n'avons pas voulu qu'on entrât de peur de vous interrompre. "")",,1.0,Insertion
325,"('#moliere', ""Pourquoi donc ? Approchez, approchez : oh !  Ne craignez pas de les réveiller ; ils dorment bien. Aux villageois. Pendant que les villageois entrent avec précaution, l'orchestre joue le prélude du sommeil d'Atys."")","('#ninon', ""Allons, plaçons-nous tous. Les acteurs se placent dans l'ordre du tableau de Monsieur Mon**au. "")",1.43,Substitution
326,"('#mathurin', ""Voilà le contrat de nos enfants ; nous venons vous prier d'y bailler un mot de vot' signature."")","('#laforet', ""V'là vraiment un tableau  Dont un peintre pourrait honorer son pinceau.  Moi, je me tiendrai là, d'abord pour mieux entendre ; Puis, si vous lisez mal, je pourrai vous reprendre.  Se plaçant derrière Molière."")",1.42,Substitution
327,"('#moliere', ""Ce m'est un grand plaisir ; mais il y manque encore une clause, père Mathurin. Mettez que Madelon a deux cents écus de dot. Au Tabellion."")","('#moliere', '« Le Tartuffe , comédie en cinq actes et en vers. » Saint-Alban parait.')",1.62,Substitution
328,"('#madelon', 'Comment puis-je reconnaître...')","('#saint-alban', 'Comment ?... Il va lire !... Ah ! Je viens fort à propos. ')",1.34,Substitution
329,"('#moliere', ""C'est un plaisir... "")","('#moliere', ""Avant de commencer, je vais en peu de mots  Exposer à vos yeux le but de cet ouvrage.  D'un habile imposteur je veux peindre l'image. "")",1.51,Substitution
330,"('#mathurin', 'Nous nous souviendrons toujours...')",,1.0,Insertion
331,"('#moliere', 'Cela ne vaut pas... ')",,1.0,Insertion
332,"('#antoine', 'Ah !  Croyez que notre coeur...')","('#laforet', 'Saint-Alban nous écoute...')",1.42,Substitution
333,"('#moliere', ""Il me vient d'un Tartuffe amoureux,  D'un Misanthrope sombre, quinteux,  D'un Étourdi, de quelques Fâcheux,  Et d'un Malade bizarre.  Ces gens-là peuvent bien se gêner ;  Mais ce qui va tous vous étonner,  Mes enfants, j'ai, pour vous le donner,  Fait contribuer un Avare.  Eh !  Mes amis, point de remerciements ; vous me faites un plus grand cadeau, vous autres !  Vous me donnez votre amitié...  Le coeur des honnêtes gens est sans prix. Cet argent me vient de gens fort singuliers... et que vous ne\n\tconnaissez pas. Il signe le contrat, et prenant une bourse dans son secrétaire. AIR : Des portraits à la mode. "")","('#moliere', ""Il nous écoute, bon,...  Le héros de ma pièce a les airs et le ton  D'un fourbe consommé, d'un adroit hypocrite,  Vainement on le craint, on le fuit, on l'évite ;  De se trouver partout, il a plus d'un moyen.  Il pense toujours mal, il parle toujours bien.  Il ment par piété, nous trompe en conscience ,  Et sans jamais donner, prêche la bienfaisance.  Pour lui, feindre est un art, et nuire est un besoin.  Haut et se levant."")",0.41,Substitution
334,"('#mathurin', 'Mais vraiment, cela est fort extraordinaire.')","('#saint-alban', 'Me voilà.... ')",0.9,Substitution
335,"('#madelon', ""Nous n'avons jamais vu chez vous ces hommes-là."")","('#ninon', 'Quoi ? ')",1.55,Substitution
336,"('#laforet', 'Je les ai vus, moi, et je vous mettrai au fait. ')","('#saint-alban', 'Messieurs, vous me croyiez bien loin. ')",1.21,Substitution
337,"('#mathurin', 'Vous allez venir avec nous ?')","('#ninon', ""Vous êtes dans l'erreur : nous pensions au contraire  Que nous allions vous voir. "")",0.56,Substitution
338,,"('#saint-alban', 'Cette épigramme est claire. ')",1.0,Deletion
339,"('#moliere', ""À l'instant je vous rejoins, je vais passer un habit ; retournez au jardin, et vous rentrerez quand je vous le dirai. "")","('#le-prince', 'Asseyez-vous. ')",1.35,Substitution
340,"('#antoine', 'Oh !  De bien bon coeur.')","('#ninon', 'De lui rions tous un moment. ')",1.35,Substitution
341,"('#antoine #madelon #mathurin', 'Du silence.  AIR : Frère Jacques. ')","('#saint-alban', 'Prince, vous écoutez un ouvrage imprudent  Qui ne paraîtra pas, que le Roi va défendre. ')",1.48,Substitution
342,"('#le-choeur', 'Du silence.')","('#ninon', ""Nous devons d'autant plus désirer de l'entendre. "")",1.34,Substitution
343,"('#moliere', 'Laissons-les. ')","('#saint-alban', 'Si par hasard au Roi ce voeu semble indiscret ! ')",1.35,Substitution
344,"('#le-choeur', 'Laissons les. ')","('#le-prince', 'Avez-vous sur ce point reçu ?...')",0.93,Substitution
345,"('#tous', 'Marchons avec prudence,  Marchons avec prudence.')","('#saint-alban', ""L'ordre est secret. "")",1.58,Substitution
346,"('#antoine', 'Paix !')","('#le-prince', ""Eh bien, n'en parlez plus. "")",1.57,Substitution
347,"('#madelon', 'Paix ! ')","('#saint-alban', ""Sans parler davantage  De défense, parlons du sujet de l'ouvrage.  Voilà des gens de goût, des auteurs bien connus  Dont on cite en tous lieux les talents, les vertus.  Je veux m'en rapporter à leur docte suffrage... Corneille, convenez qu'un pareil personnage... "")",1.85,Substitution
348,"('#le-choeur', 'Paix !')","('#corneille', 'Est bas et vil... ')",1.47,Substitution
349,"('#moliere', 'Paix ! ')","('#saint-alban', 'Eh bien ? ')",0.6,Substitution
350,"('#mathurin', 'Paix ! ')","('#corneille', 'Mais plein de vérité. ')",0.82,Substitution
351,"('#le-choeur', 'Paix ! ')","('#saint-alban', 'Comment ?')",0.0,Match
352,"('#lulli', ""Ah !...  Mais où suis-je ?  Chapelle, Mignard, Boileau....   Ah !  Dieu !  J'avais oublié qu'hier...  Ô funeste résolution !  J'étais ivre sans doute...  Oui, j'étais ivre, et ce qu'on promet dans l'ivresse...  Si je pouvais m'échapper...  Quelle lâcheté !  Quel opprobre !...  Boileau s'éveille...  Feignons de dormir encore. "")","('#corneille', ""C'est le fléau de la société... S'il n'eut par ses défauts dégradé Melpomène,  Avant Molière, moi, je l'eusse mis en scène. "")",1.04,Substitution
353,"('#boileau', ""Oui, je rêvais qu'une main ennemie  Dans le tombeau m'avait précipite,  Et que Cottin, en pleine academie,  Sur mon fauteuil avait été porte.  Combien le soleil enfante de bizarrerie ! Je rêvais ; mais, non, je ne rêvais pas....  Cette table, ces convives me rappellent....  Allons, c'est une folie....  Ce serait un crime...  Si je pouvais savoir ce que pensent....  Bon !  La Fontaine, Chapelle et Mignard ne dorment plus : écoutons.  AIR : On vit sortir d'une grotte profonde. "")","('#saint-alban', ""Il est fou ! Vous Boileau, dont j'aime la raison  Qui n'avez jusqu'ici rien pu trouver de bon...  Convenez que la pièce est au moins détestable. "")",0.83,Substitution
354,"('#la-fontaine', 'Avons-nous sommeillé longtemps ? ')",,1.0,Insertion
355,"('#chapelle', ""Il n'est pas jour encore."")",,1.0,Insertion
356,"('#mignard', 'Non, mais bientôt il faudra.... ')",,1.0,Insertion
357,"('#chapelle', ""Ahi !  Ahi !  Il ne l'a pas oublié. Des affaires qui me rappellent à Paris. À part. Haut. "")",,1.0,Insertion
358,"('#la-fontaine', 'Des affaires ?  Eh bien !  Il faut partir. ')",,1.0,Insertion
359,"('#chapelle', 'Des affaires pour lesquelles je voudrais que Molière....  Où donc est-il ?')","('#boileau', ""Mais La Fontaine hier m'a dit certaine fable  Qui pourra réunir les avis sur ce point.  Bonhomme, dis-nous là. "")",0.92,Substitution
360,"('#mignard', 'Sa santé lui aura fait craindre de veiller. ')",,1.0,Insertion
361,"('#la-fontaine', 'Dans peu de temps sa guérison sera parfaite.')",,1.0,Insertion
362,"('#chapelle', 'Je le crois. Oh Dieu !  La mémoire lui revient-elle ? À part.')","('#la-fontaine', ""Je ne m'en souviens point. "")",0.77,Substitution
363,"('#mignard', 'Si nous éveillons nos camarades ? ')",,1.0,Insertion
364,"('#chapelle', ""Non...  Non...  Pourquoi ?  Il n'est pas encore temps. "")",,1.0,Insertion
365,"('#la-fontaine', ""Les voilà qui s'éveillent eux-mêmes. "")",,1.0,Insertion
366,"('#chapelle', 'Ah !  Je tremble. À part.')","('#saint-alban', 'Bon. ')",1.22,Substitution
367,"('#mignard', ""Je ne sais où j'en suis. À part."")","('#chapelle', 'Je la sais. ')",1.13,Substitution
368,"('#le-choeur', ""Mes amis, le temps nous presse,  Profitons de cet instant ;  Livrons nos coeurs à l'ivresse  Qu'inspire un si doux moment :  Croyons tous à la promesse  Du bonheur qui nous attend.  Mes amis, le temps nous presse,  Profitons de cet instant. AIR : Habitants de ce village. "")",,1.0,Insertion
369,"('#moliere', 'Allons, plus de retard, remplissons notre engagement : voici tout le village, qui est dé à prévenu, et qui se fait un plaisir de nous accompagner. ')",,1.0,Insertion
370,"('#les-villageois', 'Oui.... sans doute.... assurément.')","('#saint-alban', 'Messieurs... ')",0.8,Substitution
371,"('#moliere', 'Comment !  Vous ne répondez rien ?  Ne vous souvient-il plus de votre résolution ?  Faut-il vous la répéter ? ')","('#le-prince', 'Ferez-vous donc silence ? ')",1.3,Substitution
372,"('#antoine', ""Ne point accepter la partie,  C'est vouloir nuire à not' bonheur.  A tout l'village qui vous prie  Ne refusez pas cet honneur.... AIR : Amusez-vous, jeunes fillettes. "")","('#saint-alban', 'Prince, soyez certain de mon obéissance. ')",1.37,Substitution
373,"('#chapelle', ""Certainement. Quel chien d'honneur !  À part."")",,1.0,Insertion
374,"('#madelon', ""Vous avez fait une promesse :  Vous coûterait-elle à remplir ?  Voyez la foule qui vous presse,  Ne la privez pas d'un plaisir."")","('#chapelle', ""On conte qu'un serpent voisin d'un horloger,  ( C'était pour l'horloger , un mauvais voisinage )  Entra dans sa boutique, et cherchant à manger  N'y rencontra pour tout potage  Qu'une lime d'acier qu'il se mit à ronger.  Cette lime lui dit, sans se mettre en colère :  Pauvre ignorant. Eh ! Que prétends-tu faire ?  Tu te prends à plus fort que toi ;  Petit serpent à tête folle,  Tu ne peux emporter de moi  Seulement le quart d'une obole  Tu le romprais toutes les dents,  Je ne crains que celles du temps.  Ceci s'adresse à vous, esprits du dernier ordre  Qui sur gens à talents cherchez toujours à mordre ;  Vous vous tourmentez vainement :  Croyez-vous que vos dents impriment leurs outrages  Sur tant de beaux ouvrages ?  Ils sont pour vous d'airain, d'acier, de diamant.  Le Serpent et la Lime."")",1.21,Substitution
375,"('#lulli', ""C'est très honnête assurément. Où ces gens-là mettent-ils leur plaisir ?  À part."")",,1.0,Insertion
376,"('#antoine', 'La cérémonie ne sera pas longue. ')",,1.0,Insertion
377,"('#chapelle', 'La cérémonie !')",,1.0,Insertion
378,"('#lulli', 'Comptez maintenant sur vos amis. ')",,1.0,Insertion
379,"('#mignard', 'Comme il est content, radieux ! ')",,1.0,Insertion
380,"('#mathurin', 'Il jouit du plaisir de faire une bonne action.')",,1.0,Insertion
381,"('#boileau', 'Une belle action !')","('#saint-alban', 'Bah ! bah... ')",0.8,Substitution
382,"('#laforet', ""Mais je ne vois pas qu'il faille tant se faire prier ; pendant que vous rêvez à je ne sais quoi, il passe de l'eau sous le pont.... "")",,1.0,Insertion
383,"('#lulli', ""Ne crains-tu pas qu'elle s'arrête ?"")",,1.0,Insertion
384,"('#moliere', ""L'heure avance, et Monsieur le curé.... "")",,1.0,Insertion
385,"('#boileau', ""Un curé !  Ah !  Ah ! Tu es un homme de précautions, et tu penses qu'on doit faire la chose en bons Chrétiens. À Molière."")","('#un-valet', 'Monsieur Molière, un page vous demande. ')",1.11,Substitution
386,"('#madelon', 'Comment !  Mais nous ne voulons pas autrement ; nous ne sommes pas excommuniés nous autres. ')",,1.0,Insertion
387,"('#moliere', 'Allons, mes amis, distribuez-nous des fleurs. On donne des bouquets. ')","('#un-page', ""J'arrive de Lille, "")",1.79,Substitution
388,"('#la-fontaine', 'Je ne sais ce que tout cela veut dire. ')","('#saint-alban', ""Oui, voyez ce qu'on vous mande. "")",1.86,Substitution
