,barante-arlequin-misanthrope,biancolelli-ecole-galante,Cost,Operation Type
353,"('#arlequin', ""J'y suis."")",,1.0,Insertion
354,"('#le-vieillard', ""Croyez-vous bien qu'un Gentilhomme de mes voisins n'avait pu avoir d'enfants en vingt-quatre ans de mariage ?"")",,1.0,Insertion
355,"('#arlequin', 'Hé bien ?')","('#octave', 'Quelle bonne nouvelle ?')",0.45,Substitution
356,"('#la-femme', ""L'eau de Forges lui en a donné."")","('#spinette', ""Pour nous voir en secret l'occasion est belle, Mon père de longtemps ne viendra dans ces lieux."")",1.45,Substitution
357,"('#arlequin', 'Entendons-nous.  Sa femme a bu les Eaux de Forges ?')","('#octave', ""Entrons, et profitons d'un moment précieux."")",1.15,Substitution
358,"('#le-vieillard', 'Oui.')",,1.0,Insertion
359,"('#arlequin', 'Chez elle ?')",,1.0,Insertion
360,"('#la-femme', ""Vraiment, cela n'opère que sur les lieux."")",,1.0,Insertion
361,"('#arlequin', 'Son mari y fut avec elle ?')",,1.0,Insertion
362,"('#le-vieillard', ""Non.  Il lui donna seulement son valet de Chambre pour l'accompagner."")","('#le-docteur', ""Je suis bien dissipé, je sors pour une affaire, Et j'oublie au Logis ce qui m'est nécessaire, Un Billet, sans lequel je ne puis recevoir La somme qui m'est due et que je veux avoir.  A mes ordres prescrits ma fille obéissante, Ainsi qu'elle le doit, répond á mon attente : Elle a fermé sa porte. Un père est trop heureux, Quand sa fille veut bien satisfaire à ses voeux ; Et je rends grâce au Ciel, dont la bonté suprême M'a fait naître un enfant d'une sagesse extrême.  Spinette ne sait pas ce que c'est qu'un amant, C'est ce qu'en une fille on trouve rarement ; Mais pour m'ouvrir la porte il faut que je l'appelle : Spinette, hola Spinette ! À présent que fait-elle ? Sans doute elle s'amuse à tricoter un bas, Je suis bien assuré qu'elle ne m'attend pas. En voyant la porte fermée."")",0.9,Substitution
363,"('#arlequin', ""Fort bien.  Remède innocentissime.  Allez, bon homme, retournez-vous-en chez vous si vous m'en croyez, et laissez-là des Eaux qui ne sont propres qu'à remettre la poitrine des Actrices de l'Opéra, et à pallier l'hydropisie de quelques filles de mauvais aloi."")","('#spinette', ""Que deviendrai-je hélas ! Juste Ciel, c'est mon père ! Courage, un stratagème est ici nécessaire. Ah ! Mon père je suis en proie à la douleur, Il vient de m'arriver le plus cruel Malheur... Vous allez à coup sûr me faire une querelle."")",1.23,Substitution
364,,"('#le-docteur', 'Ma fille que dis-tu ?')",1.0,Deletion
365,"('#la-femme', 'Mais, Monsieur...')",,1.0,Insertion
366,"('#arlequin', 'Adieu.  Dénichez.')","('#spinette', ""Cette robe si belle Que vous prîtes le soin vous-même d'acheter."")",1.36,Substitution
367,"('#le-vieillard', 'Cependant...')","('#le-docteur', 'Hé bien ?')",1.04,Substitution
368,"('#arlequin', ""Que de raisons !  Allons, à d'autres.  Qu'est-ce ces figures-là ?"")",,1.0,Insertion
369,"('#gasconne', ""Bargé se vou m'as un pau, Plaigni m'un pau, peccaire, Jo ne souffrissi tant de maux, Qu'jo ne sabi que faire. Se sers à ma plaço, jamais, Bargé Cossi vous plaignerai."")","('#spinette', 'Mon cher Papa je viens de la gâter : Elle est toute tachée.')",1.59,Substitution
370,"('#arlequin', ""En voilà d'un autre !  Voyons où cela ira."")","('#le-docteur', 'Ô Ciel, est-il possible !')",1.22,Substitution
371,"('#seconde-gasconne', 'Ah Mossu caigno de vous vayre, votre servente de bon cor.')",,1.0,Insertion
372,"('#arlequin', ""Diable !  Elle est servante des bons corps !  Mademoiselle, j'en suis fort aise, mon corps se porte bien à votre service. "")","('#spinette', ""Jugez à ce malheur si mon coeur est sensible ! Attendez un moment, j'entre pour la chercher, Vous verrez si sans peine on peut la détacher. Elle entre."")",1.23,Substitution
373,"('#seconde-gasconne', ""Ah, Mossu, vous souits plats aubligado, me fasets trop d'annou."")",,1.0,Insertion
374,"('#arlequin', ""Elle est fatiguée de trop d'honneur ?  Que Diable de gens sont-ce ?  Vraiment Mademoiselle, on sait bien que les gens d'au-delà de la Loire se fatiguent aisément de trop d'honneur, mais je n'en croyais pas les femmes tout à fait si rebutées."")","('#le-docteur', ""Parbleu, je suis touché d'un accident semblable Cette perte est vraiment assez considérable, Et j'en suis pénétré plus qu'on ne peut penser, On n'est pas en état toujours de dépenser. Spinette déploye la robe devant la porte, le Docteur la tient par un bout, et Octave sort par dessous sans que le Docteur le voie."")",0.94,Substitution
375,"('#seconde-gasconne', ""Mossu, à cos quiconque ravis, que d'entendre tout ce que disons de vous, peccaire. "")",,1.0,Insertion
376,"('#arlequin', ""Dison de bous, peccaire.  De moi on dit que je suis un pécheur ?  C'est selon, il y a telle femme pour qui je ne voudrais pas avoir fait la moindre petite faute.  Mais pour des minois Gascons colle le vôtre, on ne me trouvera jamais Normand."")","('#spinette', ""Prenez-la par un bout, regardez bien mon père, Pour moi je ne sais pas comment on pourra faire, La tache est grande, et moi je ne saurais penser Que quelque effort qu'on fasse on puisse l'effacer."")",0.99,Substitution
377,"('#seconde-gasconne', 'Ah, peccaire !  Que bons raisounats plat !')",,1.0,Insertion
378,"('#arlequin', 'Ho oui, fort bien, je raisonne au plat.')",,1.0,Insertion
379,"('#seconde-gasconne', 'Ah, Mossu, non disi pas accot.')",,1.0,Insertion
380,"('#arlequin', 'Je ne paie pas mon écot ?  Qui vous a dit cela.')",,1.0,Insertion
381,"('#seconde-gasconne', 'Cousino cresi que se truffo.')",,1.0,Insertion
382,"('#arlequin', ""Comment des Truffes ?  Est-ce que vous m'en apportez ?  Où sont vos Truffes ?  Cousine ?  Allons donc.  Mais vous reculez ?  Depuis quand les femmes de votre pays ont-elles appris à reculer ?"")","('#le-docteur', 'Où donc est-elle ?')",1.32,Substitution
383,"('#gasconne', ""Aro que souits grandetto, Jo ne reculi plus, Ai conneseut l'abus, Cal être doucetto, Et per poudets charma Me cal aima."")",,1.0,Insertion
384,"('#arlequin', ""Diable !  C'est chanter cela !  Et voilà une chanson que je trouverais fort jolie, si je l'entendais."")",,1.0,Insertion
385,"('#seconde-gasconne', 'Es plats jantio, Mossu, quello cançonetto.  Ma fasés semblant de ne nou pas entendre.')",,1.0,Insertion
386,"('#arlequin', ""Quand io eri pichotto, Boulios pas far l'amour ; Dari que sois grandotto, Boudrias lo fa toujours. Flon flon, etc. Ah, Mademoiselle, les semblants sont plus de votre pays que du mien.  Ce n'est pas qu'autrefois j'ai su un couplet de chanson, qui disait : Mais qu'allez-vous chercher toutes deux à Paris."")",,1.0,Insertion
387,"('#seconde-gasconne', 'Fortuno, Mossu, fortuno.  Dison que les gens de nouste pays, la fason tant vite.')",,1.0,Insertion
388,"('#arlequin', ""Mais, fortune pour une femme, c'est un mari."")",,1.0,Insertion
389,"('#seconde-gasconne', ""Ah, Mossu, bous venez tout d'un saut à l'essentiel.  Hé donc ?"")",,1.0,Insertion
390,"('#arlequin', ""Fillettes qu'anas à Paris Per cercas amants et maris ; Troubates prou frit gaites, abé : Ma guère d'espousaires, Bou m'entendez bé. Hé donc.  C'est bien dit.  Mais apprenez en votre patois, ce que vous trouverez où vous allez. Il chante sur un Vaudeville."")",,1.0,Insertion
391,"('#seconde-gasconne', 'Anen, Cousino, anen, se truffo ma de nautres.')",,1.0,Insertion
392,"('#monsieur-de-colafon', 'Serviteur très humble, Monsieur.')","('#spinette', 'Là.')",0.87,Substitution
393,,"('#le-docteur', ""Tu te moques, je pense Je n'y vois rien."")",1.0,Deletion
394,"('#arlequin', 'Bonjour, bonjour.')","('#spinette', 'Ici.')",0.05,Substitution
395,"('#monsieur-de-colafon', ""Avez-vous, Monsieur, besoin d'une petite leçon ?"")",,1.0,Insertion
396,"('#arlequin', ""Avec tout cet équipage, vous m'avez l'air de montrer le plus court chemin de l'Hôpital Général."")",,1.0,Insertion
397,"('#monsieur-de-colafon', ""Non, Monsieur, ce n'est pas cela."")",,1.0,Insertion
398,"('#arlequin', 'Mais que voulez-vous, et qui êtes-vous ?')",,1.0,Insertion
399,"('#monsieur-de-colafon', ""Hélas, Monsieur, sans exagérer, je puis me vanter, d'avoir couru la fortune au galop ; mais à présent..."")",,1.0,Insertion
400,"('#arlequin', ""À présent je vous défie d'aller au pas."")",,1.0,Insertion
401,"('#monsieur-de-colafon', 'Si vous connaissiez mon talent, mon habileté, ma souplesse...')","('#le-docteur', ""C'est une extravagance..."")",1.51,Substitution
402,"('#arlequin', 'Et quelle est votre profession ?')",,1.0,Insertion
403,"('#monsieur-de-colafon', ""J'étais Maître à Danser à l'Opéra de Lyon, mais comme l'Opéra est tombé..."")",,1.0,Insertion
404,"('#arlequin', 'Il vous est tombé sur le corps, et vous voilà tout estropié ?')",,1.0,Insertion
405,"('#monsieur-de-colafon', ""Comme l'Opéra est tombé, j'ai trouvé à propos de quitter la Ville.  Je n'avais pas beaucoup d'Écoliers, car mon fort est dans la Danse haute, je n'ai pas la patience, de montrer la danse basse."")","('#spinette', ""Ah ! Je sais ce que c'est, je dois me consoler, La tache d'elle-même a voulu s'en aller."")",1.0,Substitution
406,"('#arlequin', ""Hé, qui diable aurait la patience d'apprendre de vous ?  On disait bien que la danse était mal à cheval, mais je ne la croyais pas si mal à pied."")",,1.0,Insertion
407,"('#monsieur-de-colafon', ""Oh, monsieur, j'ai renoncé à la danse."")",,1.0,Insertion
408,"('#arlequin', ""C'est bien fait."")","('#le-docteur', 'Entrons.')",1.73,Substitution
409,"('#monsieur-de-colafon', 'Je me suis jeté dans le Fleuret...')",,1.0,Insertion
410,"('#arlequin', 'Tant pis, diable, tant pis !')",,1.0,Insertion
411,"('#monsieur-de-colafon', ""Bon !  Je suis le premier homme du monde, pour escrimer.  C'est moi qui ai eu l'honneur de mettre les armes à la main aux trois quarts de la petite Gendarmerie de la rue Au-fer, et de la rue Saint-Denis."")","('#spinette', ""Je le veux bien, je n'ai plus rien à craindre, Et je puis à présent le voir sans me contraindre, S'il fût entré chez nous sans faire un grand effort, Il aurait découvert la tache tout d'abord."")",1.33,Substitution
412,"('#arlequin', 'Tudieu !  Quels écoliers !')",,1.0,Insertion
413,"('#monsieur-de-colafon', ""Vous allez voir ce que je sais faire.  Allons, faites assaut contre moi. Le Maître à danser présente un Fleuret à Arlequin qui le refuse d'abord, et le prend enfin. Après avoir escrimé quelques moments, le Maître à danser sort un pistolet, et fait rendre la bourse à Arlequin, et s'en va en disant. Voilà une de mes bottes franches."")","('#arlequin', ""LE dessein en est pris, je vais faire carnage, Rien ne peut modérer ma fureur et ma rage : Il faut que l'infidèle expire sous mes coups, Et qu'elle soit l'objet de mon juste courroux. Je ne puis mieux punir le traître qui m'offense, Qu'en faisant sur sa belle éclater ma vengeance. Allons donc ... mais comment la ferai-je mourir ! Pourquoi m'embarrasser ? Elle a de quoi choisir. D'un coup de Mousqueton si je casse sa tête, Cela lui fera mal ... bon je suis une bête, Je ne puis la tuer et lui faire du bien ; Plutôt avec l'épée ... ah ! cela ne vaut rien, Je pourrais la blesser, la pauvre créature, Puis il faudrait payer les frais de sa blessure. Ne perdons point le temps en discours superflus, Je prétends qu'elle meure, ainsi n'en parlons plus. Hola !"")",0.49,Substitution
414,"('#arlequin', ""Au voleur, au voleur ?  Mais voici peut-être quelqu'un de ses camarades.  Taisons-nous, de peur qu'il ne nous en coûte la vie."")",,1.0,Insertion
415,"('#arlequin', ""Hé, bien Madame, Qu'est-ce ?  Qu'y a-t-il ?  Quoi plus ?  De quoi est-il question ?  Que demandez-vous ?  Et que veulent tous ces visages de plâtre ?  Venez-vous me montrer quelque botte franche ?"")","('#argentine', 'Que vois-je, ô Ciel ! Que prétendez-vous faire ?')",0.87,Substitution
416,"('#madame-de-l-architrave', ""Monsieur, je suis une fabricatrice de niches humaines, un antidote contre les injures du temps, un répertoire de la commodité des saisons, un alambic des aises de la vie ; Architecte à votre service, commandant pour l'honneur de vos commandements, une escouade de Limousins."")","('#arlequin', ""Rien, je veux vous purger, et vous tirer d'affaire : Hé bien, c'est donc ainsi, Madame la guenon, Que sans avoir égard à l'honneur, au renom, D'un vilain bois de Cerf vous arborez ma tête ? Il faut que vous mouriez, allons êtes-vous prête ?"")",0.52,Substitution
417,"('#arlequin', ""Hé bien, Madame, du répertoire, de l'alambic, et de l'escouade Limousine, de quoi est-il question ?"")",,1.0,Insertion
418,"('#madame-de-l-architrave', ""D'une petite affaire de rien touchant notre métier ; de bâtir une Ville."")",,1.0,Insertion
419,"('#arlequin', ""Une Ville ?  Il y en a déjà que trop.  Quand les hommes logeaient dans les Bois, ils étaient humains, et ne se mangeaient pas les uns les autres.  Le séjour des villes les a gâtées, les a rendus féroces, et plus ours et plus tigres que les ours et les tigres qu'ils ont laissés dans les forêts."")",,1.0,Insertion
420,"('#madame-de-l-architrave', ""Oh, cela est vrai ; et cependant nombre de gens qui veulent profiter de votre Philosophie, viendront s'établir ici, et vivre avec vous sous vos lois."")",,1.0,Insertion
421,"('#arlequin', 'Une ville ?')",,1.0,Insertion
422,"('#madame-de-l-architrave', ""Sans doute, une Ville pour les Mécontents ; elle sera peuplée dans un instant.  Vous aurez d'abord tous ces importants d'office, qui se plaignent éternellement que la Cour, qui ne les connaît pas, ne fait rien pour eux.  Ces mères Coquettes désespérées du mauvais goût des hommes, qui les quittent pour leurs filles.  Ces Grisettes de conséquence, qui croient que les privautés d'un Duc ou d'un Marquis, leur ont acquis des droits incontestables sur le Carrosse et le nombre de Laquais.  Ces gens de lettres pestant éternellement contre l'injustice de la fortune, et la dureté du siècle, et surtout ce nombre presque infini d'Auteurs altérés, dont tous les théâtres regorgent."")","('#argentine', ""Quoi, vous vous préparez à terminer mes jours, Et vous voulez vous-même en abréger le cours ? Détournez loin de moi cet appareil terrible, Qu'à mes vives douleurs vôtre coeur soit sensible. De tout ce que j'ai fait, ingrat est-ce le prix ? Par où donc ai-je pu m'attirer vos mépris ? Ha, de mes tristes yeux voyez couler mes larmes, Et daignez dissiper mes mortelles alarmes. Quand je veux vous donner le nom de mon époux, Que je cherche à répondre à vos voeux les plus doux, Vous pouvez vous résoudre à m'arracher la vie ! Vôtre fureur sur moi doit-elle etre assouvie ? A vos jaloux soupçons vous voulez m'immoler, Et c'est par vous, cruel, que mon sang, doit couler ?  Pendant qu'Argentine dit ces vers, Arlequin petit à petit laisse tomber toutes ses Armes en pleurant à sa manière, et faisant des lazzi tout plaisants, après quoi Argentine prend un mousqueton et va sur Arlequin, qui se met à genoux devant elle en criant."")",0.51,Substitution
423,"('#arlequin', 'Voilà une Architecte qui a du bon.  Vous êtes de belle humeur, Madame ?')",,1.0,Insertion
424,"('#madame-de-l-architrave', ""Pour vous servir, Monsieur.  L'air joyeux, est la première partie d'un Architecte.  Si nos bâtiments ne sont riants, je n'en donnerais pas une nèfle.  La joie, la joie, partout ?  Il faut de l'air dans les maisons, la vue libre, l'abord aisé, l'aspect gracieux, les avenues faciles, les faux fuyants commodes, et les sorties borgnes et à discrétion."")","('#argentine', ""Non, c'est sur toi qu'il faut qu'éclate ma colère, Je veux exécuter ce que tu n'as su faire, C'est à présent mon tour, et je vais te purger. C'est donc ainsi, faquin, que tu veux te venger ? Ah ! Le vilain magot, apprends à me connaître, Si tu viens au Logis, ma foi, par la fenêtre Je te ferai sortir."")",0.82,Substitution
425,"('#arlequin', 'Voici une femme rare !  Vous êtes donc bien employée, Madame.')",,1.0,Insertion
426,"('#madame-de-l-architrave', ""Oui !  Mais je n'aime à travailler que pour de jeunes veuves, et pour des gens d'affaires ; ce sont là les gens de bon goût, il faut primer avec eux.  Ils ont plus d'invention et de goût pour placer une chaise percée, que les autres pour arranger un cabinet."")",,1.0,Insertion
427,"('#arlequin', 'Les Abbés ne sont-ils pas de ce nombre ?  Vous les oubliez ?')",,1.0,Insertion
428,"('#madame-de-l-architrave', 'Oh point, ce sont des goûts différents.  Les Abbés appuient sur la cuisine, sur la cave, et les fausses portes des ruelles.')","('#arlequin', 'Mais...')",1.73,Substitution
429,"('#arlequin', ""Vous avez raison.  Diable !  Cette femme l'entend !  Est-ce vous qui avez inventé de mettre toutes les fenêtres en portes, surtout du côté des Jardins ?"")",,1.0,Insertion
430,"('#madame-de-l-architrave', ""Je n'ai pas trouvé cette invention, mais je l'ai perfectionnée ?  Vous allez voir ici de quoi je suis capable."")",,1.0,Insertion
431,"('#arlequin', ""Je vois bien qu'il faut s'y résoudre, il faut bien loger tant de gens qui viennent ici.  Car de quoi est-il question ?  Je vous avertis par avance que je veux une ville, qui ne ressemble en rien à Paris, où l'on ne paye point de Boues ni de Lanternes, et dont les rues ne servent que pour les chevaux, les mulets, les crocheteurs, et les autres bêtes de voiture."")","('#argentine', ""Tu parles, je crois ? Je te conseille encor de te jouer à moi ; Dans ta bouche je veux mettre quelque pilule, Mais non, de te tuer je me fais un scrupule, Tu n'en vaux pas la peine : adieu, maître poltron ; C'est ainsi que je sais punir un fanfaron. Elle entre."")",0.91,Substitution
432,"('#madame-de-l-architrave', ""Je suis votre fait.  Voici comme je m'y prendrai.  Je ferai qu'il y aura partout des Balcons publics qui régneront sans interruption de maison en maison, et qui feront un saut par-dessus les rues qu'ils traversent ; les lumières qui éclairent les chambres éclaireront les Balcons, toutes les fenêtres seront des portes pour la commodité du public, et après cela ce sera la faute des particuliers s'ils ne se rendent pas visite."")",,1.0,Insertion
433,"('#arlequin', ""Oui, mais cette commodité me paraît trop commode.  L'occasion fait le larron.  Ces Balcons et ces fenêtres de communication sont cause que l'on communique plus qu'il ne faut.  Tenez, depuis que vous avez inventé à Paris et à la Campagne, ces larges gouttières en forme de Corridor autour des mansardes, les jolies femmes ne logent plus qu'au grenier, et les hommes comme des chats passent la nuit sur les gouttières."")","('#arlequin', ""Voilà comme l'on doit se tirer d'une affaire, Ma foi, j'ai bien du coeur, et l'on ne peut mieux faire, Ah ! Chien de naturel ! J'admire ma valeur, Une femme aujourd'hui m'outrage et me fait peur ! "")",1.33,Substitution
434,"('#madame-de-l-architrave', ""Oh, Monsieur, c'est un abus que de s'abuser sur cela, les chats suivront toujours les chattes, et les femmes trouveront toujours des matous qui les suivront."")",,1.0,Insertion
435,"('#arlequin', ""Je pense qu'elle a raison, c'est un mal sans remède.  Mais revenons à notre Ville."")",,1.0,Insertion
436,"('#madame-de-l-architrave', 'Nous pourrons fort bien la bâtir sue cette Rivière qui est ici près : cela sera fort commode.')",,1.0,Insertion
437,"('#arlequin', ""Peste !  Gardez-vous en bien.  Une rivière ?  Et nous y verrions dans rien établir des Moulins de Javelles, des Charentons, des Ports à l'Anglais, des îles...  Enfin je ne veux point de rivière."")","('#pierrot', ""Petit fouille-partout, Dieu plus méchant qu'un Diable, Amour, c'est trop long temps me rendre misérable : Depuis que sur Pierrot décochant tous tes traits, Tu l'as fait par malice entrer dans tes filets, Il ne fait que languir, pleurer, gémir, et braire, Ma foi pour me guérir je ne sais plus que faire. J'ai depuis quelque temps un cours de ventre affreux : Argentine, mamour, doux objet de mes voeux, Quand soulagerez-vous le tourment que j'endure ? Vous avez un onguent très bon pour la brûlure. Aouf, quel gros soupir ! Non ce n'est pas un jeu, Je brûle là dedans, au feu, Messieurs, au feu."")",0.67,Substitution
438,"('#madame-de-l-architrave', ""Soit, soit ; je suis accommodante.  Il faudra donc la bâtir ici, et ce grand espace nous servira pour faire un beau jardin public, précédé d'une grande avenue d'arbres."")","('#scaramouche', 'Pourquoi crier au feu, ta Maison brûle-t-elle ?')",1.61,Substitution
439,"('#arlequin', 'Hé oui, oui, un Jardin !  Voilà-t-il pas Paris tout revenu ?  Je ne veux ni cours ni Tuileries, entendez-vous, parce que je veux bannir de notre Ville la coquetterie et la médisance.')","('#pierrot', ""Hélas, c'est que l'amour me trouble la cervelle : Je suis devenu fou par faute de raison, Et dans mon estomac je sens comme un tison,  Qui petit à petit par les deux bouts s'allume ; Je crains bien qu'à la fin ce feu ne me consume : Argentine est l'objet qui me fait tant languir, Elle m'aime beaucoup, et ne peut me souffrir."")",1.26,Substitution
440,"('#madame-de-l-architrave', ""J'ai tout prévu, je m'en vais commander mon Escouade de placer mon monde dans les postes convenables. Madame de l'Architrave se retire, et en même temps tous les maçons qui l'accompagnaient bâtissent en dansant, un magnifique Palais."")","('#scaramouche', ""Aux dépens de Pierrot, ma foi je prétends rire : C'est donc-là la beauté pour qui ton coeur soupire ? Comment pauvre nigaud veux-tu t'en faire aimer ? Peut-on en te voyant se laisser enflammer ? Un habit de meunier te sert de couverture, Tu n'as point de cheveux, et ta laide figure Doit plutôt dans une âme inspirer du mépris : Aujourd'hui, mon enfant, on s'attache aux habits, Et quand tu serais beau comme un petit Narcisse, Si tu n'est bien vêtu, tu seras un Jocrisse,"")",0.67,Substitution
441,"('#arlequin', ""Diantre !  C'est bâtir bien gaiement !  Mais pour qui destinez-vous cette habitation superbe ?"")","('#pierrot', ""Comment, c'est donc l'habit qui donne de l'amour ?"")",1.24,Substitution
442,"('#un-maçon', ""Superbe, Monsieur.  Bon !  C'est la maison de campagne d'une fille de l'Opéra.  Ce n'est rien que cela, si vous voyez comme elle est meublée !"")","('#scaramouche', ""Aux habits, à l'argent les femmes font la cour : Est-on riche et bien mis, on doit s'attendre à plaire, La femme aime l'éclat, et non pas la misère. Fagoté de la sorte avec ce vêtement, On te prendrait ma foi pour un sac de froment : Mais si Pierrot voulait reformer sa figure, Et comme un petit Maître affecter la parure, Se mettre tout en frange, et se poudrer le dos, Il serait en amour reçu comme un héros. Oui tu serais couru de toutes les coquettes, Des Dames du grand air, et même des grisettes : Je vais, si tu le veux, pour te mettre en crédit, Dans ce même moment te chercher un habit."")",1.03,Substitution
443,"('#arlequin', ""Est-ce que vos maisons se meublent à mesure qu'on les bâtit ?"")",,1.0,Insertion
444,"('#un-maçon', ""Elles sont faites, meublées, et occupées tout à la fois.  Tenez, voilà l'Opératrice en question, sans doute elle veut répéter quelque chose."")",,1.0,Insertion
445,"('#la-chanteuse', ""Miei spirti amorosi, Brillatem'in sen : Amor vuol ch'io posi In braccio al mio ben. Miei spirti amorosi, Brillatem'in sen."")",,1.0,Insertion
446,"('#arlequin', ""Mais voilà qui est étonnant !  Je n'aurais jamais cru une fille d'Opéra si magnifiquement logée."")",,1.0,Insertion
447,"('#un-maçon', ""Il y a quinze jours qu'elle occupait un grenier, et il n'est pas bien décidé si elle ne retournera pas à son premier gîte.  En un mot, si vous voulez voir les fortunes de Théâtre, les voilà.  Un moment les élève, un moment les détruit. Tout le Palais se détruit."")",,1.0,Insertion
448,"('#arlequin', ""Je ne fais pas l'amour, Madame, en jeune sot, Et ne sais pas longtemps tourner autour du pot. Je vais d'abord au fait. Je vous aime, ma Reine, Vos yeux comme un forçat me tiennent à la chaîne ; Mais sans perdre le temps en fades compliments, Songez que les déserts sont faits pour les Amants, Profitez-en."")","('#pierrot', ""Tope, je le veux bien, que j'aurai bonne mine ! Je suis sûr de charmer mon aimable Argentine, Quand elle me verra couvert d'un bel harnois : Dans le fond je n'ai pas un trop vilain minois,  Ce n'est que cet habit qui seul me défigure, Sans cela j'aurais eu quelque bonne aventure. Scaramouche revient avec un habit tout garni de franges de soie, le chapeau et les gants de même ; il habille Pierrot, après quoi il lui dit qu'il est trop pâle, et qu'il faut lui donner un peu de couleur ; il prend une palette de Peintre, et lui barbouille le visage avec différentes couleurs ; il lui met ensuite une Perruque et le poudre par tout, en disant que c'est la mode d'être en frange et bien poudré : après plusieurs jeux de théâtre il le laisse en lui disant qu'il va avertir Argentine de le venir voir ; mais il dit qu'il veut le faire rosser, et que pour cet effet il va envoyer des gens de sa connaissance qui en feront l'office."")",0.26,Substitution
449,"('#colombine', ""Jamais d'une si brusque flamme Le pétulant aveu ne touchera mon âme ; Mais hélas ! Suis-je encor maîtresse de mon coeur ? Vous le savez, Octave..."")",,1.0,Insertion
450,"('#arlequin', ""Oh ma foi, serviteur, Pour donner là-dedans je sais trop bien l'usage ; Ma Mignonne, il n'est plus de Novice à votre âge : À dix-huit ans passés quand on a de l'esprit, Le changement d'amant réveille l'appétit. Du lieu d'où vous venez oubliez-vous la mode ? Voulez-vous des Romans pratiquer la méthode ? À lorgner dans un bois croyez-vous m'obliger ? En Céladon moderne allez-vous m'ériger ? Un héros de Cyrus sans crainte de faiblesse, Pouvoir impunément enlever sa Maîtresse ; Avec lui sans façon la belle s'embarquait, Il ne lui baisait pas le petit bout du doigt. Ces braves Chevaliers par combats et prouesses. Envers et contre tous défendaient leurs Princesses ; Mais tout bien compassé, ces valeureux nigauds N'étaient de leur honneur que les Custodicos. Comme ce temps n'est plus, un autre a pris sa place, Les choses aujourd'hui se font de bonne grâce ; Et dès qu'en pareil cas l'Amant sait demander, De son côté la belle est prête d'accorder. Vous connaissez l'amour, je le connais de même Nous sommes seuls ici, Madame, et je vous aime."")","('#pierrot', ""Voilà ce qui s'appelle être sur le bon pied, Au Diable l'habit blanc, fi je faisais pitié : Sous ces beaux ornements je pourrai bien paraître, Je crois qu'ainsi vêtu j'ai l'air d'un petit Maître. Quatre Danseurs avec des bâtons entrent au son des violons, font une danse figurée, en chargeant Pierrot de coups ; après quoi ils prennent un tapis, le mettent dedans, et l'emportent en cadence. Pierrot crie, et le second acte finit."")",0.5,Substitution
451,"('#colombine', ""L'ai-je bien entendu ? Quelle surprise, ô Dieux ? Que me proposez-vous ? Ah trop funestes lieux ! À de pareils propos me serais-je attendue ? Seigneur, rendez le calme à mon âme éperdue. Voudriez-vous tout de bon... Non c'est pour m'éprouver."")","('#octave', ""Quand du puissant amour nous ressentons les feux, Ce vainqueur aisément nous rend ingénieux ; A qui subit ses lois il n'est rien d'impossible, Ce Dieu fait surmonter un obstacle invincible : C'est par lui que Spinette a trompé le Docteur, Ce tour est merveilleux, et j'en ris de bon coeur. Mais il faut au plutôt m'assurer de la belle, Quoique son père fasse exacte sentinelle, Je prétends l'enlever, le dessein en est pris, Et je ne puis enfin être heureux qu'à ce prix."")",0.41,Substitution
452,"('#arlequin', ""Madame, en mes panneaux je n'irai pas crever. Quelque sot !"")",,1.0,Insertion
453,"('#colombine', 'Ah, Seigneur, vous êtes Philosophe ?')",,1.0,Insertion
454,"('#arlequin', ""Bon bon ! Nous sommes de la même étoffe ; Et Philosophe, ou non, Madame, il est écrit, Que l'on a de l'amour, quand on a de l'esprit, Cet esprit voit en vous de quoi me satisfaire, Vos petites façons ont le secret de plaire, Et le sort me donnant femme et lieux à mon choix Je crois qu'il ne faut pas que j'en fasse à deux fois."")","('#leandre', ""Cher ami, vos conseils ont engagé mon âme A brûler comme vous d'une fidèle flamme ; Les leçons d'Arlequin m'ont su déterminer, Je vous fais un aveu qui doit vous étonner : L'indifférence était de mon coeur, le partage, Mais l'amour aujourd'hui s'y fait un doux passage."")",0.17,Substitution
455,"('#colombine', ""Vous ne rougissez pas d'avoir tant de faiblesse, Vous que l'on voit prêcher une austère sagesse ? Vous qui vous gendarmez sur les défauts d'autrui ?"")","('#octave', 'Vous aimez ?')",1.24,Substitution
