,la-fontaine-daphne,quinault-atys,Cost,Operation Type
200,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#cybele', ""Espoir si cher, et si doux, Ah ! Pourquoi me trompez-vous ? Des suprêmes grandeurs vous m'avez fait descendre, Mille coeurs m'adoraient, je les néglige tous, Je n'en demande qu'un, il a peine à se rendre ; Je ne sens que chagrins, et que soupçons jaloux ; Est-ce le sort charmant que je devais attendre ? Espoir si cher, et si doux, Ah ! Pourquoi me trompez-vous ? Hélas ! Par tant d'attraits fallait-il me surprendre ? Heureuse, si toujours j'avais pu m'en défendre ! L'amour qui me flattait me cachait son courroux : C'est donc pour me frapper des plus funestes coups, Que le cruel amour m'a fait un coeur si tendre ? Espoir si cher, et si doux, Ah ! Pourquoi me trompez-vous ?"")",0.11,Substitution
201,,"('#doris', 'Quoi, vous pleurez ?')",1.0,Deletion
202,,"('#idas', ""D'où vient votre peine nouvelle ?"")",1.0,Deletion
203,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#doris', ""N'osez-vous découvrir votre amour à Cybèle ?"")",1.12,Substitution
204,,"('#sangaride', 'Hélas !')",1.0,Deletion
205,"('#telamon', ""N'en saurai-je pas plus ?"")","('#doris #idas', 'Qui peut encor redoubler vos ennuis ?')",1.28,Substitution
206,,"('#sangaride', ""Hélas ! J'aime... Hélas ! J'aime..."")",1.0,Deletion
207,,"('#doris #idas', 'Achevez.')",1.0,Deletion
208,"('#clymene', ""Je n'ai rien appris d'elle."")","('#sangaride', 'Je ne puis.')",1.6,Substitution
209,,"('#doris #idas', ""L'amour n'est guère heureux lorsqu'il est trop timide."")",1.0,Deletion
210,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#sangaride', ""Hélas ! J'aime un perfide Qui trahit mon amour ; La déesse aime Atys, il change en moins d'un jour, Atys comblé d'honneurs n'aime plus Sangaride. Hélas ! J'aime un perfide Qui trahit mon amour."")",0.95,Substitution
211,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",,1.0,Insertion
212,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#doris #idas', ""Il nous montrait tantôt un peu d'incertitude ; Mais qui l'eut soupçonné de tant d'ingratitude ?"")",0.79,Substitution
213,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#sangaride', ""J'embarrassais Atys, je l'ai vu se troubler : Je croyais devoir révéler Notre amour à Cybèle ; Mais l'ingrat, l'infidèle, M'empêchât toujours de parler."")",1.08,Substitution
214,,"('#doris #idas', ""Peut-on changer si tôt quand l'amour est extrême ? Gardez-vous, gardez-vous De trop croire un transport jaloux."")",1.0,Deletion
215,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#sangaride', ""Cybèle hautement déclare qu'elle l'aime, Et l'ingrat n'a trouvé cet honneur que trop doux ; Il change en un moment, je veux changer de même, J'accepterai sans peine un glorieux époux, Je ne veux plus aimer que la grandeur suprême."")",0.43,Substitution
216,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#doris #idas', ""Peut-on changer si tôt quand l'amour est extrême ? Gardez-vous, gardez-vous De trop croire un transport jaloux."")",1.15,Substitution
217,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#sangaride', ""Trop heureux un coeur qui peut croire Un dépit qui sert à sa gloire. Revenez ma raison, revenez pour jamais, Joignez-vous au dépit pour étouffer ma flamme, Réparez, s'il se peut, les maux qu'amour m'a fait, Venez rétablir dans mon âme Les douceurs d'une heureuse paix ; Revenez, ma raison, revenez pour jamais."")",0.2,Substitution
218,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#doris #idas', ""Une infidélité cruelle N'efface point tous les appas D'un infidèle, Et la raison ne revient pas Si tôt qu'on l'a rappelle."")",0.95,Substitution
219,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')","('#sangaride', ""Après une trahison Si la raison ne m'éclaire, Le dépit et la colère Me tiendront lieu de raison."")",1.25,Substitution
220,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",,1.0,Insertion
221,"('#leucippe', 'Et mon bien ?')",,1.0,Insertion
222,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#sangaride #doris #idas', ""Qu'une première amour est belle ? Qu'on a peine à s'en dégager ! Que l'on doit plaindre un coeur fidèle Lorsqu'il est forcé de changer."")",0.91,Substitution
223,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#celaenus', ""Belle nymphe, l'hymen va suivre mon envie, L'amour avec moi vous convie À venir vous placer sur un trône éclatant, J'approche avec transport du favorable instant D'où dépend la douceur du reste de ma vie : Mais malgré les appas du bonheur qui m'attend, Malgré tous les transports de mon âme amoureuse, Si je ne puis vous rendre heureuse, Je ne serai jamais content. Je fais mon bonheur de vous plaire, J'attache à votre coeur mes désirs les plus doux."")",0.61,Substitution
224,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#sangaride', ""Seigneur, j'obéirai, je dépends de mon père, Et mon père aujourd'hui veut que je sois à vous."")",1.44,Substitution
225,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#celaenus', 'Regardez mon amour, plutôt que ma couronne.')",1.33,Substitution
226,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",,1.0,Insertion
227,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#sangaride', ""Ce n'est point la grandeur qui me peut éblouir."")",1.31,Substitution
228,"('#telamon', 'Changera-t-il son âme ?')","('#celaenus', ""Ne sauriez-vous m'aimer sans que l'on vous l'ordonne."")",1.52,Substitution
229,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')","('#sangaride', ""Seigneur contentez-vous que je sache obéir, En l'état où je suis c'est ce que je puis dire..."")",1.47,Substitution
230,,"('#celaenus', 'Votre coeur se trouble, il soupire.')",1.0,Deletion
231,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#sangaride', 'Expliquez en votre faveur Tout ce que vous voyez de trouble dans mon coeur.')",0.98,Substitution
232,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#celaenus', ""Rien ne m'alarme plus, Atys, ma crainte est vaine, Mon amour touche enfin le coeur de la beauté Dont je suis enchanté : Toi qui fus témoin de ma peine, Cher Atys, sois témoin de ma félicité. Peux-tu la concevoir ? Non, il faut que l'on aime, Pour juger des douceurs de mon bonheur extrême. Mais, près de voir combler mes voeux, Que les moments sont longs pour mon coeur amoureux ! Vos parents tardent trop, je veux aller moi-même Les presser de me rendre heureux."")",0.54,Substitution
233,,"('#atys', ""Qu'il sait peu son malheur ! Et qu'il est déplorable ! Son amour méritait un sort plus favorable : J'ai pitié de l'erreur dont son coeur s'est flatté."")",1.0,Deletion
234,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')","('#sangaride', ""Épargnez-vous le soin d'être si pitoyable, Son amour obtiendra ce qu'il a mérité."")",1.29,Substitution
235,,"('#atys', ""Dieux ! Qu'est-ce que j'entends !"")",1.0,Deletion
236,,"('#sangaride', ""Qu'il faut que je me venge. Que j'aime enfin le roi, qu'il sera mon époux."")",1.0,Deletion
237,,"('#atys', ""Sangaride, eh d'où vient ce changement étrange ?"")",1.0,Deletion
238,,"('#sangaride', ""N'est-ce pas vous, ingrat, qui voulez que je change ?"")",1.0,Deletion
239,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')","('#atys', 'Moi !')",1.53,Substitution
240,,"('#sangaride', 'Quelle trahison !')",1.0,Deletion
241,"('#un-berger', ""L'ennemi commun est mort."")","('#atys', 'Quel funeste courroux !')",1.72,Substitution
242,,"('#atys #sangaride', ""Pourquoi m'abandonner pour une amour nouvelle ? Ce n'est pas moi qui rompt une chaîne si belle."")",1.0,Deletion
243,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')","('#atys', ""Beauté trop cruelle, c'est vous."")",1.45,Substitution
244,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")","('#sangaride', ""Amant infidèle, c'est vous."")",1.68,Substitution
245,,"('#atys', ""Ah ! C'est vous, beauté trop cruelle."")",1.0,Deletion
246,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#sangaride', ""Ah ! C'est vous amant infidèle."")",1.23,Substitution
247,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",,1.0,Insertion
248,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
249,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
250,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")",,1.0,Insertion
251,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#atys #sangaride', ""Beauté trop cruelle, c'est vous, Amant infidèle, c'est vous, Qui rompez des liens si doux."")",1.22,Substitution
252,,"('#sangaride', ""Vous m'avez immolée à l'amour de Cybèle."")",1.0,Deletion
253,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",,1.0,Insertion
254,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#atys', ""Il est vrai qu'à ses yeux, par un secret effroi, J'ai voulu de nos coeurs cacher l'intelligence : Mais ce n'est que pour vous que j'ai craint sa vengeance, Et je ne la crains pas pour moi. Cybèle m'aime en vain, et c'est vous que j'adore."")",0.31,Substitution
255,,"('#sangaride', 'Après votre infidélité, Auriez-vous bien la cruauté De vouloir me tromper encore ?')",1.0,Deletion
256,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#atys', ""Moi ! Vous trahir ? Vous le pensez ? Ingrate, que vous m'offensez ! Hé bien, il ne faut plus rien taire, Je vais de la déesse attirer la colère, M'offrir à sa fureur, puisque vous m'y forcez..."")",0.31,Substitution
257,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#sangaride', ""Ah ! Demeurez, Atys, mes soupçons sont passés ; Vous m'aimez, je le crois, j'en veux être certaine. Je le souhaite assez, Pour le croire sans peine."")",1.11,Substitution
258,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")","('#atys', 'Je jure,')",1.28,Substitution
259,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")","('#sangaride', 'Je promets,')",1.11,Substitution
260,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#atys #sangaride', 'De ne changer jamais.')",1.96,Substitution
261,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#sangaride', ""Quel tourment de cacher une si belle flamme. Redoublons-en l'ardeur dans le fonds de nôtre âme."")",1.4,Substitution
262,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')","('#atys #sangaride', 'Aimons en secret, aimons-nous : Aimons plus que jamais, en dépit des jaloux.')",0.99,Substitution
263,,"('#sangaride', 'Mon père vient ici.')",1.0,Deletion
264,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#atys', 'Que rien ne vous étonne ; Servons-nous du pouvoir que Cybèle me donne, Je vais préparer les zéphyrs À suivre nos désirs.')",0.94,Substitution
265,,"('#sangar', ""Ô vous, qui prenez part au bien de ma famille, Vous, vénérables dieux des fleuves les plus grands, Mes fidèles amis, et mes plus chers parents, Voyez quel est l'époux que je donne à ma fille : J'ai pris soin de choisir entre les plus grands rois."")",1.0,Deletion
266,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
267,"('#aminte', 'Aurait-elle mieux répondu ?')","('#fleuves', 'Nous approuvons votre choix.')",1.59,Substitution
268,,"('#sangar', ""Il a Neptune pour père, Les phrygiens suivent ses lois ; J'ai crû ne pouvoir faire Un choix plus digne de vous plaire."")",1.0,Deletion
269,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#fleuves', ""Tous, d'une commune voix, Nous approuvons votre choix. Le dieu du fleuve Sangar. Que l'on chante, que l'on danse, Rions tous lorsqu'il le faut ; Ce n'est jamais trop tôt Que le plaisir commence. On trouve bientôt la fin Des jours de réjouissance ; On a beau chasser le chagrin, Il revient plutôt qu'on ne pense."")",1.12,Substitution
270,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#sangar #fleuves', ""Que l'on chante, que l'on danse, Rions tous lorsqu'il le faut ; Ce n'est jamais trop tôt Que le plaisir commence : Que l'on chante, que l'on danse, Rions tous lorsqu'il le faut."")",1.49,Substitution
271,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#fleuves #fontaines #ruisseaux', ""La beauté la plus sévère Prend pitié d'un long tourment, Et l'amant qui persévère Devient un heureux amant. Tout est doux, et rien ne coûte Pour un coeur qu'on veut toucher, L'onde se fait une route En s'efforçant d'en chercher, L'eau qui tombe goutte à goutte Perce le plus dur rocher. L'hymen seul ne saurait plaire, Il a beau flatter nos voeux ; L'amour seul a droit de faire Les plus doux de tous les noeuds. Il est fier, il est rebelle, Mais il charme tel qu'il est ; L'hymen vient quand on l'appelle, L'amour vient quand il lui plaît. Il n'est point de résistance Dont le temps ne vienne à bout, Et l'effort de la constance À la fin doit vaincre tout. Tout est doux, et rien ne coûte Pour un coeur qu'on veut toucher, L'onde se fait une route En s'efforçant d'en chercher, L'eau qui tombe goutte à goutte Perce le plus dur rocher. L'amour trouble tout le monde, C'est la source de nos pleurs ; C'est un feu brûlant dans l'onde, C'est l'écueil des plus grands coeurs : Il est fier, il est rebelle, Mais il charme tel qu'il est ; L'hymen vient quand on l'appelle, L'amour vient quand il lui plaît."")",0.4,Substitution
272,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")","('#fleuve #fontaine', ""D'une constance extrême, Un ruisseau suit son cours ; Il en sera de même Du choix de mes amours, Et du moment que j'aime C'est pour aimer toujours. Jamais un coeur volage Ne trouve un heureux sort, Il n'a point l'avantage D'être longtemps au port, Il cherche encor l'orage Au moment qu'il en sort."")",1.49,Substitution
273,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#fleuves #fontaines', ""Un grand calme est trop fâcheux, Nous aimons mieux la tourmente. Que sert un coeur qui s'exempte De tous les soins amoureux ? À quoi sert une eau dormante ? Un grand calme est trop fâcheux, Nous aimons mieux la tourmente."")",1.05,Substitution
274,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#fleuves #fontaines', 'Venez former des noeuds charmants, Atys, venez unir ces bienheureux amants.')",1.14,Substitution
275,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")","('#atys', ""Cet hymen déplaît à Cybèle, Elle défend de l'achever : Sangaride est un bien qu'il faut lui réserver, Et que je demande pour elle."")",1.22,Substitution
276,,"('#le-choeur', 'Ah quelle loi cruelle !')",1.0,Deletion
277,,"('#celaenus', ""Atys peut s'engager lui-même à me trahir ? Atys contre moi s'intéresse ?"")",1.0,Deletion
278,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
279,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")","('#atys', ""Seigneur, je suis à la déesse, Dés qu'elle a commandé, je ne puis qu'obéir"")",0.98,Substitution
280,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",,1.0,Insertion
281,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#sangar #choeur', ""Pourquoi faut-il qu'elle sépare Deux illustres amants pour qui l'hymen prépare Ses liens les plus doux ?"")",1.46,Substitution
282,,"('#le-choeur', 'Opposons-nous À ce dessein barbare.')",1.0,Deletion
283,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#atys', ""Apprenez, audacieux, Qu'il n'est rien qui n'obéisse Aux souveraines lois de la reine des dieux. Qu'on nous enlève de ces lieux ; Zéphyrs, que sans tarder mon ordre s'accomplisse. Les zéphyrs volent et enlèvent Atys et Sangaride."")",0.76,Substitution
284,,"('#choeur', 'Quelle injustice !')",1.0,Deletion
285,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")","('#celaenus', ""Vous m'ôtez Sangaride ? Inhumaine Cybelle ; Est-ce le prix du zèle Que j'ai fait avec soin éclater à vos yeux ? Préparez-vous ainsi la douceur éternelle Dont vous devez combler ces lieux ? Est-ce ainsi que les rois sont protégés des dieux ? Divinité cruelle, Descendez-vous exprès des cieux Pour troubler un amour fidèle ? Et pour venir m'ôter ce que j'aime le mieux ?"")",0.8,Substitution
286,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#cybele', ""J'aimais Atys, l'amour a fait mon injustice ; Il a pris soin de mon supplice ; Et si vous êtes outragé, Bientôt vous serez trop vengé. Atys adore Sangaride."")",0.65,Substitution
287,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#celaenus', ""Atys l'adore ? Ah le perfide !"")",1.43,Substitution
288,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",,1.0,Insertion
289,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#cybele', ""L'ingrat vous trahissait, et voulait me trahir : Il s'est trompé lui-même en croyant m'éblouir. Les zéphyrs l'ont laissé, seul, avec ce qu'il aime, Dans ces aimables lieux ; Je m'y suis cachée à leurs yeux ; J'y viens d'être témoin de leur amour extrême."")",0.0,Match
290,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#celaenus', ""Ô ciel ! Atys plairait aux yeux qui m'ont charmé ?"")",1.53,Substitution
291,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#cybele', ""Eh pouvez-vous douter qu'Atys ne soit aimé ? Non, non, jamais amour n'eût tant de violence, Ils ont juré cent fois de s'aimer malgré nous, Et de braver notre vengeance ; Ils nous ont appelés cruels, tyrans, jaloux ; Enfin leurs coeurs d'intelligence, Tous deux... ah je frémis au moment que j'y pense ! Tous deux s'abandonnaient à des transports si doux, Que je n'ai pu garder plus longtemps le silence : NI retenir l'éclat de mon juste courroux."")",0.51,Substitution
292,,"('#celaenus', 'La mort est pour leur crime une peine légère.')",1.0,Deletion
293,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")",,1.0,Insertion
294,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#cybele', ""Mon coeur à les punir est assez engagé ; Je vous l'ai déjà dit, croyez-en ma colère, Bientôt vous serez trop vengé."")",0.59,Substitution
295,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#cybele #celaenus', 'Venez vous livrer au supplice.')",1.32,Substitution
296,,"('#atys #sangaride', ""Quoi la terre et le ciel contre nous sont armés ? Souffrirez-vous qu'on nous punisse ?"")",1.0,Deletion
297,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#cybele #celaenus', 'Oubliez-vous votre injustice ?')",0.78,Substitution
298,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')","('#atys #sangaride', 'Ne vous souvient-il plus de nous avoir aimés ?')",1.87,Substitution
299,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#cybele #celaenus', 'Vous changez mon amour en haine légitime.')",1.38,Substitution
300,"('#daphne', 'Il le faut.')",,1.0,Insertion
301,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#atys #sangaride', ""Pouvez-vous condamner L'amour qui nous anime ? Si c'est un crime, Quel crime est plus à pardonner ?"")",1.44,Substitution
302,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#cybele #celaenus', ""Perfide, deviez-vous me taire Que c'était vainement que je voulais vous plaire ?"")",0.36,Substitution
303,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#atys #sangaride', 'Ne pouvant suivre vos désirs, Nous croyons ne pouvoir mieux faire Que de vous épargner de mortels déplaisirs.')",0.7,Substitution
304,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")","('#cybele', ""D'un supplice cruel craignez l'horreur extrême."")",1.42,Substitution
305,"('#leucippe', 'Achevez.')",,1.0,Insertion
306,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#cybele #celaenus', 'Craignez un funeste trépas.')",1.53,Substitution
307,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")",,1.0,Insertion
308,"('#daphne-', ""Ne m'aimez plus."")","('#atys #sangaride', ""Vengez-vous, s'il le faut, ne me pardonnez pas, Mais pardonnez à ce que j'aime."")",0.46,Substitution
309,,"('#cybele #celaenus', ""C'est peu de nous trahir, vous nous bravez, ingrats ?"")",1.0,Deletion
310,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')","('#atys #sangaride', 'Serez-vous sans pitié ?')",0.7,Substitution
311,,"('#cybele #celaenus', 'Perdez toute espérance.')",1.0,Deletion
312,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#atys #sangaride', ""L'amour nous a forcés à vous faire une offense, Il demande grâce pour nous."")",1.03,Substitution
313,,"('#cybele #celaenus', ""L'amour en courroux Demande vengeance."")",1.0,Deletion
314,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#cybele', ""Toi, qui portes partout et la rage et l'horreur, Cesse de tourmenter les criminelles ombres, Viens, cruelle Alecton, sors des royaumes sombres, Inspire au coeur d'Atys ta barbare fureur."")",0.85,Substitution
