,campistron-achille,quinault-isis,Cost,Operation Type
195,"('#andromaque', ""Ah ! Ma soeur, savez-vous qu'Achille Se flatte qu'un hymen tranquille Avant la fin du jour doit vous unir tous deux ? Souffrirez-vous que ce noeud s'accomplisse ? Et pouvez-vous, sans injustice, De ce fier ennemi favoriser les voeux ? Auriez-vous oublié que sa valeur barbare D'un frère tant aimé pour jamais vous sépare ? D'un frère la terreur, et l'amour des mortels : Cette sanglante mort, cette affreuse victoire Toujours présente à ma mémoire, A condamné mes yeux à des pleurs éternels."")","('#syrinx', ""Je déclare à l'Amour une guerre immortelle."")",0.57,Substitution
196,"('#polixene', 'Est-ce de moi que mon sort doit dépendre ? Priam seul en peut disposer.')",,1.0,Insertion
197,"('#andromaque', ""Par ce détour croyez-vous m'abuser ? Non, non, je commence à comprendre Quels sont vos sentiments secrets, Vos yeux timides et distraits Ne me les font que trop entendre."")","('#troupe-de-bergers', 'Cruelle, arrêtez !')",0.91,Substitution
198,,"('#troupe-de-sylvains-et-de-satyres', 'Arrêtez cruelle.')",1.0,Deletion
199,,"('#syrinx', 'On me retient de tous côtés')",1.0,Deletion
200,"('#polixene', 'Que voulez-vous me dire ? Et que soupçonnez-vous ?')","('#troupe-de-sylvains-et-de-satyres', 'Cruelle, arrêtez !')",1.04,Substitution
201,,"('#syrinx', ""Dieux, protecteurs de l'innocence,  Naïades, Nymphes des eaux. J'implore ici votre assistance. Syrinx se jette dans les eaux."")",1.0,Deletion
202,"('#andromaque', ""Que loin de seconder ma haine, Vous verrez, sans peine, Ce funeste ennemi devenir votre époux. Vous voulez jouir de la gloire De triompher de sa fierté, C'est une agréable victoire Pour votre vanité."")","('#pan', ""Où vous exposez-vous ? Quels prodiges nouveaux La nymphe est changée en roseaux ! Hélas ! hélas ! Quel bruit ! Qu'entends-je ! Ah ! Quelle voix nouvelle ! La Nymphe tâche encor d'exprimer ses regrets. Que son murmure est doux ! Que sa plainte a d'attraits. Ne cessons point de nous plaindre avec elle. Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Le vent pénètre dans les roseaux, et leur fait former un bruit plaintif. Pan donne des roseaux aux bergers, aux satyres et aux sylvains qui en forment un concert de flûtes."")",0.85,Substitution
203,"('#polixene', ""Quand je vois ce héros digne de mon estime, Sentir pour moi l'amour le plus parfait, Est-ce un grand crime De m'en applaudir en secret ?"")","('#pan', ""Les yeux qui m'ont charmé ne verront plus le jour Était-ce ainsi, cruelle amour, Qu'il fallait te venger d'une beauté rebelle, N'aurait-il pas suffi de t'en rendre vainqueur  Et de voir dans les fers son insensible coeur, Brûler avec le mien d'une ardeur éternelle ? Que tout ressente mes tourments."")",0.21,Substitution
204,"('#andromaque', ""Après un tel aveu je n'ai plus rien à craindre, C'est le dernier malheur que je puis redouter. Hélas ! Que me sert de me plaindre ? Personne ne veut m'écouter. Cher époux, dont l'illustre vie Fut si digne d'envie, Tout ton sang te trahit pour plaire à ton vainqueur, Je pleure en vain ta mort, triste effet de tes armes, Je vois mépriser mes larmes, Et par ton père, et ta soeur : Mais, leur exemple au moins ne peut rien sur mon âme, Je sens encor la même flamme, Et la même douleur. Le seul espoir dont mon coeur est flatté, C'est qu'en donnant toujours des pleurs à ta mémoire, Je rendrai ma fidélité Aussi fameuse que ta gloire."")","('#pan #deux-bergers', ""Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Argus commence à s'assoupir, Mercure déguisé en berger s'approche de lui, et achève de l'endormir en la touchant de son caducée."")",0.41,Substitution
205,"('#polixene', ""Quel reproche fatal ! Je rougis de l'entendre, Il me fait souvenir des conseils de Cassandre : Elle me prédit chaque jour, Que si jamais mon coeur s'abandonne à l'amour, Ma faiblesse sera suivie D'éternelles douleurs ; Elle m'annonce enfin de si cruels malheurs, Qu'ils pourront me coûter la vie : N'importe, je ne puis changer de sentiment, Mon coeur est occupé d'un objet trop charmant. Malgré les conseils qu'on me donne, D'une plus vive ardeur je me sens enflammer, Un coeur que le péril étonne N'est pas digne d'aimer."")","('#pan', 'Que ces roseaux plaintifs soient à jamais aimés.')",1.1,Substitution
206,"('#priam', ""Ma fille, il n'est plus temps de répandre des pleurs, Voici le jour heureux qui finit nos malheurs ; Le fier Achille rend les armes À tes charmes, Et malgré tous les grecs, jaloux de ton bonheur, Il te donne aujourd'hui son empire et son coeur."")","('#mercure', ""Il suffit Argus dort, tous ses yeux sont fermés, Allons, que rien ne nous retarde Délivrons la nymphe qu'il garde."")",0.73,Substitution
207,,"('#mercure', ""Reconnaissez Mercure et fuyez avec nous; Éloignez-vous d'Argus, avant qu'il se réveille."")",1.0,Deletion
208,"('#arcas', ""Princesse, ce héros ne cherche qu'à vous plaire ; Vous avez en vos mains et la vie et la mort C'est à vous de régler son sort ; Il a déjà l'aveu de votre père, Mais, pour assurer son bonheur, Il veut savoir si votre coeur À ses tendres désirs Ne sera pas contraire."")","('#hierax', 'Argus avec cent yeux sommeille; Mais croyez vous endormir un amant jaloux ? Demeurez !')",0.79,Substitution
209,"('#polixene', ""C'est assez que le Roi m'ordonne d'obéir Je connais mon devoir, je ne le puis trahir."")","('#mercure', ""Malheureux ! d'où te vient cette audace ?"")",1.56,Substitution
210,"('#priam', ""Quel changement favorable Flatte aujourd'hui mes désirs; Aurais-je cru mon coeur encor capable De sentir quelques plaisirs ? Malgré ce changement un chagrin légitime En trouble la douceur, et s'oppose à la paix ; Mais le soin de l'État et le seul qui m'anime, Et je préfère à tout le bien de mes sujets. Vous, que votre sort intéresse Dans cet événement heureux, Peuples, montrez votre allégresse  Par les jeux les plus pompeux."")","('#hierax', ""J'ai tout perdu j'attends le trépas sans effroi. Un coup de foudre est une grâce  Pour un malheureux comme moi. Éveillez vous, Argus, éveillez-vous, vous vous laissez surprendre."")",0.73,Substitution
211,,"('#hierax #argus', 'Puissante reine des cieux  Junon venez nous défendre.')",1.0,Deletion
212,"('#un-troyen', 'Vos beaux yeux, adorable princesse, Ont détruit les desseins de la Grèce, Un seul de vos regrets a rangé sous vos lois Un héros dont le nom fait trembler tous ses rois.')","('#mercure', ""Commencez d'éprouver la colère des Dieux. Argus tombe mort, et Hiérax changé en oiseau de proie s'envole."")",1.13,Substitution
213,,"('#choeurs', 'Fuyons.')",1.0,Deletion
214,,"('#io', 'Vous me quittez ? Quel secours puis-je attendre !')",1.0,Deletion
215,,"('#choeurs', 'Fuyons, Junon vient dans ces lieux.')",1.0,Deletion
216,"('#le-choeur', 'Vos beaux yeux, adorable princesse, Ont détruit les desseins de la Grèce, Un seul de vos regrets a rangé sous vos lois Un héros dont le nom fait trembler tous ses rois.')","('#junon', ""Revois le jour, Argus que ta figure change. Et vous Nymphe apprenez comment Junon se venge. Sors, barbare Erinnis, sors du fond des Enfers ; Viens, prends de servir ma vengeance fatale Et d'en montrer l'horreur en cent climats divers Épouvante tout l'univers Par les tourments de ma rivale Viens la punir au gré de mon courroux; Redoutable ta rage infernale Et fais s'il se peut qu'elle égale La fureur de mon coeur jaloux. La Furie sort des Enfers, elle poursuit Io et l'enlève ; Junon remonte dans le Ciel."")",0.4,Substitution
217,"('#une-troyenne', 'Que ne peuvent point vos charmes ? Tout leur est soumis, Ils arrachent les armes À nos ennemis. Que ne peuvent point vos charmes, Tout leur est soumis.')","('#io', 'Ô Dieux ! Ô Dieux ! Où me réduisez vous ?')",1.48,Substitution
218,"('#le-choeur', 'Que ne peuvent point vos charmes ? Tout leur est soumis, Ils arrachent les armes À nos ennemis. Que ne peuvent point vos charmes, Tout leur est soumis.')","('#choeur-des-peuples', ""L'hiver qui nous tourmente S'obstine à nous geler Nous ne saurions parler Qu'avec une voix tremblante La neige et les glaçons Nous donnent de mortels frissons Les frimas se répandent  Sur nos corps languissants; Le froid transit nos sens Les plus durs rochers se fendent. La neige et les glaçons Nous donnent de mortels frissons"")",1.17,Substitution
219,"('#deux-troyens', ""Que l'amour est puissant sur les coeurs : Il enchaîne Sans peine, Les plus redoutables vainqueurs."")","('#io', ""Laisse-moi, cruelle Furie,  Cruelle, laisse moi respirer un moment Ah ! Barbare, plus je te prie, Et plus tu prends plaisir d'augmenter mon tourment."")",1.03,Substitution
220,"('#une-troyenne', ""Qu'après une grande victoire Une guerrier est heureux S'il sait mêler aux charmes de la gloire Le doux amusement des plaisirs amoureux ?"")","('#la-furie', 'Soupire, gémis, pleure, Crie je me fais de tes peines un spectacle charmant.')",1.23,Substitution
221,"('#une-autre-troyenne', 'Vous, si longtemps banni de se sacré séjour Jeux charmants, revenez dans cette auguste cour.')","('#io', ""Laisse moi, cruelle Furie Cruelle laisse moi respirer un moment Quel horrible séjour ! Quel froid insupportable ! Tes serpents animés par ta rage implacable. Ne sont-ils pas d'assez cruels bourreaux ?  Pour punir un coeur misérable, Viens-tu chercher si loin des supplices nouveaux ?"")",0.9,Substitution
222,,"('#la-furie', ""Malheureux habitants d'une demeure affreuse,  Connaissez de Junon le funeste courroux: Par sa vengeance rigoureuse Vous voyez une malheureuse Qui souffre cent fois plus que vous."")",1.0,Deletion
223,,"('#io #la-furie', 'Vous voyez une malheureuse Qui souffre cent fois plus que vous.')",1.0,Deletion
224,,"('#choeur-des-peuples', ""Ah ! Quelle peine  De trembler de languir dans l'horreur des frimas."")",1.0,Deletion
225,,"('#io', ""Ah ! Quelle peine D'éprouver tant de maux, sans trouver le trépas Ah ! quelle vengeance inhumaine !"")",1.0,Deletion
226,,"('#la-furie', ""Viens changer de tourments, passe en d'autres climats."")",1.0,Deletion
227,,"('#io', 'Ah ! Quelle peine !')",1.0,Deletion
228,,"('#choeur-des-peuples', ""Ah ! quelle peine  De trembler de languir dans l'horreur des frimas."")",1.0,Deletion
229,,"('#choeur-des-chabyles', 'Tôt tôt tôt.')",1.0,Deletion
230,,"('#premier-conducteur-des-chabyles', ""Que chacun avec soin s'empresse."")",1.0,Deletion
231,"('#un-troyen', ""La paix ramène ici l'abondance, Faites voir votre magnificence, Par vos chants redoublés, célébrez ce grand jour, Et de votre bonheur rendez grâce à l'amour."")","('#second-conducteur-chabyles', ""Forgez, qu'on travaille sans cesse."")",0.92,Substitution
232,,"('#les-deux-conducteurs', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt. Le choeur des Chabyles répète ces deux derniers vers, dans le temps que plusieurs Chalybes travaillent dans les forges, quelques autres vont et viennent avec empressement pour apporter l'acier des mines et pour disposer ce qui est nécessaire au travail qui se fait."")",1.0,Deletion
233,"('#le-choeur', ""La paix ramène ici l'abondance, Faisons voir notre magnificence, Par nos chants redoublés, célébrons ce grand jour, Et de notre bonheur rendons grâce à l'amour."")","('#les-deux-conducteurs #choeur-des-chalybes', ""Que le feu des forges s'allume : Travaillons d'un effort nouveau : Qu'on fasse retentir l'enclume Sous les coups pesants du marteau. Entrée des forgerons."")",0.88,Substitution
234,"('#achille', ""Ah ! Que sur moi, l'Amour règne avec violence ! Que de transports puissants mon coeur est agité ! Mais j'aperçois la divine beauté Qui cause mon impatience, Son père l'a conduit, et vient sur ces autels Entendre et confirmer nos serments mutuels."")","('#io', ""Quel déluge de feux vient sur moi se répandre. Ô ciel ! Les chalybes passent auprès d'Io avec des morceaux d'épées, de lances et de haches à demi forgées."")",0.59,Substitution
235,,"('#la-furie', ""Le ciel ne peut t'entendre, Tu ne te plains pas assez haut."")",1.0,Deletion
236,,"('#les-deux-conducteurs #le-choeur-des-chalybes', 'Tôt, tôt, tôt.')",1.0,Deletion
237,,"('#io', 'Junon serait moins inhumaine.  Tu me fais trop souffrir, tu sers trop bien sa haine.')",1.0,Deletion
238,"('#achille', ""Princesse enfin le Ciel répond à mon attente,  Il assure à mon coeur les plaisirs les plus doux, Ah ! Que mon sort doit faire de jaloux ! Si l'Hymen, dont l'espoir m'enchante N'est pas un supplice pour vous. Quoi ! Ce transport ne sert qu'à vous confondre ? Craignez-vous de me répondre ? Pourquoi tourner vos yeux de toute part ? N'osez-vous sur moi seul arrêter vos regards ? Parlez, beauté charmante,  Le don de votre coeur suivra-t-il de votre foi ?"")","('#la-furie', 'Au gré de son dépit jaloux Les maux les plus cruels seront encore trop doux.')",0.65,Substitution
239,"('#polixene', ""Hélas ! Plus je vous vois,  Et plus mon trouble s'augmente."")","('#io', ""Hélas ! Quelle rigueur extrême C'est en vain que Jupiter m'aime La haine de Junon jouit de mon tourment Que vous haïssez fortement, Grand Dieux ! Qu'il s'en faut bien que vous aimiez de même !"")",1.0,Substitution
240,,"('#conducteurs #choeurs-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt, tôt, tôt, tôt, tôt. Les feux des forges redoublent et les Chabyles environnent Io avec des morceaux d'acier rouges et brûlants."")",1.0,Deletion
241,"('#achille', 'Puis-je, du moins en ma faveur,  Expliquer ce profond silence ?')","('#io', 'Ne pourrai-je cesse de vivre ? Cherchons le trépas dans les flots.')",1.14,Substitution
242,"('#polixene', ""Un héros tel que vous, quand il donne son coeur, N'est-il pas assuré de la reconnaissance ?"")","('#la-furie', ""Partout ma rage doit te suivre N'attends ni secours ni repos. Io fuit et monte au haut d'un rocher d'où elle se précipite dans la mer. La Furie s'y jette après la Nymphe."")",1.63,Substitution
243,,"('#choeur-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt."")",1.0,Deletion
244,,"('#choeur-de-la-suite-des-parques', ""Exécutons l'arrêt du sort Suivons ses lois les plus cruelles. Présentons sans cesse à la Mort Des victimes nouvelles"")",1.0,Deletion
245,,"('#la-guerre', 'Que le fer.')",1.0,Deletion
246,,"('#la-famine', 'Que la faim.')",1.0,Deletion
247,,"('#l-incendie', 'Que les feux')",1.0,Deletion
248,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
249,,"('#ensemble', 'Que tout serve à creuser mille et mille tombeaux')",1.0,Deletion
250,,"('#les-maladies-violentes', ""Qu'on s'empresse d'entrer dans les royaumes sombres par mille chemins différents"")",1.0,Deletion
251,"('#achille', ""C'en est trop ; vos bontés passent mon espérance."")","('#les-maladies-languissantes', ""Achevez d'expirer, infortunés mourants, Cherchez un long repos dans le séjour des ombres."")",1.07,Substitution
252,"('#priam', ""Commençons à jouir en ce jour, Des plaisirs que la Paix nous ramène, Les feux de la Haine Cèdent à ceux de l'Amour."")","('#le-choeur', ""Exécutons l'arrêt du Sort, Suivons ses lois les plus cruelles ; Présentons sans cesse à la Mort Des victimes nouvelles."")",1.06,Substitution
253,,"('#la-guerre', 'Que le fer.')",1.0,Deletion
254,,"('#la-famine', 'Que la faim.')",1.0,Deletion
255,"('#priam #achille #polixene', ""Commençons à jouir en ce jour, Des plaisirs que la Paix nous ramène, Les feux de la Haine Cèdent à ceux de l'Amour."")","('#l-incendie', 'Que les feux')",1.08,Substitution
256,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
257,,"('#tous-ensemble', 'Que tout serve à creuse mille et mille tombeaux.')",1.0,Deletion
258,,"('#io', ""C'est contre moi qu'il faut tourner Votre rigueur la plus funeste, D'une vie odieuse arrachez moi le reste Hâtez vous de la terminer."")",1.0,Deletion
259,,"('#choeur #suite-des-parques', ""C'est aux Parques de l'ordonner."")",1.0,Deletion
260,"('#achille', ""Peuples soumis à mes lois,  Secondez les transports de mon âme ; Joignez nos voix, Pour chanter les beautés de l'objet qui m'enflamme."")","('#io', 'Favorisez mes voeux, Déesses souveraines Qui réglez du Destin immuables lois, Finissez mes jours et mes peines,  Ne me condamnez pas à mourir mille fois.')",0.52,Substitution
261,,"('#les-parques', 'Le fil de la vie  De tous les humains Suivant notre envie Tourne dans nos mains. Suivant notre envie.')",1.0,Deletion
262,"('#priam', ""Peuples soumis à mes lois,  Jouissez d'un sort tranquille Joignez nos voix, Pour chanter les vertus et le bonheur d'Achille."")","('#io', ""Tranchez mon triste sort d'un coup qui me délivre  Des tourments que Junon me contraint à souffrir; Chacun vous fait des voeux pour vivre Et je vous en fais pour mourir."")",0.56,Substitution
263,,"('#la-furie', ""Jupiter l'a soumise aux lois de son épouse ; Elle a rendu Junon jalouse; L'amour d'un Dieu puissant a trop su la charme. Elle est trop punie encore."")",1.0,Deletion
264,"('#le-choeur', ""Que tous ces lieux retentissent Du nom de ces heureux époux, Que l'amour et l'hymen les unissent De leurs noeuds les plus doux. La danse de ce divertissement a été faite par Monsieur Lestang."")","('#io', ""Est ce si grand crime d'aimer Ce que tout l'Univers adore ?"")",0.94,Substitution
265,,"('#les-parques', ""Nymphe, apaise Junon si tu veux voir la fin  De ton sort déplorable ; C'est l'arrêt du Destin  Il est irrévocable."")",1.0,Deletion
266,,"('#io', 'Hélas ! comment fléchir une haine implacable !')",1.0,Deletion
267,,"('#parques #furie #choeur', ""C'est l'arrêt du Destin, Il est irrévocable."")",1.0,Deletion
268,"('#un-grec', ""Ah ! Que vos chaînes sont belles ! Tendres amants, que vous serez heureux, Seuls, dignes l'un de l'autre, et pleins des mêmes feux, Également charmés, également fidèles, Tendres amants, que vous serez heureux."")","('#io', ""Terminez mes tourments, puissant maître du monde, Sans vous, sans votre amour hélas ! Je ne souffrirais pas. Réduite au désespoir, mourante, vagabonde, J'ai porté mon supplice en mille affreux climats ; Une horrible Furie attachée à mes pas, M'a suivie au travers du vaste sein de l'onde; Voyez de quels maux ici bas, Votre épouse punit mes malheureux appas Délivrez moi de ma douleur profonde, Ouvrez-moi par pitié, les portes du trépas. Terminez mes tourments puissant maître du monde. Sans vous, sans votre amour, hélas ! Je ne souffrirais pas. C'est Jupiter qui m'aime ! Eh ! Qui le pourrait croire ? Je ne suis plus dans sa mémoire, Il n'entend point mes cris, Il ne voit point mes pleurs Après m'avoir livré aux plus cruels malheurs,  Il est tranquille au comble de la gloire Il m'abandonne au milieu des douleurs. À la fin je succombe heureuse si je meurs. Io tombe accablée de ses tourments, et Jupiter touché de piété, descend du ciel."")",0.55,Substitution
269,"('#le-choeur', 'Tendres Amants, que vous serez heureux !')","('#jupiter', ""Il ne m'est pas permis de finir votre peine Et ma puissance souveraine Doit suivre du Destin l'irrévocable loi : C'est tout ce que je puis par un amour extrême Que de quitter le Ciel et ma gloire suprême Pour prendre part aux maux que vous souffrez pour moi."")",1.05,Substitution
270,,"('#io', 'Ah ! mon supplice augmente encore ! Tout le feu des Enfers me brûle et me dévore; Mourrai-je tant de fois, sans voir finir mon sort ?')",1.0,Deletion
271,"('#un-grec #deux-troyennes', ""Chacun de vous connaît le prix de ce qu'il aime Et lui consacre tous ses voeux ; Chacun de son amour fait la gloire suprême, Tendres amants, que vous serez heureux."")","('#jupiter', 'Ma tendresse pour vous rend Junon inflexible Elle voit mon amour il lui paraît trop fort; Son courroux se redouble et devient invincible.')",0.72,Substitution
272,,"('#io', ""N'importe en ma faveur soyez toujours sensible."")",1.0,Deletion
273,"('#le-choeur', 'Tendres Amants, que vous serez heureux.')","('#jupiter', ""C'est trop vous exposer à son jaloux transport, J'irrite en vous aimant sa vengeance terrible."")",1.23,Substitution
274,,"('#io', ""Aimez moi, s'il vous est possible Assez pour la forcer à me donner la mort. Junon descend sur la terre."")",1.0,Deletion
275,"('#priam', ""Ne perdons plus de précieux moments, Allons sur les autels consacrer les serments D'une paix éternelle."")","('#jupiter', ""Venez, venez Déesse impitoyable  Venez, voyez, reconnaissez Cette Nymphe mourante autrefois trop aimable. C'est assez la punir, c'est vous venger assez; L'éclat de sa beauté ne la rend plus coupable,  Par la cruelle horreur du tourment qui l'accable, Son crime et ses appas sont ensemble effacés. Sans jalousie et sans alarmes Voyez ses yeux noyés de larmes Que l'ombre de la mort commence de couvrir."")",1.26,Substitution
276,"('#achille #polixene', ""Ne perdons plus de précieux moments, Allons sur les autels consacrer les serments, D'une paix éternelle Et d'un amour tendre et fidèle."")","('#junon', ""Ils n'ont encor que trop de charmes Puisqu'ils savent attendrir."")",0.96,Substitution
277,,"('#jupiter', ""Une juste pitié peut elle vous aigrir ? Votre courroux fatal ne doit-il pas s'éteindre ?"")",1.0,Deletion
278,,"('#junon', ""Ah ! vous la plaignez trop, elle n'est pas à plaindre  Non elle ne peut trop souffrir."")",1.0,Deletion
279,"('#briseis', ""Que vois-je ? C'en est fait et mon perfide amant Épouse, en ce moment,  Sa nouvelle maîtresse. Ah ! Junon, est-ce ainsi que tu tiens ta promesse ? Est-ce ainsi que tu romps ces funestes liens ? Qui vont causer ma mort, et sauver les Troyens ? Un juste désespoir m'anime, Mon amour outragé demande une victime, Courons l'immoler ou périr ; Si mes transports jaloux me font commettre un crime, Pour l'expier, je suis prête à mourir."")","('#jupiter', ""Je sais que c'est de vous que son sort doit dépendre. Ce n'est qu'à vos bontés qu'elle doit recourir. Il n'est rien que de moi vous ne deviez attendre, Si je puis obliger votre haine à se rendre."")",0.21,Substitution
280,"('#le-choeur', ""Fuyons, une mort certaine Nous n'avons plus de défenseur."")","('#io', 'Ah ! Laissez moi mourir.')",1.4,Substitution
281,,"('#junon', 'Prenez soin de la secourir.')",1.0,Deletion
282,,"('#io', ""Vous l'aimez d'un amour trop tendre Non elle ne peut trop souffrir."")",1.0,Deletion
283,,"('#jupiter', ""Quoi ! Le coeur de Junon quelque grand qu'il puisse être  Ne saurait triompher d'une injuste fureur"")",1.0,Deletion
284,,"('#junon', ""De la terre et du Ciel Jupiter est le maître Et Jupiter n'est pas le maître de son coeur ?"")",1.0,Deletion
285,"('#briseis', 'Où courez-vous ? Quelle terreur Loin de ces lieux vous entraîne ?')","('#jupiter', 'Hé bien ! il faut que je commence À me vaincre en ce jour.')",1.49,Substitution
286,"('#arcas', 'Achille ne vit plus !')",,1.0,Insertion
287,"('#briseis', 'Ciel ! Quel est son vainqueur ?')","('#junon', ""Vous m'apprendrez à me vaincre à mon tour."")",1.46,Substitution
288,"('#arcas', ""L'indigne ravisseur d'Hélène Par une trahison a terminé son sort."")","('#jupiter #junon', ""Abandonnez votre vengeance Je vous rends mon amour . J'abandonnerai ma vengeance,  Rendez moi votre amour. Jupiter. Junon."")",0.88,Substitution
289,,"('#jupiter', ""Noires Ondes du Styx, c'est par vous que je jure. Fleuve affreux écoutez le serment que je fais. Si cette Nymphe, enfin, reprend tous ses attraits, Si Junon fait cesser les tourments qu'elle endure, Je jure que ses yeux ne troubleront jamais De nos coeurs réunis la bienheureuse paix. Noires Ondes du Styx, c'est par vous que je jure. Fleuve affreux écoutez le serment que je fais."")",1.0,Deletion
290,"('#briseis', ""Quoi ? Le traître Pâris est l'auteur de sa mort."")",,1.0,Insertion
291,"('#polixene', ""Dieux ! Quel horrible spectacle ! Le perfide Pâris triomphe sans obstacle ; Il jouit de son crime et ne permet pas D'embrasser mon époux, même après son trépas, D'un coup mortel j'ai vu frapper Achille, J'ai retiré le trait dont il était percé ; Hélas ! Dans les douleurs dont mon coeur est pressé Ce trait fatal peut m'être utile."")","('#junon', ""Nymphe, je veux finir votre peine éternelle Que la Furie emporte aux Enfers avec elle Le trouble et les horreurs dont vos sens sont saisis ! Après un rigoureux supplice  Goûtez les biens parfaits que les Dieux ont choisis :  Et sous le nouveau nom d'Isis Jouissez d'un bonheur qui jamais ne finisse. La Furie s'enfonce dans les Enfers et Io se trouve délivrée de ses peines."")",0.42,Substitution
292,"('#briseis', ""Je vais presser nos chefs et nos soldats De venger le meurtre d'Achille. Oui, dans mon désespoir, je conduirai leur pas Sur les remparts de votre ville,  Puisse le juste Ciel se déclarer pour nous ! Et puisse aujourd'hui les Troyens périr tous."")","('#jupiter #junon', ""Dieux, recevez Isis au rang des immortels ! Peuples voisins du Nil, dressez lui des Autels ! Les divinités du Ciel descendent pour recevoir Isis; les peuples d'Egypte lui dressent un autel et la reconnaissent pour la Divinité qui les doit protéger. Divinités qui descendent du Ciel dans la gloire, Peuples d'Egypte chantants, quatre égyptiens chantants, peuples d'Egypte dansants."")",0.76,Substitution
293,,"('#choeur #divinites', 'Venez, venez, Divinités nouvelle,')",1.0,Deletion
294,,"('#choeur #peuples #egypte', ""Isis, Tournez sur nous vos yeux Voyez l'ardeur de notre zèle."")",1.0,Deletion
295,,"('#choeur #divinites', 'La céleste Cour vous appelle')",1.0,Deletion
296,"('#polixene', ""Va punir les Troyens, cours hâter la vengeance D'un héros qu'on vient d'immoler : Laisse moi seule ici ; Ne viens plus me troubler Par son odieuse présence. Par ces soins éclatants, va prouver ton amour ; Poursuis Pâris, fais lui ravir le jour Au héros que tu perds l'on te fera survivre. Depuis qu'il ne vit plus, rien ne plaît à mes yeux, Une sanglante mort va finir, en ces lieux, Les horribles tourments où sa perte me livre, Ah ! N'est-il pas moins glorieux, De se venger que de le suivre ? Mais quels tristes objets viennent s'offrir à moi ? Dieux ! Quel saisissement ! Quel transport ! Quel effroi ! Ah ! Je vois mon époux sur l'infernale rive J'entends les cris de son ombre plaintive, Elle m'appelle, elle me tend les bras. Ciel ! Je vois dans ses yeux éclater sa colère ; Chère ombre, attends, je vais te satisfaire, S'il ne faut pour te plaire, Que courir au trépas. Quel sort d'un amour si tendre ! J'éprouve enfin tous les malheurs Que Cassandre cent fois, pleine de ses fureurs, Voulut en vain me faire entendre. Et toi ? Qui teint encor du sang de mon époux, A passé dans mes mains pour terminer ma vie, Funeste trait, seconde mon envie, Que ton secours sera doux, Si tu frappes mon coeur d'une atteinte mortelle, Il s'avance lui-même au devant de tes coups,  Trop heureux si tu m'es fidèle. S'en est fait le succès répond à mon attente, Je n'ai plus guère à souffrir, Je sens que je vais mourir Et c'est assez pour me rendre contente. Reçois mon sang après mes pleurs, Achille, c'est à toi que je me sacrifie... Sans toi, je déteste la vie... Oui, je le jure... Hélas... Je frissonne... Je meurs."")","('#jupiter #junon', ""Isis est immortelle Isis va briller dans les Cieux. Isis jouit avec les Dieux  D'une gloire éternelle. Jupiter et Junon et les Divinités montent au ciel, et y conduisent Isis, dans le char des choeurs des Divinités et des Parques. Ils répètent ces quatre vers."")",0.47,Substitution
