,barante-arlequin-misanthrope,dufresny-depart-des-comediens,Cost,Operation Type
296,"('#pierrot', 'Oh, il y en a de toutes les façons, des hommes, des femmes.')",,1.0,Insertion
297,"('#arlequin', 'Des femmes ?')","('#colombine', 'Chez une femme.')",0.06,Substitution
298,"('#pierrot', ""Oui, des femmes.  Il y en a de jeunes et de vieilles.  Il y en a de pimpantes comme des poupées du Palais, et d'autres qui ont l'air sainte Nitouche.  Il y a encore des abbés."")",,1.0,Insertion
299,"('#arlequin', 'Des Abbés ?')",,1.0,Insertion
300,"('#pierrot', ""Oh, pour ceux-là, ils m'ont bien fait rire.  Il y avait un petit rougeau qui se plaignait de vapeurs, et un autre endévait d'avoir perdu sa boîte à mouches."")",,1.0,Insertion
301,"('#arlequin', ""Et je demeurerais ici !  Non, dussé-je...  Mais, non, fais les entrer ; si la sagesse me faisait suivre, sans doute l'impertinence me fera fuir.  Reprenons nos airs d'homme du monde, faisons le fat et le ridicule."")",,1.0,Insertion
302,"('#le-vieillard', ""Hé bien, Monsieur, n'est-ce pas dommage, belle comme la voilà, à vingt ans, ne pouvoir avoir d'enfants ?"")",,1.0,Insertion
303,"('#arlequin', 'Et de quel tempérament êtes-vous la belle ?  Mélancolique, bilieuse ? ')",,1.0,Insertion
304,"('#la-femme', 'Mélancolique moi, mélancolique ?  Ah, ah !')",,1.0,Insertion
305,"('#arlequin', 'Quel tempérament donc ?')",,1.0,Insertion
306,"('#la-femme', ""Je n'en sais rien.  Je danse, je chante, je bois le petit coup, je prends du tabac, et si j'avais un mari qui me fournit de l'argent et du plaisir autant que j'en voudrais, je ne m'inquiéterais jamais de rien."")",,1.0,Insertion
307,"('#arlequin', 'Vous êtes son père, apparemment ?')",,1.0,Insertion
308,"('#le-vieillard', ""Non, Monsieur.  Je n'ai l'honneur d'être père de personne.  Je suis son mari."")",,1.0,Insertion
309,"('#arlequin', 'Son mari ?  Et quel âge, de grâce ?')",,1.0,Insertion
310,"('#le-vieillard', 'Soixante et dix-sept, au dix-neuf avril.')",,1.0,Insertion
311,"('#arlequin', 'Soixante et dix-sept ! Et comment vous accommodez-vous de cela ? À la femme.')",,1.0,Insertion
312,"('#la-femme', ""Moi ?  Le mieux du monde.  Mon petit mari a vingt mille livres de rente, il m'en a déjà donné la moitié, et l'usufruit du tout si j'ai un enfant.  Oh, je n'oublie rien pour empêcher notre bien de passer en des mains étrangères."")",,1.0,Insertion
313,"('#le-vieillard', 'Quel malheur si je laissais mon bien à des cousins au huitième degré.')",,1.0,Insertion
314,"('#arlequin', 'Ces cousins-là vous sont peut-être plus proches que les enfants de votre femme.')",,1.0,Insertion
315,"('#le-vieillard', 'Ils ont beau rire, nos cousins, ils ont beau rire ; dans neuf mois je leur livre un héritier.')",,1.0,Insertion
316,"('#arlequin', ""C'est parler bien positivement."")",,1.0,Insertion
317,"('#le-vieillard', 'Oh, je sais la recette présentement.')",,1.0,Insertion
318,"('#la-femme', ""On nous a appris le remède.  Si nous l'avions su d'abord, vraiment, vraiment !"")",,1.0,Insertion
319,"('#arlequin', ""Vous avez été jusqu'à soixante dix-sept ans, sans trouver le remède !  Ma foi le mal est incurable.  Mais peut-on savoir quel est ce remède ?"")",,1.0,Insertion
320,"('#la-femme', ""Bon !  Il n'y a point de femme qui ne s'en serve."")","('#arlequin', ""Fi !  Une femme servir une femme.  Il n'y a point de contraste là-dedans."")",0.32,Substitution
321,"('#arlequin', 'Pour cette cure-là, certaines femmes emploient des remèdes qui ne sont guère approuvés des maris.')","('#pierrot', 'Et moi chez une femme.')",1.73,Substitution
322,"('#la-femme', ""Oh, c'est un remède innocent, celui-là."")",,1.0,Insertion
323,"('#le-vieillard', 'Innocentissime.  Les eaux de Forges...')",,1.0,Insertion
324,"('#arlequin', ""J'y suis."")",,1.0,Insertion
325,"('#le-vieillard', ""Croyez-vous bien qu'un Gentilhomme de mes voisins n'avait pu avoir d'enfants en vingt-quatre ans de mariage ?"")",,1.0,Insertion
326,"('#arlequin', 'Hé bien ?')","('#arlequin', 'Fort bien cela.')",0.39,Substitution
327,"('#la-femme', ""L'eau de Forges lui en a donné."")",,1.0,Insertion
328,"('#arlequin', 'Entendons-nous.  Sa femme a bu les Eaux de Forges ?')","('#colombine', ""C'est une bourgeoise de la rue Saint-Denis."")",1.58,Substitution
329,"('#le-vieillard', 'Oui.')",,1.0,Insertion
330,"('#arlequin', 'Chez elle ?')","('#pierrot', ""C'est une bourgeoise de la rue Saint-Denis aussi la mienne."")",1.33,Substitution
331,"('#la-femme', ""Vraiment, cela n'opère que sur les lieux."")",,1.0,Insertion
332,"('#arlequin', 'Son mari y fut avec elle ?')",,1.0,Insertion
333,"('#le-vieillard', ""Non.  Il lui donna seulement son valet de Chambre pour l'accompagner."")",,1.0,Insertion
334,"('#arlequin', ""Fort bien.  Remède innocentissime.  Allez, bon homme, retournez-vous-en chez vous si vous m'en croyez, et laissez-là des Eaux qui ne sont propres qu'à remettre la poitrine des Actrices de l'Opéra, et à pallier l'hydropisie de quelques filles de mauvais aloi."")","('#colombine', ""On l'appelle madame la marquise d'Argent-filé."")",1.12,Substitution
335,"('#la-femme', 'Mais, Monsieur...')",,1.0,Insertion
336,"('#arlequin', 'Adieu.  Dénichez.')",,1.0,Insertion
337,"('#le-vieillard', 'Cependant...')",,1.0,Insertion
338,"('#arlequin', ""Que de raisons !  Allons, à d'autres.  Qu'est-ce ces figures-là ?"")","('#pierrot', ""D'Argent-filé ?  C'est justement la mienne."")",1.65,Substitution
339,"('#gasconne', ""Bargé se vou m'as un pau, Plaigni m'un pau, peccaire, Jo ne souffrissi tant de maux, Qu'jo ne sabi que faire. Se sers à ma plaço, jamais, Bargé Cossi vous plaignerai."")","('#colombine', 'Comment maraud, tu vas sur mes brisées ?')",1.16,Substitution
340,"('#arlequin', ""En voilà d'un autre !  Voyons où cela ira."")","('#pierrot', ""C'est toi qui vas sur mon marché."")",1.46,Substitution
341,"('#seconde-gasconne', 'Ah Mossu caigno de vous vayre, votre servente de bon cor.')","('#colombine', 'Tu es un flagorneur.')",1.63,Substitution
342,"('#arlequin', ""Diable !  Elle est servante des bons corps !  Mademoiselle, j'en suis fort aise, mon corps se porte bien à votre service. "")",,1.0,Insertion
343,"('#seconde-gasconne', ""Ah, Mossu, vous souits plats aubligado, me fasets trop d'annou."")",,1.0,Insertion
344,"('#arlequin', ""Elle est fatiguée de trop d'honneur ?  Que Diable de gens sont-ce ?  Vraiment Mademoiselle, on sait bien que les gens d'au-delà de la Loire se fatiguent aisément de trop d'honneur, mais je n'en croyais pas les femmes tout à fait si rebutées."")","('#pierrot', 'Tu es une chercheuse...')",1.7,Substitution
345,"('#seconde-gasconne', ""Mossu, à cos quiconque ravis, que d'entendre tout ce que disons de vous, peccaire. "")","('#arlequin', 'Là, là, là, doucement.')",1.12,Substitution
346,"('#arlequin', ""Dison de bous, peccaire.  De moi on dit que je suis un pécheur ?  C'est selon, il y a telle femme pour qui je ne voudrais pas avoir fait la moindre petite faute.  Mais pour des minois Gascons colle le vôtre, on ne me trouvera jamais Normand."")",,1.0,Insertion
347,"('#seconde-gasconne', 'Ah, peccaire !  Que bons raisounats plat !')",,1.0,Insertion
348,"('#arlequin', 'Ho oui, fort bien, je raisonne au plat.')",,1.0,Insertion
349,"('#seconde-gasconne', 'Ah, Mossu, non disi pas accot.')",,1.0,Insertion
350,"('#arlequin', 'Je ne paie pas mon écot ?  Qui vous a dit cela.')",,1.0,Insertion
351,"('#seconde-gasconne', 'Cousino cresi que se truffo.')",,1.0,Insertion
352,"('#arlequin', ""Comment des Truffes ?  Est-ce que vous m'en apportez ?  Où sont vos Truffes ?  Cousine ?  Allons donc.  Mais vous reculez ?  Depuis quand les femmes de votre pays ont-elles appris à reculer ?"")",,1.0,Insertion
353,"('#gasconne', ""Aro que souits grandetto, Jo ne reculi plus, Ai conneseut l'abus, Cal être doucetto, Et per poudets charma Me cal aima."")",,1.0,Insertion
354,"('#arlequin', ""Diable !  C'est chanter cela !  Et voilà une chanson que je trouverais fort jolie, si je l'entendais."")",,1.0,Insertion
355,"('#seconde-gasconne', 'Es plats jantio, Mossu, quello cançonetto.  Ma fasés semblant de ne nou pas entendre.')",,1.0,Insertion
356,"('#arlequin', ""Quand io eri pichotto, Boulios pas far l'amour ; Dari que sois grandotto, Boudrias lo fa toujours. Flon flon, etc. Ah, Mademoiselle, les semblants sont plus de votre pays que du mien.  Ce n'est pas qu'autrefois j'ai su un couplet de chanson, qui disait : Mais qu'allez-vous chercher toutes deux à Paris."")",,1.0,Insertion
357,"('#seconde-gasconne', 'Fortuno, Mossu, fortuno.  Dison que les gens de nouste pays, la fason tant vite.')",,1.0,Insertion
358,"('#arlequin', ""Mais, fortune pour une femme, c'est un mari."")","('#pierrot', ""Madame_la_Marquise m'a choisi à la mine, et elle m'a distingué par la propre personne. \n"")",1.37,Substitution
359,"('#seconde-gasconne', ""Ah, Mossu, bous venez tout d'un saut à l'essentiel.  Hé donc ?"")",,1.0,Insertion
360,"('#arlequin', ""Fillettes qu'anas à Paris Per cercas amants et maris ; Troubates prou frit gaites, abé : Ma guère d'espousaires, Bou m'entendez bé. Hé donc.  C'est bien dit.  Mais apprenez en votre patois, ce que vous trouverez où vous allez. Il chante sur un Vaudeville."")",,1.0,Insertion
361,"('#seconde-gasconne', 'Anen, Cousino, anen, se truffo ma de nautres.')",,1.0,Insertion
362,"('#monsieur-de-colafon', 'Serviteur très humble, Monsieur.')","('#colombine', ""Et moi, j'y suis entrée de la main d'un joli homme."")",1.21,Substitution
363,"('#arlequin', 'Bonjour, bonjour.')",,1.0,Insertion
364,"('#monsieur-de-colafon', ""Avez-vous, Monsieur, besoin d'une petite leçon ?"")",,1.0,Insertion
365,"('#arlequin', ""Avec tout cet équipage, vous m'avez l'air de montrer le plus court chemin de l'Hôpital Général."")",,1.0,Insertion
366,"('#monsieur-de-colafon', ""Non, Monsieur, ce n'est pas cela."")",,1.0,Insertion
367,"('#arlequin', 'Mais que voulez-vous, et qui êtes-vous ?')",,1.0,Insertion
368,"('#monsieur-de-colafon', ""Hélas, Monsieur, sans exagérer, je puis me vanter, d'avoir couru la fortune au galop ; mais à présent..."")",,1.0,Insertion
369,"('#arlequin', ""À présent je vous défie d'aller au pas."")",,1.0,Insertion
370,"('#monsieur-de-colafon', 'Si vous connaissiez mon talent, mon habileté, ma souplesse...')",,1.0,Insertion
371,"('#arlequin', 'Et quelle est votre profession ?')",,1.0,Insertion
372,"('#monsieur-de-colafon', ""J'étais Maître à Danser à l'Opéra de Lyon, mais comme l'Opéra est tombé..."")",,1.0,Insertion
373,"('#arlequin', 'Il vous est tombé sur le corps, et vous voilà tout estropié ?')",,1.0,Insertion
374,"('#monsieur-de-colafon', ""Comme l'Opéra est tombé, j'ai trouvé à propos de quitter la Ville.  Je n'avais pas beaucoup d'Écoliers, car mon fort est dans la Danse haute, je n'ai pas la patience, de montrer la danse basse."")",,1.0,Insertion
375,"('#arlequin', ""Hé, qui diable aurait la patience d'apprendre de vous ?  On disait bien que la danse était mal à cheval, mais je ne la croyais pas si mal à pied."")",,1.0,Insertion
376,"('#monsieur-de-colafon', ""Oh, monsieur, j'ai renoncé à la danse."")",,1.0,Insertion
377,"('#arlequin', ""C'est bien fait."")",,1.0,Insertion
378,"('#monsieur-de-colafon', 'Je me suis jeté dans le Fleuret...')",,1.0,Insertion
379,"('#arlequin', 'Tant pis, diable, tant pis !')",,1.0,Insertion
380,"('#monsieur-de-colafon', ""Bon !  Je suis le premier homme du monde, pour escrimer.  C'est moi qui ai eu l'honneur de mettre les armes à la main aux trois quarts de la petite Gendarmerie de la rue Au-fer, et de la rue Saint-Denis."")",,1.0,Insertion
381,"('#arlequin', 'Tudieu !  Quels écoliers !')",,1.0,Insertion
382,"('#monsieur-de-colafon', ""Vous allez voir ce que je sais faire.  Allons, faites assaut contre moi. Le Maître à danser présente un Fleuret à Arlequin qui le refuse d'abord, et le prend enfin. Après avoir escrimé quelques moments, le Maître à danser sort un pistolet, et fait rendre la bourse à Arlequin, et s'en va en disant. Voilà une de mes bottes franches."")",,1.0,Insertion
383,"('#arlequin', ""Au voleur, au voleur ?  Mais voici peut-être quelqu'un de ses camarades.  Taisons-nous, de peur qu'il ne nous en coûte la vie."")",,1.0,Insertion
384,"('#arlequin', ""Hé, bien Madame, Qu'est-ce ?  Qu'y a-t-il ?  Quoi plus ?  De quoi est-il question ?  Que demandez-vous ?  Et que veulent tous ces visages de plâtre ?  Venez-vous me montrer quelque botte franche ?"")",,1.0,Insertion
385,"('#madame-de-l-architrave', ""Monsieur, je suis une fabricatrice de niches humaines, un antidote contre les injures du temps, un répertoire de la commodité des saisons, un alambic des aises de la vie ; Architecte à votre service, commandant pour l'honneur de vos commandements, une escouade de Limousins."")",,1.0,Insertion
386,"('#arlequin', ""Hé bien, Madame, du répertoire, de l'alambic, et de l'escouade Limousine, de quoi est-il question ?"")",,1.0,Insertion
387,"('#madame-de-l-architrave', ""D'une petite affaire de rien touchant notre métier ; de bâtir une Ville."")",,1.0,Insertion
388,"('#arlequin', ""Une Ville ?  Il y en a déjà que trop.  Quand les hommes logeaient dans les Bois, ils étaient humains, et ne se mangeaient pas les uns les autres.  Le séjour des villes les a gâtées, les a rendus féroces, et plus ours et plus tigres que les ours et les tigres qu'ils ont laissés dans les forêts."")",,1.0,Insertion
389,"('#madame-de-l-architrave', ""Oh, cela est vrai ; et cependant nombre de gens qui veulent profiter de votre Philosophie, viendront s'établir ici, et vivre avec vous sous vos lois."")",,1.0,Insertion
390,"('#arlequin', 'Une ville ?')",,1.0,Insertion
391,"('#madame-de-l-architrave', ""Sans doute, une Ville pour les Mécontents ; elle sera peuplée dans un instant.  Vous aurez d'abord tous ces importants d'office, qui se plaignent éternellement que la Cour, qui ne les connaît pas, ne fait rien pour eux.  Ces mères Coquettes désespérées du mauvais goût des hommes, qui les quittent pour leurs filles.  Ces Grisettes de conséquence, qui croient que les privautés d'un Duc ou d'un Marquis, leur ont acquis des droits incontestables sur le Carrosse et le nombre de Laquais.  Ces gens de lettres pestant éternellement contre l'injustice de la fortune, et la dureté du siècle, et surtout ce nombre presque infini d'Auteurs altérés, dont tous les théâtres regorgent."")","('#arlequin', ""Hé bien, vous la servirez tous deux.  C'est ton avantage, Colombine : et quand une dame a un valet de chambre, le service se fait mieux : la maîtresse est toujours de bonne humeur, et la fille de chambre est moins grondée."")",0.88,Substitution
392,"('#arlequin', 'Voilà une Architecte qui a du bon.  Vous êtes de belle humeur, Madame ?')",,1.0,Insertion
393,"('#madame-de-l-architrave', ""Pour vous servir, Monsieur.  L'air joyeux, est la première partie d'un Architecte.  Si nos bâtiments ne sont riants, je n'en donnerais pas une nèfle.  La joie, la joie, partout ?  Il faut de l'air dans les maisons, la vue libre, l'abord aisé, l'aspect gracieux, les avenues faciles, les faux fuyants commodes, et les sorties borgnes et à discrétion."")",,1.0,Insertion
394,"('#arlequin', 'Voici une femme rare !  Vous êtes donc bien employée, Madame.')",,1.0,Insertion
395,"('#madame-de-l-architrave', ""Oui !  Mais je n'aime à travailler que pour de jeunes veuves, et pour des gens d'affaires ; ce sont là les gens de bon goût, il faut primer avec eux.  Ils ont plus d'invention et de goût pour placer une chaise percée, que les autres pour arranger un cabinet."")","('#pierrot', ""Oui-da, il y a moyen de s'accommoder, aussi bien tu es délicate et fluette, tu ne peux pas tout faire : et je servirai, moi, pour la grosse besogne."")",0.87,Substitution
396,"('#arlequin', 'Les Abbés ne sont-ils pas de ce nombre ?  Vous les oubliez ?')",,1.0,Insertion
397,"('#madame-de-l-architrave', 'Oh point, ce sont des goûts différents.  Les Abbés appuient sur la cuisine, sur la cave, et les fausses portes des ruelles.')",,1.0,Insertion
398,"('#arlequin', ""Vous avez raison.  Diable !  Cette femme l'entend !  Est-ce vous qui avez inventé de mettre toutes les fenêtres en portes, surtout du côté des Jardins ?"")",,1.0,Insertion
399,"('#madame-de-l-architrave', ""Je n'ai pas trouvé cette invention, mais je l'ai perfectionnée ?  Vous allez voir ici de quoi je suis capable."")","('#colombine', 'Tu serviras donc à la cuisine ?')",1.03,Substitution
400,"('#arlequin', ""Je vois bien qu'il faut s'y résoudre, il faut bien loger tant de gens qui viennent ici.  Car de quoi est-il question ?  Je vous avertis par avance que je veux une ville, qui ne ressemble en rien à Paris, où l'on ne paye point de Boues ni de Lanternes, et dont les rues ne servent que pour les chevaux, les mulets, les crocheteurs, et les autres bêtes de voiture."")",,1.0,Insertion
401,"('#madame-de-l-architrave', ""Je suis votre fait.  Voici comme je m'y prendrai.  Je ferai qu'il y aura partout des Balcons publics qui régneront sans interruption de maison en maison, et qui feront un saut par-dessus les rues qu'ils traversent ; les lumières qui éclairent les chambres éclaireront les Balcons, toutes les fenêtres seront des portes pour la commodité du public, et après cela ce sera la faute des particuliers s'ils ne se rendent pas visite."")",,1.0,Insertion
402,"('#arlequin', ""Oui, mais cette commodité me paraît trop commode.  L'occasion fait le larron.  Ces Balcons et ces fenêtres de communication sont cause que l'on communique plus qu'il ne faut.  Tenez, depuis que vous avez inventé à Paris et à la Campagne, ces larges gouttières en forme de Corridor autour des mansardes, les jolies femmes ne logent plus qu'au grenier, et les hommes comme des chats passent la nuit sur les gouttières."")","('#pierrot', ""Oh, il n'y a point de cuisine chez cette marquise-là."")",1.45,Substitution
403,"('#madame-de-l-architrave', ""Oh, Monsieur, c'est un abus que de s'abuser sur cela, les chats suivront toujours les chattes, et les femmes trouveront toujours des matous qui les suivront."")",,1.0,Insertion
404,"('#arlequin', ""Je pense qu'elle a raison, c'est un mal sans remède.  Mais revenons à notre Ville."")","('#arlequin', ""C'est-à-dire que chacun porte son plat, et qu'on fait tout cuire en ville."")",1.52,Substitution
405,"('#madame-de-l-architrave', 'Nous pourrons fort bien la bâtir sue cette Rivière qui est ici près : cela sera fort commode.')",,1.0,Insertion
406,"('#arlequin', ""Peste !  Gardez-vous en bien.  Une rivière ?  Et nous y verrions dans rien établir des Moulins de Javelles, des Charentons, des Ports à l'Anglais, des îles...  Enfin je ne veux point de rivière."")","('#pierrot', ""J'aurais envie d'être portier, j'ai étudié pour cela : car un jour dans notre village, il me prit de quitter la robe pour l'épée ; j'étais bedeau, je me fis suisse. \n"")",0.83,Substitution
407,"('#madame-de-l-architrave', ""Soit, soit ; je suis accommodante.  Il faudra donc la bâtir ici, et ce grand espace nous servira pour faire un beau jardin public, précédé d'une grande avenue d'arbres."")",,1.0,Insertion
408,"('#arlequin', 'Hé oui, oui, un Jardin !  Voilà-t-il pas Paris tout revenu ?  Je ne veux ni cours ni Tuileries, entendez-vous, parce que je veux bannir de notre Ville la coquetterie et la médisance.')",,1.0,Insertion
409,"('#madame-de-l-architrave', ""J'ai tout prévu, je m'en vais commander mon Escouade de placer mon monde dans les postes convenables. Madame de l'Architrave se retire, et en même temps tous les maçons qui l'accompagnaient bâtissent en dansant, un magnifique Palais."")","('#colombine', ""Si tu étais portier, tu emporterais tout le profit ; la porte d'une coquette est aussi lucrative que celle d'un juge."")",0.79,Substitution
410,"('#arlequin', ""Diantre !  C'est bâtir bien gaiement !  Mais pour qui destinez-vous cette habitation superbe ?"")",,1.0,Insertion
411,"('#un-maçon', ""Superbe, Monsieur.  Bon !  C'est la maison de campagne d'une fille de l'Opéra.  Ce n'est rien que cela, si vous voyez comme elle est meublée !"")",,1.0,Insertion
412,"('#arlequin', ""Est-ce que vos maisons se meublent à mesure qu'on les bâtit ?"")",,1.0,Insertion
413,"('#un-maçon', ""Elles sont faites, meublées, et occupées tout à la fois.  Tenez, voilà l'Opératrice en question, sans doute elle veut répéter quelque chose."")","('#arlequin', ""Vous pouvez partager l'emploi ; car chez les coquettes il doit toujours y avoir deux portes et deux escaliers.  Pendant que l'un entre par celle-ci, l'autre sort par celle-là."")",1.17,Substitution
414,"('#la-chanteuse', ""Miei spirti amorosi, Brillatem'in sen : Amor vuol ch'io posi In braccio al mio ben. Miei spirti amorosi, Brillatem'in sen."")",,1.0,Insertion
415,"('#arlequin', ""Mais voilà qui est étonnant !  Je n'aurais jamais cru une fille d'Opéra si magnifiquement logée."")",,1.0,Insertion
416,"('#un-maçon', ""Il y a quinze jours qu'elle occupait un grenier, et il n'est pas bien décidé si elle ne retournera pas à son premier gîte.  En un mot, si vous voulez voir les fortunes de Théâtre, les voilà.  Un moment les élève, un moment les détruit. Tout le Palais se détruit."")",,1.0,Insertion
417,"('#arlequin', ""Je ne fais pas l'amour, Madame, en jeune sot, Et ne sais pas longtemps tourner autour du pot. Je vais d'abord au fait. Je vous aime, ma Reine, Vos yeux comme un forçat me tiennent à la chaîne ; Mais sans perdre le temps en fades compliments, Songez que les déserts sont faits pour les Amants, Profitez-en."")","('#colombine', ""Mais le profit n'est pas égal : car celui qui entre, et qui meurt d'envie de voir Madame, paye grassement ; mais celui qui sort, voudrait souvent retenir ce qu'il a donné en entrant."")",0.71,Substitution
418,"('#colombine', ""Jamais d'une si brusque flamme Le pétulant aveu ne touchera mon âme ; Mais hélas ! Suis-je encor maîtresse de mon coeur ? Vous le savez, Octave..."")",,1.0,Insertion
419,"('#arlequin', ""Oh ma foi, serviteur, Pour donner là-dedans je sais trop bien l'usage ; Ma Mignonne, il n'est plus de Novice à votre âge : À dix-huit ans passés quand on a de l'esprit, Le changement d'amant réveille l'appétit. Du lieu d'où vous venez oubliez-vous la mode ? Voulez-vous des Romans pratiquer la méthode ? À lorgner dans un bois croyez-vous m'obliger ? En Céladon moderne allez-vous m'ériger ? Un héros de Cyrus sans crainte de faiblesse, Pouvoir impunément enlever sa Maîtresse ; Avec lui sans façon la belle s'embarquait, Il ne lui baisait pas le petit bout du doigt. Ces braves Chevaliers par combats et prouesses. Envers et contre tous défendaient leurs Princesses ; Mais tout bien compassé, ces valeureux nigauds N'étaient de leur honneur que les Custodicos. Comme ce temps n'est plus, un autre a pris sa place, Les choses aujourd'hui se font de bonne grâce ; Et dès qu'en pareil cas l'Amant sait demander, De son côté la belle est prête d'accorder. Vous connaissez l'amour, je le connais de même Nous sommes seuls ici, Madame, et je vous aime."")","('#arlequin', ""Cela est vrai.  Tel donne en entrant chez une coquette, qui aurait besoin qu'on lui donnât en sortant. \n"")",0.75,Substitution
420,"('#colombine', ""L'ai-je bien entendu ? Quelle surprise, ô Dieux ? Que me proposez-vous ? Ah trop funestes lieux ! À de pareils propos me serais-je attendue ? Seigneur, rendez le calme à mon âme éperdue. Voudriez-vous tout de bon... Non c'est pour m'éprouver."")","('#colombine', ""Il n'y a qu'un mot qui serve.  Si tu veux, nous partagerons les profits et le service.  Je présiderai aux conversations secrètes ; toi, tu porteras les billets.  Je veillerai le jour..."")",1.21,Substitution
421,"('#arlequin', ""Madame, en mes panneaux je n'irai pas crever. Quelque sot !"")","('#pierrot', 'Je dormirai la nuit. \n')",1.59,Substitution
422,"('#colombine', 'Ah, Seigneur, vous êtes Philosophe ?')",,1.0,Insertion
423,"('#arlequin', ""Bon bon ! Nous sommes de la même étoffe ; Et Philosophe, ou non, Madame, il est écrit, Que l'on a de l'amour, quand on a de l'esprit, Cet esprit voit en vous de quoi me satisfaire, Vos petites façons ont le secret de plaire, Et le sort me donnant femme et lieux à mon choix Je crois qu'il ne faut pas que j'en fasse à deux fois."")","('#colombine', ""J'aurai le profit du jeu, et toi tu fourniras les cartes.  Pour ce qui est des habits, je prendrai les jupes, et tu garderas les manteaux."")",1.32,Substitution
424,"('#colombine', ""Vous ne rougissez pas d'avoir tant de faiblesse, Vous que l'on voit prêcher une austère sagesse ? Vous qui vous gendarmez sur les défauts d'autrui ?"")",,1.0,Insertion
425,"('#arlequin', ""C'est là le grand talent du sage d'aujourd'hui, Loup-garou, fier, hargneux, farouche, impraticable, Sur les moindres défauts toujours inexorable, Regardant les plaisirs d'un oeil indifférent, Voilà comme il se montre au vulgaire ignorant. Mais quand se dérobant aux yeux de tout le monde, En un réduit rustique il peut mener sa blonde, Qu'il sait bien au milieu des plaisirs les plus doux, Apprécier de l'amour les plus exquis ragoûts ! Tout cela ne nuit pas à l'austère sagesse, Et la vertu ne gît qu'à cacher sa faiblesse, Ne vous entêtez point d'un chimérique honneur, Croyez-moi."")",,1.0,Insertion
426,"('#colombine', ""Je ne puis en revenir, Seigneur, Quoi vous, qui détestant tous les mauvais usages ; Cherchez de la vertu dans ces antres sauvages, Qui voyez en pitié le reste des humains ; Osez faire éclater de criminels desseins ? Mais quand il serait vrai que votre âme enflammée De mes faibles attraits se sentirait charmée, Faut-il presser les gens, faut-il brusquer les coeurs ? Si vous avez pour moi de sincères ardeurs, D'un air moins violent faites-le moi paraître."")",,1.0,Insertion
427,"('#arlequin', ""La mode est aujourd'hui d'aimer en Petit Maître, C'est le goût général, Madame, et les abbés Même avant les Robins y sont enfin tombés. Tous nos hommes ont l'art d'attaquer et de prendre, Mais nos femmes n'ont pas celui de se défendre."")",,1.0,Insertion
428,"('#colombine', 'Mais nous voyons de graves Magistrats, Des Abbés réservés...')",,1.0,Insertion
429,"('#arlequin', ""Ne vous y fiez pas, Tel qu'on voit en public faire le bon apôtre, Sous deux doigts de verrouil, est homme comme un autre. La différence enfin du rabat au plumet, Se réduit à ceci : l'un dit plus qu'il ne fait, L'autre en ses actions tout rempli de mystère, Sait chercher son plaisir, en jouir et se taire. Mais qui vient nous troubler en ce doux entretien ? Examinons si c'est ou quelque chose, ou rien. Vous fuyez mes transports, en Amante discrète ? Allez, j'irai bientôt être leur interprète."")","('#pierrot', 'Je le veux bien. Pierrot et Colombine se retirent. ')",1.5,Substitution
430,"('#arlequin', ""Quelle révérence !  Encore...  Ouf.  Je n'y saurais durer."")",,1.0,Insertion
431,"('#monsieur-de-geresol', 'Je ne sais, Monsieur, si vous nous connaissez.')",,1.0,Insertion
432,"('#arlequin', ""Non, et je n'en ai même aucune envie."")",,1.0,Insertion
433,"('#monsieur-de-geresol', 'Nous venons vous assurer de nos respects.')",,1.0,Insertion
434,"('#monsieur-de-la-cabriole', ""Nous n'avons pas voulu manquer cette occasion de vous faire la révérence."")",,1.0,Insertion
435,"('#arlequin', 'En voilà déjà plus de quinze de faites.')",,1.0,Insertion
436,"('#monsieur-de-geresol', ""Vous voyez, Monsieur, dans Monsieur de la Cabriole, les meilleurs pieds, et la plus belle jambe du monde.  C'est le héros des chaconnes et des rigodons."")",,1.0,Insertion
437,"('#monsieur-de-la-cabriole', ""Monsieur de Geresol est de mes amis, il me flatte ; mais il parlerait plus sincèrement, s'il vous disait qu'il est le Lulli de Quatre-vingt-seize."")",,1.0,Insertion
438,"('#arlequin', 'À vous la balle, Monsieur.')",,1.0,Insertion
439,"('#monsieur-de-geresol', 'Monsieur de la Cabriole est le Coryphée des Danseurs.')",,1.0,Insertion
440,"('#monsieur-de-la-cabriole', 'Monsieur de Geresol est la fleur, et la crème des musiciens.')",,1.0,Insertion
441,"('#arlequin', 'Hé bien, monsieur le Coryphée, et vous monsieur la Crème, que voulez-vous ?')",,1.0,Insertion
442,"('#monsieur-de-geresol', 'Vous faire une proposition que vous ne pouvez refuser ?')",,1.0,Insertion
443,"('#monsieur-de-la-cabriole', ""Vous donner des moyens assurés de joindre l'agréable à l'utile."")",,1.0,Insertion
444,"('#arlequin', 'Promesses de Musicien !')",,1.0,Insertion
445,"('#monsieur-de-geresol', 'Dites un mot, et nous vous faisons trente mille livres de rente.')",,1.0,Insertion
446,"('#monsieur-de-la-cabriole', 'Vous vous enrichissez sans appauvrir personne.')","('#arlequin', ""Et vous monsieur le mystérieux, méditez-vous quelque chose d'utile pour votre fortune ?  Que prétendez-vous faire pour vous enrichir ?"")",0.46,Substitution
447,"('#arlequin', ""Ce n'est guères la manière de ce temps-ci.  Mais enfin ?"")",,1.0,Insertion
