,dufresny-regnard-chinois,regnard-coquette,Cost,Operation Type
222,"('#arlequin', ""Vous êtes charmée de ma personne, n'est-ce pas ? Quand j'ai ce compère-là sur le poing, je ne manque guère ma proie.  Nous avons dans notre famille le vol des filles et du dindon. Il montre un dindon qu'il porte sur le poing."")","('#arlequin', ""Il est vrai que pour des compliments, il n'y a personne dans notre province qui ose me prêter le collet.  J'ai harangué une fois notre intendant pendant deux heures, avec tant d'éloquence, qu'il s'endormit tout debout, et ne s'éveilla qu'une heure après que j'eus fini. "")",1.0,Substitution
223,,"('#colombine', ""De pareils efforts d'esprit sont bons pour la province ; mais à Paris on aime à parler terre à terre."")",1.0,Deletion
224,,"('#arlequin', ""Bon !  A-t-on de l'esprit à Paris ?  Sitôt qu'il y a un fat dans un pays, on l'y envoie ; c'est le rendez-vous de tous les sots de la France ; et, de tous les Parisiens, je ne vois que les Normands et les Manceaux qui aient un peu de brillant. "")",1.0,Deletion
225,"('#colombine', ""Les filles de ce pays-ci ne se prennent pourtant pas avec des poulets d'Inde ; quelquefois avec une fricassée de poulets, donnée à propos, je ne dis pas que non."")","('#colombine', ""À vous entendre parler, vous ne paraissez pas content des cavaliers de ce pays-ci ; et les dames, qu'en dites-vous ? "")",0.96,Substitution
226,"('#arlequin', ""Votre chambrière a de l'esprit ; je la retiens pour être mon premier piqueur."")","('#arlequin', ""La la ; elles sont d'assez bonne amitié : j'en ai trouvé quelques unes de jolies en mon chemin ; mais, tout franc, je n'en ai point encore vu une de votre calibre. "")",1.34,Substitution
227,"('#colombine', ""Oh !  Monsieur, vous me faites trop d'honneur ; je ne sais pas piquer."")",,1.0,Insertion
228,"('#arlequin', 'Oh !  Que cela ne te mette point en peine, on te montrera.')","('#colombine', ""Il faut pourtant tomber d'accord qu'elles ont un tour d'esprit et des manières de se mettre que les femmes de province n'ont pas. "")",1.61,Substitution
229,,"('#arlequin', ""Oui-da, oui-da, je trouve qu'elles se coiffent raisonnablement haut, et je crois que leurs maris ne sont guère coiffés plus bas, "")",1.0,Deletion
230,"('#isabelle', ""Mais, Monsieur, vous ne parlez que de chasse ; est-ce que vous n'avez pas d'autre occupation ?"")","('#colombine', ""Où passe-t-on le temps avec plus d'économie ?  Aujourd'hui à l'Opéra, demain à la Comédie, un autre jour au bal ; on entrelace cela de parties de jeu et de promenades.  Vous voyez bien qu'il n'y a point de lieu où une femme soit si façonnière. "")",1.03,Substitution
231,"('#arlequin', ""Oh !  Que si ; j'aime l'étude passionnément ; je nie renferme tous les matins dans mon cabinet avec mes chiens et mes chevaux."")","('#arlequin', 'Pour moi, je trouve cela le plus joli du monde ; mais que disent les maris à Paris ? ')",1.58,Substitution
232,,"('#colombine', ""Les maris disent ce qu'ils veulent, et les femmes font ce qui leur plaît ; c'est la mode du pays. "")",1.0,Deletion
233,"('#isabelle', 'La compagnie est savante !')","('#arlequin', ""Les femmes feront durer cette mode-là le plus qu'elles pourront.  Et, s'il vous plaît, quand une femme revient du bal à cinq heures du matin avec un cavalier, qu'elle éveille toute la maison, que disent les maris à Paris ? "")",1.38,Substitution
234,"('#arlequin', ""L'après-dînée, je monte ma jument poil d'étourneau, pour brossailler dans la forêt, et le lendemain, pour être de meilleur matin au bois, je me couche pour l'ordinaire tout botté et éperonné."")","('#colombine', 'Ils ne disent rien ; dès que la femme est rentrée, ils se rendorment. ')",1.1,Substitution
235,"('#isabelle', 'Tout botté et éperonné !')",,1.0,Insertion
236,"('#arlequin', ""Oh !  Que cela ne vous mette pas en peine ; nous ne nous toucherons point : mon lit a vingt-cinq pieds de diamètre, et ce n'est pas trop pour coucher deux personnes et une meute de cinquante chiens courants."")","('#arlequin', ""Un homme qui a le sommeil si bien en main n'a pas besoin d'être bercé.  Mais, je vous prie, lorsqu'une femme vend ses pierreries pour faire l'équipage de quelque galant homme qui va à l'armée, que disent les maris à Paris ? "")",1.14,Substitution
237,"('#isabelle', 'Quoi, monsieur !  Si je vous épouse, tous ces chiens-là coucheront avec moi ?')",,1.0,Insertion
238,"('#arlequin', ""Oh !  Non, pas tous : j'en choisirai une vingtaine des moins galeux."")","('#colombine', 'Oh !  Les Parisiens sont trop bons serviteurs du Roi pour trouver cela mauvais. ')",1.18,Substitution
239,"('#colombine', 'Je suis votre très humble servante : la nuit, ils pourraient bien prendre ma maîtresse pour une biche, et la dévorer.')","('#arlequin', ""Je ne m'en dédis point, voila de bonnes gens que ces Parisiens-là.  Vaille que vaille, puisque j'ai fait les frais du voyage, je vous épouserai ; mais à condition que, dès le lendemain de la noce, vous vous mettrez dans la carriole du Mans pour venir régenter les chapons de ma basse-cour : l'air de Paris donne trop de maux de tête. "")",0.89,Substitution
240,"('#arlequin', ""Tais-toi ; j'ai bien plus de risques à courir qu'elle.  Quand nous serons mariés, elle pourrait bien me changer en cerf comme Actéon ; et mes chiens ne feraient plus qu'un morceau de ma personne. On donne du cor, les chiens viennent sur le théâtre, courant après un sanglier."")","('#colombine', ""Quelque loi que vous m'imposiez, elle me paraîtra toujours douce, pourvu que je sois sûre de passer avec vous le reste de mes jours : vous me tenez lieu de tout ; et du moment que je vous ai vu, j'ai senti pour vous...  Ah !  Ne m'obligez pas de m'expliquer ; j'en dirais peut-être plus que je ne veux. "")",1.14,Substitution
241,"('#colombine', ""Ah, mademoiselle !  Un sanglier qui est entré ici ! Elles s'enfuient. La chasse du sanglier fait le divertissement du premier acte."")","('#arlequin', ""Les filles de ce pays-ci sont faites avec des étoupes ; il ne faut qu'une étincelle... "")",1.43,Substitution
242,"('#colombine', ""Hé bien, monsieur, n'êtes-vous pas charmé de votre prétendu gendre, monsieur le baron de la Dindonnière ?  Par ma foi, il faudrait que vous fussiez fou pour lui donner votre fille : j'aimerais autant lui faire épouser un chenil tout entier."")","('#colombine', ""J'ai une grâce à vous demander : les filles, comme vous savez, ont beaucoup d'ambition sur le fait du mariage ; j'ai eu toute ma vie une noble horreur pour les baillis du Maine ; ne pourriez-vous point changer de charge, et vous faire homme de qualité ? "")",0.36,Substitution
243,"('#roquillard', ""Certes, il est mal avenant de sa personne, et j'en ai regret ; car moi et mes ancêtres avons toujours chéri la chasse et les chasseurs.  J'ai dans ma bibliothèque plus de cent bois de cerf, rangés par ordre chronologique ?  Avec les relations historiques de la prise d'iceux."")","('#arlequin', ""Très volontiers ; rien n'est plus aisé : aussi bien je suis en pourparler avec un marquis de nos cantons qui s'en va à l'armée ; et, comme il a besoin d'argent, il veut me vendre sa charge de marquis avec sa pratique. "")",1.18,Substitution
244,"('#colombine', ""Diantre !  Voilà de beaux titres de noblesse, cent bois de cerf dans une famille !  Sans ceux qu'on y a introduits, et dont on n'a pas tenu de registre."")","('#colombine', ""Oh, monsieur !  Que cela me fera de plaisir !  Mais, en achetant une charge de marquis, n'oubliez pas, s'il vous plaît, de vous faire donner les airs déhanchés de ces messieurs-là. "")",1.3,Substitution
245,"('#roquillard', ""Le malencontreux visage que ce baron de la Dindonnière !  Encore faut-il à ma fille un peu d'accointance, et cet homme-là serait toujours à brosser dans les bois."")","('#arlequin', ""Oh !  Je n'en ai que faire : quand on a été toute sa vie élevé dans le Bas-Maine, les airs de cour ne sont que trop familiers.  Adieu, ma belle enfant ; touchez là : dans une heure au plus tard je vous fais marquise ou baillivesse ; vous choisirez."")",0.9,Substitution
246,"('#colombine', ""Ce ne serait pas là le plus mauvais de l'affaire.  Tandis qu'un mari court les bois, une femme peut chasser de son côté.  Le meilleur gibier n'est pas toujours dans les forêts ; il y a telle bête à Paris que j'aimerais mieux avoir prise que vingt sangliers.  C'est un friand morceau pour une femme qu'une hure de caissier bien gras."")","('#colombine', ""La sotte pécore qu'un homme qui a le mariage en tête !  Une fille un peu savante sur l'article le manie comme un chamois.  Voyez, je vous prie, cet idiot de bailli qui va se faire marquis.  Pour m'essayer, le premier marquis qui me tombera sous la patte, j'en ferai un procureur fiscal. Scènes italiennes. "")",1.06,Substitution
247,,"('#trafiquet', ""Je vous prie, mademoiselle ma fille, de ne point m'échauffer les oreilles ; je sais ce qu'il vous faut, et c'est à vous d'obéir quand je vous ai choisi un mari, entendez-vous ? "")",1.0,Deletion
248,"('#roquillard', ""En sorte donc, Colombine, que cet homme-là n'est point de ton goût."")","('#colombine', ""Comme je suis une partie des plus intéressées dans l'affaire, je crois, mon père, que mon choix est du moins aussi nécessaire que le vôtre ; et je vous dirai franchement que cet homme-là n'est point fait pour moi. "")",1.23,Substitution
249,"('#colombine', ""Non, ma foi ; et toute servante que je suis, je n'en voudrais ni pour or ni pour argent."")","('#trafiquet', ""N'est point fait pour vous !  J'en suis d'avis ; il faut vous l'essayer.  Mais voyez, je vous prie, comme cela fait la raisonneuse !"")",1.12,Substitution
250,,"('#colombine', ""Je vous dis encore une fois, mon père, laissez-moi mener cette affaire-là.  Vous êtes plus vieux que moi, j'en conviens ; mais je me connais mieux en maris que vous. "")",1.0,Deletion
251,"('#roquillard', ""Et moi, comment me trouves-tu ?  M'aimerais-tu mieux que lui ?"")","('#trafiquet', ""Et que trouvez-vous, s'il vous plaît, à redire au mari que je vous propose ? "")",1.02,Substitution
252,,"('#colombine', ""Bon !  C'est un homme qui se présente de front au mariage, et ne sait pas ce que c'est qu'un préliminaire d'amour. "")",1.0,Deletion
253,"('#colombine', 'Mille fois.  Vous êtes fleuri, mûr, belle barbe, le cuir doux et bien corroyé.  Bon, bon !  Il y a bien de la comparaison !')","('#trafiquet', ""Hé !  De par tous les diables !  Comment veux-tu donc qu'il se présente ?  Tant mieux, s'il entre tout de suite en matière ; en fait de mariage, je n'aime point à voir préluder. "")",1.29,Substitution
254,,"('#colombine', 'Quoi !  Mon père, vous voudriez... ')",1.0,Deletion
255,"('#roquillard', ""La coquine !  Je l'aime, que j'en suis fou.  Bai...  bai...  baise-moi, friponne."")","('#trafiquet', 'Oui, je le veux. ')",0.51,Substitution
256,,"('#colombine', ""Vous prétendez qu'un homme que je n'ai jamais vu... "")",1.0,Deletion
257,"('#colombine', ""Oui, monsieur, que je vous baise !  Il y a je ne sais combien que vous m'amusez ; vous dites toujours que vous m'épouserez, et vous savez la peine que je prends à vous servir."")","('#trafiquet', 'Oui, je le prétends. ')",1.31,Substitution
258,,"('#colombine', ""J'ai trop de raison pour... "")",1.0,Deletion
259,"('#roquillard', 'Il faut se donner patience, tu es encore jeune.')","('#trafiquet', ""Si tu as de la raison tu dois m'obéir, et prendre le parti qui se présente."")",1.02,Substitution
260,,"('#colombine', 'Le parti qui se présente ? ')",1.0,Deletion
261,,"('#trafiquet', 'Oui, le parti qui se présente. ')",1.0,Deletion
262,,"('#colombine', 'Assurément ? ')",1.0,Deletion
263,"('#colombine', ""Une fille, pendant ce temps-là, ne laisse pas de s'user ; c'est comme un carrosse qui dépérit autant sous la remise qu'à rouler."")","('#trafiquet', ""Oui, s'il vous plaît ; il ne faut point tant faire de gestes et de grimaces : est-ce qu'il lui manque quelque chose ? "")",1.6,Substitution
264,,"('#colombine', 'Je ne dis pas cela. ')",1.0,Deletion
265,,"('#trafiquet', 'Est-il tortu ou bossu ? ')",1.0,Deletion
266,,"('#colombine', 'Je trouve sa taille dégagée et engageante. ')",1.0,Deletion
267,,"('#trafiquet', ""Est-ce qu'il n'a point d'esprit ?  Va, va, ce n'est pas le plus nécessaire en ménage. "")",1.0,Deletion
268,,"('#colombine', 'Son esprit me charme, et je connais peu de gens qui en aient plus que lui. ')",1.0,Deletion
269,,"('#trafiquet', ""Et pourquoi donc n'en veux-tu point ? "")",1.0,Deletion
270,,"('#colombine', ""Moi, je n'en veux pas !  Il faudrait, mon père, que je fusse bien aveugle ou bien insensible pour, refuser un tel parti. "")",1.0,Deletion
271,"('#roquillard', ""Va, va, ma bouchonne, console-toi ; si je ne t'épouse pas, je te laisserai quelque chose en mourant."")","('#trafiquet', ""Oh !  Que ne parles-tu donc ?  J'allais me mettre en colère.  Voyez, je vous prie, quand on ne s'entend pas.  Viens, ma fille, que je t'embrasse. "")",0.36,Substitution
272,,"('#colombine', 'Que cet embrassement me fait de plaisir ! Colombine, en embrassant Trafiquet, donne sa main à baiser à Octave.')",1.0,Deletion
273,,"('#trafiquet', ""Tu réponds dignement aux soins que j'ai pris de ton éducation. "")",1.0,Deletion
274,"('#colombine', ""Dépêchez-vous donc, monsieur ; car j'ai bien de I'impatience de gagner une petite somme d'argent, afin d'avoir le moyen d'être honnête fille jusqu'à la fin de mes jours."")","('#colombine', ""J'aimerais mieux mourir, mon père, que de vous désobliger. "")",1.23,Substitution
275,,"('#trafiquet', 'Tu me promets donc de ne plus songer à cet étourdi ? ')",1.0,Deletion
276,,"('#colombine', ""Je ne le verrai de ma vie ; c'est un homme que je ne puis souffrir. "")",1.0,Deletion
277,"('#pierrot', ""Monsieur, il y a là-dedans un homme qui est habillé comme la porte d'un jeu de paume.  Il demande à épouser votre fille ; lui baillerons-nous ?"")","('#trafiquet', ""Et moi, pour reconnaître ton obéissance, je te promets d'augmenter ton trousseau de six chemises, et d'aller te voir toutes les fêtes et dimanches quand tu seras au Maine. "")",1.5,Substitution
278,"('#roquillard', ""Doucement, doucement ; ces affaires-là demandent délibération. C'est apparemment le docteur dont je t'ai parlé. À Colombine."")","('#colombine', 'Au Maine, mon père !  Et que faire là ? ')",1.8,Substitution
279,"('#pierrot', ""Dame !  Monsieur, il faut que le mal le presse bien fort ; car il est venu en poste, et il dit qu'il veut se marier de même."")","('#trafiquet', 'Accompagner ton mari. ')",0.94,Substitution
280,"('#roquillard', ""Il ne faut pas prendre la poste pour venir au mariage ; c'est un gîte où l'on arrive toujours assez tôt."")","('#colombine', ""Mon mari !  Ce n'est pas son dessein de quitter Paris. "")",1.59,Substitution
281,,"('#trafiquet', 'Vraiment si ; il est bailli du Maine. ')",1.0,Deletion
282,,"('#colombine', 'Octave est bailli du Maine !  Depuis quand donc ? ')",1.0,Deletion
283,,"('#trafiquet', 'Que diable veux-tu donc dire avec ton Octave ?  Je crois que tu es folle. ')",1.0,Deletion
284,"('#pierrot', ""Cela est vrai ; et ceux qui vont si vite sont tout comme ces chevaux fringants, qui n'ont que la première journée dans le ventre."")",,1.0,Insertion
285,"('#arlequin', ""La lune est un astre commun ; Ce qui dépend d'elle est tout un : La femme dépend de la lune ; Ergo toute femme est commune. Taisez-vous, canaille ignorante et indocile ; je veux me marier, moi ; oui, je veux me marier.  Ils n'ont autre chose à me dire : Monsieur le Docteur, prenez garde à vous ; vous êtes perdu si vous faites cette folie-là : la femme est le précipice de l'homme.  Taisez-vous, vous dis-je ; vous êtes des ânes ; vous ne le savez que par expérience, moi je le sais par science : Quidquid utrique datur ; commune locatur.  Je vous le prouve en français. Je n'ai que faire de vos conseils : Jacta est alea.  Le dé est sorti du cornet ; il y a longtemps que j'ai fait germer ce mariage-là sur ma tête.  Sic volo, sic jubeo ; sit pro ratione voluntas."")","('#colombine', ""Quoi !  Ce n'est pas Octave que vous voulez me donner pour mari ? "")",1.22,Substitution
286,"('#roquillard', 'Monsieur...')","('#trafiquet', 'Non, assurément. ')",0.61,Substitution
287,,"('#colombine', 'Bon, bon !  Vous voulez rire. ')",1.0,Deletion
288,,"('#trafiquet', ""Je ne ris point, et je veux...  Il aperçoit Octave qui lui fait une révérence et s'en va. "")",1.0,Deletion
289,,"('#trafiquet', ""C'est donc ainsi, coquine, que tu fais état de mes remontrances, et que tu te moques de moi !"")",1.0,Deletion
290,,"('#colombine', 'Mon père... ')",1.0,Deletion
291,,"('#trafiquet', ""Va, je t'abandonne. "")",1.0,Deletion
292,"('#arlequin', 'Je sais bien que le père est un sot ; mais je lui ai donné ma parole.')","('#colombine', 'Hé !  Mon père... ')",1.05,Substitution
293,,"('#trafiquet', 'Je te déshérite. ')",1.0,Deletion
294,"('#roquillard', 'Hé !  Monsieur...')","('#colombine', 'Mon petit papa !')",1.08,Substitution
295,"('#arlequin', ""Je n'ignore pas que la fille ne soit une fieffée coquette ; mais dès le lendemain de la noce je la fais mettre aux Magdelonettes,"")","('#trafiquet', 'Je te donne ma malédiction, et tu mourras vieille fille. ')",1.19,Substitution
296,,"('#colombine', ""Oh !  Criez tant qu'il vous plaira.  Je n'irai pas perdre un amant pour la mauvaise humeur d'un père : nous sommes dans un temps où il faut garder le peu qu'on en a. "")",1.0,Deletion
297,,"('#colombine', ""Voici notre amoureux Pierrot ; il faut l'écouter un moment et nous en divertir."")",1.0,Deletion
298,,"('#pierrot', ""Enfin, Pierrot, te voilà dans le bourbier jusqu'au cou. De quoi t'avises-tu d'être amoureux ?  Tu ne fais plus que quatre repas par jour ; tu ne saurais plus t'éveiller qu'à midi sonné : tu vois bien qu'en cet état-là tu ne peux pas faire longue vie.  Hé bien, je mourrai.  Tu mourras !  Sais-tu bien qu'il n'y a rien de si triste que la mort ?  Il n'importe ; je ne verrai plus cette ingrate, cette....  Il aperçoit Colombine. "")",1.0,Deletion
299,"('#colombine', 'Monsieur, monsieur...')","('#colombine', 'Que dis-tu là ? ')",1.71,Substitution
300,,"('#pierrot', 'Je dis...  Je dis, mademoiselle, que quand je serai mort, je ne verrai plus goutte. ')",1.0,Deletion
301,,"('#colombine', ""C'est donc à dire que ta folie te dure toujours ? "")",1.0,Deletion
302,"('#arlequin', ""Je suis persuadé que la suivante est une carogne ; mais je lui donnerai tant de coups d'étrivières..."")","('#pierrot', ""Mademoiselle, assurément vous me ferez faire quelque mauvais coup : je me serais déjà jeté vingt fois par la fenêtre de notre grenier, s'il avait été seulement un étage plus bas. "")",0.93,Substitution
303,,"('#colombine', ""Tu te moques, Pierrot ; quand on est bien amoureux, on n'est pas à un étage près.  Je te conseille, de ce pas, d'aller faire ce saut-là pour l'amour de moi. "")",1.0,Deletion
304,,"('#pierrot', 'Allez, vilain petit porc-épic, le ciel vous punira.  Ô amour !  Amour !  Ô Pierrot !  Pierrot !')",1.0,Deletion
305,"('#roquillard #colombine', 'Monsieur, monsieur...')","('#le-laquais', 'Mademoiselle, voilà la comtesse de Flamèche et la marquise de Bistoquet qui demandent à vous voir. ')",1.61,Substitution
306,,"('#colombine', 'La comtesse de Flamèche et la marquise de Bistoquet !  Je ne connais point cela.  De quel mauvais vent ces femmes-là abordent-elles chez moi ?  Il faut que ce soient des provinciales. ')",1.0,Deletion
307,,"('#le-laquais', ""Ce sont des dames qui disent qu'elles demeurent depuis peu dans le quartier. "")",1.0,Deletion
308,,"('#colombine', ""Faites-les entrer.  Voilà de ces chiennes de visites que l'on ne saurait éviter."")",1.0,Deletion
309,"('#arlequin', ""Ah !  Si vales, bene est ; ego quidem valeo.  N'êtes-vous pas monsieur Roquillard ?"")","('#mezzetin', ""Hé !  Bonjour, mademoiselle ; comment vous portez-vous ?  Il y a mille ans que j'ai envie de vous venir voir, et de profiter de l'honneur de votre voisinage. "")",1.19,Substitution
310,"('#roquillard', 'Oui, monsieur ; il y a plus de soixante ans.')","('#pasquariel', ""On a dû vous dire, mademoiselle, que mon équipage s'est arrêté vingt fois à votre porte ; mais vous êtes introuvable, et toute des plus rares. "")",1.72,Substitution
311,"('#arlequin', ""S'il est ainsi, audite, plaudite, et reculate.  Moi, le pot pourri de la doctrine, le pâté en pot des belles-lettres, et le salmigondis de toutes les sciences, salue très élégamment Christophe Roquillard, l'égout de l'ignorance, la cruche de la stupidité, et le bassin de toutes les impertinences."")","('#colombine', ""En vérité, mesdames, je suis dans la dernière confusion d'avoir si mai profité de l'honneur de votre visite.  Holà !  Quelqu'un, des siéges. Elles se taisent toutes les trois, et recommencent à parler ensemble. "")",0.97,Substitution
312,"('#colombine', 'Monsieur, voilà un habile homme ; il sait toutes vos qualités par coeur.')","('#mezzetin', ""Peut-on savoir, la belle, quels sont vos plaisirs ?  Vous êtes toujours dans le grand monde ; on dit que c'est vous qui faites l'honneur du quartier. "")",1.31,Substitution
313,,"('#pasquariel', ""Mais voyez ce teint, je vous prie, madame la Comtesse. Apparemment que vous l'avez pris du bon faiseur ; je n'ai jamais rien vu d'aussi charmant. À Colombine. "")",1.0,Deletion
314,"('#arlequin', ""Beau-père, avant que d'entrer en matière, combien avez-vous de filles à me donner ?"")","('#colombine', ""Je suis ravie, mesdames, d'avoir un voisinage aussi agréable que le vôtre.  Quand vous voudrez, nous jouerons ensemble ; mais je vous avertis que je suis la plus malheureuse fille du monde.  Elles se taisent encore. "")",0.94,Substitution
315,,"('#mezzetin', 'Nous faisons nos visites de quartier.  Une charrette de foin a fait un embarras, ce qui nous a obligées de nous sauver chez Lamy, où nous avons bu chacune trois bouteilles de vin pour nous désennuyer. ')",1.0,Deletion
316,,"('#colombine', 'Six bouteilles de vin à deux femmes ! ')",1.0,Deletion
317,,"('#pasquariel', 'Il faut dire la vérité ; madame la Comtesse porte le vin comme un charme. ')",1.0,Deletion
318,,"('#mezzetin', ""Madame la Marquise veut qu'on lui rende justice, et qu'on lui dise qu'il n'y a point de Breton qu'elle ne boive par-dessous la jambe ; c'est bien le plus hardi vin de femme ! "")",1.0,Deletion
319,,"('#colombine', 'Avec ces talents-là, mesdames, il est à présumer que vous êtes mariées en Bourgogne ou en Champagne. ')",1.0,Deletion
320,"('#roquillard', ""Comment donc !  Est-ce qu'il faut plusieurs filles pour faire une femme ?"")","('#mezzetin', ""Vous ne vous trompez point.  À propos de mariage, ma belle voisine, on m'a dit que vous couchiez la noce en joue.  Une fille comme vous peut-elle se résoudre à cette vilenie-là ? "")",1.54,Substitution
321,"('#arlequin', ""Vous ne savez donc pas que je suis philosophe, orateur, médecin, astrologue, jurisconsulte, géographe, logicien, barbier, cordonnier, apothicaire ?  En un mot, je suis omnis homo, c'est-à-dire un homme universel."")",,1.0,Insertion
322,"('#colombine', 'Hé bien, monsieur, ne vous fâchez pas ; votre femme sera universelle.')","('#colombine', 'Pour moi, madame, je ne trouve rien de vilain à faire tout ce que le monde fait, et ce que vous avez fait vous-même. ')",0.93,Substitution
323,"('#arlequin', ""Je sais tout ce qu'on peut savoir dans les sciences et dans les arts : je sais danser, voltiger, pirouetter, cabrioler ; jouer à la paume, au ballon ; lutter, escrimer, pousser d'estoc et de taille ; mais où j'excelle le plus, c'est en musique et en machines de théâtre."")","('#mezzetin', ""Il est vrai ; mais je n'avais que quinze ans pour lors ; vous savez que c'est un âge terriblement scabreux pour une fille.  Pourrez-vous abandonner votre taille aux accidents du mariage ? "")",1.24,Substitution
324,,"('#colombine', ""J'ai assez de peine à m'y résoudre ; mais que voulez-vous ?  Il faut bien prendre le bénéfice avec les charges. "")",1.0,Deletion
325,"('#colombine', 'Quoi !  Monsieur le Docteur, vous savez aussi la musique ?')","('#pasquariel', ""Faites comme moi, mademoiselle ; depuis que j'ai épousé mon mari, nous ne couchons plus ensemble. "")",1.94,Substitution
326,,"('#mezzetin', ""Cela est fort bon pour vous, madame la Marquise, qui avez quantité d'enfants de votre premier lit ; mais une fille qui se marie est bien aise de savoir au juste à quoi elle est propre. "")",1.0,Deletion
327,"('#arlequin', ""Bon !  Je compose des opéras il y a plus de cinquante ans : c'est moi qui ai fait le carillon de la Samaritaine.  Je m'en vais vous faire voir un échantillon de ma science."")","('#pasquariel', ""Pour moi, je suis malheureuse en garçons ; je n'en saurais élever ; je n'en ai plus que dix-sept. "")",1.25,Substitution
328,"('#roquillard', ""Diable !  Voilà qui est joli !  Qu'est-ce que cela signifie, monsieur ?"")","('#colombine', ""Dix-sept !  En vérité, madame, l'état vous est bien obligé de lui donner tant de bons sujets. "")",1.12,Substitution
329,"('#arlequin', ""Cela, monsieur ?  C'est la Rhétorique chantante et la Rhétorique dansante, avec toutes les figures, les points, les virgules, les parenthèses et tout le reste."")",,1.0,Insertion
330,"('#roquillard', ""Faites-la un peu venir : je serais bien aise de l'entendre."")","('#mezzetin', ""J'en aurais bien eu vingt-cinq ou trente, si tout était venu à profit ; mais les fausses couches ont fait de terribles brèches dans ma famille.  Le dirait-on à ma taille ? Il se promène."")",1.49,Substitution
331,"('#arlequin', 'La voici.  Madame la Rhétorique, dites-nous qui est-ce qui persuade davantage en amour.')","('#colombine', ""Elle est d'une finesse extraordinaire ; on croirait que vous allez rompre. "")",1.23,Substitution
332,"('#la-rhetorique', ""Par mes discours doux et flatteurs, Je porte l'amour dans les coeurs, Et j'attendris la plus cruelle. Mais, à parler de bonne foi, L'argent, pour réduire une belle, Est encor plus puissant que moi."")","('#mezzetin', ""Depuis deux ans, Dieu merci, j'en suis un peu la maîtresse ; j'ai obligé monsieur le Comte à faire lit à part ; car je suis présentement bien revenue de la bagatelle. "")",1.11,Substitution
333,,"('#colombine', 'Et monsieur votre époux prendra-t-il toujours ce petit divorce en patience ? ')",1.0,Deletion
334,,"('#mezzetin', 'Madame, il fera comme il pourra. ')",1.0,Deletion
335,"('#arlequin', ""Voulez-vous, en moins d'un jour, Être heureux en amour ? Laissez les fleurs de rhétorique ; Le chemin en serait trop long : Avec l'or, je vous en réponds ; Mais sans cela, non, non. Dites-nous à présent où va coucher un mari, dans le zodiaque, la première nuit de ses noces. Air : De mon pot, je vous en réponds."")","('#pasquariel', 'Peut-on savoir, ma chère, qui vous épousez ? ')",0.76,Substitution
336,"('#la-rhetorique', ""Le soleil vagabond jamais ne se repose ; Il va toujours de maison en maison. Que de maris feraient la même chose, S'il leur était permis de changer de prison ! Mais d'un mari la demeure est certaine ; Quelque chemin qu'il prenne, Qu'il aille ou qu'il vienne, Son ascendant Toujours l'entraîne Loger au croissant."")","('#colombine', 'Plusieurs partis me recherchent ; mais mon père me destine à un bailli du Maine, et... ')",1.42,Substitution
337,"('#arlequin', 'Il va coucher tout de go Au signe du Virgo : Mais dès la seconde journée, Le Capricorne est sa maison. De cela je vous en réponds ; Mais du Virgo, non, non. Air : De mon pot, je vous en réponds.')","('#pasquariel', 'À un bailli !...  À un bailli !...  Ah !  Ouf !  Je me trouve mal !  Un bailli !  Ah !  Quelle ordure !')",1.79,Substitution
338,"('#roquillard', ""Qu'est-ce que signifie cette figure là-bas ?"")","('#colombine', 'Comment donc, madame !  Avez-vous des vapeurs ? ')",1.47,Substitution
339,"('#arlequin', ""C'est une Pagode."")",,1.0,Insertion
340,"('#roquillard', ""Une Pagode !  Qu'est-ce que c'est qu'une Pagode ?"")",,1.0,Insertion
341,"('#arlequin', 'Une Pagode est... une Pagode.  Que diable voulez-vous que je vous dise ?')","('#mezzetin', ""Ah, mademoiselle !  Vous ne deviez jamais lâcher le mot de bailli.  À l'heure qu'il est, cela me dévoie.  Un bailli !  Encore si c'était un procureur fiscal !  Ils se jettent sur leurs siéges en faisant beaucoup de contorsions."")",1.6,Substitution
342,"('#roquillard', 'Mais à quoi est-elle propre ?  Sait-elle faire quelque chose ?')","('#colombine', ""Ah !  Que je suis malheureuse !  Voilà deux femmes qui vont me demeurer dans les mains.  Holà, quelqu'un !  Mes laquais, ma femme de chambre ! "")",1.51,Substitution
343,"('#arlequin', 'Elle chante aussi.  Je vais vous la faire venir.')","('#mezzetin #pasquariel', 'Un bailli !  À la porte ils font beaucoup de cérémonies pour passer.')",1.6,Substitution
344,"('#mezzetin', ""Je viens exprès du Congo, ho, ho, ho ! Pour boire à tire-larigot Du vin de Normandie : Car dans ce temps-ci, hi, hi, hi ! Rouen vaut mieux que Tessy. Quoique Paris soit charmant, han, han, han ! J'en partirais à l'instant, Si l'on vendait les filles, Par faute de raisin, hin, hin, hin ! Aussi cher que le vin. On remporte Mezzetin."")","('#pasquariel', ""Non, madame, assurément je ne passerai pas, ou la peste m'étouffe ! "")",1.2,Substitution
345,"('#roquillard', ""Voilà qui est admirable !  Et qu'est-ce que signifient toutes ces différentes figures-là ?"")","('#mezzetin', 'Si je passe la première, je veux que cinq cent mille diables me tordent le cou ! À force de civilités, de contorsions, leurs coiffures tombent. ')",1.56,Substitution
