,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
243,"('#colombine', ""Jeanneton, m'aimez-vous bien ?... Hélas ! Quel conte ! Pourquoi ne vous aimerais-je pas ? Mon_Dieu ! Quel conte ! Vous qui m'avez tant fait de bien, Quel fichu conte ! Je le veux bien ; mais vous allez voir comme je vais trembler.  La, la, la...  Mon_Dieu !  Je suis faite comme je ne sais quoi...  Elle chante. "")","('#colombine', ""Rien n'est plus vrai que ce que je vous dis.  Ce gentilhomme, appelé Cinthio, qui vous aimait, qui vous jurait un amour éternel, m'en a dit tout autant ; et sans la connaissance que vous me donnez de son infidélité, je ne sais si dans la suite il ne m'aurait pas un peu écorné le coeur."")",0.55,Substitution
244,"('#le-vicomte', ""Je veux être un fripon, si cela n'est divin.  Voilà une voix à peindre.  Je n'en ai pas perdu une goutte.  Mais de quel opéra est cet air-là ? "")","('#isabelle', ""Est-il possible, mademoiselle, que tant d'amour soit suivi de tant de perfidie ?  Non, je ne croirai jamais que les hommes soient infidèles jusqu'à ce point-là."")",0.96,Substitution
245,"('#colombine', ""Je crois que c'est de Roland. "")",,1.0,Insertion
246,"('#le-vicomte', ""Oh !  Point, point.  Il faut que ce soit des derniers, car voilà le tour aisé de nos poètes et de nos musiciens d'aujourd'hui.  La jolie chanson !  On ne travaillait point comme cela autrefois.  Mais je veux chanter avec vous.  Tel que vous me voyez, je sais la musique comme un orchestre.  Vous allez voir comme je vais vous tortiller un air. "")","('#colombine', ""Les hommes !  C'est bien la plus maudite engeance !...  Je ne sais qu'un secret pour n'en être point trompée ; c'est de les tromper les premiers."")",0.86,Substitution
247,"('#colombine', 'Oh, monsieur !  Je ne suis pas encore assez forte pour tenir ma partie. ')",,1.0,Insertion
248,"('#le-vicomte', 'Nous chanterons donc une autre fois.  Adieu, mourette. ')",,1.0,Insertion
249,"('#pasquariel', 'Monsieur, ne sortez pas.  Il y a là-bas deux sergents et environ douze archers qui vous guettent pour vous mettre en prison. ')",,1.0,Insertion
250,"('#le-vicomte', 'En prison !  Hoime !  Voilà mes bonnes fortunes qui commencent à défiler. ')",,1.0,Insertion
251,"('#colombine', ""Qu'avez-vous donc, monsieur le Vicomte ?  Que ne partez-vous ?  Il y a là-bas tout plein de laquais qui vous attendent. "")",,1.0,Insertion
252,"('#le-vicomte', 'Ce sont bien des pousse-culs, de par tous les diables. ')",,1.0,Insertion
253,"('#colombine', 'Ne peut-on pas savoir la cause de votre chagrin ? ')",,1.0,Insertion
254,"('#le-vicomte', ""C'est une bagatelle. "")",,1.0,Insertion
255,"('#colombine', ""Je veux l'apprendre. "")",,1.0,Insertion
256,"('#le-vicomte', 'Infandum, Regina, jubes renovare dolorem. ')","('#isabelle', ""Le perfide !  Après m'avoir engagé son coeur par une promesse de mariage !"")",1.35,Substitution
257,"('#colombine', 'Ah, monsieur le Vicomte !  Vous jurez devant les filles.  Vous me le direz pourtant. ')","('#colombine', ""Promesse de mariage ?  Ah !  Je n'y croirai jamais.  Trébuchet à dupes, trébuchet à dupes."")",1.34,Substitution
258,"('#le-vicomte', ""Vous saurez donc qu'étant obligé de partir pour l'Allemagne, et ne pouvant trouver d'argent sur mon billet (car les billets des vicomtes ne sont pas autrement réputés argent comptant), j'en fis un que je signai la Harpe (c'est le nom de ce fameux banquier).  Sur ce billet-là, on me donna deux cents pistoles.  Je partis : présentement, voyez, je vous prie, le peu de bonne foi qu'il y a dans le commerce !  Ce vilain monsieur de la Harpe ne veut pas payer ce billet-là."")","('#isabelle', ""Il fut obligé de me quitter pour un duel, où il tua son ennemi : l'amour me fit voler sur ses pas ; je suis venue à Paris ; je me suis déguisée sous l'habit d'une servante ; et sous le nom de Claudine, je suis venue demeurer dans cette hôtellerie, où je l'ai revu avec plaisir, dans le temps que je devais l'oublier pour toujours ; mais, hélas !  Le moyen, quand on a le coeur sincère et qu'on n'est pas née scélérate !"")",0.45,Substitution
259,"('#colombine', 'Et que dit-il ? ')",,1.0,Insertion
260,"('#le-vicomte', ""De mauvaises raisons : il dit qu'il n'a point fait ce billet-là ; mais son nom y est, une fois ; il faudra bien qu'il le paye ou qu'il crève ; car, palsambleu !  Je sais bien que je ne le payerai pas, moi. "")","('#colombine', ""Oh !  Il faut le devenir ; on ne fait rien en amour autrement ; et la vertu la plus nécessaire à une femme, dans le siècle où nous sommes, c'est un peu d'inconstance, assaisonnée quelquefois de perfidie."")",1.04,Substitution
261,"('#colombine', ""Monsieur le Vicomte, je n'ai point d'argent ; mais voilà deux brillants avec lesquels vous pourrez en faire.  Prenez encore mon collier. "")","('#isabelle', ""D'où vient donc, mademoiselle, qu'avec toutes vos connaissances, vous vous êtes laissé attraper comme une novice ?  Car il me paraît, dans votre histoire, que vous avez été un peu maltraitée."")",1.62,Substitution
262,"('#le-vicomte', 'Hé !  Fi, madame !  Ne vous ai-je pas dit que je faisais litière de diamants. ')","('#colombine', ""J'avoue que je n'en ai pas été quitte à meilleur marché que vous ; mais je ne savais pas ce que je sais, et avec le temps je me rendrai encore plus connaisseuse."")",0.94,Substitution
263,"('#colombine', 'Voilà encore une montre qui est assez jolie. ')",,1.0,Insertion
264,"('#le-vicomte', ""Hé !  Vous moquez-vous ?  Cela est-il d'or ? "")",,1.0,Insertion
265,"('#colombine', ""Attendez ; j'ai encore ici une petite boîte à mouches et un cachet. "")",,1.0,Insertion
266,"('#le-vicomte', 'Eh !  Mais, mais, mademoiselle, vous poussez ma complaisance à bout. ')","('#isabelle', ""C'est-à-dire, mademoiselle, que vous ne prétendez pas en demeurer là, et que vous ne voulez pas être fille à une aventure."")",0.82,Substitution
267,"('#colombine', 'Quand on a donné son coeur, cela ne coûte guère à donner. ')",,1.0,Insertion
268,"('#le-vicomte', ""Et encore moins à prendre.  Ah, charmante princesse !  Que vous savez me prendre par mon faible, et qu'on fait de folies quand on est bien amoureux !  Haut.  Il s'en va. "")","('#colombine', ""J'ai quitté Rome, comme vous, pour suivre un amant infidèle appelé Octave.  Cinthio est venu à la traverse pour prendre parti sous mes étendards ; et, si vous ne me l'aviez fait connaître pour un déserteur de profession, je ne sais si je ne l'aurais pas enrôlé.  Dame !  En temps de guerre on prend ce que l'on trouve."")",0.78,Substitution
269,"('#colombine', ""Tenez, tenez, monsieur le Vicomte ; voilà encore un petit jonc d'or que j'avais oublié. "")","('#isabelle', ""Quel bonheur, mademoiselle, de pouvoir changer si facilement !  Et que je serais contente si, pour me venger de mon infidèle, je le pouvais haïr autant qu'il le mérite !"")",1.37,Substitution
270,"('#le-vicomte', ""Mais, mademoiselle, ces breloques-là valent-elles bien deux cents pistoles ?  Voilà un diamant qui me paraît bien jaune.  Écoutez ; je vais porter tout cela chez l'orfèvre, et s'il ne m'en donne pas les deux cents pistoles, vous me tiendrez, s'il vous plaît, compte du reste. "")","('#colombine', ""Ne vous embarrassez point de votre vengeance ; remettez seulement vos intérêts entre les mains d'une coquette de ce pays-ci, dont il sera amoureux ; je vous promets qu'elle le fera aller bon train."")",0.74,Substitution
271,"('#colombine', ""Monsieur le Vicomte, vous m'épouserez, au moins. "")","('#isabelle', ""Non, non ; je ne me croirais pas assez vengée de m'en rapporter à une autre.  Si une femme l'aimait une fois, elle l'aimerait toujours ; et puis on n'est peut-être pas sujette au changement en France."")",1.59,Substitution
272,"('#le-vicomte', 'Allez, allez, parmi nous autres vicomtes, la parole fait le jeu. Adieu, charmante. Ah, morbleu !  Que voilà des yeux chargés à cartouches !  Que voilà de bonnes fortunes !  Il la prend sous le menton.  Et regardant les bijoux. ')","('#colombine', ""Oh !  L'on n'a garde !  Vous ne savez donc pas que Paris est la boutique de la légèreté ?  Il ne vient point d'étranger qui n'en emporte sa provision.  Bon !  Je vous dis que c'est le magasin de toute l'inconstance qui se débite en Europe."")",1.01,Substitution
273,"('#colombine', ""Ah !  Que je suis aise de lui avoir fait ce petit plaisir !  De la manière que je l'aime, je ne sais ce que je ne lui donnerais pas.  Il y a ici plusieurs scènes italiennes. "")","('#isabelle', ""Est-il possible ?  Je ne l'aurais jamais cru.  Hélas !  Quand un Français dit qu'il vous aime, il vous le dit d'une manière si tendre et si passionnée, qu'il semble que son amour doive durer pour le moins vingt ans après sa mort."")",1.0,Substitution
274,,"('#colombine', 'Vingt ans après sa mort !...  Eh !  Oui...  Les femmes seraient trop heureuses si leur tendresse durait seulement vingt jours.')",1.0,Deletion
275,"('#arlequin', ""Ayant appris, monsieur, que vous êtes un homme savant et de bon conseil, je voudrais bien vous parler d'une affaire que je suis sur le point de terminer. "")","('#isabelle', 'Vous me surprenez.')",1.73,Substitution
276,"('#le-docteur', ""Parlez ; mais parlez peu : la discrétion dans le parler a toujours été louée.  Au contraire, on a blâmé de tout temps les grands parleurs : c'est pourquoi j'aime la brièveté, et je m'applique uniquement à être concis dans mes discours. "")","('#colombine', ""La variété de leurs modes ne marque-t-elle pas l'inconstance de leur humeur ?  Aujourd'hui ils portent des perruques qui leur pendent jusqu'aux genoux, demain ils en auront d'autres qui ne leur passeront pas les oreilles ; ils sont quelquefois habillés le plus simplement du monde, deux jours après il faut les chercher dans leurs dentelles et leurs rubans ; tantôt ils sont serrés dans leurs habits et empaquetés comme des momies, et quelquefois une pièce de drap ne suffit pas pour leur faire une manche d'été : enfin, tout est girouette dans un Français, depuis les pieds jusqu'à la tête."")",0.92,Substitution
277,"('#arlequin', ""J'aurai bientôt fait. "")",,1.0,Insertion
278,"('#le-docteur', 'Qui ne sait que le trop parler vient du défaut de jugement ?  Que le défaut de jugement vient du manque de raison et que le manque de raison est le caractère de la bête ? ')","('#isabelle', ""Cela peut être vrai pour l'ajustement et la manière de s'habiller ; mais pour le coeur, je ne les crois point si sujets au changement."")",1.68,Substitution
279,"('#arlequin', ""Je n'ai qu'un mot. "")",,1.0,Insertion
280,"('#le-docteur', ""Qui ne sait que volat irrevocabile verbum ?  Qu'on ne se repent jamais de se taire, et qu'on s'est repenti souvent d'avoir parlé ?  Ignorez-vous que la nature a donné à l'homme deux pieds pour marcher, deux bras pour agir, deux narines pour sentir, et qu'elle ne lui a donné qu'une langue pour parler ? "")","('#colombine', ""Oh !  Vous avez raison ; ce sont des miroirs de fidélité.  Voulez-vous que je vous représente un Français qui veut surprendre la tendresse d'une jeune personne ?  Premièrement, je vous avertis que la braise n'est pas plus chaude.  Ah, ma chère enfant !  Ma princesse !  Que de beautés !  Que de charmes !  Les dieux ont-ils jamais rien fait d'aussi parfait que vous ?  Non, mon amour ne peut aller plus loin, et je suis au désespoir de n'avoir que des termes ordinaires pour vous l'exprimer.  Voulez-vous que j'expire à vos pieds ?  Vous ne me dites rien.  Il faut donc mourir, puisque votre cruauté l'ordonne !  Là-dessus, on pleure, on laisse échapper un gros soupir, on se donne de la tête contre un coin de la cheminée : il n'en faut pas davantage ; voilà une femme dans la nasse."")",0.84,Substitution
281,"('#arlequin', 'Je dis donc... ')",,1.0,Insertion
282,"('#le-docteur', 'Pythagore faisait observer le silence à ses disciples pendant sept années. ')",,1.0,Insertion
283,"('#arlequin', 'Je le crois. ')",,1.0,Insertion
284,"('#le-docteur', ""Solon avait coutume de dire qu'un homme qui parle beaucoup est semblable à un tonneau vide, qui fait plus de bruit qu'un plein. "")","('#isabelle', ""Mais vraiment, je le crois bien ; un homme qui s'explique de la sorte est fort aimable.  Le moyen de résister à ces gros soupirs-là !  J'avoue qu'il ne m'en faudrait pas beaucoup d'un pareil style pour me persuader.  Je sens que j'ai le coeur français."")",1.07,Substitution
285,"('#arlequin', 'Cela est beau. ')","('#colombine', ""Voilà qui est le plus joli du monde ; mais regardons le revers de la médaille.  Je m'en vais vous faire voir un Français sur son retour de tendresse, c'est-à-dire huit jours après la déclaration."")",1.33,Substitution
286,"('#le-docteur', ""Bias, qu'un grand parleur n'était autre chose qu'une forteresse sans murailles, une ville sans porte, et un vaisseau sans gouvernail. "")",,1.0,Insertion
287,"('#arlequin', 'Vous saurez donc... ')",,1.0,Insertion
288,"('#le-docteur', ""Anaxagore, qu'une bête féroce échappée était moins à craindre qu'une langue effrénée et pétulante. "")",,1.0,Insertion
289,"('#arlequin', 'Monsieur... ')","('#isabelle', 'Voyons.')",0.11,Substitution
290,"('#le-docteur', ""Isocrate, qu'il n'y avait ici-bas que deux choses à faire, écouter et se taire. "")",,1.0,Insertion
291,"('#arlequin', 'Taisez-vous donc. ')",,1.0,Insertion
292,"('#le-docteur', 'Tous vos grands discours sont inutiles.  Frustra per plura quod potest fieri per pauciora. ')",,1.0,Insertion
293,"('#arlequin', ""Hé, monsieur !  Je n'ai encore rien dit. "")","('#colombine', ""Ma foi, madame, je suis bien las de vos manières ; je ne viens pas chez vous que je n'aie quelque sujet de chagrin.  Vous y venez si peu, monsieur, qu'au moins n'en avez-vous pas souvent.  Parbleu, madame, on a ses affaires.  Quand vous commenciez à m'aimer, vous n'en aviez point d'autres que votre amour.  Est-ce là la tendresse que vous m'aviez jurée ?  Mais, madame, cela ne peut pas toujours durer.  Vous m'aviez tant fait de serments que votre passion serait éternelle !  Madame, je le croyais.  Ingrat !  Infidèle !  Oh !  Madame, point d'injures : vous pouvez mettre écriteau à votre porte ; prendra le bail de votre coeur qui voudra ; adieu...  Voilà mon Français parti."")",1.17,Substitution
294,"('#le-docteur', ""Je sais bien que l'usage de la parole a été donné à l'homme pour expliquer ses pensées. "")",,1.0,Insertion
295,"('#arlequin', 'De grâce... ')",,1.0,Insertion
296,"('#le-docteur', ""Je ne vous dis pas qu'il ne faille parler en termes propres, suivant les règles de la grammaire, faire accorder l'adjectif avec le substantif, le nom avec le verbe, le masculin avec le féminin. "")","('#isabelle', ""Mais vraiment, mademoiselle, si cela est comme vous voulez me le faire entendre, un Français pour une femme n'est pas une meilleure pratique qu'un Italien."")",1.05,Substitution
297,"('#arlequin', ""C'est ce dont il s'agit, monsieur, du masculin avec le féminin. "")",,1.0,Insertion
298,"('#le-docteur', ""Je ne vous défends pas de mettre en usage les figures de rhétorique : nam quid est rhetorica ?  Selon Socrate, c'est I'art de persuader ; selon Agathon, c'est l'art de tromper ; selon Gorgias, l'usage du discours ; selon Chrysippe, la clef des coeurs ; selon Cléanthe, la science des sciences ; selon Vatadérius, le boulevard de la vérité ; selon Aristote, le bouclier de l'orateur ; selon Cicéron, l'art de bien dire ; et selon moi, l'art de ne guère parler. "")","('#colombine', ""Encore pis.  Croyez-moi, tenons-nous comme nous sommes.  Pour moi, infidèle pour infidèle, j'aime autant Octave qu'un autre.  Adieu, mademoiselle ; je vous promets que je n'entreprendrai rien sur le coeur de votre amant, et qu'à mon égard vous n'aurez point sujet de crier au voleur."")",0.98,Substitution
299,,"('#isabelle', ""Un coeur est pourtant un larcin dont les femmes aujourd'hui ne se font pas grand scrupule. Scènes italiennes."")",1.0,Deletion
300,"('#arlequin', 'Va, si je puis attraper la parole !... ')","('#arlequin', ""Viens çà, Pierrot ; je vais à une grande expédition ; je te laisse maître en ma place : prends bien garde à la maison, et surtout qu'il ne se passe rien autour de nos filles."")",1.42,Substitution
301,,"('#pierrot', 'Oh !  Mordi, laissez-moi faire ; si elles me trompent, elles seront bien fines.')",1.0,Deletion
302,,"('#pierrot', ""C'est pourtant un maudit bétail à gouverner ; c'est du naturel des anguilles, cela frétille toujours.  Il faut appeler Claudine, et lui faire une petite exaltation.  Claudine !"")",1.0,Deletion
303,"('#le-docteur', ""Si vous voulez donc que je vous donne mes avis, expliquez-moi le sujet dont il s'agit ; mais surtout d'un style vif, serré, pressé, concis, laconique, car vous savez que la vie de l'homme est courte : ars longa, vita brevis.  Le temps est cher ; on en perd tant à boire, à manger, à dormir, à s'habiller, à danser, à rire, à chanter ; et l'on ne songe pas que la santé revient après la maladie, le printemps après l'hiver, la paix après la guerre, le beau temps après la pluie ; mais que le temps passé ne revient jamais. "")","('#pierrot', ""Regarde-moi, Claudine...  L'honneur est un joyau ; mais un joyau qui se gâte quand on le laisse exposé à l'air.  Une fille est comme une bouteille d'eau de la reine d'Hongrie ; elle perd sa vertu si elle n'est bien bouchée : c'est ce qui fait qu'un grand philosophe dit qu'il faut qu'une femme demeure enfermée dans son logis.  Il n'a pas parlé des filles ; car elles étaient fort clairsemées dans son temps, aussi bien que dans celui-ci."")",0.65,Substitution
304,"('#arlequin', 'Je voudrais donc savoir... ')","('#isabelle', 'Que veux-tu donc dire, avec tout ton galimatias ?  Es-tu fou ?')",1.08,Substitution
305,"('#le-docteur', ""Je le crois, que vous voudriez savoir.  Omnibus hominibus scire a natura insitum est, dit le prince de l'éloquence.  Mais vouloir savoir est une chose, et savoir en est une autre.  C'est ce qui fait que du savoir au non-savoir il y a autant de différence qu'entre l'homme et la bête, le ciel et la terre, le gentilhomme et le roturier, le marchand et le voleur, le procureur et l'assassin, le bourreau et le médecin. "")",,1.0,Insertion
306,"('#arlequin', ""J'en suis persuadé ; mais... "")","('#pierrot', 'Comment, si je suis fou !  Vous ne savez donc pas que je suis présentement votre pédagogue ?')",1.01,Substitution
307,,"('#isabelle', 'Me voilà vraiment dans de bonnes mains !')",1.0,Deletion
308,"('#le-docteur', ""Or, voulez-vous savoir quelle différence il y a entre l'homme et la bête ?  C'est que l'un se conduit par la raison et l'autre par l'instinct.  Entre le ciel et la terre ?  C'est que l'un est sur notre tête, l'autre sous nos pieds.  Entre le roturier et le gentilhomme ?  C'est que l'un paye ses dettes, l'autre se moque de ses créanciers.  Entre le marchand et le voleur ?  C'est que l'un vole dans les villes, l'autre dans les bois.  Entre le procureur et l'assassin ? C'est que l'un enlève les biens, l'autre la vie.  Entre le médecin et le bourreau ?  C'est que l'un assassine peu à peu ses malades, et que l'autre tue tout d'un coup ceux qui se portent bien. "")","('#pierrot', ""Je suis à votre égard ce que la bride est à un cheval, un bâton à un aveugle, un gouvernail à un vaisseau : je suis la bride, et vous êtes le cheval ; je suis le bâton, vous êtes l'aveugle ; vous êtes le vaisseau, et moi le gouvernail : mais un gouvernail avec lequel j'empêcherai que vous n'alliez donner contre les rochers des garçons ; car ce monde est une mer, et les vents soufflent dans cette eau qui bouillonne... ce qui fait que la raison dans... cette mer..."")",0.81,Substitution
309,,"('#isabelle', 'Vite, vite, au secours !  Voilà un homme qui se noie.')",1.0,Deletion
310,"('#arlequin', 'Cela est le mieux du inonde.  Je voudrais donc savoir... ')","('#pierrot', ""Que la raison, dis-je, la...  Enfin, Arlequin m'a laissé dans la maison pour vous garder."")",1.87,Substitution
311,"('#le-docteur', ""Quoi ?  La philosophie ou la rhétorique ?  La théorie ou la pratique ?  La géométrie ou l'astrologie ?  La pharmacie ou la médecine ?  La sphère ou la géographie ?  La cosmographie ou la topographie ? "")",,1.0,Insertion
312,"('#arlequin', 'Non ; je ne veux rien de tout cela... ')","('#isabelle', ""Je te suis trop obligée ; je t'assure que je me garderai bien moi-même."")",1.17,Substitution
313,,"('#pierrot', ""Nenni pas, s'il vous plaît ; je ne me fie plus aux filles ; j'y ai été attrapé."")",1.0,Deletion
314,,"('#isabelle', 'Comment donc ?  Est-ce que tu entretiens commerce avec des filles ?')",1.0,Deletion
315,"('#le-docteur', ""Voulez-vous que je vous parle des arts ou des sciences ?  Des huit parties de l'oraison ?  Des trois puissances de l'âme, la mémoire, l'entendement et la volonté ?  De l'influence des planètes, Jupiter, Mars, Mercure, etc ?  De la qualité des étoiles majeures, fixes ou errantes ?  Des comètes crinées, tombantes et volantes ?  De la disparité des tempéraments flegmatiques, sanguins et mélancoliques ?  Des mouvements du coeur, systoliques et diastoliques ? "")",,1.0,Insertion
316,"('#arlequin', ""Hé, monsieur !  Je n'ai que faire de ce galimatias-là. "")","('#pierrot', ""Bon !  Quand on est fait d'une certaine manière, on en a à revendre de cette marchandise-là.  Une petite carogne me pria de lui donner un baiser.  Dame !  Moi, il ne faut pas me le dire deux fois : 0je ne fus ni fou ni étourdi ; je m'approchai ; elle me donna un grand soufflet : depuis ce temps-là, j'ai bien juré que je n'en baiserais plus."")",0.86,Substitution
317,"('#le-docteur', ""Est-ce de l'histoire ou de la fable que vous voulez que je vous parle ?  Commencerai-je par le déluge ?  Le jugement de Pâris ?  Les malheurs de Pyrame et de Thishé ?  L'incendie de Troie ?  Les erreurs d'Ulysse ?  Le passage d'Énée ?  Le sac de Carthage ?  La mort de Tarquin ?  Les triomphes de Scipion ?  La conjuration de Catilina ?  Le pas des Thermopyles ?  La bataille de Marathon ?  Eh !  Non, non, cent fois non, de par tous les diables, non.  Je voudrais savoir seulement si je dois épouser une brune ou une blonde.  Arlequin dit non à chaque demande. "")","('#isabelle', ""C'est très bien fait, Pierrot.  Crois-moi, ne te joue point aux filles ; il n'y a rien à gagner."")",1.47,Substitution
318,"('#le-docteur', 'Eh !  Que ne parlez-vous donc !  Il y a deux heures que vous me faites chanter inutilement. ')",,1.0,Insertion
319,"('#arlequin', 'Comment diable voulez-vous que je parle ?  Vous ne toussez ni ne crachez : je ne puis prendre mon temps.  Ouf ! ')","('#pierrot', ""Si ce n'est quelque bon soufflet à la rencontre.  Allons, point tant de raisonnements ; rentrez, et marchez devant moi. Isabelle rentre ; Pierrot la suit des yeux."")",1.19,Substitution
320,"('#le-docteur', 'Vous voulez donc savoir si vous devez épouser une brune ou une blonde ? ')",,1.0,Insertion
321,"('#arlequin', 'Oui, monsieur.  Ah !  Nous y voilà, à la fin. ')","('#pierrot', 'Perdez cela de vue, autant de gobé. Scènes italiennes.')",1.63,Substitution
322,"('#le-docteur', ""Voulez-vous que je vous dise cela par les règles d'astronomie, prophétie, chronologie, analogie, physionomie, chimie, astrologie, hydromancie, éromancie, pyromancie, koscinomancie, chyromancie, nigromancie ? "")","('#arlequin', ""Hé !  L'Espérance, Brise-Fer, Poudre-à-Canon, l'Effroi-des-Poulets !  Hé bien, mes enfants !  Que vous dit le coeur ?  Y a-t-il longtemps que vous n'avez mangé de chair humaine ?"")",1.0,Substitution
323,"('#arlequin', ""Je ne m'en soucie pas, pourvu... "")",,1.0,Insertion
324,"('#le-docteur', ""Aimeriez-vous mieux que ce fût par le moyen de l'invocation, imprécation, multiplication, indiction, spéculation, superstition, interprétation, conjuration, prognostication, évocation ? "")",,1.0,Insertion
325,"('#arlequin', ""Corbillon, qu'y met-on ?  Hé, monsieur !  Cela m'est indifférent, pourvu que... "")","('#pasquariel', ""Vous n'avez qu'à dire, mon capitaine ; je fais d'abord main basse. Il met l'épée la main, et pousse de tous côtés, comme s'il avait plusieurs personnes à combattre."")",1.46,Substitution
326,"('#le-docteur', 'Si vous voulez, je me servirai des connaissances de la rhétorique, physique, logique, métaphysique, arithmétique, art magique, poétique, politique, musique, dialectique, éthique, mathématique, téraprectique. ')",,1.0,Insertion
327,"('#arlequin', ""Ali !  J'en mourrai ! "")","('#arlequin', 'Voilà, mordi !  Un bon garçon.  Ce drôle-là a tué plus de poulets à lui seul que toute ma compagnie ensemble.')",1.45,Substitution
328,"('#le-docteur', ""Alba ligustra cadant ; vaccinia nigra leguntur. Un autre, non moins célèbre, s'écrie :  Hic niger est : ore hunc tu, Romane, caveto.  Puis donc que toutes les sciences ci-dessus sont des terres inconnues pour vous, je vous dirai que nos auteurs ont parlé différemment sur le point dont il s'agit.  Les uns tenaient pour les blondes, et les autres pour les brunes. La différence du poil fait aussi la différence de l'inclination.  La blonde est tendre, languissante et amoureuse ; la brune est vive, gaillarde et fringante.  La blonde pourra bien outrager votre front ; la brune ne vous en quittera pas à meilleur marché. Un savant poète de l'antiquité dit :  Ainsi vous voyez que c'est une matière bien délicate : Undique ambages, et qu'il est difficile d'y porter un jugement certain ; car, quoique je sois consommé dans toutes sortes de sciences, ne croyez pas que je veuille que mon sentiment prévale.  Je ne m'arrête pas mordicus à mon opinion.  L'obstination est le propre de la bête, et je ne voudrais pas que... "")","('#pasquariel', ""Holà !  Holà !  En voilà assez d'échinés.  Il ne faut pas laisser refroidir cette ardeur-là : allons chercher Cinthio."")",1.29,Substitution
329,"('#arlequin', ""Allez-vous-en à tous les diables ; je ne veux rien savoir.  Quel babillard !  Je gage que si on examinait cet homme-là, on trouverait que c'est une femme. Il veut s'en aller. "")","('#arlequin', ""Qui est cet homme-là ?  Il me semble qu'il a assez l'encolure d'un dénicheur de filles.  Qui êtes-vous, mon ami ?  Ne vous appelez-vous pas Cinthio ?"")",1.09,Substitution
330,"('#le-docteur', 'Je vous dis encore que... ')","('#cinthio', ""Hé !  Qu'en avez-vous affaire ?"")",1.12,Substitution
331,"('#arlequin', ""Je vous dis que je vous baillerai sur les oreilles.  Quel insolent est-ce là ?  Je ne veux plus rien entendre.  Le Docteur le prend par la manche. Arlequin veut s'échapper de ses mains, et son justaucorps reste au Docteur. Arlequin s'enfuit ; le Docteur le poursuit en parlant toujours ad libitum."")","('#arlequin', ""Comment, ventrebleu !  Ce que j'en ai affaire !  Si vous étiez Cinthio, ou que vous fussiez seulement cousin, petit-cousin, arrière-petit-cousin de Cinthio, par la ventrebleu !  Je veux que le diable m'emporte, vous verriez beau jeu."")",0.91,Substitution
332,"('#isabelle', 'Donne-moi ce chapeau.  Hé bien, Pierrot, ce cavalier-là est il de ton goût ? ')","('#cinthio', 'Ne pourrait-on pas savoir, monsieur, en quoi ce Cinthio vous a tant offensé ?  Car vous me paraissez bien échauffé.')",1.11,Substitution
333,"('#pierrot', 'Pardi, mademoiselle, vous voilà à charmer !  On vous prendrait pour moi.  Il y a pourtant un peu de différence.  Est-ce que vous allez lever une compagnie de fantassinerie ? ')","('#arlequin', ""Assurément, je le suis.  C'est un drôle qui va de fille en fille avec une promesse de mariage circulaire.  Oh !  Parbleu, si je vous rencontre, mon petit ami, vous tiendrez la parole que vous avez donnée à ma soeur, ou vous aurez les étrivières de ma façon."")",0.44,Substitution
334,"('#isabelle', ""Ne pense pas te moquer ; je tâterais fort bien de l'armée, et je n'appréhenderais pas plus le feu qu'un autre. "")","('#cinthio', 'Cela est bien scélérat de tromper comme cela les filles.')",1.82,Substitution
335,"('#pierrot', ""Si tous les capitaines étaient faits comme vous, ils pourraient gagner les frais de l'enrôlement, et faire leurs soldats eux-mêmes. "")",,1.0,Insertion
336,"('#isabelle', ""Je ne mets pas cet habit-ci sans raison.  Tu sais que mon père veut que j'épouse monsieur Bassinet. "")","('#arlequin', 'Par la tête !  Par la mort !  Je voudrais le tenir pour cent pistoles.')",1.67,Substitution
337,"('#pierrot', ""Votre père ?  Bon !  C'est un vieux fou qui radote ; et je le lui ai dit, da ! "")",,1.0,Insertion
338,"('#isabelle', ""Je me sers du déguisement où tu me vois pour détourner ce mariage.  Monsieur Bassinet ne m'a jamais vue ; il doit venir me voir, et j'attends sa visite en cet équipage.  Je vais lui apprendre des nouvelles d'Isabelle, et je lui en ferai, parbleu, passer l'envie. "")","('#cinthio', ""Touchez là, monsieur ; je veux vous faire gagner plus de cinquante louis aujourd'hui : donnez-m'en trente, je vous dirai où est Cinthio ; et, afin de ne pas vous tenir plus longtemps en suspens, c'est moi."")",1.18,Substitution
339,"('#pierrot', ""Mardi !  Voilà une hardie tête de fille !  J'ai toujours dit à votre père que je ne croyais pas qu'il fût le mari de votre mère quand elle vous a faite.  Vous avez trop d'esprit. Qu'en croyez-vous ? "")","('#arlequin', ""C'est vous ?  C'est vous ?  Ah !  Par ma foi, j'en suis bien aise.  Vous ne voulez donc pas, monsieur, épouser ma soeur ?"")",0.1,Substitution
340,"('#isabelle', ""Pour moi, Pierrot, je ne m'embarrasse pas de cela ; je ne songe qu'à faire rompre, si je puis, l'impertinent mariage dont je suis menacée.  Mais je crois que voilà monsieur Bassinet ; laisse-moi avec lui : je vais commencer mon rôle. "")","('#cinthio', 'Bon !  Sommes-nous dans un siècle à épouser ?')",1.55,Substitution
341,"('#pierrot', ""Pardi !  C'est lui-même ; il ressemble à un marcassin."")",,1.0,Insertion
342,"('#isabelle', 'Serviteur, monsieur, serviteur. ')",,1.0,Insertion
