,dancourt-metempsychose,dufresny-adieux-des-officiers,Cost,Operation Type
248,"('#merope', ""Hom ! La petite ridicule !  Quelle cervelle ! Il faut pourtant  Tâcher de modérer cette ardeur qui la brûle,  Et qui va toujours s'augmentant,  Pour peu que l'on tarde à l'éteindre :  L'absent à son retour n'en sera pas content.  D'un feu si violent, les suites sont à craindre ;  Et nous ne sommes pas de race à nous contraindre ;  Je la blâme tout haut d'avoir un coeur constant,  Et je sens en secret que j'ai tort de m'en plaindre,  Moi-même j'en ferais tout autant. "")",,1.0,Insertion
249,"('#faunus', 'Quoi seule ! Où donc Corine est-elle, je vous prie ? ')",,1.0,Insertion
250,"('#merope', 'Je la quitte dans le moment. ')",,1.0,Insertion
251,"('#faunus', 'À dissiper sa rêverie,  Nous nous employons vainement. ')",,1.0,Insertion
252,"('#merope', ""Oui, je pense qu'il faut changer de batterie  Les plaisirs m'ont paru la toucher faiblement :  Toute jeune qu'elle est la fortune l'entête ;  Et quand par de brillants appas  Du coeur de votre maître elle a fait la conquête,  Ce qui cause notre embarras,  C'est d'ignorer quel sort il s'apprête à nous faire Nous avons nombre de parents,  Qui par la disgrâce des temps,  Loin d'avoir fait fortune, ont fait tout le contraire,  La plupart dans l'adversité. "")",,1.0,Insertion
253,"('#faunus', 'Bon, tant mieux, avec nous voilà comme il faut être. ')",,1.0,Insertion
254,"('#merope', ""Le mariage une fois contracté,  Cela ne ferait pas d'honneur à votre Maître,  Il ne serait pas bien quand on verra paraître  Ma nièce avec lui dans l'éclat,  Qu'il laissât la famille en un certain état. "")",,1.0,Insertion
255,"('#faunus', ""Non, non, ne craignez point que cela lui convienne,  La malepeste, allez, mon Maître n'est pas fat,  Que n'a-t-il point fait pour la sienne ?  Il avait un cousin, manant, faquin, pied-plat,  Par son crédit et son opulence,  Il en fit en six mois un Seigneur d'importance,  Il était sans honneur, et chacun l'honora ;  Il était fat, on l'admira :  Tous les défauts trouvèrent grâce,  Et le monde aisément comprit  Qu'il n'était ni de noble race,  Ni de mérite, ni d'esprit,  Mais parent de quelque homme en place.  Oh ! Mon Maître par-là fit bien voir son crédit. "")","('#le-laquais', ""C'est de la part du dieu des richesses, qui voudrait bien vous rendre visite, pendant que votre mari n'y est pas."")",1.25,Substitution
256,"('#merope', ""Il faudra pour nous qu'il l'emploie. "")",,1.0,Insertion
257,"('#faunus', ""Il le fera, j'en suis sûr, avec joie.  Il fait pour ses amis toujours tout ce qu'il peut,  Et le bon de l'affaire est qu'il peut ce qu'il veut. "")","('#venus', ""Dis-lui qu'il me fera beaucoup d'honneur. Allez, retirez-vous, je n'ai pas besoin d'amour ici. Aux amours."")",0.69,Substitution
258,"('#merope', 'Bon. Nous avons dans la famille  Un Procureur Fiscal, un Commis de Greffier. ')",,1.0,Insertion
259,"('#faunus', 'Bons sujets ! ')",,1.0,Insertion
260,"('#merope', ""Deux Clercs, un Huissier,  Qui d'un de nous vient d'épouser la fille. "")",,1.0,Insertion
261,"('#faunus', ""Ah ! Fort bien, ce sont-là des gens bons à placer,  Qu'il est facile d'avancer.  Dans le chemin de la fortune  Ils marchent à pas de Géant,  Et presque au sortir du néant  En peu de temps ils en ont une.  Il semble que le Ciel se plaise à les venger  Du mépris que pour eux certains sots font paraître,  Et cherche à les dédommager  Du peu qu'il les avait fait naître. "")","('#un-des-amours', ""Le maître des dieux  Lorsqu'il est amoureux  D'une simple mortelle,  Ne peut se faire aimer d'elle  Sans votre secours.  Mais pour gagner le coeur même d'une déesse,  Le dieu de la richesse  N'a pas besoin des amours.  Les amours s'en vont."")",0.73,Substitution
262,"('#merope', 'Selon moi le Ciel fait fort bien. ')",,1.0,Insertion
263,"('#faunus', ""N'est-il pas vrai ? Sagement il dispense  De la noblesse aux uns, aux autres l'opulence :  Il satisfait ainsi chacun par ce moyen. "")",,1.0,Insertion
264,"('#merope', ""Oui, mais j'aimerais mieux tenir de sa sagesse  De l'opulence sans noblesse,  Que de la noblesse avec rien. "")",,1.0,Insertion
265,"('#faunus', ""Vous avez bin esprit, et c'est fort bien l'entendre.  Mais qui vient brusquement nous troubler en ces lieux ? "")",,1.0,Insertion
266,"('#bacchus', ""Servons Junon de notre mieux,  Et faisons le bonheur d'un coeur fidèle et tendre ;  Malgré le Souverain des Dieux. "")",,1.0,Insertion
267,"('#faunus', ""Ah, morbleu ! C'est Bacchus ; qu'aurait-il à m'apprendre ? "")",,1.0,Insertion
268,"('#bacchus', ""Dans ce séjour délicieux,  Notre Maître bientôt tâchera de se rendre ;  Mais de quelque côté que je tourne les yeux,  Je ne vois point ici la beauté qu'il adore.  Est-elle renfermée en son appartement ? "")","('#venus', ""Montrez-vous donc, Plutus ; car le dieu des richesses est un dieu inutile, tant qu'il reste enfermé sous la clef. Oh, vous êtes un peu plus aimable sous cette figure : mais si vous voulez me plaire vous vous rendrez encore plus palpable. On a bien de la peine à vous développer du métail ! Pour peu que vous fussiez galant, vous me feriez voir le fond du sac. Je serais contente de votre complaisance, si vous vouliez bien parler, et me faire part de cette douce éloquence que les sourds entendent, qui fait parler les muets, et soupirer les plus cruelles.  On ne peut rien de plus galant que cette manière de s'exprimer : mais je sais que vous êtes le premier homme du monde pour soutenir une conversation suivie...  Et qu'on ne se lasse jamais de vous entendre parler : et j'ai appris d'un historien moderne, que vous écrivez des billets plus doux, plus persuasifs, et plus touchants que ceux de Voiture.  Le coffre s'ouvre, et il en sort un sac d'argent. Plutus paraît à la place du sac. Plutus ouvre le sac. Plutus tousse, crache et se dispose comme s'il voulait parler, et tout cela se termine par une grosse bague qu'il tire de son doigt, et qu'il met au doigt de Vénus.  Plutus tire un collier, et le lui donne."")",0.32,Substitution
269,"('#merope', 'Un noir chagrin qui la dévore  Fait que dans ces jardins on la voit rarement.  Mais vous avez apparemment  Quelque message amoureux à lui faire ? ')",,1.0,Insertion
270,"('#bacchus', 'Oui, de la part de son Amant  Dites-lui que dans le moment  Il arrive un courrier fort extraordinaire. ')",,1.0,Insertion
271,"('#faunus', 'Bacchus ici pour quelque affaire ? ')",,1.0,Insertion
272,"('#bacchus', 'Pour la même à peu près dont vous êtes chargé. ')",,1.0,Insertion
273,"('#faunus', 'Quoi ! Comment donc ? ')","('#plutus', 'Hon, hon, hon...  Vous payerez au porteur...  Bon ! Il donne ce billet à Vénus.')",1.44,Substitution
274,"('#bacchus', ""Pour moi, ce n'est plus un mystère,  Et je viens vous trouver, suivant l'ordre que j'ai,  De servir les amours de Jupiter mon père,  Auprès de l'aimable Bergère,  Qui sous ses lois tient son coeur engagé. "")",,1.0,Insertion
275,"('#faunus', ""De sentiment il faut qu'il ait changé,  Car c'était un secret que nous voulions vous taire. "")",,1.0,Insertion
276,"('#bacchus', ""Oui, mais il se trouve obligé,  Ou par choix, ou par confiance,  De m'en faire la confidence.  Tandis qu'avec Mercure occupé dans les Cieux,  Parmi les Astres et les Dieux,  Il tâche à rétablir l'heureuse intelligence  Qui doit toujours régner entre eux,  Et qu'avait depuis peu dérangée son absence.  Le séjour qu'ici fait Junon  L'alarme et le tient en cervelle,  Et ce n'est pas tout-à-fait sans raison.  Il connaît la bonne Immortelle,  Et tremble qu'à l'objet de son nouvel amour  Elle ne fasse un mauvais tour. "")","('#venus', ""Vingt mille francs !  À la fin vos libéralités pourraient bien alarmer ma vertu.  Que faudra-t-il donc que je fasse pour reconnaissance ? S'il ne faut que mon estime, elle vous est acquise.  Que vous êtes pressant, Plutus !  Je vois bien que vous prétendez à mon amitié.  Je la ferais acheter à un autre ; mais pour vous, je vous la donne. Ciel !  Seriez-vous assez téméraire, pour vouloir de l'amour. Vous feriez cet outrage à Vulcain ? Non, je jure par le Styx, que je ne ferai point d'infidélité à mon époux. Plutus lui fait signe qu'il faut qu'elle l'aime. Plutus fait signe qu'il ne se contente pas de cela.  Plutus fait signe qu'il veut autre chose. Plutus fait signe que oui. Plutus fait signe qu'il s'en moque."")",0.22,Substitution
277,"('#faunus', ""S'il est pour l'empêcher des mesures à prendre,  Que ne les prenait-il avant que de partir ?  Ne prévoyait-il pas ce qu'il devait attendre ?  Il n'avait qu'à m'en avertir. "")",,1.0,Insertion
278,"('#bacchus', ""Il a, tout Dieu qu'il est, tant d'affaires en tête,  Qu'il ne peut pas songer à tout. "")",,1.0,Insertion
279,"('#faunus', ""Oh ! Quelque mauvais tour que Junon nous apprête,  De m'en garder je viendrai bien à bout. "")",,1.0,Insertion
280,"('#bacchus', 'Pour vous bien seconder je ferai mon possible. ')",,1.0,Insertion
281,"('#faunus', ""Je prévois aisément tout ce qu'on peut tenter. "")","('#plutus', 'Par le Styx ?')",1.77,Substitution
282,,"('#venus', 'Oui, par le Styx.')",1.0,Deletion
283,"('#bacchus', ""Et moi donc ? Mais pour l'éviter,  Il faut rendre Corine aux Dieux-mêmes invisible,  Et faire que Junon qui voudrait l'enlever,  Ne sache où pouvoir la trouver. "")",,1.0,Insertion
284,"('#faunus', ""Le tour serait assez risible,  Et le projet est bon. Mais comment l'achever ? "")",,1.0,Insertion
285,"('#bacchus', ""J'apporte pour le faire un moyen infaillible,  Et ce petit écrin renferme un Diamant,  Un Anneau constellé dont le charme invincible,  À tous les yeux cache dans le moment  Quiconque au doigt le porte seulement.  Il ne faut qu'à Corine en apprendre l(usage,  Et de la part de son Amant  Lui donner ce présent pour gage,  D'un éternel attachement. "")","('#plutus', ""Par le Styx ? Il reprend sa bague, son collier, son billet, et rentre dans le coffre, qui se referme d'abord."")",0.62,Substitution
286,"('#faunus', ""Mais que diantre pensera-t-elle ?  Jupiter à ses yeux paraît un gros Seigneur,  Elle va le croire Enchanteur :  Pour toucher le coeur d'une belle  C'est un assez mauvais moyen. "")","('#venus', ""Cette pomme mystérieuse,  Qui croit au pays des Normands,  Preuve que Vénus amoureuse,  A droit, aussi bien qu'eux, de rompre ses serments.  Plutus ?  Plutus ?  J'ai juré par le Styx, il est vrai, ce serment est inviolable pour les dieux : mais les déesses ont des privilèges, et moi surtout, à qui Pâris a donné la pomme, non pas pour ma beauté, comme disent les poètes ; mais seulement parce que je suis la déesse de l'amour.  M'entendez-vous, Plutus, Plutus, mon cher Plutus !"")",0.83,Substitution
287,"('#bacchus', ""Se peut-il que Faunus oublie  Que nous sommes en Thessalie ?  Être ici sorcier, ce n'est rien,  C'est le pays de la magie. "")",,1.0,Insertion
288,"('#faunus', ""Il est vrai, je m'en ressouviens. "")",,1.0,Insertion
289,"('#bacchus', ""Voilà l'écrin, prenez soin de lui rendre. "")",,1.0,Insertion
290,"('#faunus', 'Peut-être elle fera quelque difficulté. ')",,1.0,Insertion
291,"('#bacchus', ""Il ne faut qu'exciter sa curiosité.  C'en est assez pour le lui faire prendre. "")",,1.0,Insertion
292,"('#bacchus', ""Fâché d'être éloigné de vos jeunes appas,  Votre Amant en ces lieux m'a fait porter mes pas Pour vous y donner assurance  Que l'éloignement ni l'absence  D'un coeur constant ne vous éloignent pas. "")",,1.0,Insertion
293,"('#corine', ""Je ne mérite pas tous les soins qu'il se donne,  Ni ceux que l'on prend d'empêcher  Que personne puisse approcher  De ces lieux où l'on m'emprisonne.  C'est me donner de son amour  Un assez fâcheux témoignage,  Et la contrainte est un triste présage  De mon malheur, si l'hymen quelque jour  Me mettait sous son esclavage. "")","('#vulcain', ""Plutus, Plutus, mon cher Plutus !  Il n'y a point de Plutus pour vous : c'est moi qui ai pris sa figure pour vous éprouver, coquette fieffée.  Oh, je jure par le Styx, moi, qui n'ai pas le privilège de me dédire... "")",0.7,Substitution
294,"('#bacchus', ""Peut-on trop précieusement  Garder un objet si charmant ?  Épris pour vous de la plus vive flamme ;  Il sait qu'à son ardeur on veut vous enlever :  Le blâmez-vous des soins qu'il prend pour conserver  La Beauté qui règne en son âme ? "")",,1.0,Insertion
295,"('#corine', ""Vouloir la conserver ainsi,  C'est presque en assurer la perte ;  Et si de m'éloigner d'ici  L'occasion m'était offerte… "")",,1.0,Insertion
296,"('#faunus', 'Justement, attendez-vous-y,  Nous laisserons la porte ouverte. ')",,1.0,Insertion
297,"('#bacchus', ""Aux yeux de tout le monde il voudrait vous cacher,  Il craint que dans cette retraite,  De ses desseins sa famille inquiète,  Pendant qu'il est absent ne vienne vous chercher ;  Qu'un enlèvement ne les mette  En état un jour d'empêcher  L'hymen qu'en secret il projette. "")",,1.0,Insertion
298,"('#corine', ""Je n'approuve pas ses projets :  De ma part vous pouvez lui dire  Que cet hymen n'a rien qui flatte mes souhaits. "")",,1.0,Insertion
299,"('#bacchus', ""Je n'ai garde de l'en instruire,  Je suis discret, et je vous le promets. "")",,1.0,Insertion
300,"('#corine', ""Le plus grand bonheur où j'aspire,  C'est qu'il le sache, et ne le voir jamais. "")",,1.0,Insertion
301,"('#bacchus', ""Un tel discours a droit de me surprendre  Il ne mérite pas un pareil traitement.  On a quelque présent de sa part à vous rendre :  Recevez-le, de grâce, un peu plus poliment  Que vous n'avez reçu mon compliment."")",,1.0,Insertion
302,"('#corine', ""Des présents de sa part ! Suis-je fille à les prendre ?  Et me croit-il sensible à l'intérêt ?  Est-ce par-là que l'on rend un coeur tendre ? "")",,1.0,Insertion
303,"('#faunus', 'Il aurait tort de le prétendre :  Quoique dans un écrin… ')",,1.0,Insertion
304,"('#corine', ""Ouvrez-le, s'il vous plaît. "")",,1.0,Insertion
305,"('#faunus', ""C'est ce qu'avec grand soin l'on vient de me défendre. "")",,1.0,Insertion
306,"('#corine', 'Montrez-moi. ')",,1.0,Insertion
307,"('#faunus', 'Point. ')",,1.0,Insertion
308,"('#corine', ""Voyons seulement ce que c'est. "")",,1.0,Insertion
309,"('#faunus', 'Acceptez le présent. ')",,1.0,Insertion
310,"('#corine', 'Non, je ne le puis faire. ')",,1.0,Insertion
311,"('#faunus', ""Ni moi ne suivre pas l'ordre qu'on m'a dicté. "")",,1.0,Insertion
312,"('#corine', ""C'est avoir peu d'honnêteté. "")",,1.0,Insertion
313,"('#faunus', ""Oui, j'en conviens, je n'en ai guère. "")",,1.0,Insertion
314,"('#corine', 'Je voudrais bien pourtant pouvoir me satisfaire. ')",,1.0,Insertion
315,"('#faunus', 'Hé bien, épargnez-vous un scrupule affecté.  Tant de grimaces est fort peu nécessaire. ')",,1.0,Insertion
316,"('#corine', 'Mais on ne vous a pas ordonné de vous taire,  Dites-moi… ')","('#venus', ""N'achevez pas, mon cher mari.  Voudriez-vous me punir sans m'entendre ? "")",0.42,Substitution
317,"('#faunus', ""Volontiers, c'est un ajustement  Qu'on peut prendre dans cette affaire.  Oh bien donc ! Ce coffret renferme un diamant. "")",,1.0,Insertion
318,"('#corine', 'Je ne veux pas en savoir davantage. ')",,1.0,Insertion
319,"('#faunus', 'Un anneau. ')",,1.0,Insertion
320,"('#corine', ""Voilà justement  Ce que j'ai soupçonné dès le premier moment. "")",,1.0,Insertion
321,"('#faunus', ""Oui, mais de cet anneau vous ignorez l'usage. "")",,1.0,Insertion
322,"('#corine', ""Oh ! Je le devine aisément,  Qui reçoit un présent s'engage,  Et je sais que du mariage  Une bague acceptée est le commencement. "")",,1.0,Insertion
323,"('#faunus', ""N'en craignez point l'événement,  Le diamant ne peut être que magnifique ;  Mais ce n'est rien que la beauté ;  Par une puissance magique,  À votre doigt l'anneau porté,  Dans l'instant vous rend invisible,  Et l'on ne vous revoit qu'après qu'il est ôté. "")",,1.0,Insertion
324,"('#corine', 'Que dites-vous. ')",,1.0,Insertion
325,"('#faunus', 'La vérité. ')",,1.0,Insertion
326,"('#corine', ""Aux charmes, je le crois, il n'est rien d'impossible,  Et je n'en ai jamais douté :  Sans en avoir pourtant vu nul effet sensible,  Je souhaiterais fort…"")","('#vulcain', ""Je ne vous ai que trop entendue, de par tous les diables, et il n'a tenu qu'à moi de voir... "")",1.03,Substitution
327,"('#faunus', ""Ce n'est point fausseté,  Le talisman est infaillible. "")","('#venus', 'Il est vrai que les apparences sont contre moi : mais... ')",1.54,Substitution
328,,"('#vulcain', ""Tu as beau faire, tes discours ne m'ôteront pas de la tête ce que ta mauvaise conduite y a mis. "")",1.0,Deletion
329,"('#corine', ""Voyons donnez… Au moins, c'est curiosité. "")",,1.0,Insertion
330,"('#faunus', 'Au plaisir de la nouveauté,  Est-il un coeur inaccessible ?  Voilà le présent accepté. ')",,1.0,Insertion
331,"('#corine', ""Je n'ouvre cet écrin que d'une main tremblante :  Que vois-je ? Quel brillant objet !  C'est un mensonge qu'on m'a fait,  Et cette lumière éclatante  Doit produire un contraire effet. "")","('#venus', ""Qu'y a-t-il donc dans ma conduite de si extraordinaire ?  J'aime le plaisir de la conversation : et je choisis un jeune guerrier pour le brillant, et un financier pour le solide.  En vérité il n'y a point de simple mortelle qui n'en fasse autant.  Plutus est bon à ménager, et tu seras trop heureux, quand la guerre sera finie, qu'il te fasse avoir une commission. "")",0.75,Substitution
332,"('#faunus', ""Comment donc, s'il vous plaît, croyez-vous que je mente ? "")",,1.0,Insertion
333,"('#corine', ""Non, mais mettez-le un peu, j'en veux faire l'essai,  Je verrai si vous dites vrai. "")",,1.0,Insertion
334,"('#faunus', ""Fort volontiers. Hé bien, n'êtes-vous pas contente ? "")",,1.0,Insertion
335,"('#corine', 'Vous avez disparu. Ciel, quel étonnement ! ')",,1.0,Insertion
336,"('#faunus', 'La chose est assez surprenante. ')",,1.0,Insertion
337,"('#corine', 'Sans doute, mais ce diamant  Fait-il le même effet sur tous également ? ')",,1.0,Insertion
338,"('#faunus', 'Oh ! Oui. ')",,1.0,Insertion
339,"('#corine', ""Pour en avoir une preuve constante  Par moi-même je veux l'essayer un moment. "")",,1.0,Insertion
340,"('#faunus', 'Fort bien. ')",,1.0,Insertion
341,"('#corine', 'Seconde, Amour, le projet que je tente. ')",,1.0,Insertion
342,"('#faunus', ""Rien n'est plus merveilleux. "")",,1.0,Insertion
343,"('#corine', 'Vous ne me voyez pas ? ')",,1.0,Insertion
344,"('#faunus', 'Comme si vous étiez absente. ')",,1.0,Insertion
345,"('#corine', ""Je ne suis pourtant qu'à deux pas. "")",,1.0,Insertion
346,"('#faunus', ""Ne vous éloignez pas s'il vous plaît davantage,  Allons vous avez fait l'épreuve, et c'est assez.  Ôtez la bague et finissez. "")",,1.0,Insertion
347,"('#corine', ""J'en connais trop le prix pour n'en pas faire usage,  Enfin mes voeux sont exaucés. "")","('#vulcain', ""Je n'en veux point à ce prix-là. "")",1.01,Substitution
348,"('#faunus', 'Comment ! Que dites-vous ? ')",,1.0,Insertion
349,"('#corine', ""Que je sors d'esclavage,  Et que mes malheurs sont passés.  Corine s'éloigne."")",,1.0,Insertion
350,"('#faunus', ""Comment ! Écoutez donc, Corine, je vous prie,  Ne vous avisez pas d'aller me faire ici  De mauvaise plaisanterie ;  Je n'aime pas la raillerie,  Et ce n'est pas un jeu que cette affaire-ci.  Elle ne répond point, elle s'est écartée :  Où la trouver et comment ?  Voilà pour un commencement,  Un bel effet de la bague enchantée : Jupiter ne sait ce qu'il fait,  Il me donne en partant à garder sa Bergère,  Et par Bacchus il envoie un secret  Pour empêcher de voir ce qu'elle voudra faire.  Je suis moi-même un grand sot aujourd'hui,  De n'avoir pas prévu la chose ;  Mais quand je l'aurais fait, je n'ose  Croire avoir plus d'esprit que lui.  À quoi la passion expose !  Elle obscurcit l'esprit, elle aveugle les yeux,  Et l'Amour, qui se rit de tous tant que nous sommes,  Fait assez souvent faire aux Dieux  Autant de sottises qu'aux hommes.  Quel parti prendre ! Il faut tâcher  Adroitement de faire en sorte  De rattraper la bague, et surtout d'empêcher  Que de ces lieux l'invisible ne sorte ;  Courons, et redoublons la garde de la porte,  Si on ne la voit pas, on pourra la toucher. "")","('#venus', ""À quel prix crois-tu que j'achète les bonnes grâces de Plutus ?  Ne sais-tu pas que c'est une dupe qui paye d'avance, et qui achète, au prix des plus grandes faveurs, quelques minauderies coquettes qui ne tirent pas à conséquence ?  Il est charmé d'une oeillade louche qui va tomber sur son rival : il croit qu'il est le héros de tous les cadeaux qu'il donne, et prend pour une langueur amoureuse, l'ennui mortel que sa conversation me fait souffrir. "")",0.0,Match
351,"('#corine', ""Que parle-t-il des Dieux, et de Jupiter même ?  Ai-je bien entendu : serait-ce un Dieu qui m'aime ?  Mais non, pourquoi se déguiser ?  Pourquoi descendre ainsi de sa grandeur suprême,  Et pour toucher un coeur chercher à l'abuser ?  Je sens qu'en secret je me flatte  De soumettre à mes lois une Divinité :  Trop dangereuse vanité  Qu'il faut que ma vertu combatte  Par le secours de la fidélité.  C'en est fait, et je veux que mon triomphe éclate.  Quelque bonheur qui me soit présenté,  Je me dois à Philène, et ne suis point ingrate,  Et le Dieu sera rebuté :  Voici Philène… sa présence  Dans tous mes sens allume un nouveau feu.  Il croit être seul en ce lieu,  Il ne me saurait voir, examinons-le un peu,  Écoutons, sachons ce qu'il pense,  Et s'il mérite sur un Dieu,  Qu'on lui donne la préférence. "")","('#vulcain', ""Oh, je connais bien la race Plutonique.  Ce drôle-là sème en dieu libéral : mais il recueille en homme avare : et je suis bien trompé si les articles de la recette ne suivent de près ceux de la dépense.  Dites-moi un peu, madame la coquette, quand vous avez rappelé Plutus sur le ton d'une marchande du palais, qui prend au mot un joli chaland : quelle marchandise prétendiez-vous lui livrer ? "")",0.1,Substitution
352,"('#philene', ""Tout favorise mes desseins,  C'est une Puissance divine  Qui vient de m'ouvrir les chemins  De ces beaux lieux habités par Corine.  Il n'est point de bonheur égal  À celui s'être aimé d'une beauté qu'on aime,  Si Corine est pour moi la même,  Je ne craindrai point d'un rival,  Ni le pouvoir, ni la colère :  Près d'elle conduit par l'Amour,  Mon bonheur me rend téméraire ;  Et j'affronterai pour lui plaire  Les périls où dans ce séjour,  De ce rival peut me livrer la haine,  Heureux de périr en ce jour,  En prouvant ma constance à Corine. "")","('#venus', ""Je prétendais l'amorcer avec de belles espérances, jusqu'à ce que Mars soit de revenu de l'armée, pour le faire déguerpir l'héritage, et faire en sorte qu'il ne reste à Plutus que l'honneur d'avoir fait les améliorations. "")",0.65,Substitution
353,"('#corine', 'Ah Philène ! ')",,1.0,Insertion
354,"('#philene', ""Qu'entends-je Corine, est-ce vous ?  Quel charme vous cache à ma vue. "")",,1.0,Insertion
355,"('#corine', 'Le Ciel se déclare pour nous. ')",,1.0,Insertion
356,"('#philene', ""J'entends sa voix. Depuis que je vous ai perdue,  De mon bonheur les Dieux jaloux,  Ne peuvent-ils souffrir qu'à mes voeux les plus doux ?  Vous soyez tout-à-fait rendue ?  Je vous entends, et je ne puis vous voir ;  Auprès de vous c'est l'Amour qui m'amène ;  Ce Dieu m'a-t-il flatté d'une espérance vaine ? "")","('#vulcain', ""Comment, coquine, tu oses encore me parler de ce maraud de Mars ?  Je m'en vais me faire séparer de corps et de biens d'avec toi.  J'ai déjà donné ordre à Mercure d'assembler tous les dieux pour cela, il ne doit pas tarder à venir.  Mais le voici. "")",0.98,Substitution
357,"('#corine', 'Non, Philène, ce Dieu va combler votre espoir,  Ce diamant me rendait invisible. ')","('#mercure', ""Seigneur Vulcain, j'ai exécuté vos ordres ; je viens d'avertir les dieux de se trouver dans la salle de l'audience, ils sont déjà à la buvette. "")",1.57,Substitution
358,"('#philene', ""C'est un présent de mon rival :  Vous l'avez accepté, Corine, est-il possible ? "")","('#vulcain', ""L'assemblée sera-t-elle nombreuse ? "")",1.75,Substitution
359,,"('#mercure', 'Non, la plupart des dieux sont malades, à cause des vins nouveaux. ')",1.0,Deletion
360,"('#corine', 'Oui, mais il lui sera fatal,  Il peut faciliter ma fuite ;  Ou si vous demeurez près de moi dans ces lieux,  Vous y cacher à tous les yeux. ')","('#vulcain', ""N'importe, ils seront tous pour moi ; car ma cause est la cause commune. "")",1.52,Substitution
361,"('#philene', ""Que s'il se peut, jamais je ne vous quitte,  Et que mon sort soit envié des Dieux. "")","('#venus', 'Si tous les dieux sont pour vous, les déesses seront pour moi. ')",0.52,Substitution
362,"('#corine', ""N'en doutez point, Philène, il doit leur faire envie,  Ce présent vient de quelqu'un d'eux,  Corine vous le sacrifie.  Philène prend la bague et veut la mettre.  Que Corine me rend heureux ! "")",,1.0,Insertion
363,"('#corine', ""Ah, Philène ! Arrêtez, ne troublez point ma joie  En vous cachant sitôt à mes regards, Autant que nous pourrons, souffrez que je vous voie :  Et quoique l'on m'observe ici de toutes parts ;  Pour mettre cet anneau, du moins il faut attendre  Que quelqu'un vienne nous surprendre,  Ma tante porte ici ses pas. "")","('#mercure', ""Nous n'en aurons pas beaucoup ; car la plupart sont allés jouer leur rôle à l'opéra.  Çà, il faut vous mettre en état d'être jugé, avant que les dieux paraissent.  Mettez-vous sur la sellette.  À Vulcain."")",0.67,Substitution
364,"('#philene', ""Oui, c'est elle, je crois l'entendre. "")","('#vulcain', ""Une sellette à moi ?  C'est ma femme qui est l'accusée. "")",1.67,Substitution
365,"('#corine', 'Cachez-vous à ses yeux ; mais ne me quittez pas. ')","('#mercure', 'Dans ces sortes de procès le mari est toujours le patient. ')",1.5,Substitution
366,"('#merope', ""Je ne puis demeurer en place ;  Je vais, je viens, je cours, et je ne sais pourquoi,  Ma nièce, il faut de vous que j'obtienne une grâce. "")","('#vulcain', 'Ô tempora !  Ô mores ! ')",1.31,Substitution
367,"('#corine', 'Vous pouvez disposer de moi. ')",,1.0,Insertion
368,"('#merope', ""Depuis quelques instants, tout ce qu'ici je vois  Me donne des soupçons, m'alarme, m'embarrasse :  Expliquez-vous de bonne foi ;  Ignorez-vous ce qui s'y passe ? "")","('#mercure', ""J'ai prié Bacchus de composer un petit breuvage pour adoucir la colère de Vulcain.  Laissez-nous faire, sortez d'ici sans rien dire, et ne paraissez point que je ne vous avertisse. "")",0.47,Substitution
369,"('#corine', 'Quoi donc ? ')",,1.0,Insertion
370,"('#merope', ""Parlez sincèrement,  De concert, s'il se peut, démêlons l'aventure ;  Je vois des incidents qui passent la nature,  Ces Jardins, ce beau Bâtiment,  D'une divinité, sans doute, sont l'ouvrage,  Ou l'effet d'un enchantement. "")",,1.0,Insertion
371,"('#corine', ""Mais à penser ainsi, qu'est-ce qui vous engage ? "")",,1.0,Insertion
372,"('#merope', ""Vous pensez comme moi, ma nièce, assurément,  Ce Courrier que vous vient d'envoyer votre amant… "")",,1.0,Insertion
373,"('#corine', 'Hé bien. ')",,1.0,Insertion
374,"('#merope', 'Ma surprise est extrême. ')",,1.0,Insertion
375,"('#corine', 'Quoi donc ! ')",,1.0,Insertion
376,"('#merope', ""C'est quelque Dieu, ma nièce, absolument,  Ou quelque Enchanteur qui vous aime ;  Et le Courrier, peut-être, est un des deux lui-même. "")",,1.0,Insertion
377,"('#philene', ""Ô Ciel ! Quel est l'excès de mon étonnement ? "")",,1.0,Insertion
378,"('#merope', 'Ouais, quelle voix ai-je entendue ?  Dites. ')",,1.0,Insertion
379,"('#corine', ""C'est la mienne, vraiment. "")",,1.0,Insertion
380,"('#merope', ""De moment en moment, je suis plus éperdue,  Ce qui s'est offert à ma vue. "")",,1.0,Insertion
381,"('#corine', 'Quoi donc ! Ma Tante ? ')","('#vulcain', 'Où va donc ma femme ? ')",0.42,Substitution
382,"('#merope', ""En ce moment,  Ce Courrier à mes yeux vient de percer la nue,  Je l'ai vu vers le Ciel voler rapidement. "")",,1.0,Insertion
383,"('#corine', 'De trouble, comme vous, je sens mon âme émue. ')","('#mercure', ""C'est un petit accès de pudeur qui lui vient de prendre.  Elle dit que vous plaidiez pour elle, et que tout ce que vous ferez sera bien fait.  Entre nous, elle sent bien que sa cause est véreuse. "")",1.32,Substitution
384,"('#merope', 'Ma nièce, mes soupçons sont-ils sans fondement ? ')",,1.0,Insertion
385,"('#corine', ""Vous m'en voyez saisie, et je souffre une gêne ;  Hâtons-nous de sortir de ce fatal séjour. "")","('#vulcain', 'Vous allez voir aussi comme je vais triompher. ')",1.19,Substitution
