,schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Cost,Operation Type
255,"('#leonte', ""« Mars et son fils Amour ont chacun leur saison : L'un règne à la campagne et l'autre à la maison. »"")",,1.0,Insertion
256,"('#timadon', ""Il ne faut que la paix où Cupidon domine, Car l'amour féminin les grands coeurs efféminés."")","('#meliane', 'Ma mère, mais encor ne peut-on pas tâcher À quelque trait subtil qui le fasse lâcher ? Songeons-y, je vous prie.')",1.02,Substitution
257,,"('#almodice', ""Il est en une cage Épaisse de muraille et très haute d'étage ; Tous les jours sont garnis de barreaux près à près ; Ses guichets, occupés de vingt gardes exprès, Sont commandés d'un chef que Thamys on appelle."")",1.0,Deletion
258,"('#leonte', ""Quoi ! Le dieu des combats fut l'amant de Cypris."")","('#meliane', ""Oh ! Qu'à notre profit cet homme est trop fidèle !"")",1.64,Substitution
259,"('#timadon', 'Mais il fut sur le fait honteusement surpris.')",,1.0,Insertion
260,"('#leonte', ""Ô la honte gaillarde, où ceux qui s'en moquèrent D'un semblable désir eux-mêmes se piquèrent ! Les plus braves guerriers que l'histoire a loués Aux belles de leur temps souvent se sont joués."")","('#almodice', ""Qui n'ose rien ne fait. Quel serait le rocher Qui ne s'amollirait, vous le venant prêcher ? Orphée a bien fléchi la puissance infernale, Et quel accord de lyre à votre voix s'égale ? Le roussin plus fougueux par la bouche est mené, Par les armes du front le taureau forcené, Par le nez l'éléphant, et de façon pareille L'homme le plus farouche est conduit par l'oreille. Au reste, offrez, donnez : qui serait refusant En cette belle main d'un libéral présent ?"")",0.34,Substitution
261,"('#timadon', 'Mais plusieurs comme Hercule en ont perdu la vie.')",,1.0,Insertion
262,"('#leonte', ""Sa mort d'honneur divin fut néanmoins suivie."")",,1.0,Insertion
263,"('#timadon', ""Rien n'a terni l'honneur de ce dompte-géant Que de s'être montré lascif et fainéant, Lorsque dessous ses lois la reine de Lydie Amusait à filer sa dextre accouardie."")","('#meliane', ""Sus, il le faut tenter. Ô dieu de biendisance, Père d'invention, d'art et de complaisance, Grand patron des coureurs et des aventuriers Qui jadis délivras le maître des guerriers, Des chaines d'Ephialte, et la fille d'Inache Des cent yeux la gardant en forme d'une vache, Influe en mon langage, ô beau cyllénien ! Et le doux artifice et la force du tien."")",0.2,Substitution
264,"('#leonte', ""Si fut-il admiré pour mâle très puissant D'en avoir, une nuit, défloré demi-cent. Qu'il sied mal à votre âge, à votre nourriture, De faire le stoïque ennemi de nature ! En la jeunesse il faut que ce mal ait son cours. Si vous me voulez plaire, au lieu d'un tel discours, Cerchons l'invention la plus prompte et plus sûre D'avoir la guérison d'où me vient la blessure ; Il y faut procéder de subtile façon ; Le tout est d'éviter du mari le soupçon : Car je vois que la belle est d'un abord facile, Et qu'à ce premier choc sa chasteté vacille."")","('#almodice', 'Si Thamys le permet, la chose est bien aisée... Nous le ferons couler en robe déguisée Dans quelque bon vaisseau tout prêt à démarrer.')",0.91,Substitution
265,"('#timadon', ""Excusez, Monseigneur, la crainte que j'en ai : C'est de vous voir en vain d'un tel souci gêné, Sans pouvoir parvenir où votre coeur aspire. « Un désespoir d'amour de tous maux est le pire. » Car, s'il en est ainsi comme le bruit en court, Que son vieil radoteur la retient de si court Qu'il ne rend à nul homme accessible sa porte, Et que fort rarement il permet qu'elle sorte, Vous n'en chevirez pas, car ce matois grison Lui donnerait plus tôt la mort ou la prison. Lors, au lieu d'alléger votre peine à vous-même, Vous mettrez elle et vous en un péril extrême."")","('#meliane', ""J'y veux aller aussi, pourquoi nous séparer ? J'entends de partager le péril et la joie. Pour croire son salut, il faut que je le voie."")",0.57,Substitution
266,,"('#almodice', 'Courage de Pallas en un corps de Cypris ! Poursuivons ce complot, il est bien entrepris.')",1.0,Deletion
267,"('#leonte', ""Qu'il ne le ferait pas sans s'en bien repentir !"")",,1.0,Insertion
268,"('#timadon', ""Vous êtes à Sidon, vous n'êtes pas à Tyr."")",,1.0,Insertion
269,"('#leonte', ""Quand elle aurait pour garde un dragon hespéride, Un cerbère à trois chefs, voire un aristoride, Qui prenait assurance au nombre de cent yeux Pour frauder les plaisirs du monarque des dieux, Si de tous mes moyens en ma poursuite j'use, J'emporterai ce prix ou de force ou de ruse."")","('#abdolomin', ""Pren donc, comme j'ay dit, mon fidelle Balorte, La galère amiralle et suffisante escorte ; Cours de rame tranchante et de voile bouffant ; Va, mon ambassadeur, secourir mon enfant. Las ! Fleschis Pharnabaze, et fay que s'il lui reste Un rayon de bon sens dans son trouble funeste, Qu'il ne s'acquière point, par une cruauté, Le nom de tyrannie au lieu de royauté. S'il me vut condamner, va deffendre ma cause, Fay-lui voir le procez : s'il y trouve une clause Qui taxe tant soit peu ma sincère candeur, Dy-lui qu'à sa mercy je soubmets ma grandeur. Mais s'il cognoist à l'oeil que ce n'est pas ma faute Si son fils s'est perdu par jeunesse peu caute, Qu'il ne recherche point au mal qu'il en ressent Un remède outrageux dans le sang innocent (ainsi que font, horreur ! Les ladres qui s'y baignent) ; Implore avec pitié de ceux qui l'accompagnent Toute favur utile à lui rompre ce coup ; Livre-lui quand et quand Zorote, ce vieux loup, Ce jaloux enragé. Sa croix j'ay differée Tant qu'il aura de lui la verité tirée. En somme, efforce-toi, car je ne doute pas Que mon Belcar ne soit menacé du trespas : Je cognoy trop l'humeur de ce roy sanguinaire, Insupportable même en sa fougue ordinaire."")",0.01,Substitution
270,"('#timadon', ""Plut-il aux immortels que cette belle fleur Fut facile à cueillir comme sa belle soeur, À qui ce faux jaloux, pour être bien gardée, (Ainsi qu'elle m'a dit) l'a tant recommandée : Cette bonne commère, à ce qu'il m'en appert, Ne fuirait le déduit qui lui serait offert."")","('#balorte', ""Vous le prenez au pis, mais j'espère pourtant De lui vaincre le coeur si l'oreille il me tend."")",0.68,Substitution
271,"('#leonte', 'As-tu sondé ce gué ?')","('#abdolomin', ""Ainsi vueillent les dieux ! Moi cependant, en doute, En même voeu qu'Egée auray l'oeil à ta route."")",1.45,Substitution
272,"('#timadon', ""Tandis que Philoline Parfaisait avec vous un pair de bonne mine, Et que des violons les fredonnant accords Semblaient comme animer vos membres et vos corps, Qui faisaient aux danseurs naître et perdre l'envie, Rendant d'étonnement l'assistance ravie, Il n'en faut pas mentir, je ne sais quel instinct Sur un si bel objet en extase me tint."")","('#belcar', ""Où es-tu maintenant ? D'où viens-tu ? Qui es-tu ? Quelle metamorphose accable ta vertu ? Es-tu ce grand Belcar dont la dextre aguerrie Estendoit son renom plus loin que la Syrie, Et qui faisoit trembler à son premier aspect Tes ennemis de peur, tes amis de respect ? Est-ce donc là ce bras lié de fortes chaisnes Qui devoit gouverner d'un empire les resnes ? Est-ce donc là ce chef au bourreau destiné Que l'on esperoit voir de fin or couronné, Suspendant à sa voix des seigneurs et des princes, Et mouvant d'un clin d'oeil les ressorts de provinces ? Comment as-tu changé ton auguste palais, Peuplé de courtisans, de gardes, de valets, Contre ce noir cachot, comblé de vilenie, Où les rats fourmillans te tiennent compagnie ? Quel est cest accident ? Es-tu donc devenu Quelque odieux corsaire en justice tenu, Convaincu mille fois d'avoir, quand et la vie, Des timides marchands la richesse ravie ? Las ! Ce pauvre veneur qui, de soif languissant, Recherchoit à l'escart un flot rafreschissant, Ne s'estonna point plus quand, de cholère eprise, Diane le rendit de sa meute la prise, Que moi, qui, voulant tendre aux aymables surgeons Où la belle Cyprine abreuve ses pigeons, Me trouve à l'impourvu sur la rive du Lèthe ; Et cependant qu'amour d'esperance m'allaitte, Sortant des doux liens de la captivité, J'entre en ceux de la mort sans l'avoir merité. ô monarque des dieux, dont l'oeillade gouverne Tout ce que l'univers enveloppe en son cerne, Pourquoy, jusqu'à ce jour, m'as-tu sous ton support Mis si bien à couvert des bourrasques du sort, Comblant tous mes soins d'heur, mes combats de victoire, Ma conduite d'adresse et mes travaux de gloire ? Qu'il me valoit bien mieux qu'un de ces chevaliers Qui sous mes coups pesans sont tombez à milliers Eust en un champ d'honneur, brisant ma violence, Annobly de ma teste ou sa lame ou sa lance, Ou que cette langueur qui durant deux hyvers M'a collé dans la couche en martyres divers (tandis qu'à nos despens et par ma seule absence Le tyran tyrien relevoit sa puissance) Eust envoyé mon ombre au charontide bord Plustost que me garder à si piteuse mort, Où les plus lasches coeurs qui d'honneur ne font conte Craignent toutesfois moins le tourment que la honte ! Que je te plains, ma belle, en qui gît tout mon bien ! Combien mon propre mal m'est moindre que le tien, Vu que tu n'es pas moins et sensible et soudaine À la compassion que ton père à la hayne ! Helas ! Il me souvient qu'avant nostre amitié Je ressentis d'abord l'effet de ta pitié, Quand ny l'objet public de la guerre obstinée, Ny mon regard affreux, ma palleur descharnée, Ny l'odeur des onguens, l'air renclos et relant, Ny la crainte d'un bruit par les bouches volant, De moi, pauvre blessé, ne t'empeschoient l'approche. Soit lorsque le soleil alloit monter en coche, Soit alors que plus haut il partissoit le jour, Soit alors que dans l'onde il achevoit son tour, Tu m'osois visiter, et d'un courtois langage T'enquerir de mon mal en me donnant courage. Tantost tes doigts polis, faits d'yvoire vivant, Tastent l'accez fievreux en mon poulx se mouvant ; Tantost, sous le corail de ta bouche mignonne, Tu fais l'essay toi-même au crystal qu'on me donne Pour gouster si Bacchus a perdu sa vigueur, Au sein d'une naïade infusant sa liqueur, Et tantost de tes mains si douillettes et blanches, Obligeant l'appetit, les morceaux tu me tranches. Mais le plus grand effect de ta rare bonté Sans mourir de regret ne peut estre conté : C'est lors qu'ayant ouy mon amoureuse plainte, Tu t'osas confesser d'un même trait attainte, D'où tant de doux plaisirs (helas ! Le coeur me fend, Et mon present estat la memoire en deffend), Tant de delices, dis-je, en nous prirent leur source, Dont un torrent du sort rompt aujourd'huy la course. Mais j'entens remuer les clefs et les verrous Qui renferment ce lieu."")",0.01,Substitution
273,"('#leonte', 'Comment ? Sur mes amours ?')","('#thamys', ""Prince, esjouissez-vous : Recevez de ma main la preuve plus certaine D'un amour de princesse."")",0.79,Substitution
274,,"('#belcar', 'En quoy, mon capitaine ?')",1.0,Deletion
275,"('#timadon', ""Non ; mais, pour m'en distraire (Tant peut sur notre esprit la force imaginaire) J'entrepris sa compagne, et d'un mutuel feu, Qui par joyeux devis s'embrasait peu à peu, J'en devins tant épris, elle tant amoureuse, Que, sans les éclaireurs, qui la rendaient peureuse, Nous nous fussions portés à quelque privauté Qui nous eut fait grand bien d'un et d'autre côté."")",,1.0,Insertion
276,"('#leonte', ""Et bien ! Ne perdez point la chose différée ; C'est une occasion qui vous est préparée À passer votre temps, et dont peut-être aussi L'heur me naîtra de voir mon dessein réussi. « Celle qui sent pour soi la débauche être bonne Ne trouve pas mauvais qu'une autre s'abandonne, Pourvu qu'à même objet ne tendent leurs désirs. »"")","('#thamys', ""çà, çà, que vistement je desserre vos fers. Ne tardons point, sortez (car les huis sont ouverts) ; Sous ceste fausse barbe et sous ceste casaque, Venez vous retirer au fonds d'une carraque Où Meliane et vous, à la favur du vent, Irez en même lieu, même risque suivant."")",0.17,Substitution
277,"('#timadon', ""Je tiendrai le plus cher d'entre tous mes plaisirs De vous paraître utile en un si doux service."")","('#belcar', ""ô bonté ravissante ! Amoureuse merveille ! ô d'un coeur feminin constance nompareille !"")",0.47,Substitution
278,"('#leonte', ""Sois sûr qu'un beau présent suivra ce bon office."")",,1.0,Insertion
279,"('#timadon', ""Je la vais de ce pas chatouiller, cajoler, Et le passionné tellement simuler (m'ayant de sa maison déjà promis l'entrée) Que je l'attraperai, tant soit-elle madrée. Elle est vieille, de vrai ; son haleine me put ; Mais je me contraindrai pour venir à mon but. Puis elle est joviale, aimant le mot pour rire, Et moi je me fais fort de le savoir bien dire. Cela s'accorde bien. Naguère en devisant, Comme je l'amusai sur un conte plaisant, La folâtre qu'elle est, riant de bon courage, A pensé me cracher une dent au visage."")","('#thamys', ""Suivez-moi jusqu'au port... je vous y vay guider. De là sur un coursier je me vux evader."")",0.7,Substitution
280,"('#tharside', ""C'est assez pour ce coup, mon gentil écuyer ; Jamais ton entretien ne saurait m'ennuyer, Mais de ce cabinet rentrons en notre salle, Pour reprendre un peu l'air et fuir le scandale."")","('#cassandre', ""Ah ! Fille sans secours et sans ressource aucune ! Malencontreux destin ! Detestable fortune ! Que maudit soit le jour qui me fut le premier, Et maudit celui-cy, qui sera mon dernier. Que feray-je ? Où courray-je ? Où suis-je ? Ah ! Quelle rage ! ô malheureux chevux ! ô malheureux visage ! ô sein, de mes tourmens principal receleur, Que ne puis-je en t'ouvrant arracher ma douleur ! Ongles mal aiguisez..."")",0.92,Substitution
281,"('#timadon', ""Vienne ici qui voudra, s'il y prend intérêt. Pour maintenir mon droit j'ai la lance en arrêt, Et suis maître du camp."")",,1.0,Insertion
282,"('#tharside', ""Que vous m'avez surprise ! Mais souvenez-vous bien de votre foi promise. Quant à moi, je suis votre et j'invoque Alecton Pour envoyer mon âme au gouffre de Pluton Si je vous romps jamais mon amour conjugale. Or sus, contentez-moi d'une assurance égale."")","('#phulter', ""Quelle esclattante plainte Sonne tant en ce lieu ? J'en tremble tout de crainte."")",0.75,Substitution
283,,"('#cassandre', 'Changez-vous en rasoirs.')",1.0,Deletion
284,"('#timadon', ""Quoi ! Mon coeur, pensez-vous qu'un pauvre cavalier Ne se répute heureux de si bien s'allier ? Pourrai-je prendre femme à plus grand avantage Qu'aussi belle que bonne, aussi riche que sage ? Je suis du tout à vous, et fiez-vous à moi. Je me romprai le col quand je romprai ma foi. Mais pensons à mon maître, et cherchons quelque voie Qui le porte avec nous au comble de la joie : Il est prince loyal, qui bien paye un bienfait, Et crois que de vous seule il attend cet effet."")","('#phulter', ""Eh quoy ! Madame, quoy ! Veillé-je, ou si je songe ? Et qu'est-ce que je voy ? De quelle passion l'estrange violence Triomphe de vostre ame avec tant d'insolence ? Comment ! Que faites-vous ? Qu'ont fait ces fils deliez, Mieux dorez que l'or même et pendans jusqu'aux piez ? Pourquoy les brisez-vous ? Et ces pommes jumelles, Pourquoy les plombez-vous de froissures cruelles ? D'où vient cet oeil hagard, ce nuage tendu En rides sur ce front ?"")",0.0,Match
285,,"('#cassandre', 'Eh ! Hé ! Tout est perdu !')",1.0,Deletion
286,"('#tharside', ""Je suis prête, mon coeur. Que veux-tu que je fasse ? Mais mon frère est bien fin ; devant lui rien ne passe ; Je suis déjà suspecte : il m'a fort reproché De n'avoir votre maître en sa danse empêché. Toutefois je vois bien, s'il faut que je m'en mêle, Qu'il passera pour dupe ou pour coucou sans aile. Or ne voudriez-vous pas m'exposer au mépris De porter simplement un poulet de Cypris. Même je vous nuirais. N'espérez pas qu'elle ose Agréer en mes mains si chatouilleuse chose ; Ses plus ardents désirs deviendraient un refus, Qui me rendrait d'abord le visage confus. Faites donc vos essais, vos approches premières ; Rendez-lui par écrit vos plaintes familières."")","('#phulter', 'Tout est perdu pour vous si vous perdez vous-même. Je sais que ce grand dueil vient d\'un malheur extrême, Et qu\'un sage en tel cas, au porche athenien, Serait tout de metail s\'il n\'en ressentoit rien ; Mais le trop est blasmable aux humeurs mieux seantes : Se plaindre et se tuer sont choses differentes. "" par nous ny pour nous seuls nous ne vivons icy ; "" mourir par nostre main nous ne devons aussi. "" le bras est execrable et plus que parricide "" qui demolit le siége où son ame reside. ""')",0.37,Substitution
287,"('#timadon', ""Oh ! Ma belle, et comment ? Un eunuque ridé Tient le pas de son huis si clos et bien gardé Qu'une ombre échapperait au chien à triple tête Plutôt qu'un messager à cette laide bête."")","('#cassandre', ""Je ne puis eviter qu'à l'ombre du trespas Les injures du ciel."")",0.8,Substitution
288,"('#tharside', ""Qu'on le peut bien tromper ! L'ivrogne, tel qu'il est, Quand son maître s'absente aux tavernes se plaît. Or, excepté ce monstre, horreur de la famille, Le surplus du ménage en servantes fourmille, Qui plaignent leur maîtresse et plaignent le soupçon Du jaloux qui ne souffre entr'elles un garçon. C'est pourquoi le danger n'est qu'au seuil de la porte. Nul n'avise au dedans quiconque entre ni sorte. Faites donc par argent ou par vin répandu Glisser quelque billet qui vous soit répondu, Sinon d'un trait de plume, au moins de voix fidèle. Lors, dès que vous aurez quelque assurance d'elle, Reposez-vous du reste et me laissez agir : Vous verrez à bon port votre amoureux surgir. De le monter au lit j'ose bien entreprendre ; Faites qu'il soit pourvu d'une échelle à descendre."")","('#phulter', 'Non, non, ne croyez pas Qu\'en sortant de la vie on sorte de misère. La chair quitte ces maux dans le sein de sa mère Et brave les douleurs ; mais le souffle divin, C\'est l\'homme proprement qui ne prend point de fin, Et qui porte son mal de quel costé qu\'il verse, Comme un chevreuil courant le matras qui le perce, Mal d\'autant plus cuisant qu\'il ne trouve là-bas Ny divertissement, ny repos, ny soulas, Et qu\'ayant une fois delaissé la lumière Nul ne peut remonter en sa place première. Vivons doncques, vivons, targuez de la vertu, Et ne nous rendons point sans avoir combattu. Laissons l\'impatience à la folle commune. "" le seul et seur moyen de vaincre la fortune, "" c\'est de la mespriser. ""')",0.21,Substitution
289,,"('#cassandre', 'Ainsi de discours vains Remonstrent la constance aux malades les sains.')",1.0,Deletion
290,"('#timadon', ""Tu vaux trop, ma mignonne. Adieu, le temps se perd ; Mon prince, trop actif, en amour mal expert, Pense qu'en m'amusant son service j'oublie, Ou qu'indiscrètement son dessein je publie."")","('#phulter', ""J'en atteste les dieux, si mon ame n'applique Ses plus forts sentiments à la douleur publique, Et si jamais un coup m'avoit touché si fort Que ce grand accident, cet outrage du sort, Qui m'oste un bienvueillant, liberal et bon maistre, En qui seul ma fortune affermissoit son estre ! Mais, quoy ! Celui qui sçait que les pleurs, ny les cris, Ny même un desespoir, rançon de trop grand prix, Ne peuvent rachepter un ombre du rivage Où la faulx de la Parque estalle son ravage, Celui-là sur autruy n'est pas fondé si fort Qu'alors qu'un accident moissonne son support Il tombe quand et lui, desolé, sans remède. Au contraire, en usant des amis qu'il possède, Les cognoissant mortels, il se tient preparé De s'en voir tost ou tard quelque jour separé. Tous premiers mouvemens à combattre impossibles (si ce n'est par les dieux ou les rois impassibles) Se vainquent par le temps d'un effort sans effort."")",0.1,Substitution
291,,"('#cassandre', ""Ouy bien, quand on a l'oeil à quelque reconfort."")",1.0,Deletion
292,"('#zorote', ""Ô grands dieux ! Le moyen de vivre en bon accord ! Quand je veux la baiser, la vilaine me mord. Je deviendrai, ce crois-je, aussi fou qu'elle est sotte."")","('#phulter', ""En faut-il un meilleur qu'une vengeance pronte, Qui même l'ambrosie en volupté surmonte ? Madame, attendez-la certaine de nos mains, Qui rendront la pareille aux meurtriers inhumains. Vous verrez de Sidon les murailles rasées, Les thresors enlevez, les maisons embrazées, Les carrefours à nage au sang des obstinez, Et nos marchez tous pleins des restans enchainez ; Mesmes, en attendant que leur maistre on punisse, Qu'un royaume et son roy d'un même coup finisse, Vous verrez dès tantost tomber devant vos yeux Belcar, son fils unique. Ah ! Qu'est-ce là, bons dieux ? Elle tombe en syncope. Eh ! Madame, courage ! Elle a les yeux ternis, la palleur au visage Et la sueur au front. à l'eau ! Courez à l'eau ! Venez tous au secours !"")",0.65,Substitution
293,"('#timadon', ""Je me tire à l'écart. Voici venir Zorote ; Il fume de colère. Il me faut écouter Ce qui le fait ainsi de soi-même irriter."")","('#almodice', 'Quel est ce bruit nouveau ? Que voy-je ? ô Jupiter ! Cassandre est trespassée.')",1.46,Substitution
294,"('#zorote', ""Or puis-je librement, sans note d'infamie, Entretenir aux champs quelque gentille amie, Tenant cette farouche au logis de si court Qu'elle n'orra parler de ballet ni de court. Ainsi je m'en irai, sans que rien elle en voie, Avec quelque beauté me donner au coeur joie, De qui, pour mon argent, mieux qu'en elle employé, Je recevrai plaisir, tant tenu, tant payé. Toutefois, quand j'y pense, il vaut mieux qu'elle sache Ma vengeance contre elle, et que rien je n'en cache, Prenant (puisqu'à me plaire elle se plaît si peu) Plaisir à lui déplaire en un coin de son feu. Il me faut donc chercher quelque jeune mignonne Que pour fille de chambre en gaussant je lui donne, Et que, me la voyant baiser et mignarder, De dépit elle en crève et n'en ose gronder. Que ne fais-je rencontre, au choix que je projette, D'une belle à mon gré qui se rende sujette À mes seules humeurs, bien résolue en soi De se roidir contre elle et de plier sous moi !"")","('#phulter', ""Faites qu'elle ait de l'air, qu'elle soit delacée."")",1.32,Substitution
295,"('#timadon', ""Ah ! Je sais bien ton cas. C'est assez, je vois naître Une occasion propre au dessein de mon maître : Un page de chez nous, beau fils et bien rusé, Pourra jouer ce rôle en habit déguisé ; Car si bien sa voix claire à son luth il marie Qu'il passera toujours pour fille bien nourrie."")","('#almodice', ""Madame ! ... elle n'oit rien. Ma fille, respondez ! Me cognoissez-vous point quand vous me regardez ?"")",1.43,Substitution
296,"('#le-page', 'Je vous cherche, monsieur.')","('#phulter', ""Il semble qu'à ce cri vostre objet l'ait esmeue."")",1.2,Substitution
297,,"('#almodice', 'Cassandre !')",1.0,Deletion
298,,"('#phulter', 'Elle revient, sa lèvre se remue.')",1.0,Deletion
299,"('#timadon', 'Le voici tout à point. Entrons vite, il vous faut mettre bas le pourpoint.')","('#almodice', ""Mon nourrisson, mon coeur, mon tout, parlez à moi ; C'est moi seule qui puis soulager vostre esmoy. Levez-vous, je vous prie."")",1.67,Substitution
300,,"('#phulter', ""Elle vous tend l'oreille."")",1.0,Deletion
301,"('#le-page', ""Eh ! Mon_Dieu, qu'ai-je fait ?"")","('#cassandre', ""Je dormois doucement... d'où vient qu'on me reveille ?"")",1.49,Substitution
302,"('#timadon', ""Non, n'ayez pas de crainte. C'est pour faire de vous une pucelle feinte."")","('#phulter', 'Quoy doncques ? Voulez-vous aux ennuis succomber ?')",1.32,Substitution
303,"('#leonte', ""Ô la riche sentence, et digne de l'auteur, De cet athénien, ce grand législateur, Qu'il faut toujours attendre au dernier jour de l'homme Avant que sans douter bienheureux on le nomme ! Tant voit-on de rochers sur nos têtes penchés, Et de glaives pointus d'un filet attachez, Prêts à chaque moment, sans résistance aucune, D'accabler les mortels, jouets de la fortune ! Tant sont-ils tout_à_coup, d'esprit comme de corps, Par les aspects du ciel rendus faibles ou forts ! Qui voudrait aujourd'hui denier, incrédule, D'Ulysse les pourceaux, la quenouille d'Hercule Et les corps par Méduse en pierre transformés, Si Léonte dément ses exploits renommez ? Quel changement, ô dieux ! Et qui le pourra croire ? Ce coeur jadis si fier, si jaloux de sa gloire, Est blessé, gourmandé par un aveugle enfant, Qui l'enchaîne et l'entraîne à son gré triomphant. Lui, dont tout l'orient n'eût point assouvi l'âme, A borné sa conquête en une seule dame. Lui, qui n'eût jamais peur des bras plus furieux, D'un vieux fou, d'un jaloux, appréhende les yeux ! Ô vergongne ! Ô douleur ! Rage qui me possède ? À quoi me résoudrai-je en ce mal sans remède ? Que fais-tu, Timadon ? M'as-tu donc délaissé, Sans aide, sans conseil, et d'ennuis oppressé, Ne considérant pas que toute inquiétude S'aggrave et se redouble avec la solitude, Qu'au lieu d'une heure ou deux, le temps de ton congé En des jours, ains des ans, me semble prolongé ? Las ! Tu connais assez combien ma peine est dure, Mais tu t'en ris à l'aise ; il faut que je l'endure. Encor si je pouvais soulager mon esprit Avec cette beauté conférant par écrit ! Mais, pauvre que je suis, nul ne m'ose promettre De lui faire tenir ce petit mot de lettre."")","('#almodice', ""Appuyez-vous sur moi, craignant de retomber. Ostez-vous tous d'icy. La memoire trop fresche D'un cuisant desplaisir son jugement empesche. L'homme du noir cachot nouvellement tiré S'avugle du jour même au lieu d'estre eclairé. Au reste, qui serait-ce autre que sa nourrice Qui la cherisse plus, que plus elle cherisse, Qui mieux la cognoissant mieux la gouverne aussi ?"")",0.23,Substitution
304,"('#timadon', 'Çà, çà, baillez-la moi ; votre cas ira bien.')","('#phulter', 'Adieu. Veillez-y donc.')",0.93,Substitution
305,"('#leonte', 'Mon ami, le doux mot !')","('#almodice', ""Laissez-m'en le soucy."")",1.31,Substitution
306,"('#timadon', ""Ne vous peinez de rien : Un page qui s'habille en guise d'une garce Vous rendra bien content en la fin de la farce."")","('#cassandre', ""Couchez, ne feignez point, sous une froide lame, Couchez ce corps transi separé de son ame. On doit ce sainct office aux pasles trespassez. Pourquoy retardez-vous ? N'appert-il point assez Que j'ay les yeux esteints, la couleur d'une morte ? Si je respire encor, vivante en quelque sorte, Si je forme ces mots, c'est la seule vigueur De mon dueil immortel qui m'anime le coeur."")",1.54,Substitution
307,"('#leonte', 'Mais dites-moi comment.')",,1.0,Insertion
308,"('#timadon', 'Modérez ce désir ; Vous le saurez tantôt avec plus de plaisir. Adieu vous dis, monsieur.')","('#almodice', 'Oyez et croyez-moi ; je vux vous faire vivre, En depit de la mort qui ces assauts vous livre.')",0.74,Substitution
309,"('#leonte', ""Je me laisse conduire. Voyez à quoi l'amour ses sujets va réduire ! Je suis serf de mes gens, ne les osant fâcher, Quand bien ils me devraient au visage cracher."")","('#cassandre', 'Voire dea ! Jupiter, qui les cieux faict mouvoir, À peine le pourrait.')",1.0,Substitution
