,moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Cost,Operation Type
247,"('#bergers #bergeres', ""Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens, Des grandeurs, qui voudra se soucie, Tous ces honneurs dont on a tant d'envie Ont des chagrins qui sont trop vieillissants : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens. En aimant tout nous plaît dans la vie, Deux coeurs unis de leur sort sont contents, Cette ardeur de plaisirs suivie, De tous nos jours fait d'éternels printemps : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens."")",,1.0,Insertion
248,"('#aristione', ""Les mêmes paroles toujours se présentent à dire.  Il faut toujours s'écrier voilà qui est admirable, il ne se peut rien de plus beau, cela passe tout ce qu'on a jamais vu. "")",,1.0,Insertion
249,"('#timocles', ""C'est donner de trop grandes paroles, Madame, à de petites bagatelles."")","('#forestan', ""Qu'importe, qu'importe !"")",1.72,Substitution
250,"('#aristione', ""Des bagatelles comme celles-là peuvent occuper agréablement les plus sérieuses personnes.  En vérité, ma Fille, vous êtes bien obligée à ces Princes, et vous ne sauriez assez reconnaître tous les soins qu'ils prennent pour vous."")","('#silvandre', 'Hé quoi ! Ne veux-tu pas aller Où nous devons nous assembler ? Ton impatience est peu forte.')",1.3,Substitution
251,"('#eriphile', ""J'en ai, Madame, tout le ressentiment qu'il est possible."")","('#forestan', ""Qu'importe, qu'importe !"")",1.7,Substitution
252,"('#aristione', ""Cependant vous les faites longtemps languir, sur ce qu'ils attendent de vous.  J'ai promis de ne vous point contraindre, mais leur amour vous presse de vous déclarer, et de ne plus traîner en longueur la récompense de leurs services.  J'ai chargé Sostrate d'apprendre doucement de vous les sentiments de votre coeur, et je ne sais pas s'il a commencé à s'acquitter de cette commission."")",,1.0,Insertion
253,"('#eriphile', ""Oui, Madame, mais il me semble que je ne puis assez reculer ce choix dont on me presse, et que je ne saurais le faire sans mériter quelque blâme.  Je me sens également obligée à l'amour, aux empressements, aux services de ces deux Princes, et je trouve une espèce d'injustice bien grande à me montrer ingrate, ou vers l'un, ou vers l'autre, par le refus qu'il m'en faudra faire dans la préférence de son rival."")","('#silvandre', ""Veux-tu souffrir en ce jour Que le faible dieu d'amour Sur le Dieu du vin l'emporte ?"")",1.08,Substitution
254,"('#iphicrate', ""Cela s'appelle, Madame, un fort honnête compliment pour nous refuser tous deux."")",,1.0,Insertion
255,"('#aristione', 'Ce scrupule, ma Fille, ne doit point vous inquiéter, et ces Princes tous deux se sont soumis il y a longtemps à la préférence que pourra faire votre inclination.')",,1.0,Insertion
256,"('#eriphile', ""L'inclination, Madame, est fort sujette à se tromper, et des yeux désintéressés sont beaucoup plus capables de faire un juste choix."")","('#forestan', ""Qu'importe, qu'importe !"")",1.39,Substitution
257,"('#aristione', 'Vous savez que je suis engagée de parole à ne rien prononcer là-dessus, et, parmi ces deux Princes, votre inclination ne peut point se tromper, et faire un choix qui soit mauvais.')",,1.0,Insertion
258,"('#eriphile', ""Pour ne point violenter votre parole, ni mon scrupule, agréez, Madame, un moyen que j'ose proposer."")","('#silvandre', ""Allons ; c'est trop railler."")",1.6,Substitution
259,"('#aristione', 'Quoi, ma Fille ?')","('#forestan', 'À qui crois-tu parler ?')",1.1,Substitution
260,"('#eriphile', ""Que Sostrate décide de cette préférence.  Vous l'avez pris pour découvrir le secret de mon coeur : souffrez que je le prenne pour me tirer de l'embarras où je me trouve."")","('#silvandre', ""Quel badinage !  Tu n'es pas sage ; La fête de Bacchus commencera bientôt. Allons, sans tarder davantage, Allons-y boire comme il faut. Foringestan affecte de faire l'agréable, et quitte son ton naturel de basse pour chanter en fausset."")",1.25,Substitution
261,"('#aristione', ""J'estime tant Sostrate que, soit que vous vouliez vous servir de lui pour expliquer vos sentiments, ou soit que vous vous en remettiez absolument à sa conduite ; je fais, dis-je, tant d'estime de sa vertu et de son jugement, que je consens de tout mon coeur, à la proposition que vous me faites."")","('#forestan', ""Il est bien doux de boire ; On peut en faire gloire. Quand on n'a pas de quoi charmer : Bacchus sait consoler un amant misérable ; Mais quand on est aimable, Il n'est rien si doux que d'aimer."")",1.03,Substitution
262,"('#iphicrate', ""C'est-à-dire, Madame, qu'il nous faut faire notre cour à Sostrate ?"")",,1.0,Insertion
263,"('#sostrate', ""Non, Seigneur, vous n'aurez point de cour à me faire, et avec tout le respect que je dois aux Princesses, je renonce à la gloire où elles veulent m'élever."")",,1.0,Insertion
264,"('#aristione', ""D'où vient cela, Sostrate ?"")","('#silvandre', ""Que veux-tu dire ? D'où vient ce caprice nouveau ?"")",1.05,Substitution
265,"('#sostrate', ""J'ai des raisons, Madame, qui ne permettent pas que je reçoive l'honneur que vous me présentez."")",,1.0,Insertion
266,"('#iphicrate', 'Craignez-vous, Sostrate, de vous faire un ennemi ?')",,1.0,Insertion
267,"('#sostrate', 'Je craindrais peu, Seigneur, les ennemis que je pourrais me faire en obéissant à mes souveraines.')",,1.0,Insertion
268,"('#timocles', ""Par quelle raison donc refusez-vous d'accepter le pouvoir qu'on vous donne, et de vous acquérir l'amitié d'un Prince qui vous devrait tout son bonheur ?"")","('#forestan', ""Regarde, considère, admire. Ah qu'il est beau ! Ho, ho, ho, ho, ho, ho...  Ah qu'il est beau."")",1.19,Substitution
269,"('#sostrate', ""Par la raison que je ne suis pas en état d'accorder à ce Prince ce qu'il souhaiterait de moi."")",,1.0,Insertion
270,"('#iphicrate', 'Quelle pourrait être cette raison ?')","('#silvandre', ""Dis-moi donc je te prie De quelle folle rêverie Ton cerveau s'est rempli ?"")",0.97,Substitution
271,,"('#forestan', ""Qu'il est joli !  Hi, hi, hi, hi, hi, hi... "")",1.0,Deletion
272,"('#sostrate', ""Pourquoi me tant presser là-dessus ?  Peut-être ai-je, Seigneur, quelque intérêt secret qui s'oppose aux prétentions de votre amour.  Peut-être ai-je un ami qui brûle sans oser le dire, d'une flamme respectueuse pour les charmes divins dont vous êtes épris.  Peut-être cet ami me fait-il tous les jours confidence de son martyre ; qu'il se plaint à moi tous les jours des rigueurs de sa destinée, et regarde l'hymen de la Princesse, ainsi que l'arrêt redoutable qui le doit pousser au tombeau ; et si cela était, Seigneur, serait-il raisonnable que ce fût de ma main qu'il reçût le coup de sa mort ?"")","('#silvandre', ""Consulte la Fontaine La plus prochaine, Mire-toi dans son eau. Ah qu'il est beau ! Ho, ho, ho, ho, ho, ho...  Forestan s'approche d'une Fontaine qui paraît au milieu du théâtre, et dans le moment qu'il se baisse pour le regarder dans l'eau, il en sort deux sirènes qui lui présentent un grand miroir. Forestan s'y voit aussi laid qu'il était avant la cérémonie magique ; et dans la rage qu'il a de la tromperie qu'on lui a faite, il veut frapper de sa massue les deux sirènes qui se moquent de lui, mais elles évitent ses coups, en se plongeant et en se perdant dans la Fontaine, qui disparaît en un moment."")",0.31,Substitution
273,"('#iphicrate', ""Vous auriez bien la mine, Sostrate, d'être vous-même cet ami dont vous prenez les intérêts."")",,1.0,Insertion
274,"('#sostrate', ""Ne cherchez point, de grâce, à me rendre odieux aux personnes qui vous écoutent ; je sais me connaître, Seigneur, et les malheureux comme moi n'ignorent pas jusques où leur fortune leur permet d'aspirer."")","('#forestan', ""Je suis digne de railleries ; On m'a fait une fourberie : Mais, si je la mets en oubli... Non, non, les imposteurs n'auront pas lieu de rire. Deux sorcières affreuses paraissent aux deux côtés du théâtre, et présentent chacun un miroir à Forestan."")",0.67,Substitution
275,,"('#silvandre', 'Regarde, considère, admire.')",1.0,Deletion
276,"('#aristione', ""Laissons cela, nous trouverons moyen de terminer l'irrésolution de ma fille."")",,1.0,Insertion
277,"('#anaxarque', ""En est-il un meilleur, Madame, pour terminer les choses au contentement de tout le monde, que les lumières que le Ciel peut donner sur ce mariage ?  J'ai commencé, comme je vous ai dit, à jeter pour cela les figures mystérieuses que notre art nous enseigne, et j'espère vous faire voir tantôt ce que l'avenir garde à cette union souhaitée.  Après cela pourra-t-on balancer encore ?  La gloire et les prospérités que le Ciel promettra, ou à l'un, ou à l'autre choix, ne seront-elles pas suffisantes pour le déterminer, et celui qui sera exclus, pourra-t-il s'offenser quand ce sera le Ciel qui décidera cette préférence ?"")","('#forestan', ""Ah ! Je vais vous payer de m'avoir embelli. Forestan s'avance vers une des sorcières, et la veut frapper de sa massue, mais la sorcière évite le coup en s'envolant, le Satire ne frappe que l'air, et sa massue lui échappe des mains. Il court vers l'autre sorcière, il l'attrape, mais dans le moment qu'il se jette sur elle, et qu'il la tient, il ne lui demeure entre les mains qu'une figure de sorcière qui lui fait la grimace, et lui présente un miroir, tandis qu'un petit lutin qui était enfermé dedans, s'envole en se moquant du Satire."")",0.71,Substitution
278,"('#iphicrate', ""Pour moi, je m'y soumets entièrement, et je déclare que cette voie me semble la plus raisonnable."")",,1.0,Insertion
279,"('#timocles', 'Je suis de même avis, et le Ciel ne saurait rien faire où je ne souscrive sans répugnance.')","('#silvandre', ""Qu'il est joli ! Hi, hi, hi, hi..."")",1.49,Substitution
280,"('#eriphile', 'Mais, Seigneur Anaxarque, voyez-vous si clair dans les destinées, que vous ne vous trompiez jamais, et ces prospérités, et cette gloire que vous dites que le Ciel nous promet, qui en sera caution, je vous prie ?')",,1.0,Insertion
281,"('#aristione', 'Ma fille, vous avez une petite incrédulité qui ne vous quitte point.')",,1.0,Insertion
282,"('#anaxarque', ""Les épreuves, Madame, que tout le monde a vues de l'infaillibilité de mes prédictions, sont les cautions suffisantes des promesses que je puis faire.  Mais enfin, quand je vous aurai fait voir ce que le Ciel vous marque, vous vous réglerez là-dessus, à votre fantaisie, et ce sera à vous à prendre la fortune de l'un, ou de l'autre choix."")","('#forestan', ""C'est un tour es Lutins errants dans ce boccage Dont il faut que je sois vengé."")",1.49,Substitution
283,"('#eriphile', ""Le Ciel, Anaxarque, me marquera les deux fortunes qui m'attendent ?"")","('#silvandre', 'Hé, hé, hé, hé, hé, hé...')",1.51,Substitution
284,"('#anaxarque', ""Oui, Madame, les félicités qui vous suivront, si vous épousez l'un, et les disgrâces qui vous accompagneront, si vous épousez l'autre."")",,1.0,Insertion
285,"('#eriphile', ""Mais comme il est impossible que je les épouse tous deux, il faut donc qu'on trouve écrit dans le Ciel, non seulement ce qui doit arriver, mais aussi ce qui ne doit pas arriver."")",,1.0,Insertion
286,"('#clitidas', 'Voilà mon astrologue embarrassé.')","('#forestan', 'Tu ris quand je suis outragé ?')",1.19,Substitution
287,"('#anaxarque', ""Il faudrait vous faire, Madame, une longue discussion des principes de l'astrologie pour vous faire comprendre cela."")","('#silvandre', 'Hé, hé, hé, hé, hé, hé...')",1.7,Substitution
288,"('#clitidas', ""Bien répondu.  Madame, je ne dis point de mal de l'astrologie, l'astrologie est une belle chose, et le Seigneur Anaxarque est un grand homme."")","('#forestan', ""Ne m'insulte point davantage ; Va rire ailleurs ; Je suis dans une rage Qui pourrait bien tourner sur les méchants railleurs."")",1.82,Substitution
289,,"('#silvandre', ""Ami, me veux-tu croire, Ne songeons plus qu'à boire ; Fuyons l'amour, et le chagrin, Suivons Bacchus, courons au vin."")",1.0,Deletion
290,"('#iphicrate', ""La vérité de l'astrologie est une chose incontestable, et il n'y a personne qui puisse disputer contre la certitude de ses prédictions."")",,1.0,Insertion
291,"('#clitidas', 'Assurément.')","('#forestan', 'Au vin, au vin, au vin, au vin,')",1.69,Substitution
292,"('#timocles', ""Je suis assez incrédule pour quantité de choses, mais pour ce qui est de l'astrologie, il n'y a rien de plus sûr et de plus constant, que le succès des horoscopes qu'elle tire."")","('#silvandre #forestan', ""Fuyons l'amour et le chagrin, Suivons Bacchus, courons au vin. Au vin, au vin, au vin, au vin,"")",1.58,Substitution
293,,"('#damon', 'Ma bergère a changé, je veux changer comme elle.')",1.0,Deletion
294,"('#clitidas', 'Ce sont des choses les plus claires du monde.')",,1.0,Insertion
295,"('#iphicrate', 'Cent aventures prédites arrivent tous les jours, qui convainquent les plus opiniâtres.')",,1.0,Insertion
296,"('#clitidas', 'Il est vrai.')",,1.0,Insertion
297,"('#timocles', 'Peut-on contester sur cette matière les incidents célèbres, dont les histoires nous font foi ?')","('#silvandre', ""Suis les lois de Bacchus, tu t'en trouveras bien."")",1.39,Substitution
298,"('#clitidas', ""Il faut n'avoir pas le sens commun.  Le moyen de contester ce qui est moulé."")",,1.0,Insertion
299,"('#aristione', ""Sostrate n'en dit mot, quel est son sentiment là-dessus ?"")",,1.0,Insertion
300,"('#sostrate', ""Madame, tous les esprits ne sont pas nés avec les qualités qu'il faut pour la délicatesse de ces belles sciences, qu'on nomme curieuses, et il y en a de si matériels, qu'ils ne peuvent aucunement comprendre ce que d'autres conçoivent le plus facilement du monde.  Il n'est rien de plus agréable, Madame, que toutes les grandes promesses de ces connaissances sublimes.  Transformer tout en or, faire vivre éternellement, guérir par des paroles, se faire aimer de qui l'on veut, savoir tous les secrets de l'avenir, faire descendre comme on veut du ciel sur des métaux des impressions de bonheur, commander aux démons, se faire des armées invisibles et des soldats invulnérables.  Tout cela est charmant, sans doute, et il y a des gens qui n'ont aucune peine à en comprendre la possibilité, cela leur est le plus aisé du monde à concevoir ; mais pour moi, je vous avoue que mon esprit grossier a quelque peine à le comprendre, et à le croire, et j'ai toujours trouvé cela trop beau pour être véritable.  Toutes ces belles raisons de sympathie, de force magnétique et de vertu occulte, sont si subtiles et délicates, qu'elles échappent à mon sens matériel, et sans parler du reste, jamais il n'a été en ma puissance de concevoir comme on trouve écrit dans le ciel jusqu'aux plus petites particularités de la fortune du moindre homme.  Quel rapport, quel commerce, quelle correspondance peut-il y avoir entre nous et des globes, éloignés de notre terre d'une distance si effroyable, et d'où cette belle science, enfin, peut-elle être venue aux hommes ?  Quel dieu l'a révélée, ou quelle expérience l'a pu former, de l'observation de ce grand nombre d'astres qu'on n'a pu voir encore deux fois dans la même disposition ?"")","('#damon', 'Heureux qui peut aimer une beauté fidèle !')",1.26,Substitution
301,"('#anaxarque', 'Il ne sera pas difficile de vous le faire concevoir.')",,1.0,Insertion
302,"('#sostrate', 'Vous serez plus habile que tous les autres.')",,1.0,Insertion
303,"('#clitidas', 'Il vous fera une discussion de tout cela quand vous voudrez.')",,1.0,Insertion
304,"('#iphicrate', ""Si vous ne comprenez pas les choses, au moins les pouvez-vous croire, sur ce que l'on voit tous les jours."")",,1.0,Insertion
305,"('#sostrate', ""Comme mon sens est si grossier qu'il n'a pu rien comprendre, mes yeux aussi sont si malheureux qu'ils n'ont jamais rien vu."")","('#forestan', ""Plus heureux qui peut n'aimer rien."")",0.97,Substitution
306,"('#iphicrate', ""Pour moi j'ai vu, et des choses tout à fait convaincantes."")",,1.0,Insertion
307,"('#timocles', 'Et moi aussi.')",,1.0,Insertion
308,"('#sostrate', 'Comme vous avez vu, vous faites bien de croire, et il faut que vos yeux soient faits autrement que les miens.')",,1.0,Insertion
309,"('#iphicrate', ""Mais enfin, la Princesse croit à l'astrologie, et il me semble qu'on y peut bien croire après elle.  Est-ce que Madame, Sostrate, n'a pas de l'esprit et du sens ?"")",,1.0,Insertion
310,"('#sostrate', ""Seigneur, la question est un peu violente, l'esprit de la Princesse n'est pas une règle pour le mien, et son intelligence peut l'élever à des lumières où mon sens ne peut pas atteindre."")","('#silvandre', ""Viens avec nous goûter la vie ; Quitte une volage beauté, Comme elle t'a quitté: Profite de sa perfidie, Viens jouir de la liberté."")",0.99,Substitution
311,"('#aristione', ""Non, Sostrate, je ne vous dirai rien sur quantité de choses, auxquelles je ne donne guère plus de créance que vous.  Mais pour l'astrologie on m'a dit, et fait voir des choses si positives que je ne la puis mettre en doute."")",,1.0,Insertion
312,"('#sostrate', ""Madame, je n'ai rien à répondre à cela."")",,1.0,Insertion
313,"('#aristione', ""Quittons ce discours, et qu'on nous laisse un moment.  Dressons notre promenade, ma Fille, vers cette belle grotte, où j'ai promis d'aller.  Des galanteries à chaque pas."")","('#damon', ""C'est pour servir Cloris que je quitte Climène, Et mon coeur sans aimer ne saurait vivre un jour , Qui s'engage une fois peut bien changer de chaine ; Mais, il est mal aisé d'échapper à l'Amour."")",1.06,Substitution
314,"('#aristione', ""De qui que cela soit, on ne peut rien de plus galant et de mieux entendu.  Ma Fille, j'ai voulu me séparer de tout le monde pour vous entretenir, et je veux que vous ne me cachiez rien de la vérité.  N'auriez-vous point dans l'âme quelque inclination secrète que vous ne voulez pas nous dire ?"")","('#silvandre', ""Sous l'amoureux empire, On n'est point sans tourment ; Je te plains pauvre amant, Langui, gémi, soupire ; Nous allons rire, "")",0.8,Substitution
315,,"('#silvandre #forestan', ""Fuyons l'amour et le chagrin, Suivons Bacchus, courons au vin. Au vin, au vin, au vin, au vin,"")",1.0,Deletion
316,"('#eriphile', 'Moi, Madame ?')","('#damon', ""Ma volage s'avance."")",1.87,Substitution
317,"('#aristione', ""Parlez à coeur ouvert, ma Fille, ce que j'ai fait pour vous mérite bien que vous usiez avec moi de franchise.  Tourner vers vous toutes mes pensées, vous préférer à toutes choses, et fermer l'oreille en l'état où je suis, à toutes les propositions que cent princesses en ma place écouteraient avec bienséance, tout cela vous doit assez persuader que je suis une bonne mère, et que je ne suis pas pour recevoir avec sévérité les ouvertures que vous pourriez me faire de votre coeur."")","('#climene', 'Voici mon infidèle amant.')",1.94,Substitution
318,"('#eriphile', ""Si j'avais si mal suivi votre exemple que de m'être laissée aller à quelques sentiments d'inclination que j'eusse raison de cacher, j'aurais, Madame, assez de pouvoir sur moi-même pour imposer silence à cette passion, et me mettre en état de ne rien faire voir qui fût indigne de votre sang."")","('#damon #climene', ""Vengeons-nous de son inconstance. Ô ! La douce vengeance Qu'un heureux changement !"")",1.43,Substitution
319,"('#aristione', ""Non, non, ma fille : vous pouvez sans scrupule m'ouvrir vos sentiments.  Je n'ai point renfermé votre inclination dans le choix de deux princes : vous pouvez l'étendre où vous voudrez, et le mérite auprès de moi tient un rang si considérable, que je l'égale à tout ; et, si vous m'avouez franchement les choses, vous me verrez souscrire sans répugnance au choix qu'aura fait votre coeur."")","('#damon', ""Quand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Rois ni Dieux Dont le sort me fit envie."")",0.8,Substitution
320,"('#eriphile', ""Vous avez des bontés pour moi, Madame, dont je ne puis assez me louer ; mais je ne les mettrai point à l'épreuve sur le sujet dont vous me parlez, et tout ce que je leur demande, c'est de ne point presser un mariage où je ne me sens pas encore bien résolue."")",,1.0,Insertion
321,"('#aristione', ""Jusqu'ici je vous ai laissée assez maîtresse de tout, et l'impatience des Princes vos amants...  Mais quel bruit est-ce que j'entends : ah !  Ma fille, quel spectacle s'offre à nos yeux, quelque Divinité descend ici, et c'est la Déesse Vénus qui semble nous vouloir parler."")","('#climene', ""Lorsqu'à toute autre personne  Me préférait ton ardeur. J'aurais quitté la couronne Pour régner dessus ton coeur."")",0.78,Substitution
322,"('#venus', ""Princesse dans tes soins brille un zèle exemplaire, Qui par les Immortels doit être couronné, Et pour te voir un gendre, illustre et fortuné, Leur main te veut marquer le choix que tu dois faire ; Ils t'annoncent tous par ma voix, La gloire et les grandeurs, que par ce digne choix, Ils feront pour jamais entrer dans ta famille, De tes difficultés termine donc le cours ; Et pense à donner ta fille À qui sauvera tes jours."")","('#damon', ""Une autre a guéri mon âme,  Des feux que j'avais pour toi."")",0.75,Substitution
323,"('#aristione', ""Ma Fille, les Dieux imposent silence à tous nos raisonnements.  Après cela, nous n'avons plus rien à faire, qu'à recevoir ce qu'ils s'apprêtent à nous donner, et vous venez d'entendre distinctement leur volonté.  Allons dans le premier temple les assurer de notre obéissance, et leur rendre grâce de leurs bontés."")",,1.0,Insertion
324,"('#cleon', ""Voilà la Princesse qui s'en va, ne voulez-vous pas lui parler ?"")",,1.0,Insertion
325,"('#anaxarque', ""Attendons que sa fille soit séparée d'elle, c'est un esprit que je redoute, et qui n'est pas de trempe à se laisser mener, ainsi que celui de sa mère.  Enfin, mon Fils, comme nous venons de voir par cette ouverture, le stratagème a réussi, notre Vénus a fait des merveilles ; et l'admirable ingénieur qui s'est employé à cet artifice, a si bien disposé tout, a coupé avec tant d'adresse le plancher de cette grotte, si bien caché ses fils de fer et tous ses ressorts, si bien ajusté ses lumières, et habillé ses personnages, qu'il y a peu de gens qui n'y eussent été trompés.  Et comme la Princesse Aristione est fort superstitieuse, il ne faut point douter qu'elle ne donne à pleine tête dans cette tromperie.  Il y a longtemps, mon fils, que je prépare cette machine, et me voilà tantôt au but de mes prétentions."")","('#climene', 'Une autre a vengé ma flamme Des faiblesses de ta foi.')",1.28,Substitution
326,"('#cleon', 'Mais pour lequel des deux princes au moins dressez-vous tout cet artifice ?')",,1.0,Insertion
327,"('#anaxarque', ""Tous deux ont recherché mon assistance, et je leur promets à tous deux la faveur de mon art ; mais les présents du Prince Iphicrate, et les promesses qu'il m'a faites, l'emportent de beaucoup sur tout ce qu'a pu faire l'autre.  Ainsi ce sera lui qui recevra les effets favorables de tous les ressorts que je fais jouer ; et comme son ambition me devra toute chose, voilà mon fils notre fortune faite.  Je vais prendre mon temps pour affermir dans son erreur l'esprit de la Princesse, pour la mieux prévenir encore par le rapport que je lui ferai voir adroitement des paroles de Vénus, avec les prédictions des figures célestes, que je lui dis que j'ai jetées.  Va-t'en tenir la main au reste de l'ouvrage, préparer nos six hommes à se bien cacher dans leur barque derrière le rocher ; à posément attendre le temps que la Princesse Aristione vient tous les soirs se promener seule sur le rivage, à se jeter bien à propos sur elle, ainsi que des corsaires, et donner lieu au Prince Iphicrate de lui apporter ce secours, qui sur les paroles du Ciel doit mettre entre ses mains la Princesse Ériphile.  Ce prince est averti par moi, et sur la foi de ma prédiction, il doit se tenir dans ce petit bois qui borde le rivage.  Mais sortons de cette grotte, je te dirai en marchant toutes les choses qu'il faut bien observer.  Voilà la Princesse Ériphile : évitons sa rencontre."")","('#damon', ""Cloris qu'on vante si fort M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort, Je mourrais content pour elle."")",0.59,Substitution
328,"('#eriphile', ""Hélas !  Quelle est ma destinée, et qu'ai-je fait aux Dieux pour mériter les soins qu'ils veulent prendre de moi ?"")","('#climene', ""Mirtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amour."")",0.63,Substitution
329,"('#cleonice', ""Le voici, Madame, que j'ai trouvé, et à vos premiers ordres, il n'a pas manqué de me suivre."")","('#damon', ""Mais si d'une douce ardeur Quelque renaissance trace Chassait Cloris de mon coeur Pour te remettre en sa place ?"")",1.54,Substitution
330,"('#eriphile', ""Qu'il approche, Cléonice, et qu'on nous laisse seuls un moment.  Sostrate, vous m'aimez ?"")","('#climene', ""Bien qu'avec pleine tendresse  Mirtil me puisse chérir, Avec toi, je le confesse, Je voudrais vivre et mourir."")",0.87,Substitution
331,"('#sostrate', 'Moi, Madame ?')","('#damon #climene', 'Ah ! Plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.')",1.86,Substitution
332,"('#eriphile', ""Laissons cela, Sostrate, je le sais, je l'approuve, et vous permets de me le dire.  Votre passion a paru à mes yeux accompagnée de tout le mérite qui me la pouvait rendre agréable.  Si ce n'était le rang où le Ciel m'a fait naître, je puis vous dire que cette passion n'aurait pas été malheureuse, et que cent fois je lui ai souhaité l'appui d'une fortune qui pût mettre pour elle en pleine liberté les secrets sentiments de mon âme.  Ce n'est pas, Sostrate, que le mérite seul n'ait à mes yeux tout le prix qu'il doit avoir, et que dans mon coeur je ne préfère les vertus qui sont en vous à tous les titres magnifiques, dont les autres sont revêtus.  Ce n'est pas même que la Princesse ma Mère ne m'ait assez laissé la disposition de mes voeux, et je ne doute point, je vous l'avoue, que mes prières n'eussent pu tourner son consentement du côté que j'aurais voulu ; mais il est des états, Sostrate, où il n'est pas honnête de vouloir tout ce qu'on peut faire.  Il y a des chagrins à se mettre au-dessus de toutes choses, et les bruits fâcheux de la renommée vous font trop acheter le plaisir que l'on trouve à contenter son inclination ; c'est à quoi, Sostrate, je ne me serais jamais résolue, et j'ai cru faire assez de fuir l'engagement dont j'étais sollicitée.  Mais enfin les Dieux veulent prendre le soin eux-mêmes de me donner un époux ; et tous ces longs délais avec lesquels j'ai reculé mon mariage, et que les bontés de la Princesse ma Mère ont accordés à mes désirs, ces délais, dis-je, ne me sont plus permis, et il me faut résoudre à subir cet arrêt du Ciel.  Soyez sûr, Sostrate, que c'est avec toutes les répugnances du monde que je m'abandonne à cet hyménée, et que si j'avais pu être maîtresse de moi, ou j'aurais été à vous, ou je n'aurais été à personne.  Voilà, Sostrate, ce que j'avais à vous dire, voilà ce que j'ai cru devoir à votre mérite, et la consolation que toute ma tendresse peut donner à votre flamme."")","('#troupe-de-bergers-et-de-bergeres', ""Amants, que vos querelles Sont aimables et belles ; Qu'on y voit succéder De plaisirs, de tendresse ! Querellez-vous sans cesse, Pour vous racommoder."")",0.59,Substitution
333,"('#sostrate', ""Ah !  Madame, c'en est trop pour un malheureux, je ne m'étais pas préparé à mourir avec tant de gloire, et je cesse dans ce moment, de me plaindre des destinées.  Si elles m'ont fait naître dans un rang beaucoup moins élevé que mes désirs, elles m'ont fait naître assez heureux pour attirer quelque pitié du coeur d'une grande princesse ; et cette pitié glorieuse vaut des sceptres et des couronnes, vaut la fortune des plus grands princes de la terre.  Oui, Madame, dès que j'ai osé vous aimer, c'est vous, Madame, qui voulez bien que je me serve de ce mot téméraire, dès que j'ai, dis-je, osé vous aimer, j'ai condamné d'abord l'orgueil de mes désirs, je me suis fait moi-même la destinée que je devais attendre.  Le coup de mon trépas, Madame, n'aura rien qui me surprenne, puisque je m'étais préparé ; mais vos bontés le comblent d'un honneur que mon amour jamais n'eût osé espérer, et je m'en vais mourir après cela le plus content et le plus glorieux de tous les hommes.  Si je puis encore souhaiter quelque chose, ce sont deux grâces, Madame, que je prends la hardiesse de vous demander à genoux ; de vouloir souffrir ma présence jusqu'à cet heureux hyménée, qui doit mettre fin à ma vie ; et parmi cette grande gloire, et ces longues prospérités que le Ciel promet à votre union, de vous souvenir quelquefois de l'amoureux Sostrate.  Puis-je, divine Princesse, me promettre de vous cette précieuse faveur ?"")","('#arcas', ""Venez, que rien ne vous arrête, Ne perdez point d'heureux moments ; Venez tous voir la fête Que l'on apprête À l'honneur du Dieu des Amants : Les plaisirs où l'Amour convie Sont les plus charmants de la vie, Il en faut jouir tant qu'on peut, On ne les a pas quand on veut."")",0.59,Substitution
334,"('#eriphile', ""Allez, Sostrate, sortez d'ici : ce n'est pas aimer mon repos, que de me demander que je me souvienne de vous."")","('#caliste', ""Ici l'ombre des ormeaux Donne un teint frais aux herbettes, Et les bords de ces ruisseaux. Brillent de mille fleurettes Qui se mirent dans les eaux. Prenez bergers, vos musettes. Ajustez vos chalumeaux, Et mêlons nos chansonnettes Aux chants de petits oiseaux."")",1.78,Substitution
335,"('#sostrate', 'Ah !  Madame, si votre repos...')",,1.0,Insertion
336,"('#eriphile', ""Ôtez-vous, vous dis-je, Sostrate ; épargnez ma faiblesse, et ne m'exposez point à plus que je n'ai résolu."")",,1.0,Insertion
337,"('#cleonice', ""Madame, je vous vois l'esprit tout chagrin, vous plaît-il que vos danseurs, qui expriment si bien toutes les passions, vous donnent maintenant quelque épreuve de leur adresse ?"")","('#climene', 'Le zéphire entre ces eaux, Fait mille courses secrètes, Et les rossignols nouveaux, De leur douces amourettes, Parlent aux tendres rameaux. Prenez Bergers, vos musettes, Ajustez vos chalumeaux, Et mêlons nos chansonnettes Aux chants de petits oiseaux.')",1.28,Substitution
