,la-fontaine-climene,cahusac-l-algerien,Cost,Operation Type
239,"('#thalie', ""Sire, Acanthe est un homme inégal à tel point, Que d'un moment à l'autre on ne le connaît point : Inégal en amour, en plaisir, en affaire ; Tantôt gai, tantôt triste ; un jour il désespère ; Un autre jour il croit que la chose ira bien. Pour vous en parler franc, nous n'y connAissons rien. Clymène aime à railler : toutefois, quand Acanthe S'abandonne aux soupirs, se plaint et se tourmente, La pitié qu'elle en a lui donne un sérieux Qui fait que l'amitié n'en va souvent que mieux."")","('#d-oberval', ""C'est connaître l'amour par ses moindres douceurs. Cette aimable délicatesse Que vous croyez ici le comble des erreurs, Donne seule un prix aux faveurs : C'est elle qui bannit de chez nous la rudesse, Elle calme, adoucit le feu de la jeunesse, Elle pare l'amour des plus tendres couleurs, Elle est l'âme de la tendresse, La source de la politesse, Le piquant des plaisirs, et le charme des coeurs."")",0.05,Substitution
240,"('#apollon', 'Clio, divertissez un peu la compagnie.')",,1.0,Insertion
241,"('#clio', 'Sire, me voilà prête.')","('#hassan', ""J'adopterais votre système, Si je n'avais passé la saison de l'amour. Mais venons au désir extrême Que j'ai d'aller fixer en France mon séjour."")",1.09,Substitution
242,"('#apollon', 'Il me prend une envie De goûter de ce genre où Marot excellait.')","('#d-oberval', 'Je crains que le projet où votre âme se livre Ne séduise trop votre coeur ; Examinez-vous bien avant que de le suivre : Les difficultés me font peur.')",1.66,Substitution
243,"('#clio', 'Eh bien, sire, il vous faut donner un triolet.')","('#hassan', ""Je sens le prix des jours qui me restent à vivre ; Je veux assurer leur bonheur ; Et pour Alger un fond de répugnance, Des citoyens cruels, de des barbares moeurs, Me font trouver ici l'ennui dans l'opulence, Le chagrin, le dégoût m'accablent, et j'y meurs."")",1.81,Substitution
244,"('#apollon', ""C'est trop ; vous nous deviez proposer un distique. Au reste, n'allez pas chercher ce style antique Dont à peine les mots s'entendent aujourd'hui : Montez jusqu'à Marot, et point par delà lui : Même son tour suffit."")","('#d-oberval', ""Il ne faut point que votre âme balance, On ne peut fuir avec assez de diligence Un séjour où l'on meurt quand on peut vivre ailleurs. Cependant à voir tout du côté favorable..."")",1.29,Substitution
245,"('#clio', ""J'entends il reste, sire, Que Votre Majesté seulement daigne dire Ce qu'il lui plaît, ballade, épigramme, ou rondeau. J'aime fort les dizains."")","('#hassan', ""Je me souviens toujours de ce temps agréable Que nous avons passé vous de moi dans Paris. D'arts, déplaisirs, de jeux quel assemblage aimable ! C'est là que des moments on connaît tout le prix."")",0.89,Substitution
246,"('#apollon', ""En un sujet si beau Le dizain est trop court ; et, vu votre matière, La ballade n'a point de trop ample carrière."")","('#d-oberval', ""Le plaisir, il est vrai, sans cesse s'y varie. Partout ailleurs l'âme languit, On ne fait que traîner sa vie ; Mais à Paris on en jouit."")",0.84,Substitution
247,,"('#hassan', ""Ce peuple heureux semble avoir en partage. L'art de rassembler pour chaque âge Des sociétés, des plaisirs ; Tandis que nous n'avons que le triste avantage De faire partager le poids de nos loisirs À des coeurs malheureux flétris par l'esclavage, Et rampants devant nos désirs"")",1.0,Deletion
248,"('#clio', ""Je pris de loin Clymène l'autre fois Pour une Grâce en ses charmes nouvelle : Grâce, s'entend, la première des trois ; J'eusse autrement fait tort à cette belle : Puis approchant, et frottant ma prunelle, Je me repris, et dis soudainement : Voilà Vénus ; c'est elle assurément : Non, je me trompe, et mon oeil se mécompte. Cyprine là ? Je faille lourdement ; Telle n'est point la reine d'Amathonte. Voyons pourtant ; car chacun, d'une voix, En fait d'appas, prend Vénus pour modèle. Je me mis lors à compter par mes doigts Tous les attraits de la gente pucelle, Afin de voir si ceux de l'immortelle Y cadreraient, à peu près seulement : Mais le moyen ? Je n'y vins nullement, Trouvant ici beaucoup plus que le compte. Qu'est ceci, dis-je, et quel enchantement ? Telle n'est point la reine d'Amathonte. Acanthe vint tandis que je comptais. Cette beauté le fit asseoir près d'elle. J'entendis tout, les zéphyrs étaient cois. Plus de cent fois il l'appela cruelle, Inexorable, à l'amour trop rebelle ; Et le surplus que dit un pauvre amant. Clymène oyait cela négligemment. Le mot d'amour lui donnait quelque honte. Si de ce lieu la chronique ne ment, Telle n'est point la reine d'Amathonte. Ne recours plus, Acanthe, au changement. Loin de trouver en ce bas élément Quelque autre objet qui ta dame surmonte, Dans les palais qui sont au firmament Telle n'est point la reine d'Amathonte."")","('#d-oberval', ""J'aime à vous voir penser ainsi sur ma patrie, Son goût pour la société À bon droit doit être vanté, Et le vôtre le justifie."")",0.97,Substitution
249,"('#apollon', ""Votre tour est venu, Calliope essayez Un de ces deux chemins qu'aux auteurs ont frayés Deux écrivains fameux ; je veux dire Malherbe, Qui louait ses héros en un style superbe ; Et puis maître Vincent, qui même aurait loué Proserpine et Pluton en un style enjoué."")","('#hassan', ""J'ai vu toutes les Cours, et d'Europe de d'Asie, À la vôtre mon coeur s'est toujours arrêté : Dans ces lieux embellis par l'art et la nature Le ciel a répandu ses faveurs sans mesure. Un Monarque adoré, père de ses sujets, Règle sur leur bonheur de la guerre et la paix, La Justice à ses Lois asservit sa Couronne ; Le zèle de la prudence environnent le Trône, ; Et j'ai vu réunis dans tous les courtisans, La douceur au courage, et la gloire aux talents."")",0.45,Substitution
250,"('#calliope', ""Sire, vous nommez là deux trop grands personnages. Le moyen d'imiter sur-le-champ leurs ouvrages ?"")","('#d-oberval', ""Cher Hassan tous ces traits sont gravés dans mon âme, Et vous peignez d'après mon coeur. Oui. Je me rends. Partons. Même désir m'enflamme. Que Fatmé veuille ou non, laissez-lui son erreur. Vous n'aimez point... D'amour. Votre bonheur....."")",0.9,Substitution
251,"('#apollon', ""Il faut que je me sois sans doute expliqué mal . Car, vouloir qu'on imite aucun original N'est mon but, ni ne doit non plus être le vôtre, Hors ce qu'on fait passer d'une langue en une autre. C'est un bétail servile et sot, à mon avis, Que les imitateurs ; on dirait des brebis Qui n'osent avancer qu'en suivant la première, Et s'iraient sur ses pas jeter dans la rivière. Je veux donc seulement que vous nous fassiez voir, En ce style où Malherbe a montré son savoir, Quelque essai des beautés qui sont propres à l'ode ; Ou si, ce genre-là n'étant plus à la mode Et demandant d'ailleurs un peu trop de loisir, L'autre vous semble plus selon votre désir, Vous louiez galamment la maîtresse d'Acanthe, Comme maître Vincent, dont la plume élégante Donnait à son encens un goût exquis et fin, Que n'avait pas celui qui partait d'autre main."")","('#hassan', ""Mais si je vais en France, il me faut une femme ; Et je ne vous cacherai pas Que je verrais avec inquiétude Que l'hymen près de moi ne fixât point ses pas. J'ai pris plaisir, dans cette solitude, À sonder son esprit de j'en fats un grand cas... ; Nous tenons tous à l'habitude... Et vous verrez bientôt combien elle a d'appas."")",0.34,Substitution
252,,"('#d-oberval', ""Je vais de tous mes soins seconder l'entreprise; Et je désire fort que Vous réussissiez."")",1.0,Deletion
253,,"('#clarice', ""On m'avait dit que vous me demandiez."")",1.0,Deletion
254,,"('#hassan', ""Approchez.  C'est Fatmé.  L'amitié m'autorise À souffrir que vous le voyiez. À Clarice. À d'Oberval. À Clarice."")",1.0,Deletion
255,,"('#clarice', 'Je vous avais cru seul excusez ma méprise.')",1.0,Deletion
256,,"('#d-oberval', ""Quelle voix !... Ciel !... Que vois-je !... En croirai-je mes yeux ?... Est-il vrai qu'à ce point le Ciel me favorise !"")",1.0,Deletion
257,,"('#clarice', 'Vous ne vous doutiez pas de trouver dans ces lieux, Sous le nom de Fatmé la nièce de Dorise ?')",1.0,Deletion
258,,"('#d-oberval', 'Cher Hassan quel hasard heureux !... Mon coeur ne peut suffire à cet excès de joie... Se peut-il que je vous revoie ?...')",1.0,Deletion
259,"('#calliope', ""Je vais, puisqu'il vous plaît, hasarder quelque stance. Si je débute mal, imposez-moi silence."")","('#clarice', 'Contraignez-vous.')",0.77,Substitution
260,,"('#hassan', ""Les Turcs savent-ils bien choisir ?  Convenez qu'on n'a pas le goût meilleur en France."")",1.0,Deletion
261,,"('#d-oberval', ""Oh !... J'en conviens."")",1.0,Deletion
262,,"('#hassan', ""Le Ciel a pris plaisir De la conduire ici par préférence.' N'êtes vous pas charmé..."")",1.0,Deletion
263,,"('#d-oberval', 'Sans doute....')",1.0,Deletion
264,,"('#hassan', 'Sa présence Est le bien le plus doux dont je puisse jouir.')",1.0,Deletion
265,,"('#d-oberval', ""Dans le sérail d'Hassan !... Je n'en puis revenir."")",1.0,Deletion
266,"('#apollon', 'Calliope manquer !')","('#clarice', 'Rassurez votre contenance, Ou vous allez tout découvrir.')",0.56,Substitution
267,,"('#hassan', 'Votre joie est déjà sur le point de finir ?')",1.0,Deletion
268,,"('#d-oberval', 'Moi !... Point du tout.... ma joie est trop sincère...')",1.0,Deletion
269,"('#calliope', ""Pourquoi non ? Très souvent. L'ode est chose pénible, et surtout dans le grand. Toi, qui soumets les dieux aux passions des hommes, Amour, souffriras-tu qu'en ce siècle où nous sommes, Clymène montre un coeur insensible à tes coups? Cette belle devrait donner d'autres exemples Tu devrais l'obliger, pour l'honneur de tes temples, D'aimer ainsi que nous."")","('#hassan', ""Eh pourquoi donc la retenir ? De toutes les Beautés que mon sérail resserre, Voilà celle que je préfère, Et c'est de votre main que je veux l'obtenir."")",0.74,Substitution
270,,"('#d-oberval', ""Oh ! C'en est trop..."")",1.0,Deletion
271,,"('#clarice', 'Quelle imprudence !')",1.0,Deletion
272,"('#uranie', ""Les Muses n'aiment pas."")",,1.0,Insertion
273,"('#calliope', ""Et qui les en soupçonne? Ce NOUS n'est pas pour nous ; je parle en la personne Du sexe en général, des dévotes d'amour."")","('#hassan', ""Elle a quelque scrupule encore ; elle balance ; Mais vous saurez les faire évanouir, J'attends tout de vos soins"")",1.07,Substitution
274,,"('#d-oberval', 'De mes soins !')",1.0,Deletion
275,,"('#hassan', 'Oui sans doute. Vous connaissez mes sentiments.')",1.0,Deletion
276,,"('#d-oberval', 'Il est vrai... Mais...')",1.0,Deletion
277,"('#apollon', ""Calliope a raison ; qu'elle achève à son tour."")","('#hassan', ""Je compte les instants. Examinez-la bien. Jugez ce qu'il m'en coûte, Pour me prêter à ses retardements,"")",1.18,Substitution
278,,"('#d-oberval', ""Oui je juge en effet... Je ne sais que lui dire. Madame... Hassan.. à votre hymen aspire.... Cependant pour pouvoir combattre ses raisons. Il faudrait avant m'en instruire. Il se pourrait que dans le fonds Quelqu'obstacle bien fort.... Bas à Fatmé.  À Clarice.  À Hassan."")",1.0,Deletion
279,,"('#hassan', ""Non, c'est incertitude... Ses alarmes en ma faveur Lui donnent quelqu'inquiétude."")",1.0,Deletion
280,,"('#d-oberval', 'Mais ce motif est pour vous très flatteur.')",1.0,Deletion
281,,"('#hassan', ""Oui, s'il était suivi d'un peu de complaisance, En général des Turcs vous pensez mal en France ; Et je puis sans orgueil imputer se froideur Aux préjugés de sa naissance. Un caprice peut-être entretient sa rigueur ? Gagnez pour moi sa confiance ; Soyez ma caution, répondez de mon coeur."")",1.0,Deletion
282,,"('#d-oberval', ""Très volontiers... Il faut m'armer de patience. Madame, Hassan est... un Turc plein d'honneur Le sort vous a soumise à sa puissance... Dans ce sérail tout doit flatter son espérance : Ses désirs sont des lois... son choix une faveur.... Et la nécessité... Bas.  À Clarice. Tristement."")",1.0,Deletion
283,,"('#clarice', ""L'ingrat doute de ma constance !"")",1.0,Deletion
284,,"('#hassan', ""Remarquez-vous cette aimable rougeur Dont son visage se colore ? Ses yeux plus animés s'embellissent encore... Ce mouvement, sans doute, est un présage heureux. Vous la persuadez."")",1.0,Deletion
285,,"('#d-oberval', ""Ah ! Je suis à la gêne. Cependant... ses refus ( je l'avoue avec peine ) Les craintes, les soupçons qu'elle oppose à vos voeux Pourraient avoir quelque air de vraisemblance... À Hassan."")",1.0,Deletion
286,,"('#hassan', 'Ne hasardez donc point un tel propos ici.')",1.0,Deletion
287,,"('#d-oberval', 'Je me tais, ou je dis toujours ce que je pense.')",1.0,Deletion
288,"('#calliope', ""J'en demeurerai là, si vous l'agréez, sire. On m'a fait oublier ce que je voulais dire."")","('#hassan', ""C'est me servir fort mal que de parler ainsi ; Et j'aime mieux votre silence."")",0.98,Substitution
289,,"('#clarice', ""Je dois vous éclaircir tous deux, Hassan m'accuse de caprice ; Peut-être d_Oberval aurait-il l'injustice De me croire un défaut encore plus odieux. Je vais vous parler sans mystère. Hassan vous m'êtes cher..."")",1.0,Deletion
290,,"('#hassan', 'Quel discours enchanteur ! Je pourrais espérer de ne vous pas déplaire ?')",1.0,Deletion
291,"('#apollon', 'à vous donc, Polymnie ; entrez en lice aussi.')","('#d-oberval', 'En pouvez-vous douter ? Madame est trop sincère...')",1.24,Substitution
292,,"('#hassan', 'Cher ami, je vous dois un aveu si flatteur.')",1.0,Deletion
293,,"('#d-oberval', ""À moi !.... L'ingrate ! Bas. "")",1.0,Deletion
294,,"('#clarice', ""Ils sont tous les deux dans l'erreur."")",1.0,Deletion
295,,"('#hassan', ""Il n'est plus rien que je souhaite. Vos bontés à mes yeux augmentent vos appas."")",1.0,Deletion
296,,"('#d-oberval', 'Je suis désespéré : ma disgrâce est complète.')",1.0,Deletion
297,,"('#clarice', ""Je le vois bien, vous ne m'entendez pas."")",1.0,Deletion
298,"('#polymnie', 'Sur quel ton ?')","('#hassan', 'Quelle est donc votre idée ?')",0.97,Substitution
299,"('#apollon', ""Je vois bien que sur ce dernier-ci L'on ne réussit pas toujours comme on souhaite. Calliope a bien fait d'user d'une défaite ;  Cette interruption est venue à propos / C'est pourquoi choisissez des tons un peu moins hauts. Horace en a de tous ; voyez ceux qui vous duisent : J'aime fort les auteurs qui sur lui se conduisent Voilà les gens qu'il faut à présent imiter."")","('#clarice', ""Hassan, je le répète : Vous m'êtes cher. Vos vertus, vos bienfaits Sont gravés dans mon coeur, m'occuperont sans cesse, Et je voudrais par ma tendresse Pouvoir remplir tous vos souhaits : Mais de son coeur est-on le maître ? Longtemps avant de vous connaître. L'Amant le plus amiable de le plus amoureux..."")",0.96,Substitution
300,,"('#hassan', ""En voilà plus que je ne veux. N'achevez pas."")",1.0,Deletion
301,,"('#d-oberval', ""Grâce au Ciel, je respire. J'avais prévu quelqu'obstacle puissant, Et j'avais eu le soin de vous le dire. À Hassan."")",1.0,Deletion
302,"('#polymnie', ""C'est bien dit, si cela pouvait s'exécuter : Mais avons-nous l'esprit qu'autrefois à cet homme Nous savions inspirer sur le déclin de Rome ? Tout est trop fort déchu dans le sacré vallon."")","('#hassan', 'Je ne puis revenir de mon étonnement. Et cet amour est-il si violent, Que rien ne puisse le détruire ? À Clarice.')",0.9,Substitution
303,"('#apollon', ""J'en conviens, jusque même au métier d'Apollon : Il n'est rien qui n'empire, hommes, dieux ; mais que faire ? Irons-nous pour cela nous cacher et nous taire ? Je ne regarde pas ce que j'étais jadis, Mais ce que je serai quelque jour, si je vis. Nous vieillissons enfin, tout autant que nous sommes De dieux nés de la fable, et forgés par les hommes. Je prévois par mon art un temps où l'univers Ne se souciera plus ni d'auteurs, ni de vers ; Où vos divinités périront, et la mienne. Jouons de notre reste avant que ce temps vienne. C'est à vous, Polymnie, à nous entretenir."")","('#clarice', ""Non, il est au-dessus de tout événement. Sans nul espoir de revoir mon amant, Il conservait sur moi toujours le même empire. De mon amour tous ces lieux sont témoins : En vain votre amitié, vos bienfaits, de vos soins Adoucissaient mon esclavage Je faisais cas de votre hommage, Je vous plaignais, je n'en aimais pas moins, Et j'en souffrais bien davantage."")",0.21,Substitution
304,"('#polymnie', ""Je songeais aux moyens qu'il me faudrait tenir : À peine en rencontrai-je un seul qui me contente. Ceci vous plairait-il ? Je fais parler Acanthe. Qu'une belle est heureuse, et que de doux moments, Quand elle en sait user, accompagnent sa vie ! D'un côté le miroir, de l'autre les amants, Tout la loue ; est-il rien de si digne d'envie ? La louange est beaucoup, l'amour est plus encor : Quel plaisir de compter les coeurs dont on dispose ! L'un meurt, l'autre soupire, et l'autre en son transport Languit et se consumer ; est-il plus douce chose ? Clymène, usez-en bien vous n'aurez pas toujours Ce qui vous rend si fière et si fort redoutée ; Caron vous passera sans passer les Amours; Devant ce temps-là même ils vous auront quittée. Vous vivrez plus longtemps encor que vos attraits ; Je ne vous réponds pas alors d'être fidèle : Mes désirs languiront aussi bien que vos traits ; L'amant se sent déchoir aussi bien que la belle. Quand voulez-vous aimer que dans votre printemps ? Gardez-vous bien surtout de remettre à l'automne : L'hiver vient aussitôt ; rien n'arrête le temps, Clymène, hâtez-vous ; car il n'attend personne. Sire, je m'en tiens là ; bien ou mal, il suffit : La morale d'Horace, et non pas son esprit, Se peut voir en ces vers."")","('#d-oberval', ""Ah ! Je vous reconnais à cet amour constant... Pour le coeur du Français que vous croyez volage... L'amour.... devient... quand il l'engage Une espèce d'enchantement. En France en tout on est extrême... Le Français ordinairement S'attache à l'excès quand il aime ; Il n'est léger que lorsqu'il est indifférent. Moi (sans vouloir me citer pour modèle) D'une maîtresse jeune de belle J'ai su vainement le trépas : Vous m'avez vu rempli de mon ardeur fidèle, Ne vous entretenir que de sa mort cruelle, De mes malheurs, de ses appas, Et mon dernier soupir sera pour elle. Hassan sait un mouvement de surprise. D'Obercal troublé continue."")",0.0,Match
305,,"('#clarice', ""Je serai comme vous. Il n'est point de danger..."")",1.0,Deletion
306,,"('#hassan', ""Et c'est-là cet amour que vous vantez en France !"")",1.0,Deletion
307,,"('#d-oberval', 'Mais... sans doute...')",1.0,Deletion
308,,"('#hassan', ""L'amour n'est qu'une extravagance. Elle fera sagement de changer. Fatmé, rentrez. Clarice rentre."")",1.0,Deletion
309,,"('#hassan', ""J'ai peine à me défendre D'un transport dangereux que je veux réprimer."")",1.0,Deletion
310,"('#apollon', ""Érato, que veut dire Que vous, qui d'ordinaire aimez si fort à rire, Demeurez taciturne, et laissez tout passer?"")","('#d-oberval', 'Quoi ? Voudriez-vous cesser de vous faire estimer ?')",1.2,Substitution
311,"('#erato', ""Je revois, puisqu'il faut, Sire, le confesser."")","('#hassan', 'Quel aveu !... Que viens-je entendre ?')",0.99,Substitution
312,,"('#d-oberval', 'Mais, Hassan...')",1.0,Deletion
313,,"('#hassan', ""Laissez-moi. Trop ingrate Fatmé... Une Esclave !... Avouer un amour qui m'offense... Je sens que mon sang allumé Me pousserait à quelque violence. Sortons."")",1.0,Deletion
314,,"('#d-oberval', ""Vraiment ceci prend un fort mauvais tour. La circonstance est périlleuse... Elle aurait dû se taire.... Oui... je vois peu de jour. En vain l'âme d'Hassan est noble et généreuse.... Je connais la façon dont les Turcs font l'amour..."")",1.0,Deletion
315,,"('#osmin', 'Monsieur ?')",1.0,Deletion
316,"('#apollon', 'Sur quoi ?')","('#d-oberval', ""Qu'est-ce ?"")",0.0,Match
317,,"('#osmin', 'Pardon, un mot.')",1.0,Deletion
318,,"('#d-oberval', 'Je vous écoute.')",1.0,Deletion
319,,"('#osmin', ""Est-ce vous par hasard qu'on nomme d_Oberval ?"")",1.0,Deletion
320,,"('#d-oberval', 'Moi-même.')",1.0,Deletion
321,,"('#osmin', 'Et François, sans doute ?')",1.0,Deletion
322,"('#erato', ""Sur le débat qui s'est ému naguère."")","('#d-oberval', 'Oui.')",1.14,Substitution
323,,"('#osmin', ""J'en ai, je vous jure, un plaisir sans égal. Je suis Français aussi. Pour le pays natal Je conserve un amour si tendre... !"")",1.0,Deletion
324,,"('#d-oberval', ""De quoi s'agit-il donc ? Parlez ; je suis pressé."")",1.0,Deletion
325,,"('#osmin', ""Quelqu'un pourrait-il nous entendre !... Vous voilà du Patron, je crois, débarrassé."")",1.0,Deletion
326,,"('#d-oberval', 'Nous sommes seuls.')",1.0,Deletion
327,,"('#osmin', ""Bien fait, jeune comme vous l'êtes..."")",1.0,Deletion
328,,"('#d-oberval', ""Je n'aime point l'éloge. Après."")",1.0,Deletion
329,"('#apollon', 'Savoir si vous aimez ?')","('#osmin', ""Un bon esprit, Sans haïr l'éloge, en rougit. Mais les conquêtes que vous faites..."")",1.19,Substitution
330,"('#erato', ""Autrefois j'étais fière Quand on disait que non : qu'on me vienne aujourd'hui Demander, Aimez-vous ? Je répondrai que oui."")","('#d-oberval', 'Oh ! Finissons cet entretien. Que voulez-vous ? Puis-je vous être utile ?')",0.73,Substitution
331,,"('#osmin', ""Non, Monsieur, c'est moi qui..."")",1.0,Deletion
332,,"('#d-oberval', ""Je n'ai besoin de rien. Adieu."")",1.0,Deletion
333,,"('#osmin', ""Vous êtes difficile... Je serai court. Daignez m'écouter un instant. En l'arrêtant."")",1.0,Deletion
334,"('#apollon', 'Pourquoi?')","('#d-oberval', 'Voyons.')",0.0,Match
335,,"('#osmin', ""Une Française à ses serments fidèle. Dont vous êtes l'heureux amant."")",1.0,Deletion
336,,"('#d-oberval', 'Eh bien cher ami que fait-elle ?')",1.0,Deletion
337,,"('#osmin', ""Vous n'êtes plus si preste maintenant."")",1.0,Deletion
338,"('#erato', 'Pour éviter le nom de Précieuse.')","('#d-oberval', ""J'étais pour elle en ce moment D'une inquiétude mortelle."")",1.61,Substitution
339,,"('#osmin', ""C'est bien fait. Elle vous le rend, Sans doute même avec usure."")",1.0,Deletion
340,,"('#d-oberval', ""Rien n'égale l'amour que mon âme ressent[.]"")",1.0,Deletion
341,,"('#osmin', ""De cet amour je connais la nature. J'étais en France un aimable, un brillant, Un fat complet, et presqu'un petit-maître..."")",1.0,Deletion
342,,"('#d-oberval', ""Moi je ne le suis point, j'aurais honte de l'être."")",1.0,Deletion
343,"('#apollon', ""Si cette qualité vous paraît odieuse, Du voeu de chasteté l'on vous dispensera. Choisissez un galant."")","('#osmin', ""Je vous en fais mon compliment. C'est pourtant un état charmant."")",0.79,Substitution
344,,"('#d-oberval', ""Mais de sa part enfin qu'aviez-vous à me dire ?"")",1.0,Deletion
345,,"('#osmin', ""Je ne l'oubliais pas ; je vais vous en instruire."")",1.0,Deletion
346,,"('#d-oberval', 'Eh ! Dépêchez-vous donc.')",1.0,Deletion
347,,"('#osmin', 'Dans une heure au plus tard Et pas plus tôt. Venez dans ce lieu même.')",1.0,Deletion
348,,"('#d-oberval', ""Et j'y verrai l'objet que j'aime ?"")",1.0,Deletion
349,,"('#osmin', ""Oui. Je crois qu'un heureux hasard Alors pourra bien l'y conduire. Y viendrez-vous ?"")",1.0,Deletion
350,,"('#d-oberval', ""Si j'y viendrai ?"")",1.0,Deletion
351,"('#erato', ""Non pas, Sire, cela. Je veux un peu d'hymen pour colorer l'affaire."")","('#osmin', ""J'entends. Vous serez tous les deux contents . J'aurai soin de le lui redire... Croyez-moi cependant, éloignez-vous d'ici : Hassan, pour dissiper l'ennui Que sur nos jours ses fers pourraient répandre, Voudrait remplir tous nos moments Par de nouveaux amusements. Ses Esclaves ici doivent bientôt se rendre. Par leurs danses, et par leurs chants... Mais ils viennent, je les entends. Adieu. Gardez-vous bien de vous laisser surprendre."")",1.09,Substitution
352,"('#apollon', ""Un peu d'hymen est bon."")",,1.0,Insertion
353,"('#erato', ""J'en veux, et n'en veux guère."")","('#d-oberval', ""Je ne vois plus personne dans ces lieux. Clarice doit bientôt s'y montrer à mes yeux.... Mon impatience est extrême ; Que les plus courts moments paraissent ennuyeux, Lorsqu'on attend ce que l'on aime ! Dans la conjoncture où je suis Tout m'alarme, tout m'inquiète. J'ai pour Hassan une amitié parfaite, Je partage sa peine en causant ses ennuis... Dans le fonds sa tendresse a peu de violence ; Le bonheur d'un ami doit balancer ses droits : Il m'en a fait la confidence, Pour elle il n'a qu'un goût de préférence, Et c'est sans passion qu'il en a fait le choix... Il faut lui découvrir... Mais c'est lui que je vois...'. Que je fuis malheureux ! Il fera fuir Clarice."")",1.07,Substitution
354,,"('#hassan', ""Cher d_Oberval, je vous cherchais, Vous m'avez fait peut-être l'injustice De juger mal de mes projets..."")",1.0,Deletion
355,"('#apollon', ""Vous vous marieriez donc, ainsi qu'au temps jadis Oriane épousa monseigneur Amadis ?"")","('#d-oberval', ""Il est vrai qu'aux transports que vous faisiez paraître..."")",1.26,Substitution
356,"('#erato', 'Oui, sire.')","('#hassan', ""Apprenez-donc à me connaître. Jusqu'à ce jour de tous mes mouvements, J'ai, grâce au Ciel, assez été le maître, Et j'ai suivi de mes plus jeunes ans, La raison, ou du moins, ce que nous croyons l'être."")",1.71,Substitution
357,,"('#d-oberval', ""Ainsi toujours maître de vous, Fort généreux d'ailleurs, Fatmé dans sa Patrie Libre avec son amant, au gré de son envie, Ira bientôt jouir du destin le plus doux ?"")",1.0,Deletion
358,,"('#hassan', 'Non, Point du tout.')",1.0,Deletion
359,"('#apollon', ""La méthode, en effet, en est bonne. Mais encore avec qui ? Car je ne vois personne Qui veuille dans l'Olympe à l'hymen s'arrêter : Les Sylvains ne sont pas des gens pour vous tenter."")","('#d-oberval', 'Quoi donc ! quand elle en aime un autre ; Vous voudriez la forcer à recevoir vos voeux ? Quel coeur assez tyran !... Je juge mieux du vôtre...')",0.87,Substitution
360,,"('#hassan', ""J'espère ...."")",1.0,Deletion
361,,"('#d-oberval', ""Hassan, c'est un projet affreux Pour vous en détourner...."")",1.0,Deletion
362,"('#erato', 'Je prendrais un auteur.')","('#hassan', ""Mais daignez-donc m'entendre..."")",1.55,Substitution
363,"('#apollon', ""Un auteur ? Vous, déesse ? Aux auteurs Érato pourrait mettre la presse. Ce n'est pas votre fait, pour plus d'une raison. Rarement un auteur demeure à la maison."")","('#d-oberval', ""L'intérêt qu'en vous je dois prendre Peut seul causer ma crainte, de j'aurais du chagrin...."")",1.07,Substitution
364,,"('#hassan', ""Mais ce n'est pas-là mon dessein : Votre crainte est fort déplacée."")",1.0,Deletion
365,,"('#d-oberval', 'Et quelle est donc votre pensée ?')",1.0,Deletion
366,,"('#hassan', ""Si vous m'aviez donné l'instant de vous parler, Vous la sauriez déjà..."")",1.0,Deletion
367,,"('#d-oberval', ""Je brûle de l'apprendre."")",1.0,Deletion
368,"('#erato', ""C'est justement cela qui m'en plaît davantage."")","('#hassan', 'Eh bien, pour ne vous rien celer, Mon coeur vient, cher ami, de se laisser surprendre... Peut-être votre amour est-il contagieux.')",1.41,Substitution
369,,"('#d-oberval', 'Je ne vous comprends point.')",1.0,Deletion
370,,"('#hassan', ""Me comprends-je moi-même ! J'ai vu Fatmé depuis que j'ai quitté ces lieux.... Il s'est fait dans mon âme un changement extrême. Non, je n'aimai jamais comme je l'aime. J'éprouve un sentiment plus vif que les désirs, Et je fais aujourd'hui l'essai d'un bien suprême, Que je n'ai point trouvé dans le sein des plaisirs, Mais aussi je m'apprête un excès de souffrance... Tout m'annonce, en un mot, que je suis amoureux, Mais de ce même amour que vous avez tous deux, Et que je regardais comme une extravagance."")",1.0,Deletion
371,,"('#d-oberval', ""Quel contretemps !  Peut-être un peu de résistance...; Vous n'êtes pas fait à languir. Et... Bas. À Hassan."")",1.0,Deletion
372,"('#apollon', ""Nous nous entretiendrons de votre mariage À fond une autre fois. Cependant chantez-nous, Non pas du sérieux, du tendre, ni du doux ; Mais de ce qu'en français on nomme bagatelle : Un jeu dont je voudrais Voiture pour modèle. Il excelle en cet art maître Clément et lui S'y prenaient beaucoup mieux que nos gens d'aujourd'hui."")","('#hassan', ""Ce n'est point cela. J'en sens la différence. Sans qu'il en coûte à nos coeurs un soupir, On nous résiste ici peut-être plus qu'en France. Sur ces obstacles-là nous sommes aguerris, Ils ne sauraient porter le trouble dans nos âmes. Sûrs de notre victoire, elle perd tout son prix : Nos droits, les préjugés où nous sommes nourris, Tout nous fait vivre avec nos femmes, Comme en France font vos maris. C'est dans ce doux repos que j'ai coulé ma vie. Tout change en ce moment, mon âme est attendrie ; Par un charme inconnu mon coeur est animé..."")",0.76,Substitution
