,chevalier-amours-de-calotin,palaprat-le-muet,Cost,Operation Type
504,,"('#le-baron', ""Tous , excepté ce fourbe de Frontin qui m'a toujours trompé."")",1.0,Deletion
505,"('#tersandre', 'Mais quoi, la chose est faite.')","('#frontin', 'Me voila.')",0.95,Substitution
506,,"('#le-baron', 'Et dont je me défie.')",1.0,Deletion
507,,"('#frontin', ""Il n'a pas trop de tort."")",1.0,Deletion
508,,"('#le-baron', 'Il aura fait évader mon fils.')",1.0,Deletion
509,,"('#frontin', 'Cela se pourrait.')",1.0,Deletion
510,"('#guillot', ""Ce que je trouve encor de fâcheux en cela, C'est que votre pater vous déshéritera, S'il apprend une fois que votre amour vous lie Avec un autre objet que la belle Julie."")","('#le-baron', ""Si je puis l'en convaincre, je le ferai pendre[.]"")",1.1,Substitution
511,,"('#frontin', 'Cela est un peu fort.')",1.0,Deletion
512,,"('#le-baron', 'Ou je le ferai parler.')",1.0,Deletion
513,,"('#frontin', 'Passe pour cela.')",1.0,Deletion
514,,"('#le-marquis', 'Quel sujet avez-vous de le soupçonner ?')",1.0,Deletion
515,,"('#le-baron', ""Si vous saviez combien de fois il m'a trompé."")",1.0,Deletion
516,"('#tersandre', ""C'est là ce qui me force à me rendre chez lui. Hélas que dois-je faire en ce pressant ennui ?"")","('#frontin', ""N'est-ce que cela ?  Il est temps que je lui serve un plat de mon métier.  Monsieur, je vous cherche partout."")",1.06,Substitution
517,,"('#le-baron', ""Te voila donc, scélérat ?  Tu as enlevé le Chevalier, qu'en as-tu fait ?"")",1.0,Deletion
518,"('#guillot', ""À Julie il vous faut feindre fort bonne mine, De peur que le vieillard contre vous se mutine, Entretenant si bien votre autre amour sous main, Qu'il ne vous puisse pas sevrer de son douzain."")","('#frontin', 'Ah !  Monsieur , que vous reconnaissez mal les soins que je viens de prendre.')",1.6,Substitution
519,"('#tersandre', 'Mais, Guillot, quand revoir mon aimable Climene?')","('#le-baron', 'Et quels soins, fourbe ?')",1.45,Substitution
520,"('#guillot', ""Si vous eussiez voulu nous serions moins en peine, Votre Climène encor serait auprès de vous, Au lieu qu'elle se voit dans la boîte aux cailloux ; Joint qu'il est difficile, où son sort l'a su mettre, De lui faire tenir le moindre mot de lettre; Car si l'on aperçoit en ce lieu vos couleurs, On renvoiera vos gens avecque vos douceurs."")","('#frontin', 'Ne pourrais-je pas vous parler en secret ?')",1.26,Substitution
521,"('#tersandre', ""Je dois prendre un laquais vêtu tel qu'il puisse être, Je saurai m'en servir."")","('#le-baron', 'Tu veux me tromper ?')",1.22,Substitution
522,,"('#frontin', 'Moi, Monsieur ?')",1.0,Deletion
523,,"('#le-marquis', ""Écoutez ce qu'il a à vous dire."")",1.0,Deletion
524,,"('#le-baron', 'Et bien , parle.')",1.0,Deletion
525,,"('#frontin', ""Cet homme-là m'embarrasse, Monsieur.  Il y a certaines choses qu'il n'est pas à propos de dire devant...."")",1.0,Deletion
526,,"('#le-baron', ""Parle, te dis-je, et parle haut, je n'ai rien de secret pour le Marquis."")",1.0,Deletion
527,"('#guillot', 'Sans votre beau bissêtre Vous verriez votre objet, et moi le mien aussi, Et nous ne serions pas, Monsieur, où nous voici.')","('#frontin', ""Et bien, Monsieur, quand je vis les alarmes où vous étiez hier pour la fuite  du Chevalier, et que mon innocence était soupçonnée, je fis dessein de ne rentrer plus au logis que je n'en eusse appris des nouvelles."")",0.86,Substitution
528,"('#tersandre', ""Quoi ! Tu faisais l'amour, serait-il bien possible ?"")","('#le-baron', 'En sais-tu ?')",0.87,Substitution
529,"('#guillot', ""Pour n'être qu'un valet, en suis-je moins sensible ? Et ne savez vous pas, aussi bien comme moi, Qu'un berger n'est non plus exempt d'amour qu'un Roi ? Si cette passion en vous s'est fait paraître, Ne puis-je pas aimer aussi bien que mon maître ? L'amour fut et sera ; donc n'ayant point de bout, Et ne voyant pas clair, il se fourre partout. Or comme il est aveugle, et qu'il lance sa flamme, Un valet, comme un maître, en peut avoir dans l'âme : Si bien qu'étant tous deux pleins d'un brûlant transport. Il est indubitable. Oui, nous aimons bien fort."")","('#frontin', ""J'avais couru tout Naples sans rien découvrir : j'étais au désespoir, quand ce matin un honnête homme de mes amis m'en a dit plus que je n'en voulais savoir ; d'abord je vous ai cherché par tout pour vous en informer."")",0.8,Substitution
530,"('#tersandre', ""Quand je souffre, Guillot, laisse l'extravagance."")","('#le-marquis', 'Dis-nous vite ce que tu as appris.')",1.66,Substitution
531,"('#guillot', 'Si vous souffrez, Monsieur, chacun a sa souffrance.')","('#frontin', ""Cet honnête homme, Monsieur, m'a dit qu'il avait pris garde que depuis que le Chevalier est arrivé, il ne sortait point, et qu'il était continuellement à la fenêtre de sa chambre triste, rêveur, et mélancolique."")",1.34,Substitution
532,,"('#le-baron', 'Il est vrai.')",1.0,Deletion
533,"('#tersandre', ""Me tiendras-tu toujours des discours d'insensés ?"")","('#frontin', ""Que là il passait les journées entières à parler par signes à une très belle fille, qui était aussi à la fenêtre de l'autre côté de la rue."")",1.45,Substitution
534,"('#guillot', ""Hé ! Ne nous moquons pas, Monsieur, des oppressés : Dans toute ma folie au moins j'ai l'avantage, Si l'amour me rend fou, de vous voir bien peu sage."")","('#le-baron', ""Ah !  Voici ce que j'ai toujours craint."")",1.58,Substitution
535,,"('#frontin', ""Je me suis allé informer qui était cette fille, et j'ai su qu'on l'appelait Ma..... za... sa..."")",1.0,Deletion
536,,"('#le-baron', 'Zaïde.')",1.0,Deletion
537,,"('#frontin', ""Justement Zaïde.  D'abord j'ai couru au logis de cette fille, on m'a dit que depuis hier elle avait délogé."")",1.0,Deletion
538,"('#tersandre', 'Que vois-je ? ')","('#le-baron', 'Je la sais, je la viens de voir ici ; je tremble.')",1.02,Substitution
539,,"('#frontin', ""Parlons bas, s'il vous plaît : vous savez donc, Monsieur, qu'elle est chez la Comtesse ?"")",1.0,Deletion
540,"('#rosette', 'Le voilà.')","('#le-baron', 'Oui.')",0.0,Match
541,"('#l-homme', ""J'allais chez vous, Monsieur, Avecque le dessein de me donner l'honneur D'aller vous saluer, et vous rendant hommage, Vous prier d'accepter mon fils pour votre page."")","('#frontin', ""Je suis d'abord venu."")",1.01,Substitution
542,,"('#le-baron', 'Et bien ?')",1.0,Deletion
543,,"('#frontin', ""Qui diriez-vous, Monsieur, que j'ai trouvé ?"")",1.0,Deletion
544,,"('#le-baron', 'Et qui ?')",1.0,Deletion
545,,"('#frontin', 'Le Chevalier.')",1.0,Deletion
546,,"('#le-baron', 'Le Chevalier !')",1.0,Deletion
547,,"('#frontin', ""Oui, Monsieur_le_Chevalier, avec un habit si extravagant, que j'ai eu de la peine à le reconnaître."")",1.0,Deletion
548,,"('#le-baron', 'Voila qui se rapporte à ce que le_Commandeur vient de me dire.')",1.0,Deletion
549,"('#tersandre', 'Monsieur, je le reçois, et vous suis obligé.')","('#frontin', 'Vous voyez , Monsieur, si je vous dis la vérité.')",0.84,Substitution
550,"('#guillot', 'Ne vous, voilà pas mal de vous voir enpagé.')","('#le-marquis', 'Vous soupçonniez à tort ce garçon là.')",1.55,Substitution
551,,"('#frontin', ""Ah !  Monsieur, cela m'arrive tous les jours."")",1.0,Deletion
552,,"('#le-baron', ""Il faut tout à l'heure que j'aille chez la_Comtesse."")",1.0,Deletion
553,"('#l-homme', ""Sans l'heur d'être connu de Monsieur votre père, Je n'eusse osé jamais un tel présent vous faire : Mais comme il eut toujours pour moi grande bonté, Ce présent dès longtemps vous fut prémédité. De peur que dans ce lieu je ne vous embarrasse, J'irai de vos bontés chez vous vous rendre grâce : Monsieur, je crains ici de vous importuner."")","('#frontin', ""Attendez, Monsieur, que je vous aie tout dit, et puis vous ferez ce qu'il vous plaira."")",0.36,Substitution
554,,"('#le-baron', 'As-tu parlé au Chevalier ?')",1.0,Deletion
555,"('#tersandre', 'Adieu, Monsieur.')","('#frontin', 'Oui, Monsieur.')",0.0,Match
556,,"('#le-baron', ""Et que t'a-t-il dit ?"")",1.0,Deletion
557,,"('#frontin', ""Ah !  Monsieur, j'en ai le coeur si serré...  Je crois que j'en mourrai."")",1.0,Deletion
558,"('#guillot', 'Enfin on vient de vous donner.')","('#le-baron', 'Comment ?')",1.06,Substitution
559,,"('#frontin', 'Il ne parle point.')",1.0,Deletion
560,,"('#le-baron', 'Il ne parle point !')",1.0,Deletion
561,"('#rosette', 'Oui, Monsieur, et de plus moi-même je me donne.')","('#frontin', 'Non, Monsieur.')",1.05,Substitution
562,,"('#le-baron', 'Est-il mort ?')",1.0,Deletion
563,"('#guillot', ""Page, n'avez-vous point l'humeur un peu friponne ? Car ordinairement Messieurs les Culs d'oignons, Tant qu'ils ont cet habit, sont de bons compagnons."")",,1.0,Insertion
564,"('#tersandre', 'Si tu raisonnes plus, je jouerai de la canne.')","('#frontin', 'Non, Monsieur.')",1.57,Substitution
565,"('#guillot', 'Soufflez-vous bien des pois avec la sarbacane ?')","('#le-baron', 'Est-il malade ?')",1.87,Substitution
566,"('#rosette', ""Je ne sais ce que c'est."")","('#frontin', 'Je ne sais.')",0.6,Substitution
567,"('#tersandre', 'Vous tairez-vous, Guillot ?')","('#le-baron', ""D'où vient donc qu'il ne parle point ?"")",1.31,Substitution
568,,"('#frontin', ""Je ne saurais dire, Monsieur, si c'est qu'on ait jeté quelque sort sur lui, ou s'il serait tombé dans une espèce de mélancolie, mais je n'ai pu l'obliger à me répondre que par signes."")",1.0,Deletion
569,"('#guillot', ""Ne vous plaisez-vous point à prendre du piot ? Mais qui vient m'aborder ?"")","('#le-baron', ""Ah, Ciel !  Quelle extravagance !  L'amour lui aurait-il fait tourner l'esprit ?"")",1.56,Substitution
570,"('#climene', ""Monsieur, daignez m'apprendre, S'il vous plaît, le logis où demeure Tersandre."")","('#le-marquis', 'Il y a là-dessous quelque mystère.')",1.48,Substitution
571,"('#guillot', ""Le voilà devant vous en propre original Vous lui pouvez parler, il est doux animal ; Moi, son homme de chambre, et vous voyez son page, C'est tout ce que j'en sais, cherchez-en davantage."")","('#frontin', ""Cela pourrait être, Monsieur.  Mais pourquoi ne se serait-il pas ouvert à moi : je lui ai dit pour le faire parler que je savais son amour, et que je n'étais venu là que pour lui rendre service."")",0.83,Substitution
572,"('#climene', ""Monsieur, ayant appris qu'il vous faut un laquais, Et que de vous servir je fais tous mes souhaits, Je viens vous supplier d'accepter mon service."")","('#le-baron', 'Et bien à cela ?')",1.53,Substitution
573,,"('#frontin', 'Mutus.')",1.0,Deletion
574,"('#tersandre', ""Qu'il est joli ! Guillot."")","('#le-baron', 'Juste Ciel !  Que sera ceci ?')",1.51,Substitution
575,"('#guillot', ""Il n'est pas sans malice."")","('#le-marquis', ""Bagatelle, le Chevalier est assurément d'intelligence avec cette fille."")",1.25,Substitution
576,"('#tersandre', ""Vois-tu qu'il a de l'air de qui sait me ravir ? Ce sujet là tout seul m'oblige à m'en servir."")","('#frontin', ""Je le crois comme vous, Monsieur ; mais être éperdument amoureux, avoir pris l'habitude de ne parler que par signes ; Monsieur, Monsieur, on dit que les grandes passions font de terribles ravages, et puis s'il y avait là quelques charmes."")",0.81,Substitution
577,,"('#le-baron', 'Ah ! Marquis.')",1.0,Deletion
578,,"('#le-marquis', ""Chansons, vous dis-je , c'est un jeu concerté entr'eux."")",1.0,Deletion
579,,"('#frontin', 'Le maudit homme !')",1.0,Deletion
580,,"('#le-baron', ""Quelqu'un aura ensorcelé mon fils."")",1.0,Deletion
581,"('#guillot', ""Si c'était la beauté qui vous tient en cervelle, À ce que je puis voir, vous vous serviriez d'elle. Avez-vous répondant ? À Climène."")","('#le-marquis', ""Qu'allez- vous-là vous imaginer ?"")",0.49,Substitution
582,,"('#frontin', ""Cette vieille Juive qui passe pour sorcière vint l'autre jour au logis , et parla longtemps au Chevalier."")",1.0,Deletion
583,,"('#le-baron', 'Ah !  La maudite femme.')",1.0,Deletion
584,"('#climene', 'Oui-dà, Monsieur, fort bon.')","('#le-marquis', ""En vérité, Baron, vous êtes trop facile à vous mettre dans l'esprit de pures visions."")",1.37,Substitution
585,,"('#le-baron', 'Vous croyez donc que Frontin nous trompe ? ')",1.0,Deletion
586,"('#tersandre', ""N'as-tu pas demeuré dans quelque autre maison ?"")","('#le-marquis', ""Non.  Pour ce garçon-là ; Oh !  Puisqu'il vient de son propre mouvement vous dire ce qu'il sait, je ne doute point qu'il ne parle sincèrement."")",1.66,Substitution
587,,"('#frontin', ""Si je parle sincèrement ?  Je n'ai qu'un défaut, Monsieur, je suis trop franc."")",1.0,Deletion
588,"('#climene', ""Oui, Monsieur, j'ai déjà servi chez une dame."")","('#le-baron', ""Quoi qu'il en soit, il faut que j'aille trouver le Chevalier, et que tout à l'heure..."")",1.39,Substitution
589,"('#guillot', ""C'est un commencement pour être bonne lame ; Et cette dame était quelqu'une de nos soeurs, Qui pour gagner sa vie, accordait des douceurs ?"")","('#frontin', ""Gardez-vous en bien, Monsieur ; personne ne le connaît chez la_Comtesse, il passe là-dedans pour un muet de naissance : je crois qu'il vaut mieux le tirer de là sans éclat, aussi bien vous ne voudriez pas qu'il sortît en plein jour avec l'habit qu'il porte."")",1.45,Substitution
590,,"('#le-marquis', ""Oh pour cela, Frontin a raison, ce que fait le Chevalier est une folie d'un jeune-homme, qu'il est mieux de ne pas divulguer : laissez agir ce garçon-là, on ne peut pas être mieux intentionné."")",1.0,Deletion
591,,"('#le-baron', 'Hé bien, Frontin, je me repose sur toi.')",1.0,Deletion
592,"('#climene', ""Je suis laquais d'honneur, Monsieur, je vous proteste, Et vous lui faites tort."")","('#frontin', ""Si vous me laissez faire, Monsieur, j'espère que je vous en rendrai bon compte."")",0.61,Substitution
593,"('#guillot', 'Bonne petite peste, Que vous a-t-elle fait pour la quitter enfin ?')","('#le-marquis', ""Adieu,Baron.  Je m'en vais en repos, puisque vous avez des nouvelles de votre fils, j'espère qu'à mon retour vous serez guéri de vos frayeurs."")",1.57,Substitution
594,,"('#frontin', ""Oh, à cette heure j'en aurai bon marché."")",1.0,Deletion
595,"('#climene', ""C'est que j'avais du mal comme un petit lutin À frotter tous les jours les planchers de nos chambres : Si bien qu'on exerçait en ce lieu tous mes membres ; Et ce qui me faisait encore plus pester, J'avais incessamment une queue à porter, D'abord qu'elle sortait. Si jamais je sers dame..."")","('#le-baron', ""Que j'avais tort de te soupçonner !"")",0.9,Substitution
596,,"('#frontin', 'Oh, oh, Monsieur.')",1.0,Deletion
597,,"('#le-baron', 'Hélas ! Mon pauvre Frontin.')",1.0,Deletion
598,"('#guillot', ""Vous aimez mieux servir un homme qu'une femme ?"")","('#frontin', ""Il ne faut pas, Monsieur, vous affliger quoique le Chevalier ne parle point.  Il entend assez bien tout ce que l'on dit."")",1.73,Substitution
599,,"('#le-baron', ""Ah !  Frontin, j'ai observé que depuis quelques jours il était tout changé, et parlait moins que de coutume."")",1.0,Deletion
600,,"('#frontin', ""En effet, Monsieur, vous me faites prendre garde qu'il semblait perdre la parole de jour en jour."")",1.0,Deletion
601,"('#climene', 'Un homme assurément sera bien mieux mon fait.')","('#le-baron', ""L'amour seul ne fait point cela, il va là quelque sortilège."")",1.06,Substitution
602,,"('#frontin', 'Que ce soit charme ou manie, elle ne fait que commencer, et il y a des Médecins qui en savent guérir.')",1.0,Deletion
603,,"('#le-baron', ""Oui, mais je voudrais les consulter secrètement que je ne publiasse pas la folie de mon fils : ces sortes d'accidents déshonorent une maison."")",1.0,Deletion
604,"('#guillot', ""Je vous crois très subtil à porter un poulet ; Car vous avez la mine, ou je veux qu'on me berce, D'être fort bien stylé dans l'amoureux commerce."")","('#frontin', ""Oh, Monsieur, j'ai ouï dire que les folies qui viennent de l'amour, ne déshonorent personne, toutes les familles seraient déshonorées."")",1.41,Substitution
605,"('#tersandre', ""Laisse-le là, Guillot, tu fais trop le badin. Comment t'appelle-t-on ? À Climène."")","('#le-baron', 'Je suis si connu de tous les médecins de Naples...')",1.86,Substitution
606,,"('#frontin', 'Attendez, Monsieur, il y a depuis deux_jours dans ce Palais un des plus grands hommes du monde pour la médecine.')",1.0,Deletion
607,"('#climene', ""Monsieur, c'est Calotin Pour vous servir."")",,1.0,Insertion
608,"('#tersandre', 'Demeure.')","('#le-baron', 'Et qui?')",1.11,Substitution
609,,"('#frontin', ""Diable, c'est un médecin Français."")",1.0,Deletion
610,,"('#le-baron', ""Et si s'était un habile homme serait-il sorti de son pays ; les bons médecins y sont si rares."")",1.0,Deletion
611,,"('#frontin', ""Peste, c'est un député de la Faculté_de_Montpellier qui va conférer avec l'École_de_Salerne sur quelques opinions nouvelles."")",1.0,Deletion
612,,"('#le-baron', 'Et que vient-il donc faire ici ?')",1.0,Deletion
613,"('#guillot', 'Ah ! Petite Calotte, Si vous ne servez bien, je sais bien comme on frotte.')","('#frontin', ""Ce serait une trop longue histoire à vous faire, suffit qu'il loge dans ce Palais, et que je viens de lui parler tout à l'heure."")",1.53,Substitution
614,"('#tersandre', 'De quel pays es-tu ?')","('#le-baron', 'Et comment le connais-tu?')",0.05,Substitution
615,"('#climene', 'Je suis Périgourdin.')","('#frontin', ""Comme il est étranger, et que j'ai été en France, je lui ai rendu quelque bons offices."")",1.66,Substitution
616,"('#tersandre', 'Tu marches donc fort bien ?')","('#le-baron', 'Et bien ?')",0.08,Substitution
617,,"('#frontin', ""Si vous voulez, Monsieur, tandis qu'on dîne chez la Comtesse, je vais le prier de descendre dans cette salle, où je ferai venir votre fils, je dirai au Médecin que le Chevalier n'a ni père ni mère, il l'examinera sans le connaître."")",1.0,Deletion
618,,"('#le-baron', 'Fort bien ; mais je veux y être présent.')",1.0,Deletion
619,,"('#frontin', ""C'est ainsi que je l'entends."")",1.0,Deletion
620,,"('#le-baron', ""Mais comment ferai-je, je n'entends pas le Français."")",1.0,Deletion
621,,"('#frontin', 'Il vous parlera comme vous voudrez, latin.')",1.0,Deletion
622,,"('#le-baron', ""Je l'entends encore moins."")",1.0,Deletion
623,,"('#frontin', 'Hé bien, Grec, Hébreu, Chaldéen, Syriaque, Allemand, Espagnol, Italien, Languedocien.  Comme il a fort voyagé il possède toutes les langues.')",1.0,Deletion
624,"('#climene', ""Je fais bien du chemin; Lorsqu'il en est besoin, je vais comme un tonnerre."")","('#le-baron', 'Va donc mon garçon, hâte-toi de le faire venir.')",0.88,Substitution
625,"('#guillot', 'Mais peut-être avez-vous du diable un caractère.')","('#frontin', ""Mais à propos avez-vous de l'argent sur vous pour lui donner."")",1.16,Substitution
626,"('#climene', 'Je suis un éveillé qui va bien sans cela.')",,1.0,Insertion
627,"('#guillot', ""Il a ta mine d'être un petit Maxima."")",,1.0,Insertion
628,"('#tersandre', 'Chanteras-tu toujours à tout le monde injure ?')","('#le-baron', 'Je crois que non.')",1.66,Substitution
629,"('#guillot', ""Est-ce l'injurier, que l'appeler Mercure ? Et pour lui n'est-ce pas un titre glorieux, Que le nommer du nom du Messager des Dieux ?"")","('#frontin', ""Dépêchez-vous d'en aller quérir et en quantité, il ne ferait rien sans cela : jugez s'il est âpre à l'argent, il est médecin et gascon."")",1.17,Substitution
630,,"('#le-baron', ""J'y vais de ce pas, attend[s] moi."")",1.0,Deletion
631,"('#tersandre', ""Page, et vous, Calotin, il le faut laisser dire, C'est un humeur gaillarde."")",,1.0,Insertion
632,"('#guillot', ""Il est vrai, j'aime à rire."")","('#frontin', ""Ah !  Par ma foi voilà un homme bien facile à duper, il a pris l'alarme bien chaudement ; je n'en suis pas trop surpris, il commence à radoter, il n'aime rien tant au monde que cet enfant là."")",1.37,Substitution
633,"('#tersandre', 'Calotin, sais-tu bien le faubourg Saint-Germain ?')","('#le-chevalier', ""J'ai ouï ce que tu viens dédire à mon père ; j'ai compris ton dessein ; mais où trouveras-tu le Médecin dont tu as besoin."")",1.46,Substitution
634,,"('#frontin', 'Il est tout trouvé.')",1.0,Deletion
635,"('#calotin', 'Oui, Monsieur.')","('#le-chevalier', 'Toi ?')",0.54,Substitution
636,,"('#frontin', 'Moi-même.')",1.0,Deletion
637,,"('#le-chevalier', 'Il te reconnaîtra.')",1.0,Deletion
638,,"('#frontin', ""Bon, de la manière que je serai travesti, et avec tous les jargons que je parlerai, je l'en défie.  Où avez-vous mis les hardes que je vous dis hier de cacher."")",1.0,Deletion
639,"('#tersandre', ""Viens donc prendre un billet de ma main, Et puis tu t'en iras aux Filles de Lorraine, Où tu demanderas à parler à Climène, Et si quelqu'un de là, par de fins entretiens, Te venait demander de quelle part tu viens, Tu lui diras que c'est de la part de son père."")","('#le-chevalier', ""Tu les trouveras là dans ce cabinet, où personne n'entre que moi.  Mais nous nous hâtons trop de donner cette alarme à mon père, je devrais savoir auparavant comment ma passion est reçue de Zaïde : je vais peut-être encourir à la fois l'indignation de deux personnes que je respecte, et que j'adore."")",0.64,Substitution
640,,"('#frontin', ""Quoi, vous n'avez pas encore parlé à Zaïde ?"")",1.0,Deletion
641,,"('#le-capitaine', ""J'en ai toujours été empêché par quelque nouvel obstacle, et si tu n'étais venu tantôt, j'allais me découvrir devant Marine."")",1.0,Deletion
642,"('#climene', ""Je suis assez instruit, Monsieur, laissez-moi faire, D'abord que vous m'aurez donné votre billet, Dites, Climene l'a, car c'est autant de fait."")","('#frontin', ""J'ai rompu les chiens fort à propos ; vous auriez fort mal fait.  Il ne faut pas risquer que ceci vienne à la connaissance de la Comtesse, elle est glorieuse, délicate et hautaine, et ne voudrait pour rien du monde être soupçonnée d'avoir en quelque part en toute cette intrigue."")",0.84,Substitution
643,,"('#le-chevalier', ""Attend[s] donc que j'aie pu savoir si Zaïde approuve..."")",1.0,Deletion
644,,"('#frontin', 'Commençons par le plus difficile, gagnons votre père, puisque Zaïde vous connaît, je la tiens déjà rendue.')",1.0,Deletion
645,"('#tersandre', ""Mais il faut, s'il se peut, en avoir la réponse."")","('#le-chevalier', ""Comment l'oser espérer ?"")",1.0,Substitution
646,"('#climene', ""Si je ne l'ai, Monsieur, à servir je renonce."")","('#frontin', ""Vous moquez-vous ?  Vous ne connaissez pas votre mérite : vous êtes un trésor au moins pour être aime du sexe, et serait-il quelque prude qui résistât à un beau jeune homme comme vous, s'il l'avait une fois persuadée qu'il put s'empêcher de parler ?  Rendons-nous seulement maître du bon vieillard, et puis de votre côté, tâchez à parler à Zaïde dans la journée ; il faut que ce jeu finisse avant le retour de mon Maître, il ne consentirait jamais qu'on jouât ce tour à son père.  Je vais quérir le Médecin, adieu : j'entends votre père qui revient, tenez-vous là, et jouez bien votre rôle."")",1.34,Substitution
647,"('#guillot', ""À ce que je puis voir, ce n'est pas le premier. Ah ! Que le petit traître est grec en ce métier ! "")","('#le-baron', ""En vérité voilà un accident bien étrange.  Ah, ha, voici ce pauvre garçon.  Frontin est sans doute allé quérir le Médecin.  Voyons un peu ; mon fils ne me voit point.  Il voudrait me parler.  Cela n'est que trop vrai.  Cet enfant m'aime bien : voila qui fait fendre le coeur.  Chevalier...  Ah, maudit amour !  Maudits sorciers !  Mais je crois que voici ce grand Médecin : il ne faut pas qu'il sache qui je suis."")",0.94,Substitution
648,,"('#frontin', ""Frontinus, Frontinus, non est hic, in las y plegui ego m'en retourno : io me ne uo."")",1.0,Deletion
649,"('#tersandre', ""Viens prendre ce billet, Calotin, et vous, Page, Suivez-moi pour aller autre part en message. Pour Guillot, il n'aura qu'à m'attendre en ce lieu."")","('#le-baron', 'Monsieur, Monsieur, ne vous en allez point, voila ce jeune homme dont Frontin vous a parlé.')",0.83,Substitution
650,,"('#frontin', 'Iste est mutus, aqueste ?')",1.0,Deletion
651,,"('#le-baron', 'Oui, Monsieur.')",1.0,Deletion
652,,"('#frontin', 'Non, non, non, non est mutus.')",1.0,Deletion
653,,"('#le-baron', ""Dites-vous, Monsieur qu'il n'est pas muet ?"")",1.0,Deletion
654,,"('#frontin', 'Et Frominus est unus fourbus, fourbissimus.')",1.0,Deletion
655,,"('#le-baron', 'Il a bien raison.')",1.0,Deletion
656,,"('#frontin', 'Certenamente non est mutus, ma véritablemente non potest parlare.')",1.0,Deletion
657,,"('#le-baron', ""Il a d'abord connu son mal."")",1.0,Deletion
658,,"('#frontin', 'Bota crispo, boni pecaïre, à balìsco, quante fourberie de Frontino !  Mihi dixit qui iste, lui, non habet ni patrem ni matrem, et vos, tu vos, vostra merce.  Vo seignorìa est-il son padre ?')",1.0,Deletion
659,"('#guillot', ""Vous me faites plaisir, et de bon coeur adieu. Depuis que je me trouve éloigné de Rosette, Je commence déjà d'en tenir pour Lisette ; Et puisque cet objet à mes yeux est présent, Je le veux par ma foi préférer à l'absent. Aussi bien voici l'heure à peu près, ce me semble, Que nous devons ici nous rencontrer ensemble, Pour chanter la chanson composée entre nous. Ah ! Bon, bon, les voici, je les vois venir tous. Ragotin, Beatrix, et toi, belle Lisette, Ça, tâchons d'exceller dans notre chansonnette. Mais si vous m'en croyez, pour mieux nous accorder, Avant que commencer, il nous faut préluder. Seul."")","('#le-baron', ""Oh, le grand homme !  Il a connu que je suis ion père : hé bien ou[i], Monsieur, c'est mon fils ; je vois bien qu'on ne vous peut rien cacher, que faut-il faire pour le guérir ?"")",0.78,Substitution
660,,"('#frontin', 'Dìcam tibi : ho ho, mouchachou friponello, campis, vos fete inamoratus.')",1.0,Deletion
661,"('#lisette', ""Guillot dit vrai, car c'est l'ordinaire habitude De débuter toujours par quelque beau prélude. CHANSON"")","('#le-baron', 'Le voilà au fait.')",1.42,Substitution
662,,"('#frontin', 'Odio la vostra fringairo, vostra mestressa, vostra inamorata non cognoscit sui parentes.')",1.0,Deletion
663,,"('#le-baron', 'Il est vrai.')",1.0,Deletion
664,,"('#frontin', 'Ma suo parentes sont nobiles, potentis, opulentes.')",1.0,Deletion
665,,"('#le-baron', 'À la bonne heure.')",1.0,Deletion
666,,"('#frontin', 'Et la cognoscibunt un giorno.')",1.0,Deletion
667,,"('#le-baron', ""Soit, mais qu'ordonnez-vous, Monsieur, pour tirer mon fils de cet accident ?"")",1.0,Deletion
668,,"('#frontin', 'Io la diro tibi, egovì lo dirai.')",1.0,Deletion
669,,"('#le-baron', ""Il veut être payé, c'est un vrai Médecin.  Tenez, Monsieur."")",1.0,Deletion
670,"('#guillot', ""Je n'aime rien tant que Lisette,"")","('#frontin', 'Fases me il prendre prenere, et vitamente fatte li pigliar è presto.')",1.95,Substitution
671,,"('#le-baron', 'Et quoi, Monsieur ?')",1.0,Deletion
672,"('#ragotin', 'Ni moi, rien tant que Béatrix ;')","('#frontin', 'Aquelo drouleto per mouille, quella ragazza per moglie.')",1.54,Substitution
673,"('#lisette', 'Ragot est ce que je souhaite,')","('#le-baron', 'Que je lui fasse épouser cette fille ?')",1.31,Substitution
674,,"('#frontin', 'Ouci métis hodis, hoggi, hoggi.')",1.0,Deletion
675,,"('#le-baron', ""Aujourd'hui ?"")",1.0,Deletion
676,,"('#frontin', 'E presto si lascate ìnveterare lo malo.')",1.0,Deletion
677,,"('#le-baron', ""Et bien, si l'on laisse invétérer le mal ?"")",1.0,Deletion
678,"('#beatrix', 'Et Guillot rend mon coeur épris.')","('#frontin', 'Causatum per amorem et per magiam[.]')",1.69,Substitution
679,"('#tous-ensemble', ""Puisque l'amour tous quatre ensemble Nous rend l'un pour l'autre de feu : Si jamais l'hymen nous assemble, Je crois que nous verrons beau jeu."")","('#le-baron', 'Causé par amour et par magie[.]')",0.78,Substitution
680,"('#lisette', 'Le bonheur ne sera pas moindre')","('#frontin', 'Noun sera pas houra : non erit tempus, non fora put tempo.')",1.52,Substitution
681,,"('#le-baron', 'Il ne sera plus temps[.]')",1.0,Deletion
682,,"('#frontin', 'Ille lui, fara semper mutus[.]')",1.0,Deletion
683,,"('#le-baron', 'Il sera toujours muet[.]')",1.0,Deletion
684,,"('#frontin', 'Ed tu fine vo segnoria paralitica[.]')",1.0,Deletion
685,,"('#le-baron', 'Et moi je deviendrai paralytique.')",1.0,Deletion
