,corneillep-andromede,quinault-persee,Cost,Operation Type
140,"('#phinee', ""Qu'entre eux-mêmes ces dieux se montrent donc d'accord. Quelle crainte après tout me pourrait y résoudre ? S'ils m'ôtent Andromède, ont-ils quelque autre foudre ? Il n'est plus de respect qui puisse rien sur moi ; Andromède est mon sort, et mes dieux, et mon roi ; Punissez un impie, et perdez un rebelle ; Satisfaites le sort en m'exposant pour elle : J'y cours ; mais autrement je jure ses beaux yeux, Et mes uniques rois, et mes uniques Dieux... Ici le tonnerre commence à rouler avec un si grand bruit, et accompagné d'éclairs redoublés avec tant de promptitude, que cette feinte donne de l'épouvante aussi bien que de l'admiration, tant elle approche du naturel. On voit cependant descendre Éole avec huit vents, dont quatre sont à ses deux côtés, en sorte toutefois que les deux plus éloignés sont comme volants en l'air tout conte ce même nuage. Les quatre autres paraissent deux à deux au milieu de l'air sur les ailes du théâtre, deux à la main gauche et deux à la main droite : ce qui n'empêche pas Phinée de continuer ses blasphèmes."")","('#cephee', 'De mes regards vos beaux yeux sont blessés ; Vous souffrez à me voir, mon amour vous outrage. Je vais chercher Méduse, et je vous aime assez Pour ne vous pas contraindre à souffrir davantage.')",0.34,Substitution
141,"('#cephee', ""Arrêtez : ce nuage enferme une tempête Qui peut-être déjà menace votre tête. N'irritez plus les dieux déjà trop irrités."")",,1.0,Insertion
142,"('#phinee', ""Qu'il crève, ce nuage, et que ces déités..."")",,1.0,Insertion
143,"('#cephee', 'Ne les irritez plus, vous dis-je, et prenez garde...')","('#andromede', 'Quoi ! pour jamais vous me quittez ! Persée, arrêtez, arrêtez.')",0.72,Substitution
144,"('#phinee', ""À les trop irriter qu'est-ce que je hasarde ? Que peut craindre un amant quand il voit tout perdu ? Tombe, tombe sur moi leur foudre, s'il m'est dû ! Mais s'il est quelque main assez lâche et traîtresse Pour suivre leur caprice et saisir ma princesse, Seigneur, encore un coup, je jure ses beaux yeux, Et mes uniques rois, et mes uniques dieux..."")","('#cephee', ""Qu'entends-je ? Ô cieux : belle princesse ! Que vois-je ? vous versez des pleurs !"")",0.88,Substitution
145,"('#eole', ""Téméraire mortel, n'en dis pas davantage ; Tu n'obliges que trop les dieux à te haïr : Quoi que pense attenter l'orgueil de ton courage, Ils ont trop de moyens de se faire obéir. Connais-moi pour ton infortune ; Je suis Éole, roi des vents. Partez, mes orageux suivants, Faites ce qu'ordonne Neptune."")","('#andromede', ""Ah ! par l'excès de mes douleurs Connaissez, s'il se peut, l'excès de ma tendresse. Voyez à quoi j'avais recours Pour vous ôter l'ardeur qui vous fait entreprendre Un combat funeste à vos jours. Hélas ! que l'ai-je pu me rendre Indigne de votre secours ? Que n'êtes-vous magnanime ? Méduse d'un regard porte un trépas certain."")",0.1,Substitution
146,"('#andromede', 'ô ciel !')",,1.0,Insertion
147,"('#cephee', ""Ils l'ont saisie, et l'enlèvent en l'air."")",,1.0,Insertion
148,"('#phinee', 'Ah ! Ne présumez pas ainsi me la voler : Je vous suivrai partout malgré votre surprise.')","('#cephee', 'Vous pourriez être sa victime.')",1.16,Substitution
149,"('#persee', 'Seigneur, un tel péril ne veut point de remise ; Mais espérez encor, je vole à son secours, Et vais forcer le sort à prendre un autre cours.')","('#andromede', ""Tout l'effort des mortels contre elle serait vain."")",1.33,Substitution
150,"('#cephee', ""Vingt amants pour Nérée en firent l'entreprise ; Mais il n'est point d'effort que ce monstre ne brise. Tous voulurent sauver ses attraits adorés, Tous furent avec elle à l'instant dévorés."")","('#cephee', ""Le fils de Jupiter, lorsque l'amour l'anime, Doit aller au delà de tout l'effort humain."")",0.86,Substitution
151,,"('#andromede', ""Par les frayeurs d'un amour tendre Ne serez-vous point désarmé ?"")",1.0,Deletion
152,"('#persee', ""Le ciel aime Andromède, il veut son hyménée, Seigneur ; et si les vents l'arrachent à Phinée, Ce n'est que pour la rendre à quelque illustre époux Qui soit plus digne d'elle, et plus digne de vous ; À quelque autre par là les dieux l'ont réservée. Vous saurez qui je suis quand je l'aurai sauvée. Adieu : par des chemins aux hommes inconnus Je vais mettre en effet l'oracle de Vénus. Le temps nous est trop cher pour le perdre en paroles."")","('#cephee', ""J'ignorais votre amour, et j'aillais vous défendre ; Puis-je à vous secourir être moins animé, Quand je sais que je suis aimé ?"")",0.38,Substitution
153,"('#cephee', ""Moi, qui ne puis former d'espérances frivoles, Pour ne voir point courir ce grand coeur au trépas, Je vais faire des voeux qu'on n'écoutera pas."")","('#andromede', 'Quoi ! vous partez ?')",1.48,Substitution
154,"('#timante', ""Allons voir, chers amis, ce qu'elle est devenue, La princesse, et mourir, s'il se peut, à sa vue."")","('#cephee', ""L'amour m'appelle."")",1.68,Substitution
155,"('#le-choeur', ""La voilà que ces vents achèvent d'attacher, En infâmes bourreaux, à ce fatal rocher."")",,1.0,Insertion
156,"('#timante', ""Oui, c'est elle sans doute. Ah ! L'indigne spectacle !"")",,1.0,Insertion
157,"('#le-choeur', ""Si le ciel n'est injuste, il lui doit un miracle."")",,1.0,Insertion
158,"('#timante', ""Il en fera voir un, s'il en croit nos désirs."")",,1.0,Insertion
159,"('#andromede', 'ô dieux !')",,1.0,Insertion
160,"('#timante', 'Avec respect écoutons ses soupirs ; Et puissent les accents de ses premières plaintes Porter dans tous nos coeurs de mortelles atteintes !')","('#andromede', 'Vous méprisez mes pleurs ! Mes cris sont superflus !')",0.92,Substitution
161,"('#andromede', ""Affreuse image du trépas Qu'un triste honneur m'avait fardée, Surprenantes horreurs, épouvantable idée, Qui tantôt ne m'ébranliez pas, Que l'on vous conçoit mal quand on vous envisage Avec un peu d'éloignement ! Qu'on vous méprise alors ! Qu'on vous brave aisément ! Mais que la grandeur de courage Devient d'un difficile usage Lorsqu'on touche au dernier moment ! Ici seule, et de toutes parts À mon destin abandonnée, Ici que je n'ai plus ni parents, ni Phinée, Sur qui détourner mes regards, L'attente de la mort de tout mon coeur s'empare, Il n'a qu'elle à considérer ; Et quoi que de ce monstre il s'ose figurer, Ma constance qui s'y prépare Le trouve d'autant plus barbare Qu'il diffère à me dévorer. Étrange effet de mes malheurs ! Mon âme traînante, abattue, N'a qu'un moment à vivre, et ce moment me tue À force de vives douleurs. Ma frayeur a pour moi mille mortelles feintes, Cependant que la mort me fuit : Je pâme au moindre vent, je meurs au moindre bruit ; Et mes espérances éteintes N'attendent la fin de mes craintes Que du monstre qui les produit. Qu'il tarde à suivre mes désirs ! Et que sa cruelle paresse À ce coeur dont ma flamme est encore la maîtresse Coûte d'amers et longs soupirs ! Ô toi, dont jusqu'ici la douceur m'a suivie, Va-t'en, souvenir indiscret ; Et cessant de me faire un entretien secret De ce prince qui m'a servie, Laisse-moi sortir de la vie Avec un peu moins de regret. C'est assez que tout l'univers Conspire à faire mes supplices ; Ne les redouble point, toi qui fus mes délices, En me montrant ce que je perds ; Laisse-moi..."")","('#cephee', ""Vous me verrez comblé d'une gloire immortelle."")",0.85,Substitution
162,,"('#andromede', 'Hélas ! nous ne vous verrons plus !')",1.0,Deletion
163,"('#cassiope', ""Me voici, qui seule ai fait le crime ; Me voici, justes dieux, prenez votre victime : S'il est quelque justice encore parmi vous, C'est à moi seule, à moi qu'est dû votre courroux. Punir les innocents, et laisser les coupables, Inhumains ! Est-ce en être, est-ce en être capables ? À moi tout le supplice, à moi tout le forfait. Que faites-vous, cruels ? Qu'avez-vous presque fait ? Andromède est ici votre plus rare ouvrage ; Andromède est ici votre plus digne image ; Elle rassemble en soi vos attraits divisés : On vous connaîtra moins si vous la détruisez. Ah ! Je découvre enfin d'où provient tant de haine : Vous en êtes jaloux plus que je n'en fus vaine ; Si vous la laissiez vivre, envieux tout-puissants, Elle aurait plus que vous et d'autels et d'encens ; Chacun préférerait le portrait au modèle, Et bientôt l'univers n'adorerait plus qu'elle."")","('#persee #andromede', ""Ah ! Le péril est extrême ! Je vois votre danger, je ne vois pas le mien.. Dieux ! sauvez ce que j'aime ! Et pour moi-même Je ne demande rien. Dieux ! sauvez ce que j'aime ! Andromède sort."")",0.03,Substitution
164,"('#andromede', ""En l'état où je suis le sort m'est-il trop doux, Si vous ne me donnez de quoi craindre pour vous ? Faut-il encore ce comble à des malheurs extrêmes ? Qu'espérez-vous, madame, à force de blasphèmes ?"")","('#mercure', ""Persée, où courez-vous ? qu'allez-vous entreprendre ?"")",1.35,Substitution
165,"('#cassiope', ""Attirer et leur monstre et leur foudre sur moi ; Mais je ne les irrite, hélas ! Que contre toi : Sur ton sang innocent retombent tous mes crimes ; Seule tu leur tiens lieu de mille autres victimes ; Et pour punir ta mère ils n'ont, ces cruels dieux, Ni monstre dans la mer, ni foudre dans les cieux. Aussi savent-ils bien que se prendre à ta vie, C'est percer de mon coeur la plus tendre partie ; Que je souffre bien plus en te voyant périr, Et qu'ils me feraient grâce en me faisant mourir. Ma fille, c'est donc là cet heureux hyménée, Cette illustre union par Vénus ordonnée, Qu'avec tant de pompe il fallait préparer, Et que ces mêmes dieux devaient tant honorer ! Ce que nos yeux ont vu n'était-ce donc qu'un songe, Déesse ? Ou ne viens-tu que pour dire un mensonge ? Nous aurais-tu parlé sans l'aveu du destin ? Est-ce ainsi qu'à nos maux le ciel trouve une fin ? Est-ce ainsi qu'Andromède en reçoit les caresses ? Si contre elle l'envie émeut quelques déesses, L'amour en sa faveur n'arme-t-il point de dieux ? Sont-ils tous devenus ou sans coeur, ou sans yeux ? Le maître souverain de toute la nature Pour de moindres beautés a changé de figure ; Neptune a soupiré pour de moindres appas ; Elle en montre à Phébus que Daphné n'avait pas ; Et l'Amour en Psyché voyait bien moins de charmes, Quand pour elle il daigna se blesser de ses armes. Qui dérobe à tes yeux le droit de tout charmer, Ma fille ? Au vif éclat qu'ils sèment dans la mer, Les tritons amoureux, malgré leurs Néréides, Devraient déjà sortir de leurs grottes humides, Aux fureurs de leur monstre à l'envi s'opposer, Contre ce même écueil eux-mêmes l'écraser, Et de ses os brisés, de sa rage étouffée, Au pied de ton rocher t'élever un trophée."")","('#cephee', ""Un peuple infortuné m'engage à le défendre ; C'est à la gloire que je cours. Si je meurs, mon trépas sera digne d'envie ; Je laisse le soin de mes jours Au dieu qui m'a donné la vie."")",0.24,Substitution
166,"('#andromede', ""Renouveler le crime, est-ce pour les fléchir ? Vous hâtez mon supplice au lieu de m'affranchir. Vous appelez le monstre. Ah ! Du moins à sa vue Quittez la vanité qui m'a déjà perdue. Il n'est mortel ni dieu qui m'ose secourir. Il vient : consolez-vous, et me laissez mourir."")","('#mercure', ""Ce dieux juste et puissant favorise vos voeux, Et c'est par ma voix qu'il s'explique : Il reconnaît son sang à l'effort généreux Que vous allez tenter, d'une ardeur héroïque,  Pour secourir des malheureux ; Mais ce n'est point en téméraire Qu'il faut dans le péril précipiter vos pas. L'assistance des dieux vous sera nécessaire : Ils veulent vous l'offrir, ne le négligez pas. Je viens d'apprendre à toute la nature Que Jupiter s'intéresse à vos jours : La jalouse Junon vainement en murmure, Et tout, jusqu'aux enfers, vous promet du secours."")",0.0,Match
167,"('#cassiope', ""Je le vois, c'en est fait. Parois du moins, Phinée, Pour sauver la beauté qui t'était destinée ; Parais, il en est temps ; viens en dépit des dieux Sauver ton Andromède, ou périr à ses yeux ; L'amour te le commande, et l'honneur t'en convie ; Peux-tu, si tu la perds, aimer encore la vie ?"")","('#un-des-cyclopes', ""C'est pour vous que Vulcain, de ses mains immortelles ; A forgé cette épée et préparé ces ailes. Hâtez-vous de vous signaler Par une célèbre victoire : Chacun doit aller à la gloire ; Mais un héros y doit voler."")",0.9,Substitution
168,"('#andromede', ""Il n'a manque d'amour, ni manque de valeur ; Mais sans doute, madame, il est mort de douleur ; Et comme il a du coeur et sait que je l'adore, Il périrait ici, s'il respirait encore."")",,1.0,Insertion
169,"('#cassiope', ""Dis plutôt que l'ingrat n'ose te mériter. Toi donc, qui plus que lui t'osais tantôt vanter, Viens, amant inconnu, dont la haute origine, Si nous t'en voulons croire, est royale ou divine ; Viens en donner la preuve, et par un prompt secours, Fais-nous voir quelle foi l'on doit à tes discours ; Supplante ton rival par une illustre audace ; Viens à droit de conquête en occuper la place : Andromède est à toi si tu l'oses gagner. Quoi ? Lâches, le péril vous la fait dédaigner ! Il éteint en tous deux ces flammes sans secondes ! Allons, mon désespoir, jusqu'au milieu des ondes Faire servir l'effort de nos bras impuissants D'exemple et de reproche à leurs feux languissants ; Faisons ce que tous deux devraient faire avec joie ; Détournons sa fureur dessus une autre proie : Heureuse si mon sang la pouvait assouvir ! Allons. Mais qui m'arrête ? Ah ! C'est mal me servir."")","('#une-nymphe-guerriere', ""Le plus vaillant guerrier s'abuse D'oser tout espérer de l'effort de son bras. Si vous voulez vaincre Méduse, Portez le bouclier de la sage Pallas. Que la valeur et la prudence, Quand elles sont d'intelligence, Achèvent d'exploits glorieux ! Le monstre le plus furieux Leur fait vainement résistance. La paix ne peut régner que par leur assistance ; L'univers leur doit son bonheur. Rien ne peux mieux donner un immortel honneur Que la valeur et la prudence, Quand elles sont d'intelligence."")",0.0,Match
170,"('#timante', 'Courez-vous à la mort quand on vole à votre aide ? Voyez par quels chemins on secourt Andromède ; Quel héros, ou quel dieu sur ce cheval ailé...')",,1.0,Insertion
171,"('#cassiope', ""Ah ! C'est cet inconnu par mes cris appelé, C'est lui-même, seigneur, que mon âme étonnée..."")","('#une-divinite-infernale', ""Ce casque vous est présenté Au nom du souverain de l'empire des Ombres. Au milieu du péril, pour votre sûreté, Il répandra sur vous l'épaisse obscurité Qui règne en nos demeures sombres. Ce don mystérieux doit apprendre aux humains Comme on peut s'assurer d'un succès favorable : Il faut cacher de grands desseins Sous un secret impénétrable."")",0.92,Substitution
172,"('#persee', ""Reine, voyez par là si je vaux bien Phinée, Si j'étais moins que lui digne de votre choix, Et si le sang des dieux cède à celui des rois."")",,1.0,Insertion
173,"('#cassiope', ""Rien n'égale, seigneur, un amour si fidèle ; Combattez donc pour vous en combattant pour elle : Vous ne trouverez point de sentiments ingrats."")","('#mercure #choeurs-de-cyclopes #nymphes-guerrieres #divinites-infernales', ""Que l'enfer, la terre et les cieux, Votre généreuse entreprise ! Que l'enfer, la terre et les cieux, Que tout l'univers favorise Le fils du plus puissant des lieux !"")",1.09,Substitution
174,"('#persee', 'Adorable princesse, avouez-en mon bras.')",,1.0,Insertion
175,"('#le-choeur', ""Courage, enfant des Dieux ! Elle est votre conquête ; Et jamais amant ni guerrier Ne vit ceindre sa tête D'un si beau myrte ou d'un si beau laurier."")","('#mercure', ""Votre conduite à mes soins est commise. L'impatience éclate dans vos yeux ; La gloire qui vous est promise Ne peut plus souffrir de remise. Suivez-moi ; partons de ces lieux. Mercure et Persée s'envolent."")",0.69,Substitution
176,"('#voix', 'Andromède est le prix qui suit votre victoire : Combattez, combattez ; Et vos plaisirs et votre gloire Rendront jaloux les dieux dont vous sortez.')","('#les-choeurs', ""Que l'enfer, la terre et les cieux, etc."")",1.56,Substitution
177,"('#le-choeur', ""Courage, enfant des dieux ! Elle est votre conquête ; Et jamais amant ni guerrier Ne vit ceindre sa tête D'un si beau myrte ou d'un si beau laurier."")","('#meduse', ""J'ai perdu la beauté qui me rendit si vaine : Je n'ai plus ces cheveux si beaux Dont autrefois le dieu des eaux Sentit lier son coeur d'une si douce chaîne. Pallas, la barbare Pallas, Fut jalouse de mes appas, Et me rendit affreuse autant que j'étais belle ; Mais l'excès étonnant de la difformité Dont me punit sa cruauté, Fera connaître, en dépit d'elle, Quel fut l'excès de ma beauté. Je ne puis trop montrer sa vengeance cruelle ; Ma tête est fière encor d'avoir pour ornement Des serpents dont le sifflement Excite une frayeur mortelle. Je porte l'épouvante et la mort en tous lieux ; Tout se change en rocher à mon aspect horrible : Les traits que Jupiter lance du haut des cieux N'ont rien de si terrible Qu'un regard de mes yeux. Les plus grands dieux du ciel, de la terre et de l'onde, Du soin de se venger se reposent sur moi : Si je perds la douceur d'être l'amour du monde, J'ai le plaisir nouveau d'en devenir l'effroi."")",0.23,Substitution
178,"('#timante', 'Voyez de quel effet notre attente est suivie, Madame : elle est sauvée, et le monstre est sans vie.')","('#meduse #euryale #stenone', ""Ô le doux emploi, pour la rage, De causer un affreux ravage. Heureuse la fureur Qui remplit l'univers d'horreur ! Dans ce triste séjour qui peut nous faire entendre Le doux bruit qui nous vient surprendre ? Jamais ici mortel avec impunité Ne porta sa vue indiscrète. Quels concerts ! quelle nouveauté ! Qui peut chercher l'horreur secrète De notre fatale retraite... ? C'est Mercure qui vient dans cet antre écarté. Les trois Gorgones entendent un doux concert."")",0.84,Substitution
179,"('#persee', ""Rendez grâces au dieu qui m'en a fait vainqueur."")",,1.0,Insertion
180,"('#cassiope', ""Ô ciel ! Que ne vous puis-je assez ouvrir mon coeur ! L'oracle de Vénus enfin s'est fait entendre : Voilà ce dernier choix qui nous devait tout rendre ; Et vous êtes, seigneur, l'incomparable époux Par qui le sang des dieux se doit joindre avec nous. Ne pense plus, ma fille, à ton ingrat Phinée : C'est à ce grand héros que le sort t'a donnée ; C'est pour lui que le ciel te destine aujourd'hui ; Il est digne de toi, rends-toi digne de lui."")","('#meduse', ""Mon terrible secours vous est-il nécessaire ? De superbes mortels osent-ils vous déplaire ? Faut-il vous en venger ? Faut-il armer contre eux Le funeste courroux de mes serpents affreux ? Où faut-il que ma fureur vole ? Vous n'avez qu'à nommer l'empire malheureux Que vous voulez que je désole."")",0.4,Substitution
181,"('#persee', ""Il faut la mériter par mille autres services ; Un peu d'espoir suffit pour de tels sacrifices. Princesse, cependant quittez ces tristes lieux, Pour rendre à votre cour tout l'éclat de vos yeux. Ces vents, ces mêmes vents qui vous ont enlevée, Vont rendre de tout point ma victoire achevée : L'ordre que leur prescrit mon père Jupiter Jusqu'en votre palais les force à vous porter, Les force à vous remettre où tantôt leur surprise..."")","('#mercure', ""C'est toujours mon plus cher désir De voir tout l'univers dans une paix profonde. Ne vous lassez-vous point du barbare plaisir De troubler le repos du monde !"")",0.55,Substitution
182,"('#andromede', ""D'une frayeur mortelle à peine encore remise, Pardonnez, grand héros, si mon étonnement N'a pas la liberté d'aucun remerciement."")","('#meduse', ""Puis-je causer jamais des malheurs assez grands Au gré de la fureur qui de mon coeur s'empare ? C'est des dieux que j'apprends À devenir barbare."")",1.18,Substitution
183,"('#persee', 'Venez, tyrans des mers, réparer votre crime, Venez restituer cette illustre victime ; Méritez votre grâce, impétueux mutins, Par votre obéissance au maître des destins.')","('#mercure', ""Il est vrai qu'un fatal courroux A trop éclaté contre vous ; Vous n'avez eu que trop de charmes. Sans Pallas, sans ses rigueurs, Vous n'auriez troublé les coeurs Que par de douces alarmes."")",0.18,Substitution
184,"('#cassiope', ""Peuple, qu'à pleine voix l'allégresse publique Après un tel miracle en triomphe s'explique, Et fasse retentir sur ce rivage heureux L'immortelle valeur d'un bras si généreux."")","('#meduse', ""Que sert-il de m'entretenir D'un bien trop tôt passé, qui ne peut revenir ? Je n'en ressens que trop la perte irréparable ! Ah ! quand on se trouve effroyable, Que c'est un cruel souvenir De songer que l'on fut aimable !"")",0.8,Substitution
185,"('#le-choeur', ""Le monstre est mort, crions victoire, Victoire tous, victoire à pleine voix ; Que nos campagnes et nos bois Ne résonnent que de sa gloire. Princesse, elle vous donne enfin l'illustre époux Qui seul était digne de vous. Vous êtes sa digne conquête. Victoire tous, victoire à son amour ! C'est lui qui nous rend ce beau jour, C'est lui qui calme la tempête ; Et c'est lui qui vous donne enfin l'illustre époux Qui seul était digne de vous."")","('#mercure', ""Je ne puis, dans votre malheur, Vous offrir qu'un sommeil paisible."")",1.35,Substitution
186,,"('#meduse', 'Avec une vive douleur Le repos est incompatible.')",1.0,Deletion
187,"('#cassiope', ""Dieux ! J'étais sur ces bords immobile de joie. Allons voir où ces vents ont reporté leur proie, Embrasser ce vainqueur, et demander au roi L'effet du juste espoir qu'il a reçu de moi."")","('#mercure', ""Ô tranquille sommeil, que vous êtes charmant ! Que vous faites sentir un doux enchantement Dans la plus triste solitude ! Votre divin pouvoir calme l'inquiétude Vous savez adoucir le plus cruel tourment. Ô tranquille sommeil, que vous êtes charmant ! Jouissez du repos dans ce lieux solitaire. Aux Gorgornes."")",1.0,Substitution
188,"('#cymodoce', 'Ainsi notre colère est de tout point bravée ; Ainsi notre victime à nos yeux enlevée Va croître les douceurs de ses contentements Par le juste mépris de nos ressentiments.')","('#meduse #euryale #stenone', ""Non, ce n'est que pour la colère Que nos coeurs malheureux sont faits : Non, le repos ne peut nous plaire ; Nous y renonçons pour jamais. Non, ce n'est que pour la colère, etc."")",0.66,Substitution
189,"('#ephyre', ""Toute notre fureur, toute notre vengeance Semble avec son destin être d'intelligence, N'agir qu'en sa faveur ; et ses plus rudes coups Ne font que lui donner un plus illustre époux."")","('#mercure', 'Il faut céder, il faut vous rendre Au charme qui va vous surprendre.')",0.93,Substitution
190,"('#cydippe', ""Le sort, qui jusqu'ici nous a donné le change, Immole à ses beautés le monstre qui nous venge ; Du même sacrifice, et dans le même lieu, De victime qu'elle est, elle devient le dieu. Cessons dorénavant, cessons d'être immortelles, Puisque les immortels trahissent nos querelles, Qu'une beauté commune est plus chère à leurs yeux ; Car son libérateur est sans doute un des dieux. Autre qu'un dieu n'eût pu nous ôter cette proie Autre qu'un dieu n'eût pu prendre une telle voie ; Et ce cheval ailé fût péri mille fois, Avant que de voler sous un indigne poids."")","('#meduse #euryale #stenone', ""Il faut nous rendre malgré nous Au charme d'un sommeil trop doux. Les trois Gorgones s'endorment."")",1.06,Substitution
191,"('#cymodoce', ""Oui, c'est sans doute un dieu qui vient de la défendre : Mais il n'est pas, mes soeurs, encore temps de nous rendre ; Et puisqu'un dieu pour elle ose nous outrager, Il faut trouver aussi des dieux à nous venger. Du sang de notre monstre encore toutes teintes, Au palais de Neptune allons porter nos plaintes, Lui demander raison de l'immortel affront Qu'une telle défaite imprime à notre front."")","('#mercure', ""Persée, approchez-vous ; Méduse est endormie. Avancez sans bruit ; surprenez Une si terrible ennemie. Si vous osez la voir, c'est fait de votre vie."")",0.66,Substitution
192,"('#cydippe', ""Je crois qu'il nous prévient ; les ondes en bouillonnent ; Les conques des tritons dans ces rochers résonnent : c'est lui-même, parlons."")",,1.0,Insertion
193,"('#neptune', ""Je sais vos déplaisirs, Mes filles ; et je viens au bruit de vos soupirs, De l'affront qu'on vous fait plus que vous en colère. C'est moi que tyrannise un superbe de frère, Qui dans mon propre état m'osant faire la loi, M'envoie un de ses fils pour triompher de moi. Qu'il règne dans le ciel, qu'il règne sur la terre ; Qu'il gouverne à son gré l'éclat de son tonnerre ; Que même du destin il soit indépendant ; Mais qu'il me laisse à moi gouverner mon trident. C'est bien assez pour lui d'un si grand avantage, Sans me venir braver encore dans mon partage. Après cet attentat sur l'empire des mers, Même honte à leur tour menace les enfers ; Aussi leur souverain prendra notre querelle : Je vais l'intéresser avec Junon pour elle ; Et tous trois, assemblant notre pouvoir en un, Nous saurons bien dompter notre tyran commun. Adieu : consolez-vous, nymphes trop outragées ; Je périrai moi-même, ou vous serez vengées ; Et j'ai su du destin, qui se ligue avec nous, Qu'Andromède ici-bas n'aura jamais d'époux."")","('#cephee', ""Je suivrai les conseils que vous m'avez donnés."")",1.52,Substitution
194,"('#cymodoce', ""Après le doux espoir d'une telle promesse, Reprenons, chères soeurs, une entière allégresse."")",,1.0,Insertion
195,"('#persee', ""Que me permettez-vous, madame, d'espérer ? Mon amour jusqu'à vous a-t-il lieu d'aspirer ? Et puis-je, en cette illustre et charmante journée, Prétendre jusqu'au coeur que possédait Phinée ?"")","('#mercure', ""Je vous laisse au milieu d'un péril redoutable ; Je ne puis plus rien pour vos jours ; Cherchez votre dernier secours Dans un courage inébranlable."")",1.05,Substitution
196,"('#andromede', ""Laissez-moi l'oublier, puisqu'on me donne à vous ; Et s'il l'a possédé, n'en soyez point jaloux. Le choix du roi l'y mit, le choix du roi l'en chasse ; Ce même choix du roi vous y donne sa place ; N'exigez rien de plus : je ne sais point haïr, Je ne sais point aimer, mais je sais obéir : Je sais porter ce coeur à tout ce qu'on m'ordonne, Il suit aveuglément la main qui vous le donne : De sorte, grand héros, qu'après le choix du roi, Ce que vous demandez est plus à vous qu'à moi."")","('#cephee', ""Un prix qui me doit charmer M'est offert par la Victoire : Quel péril peut m'alarmer ? L'amour et la gloire S'unissent pour m'animer. Mercure se retire, Persée, tenant son bouclier devant ses yeux, approche de Méduse ; il lui coupe la tête, et la cacha dans une écharpe pour l'emporter avec lui."")",0.57,Substitution
197,"('#persee', ""Que je puisse abuser ainsi de sa puissance ! Hasarder vos plaisirs sur votre obéissance ! Et de libérateur de vos rares beautés M'élever en tyran dessus vos volontés ! Princesse, mon bonheur vous aurait mal servie, S'il vous faisait esclave en vous rendant la vie, Et s'il n'avait sauvé des jours si précieux Que pour les attacher sous un joug odieux. C'est aux courages bas, c'est aux amants vulgaires, À faire agir pour eux l'autorité des pères. Souffrez à mon amour des chemins différents. J'ai vu parler pour moi les dieux et vos parents ; Je sens que mon espoir s'enfle de leur suffrage ; Mais je n'en veux enfin tirer autre avantage Que de pouvoir ici faire hommage à vos yeux Du choix de vos parents et du vouloir des dieux. Ils vous donnent à moi, je vous rends à vous-même ; Et comme enfin c'est vous, et non pas moi, que j'aime, J'aime mieux m'exposer à perdre un bien si doux, Que de vous obtenir d'un autre que vous. Je garde cet espoir et hasarde le reste, Et me soit votre choix ou propice ou funeste, Je bénirai l'arrêt qu'en feront vos désirs, Si ma mort vous épargne un peu de déplaisirs. Remplissez mon espoir ou trompez mon attente, Je mourrai sans regret, si vous vivez contente ; Et mon trépas n'aura que d'aimables moments, S'il vous ôte un obstacle à vos contentements."")","('#cephee', ""Le monde est délivré d'un monstre si terrible ; Le ciel s'est servi de mon bras."")",0.61,Substitution
198,"('#andromede', ""C'est trop d'être vainqueur dans la même journée Et de ma retenue et de ma destinée. Après que par le roi vos voeux sont exaucés, Vous parler d'obéir c'était vous dire assez ; Mais vous voulez douter, afin que je m'explique, Et que votre victoire en devienne publique. Sachez donc..."")","('#euryale #stenone', ""Tu fais périr Méduse ! Ah ! Traître ! Tu mourras.. Qu'il meure d'un trépas horrible ! Mais qui peut le rendre invisible... ? Méduse après sa mort trouble encor l'univers ; C'est son sang qui produit tant de monstres divers, Monstres, cherchez votre victime ; Vengez le sang qui vous anime, Servez nos fureurs, armez-vous ; Vengeons Méduse ; vengeons-nous. Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir. Chrysaor, Pégase et plusieurs autres monstres de figure bizarre et terrible, se forment du sang de Méduse. Chrysaor et Pégase volent, quelques-uns des autres monstres s'élèvent aussi dans l'air, quelques autres rampent, les autres courent, et tous cherchent Persée, qui est caché à leurs yeux par la vertu du casque."")",0.71,Substitution
