,la-fontaine-daphne,moliere-amants-magnifiques,Cost,Operation Type
226,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#menandre', ""Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux amants."")",0.18,Substitution
227,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#tircis', ""Je la vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'ingrate, hélas ! N'y viendrait pas."")",0.56,Substitution
228,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')","('#caliste', ""Ah que sur notre coeur La sévère loi de l'honneur Prend un cruel empire ! Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ces cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre, C'est à vous seuls que je le dis, Arbres, n'allez pas le redire. Puisque le ciel a voulu nous former Avec un coeur qu'Amour peut enflammer, Quelle rigueur impitoyable Contre des traits si doux nous force à nous armer, Et pourquoi, sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable ? Hélas ! Que vous êtes heureux, Innocents animaux, de vivre sans contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux : Hélas ! Petits oiseaux, que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux. Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui toute entière, Nous n'avons point de loi sévère Qui défende à nos sens d'en goûter la douceur."")",1.21,Substitution
229,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
230,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#tircis', 'Vers ma belle ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.')",0.84,Substitution
231,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')",1.32,Substitution
232,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#tircis', ""Silence, petits oiseaux, Vents, n'agitez nulle chose, Coulez doucement ruisseaux, C'est Caliste qui repose."")",0.97,Substitution
233,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')",1.1,Substitution
234,"('#telamon', ""N'en saurai-je pas plus ?"")","('#caliste', 'Ah Quelle peine extrême ! Suivre partout mes pas.')",1.35,Substitution
235,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
236,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#tircis', ""Que voulez-vous qu'on suive, hélas ! Que ce qu'on aime ?"")",1.06,Substitution
237,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#caliste', 'Berger, que voulez-vous ?')",1.54,Substitution
238,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#tircis', 'Mourir, belle Bergère, Mourir à vos genoux, Et finir ma misère, Puisque en vain à vos pieds on me voit soupirer, Il y faut expirer.')",0.73,Substitution
239,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#caliste', ""Ah Tircis, ôtez-vous, j'ai peur que dans ce jour La pitié dans mon coeur n'introduise l'amour."")",0.69,Substitution
240,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#lycaste #menandre', ""Soit amour, soit pitié, Il sied bien d'être tendre ; C'est par trop vous défendre Bergère, il faut se rendre À sa longue amitié, Soit amour, soit pitié, Il sied bien d'être tendre."")",0.56,Substitution
241,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#caliste', ""C'est trop, c'est trop de rigueur, J'ai maltraité votre ardeur, Chérissant votre personne, Vengez-vous de mon coeur Tircis, je vous le donne."")",0.29,Substitution
242,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#tircis', ""Ô Ciel ! Bergers !  Caliste !  Ah je suis hors de moi. Si l'on meurt de plaisir je dois perdre la vie."")",0.94,Substitution
243,,"('#lycaste', 'Digne prix de la foi !')",1.0,Deletion
244,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#menandre', ""Ô sort digne d'envie !"")",1.13,Substitution
245,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')","('#premier-satyre', 'Quoi ? Tu me fuis ingrate, et je te vois ici De ce berger à moi faire une préférence ?')",0.66,Substitution
246,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#deuxieme-satyre', ""Quoi mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton coeur s'est adouci ?"")",1.14,Substitution
247,"('#leucippe', 'Et mon bien ?')",,1.0,Insertion
248,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#caliste', 'Le destin le veut ainsi, Prenez tous deux patience.')",1.04,Substitution
249,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#premier-satyre', ""Aux amants qu'on pousse à bout L'amour fait verser des larmes : Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout."")",0.76,Substitution
250,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#deuxieme-satyre', ""Notre amour n'a pas toujours Tout le bonheur qu'il désire : Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours."")",1.23,Substitution
251,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#tous', ""Champêtres Divinités, Faunes, Dryades, sortez De vos paisibles retraites ; Mêlez vos pas à nos sons, Et tracez sur les herbettes L'image de nos chansons. PREMIÈRE ENTRÉE DE BALLET. En même temps, six dryades et six faunes sortent de leurs demeures, et font ensemble une danse agréable, qui, s'ouvrant tout d'un coup, laisse voir un berger et une bergère, qui font en musique une petite scène d'un dépit amoureux."")",1.24,Substitution
252,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")","('#philinte', ""Quand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Roi ni Dieux Dont le sort me fît envie."")",1.35,Substitution
253,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#climene', ""Lorsqu'à toute autre personne Me préférait ton ardeur, J'aurais quitté la couronne Pour régner dessus ton coeur."")",0.84,Substitution
254,"('#telamon', 'Changera-t-il son âme ?')","('#philinte', ""Une autre a guéri mon âme Des feux que j'avais pour toi."")",0.87,Substitution
255,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')","('#climene', 'Un autre a vengé ma flamme Des faiblesses de ta foi.')",1.77,Substitution
256,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#philinte', ""Cloris, qu'on vante si fort, M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort, Je mourrais content pour elle."")",0.92,Substitution
257,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#climene', ""Myrtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amour."")",1.12,Substitution
258,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')","('#philinte', ""Mais si d'une douce ardeur Quelque renaissante trace Chassait Cloris de mon coeur Pour te remettre en sa place."")",1.12,Substitution
259,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",,1.0,Insertion
260,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
261,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",,1.0,Insertion
262,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",,1.0,Insertion
263,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#climene', ""Bien qu'avec pleine tendresse Myrtil me puisse chérir, Avec toi, je le confesse, Je voudrais vivre et mourir."")",1.07,Substitution
264,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")","('#tous-deux', 'Ah plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.')",1.64,Substitution
265,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
266,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
267,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#tous-les-acteurs', ""Amants, que vos querelles Sont aimables et belles, Qu'on y voit succéder De plaisirs, de tendresse, Querellez-vous sans cesse Pour vous raccommoder. Amants, que vos querelles Sont aimables et belles, etc. Les faunes et les dryades recommencent leur danse, que les bergères et bergers musiciens entremêlent de leurs chansons, tandis que trois petites dryades et trois petits faunes, font paraître dans l'enfoncement du théâtre, tout ce qui se passe sur le devant."")",0.3,Substitution
268,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#bergers #bergeres', ""Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens, Des grandeurs, qui voudra se soucie, Tous ces honneurs dont on a tant d'envie Ont des chagrins qui sont trop vieillissants : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens. En aimant tout nous plaît dans la vie, Deux coeurs unis de leur sort sont contents, Cette ardeur de plaisirs suivie, De tous nos jours fait d'éternels printemps : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens."")",0.43,Substitution
269,,"('#aristione', ""Les mêmes paroles toujours se présentent à dire.  Il faut toujours s'écrier voilà qui est admirable, il ne se peut rien de plus beau, cela passe tout ce qu'on a jamais vu. "")",1.0,Deletion
270,,"('#timocles', ""C'est donner de trop grandes paroles, Madame, à de petites bagatelles."")",1.0,Deletion
271,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')","('#aristione', ""Des bagatelles comme celles-là peuvent occuper agréablement les plus sérieuses personnes.  En vérité, ma Fille, vous êtes bien obligée à ces Princes, et vous ne sauriez assez reconnaître tous les soins qu'ils prennent pour vous."")",1.23,Substitution
272,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#eriphile', ""J'en ai, Madame, tout le ressentiment qu'il est possible."")",1.22,Substitution
273,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#aristione', ""Cependant vous les faites longtemps languir, sur ce qu'ils attendent de vous.  J'ai promis de ne vous point contraindre, mais leur amour vous presse de vous déclarer, et de ne plus traîner en longueur la récompense de leurs services.  J'ai chargé Sostrate d'apprendre doucement de vous les sentiments de votre coeur, et je ne sais pas s'il a commencé à s'acquitter de cette commission."")",0.32,Substitution
274,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#eriphile', ""Oui, Madame, mais il me semble que je ne puis assez reculer ce choix dont on me presse, et que je ne saurais le faire sans mériter quelque blâme.  Je me sens également obligée à l'amour, aux empressements, aux services de ces deux Princes, et je trouve une espèce d'injustice bien grande à me montrer ingrate, ou vers l'un, ou vers l'autre, par le refus qu'il m'en faudra faire dans la préférence de son rival."")",0.95,Substitution
275,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")","('#iphicrate', ""Cela s'appelle, Madame, un fort honnête compliment pour nous refuser tous deux."")",1.05,Substitution
276,,"('#aristione', 'Ce scrupule, ma Fille, ne doit point vous inquiéter, et ces Princes tous deux se sont soumis il y a longtemps à la préférence que pourra faire votre inclination.')",1.0,Deletion
277,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")","('#eriphile', ""L'inclination, Madame, est fort sujette à se tromper, et des yeux désintéressés sont beaucoup plus capables de faire un juste choix."")",1.14,Substitution
278,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#aristione', 'Vous savez que je suis engagée de parole à ne rien prononcer là-dessus, et, parmi ces deux Princes, votre inclination ne peut point se tromper, et faire un choix qui soit mauvais.')",1.28,Substitution
279,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#eriphile', ""Pour ne point violenter votre parole, ni mon scrupule, agréez, Madame, un moyen que j'ose proposer."")",1.21,Substitution
280,,"('#aristione', 'Quoi, ma Fille ?')",1.0,Deletion
281,,"('#eriphile', ""Que Sostrate décide de cette préférence.  Vous l'avez pris pour découvrir le secret de mon coeur : souffrez que je le prenne pour me tirer de l'embarras où je me trouve."")",1.0,Deletion
282,,"('#aristione', ""J'estime tant Sostrate que, soit que vous vouliez vous servir de lui pour expliquer vos sentiments, ou soit que vous vous en remettiez absolument à sa conduite ; je fais, dis-je, tant d'estime de sa vertu et de son jugement, que je consens de tout mon coeur, à la proposition que vous me faites."")",1.0,Deletion
283,,"('#iphicrate', ""C'est-à-dire, Madame, qu'il nous faut faire notre cour à Sostrate ?"")",1.0,Deletion
284,,"('#sostrate', ""Non, Seigneur, vous n'aurez point de cour à me faire, et avec tout le respect que je dois aux Princesses, je renonce à la gloire où elles veulent m'élever."")",1.0,Deletion
285,,"('#aristione', ""D'où vient cela, Sostrate ?"")",1.0,Deletion
286,,"('#sostrate', ""J'ai des raisons, Madame, qui ne permettent pas que je reçoive l'honneur que vous me présentez."")",1.0,Deletion
287,,"('#iphicrate', 'Craignez-vous, Sostrate, de vous faire un ennemi ?')",1.0,Deletion
288,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')","('#sostrate', 'Je craindrais peu, Seigneur, les ennemis que je pourrais me faire en obéissant à mes souveraines.')",1.19,Substitution
289,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#timocles', ""Par quelle raison donc refusez-vous d'accepter le pouvoir qu'on vous donne, et de vous acquérir l'amitié d'un Prince qui vous devrait tout son bonheur ?"")",1.37,Substitution
290,,"('#sostrate', ""Par la raison que je ne suis pas en état d'accorder à ce Prince ce qu'il souhaiterait de moi."")",1.0,Deletion
291,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
292,"('#aminte', 'Aurait-elle mieux répondu ?')","('#iphicrate', 'Quelle pourrait être cette raison ?')",0.01,Substitution
293,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#sostrate', ""Pourquoi me tant presser là-dessus ?  Peut-être ai-je, Seigneur, quelque intérêt secret qui s'oppose aux prétentions de votre amour.  Peut-être ai-je un ami qui brûle sans oser le dire, d'une flamme respectueuse pour les charmes divins dont vous êtes épris.  Peut-être cet ami me fait-il tous les jours confidence de son martyre ; qu'il se plaint à moi tous les jours des rigueurs de sa destinée, et regarde l'hymen de la Princesse, ainsi que l'arrêt redoutable qui le doit pousser au tombeau ; et si cela était, Seigneur, serait-il raisonnable que ce fût de ma main qu'il reçût le coup de sa mort ?"")",1.55,Substitution
294,,"('#iphicrate', ""Vous auriez bien la mine, Sostrate, d'être vous-même cet ami dont vous prenez les intérêts."")",1.0,Deletion
295,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#sostrate', ""Ne cherchez point, de grâce, à me rendre odieux aux personnes qui vous écoutent ; je sais me connaître, Seigneur, et les malheureux comme moi n'ignorent pas jusques où leur fortune leur permet d'aspirer."")",1.16,Substitution
296,,"('#aristione', ""Laissons cela, nous trouverons moyen de terminer l'irrésolution de ma fille."")",1.0,Deletion
297,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#anaxarque', ""En est-il un meilleur, Madame, pour terminer les choses au contentement de tout le monde, que les lumières que le Ciel peut donner sur ce mariage ?  J'ai commencé, comme je vous ai dit, à jeter pour cela les figures mystérieuses que notre art nous enseigne, et j'espère vous faire voir tantôt ce que l'avenir garde à cette union souhaitée.  Après cela pourra-t-on balancer encore ?  La gloire et les prospérités que le Ciel promettra, ou à l'un, ou à l'autre choix, ne seront-elles pas suffisantes pour le déterminer, et celui qui sera exclus, pourra-t-il s'offenser quand ce sera le Ciel qui décidera cette préférence ?"")",0.27,Substitution
298,,"('#iphicrate', ""Pour moi, je m'y soumets entièrement, et je déclare que cette voie me semble la plus raisonnable."")",1.0,Deletion
299,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")","('#timocles', 'Je suis de même avis, et le Ciel ne saurait rien faire où je ne souscrive sans répugnance.')",1.61,Substitution
300,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#eriphile', 'Mais, Seigneur Anaxarque, voyez-vous si clair dans les destinées, que vous ne vous trompiez jamais, et ces prospérités, et cette gloire que vous dites que le Ciel nous promet, qui en sera caution, je vous prie ?')",1.66,Substitution
301,,"('#aristione', 'Ma fille, vous avez une petite incrédulité qui ne vous quitte point.')",1.0,Deletion
302,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#anaxarque', ""Les épreuves, Madame, que tout le monde a vues de l'infaillibilité de mes prédictions, sont les cautions suffisantes des promesses que je puis faire.  Mais enfin, quand je vous aurai fait voir ce que le Ciel vous marque, vous vous réglerez là-dessus, à votre fantaisie, et ce sera à vous à prendre la fortune de l'un, ou de l'autre choix."")",0.48,Substitution
303,,"('#eriphile', ""Le Ciel, Anaxarque, me marquera les deux fortunes qui m'attendent ?"")",1.0,Deletion
304,,"('#anaxarque', ""Oui, Madame, les félicités qui vous suivront, si vous épousez l'un, et les disgrâces qui vous accompagneront, si vous épousez l'autre."")",1.0,Deletion
305,,"('#eriphile', ""Mais comme il est impossible que je les épouse tous deux, il faut donc qu'on trouve écrit dans le Ciel, non seulement ce qui doit arriver, mais aussi ce qui ne doit pas arriver."")",1.0,Deletion
306,,"('#clitidas', 'Voilà mon astrologue embarrassé.')",1.0,Deletion
307,,"('#anaxarque', ""Il faudrait vous faire, Madame, une longue discussion des principes de l'astrologie pour vous faire comprendre cela."")",1.0,Deletion
308,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")","('#clitidas', ""Bien répondu.  Madame, je ne dis point de mal de l'astrologie, l'astrologie est une belle chose, et le Seigneur Anaxarque est un grand homme."")",1.7,Substitution
309,,"('#iphicrate', ""La vérité de l'astrologie est une chose incontestable, et il n'y a personne qui puisse disputer contre la certitude de ses prédictions."")",1.0,Deletion
310,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")","('#clitidas', 'Assurément.')",1.68,Substitution
311,,"('#timocles', ""Je suis assez incrédule pour quantité de choses, mais pour ce qui est de l'astrologie, il n'y a rien de plus sûr et de plus constant, que le succès des horoscopes qu'elle tire."")",1.0,Deletion
312,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")","('#clitidas', 'Ce sont des choses les plus claires du monde.')",1.28,Substitution
313,,"('#iphicrate', 'Cent aventures prédites arrivent tous les jours, qui convainquent les plus opiniâtres.')",1.0,Deletion
314,,"('#clitidas', 'Il est vrai.')",1.0,Deletion
315,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")","('#timocles', 'Peut-on contester sur cette matière les incidents célèbres, dont les histoires nous font foi ?')",1.48,Substitution
316,,"('#clitidas', ""Il faut n'avoir pas le sens commun.  Le moyen de contester ce qui est moulé."")",1.0,Deletion
317,,"('#aristione', ""Sostrate n'en dit mot, quel est son sentiment là-dessus ?"")",1.0,Deletion
318,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#sostrate', ""Madame, tous les esprits ne sont pas nés avec les qualités qu'il faut pour la délicatesse de ces belles sciences, qu'on nomme curieuses, et il y en a de si matériels, qu'ils ne peuvent aucunement comprendre ce que d'autres conçoivent le plus facilement du monde.  Il n'est rien de plus agréable, Madame, que toutes les grandes promesses de ces connaissances sublimes.  Transformer tout en or, faire vivre éternellement, guérir par des paroles, se faire aimer de qui l'on veut, savoir tous les secrets de l'avenir, faire descendre comme on veut du ciel sur des métaux des impressions de bonheur, commander aux démons, se faire des armées invisibles et des soldats invulnérables.  Tout cela est charmant, sans doute, et il y a des gens qui n'ont aucune peine à en comprendre la possibilité, cela leur est le plus aisé du monde à concevoir ; mais pour moi, je vous avoue que mon esprit grossier a quelque peine à le comprendre, et à le croire, et j'ai toujours trouvé cela trop beau pour être véritable.  Toutes ces belles raisons de sympathie, de force magnétique et de vertu occulte, sont si subtiles et délicates, qu'elles échappent à mon sens matériel, et sans parler du reste, jamais il n'a été en ma puissance de concevoir comme on trouve écrit dans le ciel jusqu'aux plus petites particularités de la fortune du moindre homme.  Quel rapport, quel commerce, quelle correspondance peut-il y avoir entre nous et des globes, éloignés de notre terre d'une distance si effroyable, et d'où cette belle science, enfin, peut-elle être venue aux hommes ?  Quel dieu l'a révélée, ou quelle expérience l'a pu former, de l'observation de ce grand nombre d'astres qu'on n'a pu voir encore deux fois dans la même disposition ?"")",1.27,Substitution
319,,"('#anaxarque', 'Il ne sera pas difficile de vous le faire concevoir.')",1.0,Deletion
320,,"('#sostrate', 'Vous serez plus habile que tous les autres.')",1.0,Deletion
321,,"('#clitidas', 'Il vous fera une discussion de tout cela quand vous voudrez.')",1.0,Deletion
322,,"('#iphicrate', ""Si vous ne comprenez pas les choses, au moins les pouvez-vous croire, sur ce que l'on voit tous les jours."")",1.0,Deletion
323,,"('#sostrate', ""Comme mon sens est si grossier qu'il n'a pu rien comprendre, mes yeux aussi sont si malheureux qu'ils n'ont jamais rien vu."")",1.0,Deletion
324,,"('#iphicrate', ""Pour moi j'ai vu, et des choses tout à fait convaincantes."")",1.0,Deletion
325,,"('#timocles', 'Et moi aussi.')",1.0,Deletion
326,,"('#sostrate', 'Comme vous avez vu, vous faites bien de croire, et il faut que vos yeux soient faits autrement que les miens.')",1.0,Deletion
327,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#iphicrate', ""Mais enfin, la Princesse croit à l'astrologie, et il me semble qu'on y peut bien croire après elle.  Est-ce que Madame, Sostrate, n'a pas de l'esprit et du sens ?"")",1.17,Substitution
