,dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Cost,Operation Type
521,"('#l-intendante', 'Ah !  Le moyen de vivre, après un coup comme celui-là.  On ne jouera plus au lansquenet !')",,1.0,Insertion
522,"('#lisette', ""Allons, allons, Madame, contre fortune bon coeur ; vous jouerez à quelqu'autre jeu, où vous gagnerez davantage."")","('#le-marquis', ""Vous avez raison.  Comme j'ai grands fonds de crédit, moi, il faudrait pour diversifier les choses, que la Dame eût grands fonds de terre."")",0.6,Substitution
523,"('#clitandre', ""Vous le voyez, Madame, la publication est pour tout le monde, et vous ne pouvez pas dire qu'une intendante ne soit une personne de fort grosse qualité."")","('#madame-thibaut', 'Je connais une certaine veuve de marchand de marée, qui a plus de quatre cent bonnes mille livres, si vous vouliez vous en accommodez ?')",1.04,Substitution
524,,"('#le-marquis', ""Si je le veux ?  Quatre cent mille livres !  Où loge-t-elle ?  Je veux qu'elle me voie dans mon carrosse."")",1.0,Deletion
525,,"('#madame-thibaut', 'Elle a soixante ans, Monsieur_le_Marquis.')",1.0,Deletion
526,,"('#le-marquis', ""Vous moquez-vous ?  Je prends garde à l'argent, et non pas aux années.  Soixante ans !  Je la trouve jeune, et si quelque chose me chagrine, c'est qu'elle n'en ait pas quatre-vingt ; quand la peut-on voir ?"")",1.0,Deletion
527,,"('#madame-thibaut', ""Je vais tout à l'heure envoyer chez elle.  Passez ici demain, je vous rendrai réponse."")",1.0,Deletion
528,,"('#le-marquis', 'À demain matin, soit.  Serviteur, Madame Thibaut.')",1.0,Deletion
529,,"('#madame-thibaut', 'Adieu, Monsieur_le_Marquis.')",1.0,Deletion
530,,"('#le-marquis', 'Si je deviens marchand de marée, tu peux compter sur trois cents pistoles.')",1.0,Deletion
531,"('#l-intendante', ""Eh !  Mon pauvre Clitandre, que me sert-il d'en avoir la qualité ?  Ai-je plus de privilège que les autres ?  Et le lansquenet...  Ah !  Lisette, je me meurs !"")","('#madame-thibaut', ""La fatigante chose que le métier dont je me mêle !  Si j'étais bien sûre de Cléante, je prendrais le parti d'y renoncer ; mais dans l'incertitude de pouvoir réussir dans mes affaires, il est toujours bon de continuer à me mêler de celles de tout le monde."")",0.96,Substitution
532,,"('#madame-thibaut', ""Ah, ah !  C'est vous, Monsieur, je vous trouve bien hardi de m'avoir renvoyé cette Nourrice, et de revenir encore chez moi ?"")",1.0,Deletion
533,"('#lisette', ""Madame a raison ; quoiqu'elle soit femme de qualité, le lansquenet n'est-il pas aussi bien défendu pour elle que pour sa belle-soeur, qui n'est que la femme d'un apothicaire ?"")","('#le-maitre-a-chanter', ""Ah !  Qu'un ton de colère vous sied mal, Madame Thibaud ; si votre voix ne peut aller jusques là."")",1.07,Substitution
534,,"('#madame-thibaut', ""Écoutez, ne me faites pas prendre mon sérieux là-dessus, je vous prie, j'ai des amis qui..."")",1.0,Deletion
535,,"('#le-maitre-a-chanter', ""Il ne s'agit plus de cette affaire.  La Nourrice est contente, et je vous réponds que vous n'en entendrez plus parler."")",1.0,Deletion
536,"('#clitandre', 'Elle me ferait rire, malgré mon chagrin.')","('#madame-thibaut', 'Je suis bien aise de vous voir raisonnable.')",1.17,Substitution
537,,"('#le-maitre-a-chanter', ""Je le suis devenu de plus d'une manière, et je sens tout le tort que j'avais de me vouloir brouiller avec vous."")",1.0,Deletion
538,"('#lisette', ""Eh !  Allons, allons, Madame ?  Revenez à vous.  S'il vous plaît."")","('#madame-thibaut', ""Cela n'est rien, puisque vous revenez de bonne foi."")",0.83,Substitution
539,,"('#le-maitre-a-chanter', 'Je suis raccommodé avec Monsieur le Commandeur, je montrerai à sa petite Marchande.')",1.0,Deletion
540,,"('#madame-thibaut', 'Vous prenez le bon parti.')",1.0,Deletion
541,,"('#le-maitre-a-chanter', 'Ils se sont mis à la raison, enfin.')",1.0,Deletion
542,,"('#madame-thibaut', ""Elle apprendra de vos airs préférablement à ceux de l'Opéra."")",1.0,Deletion
543,,"('#le-maitre-a-chanter', ""Monsieur le commandeur est entré dans ce goût-là, et je dois lui faire entendre ici dès aujourd'hui un petit concert de ma composition, qui, à ce que je me persuade, achèvera de le déterminer.  Vous voulez bien nous prêter votre logis ?"")",1.0,Deletion
544,,"('#madame-thibaut', 'Vous savez bien que je suis toute au service de Monsieur le Commandeur.')",1.0,Deletion
545,,"('#le-maitre-a-chanter', ""J'ai si fort compté là-dessus, que j'ai déjà donné ordre qu'on apportât tous les instruments de musique dont nous aurons besoin."")",1.0,Deletion
546,,"('#madame-thibaut', 'Vous avez fort bien fait.')",1.0,Deletion
547,"('#la-comtesse', ""Mais vraiment, c'est tout de bon qu'elle est évanouie."")","('#le-maitre-a-chanter', 'Vous serez charmée de ma musique.')",1.54,Substitution
548,"('#dorimene', 'Évanouie !')","('#madame-thibaut', ""J'en suis persuadée."")",1.03,Substitution
549,,"('#le-maitre-a-chanter', 'Je veux que vous en entendiez par avance un petit échantillon.')",1.0,Deletion
550,,"('#madame-thibaut', ""Je sais ce que vous savez faire, il n'est pas besoin."")",1.0,Deletion
551,,"('#le-maitre-a-chanter', ""Parbleu, vous l'entendrez en faveur de notre raccommodement."")",1.0,Deletion
552,,"('#madame-thibaut', ""Dépêchez-vous donc, j'ai quelques ordres à donner avant le concert."")",1.0,Deletion
553,"('#clitandre', ""Parbleu !  Il n'y a point à rire de cela, Mesdames."")","('#le-maitre-a-chanter', ""Quel objet charmant à mes yeux  Qu'une campagne où tout abonde ? Sur un coteau délicieux  Une Vigne fertile enchante tout le monde. L'abondance plaît en tous lieux. Mais, il n'est rien de plus fâcheux  Qu'une Maîtresse féconde. La, la, la, la. Hé bien, ce petit couplet, que vous en semble ?"")",1.27,Substitution
554,,"('#madame-thibaut', 'Il est fort joli, vraiment.')",1.0,Deletion
555,,"('#le-maitre-a-chanter', ""Et fort vrai, Madame Thibaut.  Vous le savez ; qui ne peut mais de la fécondité, en a souvent tout l'embarras."")",1.0,Deletion
556,,"('#madame-thibaut', 'Ne parlons plus de cela, je vous prie.')",1.0,Deletion
557,,"('#le-maitre-a-chanter', ""Jusqu'à tantôt, je ne vous dis pas adieu."")",1.0,Deletion
558,,"('#madame-thibaut', ""Je ne suis pas fâchée de son retour, et si mon mariage avec Cléante ne réussit pas, j'ai intérêt de ne point perdre mes créatures.  Qu'y a-t-il, Gabrillon ?"")",1.0,Deletion
559,,"('#gabrillon', ""C'est ce jeune Officier pour cette vaisselle d'argent."")",1.0,Deletion
560,"('#la-comtesse', ""Eh !  Tôt, tôt, de l'eau de la reine de Hongrie, du papier brûlé, du vinaigre : il faut commencer par la délacer."")","('#madame-thibaut', ""Si Cléante venait par hasard, fais-le monter dans ma chambre par cet escalier dérobé.  Je ne voudrais pas qu'il vît tout ce commerce."")",1.34,Substitution
561,,"('#gabrillon', 'Ne vous mettez pas en peine.')",1.0,Deletion
562,,"('#leandre', ""À la fin, je t'amène mon père."")",1.0,Deletion
563,"('#lisette', ""Bon, bon, laissez-moi faire seulement, j'ai dans ma poche un remède bien meilleur que tous ceux-là."")","('#madame-thibaut', ""À quoi songez-vous donc ?  Avez-vous perdu l'esprit ?  Vous m'envoyez de la vaisselle avec ordre de ne la vendre qu'à lui, sans m'avertir de ce qu'il faut dire."")",1.21,Substitution
564,,"('#leandre', 'Mon père va venir, ma chère Madame Thibaut.  Nous étions ensemble, il a rencontré son Procureur à ta porte, il cause avec lui dans son carrosse.')",1.0,Deletion
565,"('#dorimene', ""Un jeu de cartes !  Qu'en veux-tu faire ?"")","('#madame-thibaut', ""Apprenez-moi donc vite ce que c'est que cette vaisselle, d'où elle vient, sur quel pied il faut la lui vendre, et ce que vous voulez que je fasse de l'argent ?"")",1.33,Substitution
566,,"('#leandre', ""Je m'en vais t'en instruire en deux mots.  Cette vaisselle est celle de ma mère : tu sais bien que mon père et elle se sont volontairement séparés, parce que ma mère n'est pas bonne, et que mon père s'est ennuyé d'être trop bon."")",1.0,Deletion
567,,"('#madame-thibaut', 'Hé vite, vite, finissons, je sais tout cela.')",1.0,Deletion
568,,"('#leandre', 'Mais tu ne sais pas que depuis la séparation, ma mère a pris le temps que mon père était à la campagne, pour faire enlever de chez lui pour sept à huit cents pistoles de vieille vaisselle, que depuis trois jours elle a troquée pour de la neuve.')",1.0,Deletion
569,,"('#madame-thibaut', ""C'est donc une maîtresse femme, à ce que je vois ?"")",1.0,Deletion
570,,"('#leandre', 'Moi, qui suis aussi séparé de mon père et de ma mère : car il y a terriblement de séparations dans notre famille.')",1.0,Deletion
571,,"('#madame-thibaut', ""Cela n'en est quelquefois pas plus mal."")",1.0,Deletion
572,,"('#leandre', ""Je n'en suis pas fâché, je te l'avoue."")",1.0,Deletion
573,,"('#madame-thibaut', 'Dépêchez-vous donc de venir au fait.')",1.0,Deletion
574,"('#lisette', ""C'est un jeu de lansquenet, et il n'y a point de joueuse que cela ne ressuscite en moins de rien.  Vous allez voir."")","('#leandre', ""M'y voici.  Irrité de l'injustice de ma mère, comme je suis de profession à savoir ce que c'est que le droit de représailles, j'ai pris le temps que la bonne Dame était au bal, j'ai enlevé la vaisselle neuve, je l'ai fait apporter ici.  Mon père en veut acheter, tu vas la lui vendre, et par ce moyen il l'aura à bon marché.  La conscience de ma mère ne sera plus chargée de rien, et j'aurai de l'argent pour faire ma Compagnie."")",1.46,Substitution
575,"('#clitandre', 'Elle est folle, Madame.  Il faut songer sérieusement à cet évanouissement-là.')","('#madame-thibaut', ""Mais si l'affaire vient à être sue, à quoi m'exposez-vous ?"")",1.63,Substitution
576,,"('#leandre', ""Je prends tout sur moi, ne te mets pas en peine.  Il a sur lui trois cents pistoles, qu'il faut toujours prendre à bon compte."")",1.0,Deletion
577,,"('#madame-thibaut', 'Laissez-moi faire, vous pouvez compter ces trois cents pistoles dans votre poche.')",1.0,Deletion
578,"('#l-intendante', 'Ah !  Juste ciel !')","('#leandre', 'Il en entrera quelques-unes dans la tienne.  Mais voici mon père.')",2.0,Substitution
579,"('#lisette', 'Eh bien que vous ai-je dit ?')","('#dorante', 'Hé bien, Monsieur le Capitaine, est-ce Madame qui me doit faire si bon marché ?')",1.03,Substitution
580,,"('#madame-thibaut', ""Que vous avez-là un honnête Gentilhomme de fils, mon cher Monsieur !  Je lui suis vraiment bien obligée de me faire l'honneur de vous amener chez moi."")",1.0,Deletion
581,"('#la-comtesse', 'Voilà qui est tout à fait extraordinaire.')","('#dorante', ""D'où vient votre connaissance, Madame ?"")",1.41,Substitution
582,,"('#madame-thibaut', ""Je connais tout ce qu'il y a d'honnêtes gens, Monsieur."")",1.0,Deletion
583,,"('#dorante', ""C'est un compère qui me dépense bien de l'argent : il est Capitaine de Dragons, et il vit comme un Colonel."")",1.0,Deletion
584,,"('#leandre', ""Madame Thibaut le sait mieux qu'une autre.  Voulez-vous que nous voyions la vaisselle ?"")",1.0,Deletion
585,,"('#dorante', 'Je ne viens que pour cela, voyons.')",1.0,Deletion
586,,"('#madame-thibaut', 'Elle est là-dedans ; nous y passerons si vous voulez.')",1.0,Deletion
587,"('#lisette', ""C'est une belle chose que la sympathie.  N'est-il pas vrai ?"")","('#dorante', 'Très volontiers, allons.')",1.01,Substitution
588,"('#dorimene', 'Allons Madame.  Quel accablement est-ce là !')","('#madame-thibaut', ""Demeure-là, toi, et amuse Cléante en cas qu'il vienne."")",1.2,Substitution
589,,"('#lisette', ""Ma pauvre Gabrillon, ne sais-tu point ce qu'est devenu ce petit Dragon que tu as donné à Madame ?"")",1.0,Deletion
590,,"('#gabrillon', ""Non, vraiment : mais c'est mon neveu.  S'il a fait quelque sottise..."")",1.0,Deletion
591,,"('#lisette', ""Il a jasé mal à propos ; on lui a voulu donner le fouet, il s'en est enfui."")",1.0,Deletion
592,,"('#gabrillon', 'Ah le petit coquin !')",1.0,Deletion
593,,"('#lisette', ""Ne t'inquiète point, Madame le fera chercher."")",1.0,Deletion
594,"('#l-intendante', ""Je n'en reviendrai point, Madame, que vous ne ne m'ayez promis de m'accorder une grâce."")","('#gabrillon', ""S'il vient ici, je le ramènerai par les oreilles.  Mais à propos, il y a longtemps qu'on n'a fait de présents à ta maîtresse ; car il y a pour le moins quinze jours que nous ne t'avons vue."")",0.84,Substitution
595,,"('#lisette', 'En voici un de fraîche date ?')",1.0,Deletion
596,,"('#gabrillon', 'Ah la belle garniture, Lisette !')",1.0,Deletion
597,,"('#lisette', 'Madame Thibaut est-elle ici ?')",1.0,Deletion
598,"('#dorimene', 'Vous êtes en droit de me commander, Madame, je fais gloire de vous obéir.')","('#gabrillon', ""Tu n'as qu'à dire les intentions de ta maîtresse."")",1.18,Substitution
599,"('#l-intendante', 'Je suis bienheureuse que Madame_la_Comtesse et Clitandre se rencontrent ici.')","('#lisette', 'Elle doit venir tantôt ici avec son mari : elle lui a fait croire que vous aviez un très beau bureau à vendre.')",1.53,Substitution
600,,"('#gabrillon', 'Hé bien, que faudra-t-il faire ?')",1.0,Deletion
601,,"('#lisette', ""Hé, mais comme de coutume, montrer ces dentelles, dire qu'elles sont de hasard."")",1.0,Deletion
602,"('#clitandre', 'Puis-je vous être utile à quelque chose, Madame ?')","('#gabrillon', 'Lui viennent-elles du même Marchand dont elle a eu ces beaux habits, ce collier, ces bijoux, et cent autres choses dont nous avons fait si bon marché à son mari ?')",1.33,Substitution
603,,"('#lisette', 'Oh, vraiment non.')",1.0,Deletion
604,,"('#gabrillon', 'Elle se fournit donc à plusieurs boutiques ?')",1.0,Deletion
605,,"('#lisette', ""Si l'on ne prenait que chez un Marchand, on serait souvent mal assortie."")",1.0,Deletion
606,,"('#gabrillon', 'À combien les faudra-t-il laisser ?')",1.0,Deletion
607,,"('#lisette', 'Pour huit ou dix pistoles : car vois-tu, pour obliger Monsieur à les prendre...')",1.0,Deletion
608,,"('#gabrillon', ""Qu'il est heureux de trouver de ces hardes-là pour entretenir sa femme à si bon compte !  Il faut assurément qu'il soit né coiffé."")",1.0,Deletion
609,,"('#lisette', ""N'est-il pas vrai ?"")",1.0,Deletion
610,,"('#gabrillon', ""La bonne conduite de femme !  Des dentelles de l'un, des bijoux de l'autre : comme la dépense se partage !  Cela ne ruine personne, et avec le temps on ne laisse pas d'être des mieux nippées."")",1.0,Deletion
611,,"('#lisette', 'Voici justement ton petit neveu.')",1.0,Deletion
612,,"('#gabrillon', ""Ah, ah, petit coquin, que venez-vous faire ici ?  D'où vient que vous pleurez ?"")",1.0,Deletion
613,,"('#le-petit-dragon', 'Hin, hin, hin, hin.')",1.0,Deletion
614,,"('#lisette', 'Parlerez-vous, petit garçon ?')",1.0,Deletion
615,"('#la-comtesse', 'Je suis tout à votre service ; ordonnez, me voilà prête.')","('#le-petit-dragon', ""Laissez-moi là, s'il vous plaît."")",0.48,Substitution
616,,"('#gabrillon', 'À qui en a-t-il donc ?')",1.0,Deletion
617,,"('#le-petit-dragon', ""C'est elle, ma tante, qui me fait toujours gronder par Madame."")",1.0,Deletion
618,,"('#gabrillon', 'Vous avez fait quelque sottise ?')",1.0,Deletion
619,,"('#le-petit-dragon', ""Hé bien, ne voilà-t-il pas ?  Elle vous a déjà fait accroire que c'est moi qui ai dit à Monsieur, que Madame se faisait descendre tous les jours de carrosse dans la cour neuve du Palais, et puis qu'elle allait trouver Monsieur le Chevalier, qui l'attendait vis-à-vis saint Barthélemy dans un Fiacre."")",1.0,Deletion
620,,"('#lisette', 'Entendez-vous ce petit coquin ?')",1.0,Deletion
621,"('#l-intendante', ""Il viendra quelques personnes encore, que je prierai de la même chose, et je ne crois pas qu'elles me refusent."")","('#le-petit-dragon', ""Hé bien, cela est vrai.  Mais je ne l'ai pas dit, et si pourtant on me veut faire donner le fouet."")",1.18,Substitution
622,"('#dorimene', 'Parlez, Madame, que souhaitez-vous ?')","('#gabrillon', 'Qui, Madame ?')",0.21,Substitution
623,,"('#le-petit-dragon', 'Non, son petit mari.')",1.0,Deletion
624,,"('#gabrillon', 'Monsieur ?')",1.0,Deletion
625,,"('#le-petit-dragon', 'Non.')",1.0,Deletion
626,,"('#gabrillon', 'Qui donc ?')",1.0,Deletion
627,,"('#le-petit-dragon', 'Hé, ce vilain Chevalier.')",1.0,Deletion
628,"('#l-intendante', 'Je voudrais bien, Madame, que malgré la défense, nous jouissions encore de quelques reprises de lansquenet.')","('#lisette', 'Ce sera fort bien fait de vous étriller un peu, pour vous apprendre à causer une autre fois.')",1.1,Substitution
629,,"('#le-petit-dragon', ""Hin, il s'en repentira."")",1.0,Deletion
630,,"('#lisette', ""Qu'est-ce que vous dites ?"")",1.0,Deletion
631,,"('#le-petit-dragon', ""Il verra, il verra, si je ne dis pas qu'il a mordu Madame à l'oeil."")",1.0,Deletion
632,,"('#gabrillon', 'Et moi il me prend envie pour vous apprendre à parler, de vous donner le fouet ici avant que de vous remener.')",1.0,Deletion
633,"('#la-comtesse', ""Madame l'intendante a raison, Madame.  Allons, allons, des cartes seulement vite, dépêchons.  Nous ne manquerons pas de joueuses, sur ma parole."")","('#le-petit-dragon', 'Ma bonne tante, mettez-moi autre part.')",1.43,Substitution
634,,"('#lisette', ""Oui, il faut le mettre auprès d'une gueuse qui lui fera porter des sabots."")",1.0,Deletion
635,"('#dorimene', ""Mais vous n'y songez pas, Madame, et les mille écus que l'on court risque de payer ?  Les affronts à quoi l'on s'expose..."")","('#le-petit-dragon', ""Je me soucie bien où, pourvu que ce soit avec une femme qui n'ait qu'un mari."")",1.54,Substitution
636,"('#la-comtesse', ""Bon, bon, bon, voilà de belles bagatelles !  Qui est-ce qui saura que nous jouons ?  Nous serons tous intéressés à ne le point dire et quand nous serions surpris une fois le mois, ce n'est pas une affaire.  Il faudra payer les mille écus, comme l'on paie les cartes, il n'y a rien de plus facile."")","('#gabrillon', ""Paix, petit coquin, Allons qu'on s'en retourne tout à l'heure, et qu'on ne me le fasse pas dire deux fois.  Hé bien ne voilà-t-il pas encore qui va pleurer ?"")",1.03,Substitution
637,,"('#le-petit-dragon', ""Monsieur dit qu'il veut que je lui dise tout ce que Madame fait, et Madame dit qu'elle ne veut pas que je lui dise."")",1.0,Deletion
638,"('#l-intendante', 'Oui, Madame_la_Comtesse le prend bien.  Allons, Madame, de grâce, commençons à jouer, je vous en conjure.')","('#lisette', ""N'êtes-vous pas à Madame ?"")",1.01,Substitution
639,,"('#le-petit-dragon', ""Hé bien, qu'est-ce que cela fait ?"")",1.0,Deletion
640,,"('#gabrillon', 'Ce que cela fait ?  Il faut obéir à Madame, et ne faire rien de tout ce que Monsieur vous commande.')",1.0,Deletion
641,"('#dorimene', ""Mais, Madame, j'ai peut-être plus de passion pour le jeu que vous n'en témoignez vous-même ; mais vous savez de quelle conséquence..."")","('#le-petit-dragon', ""Oui-da, cela est bien aisé à dire, vraiment.  Si je n'obéis pas à Monsieur, il me donnera le fouet : et si je lui obéis, Madame me le donnera.  Le moyen de ne pas l'avoir ?"")",1.54,Substitution
642,"('#l-intendante', ""Eh !  Madame, nous ne jouerons que jusqu'à ce que j'aie regagné les mille pistoles que je perdis la semaine dernière.  Après cela, je vous promets de renoncer au jeu pour toute ma vie."")","('#gabrillon', ""Ma pauvre Lisette, remène-le, je te prie, il nous tiendrait ici jusqu'à demain."")",1.15,Substitution
643,,"('#lisette', ""Allons tout à l'heure au logis."")",1.0,Deletion
644,,"('#le-petit-dragon', ""Non, là, je n'irai pas."")",1.0,Deletion
645,"('#dorimene', 'Mais, Madame, si vous continuez à perdre ?')","('#lisette', 'Vous y viendrez.')",1.43,Substitution
646,"('#l-intendante', ""Mais, Madame, je gagnerai indubitablement.  Je n'ai engagé mes pierreries que sur ce pied-là, et il faut que je les retire dans six semaines au plus tard, car Monsieur l'Intendant arrive."")","('#le-petit-dragon', ""Hé bien, si vous m'y menez de force, j'irai ; mais vous verrai si je ne dis pas à Madame que toutes les fois que Picard entre dans votre chambre, vous ne m'envoyez pas quelque part."")",0.75,Substitution
647,,"('#gabrillon', 'Voilà un méchant petit fripon !')",1.0,Deletion
648,"('#la-comtesse', 'Ah !  Voilà notre petit caissier qui sait la nouvelle, car il parait bien en colère.')","('#le-petit-dragon', ""J'aurai le fouet, mais je vous ferai bien enrager."")",1.21,Substitution
649,,"('#lisette', 'Je reviendrai peut-être tantôt avec Madame.')",1.0,Deletion
650,,"('#gabrillon', ""Quelle imprudence à des femmes de se faire servir par des enfants, avec leurs petits dragons !  Je m'étonne que la mode en ait tant duré ?  Mais que veut cette Dame ?  Elle paraît bien effarée."")",1.0,Deletion
651,,"('#melinde', 'Ma mie, ce Monsieur dont le carrosse est là-bas, ne serait-il point ici.')",1.0,Deletion
652,"('#le-caissier', ""Comment donc, Madame !  Est-ce que l'on ne joue pas aujourd'hui ?  Je ne vois point de carosses à votre porte, personne dans le logis.  Qu'est-ce que cela veut dire ?"")","('#gabrillon', 'Je ne sais pas, Madame.  Il y a un Monsieur là-dedans... Ah !  Tenez le voilà qui sort.')",1.0,Substitution
653,,"('#melinde', ""Ah !  Monsieur, j'allais chez vous..."")",1.0,Deletion
654,,"('#dorante', 'Ma femme dans cette maison !')",1.0,Deletion
655,,"('#melinde', 'Mais voyant là-bas votre carrosse...')",1.0,Deletion
656,,"('#dorante', ""Qu'y voudrait-elle faire ?"")",1.0,Deletion
657,,"('#melinde', ""J'ai fait arrêter le mien."")",1.0,Deletion
658,,"('#dorante', ""Hé bien, qu'y a-t-il ?"")",1.0,Deletion
659,,"('#melinde', 'Votre fils, Monsieur... votre fils.')",1.0,Deletion
660,"('#la-comtesse', 'Monsieur, faites-nous justice de cette défense-là.')","('#dorante', ""Hé bien, mon fils, Madame, qu'a-t-il fait ?"")",1.41,Substitution
661,,"('#melinde', ""Il m'a volé cette nuit pour deux mille écus de vaisselle neuve."")",1.0,Deletion
662,,"('#dorante', ""De vaisselle neuve !  Ah le fripon !  Il vous l'a volée, et me l'a vendue."")",1.0,Deletion
663,,"('#melinde', 'Vous avez ma vaisselle, Monsieur ?')",1.0,Deletion
664,"('#l-intendante', ""Faites-moi raison Monsieur, du procédé de Madame, qui ne veut plus que l'on joue chez elle au lansquenet, de peur qu'il ne lui en coûte mille écus.  Cela se doit-il faire, Monsieur, et n'est-ce pas une chose qui crie vengeance ?"")","('#dorante', ""Oui, Madame, j'ai la vôtre neuve, et vous m'avez pris ma vieille ; et mon coquin de fils a mon argent sans doute, car je ne le vois plus.  Holà, quelqu'un ?"")",0.67,Substitution
665,,"('#gabrillon', 'Que vous plaît-il, Monsieur ?')",1.0,Deletion
666,,"('#dorante', 'Où est mon fils ?')",1.0,Deletion
667,,"('#gabrillon', 'Ce jeune Monsieur qui était avec vous ?  Le voilà qui descend les montées quatre à quatre.  Je ne sais à qui il en a.')",1.0,Deletion
668,"('#le-caissier', ""Il n'y aurait plus ici de lansquenet !  Oh !  Parbleu !  Je prétends bien qu'on y joue, moi, et nous verrons si j'en aurai le démenti."")","('#dorante', ""Ah, scélérate !  On s'entend ici avec lui pour me fourber : Mais je te ferai pendre, et ta maîtresse aussi, sur ma parole."")",1.04,Substitution
669,"('#clitandre', ""Ah !  Ah !  Voici un homme d'un assez plaisant caractère."")","('#gabrillon', ""Je m'en vais l'avertir de vos bonnes intentions, Monsieur."")",1.03,Substitution
670,,"('#dorante', 'Morbleu, Madame, voilà les fruits de votre belle conduite.')",1.0,Deletion
671,,"('#melinde', ""Fort bien.  Votre fils m'a volée, et vous vous prenez encore à moi de son dérèglement."")",1.0,Deletion
672,"('#dorimene', ""Monsieur !  Monsieur Surat !  Vous vous oubliez ; et vous devriez un peu songer qu'on ne parle point de la sorte dans une maison comme la mienne."")","('#dorante', ""Oui, Madame, vous en êtes cause.  Serait-il à la peine de vous voler, si nous étions ensemble, comme nous devrions être ?  Mais le père d'un côté, la mère de l'autre ; vous me volez ma vaisselle, il vous prend la vôtre, il ne pêche que par exemple."")",0.95,Substitution
673,,"('#melinde', ""Oui, je lui ai donné l'exemple, et c'est peut-être vous qui lui avez dit de le suivre."")",1.0,Deletion
674,,"('#dorante', ""Hé, Madame !  Revenez avec moi, c'est le seul moyen de le mettre dans son devoir."")",1.0,Deletion
675,,"('#melinde', 'Moi, Monsieur, demeurer avec vous ?')",1.0,Deletion
676,"('#le-caissier', 'Oh !  Ventrebleu Madame, on y jouera comme de coutume, ou je ferai beau bruit pour mon argent, je vous en réponds.')","('#dorante', 'Je sais les moyens de vous y forcer quand il me plaira.')",1.01,Substitution
677,,"('#melinde', 'Je sais vos vues.  De concert avec mes parents, vous voulez me contraindre à retourner avec vous, ou à choisir un Couvent.')",1.0,Deletion
678,,"('#dorante', 'Assurément.')",1.0,Deletion
679,"('#dorimene', 'Que voulez-vous donc dire, pour votre argent ?')","('#melinde', 'Et quel parti croyez-vous que je prendrai, Monsieur ?')",0.67,Substitution
680,,"('#dorante', ""Celui du Couvent : votre bizarrerie et vos travers ne me permettent pas d'en douter."")",1.0,Deletion
681,,"('#melinde', 'Tout au contraire.')",1.0,Deletion
682,,"('#dorante', 'Comment, vous reviendrez avec moi ?')",1.0,Deletion
683,,"('#melinde', 'Avec vous.')",1.0,Deletion
684,,"('#dorante', 'Avec moi !')",1.0,Deletion
685,"('#le-caissier', ""Oui, Madame, pour mon argent ; morbleu je suis ruiné si l'on ne joue ; mais, ventrebleu !  Vous jouerez les uns et les autres jusqu'à ce que je sois payé de ce qui m'est dû.  Je suis au désespoir, voyez-vous, et j'ai déjà voulu me pendre trois fois depuis ce matin."")","('#melinde', ""Oui, avec vous, avec vous ; mais, pour vous faire enrager plus que jamais.  Je crierai nuit et jour, je chasserai vos valets, j'engagerai vos meubles, je déchirerai vos papiers, je mettrai le feu dans votre logis, et peut-être je ferai pis encore.  Voilà sur quel pied, Monsieur, je veux retourner avec vous."")",0.2,Substitution
686,"('#clitandre', 'Le pauvre diable !  Il me fait pitié.')","('#dorante', ""Le Ciel m'en préserve ; demeurons plutôt comme nous sommes."")",1.46,Substitution
687,,"('#melinde', ""Non, Monsieur, j'y retournerai si vous ne me rendez ma vaisselle."")",1.0,Deletion
688,"('#le-caissier', ""Monsieur, Monsieur Clitandre, vous, Madame_la_Comtesse, et vous, Madame, je vous en fais les juges, s'il vous plaît.  Vous êtes des personnes raisonnables, et vous savez avec quelle bonne foi j'ai prêté mon argent au tiers et au quart depuis près de deux ans."")","('#dorante', 'Et la mienne, qui me la rendra ?')",1.05,Substitution
689,,"('#melinde', ""Si je ne l'ai pas dans deux heures, je fais porter ce soir ma toilette chez vous, et j'y couche."")",1.0,Deletion
690,,"('#dorante', ""Ne vous en avisez pas, j'aime mieux vous renvoyer la vaisselle."")",1.0,Deletion
691,"('#clitandre', ""Assurément, c'est un bon garçon qui ne cherchait qu'à faire plaisir."")","('#melinde', ""Vous ferez bien : n'y manquez pas, ou vous m'aurez bientôt à vos trousses."")",1.71,Substitution
692,"('#le-caissier', ""À l'un cinquante pistoles, à l'autre deux cents mille écus à celui-ci, quatre cents écus à celui-là.  Il m'est du plus de vingt-cinq mille francs l'heure qu'il est, Monsieur ; et je n'ai point d'autres sûretés que de vieilles cartes à poste."")","('#dorante', ""L'esprit du Diable est-il pire que celui-là ?  M'en voilà pour mes trois cents pistoles.  Il faut pourtant que la coquine qui a aidé à me tromper...  Ouf.  La voici avec un homme d'épée ; de peur de quelque inconvénient, allons faire mes plaintes chez un Commissaire."")",0.86,Substitution
693,,"('#madame-thibaut', 'Quoi, Cléante, je vous revois !  Est-il bien vrai que vous me sacrifiez ainsi votre fortune ?')",1.0,Deletion
694,"('#la-comtesse', ""Voilà l'argent perdu, si l'on ne joue plus."")",,1.0,Insertion
