,moliere-precieuses-ridicules,somaize-precieuses-ridicules,Cost,Operation Type
155,"('#mascarille', ""Ne trouvez-vous pas la pensée bien exprimée dans le chant ?  Au voleur !...  Et puis, comme si l'on criait bien fort au, au, au, au, au, au, voleur ; et tout d'un coup comme une personne essoufflée, au voleur."")","('#mascarille', ""Dites-moi donc un peu si vous ne trouvez pas La pensée assez bien dans le chant exprimée ? Au voleur. Et comme une personne animée, Qui pleine de transport, se mettant en chaleur, Bien fort crie, au, au, au, au, au, au, au voleur, Et tout d'un coup après tout comme une personne Essoufflée, au voleur. Quoi cela vous étonne ?"")",0.0,Match
156,"('#magdelon', ""C'est là savoir le fin des choses, le grand fin, le fin du fin.  Tout est merveilleux, je vous assure ; je suis enthousiasmée de l'air, et des paroles. "")","('#madelon', ""C'est là savoir le fin des choses, le grand fin, Le fin du fin, tout brille, et tout y charme enfin, Je vous promets, car j'ai de l'air et des paroles L'âme enthousiasmée."")",0.0,Match
157,"('#cathos', ""Je n'ai encore rien vu de cette force-là. "")","('#cathos', ""Et moi sans hyperbole Je n'ai jamais rien vu, de cette force-là"")",0.0,Match
158,"('#mascarille', ""Tout ce que je fais me vient naturellement, c'est sans étude. "")","('#mascarille', 'Ah ! Tout ce que je fais me vient comme cela Fort naturellement, et sans aucune étude.')",0.0,Match
159,"('#magdelon', ""La nature vous a traité en vraie mère passionnée, et vous en êtes l'enfant gâté. "")","('#madelon', ""C'est pour ne pas avoir beaucoup d'inquiétude, Et nous persuader, que la nature aussi Vous a vraiment traité, Monsieur, jusques ici, Comme une vraie mère, un peu passionnée, Et ce génie ardent, dont je suis étonnée, Vous fait bien remarquer, pour son enfant gâté."")",0.17,Substitution
160,"('#mascarille', 'À quoi donc passez-vous le temps ? ')","('#mascarille', 'À quoi donc passez-vous le temps ?')",0.0,Match
161,"('#cathos', 'À rien du tout. ')","('#cathos', 'En vérité, Monsieur, à rien du tout.')",0.45,Substitution
162,"('#magdelon', ""Nous avons été jusqu'ici, dans un jeûne effroyable de divertissement."")","('#madelon', 'Par un sort incroyable Nous avons demeuré dans un jeûne effroyable De divertissement...')",0.0,Match
163,"('#mascarille', ""Je m'offre à vous mener l'un de ces jours à la Comédie, si vous voulez, aussi bien on en doit jouer une nouvelle que je serai bien aise, que nous voyions ensemble. "")","('#mascarille', ""Je m'offre à vous mener Le jour qu'il vous plaira, Mesdames, destiner Voir quelque comédie, on en doit jouer une, Dont je connais l'auteur, et qui n'est pas commune, Que je serai bien aise, au moins que nous puissions S'il se peut voir ensemble."")",0.0,Match
164,"('#magdelon', ""Cela n'est pas de refus. "")","('#madelon', 'Ah ! Telles pactions Ne sont pas de refus.')",0.05,Substitution
165,"('#mascarille', ""Mais je vous demande d'applaudir, comme il faut, quand nous serons là.  Car je me suis engagé de faire valoir la pièce, et l'auteur m'en est venu prier encore ce matin.  C'est la coutume ici, qu'à nous autres gens de condition, les auteurs viennent lire leurs pièces nouvelles, pour nous engager à les trouver belles, et leur donner de la réputation, et je vous laisse à penser, si quand nous disons quelque chose le parterre ose nous contredire.  Pour moi, j'y suis fort exact, et quand j'ai promis à quelque poète, je crie toujours, voilà qui est beau, devant que les chandelles soient allumées. "")","('#mascarille', ""Aussi je vous demande Lorsque nous serons là, que toute notre bande Admire, approuve tout, applaudisse bien fort, Pour qu'on trouve tout beau, fasse tout son effort, Je veux vous engager, comme on m'y sollicite, De faire que la pièce ait grande réussite Car pour m'en conjurer, je vous jure ma foi, Que l'Auteur ce matin, m'est venu voir chez moi, Qu'à toute heure, en tous lieux il m'en prie et m'en presse, Et fait que mes amis me le disent sans cesse. C'est la coutume ici, qu'à des gens comme nous, Pour tous les vers qu'ils font, les poètes viennent tous Implorer nos bontés, et des pièces nouvelles Faire lecture, afin que nous les trouvions belles, Et qu'ils puissent aussi, par là nous engager À leur donner grand bruit. Je vous laisse à juger Si d'une pièce enfin, quoi que nous puissions dire, Le parterre jamais, ose nous contredire. Pour moi j'y suis exact, et dès que quelque auteur M'est venu conjurer d'être son protecteur, Je crie avant qu'on ait allumé les chandelles, Que ses vers sont pompeux, sa pièce des plus belles."")",0.0,Match
166,"('#magdelon', ""Ne m'en parlez point, c'est un admirable lieu que Paris ; il s'y passe cent choses tous les jours, qu'on ignore dans les provinces, quelque spirituelle qu'on puisse être. "")","('#madelon', ""Non, ne m'en parlez point, Paris, est bien charmant, Tous les jours il s'y passe, et fort évidemment Cent choses que toujours en province on ignore, Quelque spirituelle, et quelque soin encore Que l'on puisse apporter..."")",0.0,Match
167,"('#cathos', ""C'est assez, puisque nous sommes instruites nous ferons notre devoir de nous écrier comme il faut sur tout ce qu'on dira. "")","('#cathos', ""C'est assez il suffit, Personne à tout cela, n'a jamais contredit ; Mais, Monsieur, puisque enfin nous en sommes instruites Nous ferons sûrement, tout ce que vous nous dites, Et nous nous récrirons, aussi comme il faudra Sur tout ce que d'esprit, et de beau l'on dira."")",0.0,Match
168,"('#mascarille', ""Je ne sais, si je me trompe ; mais vous avez toute la mine d'avoir fait quelque Comédie. "")","('#mascarille', 'Je ne vous dirai pas du tout, si je devine Mais je me trompe fort, ou vous avez la mine, De quelque comédie, avoir fait le tissu.')",0.38,Substitution
169,"('#magdelon', 'Eh, il pourrait être quelque chose de ce que vous dites. ')","('#madelon', ""Eh ! Il pourrait bien être, et sans que l'on l'ait su De cela quelque chose."")",0.0,Match
170,"('#mascarille', ""Ah, ma foi, il faudra que nous la voyons.  Entre nous, j'en ai composé une, que je veux faire représenter. "")","('#mascarille', ""Eh ! Bien si bon vous semble Ma foi, nous la verrons, quand vous voudrez ensemble ; Mais puisqu'il est ainsi, je veux sans différer,  Un secret important ici vous déclarer. Entre nous, j'en ai faite une, je vous l'avoue, Que je veux dedans peu, faire en sorte qu'on joue."")",0.24,Substitution
171,"('#cathos', 'Hé, à quels comédiens la donnerez-vous ? ')","('#cathos', 'Et quels comédiens la représenteront ?')",0.0,Match
172,"('#mascarille', ""Belle demande !  Aux grands comédiens.  Il n'y a qu'eux qui soient capables de faire valoir les choses ; les autres sont des ignorants qui récitent comme l'on parle.  Ils ne savent pas faire ronfler les vers, et s'arrêter au bel endroit, et le moyen de connaître, où est le beau vers, si le comédien ne s'y arrête, et ne vous avertit par là, qu'il faut faire le brouhaha ? "")","('#mascarille', ""Ah ! La belle demande, et ma foi ce seront Les grands comédiens, ils en sont seuls capables, Leur récit a toujours, des grâces admirables Dans leurs bouches les vers, sont beaucoup apparents ; Pour les autres on sait, qu'ils sont des ignorants ; Tous leurs gestes n'ont rien qui ne soit du vulgaire, Et comme on parle enfin, récitent d'ordinaire ; Les vers ne ronflent point, qu'articule leur voix, Ils ne s'arrêtent point, du tout, aux beaux endroits, Et quel moyen a-t-on ? De les pouvoir connaître, Si le comédien, ne les fait pas paraître S'il n'y fait une pose, et n'avertit par là À quels endroits, il faut faire le brouhaha."")",0.0,Match
173,"('#cathos', ""En effet, il y a manière de faire sentir aux auditeurs les beautés d'un ouvrage, et les choses ne valent que ce qu'on les fait valoir. "")","('#cathos', ""Il est une manière en effet, qui fait même Sentir à ses auteurs, tous les attraits d'un poème, Et les choses souvent, ne valent du tout rien, S'ils ne sont dans leur jour, et ne se disent bien."")",0.3,Substitution
174,"('#mascarille', ""Que vous semble de ma petite-oie ?  La trouvez-vous congruante à l'habit ? "")","('#mascarille', ""Ma petite-oie est-elle a l'habit congruante ?"")",0.0,Match
175,"('#cathos', 'Tout à fait. ')","('#cathos', 'Tout à fait.')",0.0,Match
176,"('#mascarille', 'Le ruban est bien choisi. ')","('#mascarille', ""Le ruban est d'une main savante, N'est-il pas bien choisi ?"")",0.0,Match
177,"('#magdelon', ""Furieusement bien.  C'est Perdrigeon tout pur. "")","('#madelon', ""Furieusement bien C'est Perdrigeon tout pur."")",0.0,Match
178,"('#mascarille', 'Que dites-vous de mes canons ? ')","('#mascarille', ""Ne me direz-vous rien Aussi de mes canons ? Ont-ils l'heur de vous plaire Dites, que vous en semble ?"")",0.26,Substitution
179,"('#magdelon', 'Ils ont tout à fait bon air. ')","('#madelon', ""Ah ! je ne m'en puis taire, Je confesse qu'ils ont un tout à fait bon air."")",0.19,Substitution
180,"('#mascarille', ""Je puis me vanter, au moins, qu'ils ont un grand quartier, plus que tous ceux, qu'on fait. "")","('#mascarille', ""Par ma foi je me plais, à vous ouïr parler. Je trouve que leur air, n'a rien que d'admirable, Et je puis me vanter, qu'il n'est rien de semblable, Qu'avec raison, j'en suis tout à fait satisfait, Puisqu'ils ont un quartier, plus que tout ceux qu'on fait."")",0.17,Substitution
181,"('#magdelon', ""Il faut avouer que je n'ai jamais vu porter si haut l'élégance de l'ajustement. "")","('#madelon', ""Je dois bien l'avouer ; car je n'ai que je pense Jamais d'ajustement vu porter l'élégance, Dedans un si haut point. Que vous donnez d'éclat À ce que vous avez."")",0.01,Substitution
182,"('#mascarille', 'Attachez un peu sur ces gants la réflexion de votre odorat. ')","('#mascarille', ""Mais de votre odorat Que la réflexion dessus ces gants s'attache."")",0.0,Match
183,"('#magdelon', 'Ils sentent terriblement bon. ')","('#madelon', ""Je n'eus jamais d'odeur plus douce que je sache, Et je puis confesser, sans doute avec raison, Qu'ils sentent en effet, et terriblement bon."")",0.03,Substitution
184,"('#cathos', ""Je n'ai jamais respiré une odeur mieux conditionnée. "")","('#cathos', ""Je n'ai point respiré, depuis que je suis née, Une odeur, qui me parût mieux conditionnée."")",0.0,Match
185,"('#mascarille', 'Et celle-là ? ')","('#mascarille', 'Et celle-là ?')",0.0,Match
186,"('#magdelon', 'Elle est tout à fait de qualité ; le sublime en est touché délicieusement. ')","('#madelon', ""Je dis avecque vérité Que je la trouve aussi de bonne qualité, Je sens qu'elle me plaît, et sens que je l'estime, À cause qu'elle est bonne, et qu'enfin le sublime En est certes, touché délicieusement."")",0.07,Substitution
187,"('#mascarille', 'Vous ne me dites rien de mes plumes, comment les trouvez-vous ? ')","('#mascarille', 'Vous ne me dites rien de mes plumes, comment Les trouvez-vous, enfin ?')",0.0,Match
188,"('#cathos', 'Effroyablement belles. ')","('#cathos', ""On peut bien dire d'elles Qu'elles sont en effet, effroyablement belles."")",0.0,Match
189,"('#mascarille', ""Savez-vous que le brin me coûte un louis d'or ?  Pour moi, j'ai cette manie, de vouloir donner généralement, sur tout ce qu'il y a de plus beau. "")","('#mascarille', ""Vous vous y connaissez, je le vois ; mais encor Savez-vous que le brin me coûte un Louis d'or ? Pour moi sans me vanter, il faut que je vous die, Que depuis bien longtemps, j'ai pris cette manie De donner par ma foi, trop généralement Sur tout ce que l'on voit, de rare et de charmant."")",0.0,Match
190,"('#magdelon', ""Je vous assure, que nous sympathisons vous, et moi.  J'ai une délicatesse furieuse pour tout ce que je porte, et jusqu'à mes chaussettes, je ne puis rien souffrir, qui ne soit de la bonne ouvrière. "")","('#madelon', ""Nous sympathisons fort ensemble, je vous jure, Et c'est sans vous mentir, qu'ici je vous assure Que je suis délicate, et furieusement Pour tout ce qui me sert, en mon habillement, Et jusqu'à des chaussons, je n'en puis d'ordinaire Souffrir, s'ils ne sont faits, de la bonne ouvrière."")",0.0,Match
191,"('#mascarille', ""Ahi, ahi, ahi, doucement ; Dieu me damne, Mesdames, c'est fort mal en user ; j'ai à me plaindre de votre procédé, cela n'est pas honnête. "")","('#mascarille', ""Mesdames, ahy, ahy, ahy, de grâce doucement, Ce n'est pas Dieu me damne, en user prudemment, De votre procédé, j'aurais lieu de me plaindre, Cela n'est pas honnête, et vous me faites craindre..."")",0.0,Match
192,"('#cathos', ""Qu'est-ce donc ?  Qu'avez-vous ? "")","('#cathos', ""Qu'est-ce que donc ? Qu'avez-vous ? Qui vous trouble, Monsieur."")",0.0,Match
193,"('#mascarille', ""Quoi toutes deux contre mon coeur, en même temps ?  M'attaquer à droit, et à gauche ?  Ah c'est contre le droit des gens, la partie n'est pas égale, et je m'en vais crier au meurtre. "")","('#mascarille', ""Toutes deux à la fois, s'attaquer à mon coeur, Me prendre à droit, à gauche, ah certes la partie, N'est pas du tout égale, et je veux garantie, Ou puisque vous allez, contre le droit des gens, Je vais crier au meurtre ; et sortir de céans."")",0.0,Match
194,"('#cathos', ""Il faut avouer qu'il dit les choses d'une manière particulière. "")","('#cathos', ""Il ne dit rien du tout qu'avec une manière Tout à fait agréable, et qui n'est pas vulgaire."")",0.47,Substitution
195,"('#magdelon', ""Il a un tour admirable dans l'esprit. "")","('#madelon', ""Il a dedans l'esprit un tour ; mais sans égal."")",0.0,Match
196,"('#cathos', ""Vous avez plus de peur que de mal, et votre coeur crie avant qu'on l'écorche. "")","('#cathos', ""Vous avez bien, Monsieur, plus de peur que de mal, Et votre coeur craintif, crie avant qu'on l'écorche."")",0.0,Match
197,"('#mascarille', ""Comment diable !  Il est écorché depuis la tête, jusqu'aux pieds. "")","('#mascarille', ""J'ai sujet toutefois, de faire ce reproche : Comment diable, je sens que quoi que vous disiez Il est depuis la tête écorché jusqu'aux pieds."")",0.0,Match
198,"('#marotte', 'Madame, on demande à vous voir. ')","('#marotte', 'On demande à vous voir.')",0.0,Match
199,"('#magdelon', 'Qui ? ')","('#madelon', 'Et qui ?')",0.5,Substitution
200,"('#marotte', 'Le Vicomte de Jodelet. ')","('#marotte', ""C'est le Vicomte : De Jodelet, qui veut..."")",0.0,Match
201,,"('#madelon', 'Cette visite est prompte.')",1.0,Deletion
202,"('#mascarille', 'Le vicomte de Jodelet ? ')","('#mascarille', 'Quoi ! Le Vicomte de...')",0.83,Substitution
203,"('#marotte', 'Oui, Monsieur. ')","('#marotte', ""C'est lui, Monsieur, vrai m'y."")",0.99,Substitution
204,"('#cathos', 'Le connaissez-vous ? ')","('#madelon', 'Et le connaissez-vous ?')",0.0,Match
205,"('#mascarille', ""C'est mon meilleur ami. "")","('#mascarille', ""C'est mon meilleur ami."")",0.0,Match
206,"('#magdelon', 'Faites entrer vitement. ')","('#madelon', 'Vite, faites entrer.')",0.06,Substitution
207,"('#mascarille', 'Il y a quelque temps que nous ne nous sommes vus, et je suis ravi de cette aventure. ')","('#mascarille', 'Certes cette aventure Me charme, et me ravit ; car ma foi je vous jure Que depuis fort longtemps, nous ne nous sommes vus.')",0.0,Match
208,"('#cathos', 'Le voici. ')",,1.0,Insertion
209,"('#mascarille', 'Ah !  Vicomte ! ')","('#mascarille', 'Ah ! Vicomte.')",0.0,Match
210,"('#jodelet', 'Ah Marquis ! ')","('#jodelet', 'Ah ! Marquis,')",0.0,Match
211,"('#mascarille', 'Que je suis aise de te rencontrer ! ')","('#mascarille', ""Que tous mes sens émus Marquent bien le plaisir, que j'ai de te rencontre."")",0.17,Substitution
212,"('#jodelet', ""Que j'ai de joie de te voir ici ! "")","('#jodelet', ""Et la joie que j'ai, mon visage la montre."")",0.68,Substitution
213,"('#mascarille', 'Baise-moi donc encore un peu, je te prie. ')","('#mascarille', ""Baise-moi donc encor, Vicomte, baise-moi, Je t'en conjure."")",0.9,Substitution
214,,"('#jodelet', ""Il t'en faut de plus doux ma foi."")",1.0,Deletion
215,"('#magdelon', ""Ma toute bonne, nous commençons d'être connues, voilà le beau monde, qui prend le chemin de nous venir voir. "")","('#madelon', ""Nous commençons ma bonne, enfin d'être connues, Du beau monde chez nous, nous allons être vues, Puisqu'il prend le chemin de nous y visiter."")",0.0,Match
216,"('#mascarille', ""Mesdames, agréez que je vous présente ce gentilhomme-ci.  Sur ma parole, il est digne d'être connu de vous. "")","('#mascarille', ""Mesdames, s'il vous plaît, de ma part d'accepter Ce Gentilhomme-ci ; sans que je le cajole, Il est assurément, digne (sur ma parole) D'être connu de vous."")",0.0,Match
217,"('#jodelet', ""Il est juste de venir vous rendre ce qu'on vous doit, et vos attraits exigent leurs droits seigneuriaux sur toutes sortes de personnes. "")","('#jodelet', ""Il est juste, et de droit De vous venir chez vous, rendre ce qu'on vous doit ; Car enfin, vos attraits exigent sur les hommes Leurs droits seigneuriaux."")",0.0,Match
218,"('#magdelon', ""C'est pousser vos civilités jusqu'aux derniers confins de la flatterie. "")","('#madelon', ""Nous savons qui nous sommes, Monsieur, et c'est pousser pour nos esprits peu fins Votre civilité, jusqu'aux derniers confins De la galanterie."")",0.0,Match
219,"('#cathos', 'Cette journée doit être marquée dans notre almanach, comme une journée bienheureuse. ')","('#cathos', 'Ah ! Dieux, cette journée Doit être comme grande, ensemble et fortunée, Marquée dans notre almanach.')",0.13,Substitution
220,"('#magdelon', ""Allons, petit garçon, faut-il toujours vous répéter les choses ?  Voyez-vous pas, qu'il faut le surcroît d'un fauteuil ? "")","('#madelon', ""Petit garçon, Quoi vous faut-il toujours, faire votre leçon, Ne voyez-vous pas bien ? Surcroît de compagnie, Et qu'il faut un fauteuil."")",0.0,Match
221,,"('#jodelet', ""C'est sans cérémonie."")",1.0,Deletion
222,"('#mascarille', ""Ne vous étonnez pas de voir le Vicomte de la sorte, il ne fait que sortir d'une maladie, qui lui a rendu le visage pâle comme vous le voyez. "")","('#mascarille', ""Ne vous étonnez pas, s'il est si déconfit, Il ne fait que sortir, d'un mal qui l'a bouffi, Comme vous le voyez, c'est pourquoi son visage Est si maigre, et si pâle."")",0.0,Match
223,"('#jodelet', 'Ce sont fruits des veilles de la Cour et des fatigues de la guerre. ')","('#jodelet', ""Et c'est tout l'avantage, Et les fruits qu'on reçoit des veilles de la Cour, Des travaux de la guerre, et des soins de l'amour."")",0.0,Match
224,"('#mascarille', ""Savez-vous, Mesdames, que vous voyez, dans le Vicomte un vaillants hommes du siècle ?  C'est un brave à trois poils. "")","('#mascarille', ""Mais dites cependant, savez-vous bien Mesdames ? Qu'on place le Vicomte, au rang des belles âmes, Qu'il est de ces vaillants, à qui le fer sied bien, C'est un brave à trois poils."")",0.0,Match
225,"('#jodelet', ""Vous ne m'en devez rien, Marquis, et nous savons ce que vous savez faire aussi. "")","('#jodelet', ""Vous ne m'en devez rien, Marquis, et nous savons ce que vous savez faire."")",0.0,Match
226,"('#mascarille', ""Il est vrai que nous nous sommes vus tous deux dans l'occasion. "")","('#mascarille', ""Ah ! Ma foi, ma science, auprès vous doit se taire, Il est vrai que tous deux, nous nous sommes souvent Vus dans l'occasion."")",0.35,Substitution
227,"('#jodelet', 'Et dans des lieux, où il faisait fort chaud. ')","('#jodelet', ""Quelque fois trop avant Et même en des endroits, où l'on aura sans doute Bien du chaud à souffrir."")",0.61,Substitution
228,"('#mascarille', ""Oui ; mais non pas si chaud qu'ici.  Hay, hay, hay ! "")","('#mascarille', ""Oui ; mais Vicomte, écoute, Pas tant de chaud qu'ici, hay, hay, hay."")",0.0,Match
229,"('#jodelet', ""Notre connaissance s'est faite à l'armée, et la première fois que nous nous vîmes il commandait un Régiment de Cavalerie sur les Galères de Malte. "")","('#jodelet', ""Nous avons Fait notre connaissance à l'armée, et vivons Depuis en amitié. Le jour que nous nous vîmes Pour la première fois, ma foi tous deux nous fîmes Ce pacte d'être amis. Il commandait alors Un fort beau régiment de cavaliers très forts, Sur, si je m'en souviens, les galères de Malte."")",0.0,Match
230,"('#mascarille', ""Il est vrai ; mais vous étiez pourtant dans l'emploi avant que j'y fusse, et je me souviens que je n'étais que petit officier encore, que vous commandiez deux mille chevaux. "")","('#mascarille', ""Il est vrai ; mais Vicomte, ici trop l'on m'exalte. Vous étiez toutefois, dans l'emploi devant moi, Et je me souviens bien à présent sur ma foi, Que je n'avais encor qu'une charge assez basse, Que vous étiez déjà dans une belle passe, Et que vous commandiez les deux mille chevaux."")",0.0,Match
231,"('#jodelet', ""La guerre est une belle chose ; mais ma foi la Cour récompense bien mal aujourd'hui les gens de service comme nous. "")","('#jodelet', ""La guerre est belle ; mais on a trop de travaux, Et la Cour aujourd'hui pour des gens de services Vous récompense mal."")",0.0,Match
232,"('#mascarille', ""C'est ce qui fait que je veux pendre l'épée au croc. "")","('#mascarille', ""Ce ne sont qu'injustices : C'est pourquoi, je veux prendre aussi l'épée au croc, Et ne plus m'exposer du tout à pas un choc."")",0.62,Substitution
233,"('#cathos', ""Pour moi j'ai un furieux tendre pour les hommes d'épée. "")","('#cathos', ""J'ai pour les gens d'épée, un très sérieux tendre."")",0.0,Match
234,"('#magdelon', ""Je les aime aussi : mais je veux que l'esprit assaisonne la bravoure. "")","('#madelon', ""Ils me plaisent aussi ; mais il faut pour me prendre, Assaisonner d'Esprit, la bravoure et le coeur."")",0.0,Match
235,"('#mascarille', ""Te souvient-il, Vicomte, de cette demi-lune, que nous emportâmes sur les ennemis au Siège d'Arras ? "")","('#mascarille', 'Te souvient-il Vicomte, avec quelle vigueur Nous prîmes, toutefois suivis de la fortune Dessus nos ennemis, dis, cette demi-lune, Étant devant Arras ?')",0.0,Match
236,"('#jodelet', ""Que veux-tu dire avec ta demi-lune ?  C'était bien une lune toute entière. "")","('#jodelet', ""Que veux-tu dire toi ? Avec ta demi-lune, et tu rêves, je crois Penses-y, c'était bien, toute une lune entière."")",0.0,Match
237,"('#mascarille', 'Je pense que tu as raison. ')","('#mascarille', 'Il a parbleu raison.')",0.63,Substitution
238,"('#jodelet', ""Il m'en doit bien souvenir, ma foi : j'y fus blessé à la jambe d'un coup de grenade, dont je porte encore les marques.  Tâtez un peu, de grâce, vous sentirez quelque coup, c'était là. "")","('#jodelet', ""J'y crus mon Cimetière, Je m'en souviens ma fois, car j'y fus fort blessé D'un grand coup de grenade, à la jambe, et je sais Que j'en porte la marque encore ; mais de grâce Tâtez vous sentirez le coup, voilà la place. Faisant tâter à sa jambe."")",0.0,Match
239,"('#cathos', 'Il est vrai, que la cicatrice est grande. ')","('#cathos', 'La cicatrice est grande.')",0.0,Match
240,"('#mascarille', 'Donnez-moi un peu votre main, et tâtez celui-ci : là, justement au derrière de la tête : y êtes-vous ? ')","('#mascarille', 'Apportez donc aussi Votre main, et tâtez justement celui-ci Là, là le trouvez-vous ? Là derrière la tête.')",0.0,Match
241,"('#magdelon', 'Oui : je sens quelque chose. ')","('#madelon', 'Oui je sens quelque chose. Un tel coup vous apprête Aussi force lauriers.')",0.8,Substitution
242,"('#mascarille', ""C'est un coup de mousquet que je reçus la dernière campagne, que j'ai faite. "")","('#mascarille', 'Je reçus ce coup-là Ma dernière campagne.')",0.0,Match
243,"('#jodelet', ""Voici un autre coup qui me perça de part en part à l'attaque de Gravelines. "")","('#jodelet', ""Ah ! Tâtez donc voilà Encore un autre coup, je l'eus à Gravelines Et depuis j'ai souffert d'une fièvre maligne De fort âpres douleurs."")",0.46,Substitution
244,"('#mascarille', 'Je vais vous montrer une furieuse plaie. ')","('#mascarille', 'Moi je vais vous montrer Une effroyable plaie.')",0.0,Match
245,"('#magdelon', ""Il n'est pas nécessaire, nous le croyons sans y regarder. "")","('#madelon', ""Ah ! C'est trop folâtrer, Sans y voir on vous croit, et vos faits admirables."")",1.31,Substitution
246,"('#mascarille', ""Ce sont des marques honorables, qui font voir ce qu'on est. "")","('#mascarille', ""Ce sont à dire vrai, des marques honorables Qui font voir ce qu'on est."")",0.0,Match
247,"('#cathos', 'Nous ne doutons point de ce que vous êtes. ')","('#cathos', 'Ah ! Monsieur, sans cela Nous vous connaissons bien.')",0.45,Substitution
248,"('#mascarille', 'Vicomte, as-tu là ton carrosse ? ')","('#mascarille', 'Dis Vicomte, as-tu là Ton carrosse ?')",0.0,Match
249,"('#jodelet', 'Pourquoi ? ')","('#jodelet', 'Pourquoi ?')",0.0,Match
250,"('#mascarille', 'Nous mènerions promener ces Dames hors des portes, et leur donnerions un cadeau. ')","('#mascarille', ""Nous mènerions ces Dames, Prendre hors des portes l'air, pour délecter leurs âmes, Et puis leur donnerions, par après un cadeau, Le temps nous y convie, il est tout à fait beau."")",0.0,Match
251,"('#magdelon', ""Nous ne saurions sortir aujourd'hui. "")","('#madelon', ""Nous ne saurions sortir d'aujourd'hui."")",0.0,Match
252,,"('#mascarille', ""Faut remettre À quelques jours d'ici la partie, et promettre Aussi que vous viendrez."")",1.0,Deletion
253,,"('#cathos', 'Hé ! Bien nous le voulons.')",1.0,Deletion
254,"('#mascarille', 'Ayons donc les violons pour danser. ')","('#mascarille', 'Ayons donc pour danser ici les violons.')",0.0,Match
255,"('#jodelet', ""Ma foi c'est bien avisé. "")","('#jodelet', ""C'est fort bien avisé."")",0.0,Match
256,"('#magdelon', 'Pour cela, nous y consentons ; mais il faut donc quelque surcroît de compagnie. ')","('#madelon', ""Pour cela, c'est sans peine Que nous y consentons ; mais faut qu'on nous amène Surcroît de Compagnie."")",0.0,Match
257,"('#mascarille', ""Holà Champagne, Picard, Bourguignon, Casquaret, Basque, la Verdure, Lorrain, Provençal, la Violette !  Au diable soient tous les laquais !  Je ne pense pas qu'il y ait gentilhomme, en France, plus mal servi, que moi.  Ces canailles me laissent toujours seul. "")","('#mascarille', ""Holà, ho Poitevin, Bourguignon, Provençal, Champagne, Langevin, La Verdure, Lorrain, Basque, la Violette, La Ramée, Picart, Cascaret, la Valette, Au Diable les laquais, pour moi je ne crois pas, Que je ne rompe à tous les jambes, et les bras, Non je ne trouve point, de Gentilhomme en France Plus mal servi que moi, de ces races je pense ; Car ces canailles-là, ne m'entendent jamais."")",0.0,Match
258,"('#magdelon', ""Almanzor, dites aux gens de Monsieur, qu'ils aillent quérir des violons, et nous faites venir ces Messieurs, et ces Dames d'ici près, pour peupler la solitude de notre bal. "")","('#madelon', ""Allez vite, Almanzor, là-bas dire aux laquais De Monsieur, qu'à présent ici l'on nous amène Des violons ; à Marotte et vous prenez aussi la peine ; De nous faire venir ces Dames, et Messieurs D'ici près, pour peupler aveque tous les leurs De notre bal si prompt la triste solitude."")",0.0,Match
259,"('#mascarille', 'Vicomte, que dis-tu de ces yeux ? ')","('#mascarille', ""Ces yeux n'auraient-ils point détruit ta quiétude. Vicomte, qu'en dis-tu ?"")",0.41,Substitution
260,"('#jodelet', ""Mais toi-même, Marquis, que t'en semble ? "")","('#jodelet', ""Mais toi-même Marquis, Qu'en pourrais-tu penser ?"")",0.0,Match
261,"('#mascarille', ""Moi, je dis, que nos libertés auront peine à sortir d'ici, les braies nettes.  Au moins, pour moi, je reçois d'étranges secousses, et mon coeur ne tient plus qu'à un filet. "")","('#mascarille', ""Moi, par ma fois je dis Qu'ici nos libertés, sont à demi sujettes, Qu'à peine elles pourront sortir les braies nettes, Au moins pour moi, je sens qu'en mon coeur je reçois Une étrange secousse, et même aussi je crois Qu'il n'est plus retenu, que par fort peu de chose ; Mais quand je le perdrais j'en chérirais la cause."")",0.0,Match
262,"('#magdelon', ""Que tout ce qu'il dit est naturel !  Il tourne les choses le plus agréablement du monde. "")","('#madelon', ""Dieux que tout ce qu'il dit, est fort et naturel Qu'on voit bien qu'il n'a rien, qui soit matériel Et qu'il tourne à miracle une douceur ma chère."")",0.38,Substitution
263,"('#cathos', ""Il est vrai qu'il fait une furieuse dépense en esprit. "")","('#cathos', ""Il est vrai qu'il est seul, je crois qui puisse faire Une telle dépense, en esprit et savoir."")",0.19,Substitution
264,"('#mascarille', 'Pour vous montrer, que je suis véritable, je veux faire un impromptu là-dessus. ')","('#mascarille', ""Mesdames, toutefois pour vous mieux faire voir Que je ne vous ments point, je prétends ou je meure Vous faire un impromptu, là-dessus tout à l'heure."")",0.03,Substitution
265,"('#cathos', ""Eh je vous en conjure de toute la dévotion de mon coeur.  Que nous ayons quelque chose qu'on ait fait pour nous. "")","('#cathos', ""Eh ! Je vous en conjure, avec toute l'ardeur Et la dévotion, ensemble de mon coeur Que nous ayons au moins quelque chose, qu'on sache Que l'on ait fait pour nous."")",0.0,Match
