,dufresny-adieux-des-officiers,moliere-psyche,Cost,Operation Type
159,"('#venus', ""Montrez-vous donc, Plutus ; car le dieu des richesses est un dieu inutile, tant qu'il reste enfermé sous la clef. Oh, vous êtes un peu plus aimable sous cette figure : mais si vous voulez me plaire vous vous rendrez encore plus palpable. On a bien de la peine à vous développer du métail ! Pour peu que vous fussiez galant, vous me feriez voir le fond du sac. Je serais contente de votre complaisance, si vous vouliez bien parler, et me faire part de cette douce éloquence que les sourds entendent, qui fait parler les muets, et soupirer les plus cruelles.  On ne peut rien de plus galant que cette manière de s'exprimer : mais je sais que vous êtes le premier homme du monde pour soutenir une conversation suivie...  Et qu'on ne se lasse jamais de vous entendre parler : et j'ai appris d'un historien moderne, que vous écrivez des billets plus doux, plus persuasifs, et plus touchants que ceux de Voiture.  Le coffre s'ouvre, et il en sort un sac d'argent. Plutus paraît à la place du sac. Plutus ouvre le sac. Plutus tousse, crache et se dispose comme s'il voulait parler, et tout cela se termine par une grosse bague qu'il tire de son doigt, et qu'il met au doigt de Vénus.  Plutus tire un collier, et le lui donne."")","('#zephyr', ""Je prévois là-dessus quelque peu de colère. Bien que les disputes des ans Ne doivent point régner parmi des Immortelles, Votre Mère Vénus est de l'humeur des Belles Qui n'aiment point de grands enfants. Mais où je la trouve outragée, C'est dans le procédé que l'on vous voit tenir, Et c'est l'avoir étrangement vengée, Que d'aimer la beauté qu'elle voulait punir. Cette haine où ses voeux prétendent que réponde La puissance d'un fils que redoutent les Dieux..."")",0.14,Substitution
160,,"('#l-amour', ""Laissons cela, Zéphyr, et me dis si tes yeux Ne trouvent pas Psyché la plus belle du monde ? Est-il rien sur la Terre, est-il rien dans les Cieux, Qui puisse lui ravir le titre glorieux De beauté sans seconde ? Mais je la vois, mon cher Zéphyr, Qui demeure surprise à l'éclat de ces lieux."")",1.0,Deletion
161,,"('#zephyr', ""Vous pouvez vous montrer pour finir son martyre, Lui découvrir son destin glorieux, Et vous dire entre vous tout ce que peuvent dire Les soupirs, la bouche, et les yeux. En confident discret je sais ce qu'il faut faire Pour ne pas interrompre un amoureux mystère."")",1.0,Deletion
162,,"('#psyche', ""Où suis-je ? Et dans un lieu que je croyais barbare, Quelle savante main a bâti ce palais, Que l'Art, que la Nature pare De l'assemblage le plus rare Que l'oeil puisse admirer jamais ? Tout rit, tout brille, tout éclate, Dans ces jardins, dans ces appartements, Dont les pompeux ameublements N'ont rien qui n'enchante et ne flatte ; Et de quelque côté que tournent mes frayeurs, Je ne vois sous mes pas que de l'or, ou des fleurs. Le Ciel aurait-il fait cet amas de merveilles Pour la demeure d'un serpent ? Et lorsque par leur vue il amuse et suspend De mon destin jaloux les rigueurs sans pareilles, Veut-il montrer qu'il s'en repent ? Non, non, c'est de sa haine en cruautés féconde Le plus noir, le plus rude trait, Qui par une rigueur nouvelle et sans seconde N'étale ce choix qu'elle a fait De ce qu'a de plus beau le Monde, Qu'afin que je le quitte avec plus de regret. Que mon espoir est ridicule, S'il croit par là soulager mes douleurs ! Tout autant de moments que ma mort se recule, Sont autant de nouveaux malheurs, Plus elle tarde, et plus de fois je meurs. Ne me fais plus languir, viens prendre ta victime, Monstre qui dois me déchirer ; Veux-tu que je te cherche, et faut-il que j'anime Tes fureurs à me dévorer ? Si le Ciel veut ma mort, si ma vie est un crime, De ce peu qui m'en reste ose enfin t'emparer, Je suis lasse de murmurer Contre un châtiment légitime, Je suis lasse de soupirer, Viens, que j'achève d'expirer."")",1.0,Deletion
163,,"('#l-amour', ""Le voilà ce serpent, ce monstre impitoyable, Qu'un Oracle étonnant pour vous a préparé, Et qui n'est pas peut-être à tel point effroyable Que vous vous l'êtes figuré."")",1.0,Deletion
164,"('#plutus', 'Hon, hon, hon...  Vous payerez au porteur...  Bon ! Il donne ce billet à Vénus.')","('#psyche', ""Vous, Seigneur, vous seriez ce monstre dont l'oracle A menacé mes tristes jours, Vous qui semblez plutôt un Dieu qui par miracle Daigne venir lui-même à mon secours !"")",1.53,Substitution
165,,"('#l-amour', ""Quel besoin de secours au milieu d'un Empire, Où tout ce qui respire N'attend que vos regards pour en prendre la loi, Où vous n'avez à craindre autre monstre que moi ?"")",1.0,Deletion
166,"('#venus', ""Vingt mille francs !  À la fin vos libéralités pourraient bien alarmer ma vertu.  Que faudra-t-il donc que je fasse pour reconnaissance ? S'il ne faut que mon estime, elle vous est acquise.  Que vous êtes pressant, Plutus !  Je vois bien que vous prétendez à mon amitié.  Je la ferais acheter à un autre ; mais pour vous, je vous la donne. Ciel !  Seriez-vous assez téméraire, pour vouloir de l'amour. Vous feriez cet outrage à Vulcain ? Non, je jure par le Styx, que je ne ferai point d'infidélité à mon époux. Plutus lui fait signe qu'il faut qu'elle l'aime. Plutus fait signe qu'il ne se contente pas de cela.  Plutus fait signe qu'il veut autre chose. Plutus fait signe que oui. Plutus fait signe qu'il s'en moque."")","('#psyche', ""Qu'un monstre tel que vous inspire peu de crainte ! Et que s'il a quelque poison, Une âme aurait peu de raison De hasarder la moindre plainte, Contre une favorable atteinte Dont tout le coeur craindrait la guérison ! À peine je vous vois, que mes frayeurs cessées Laissent évanouir l'image du trépas, Et que je sens couler dans mes veines glacées Un je ne sais quel feu que je ne connais pas. J'ai senti de l'estime et de la complaisance, De l'amitié, de la reconnaissance, De la compassion les chagrins innocents M'en ont fait sentir la puissance, Mais je n'ai point encore senti ce que je sens. Je ne sais ce que c'est, mais je sais qu'il me charme ; Que je n'en conçois point d'alarme ; Plus j'ai les yeux sur vous, plus je m'en sens charmée : Tout ce que j'ai senti n'agissait point de même, Et je dirais que je vous aime, Seigneur, si je savais ce que c'est que d'aimer. Ne les détournez point, ces yeux qui m'empoisonnent, Ces yeux tendres, ces yeux perçants, mais amoureux, Qui semblent partager le trouble qu'ils me donnent. Hélas ! Plus ils sont dangereux, Plus je me plais à m'attacher sur eux. Par quel ordre du Ciel que je ne puis comprendre Vous dis-je plus que je ne dois, Moi de qui la pudeur devrait du moins attendre Que vous m'expliquassiez le trouble où je vous vois ? Vous soupirez, Seigneur, ainsi que je soupire, Vos sens comme les miens paraissent interdits, C'est à moi de m'en taire, à vous de me le dire, Et cependant c'est moi qui vous le dis."")",0.0,Match
167,,"('#l-amour', ""Vous avez eu, Psyché, l'âme toujours si dure, Qu'il ne faut pas vous étonner, Si, pour en réparer l'injure L'Amour en ce moment se paye avec usure De ceux qu'elle a dû lui donner. Ce moment est venu qu'il faut que votre bouche Exhale des soupirs si longtemps retenus, Et qu'en vous arrachant à cette humeur farouche, Un amas de transports aussi doux qu'inconnus Aussi sensiblement tout à la fois vous touche, Qu'ils ont dû vous toucher durant tant de beaux jours Dont cette âme insensible a profané le cours."")",1.0,Deletion
168,,"('#psyche', ""N'aimer point, c'est donc un grand crime !"")",1.0,Deletion
169,"('#plutus', 'Par le Styx ?')","('#l-amour', 'En souffrez-vous un rude châtiment ?')",1.52,Substitution
170,"('#venus', 'Oui, par le Styx.')","('#psyche', ""C'est punir assez doucement."")",1.48,Substitution
171,"('#plutus', ""Par le Styx ? Il reprend sa bague, son collier, son billet, et rentre dans le coffre, qui se referme d'abord."")","('#l-amour', ""C'est lui choisir sa peine légitime, Et se faire justice en ce glorieux jour D'un manquement d'amour, par un excès d'amour."")",1.75,Substitution
172,"('#venus', ""Cette pomme mystérieuse,  Qui croit au pays des Normands,  Preuve que Vénus amoureuse,  A droit, aussi bien qu'eux, de rompre ses serments.  Plutus ?  Plutus ?  J'ai juré par le Styx, il est vrai, ce serment est inviolable pour les dieux : mais les déesses ont des privilèges, et moi surtout, à qui Pâris a donné la pomme, non pas pour ma beauté, comme disent les poètes ; mais seulement parce que je suis la déesse de l'amour.  M'entendez-vous, Plutus, Plutus, mon cher Plutus !"")","('#psyche', ""Que n'ai-je été plus tôt punie ! J'y mets le bonheur de ma vie, Je devrais en rougir, ou le dire plus bas, Mais le supplice a trop d'appas : Permettez que tout haut je le die et redie, Je le dirais cent fois et n'en rougirais pas. Ce n'est point moi qui parle, et de votre présence L'empire surprenant, l'aimable violence, Dès que je veux parler, s'empare de ma voix. C'est en vain qu'en secret ma pudeur s'en offense, Que le sexe et la bienséance Osent me faire d'autres lois ; Vos yeux de ma réponse eux-mêmes font le choix, Et ma bouche asservie à leur toute-puissance Ne me consulte plus sur ce que je me dois."")",0.16,Substitution
173,"('#vulcain', ""Plutus, Plutus, mon cher Plutus !  Il n'y a point de Plutus pour vous : c'est moi qui ai pris sa figure pour vous éprouver, coquette fieffée.  Oh, je jure par le Styx, moi, qui n'ai pas le privilège de me dédire... "")","('#l-amour', ""Croyez, belle Psyché, croyez ce qu'ils vous disent. Ces yeux, qui ne sont point jaloux, Qu'à l'envi les vôtres m'instruisent De tout ce qui se passe en vous. Croyez-en ce coeur qui soupire, Et qui, tant que le vôtre y voudra répartir, Vous dira bien plus d'un soupir Que cent regards ne peuvent dire. C'est le langage le plus doux, C'est le plus fort, c'est le plus sûr de tous."")",0.45,Substitution
174,"('#venus', ""N'achevez pas, mon cher mari.  Voudriez-vous me punir sans m'entendre ? "")","('#psyche', ""L'intelligence en était due À nos coeurs, pour les rendre également contents : J'ai soupiré, vous m'avez entendue ; Vous soupirez, je vous entends. Mais ne me laissez plus en doute, Seigneur, et dites-moi si par la même route Après moi le Zéphyr ici vous a rendu Pour me dire ce que j'écoute. Quand j'y suis arrivée, étiez-vous attendu ? Et quand vous lui parlez, êtes-vous entendu ?"")",0.33,Substitution
175,,"('#l-amour', ""J'ai dans ce doux climat un souverain empire, Comme vous l'avez sur mon coeur : L'Amour m'est favorable, et c'est en sa faveur Qu'à mes ordres Éole a soumis le Zéphyr. C'est l'Amour qui pour voir mes feux récompensés Lui-même a dicté cet Oracle, Par qui vos beaux jours menacés D'une foule d'amants se sont débarrassés, Et qui m'a délivré de l'éternel obstacle De tant de soupirs empressés, Qui ne méritaient pas de vous être adressés. Ne me demandez point quelle est cette province, Ni le nom de son Prince, Vous le saurez quand il en sera temps : Je veux vous acquérir, mais c'est par mes services, Par des soins assidus, et par des voeux constants, Par les amoureux sacrifices De tout ce que je suis, De tout ce que je puis, Sans que l'éclat du rang pour moi vous sollicite, Sans que de mon pouvoir je me fasse un mérite ; Et bien que souverain dans cet heureux séjour, Je ne vous veux, Psyché, devoir qu'à mon amour. Venez en admirer avec moi les merveilles, Princesse, et préparez vos yeux et vos oreilles À ce qu'il a d'enchantements. Vous y verrez des bois et des prairies Contester sur leurs agréments Avec l'or et les pierreries ; Vous n'entendrez que des concerts charmants, De cent beautés vous y serez servie, Qui vous adoreront sans vous porter envie, Et brigueront à tous moments D'une âme soumise et ravie L'honneur de vos commandements."")",1.0,Deletion
176,"('#vulcain', ""Je ne vous ai que trop entendue, de par tous les diables, et il n'a tenu qu'à moi de voir... "")","('#psyche', ""Mes volontés suivent les vôtres, Je n'en saurais plus avoir d'autres ; Mais votre Oracle enfin vient de me séparer De deux soeurs, et du Roi mon Père, Que mon trépas imaginaire Réduit tous trois à me pleurer. Pour dissiper l'erreur dont leur âme accablée De mortels déplaisirs se voit pour moi comblée, Souffrez que mes Soeurs soient témoins Et de ma gloire et de vos soins. Prêtez-leur comme à moi les ailes du Zéphyr, Qui leur puissent de votre Empire Ainsi qu'à moi faciliter l'accès ; Faites-leur voir en quels lieux je respire, Faites-leur de ma perte admirer le succès."")",0.72,Substitution
177,"('#venus', 'Il est vrai que les apparences sont contre moi : mais... ')","('#l-amour', ""Vous ne me donnez pas, Psyché, toute votre âme : Ce tendre souvenir d'un père et de deux soeurs Me vole une part des douceurs Que je veux toutes pour ma flamme. N'ayez d'yeux que pour moi, qui n'en ai que pour vous, Ne songez qu'à m'aimer, ne songez qu'à me plaire, Et quand de tels soucis osent vous en distraire..."")",1.5,Substitution
178,,"('#psyche', 'Des tendresses du sang peut-on être jaloux ?')",1.0,Deletion
179,"('#vulcain', ""Tu as beau faire, tes discours ne m'ôteront pas de la tête ce que ta mauvaise conduite y a mis. "")",,1.0,Insertion
180,"('#venus', ""Qu'y a-t-il donc dans ma conduite de si extraordinaire ?  J'aime le plaisir de la conversation : et je choisis un jeune guerrier pour le brillant, et un financier pour le solide.  En vérité il n'y a point de simple mortelle qui n'en fasse autant.  Plutus est bon à ménager, et tu seras trop heureux, quand la guerre sera finie, qu'il te fasse avoir une commission. "")","('#l-amour', ""Je le suis, ma Psyché, de toute la Nature. Les rayons du soleil vous baisent trop souvent, Vos cheveux souffrent trop les caresses du vent ; Dès qu'il les flatte, j'en murmure : L'air même que vous respirez, Avec trop de plaisir passe par votre bouche ; Votre habit de trop près vous touche ; Et sitôt que vous soupirez, Je ne sais quoi qui m'effarouche Craint parmi vos soupirs des soupirs égarés. Mais vous voulez vos soeurs, allez, partez, Zéphyr, Psyché le veut, je ne l'en puis dédire. Quand vous leur ferez voir ce bienheureux séjour, De ses trésors faites-leur cent largesses, Prodiguez-leur caresses sur caresses, Et du sang, s'il se peut, épuisez les tendresses, Pour vous rendre toute à l'amour. Je n'y mêlerai point d'importune présence, Mais ne leur faites pas de si longs entretiens ; Vous ne sauriez pour eux avoir de complaisance, Que vous ne dérobiez aux miens. Le Zéphyr s'envole."")",0.51,Substitution
181,"('#vulcain', ""Je n'en veux point à ce prix-là. "")","('#psyche', ""Votre amour me fait une grâce Dont je n'abuserai jamais."")",1.06,Substitution
182,,"('#l-amour', ""Allons voir cependant ces jardins, ce palais, Où vous ne verrez rien que votre éclat n'efface. Et vous, petits Amours, et vous jeunes Zéphyrs, Qui pour âmes n'avez que de tendres soupirs, Montrez tous à l'envi ce qu'à voir ma Princesse Vous avez senti d'allégresse."")",1.0,Deletion
183,"('#venus', ""À quel prix crois-tu que j'achète les bonnes grâces de Plutus ?  Ne sais-tu pas que c'est une dupe qui paye d'avance, et qui achète, au prix des plus grandes faveurs, quelques minauderies coquettes qui ne tirent pas à conséquence ?  Il est charmé d'une oeillade louche qui va tomber sur son rival : il croit qu'il est le héros de tous les cadeaux qu'il donne, et prend pour une langueur amoureuse, l'ennui mortel que sa conversation me fait souffrir. "")","('#aglaure', ""Je n'en puis plus, ma Soeur, j'ai vu trop de merveilles, L'avenir aura peine à les bien concevoir ; Le soleil qui voit tout, et qui nous fait tout voir, N'en a vu jamais de pareilles. Elles me chagrinent l'esprit ; Et ce brillant palais, ce pompeux équipage, Font un odieux étalage Qui m'accable de honte autant que de dépit. Que la Fortune indignement nous traite, Et que sa largesse indiscrète Prodigue aveuglément, épuise, unit d'efforts, Pour faire de tant de trésors Le partage d'une cadette !"")",0.17,Substitution
184,,"('#cidippe', ""J'entre dans tous vos sentiments, J'ai les mêmes chagrins, et dans ces lieux charmants Tout ce qui vous déplaît me blesse ; Tout ce que vous prenez pour un mortel affront, Comme vous m'accable, et me laisse L'amertume dans l'âme, et la rougeur au front."")",1.0,Deletion
185,"('#vulcain', ""Oh, je connais bien la race Plutonique.  Ce drôle-là sème en dieu libéral : mais il recueille en homme avare : et je suis bien trompé si les articles de la recette ne suivent de près ceux de la dépense.  Dites-moi un peu, madame la coquette, quand vous avez rappelé Plutus sur le ton d'une marchande du palais, qui prend au mot un joli chaland : quelle marchandise prétendiez-vous lui livrer ? "")","('#aglaure', ""Non, ma Soeur, il n'est point de reines, Qui dans leur propre État parlent en souveraines, Comme Psyché parle en ces lieux. On l'y voit obéie avec exactitude, Et de ses volontés une amoureuse étude Les cherche jusque dans ses yeux. Mille beautés s'empressent autour d'elle, Et semblent dire à nos regards jaloux, Quels que soient nos attraits, elle est encor plus belle, Et nous qui la servons, le sommes plus que vous. Elle prononce, on exécute, Aucun ne s'en défend, aucun ne s'en rebute : Flore, qui s'attache à ses pas, Répand à pleines mains autour de sa personne Ce qu'elle a de plus doux appas, Zéphyr vole aux ordres qu'elle donne, Et son amante et lui s'en laissant trop charmer, Quittent pour la servir les soins de s'entr'aimer."")",0.33,Substitution
186,,"('#cidippe', ""Elle a des Dieux à son service, Elle aura bientôt des autels ; Et nous ne commandons qu'à de chétifs mortels, De qui l'audace et le caprice Contre nous à toute heure en secret révoltés, Opposent à nos volontés Ou le murmure, ou l'artifice."")",1.0,Deletion
187,,"('#aglaure', ""C'était peu que dans notre Cour Tant de coeurs à l'envi nous l'eussent préférée ; Ce n'était pas assez que de nuit et de jour D'une foule d'amants elle y fût adorée : Quand nous nous consolions de la voir au tombeau Par l'ordre imprévu d'un Oracle, Elle a voulu de son destin nouveau Faire en notre présence éclater le miracle, Et choisi nos yeux pour témoins De ce qu'au fond du coeur nous souhaitions le moins."")",1.0,Deletion
188,"('#venus', ""Je prétendais l'amorcer avec de belles espérances, jusqu'à ce que Mars soit de revenu de l'armée, pour le faire déguerpir l'héritage, et faire en sorte qu'il ne reste à Plutus que l'honneur d'avoir fait les améliorations. "")","('#cidippe', ""Ce qui le plus me désespère, C'est cet amant parfait et si digne de plaire, Qui se captive sous ses lois. Quand nous pourrions choisir entre tous les monarques, En est-il un de tant de rois Qui porte de si nobles marques ? Se voir du bien par delà ses souhaits, N'est souvent qu'un bonheur qui fait des misérables : Il n'est ni train pompeux, ni superbes palais, Qui n'ouvrent quelque porte à des maux incurables ; Mais avoir un amant d'un mérite achevé, Et s'en voir chèrement aimée, C'est un bonheur si haut, si relevé, Que sa grandeur ne peut être exprimée."")",0.65,Substitution
189,"('#vulcain', ""Comment, coquine, tu oses encore me parler de ce maraud de Mars ?  Je m'en vais me faire séparer de corps et de biens d'avec toi.  J'ai déjà donné ordre à Mercure d'assembler tous les dieux pour cela, il ne doit pas tarder à venir.  Mais le voici. "")","('#aglaure', ""N'en parlons plus, ma Soeur, nous en mourrions d'ennui, Songeons plutôt à la vengeance, Et trouvons le moyen de rompre entre elle et lui Cette adorable intelligence. La voici. J'ai des coups tous prêts à lui porter, Qu'elle aura peine d'éviter."")",0.92,Substitution
190,,"('#psyche', ""Je viens vous dire adieu, mon amant vous renvoie, Et ne saurait plus endurer Que vous lui retranchiez un moment de la joie Qu'il prend de se voir seul à me considérer. Dans un simple regard, dans la moindre parole, Son amour trouve des douceurs, Qu'en faveur du sang je lui vole, Quand je les partage à des soeurs."")",1.0,Deletion
191,,"('#aglaure', ""La jalousie est assez fine, Et ses délicats sentiments Méritent bien qu'on s'imagine Que celui qui pour vous a ces empressements, Passe le commun des amants. Je vous en parle ainsi faute de le connaître. Vous ignorez son nom, et ceux dont il tient l'être, Nos esprits en sont alarmés : Je le tiens un grand prince, et d'un pouvoir suprême Bien au delà du diadème, Ses trésors sous vos pas confusément semés Ont de quoi faire honte à l'abondance même ; Vous l'aimez autant qu'il vous aime, Il vous charme, et vous le charmez ; Votre félicité, ma Soeur, serait extrême, Si vous saviez qui vous aimez."")",1.0,Deletion
192,"('#mercure', ""Seigneur Vulcain, j'ai exécuté vos ordres ; je viens d'avertir les dieux de se trouver dans la salle de l'audience, ils sont déjà à la buvette. "")","('#psyche', ""Que m'importe : j'en suis aimée ; Plus il me voit, plus je lui plais ; Il n'est point de plaisirs dont l'âme soit charmée, Qui ne préviennent mes souhaits, Et je vois mal de quoi la vôtre est alarmée, Quand tout me sert dans ce palais."")",1.06,Substitution
193,,"('#aglaure', ""Qu'importe qu'ici tout vous serve, Si toujours cet amant vous cache ce qu'il est ? Nous ne nous alarmons que pour votre intérêt. En vain tout vous y rit, en vain tout vous y plaît, Le véritable amour ne fait point de réserve, Et qui s'obstine à se cacher, Sent quelque chose en soi qu'on lui peut reprocher. Si cet amant devient volage, Car souvent en amour le change est assez doux, Et j'ose le dire entre nous, Pour grand que soit l'éclat dont brille ce visage, Il en peut être ailleurs d'aussi belles que vous. Si, dis-je, un autre objet sous d'autres lois l'engage, Si dans l'état où je vous vois, Seule en ses mains, et sans défense, Il va jusqu'à la violence, Sur qui vous vengera le Roi, Ou de ce changement, ou de cette insolence ?"")",1.0,Deletion
194,,"('#psyche', 'Ma soeur, vous me faites trembler. Juste Ciel ! Pourrais-je être assez infortunée...')",1.0,Deletion
195,"('#vulcain', ""L'assemblée sera-t-elle nombreuse ? "")","('#cidippe', ""Que sait-on si déjà les noeuds de l'hyménée..."")",0.83,Substitution
196,"('#mercure', 'Non, la plupart des dieux sont malades, à cause des vins nouveaux. ')",,1.0,Insertion
197,"('#vulcain', ""N'importe, ils seront tous pour moi ; car ma cause est la cause commune. "")","('#psyche', ""N'achevez pas, ce serait m'accabler."")",1.87,Substitution
198,"('#venus', 'Si tous les dieux sont pour vous, les déesses seront pour moi. ')","('#aglaure', ""Je n'ai plus qu'un mot à vous dire. Ce prince qui vous aime, et qui commande aux vents, Qui nous donne pour char les ailes du Zéphyr, Et de nouveaux plaisirs vous comble à tous moments, Quand il rompt à vos yeux l'ordre de la nature, Peut-être à tant d'amour mêle un peu d'imposture, Peut-être ce palais n'est qu'un enchantement, Et ces lambris dorés, ces amas de richesses Dont il achète vos tendresses, Dès qu'il sera lassé de souffrir vos caresses, Disparaîtront en un moment. Vous savez comme nous ce que peuvent les charmes."")",1.21,Substitution
199,,"('#psyche', 'Que je sens à mon tour de cruelles alarmes !')",1.0,Deletion
200,,"('#aglaure', 'Notre amitié ne veut que votre bien.')",1.0,Deletion
201,"('#mercure', ""Nous n'en aurons pas beaucoup ; car la plupart sont allés jouer leur rôle à l'opéra.  Çà, il faut vous mettre en état d'être jugé, avant que les dieux paraissent.  Mettez-vous sur la sellette.  À Vulcain."")","('#psyche', ""Adieu, mes Soeurs, finissons l'entretien, J'aime, et je crains qu'on ne s'impatiente. Partez, et demain si je puis Vous me verrez, ou plus contente, Ou dans l'accablement des plus mortels ennuis."")",0.99,Substitution
202,,"('#aglaure', 'Nous allons dire au Roi quelle nouvelle gloire, Quel excès de bonheur le Ciel répand sur vous.')",1.0,Deletion
203,,"('#cidippe', ""Nous allons lui conter d'un changement si doux La surprenante et merveilleuse histoire."")",1.0,Deletion
204,"('#vulcain', ""Une sellette à moi ?  C'est ma femme qui est l'accusée. "")",,1.0,Insertion
205,"('#mercure', 'Dans ces sortes de procès le mari est toujours le patient. ')","('#psyche', ""Ne l'inquiétez point, ma Soeur, de vos soupçons ; Et quand vous lui peindrez un si charmant empire..."")",1.55,Substitution
206,,"('#aglaure', ""Nous savons toutes deux ce qu'il faut taire, ou dire, Et n'avons pas besoin sur ce point de leçons. Le Zéphyr enlève les deux soeurs de Psyché dans un nuage qui descend jusqu'à terre, et dans lequel il les emporte avec rapidité."")",1.0,Deletion
207,"('#vulcain', 'Ô tempora !  Ô mores ! ')","('#l-amour', ""Enfin vous êtes seule, et je puis vous redire, Sans avoir pour témoins vos importunes soeurs, Ce que des yeux si beaux ont pris sur moi d'empire, Et quel excès ont les douceurs Qu'une sincère ardeur inspire Sitôt qu'elle assemble deux coeurs. Je puis vous expliquer de mon âme ravie Les amoureux empressements, Et vous jurer qu'à vous seule asservie Elle n'a pour objet de ses ravissements, Que de voir cette ardeur de même ardeur suivie Ne concevoir plus d'autre envie Que de régler mes voeux sur vos désirs, Et de ce qui vous plaît faire tous mes plaisirs. Mais d'où vient qu'un triste nuage Semble offusquer l'éclat de ces beaux yeux ? Vous manque-t-il quelque chose en ces lieux ? Des voeux qu'on vous y rend dédaignez-vous l'hommage ?"")",1.12,Substitution
208,,"('#psyche', 'Non, Seigneur.')",1.0,Deletion
209,"('#mercure', ""J'ai prié Bacchus de composer un petit breuvage pour adoucir la colère de Vulcain.  Laissez-nous faire, sortez d'ici sans rien dire, et ne paraissez point que je ne vous avertisse. "")","('#l-amour', ""Qu'est-ce donc, et d'où vient mon malheur ? J'entends moins de soupirs d'amour que de douleur, Je vois de votre teint les roses amorties Marquer un déplaisir secret ; Vos soeurs à peine sont parties, Que vous soupirez de regret ! Ah, Psyché, de deux coeurs quand l'ardeur est la même, Ont-ils des soupirs différents ? Et quand on aime bien, et qu'on voit ce qu'on aime, Peut-on songer à des parents ?"")",0.84,Substitution
210,,"('#psyche', ""Ce n'est point là ce qui m'afflige."")",1.0,Deletion
211,,"('#l-amour', ""Est-ce l'absence d'un rival, Et d'un rival aimé qui fait qu'on me néglige ?"")",1.0,Deletion
212,"('#vulcain', 'Où va donc ma femme ? ')",,1.0,Insertion
213,"('#mercure', ""C'est un petit accès de pudeur qui lui vient de prendre.  Elle dit que vous plaidiez pour elle, et que tout ce que vous ferez sera bien fait.  Entre nous, elle sent bien que sa cause est véreuse. "")","('#psyche', ""Dans un coeur tout à vous que vous pénétrez mal ! Je vous aime, Seigneur, et mon amour s'irrite De l'indigne soupçon que vous avez formé : Vous ne connaissez pas quel est votre mérite, Si vous craignez de n'être pas aimé. Je vous aime, et depuis que j'ai vu la lumière, Je me suis montrée assez fière, Pour dédaigner les voeux de plus d'un roi : Et s'il vous faut ouvrir mon âme toute entière, Je n'ai trouvé que vous qui fût digne de moi. Cependant j'ai quelque tristesse Qu'en vain je voudrais vous cacher, Un noir chagrin se mêle à toute ma tendresse, Dont je ne la puis détacher. Ne m'en demandez point la cause, Peut-être la sachant, voudrez-vous m'en punir ; Et si j'ose aspirer encore à quelque chose, Je suis sûre du moins de ne point l'obtenir."")",0.57,Substitution
214,"('#vulcain', 'Vous allez voir aussi comme je vais triompher. ')","('#l-amour', ""Et ne craignez-vous point qu'à mon tour je m'irrite, Que vous connaissiez mal quel est votre mérite, Ou feigniez de ne pas savoir Quel est sur moi votre absolu pouvoir ? Ah ! Si vous en doutez, soyez désabusée, Parlez."")",0.96,Substitution
215,,"('#psyche', ""J'aurai l'affront de me voir refusée."")",1.0,Deletion
216,"('#mercure', ""Les lauriers de ce triomphe là seront bien secs ; je crains bien que leurs feuilles ne tombent par terre, et qu'il ne vous en reste que le bois sur la tête.  Mais j'entends messieurs qui commencent à tousser, le procès est à moitié jugé.  La porte de l'audience s'ouvre. "")","('#l-amour', ""Prenez en ma faveur de meilleurs sentiments, L'expérience en est aisée, Parlez, tout se tient prêt à vos commandements. Si, pour m'en croire il vous faut des serments, J'en jure vos beaux yeux, ces maîtres de mon âme, Ces divins auteurs de ma flamme ; Et si ce n'est assez d'en jurer vos beaux yeux, J'en jure par le Styx, comme jurent les Dieux."")",0.61,Substitution
217,"('#momus', ""L'époux  Jaloux  Qui blâme  Sa femme  Dans le secret de sa maison,  A souvent raison :  Mais lorsqu'il court à l'audience  Publier son mauvais sort,  Plus il prouve l'offense,  Plus il a tort, il a tort, il a tort, il a tort. "")","('#psyche', ""J'ose craindre un peu moins après cette assurance. Seigneur, je vois ici la pompe et l'abondance, Je vous adore, et vous m'aimez, Mon coeur en est ravi, mes sens en sont charmés ; Mais parmi ce bonheur suprême J'ai le malheur de ne savoir qui j'aime. Dissipez cet aveuglement, Et faites-moi connaître un si parfait amant."")",0.71,Substitution
218,,"('#l-amour', 'Psyché, que venez-vous de dire ?')",1.0,Deletion
219,,"('#psyche', ""Que c'est le bonheur où j'aspire ; Et si vous ne me l'accordez..."")",1.0,Deletion
220,"('#les-dieux', 'Il a tort, il a tort, il a tort.')",,1.0,Insertion
221,"('#vulcain', ""Monsieur Momus, ne venez pas ici, par vos fades plaisanteries, troubler la gravité de nos juges, elle fait plus de la moitié de leur science.  Il m'a fait oublier la moitié de mon plaidoyer...  Ah, le voici !  Vous voyez devant vous l'affligé Vulcain votre confrère..."")","('#l-amour', ""Je l'ai juré, je n'en suis plus le maître, Mais vous ne savez pas ce que vous demandez. Laissez-moi mon secret, si je me fais connaître, Je vous perds, et vous me perdez. Le seul remède est de vous en dédire."")",0.95,Substitution
222,"('#les-dieux', 'Il a tort, il a tort, il a tort. ')",,1.0,Insertion
223,"('#vulcain', ""Un petit reste de musique, qui était demeuré en l'air. Je dis donc, messieurs... "")","('#psyche', ""C'est là sur vous mon souverain empire ?"")",1.47,Substitution
