,la-fontaine-daphne,voltaire-pandore,Cost,Operation Type
209,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#le-destin', ""Cessez, cessez, guerre funeste :  Ce jour forme un autre univers.  Souverains du séjour céleste,  Rendez Pandore à ses déserts.  Dieux, comblez cet objet de tous vos dons divers.  Titans, qui jusqu'au ciel avez porté la guerre,  Malheureux, soyez terrassés :  À jamais gémissez  Sous ces monts renversés,  Qui vont retomber sur la terre.  Les rochers se détachent et retombent. Le char des dieux descend sur la terre. On remet Pandore à Prométhée."")",0.89,Substitution
210,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",,1.0,Insertion
211,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#jupiter', ""Ô Destin ! Le maître des dieux  Est l'esclave de la puissance.  Eh bien ! sois obéi : mais que ce jour commence  Le divorce éternel de la terre et des cieux.  Némésis, sors des sombres lieux.  Séduis le coeur, trompe les yeux  De la beauté qui m'offense.  Pandore, connais ma vengeance  Jusque dans mes dons précieux.  Que cet instant commence  Le divorce éternel de la terre et des cieux.  Némésis sort du fond du théâtre, et Jupiter continue."")",0.28,Substitution
212,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")",,1.0,Insertion
213,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ?  Êtes-vous soumis ou vainqueur ? "")",0.3,Substitution
214,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")",,1.0,Insertion
215,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#promethee', ""La victoire est à moi, si vous m'aimez encore.  L'Amour et le Destin parlent en ma faveur. "")",0.49,Substitution
216,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ? "")",0.93,Substitution
217,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')",,1.0,Insertion
218,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')",,1.0,Insertion
219,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#promethee', 'Les Titans sont tombés : plaignez leur sort affreux.  Je dois soulager leur chaîne.  Apprenons à la race humaine  À secourir les malheureux. ')",1.08,Substitution
220,"('#daphne', 'Il le faut.')",,1.0,Insertion
221,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#pandore', 'Demeurez un moment. Voyez votre victoire.  Ouvrons ce don charmant du souverain des dieux :  Ouvrons. ')",0.69,Substitution
222,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")",,1.0,Insertion
223,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#promethee', ""Que faites-vous ? Hélas ! Daignez me croire.  Je crains tout d'un rival : et ces soins curieux  Sont des pièges nouveaux que vous tendent les dieux. "")",0.48,Substitution
224,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")",,1.0,Insertion
225,"('#leucippe', 'Achevez.')","('#pandore', 'Quoi ! Vous pensez... ? ')",1.04,Substitution
226,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#promethee', ""Songez à ma prière,  Songez à l'intérêt de la nature entière,  Et du moins attendez mon retour en ces lieux. "")",1.1,Substitution
227,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#pandore', 'Eh bien ! Vous le voulez : il faut vous satisfaire.  Je soumets ma raison : je ne veux que vous plaire.  Je jure, je promets à mes tendres amours  De vous croire toujours. ')",0.74,Substitution
228,,"('#promethee', 'Vous me le promettez ? ')",1.0,Deletion
229,"('#daphne-', ""Ne m'aimez plus."")","('#pandore', ""J'en jure par vous-même.  On obéit dès que l'on aime. "")",1.04,Substitution
230,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')","('#promethee', ""C'en est assez, je pars, et je suis rassuré.  Nymphes des bois, redoublez votre zèle :  Chantez cet univers détruit et réparé.  Que tout s'embellisse à son gré,  Puisque tout est formé pour elle.  Il sort."")",1.29,Substitution
231,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#une-nymphe', ""Voici le siècle d'or, voici le temps de plaire.  Doux loisir, ciel pur, heureux jours,  Tendres amours,  La nature est votre mère.  Comme elle durez toujours. "")",1.02,Substitution
232,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#une-autre-nymphe', ""La discorde, la triste guerre,  Ne viendront plus nous affliger :  Le bonheur est né sur la terre.  Le malheur était étranger.  Les fleurs commencent à paraître :  Quelle main pourrait les flétrir ?  Les plaisirs s'empressent de naître :  Quels tyrans les feraient périr ? "")",0.62,Substitution
233,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')","('#le-choeur', ""Voici le siècle d'or, voici le temps de plaire.  Doux loisir, ciel pur, heureux jours,  Tendres amours,  La nature est votre mère.  Comme elle durez toujours. "")",1.02,Substitution
234,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")","('#une-nymphe', ""Vous voyez l'éloquent Mercure :  Il est avec Pandore, il confirme en ces lieux,  De la part du maître des dieux,  La paix de la nature.  Les nymphes se retirent : Pandore s'avance avec Némésis, qui paraît sous la figure de Mercure. "")",0.45,Substitution
235,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#nemesis', ""Je vous l'ai déjà dit, Prométhée est jaloux :  Il abuse de sa puissance. "")",1.12,Substitution
236,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#pandore', ""Il est l'auteur de ma naissance,  Mon roi, mon amant, mon époux. "")",1.25,Substitution
237,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#nemesis', ""Il porte à trop d'excès les droits qu'il a sur vous.  Devait-il jamais vous défendre  De voir ce don charmant que vous tenez des dieux ? "")",0.78,Substitution
238,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#pandore', ""Il craint tout : son amour est tendre,  Et j'aime à complaire à ses voeux. "")",0.72,Substitution
239,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')","('#nemesis', ""Il en exige trop, adorable Pandore :  Il n'a point fait pour vous ce que vous méritez.  Il put en vous formant vous donner des beautés  Dont vous manquez peut-être encore. "")",1.64,Substitution
240,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#pandore', ""Il m'a fait un coeur tendre, il me charme, il m'adore :  Pouvait-il mieux m'embellir ? "")",0.93,Substitution
241,,"('#nemesis', 'Vos charmes périront. ')",1.0,Deletion
242,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#pandore', 'Vous me faites frémir ! ')",0.99,Substitution
243,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#nemesis', 'Cette boîte mystérieuse  Immortalise la beauté :  Vous serez, en ouvrant ce trésor enchanté,  Toujours belle, toujours heureuse :  Vous régnerez sur votre époux :  Il sera soumis et facile.  Craignez un tyran jaloux :  Formez un sujet docile. ')",1.16,Substitution
244,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#pandore', ""Non, il est mon amant, il doit l'être à jamais.  Il est mon roi, mon dieu, pourvu qu'il soit fidèle.  C'est pour l'aimer toujours qu'il faut être immortelle :  C'est pour le mieux charmer que je veux plus d'attraits. "")",0.39,Substitution
245,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")",,1.0,Insertion
246,"('#leucippe', 'Mes amours sont mes dieux.')","('#nemesis', ""Ah ! C'est trop vous en défendre : Je sers vos tendres amours :  Je ne veux que vous apprendre  À plaire, à brûler toujours. "")",0.63,Substitution
247,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")",,1.0,Insertion
248,"('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')","('#pandore', ""Mais n'abusez-vous point de ma faible innocence ?  Auriez-vous tant de cruauté ? "")",0.86,Substitution
249,,"('#nemesis', 'Ah ! Qui pourrait tromper une jeune beauté ?  Tout prendrait votre défense. ')",1.0,Deletion
250,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")","('#pandore', 'Hélas ! Je mourrais de douleur,  Si je méritais sa colère,  Si je pouvais déplaire  Au maître de mon coeur. ')",0.79,Substitution
251,"('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')","('#nemesis', 'Au nom de la nature entière,  Au nom de votre époux, rendez-vous à ma voix. ')",1.18,Substitution
252,"('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')","('#pandore', ""Ce nom l'emporte, et je vous crois :  Ouvrons.  Quelle vapeur épaisse, épouvantable,  M'a dérobé le jour, et troublé tous mes sens ?  Dieu trompeur, ministre implacable !  Ah ! Quels maux affreux je ressens !  Je me vois punie et coupable.  Elle ouvre la boîte : la nuit se répand sur le théâtre, et l'on entend un bruit souterrain."")",1.03,Substitution
253,"('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")","('#nemesis', ""Fuyons de la terre et des airs.  Jupiter est vengé, rentrons dans les enfers.  Némésis s'abîme : Pandore est évanouie sur un lit de gazon."")",0.79,Substitution
254,"('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")","('#promethee', ""Ô surprise ! Ô douleur profonde !  Fatale absence ! Horribles changements !  Quels astres malfaisants  Ont flétri la face du monde ?  Je ne vois point Pandore : elle ne répond pas  Aux accents de ma voix plaintive.  Pandore ! mais, hélas ! de l'infernale rive  Les monstres déchaînés volent dans ces climats. "")",0.82,Substitution
255,"('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")",,1.0,Insertion
256,"('#amour', ""Viens l'éprouver."")","('#furies-et-demons', ""Les temps sont remplis :  Voici notre empire :  Tout ce qui respire  Nous sera soumis.  La triste froidure  Glace la nature  Dans les flancs du Nord.  La Crainte tremblante,  L'injure arrogante,  Le sombre Remord,  La Guerre sanglante,  Arbitre du sort,  Toutes les furies  Vont avec transport  Dans ces lieux impies  Apporter la mort. "")",1.59,Substitution
257,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")","('#promethee', ""Quoi ! La mort en ces lieux s'est donc fait un passage !  Quoi ! La terre a perdu son éternel printemps,  Et ses malheureux habitants  Sont tombés en partage  A la fureur des dieux, de l'enfer, et du temps !  Ces nymphes de leurs pleurs arrosent ce rivage.  Pandore ! Cher objet, ma vie et mon image,  Chef-d'oeuvre de mes mains, idole de mon coeur,  Répondez à ma douleur.  Je la vois, de ses sens elle a perdu l'usage. "")",0.08,Substitution
258,"('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")","('#pandore', ""Ah ! Je suis indigne de vous :  J'ai perdu l'univers, j'ai trahi mon époux.  Punissez-moi : nos maux sont mon ouvrage.  Frappez. "")",0.97,Substitution
259,"('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")","('#promethee', 'Moi, la punir ! ')",1.17,Substitution
260,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')",,1.0,Insertion
261,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")",,1.0,Insertion
262,"('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')",,1.0,Insertion
263,"('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")","('#pandore', 'Frappez, arrachez-moi  Cette vie odieuse  Que vous rendiez heureuse,  Ce jour que je vous dois. ')",1.31,Substitution
264,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")","('#choeur-des-nymphes', ""Tendre époux, essuyez ses larmes :  Faites grâce à tant de beauté :  L'excès de sa fragilité  Ne saurait égaler ses charmes. "")",0.98,Substitution
265,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")",,1.0,Insertion
266,"('#choeur', 'Comment faire Pour se taire ?')","('#promethee', 'Quoi ! Malgré ma prière, et malgré vos serments,  Vous avez donc ouvert cette boîte odieuse ? ')",1.07,Substitution
267,"('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")","('#pandore', 'Un dieu cruel, par ses enchantements,  A séduit ma raison faible et trop curieuse.  Ô fatale crédulité !  Tous les maux sont sortis de ce don détesté,  Tous les maux sont venus de la triste Pandore. \n')",1.13,Substitution
268,"('#le-mechant-poete', 'Quoi ! Dans ces lieux sacrés on souffre la satire !')","('#l-amour', ""Tous les biens sont à vous, l'Amour vous reste encore.  Le théâtre change, et représente le palais de l'Amour."")",1.79,Substitution
269,"('#thalie', ""Soyez les premiers à rire. Les ridicules se consolent et font une entrée, dansant tous sur les mêmes pas, et gardant toutefois, autant qu'ils peuvent, leur caractère.  Mercure, monté sur Pégase, descend au sacré vallon. Il interrompt la danse des ridicules, et vient présenter trois couronnes de laurier à ces trois genres de poésie. "")","('#l-amour', ""Je combattrai pour vous le Destin rigoureux.  Aux humains j'ai donné l'être :  Ils ne seront point malheureux  Quand ils n'auront que moi pour maître. "")",1.54,Substitution
270,"('#mercure', ""Chacun de vous doit être couronné : Recevez ces présents de la part de Daphné. Elle est maintenant déesse, Aimant le dieu de ces lieux : Poussez-en jusques aux cieux Des chants remplis d'allégresse. Mercure revole au ciel, ayant laissé Pégase sur le double mont. Quatre auteurs lyriques et autant de Muses du même genre viennent danser en témoignage de joie ; puis les ridicules se mêlent avec eux, formant de différentes figures avec des branches de laurier qu'ils portent tous, et dont ils se font des espèces de berceaux. C'est le grand ballet. "")","('#pandore', ""Consolateur charmant, dieu digne de mes voeux,  Vous qui vivez dans moi, vous, l'âme de mon âme,  Punissez Jupiter en redoublant la flamme  Dont vous nous embrasez tous deux. "")",0.13,Substitution
271,"('#une-muse-lyrique', ""Il n'est que de s'enflammer ; Laissez, laissez-vous charmer ; La raison vous y convie : Sans le dieu qui fait aimer, Que serait-ce que la vie ? Le grand ballet recommence encore."")","('#promethee #pandore', ""Le ciel en vain sur nous rassemble  Les maux, la crainte, et l'horreur de mourir.  Nous souffrirons ensemble,  Et ce n'est point souffrir."")",0.8,Substitution
272,"('#autre-muse-lyrique', 'Chacun sert quelque désir ; Tout consiste à bien choisir ; Faites-vous de douces chaînes : En amour tout est plaisir, Et même jusques aux peines.')","('#l-amour', ""Descendez, douce Espérance,  Venez, Désirs flatteurs :  Habitez dans tous les coeurs,  Vous serez leur jouissance.  Fussiez-vous trompeurs,  C'est vous qu'on implore :  Par vous on jouit,  Au moment qui passe et qui fuit,  Du moment qui n'est pas encore. "")",0.47,Substitution
273,"('#le-choeur', ""Aimez, doctes nourrissons : S'il n'était point d'amour, serait-il des chansons ?"")","('#pandore', ""Des destins la chaîne redoutable  Nous entraîne à d'éternels malheurs :  Mais l'Espoir, à jamais secourable,  De ses mains viendra sécher nos pleurs.  Dans nos maux il sera des délices :  Nous aurons de charmantes erreurs :  Nous serons au bord des précipices,  Mais l'Amour les couvrira de fleurs. "")",0.6,Substitution
