,campistron-achille,corneillep-andromede,Cost,Operation Type
147,"('#priam', ""Par vos sacrés aïeux ; par le nom de Thétis, Laissez-moi recueillir les cendres de mon fils. Pour m'accorder la grâce que j'espère, Souvenez-vous de votre père, Et songez quel amour il eût toujours pour vous Je sentais pour mon fils une égale tendresse ; Ah ! Jugez par l'excès de cet amour si doux Quel doit être aujourd'hui l'excès de ma tristesse."")","('#cassiope', ""Me voici, qui seule ai fait le crime ; Me voici, justes dieux, prenez votre victime : S'il est quelque justice encore parmi vous, C'est à moi seule, à moi qu'est dû votre courroux. Punir les innocents, et laisser les coupables, Inhumains ! Est-ce en être, est-ce en être capables ? À moi tout le supplice, à moi tout le forfait. Que faites-vous, cruels ? Qu'avez-vous presque fait ? Andromède est ici votre plus rare ouvrage ; Andromède est ici votre plus digne image ; Elle rassemble en soi vos attraits divisés : On vous connaîtra moins si vous la détruisez. Ah ! Je découvre enfin d'où provient tant de haine : Vous en êtes jaloux plus que je n'en fus vaine ; Si vous la laissiez vivre, envieux tout-puissants, Elle aurait plus que vous et d'autels et d'encens ; Chacun préférerait le portrait au modèle, Et bientôt l'univers n'adorerait plus qu'elle."")",0.05,Substitution
148,"('#polixene', ""Que pourrais-je espérer du secours de mes pleurs, Si mon père et ma soeur vous trouvent inflexible ! Si vous méprisez leurs douleurs, À mes plaintes, hélas ! Serez-vous plus sensible ? Sorti du sang des Dieux, imitez leur bonté, À nos soupirs rendez-vous favorable, N'augmentez point l'excès de notre adversité Par un refus impitoyable."")","('#andromede', ""En l'état où je suis le sort m'est-il trop doux, Si vous ne me donnez de quoi craindre pour vous ? Faut-il encore ce comble à des malheurs extrêmes ? Qu'espérez-vous, madame, à force de blasphèmes ?"")",0.0,Match
149,,"('#cassiope', ""Attirer et leur monstre et leur foudre sur moi ; Mais je ne les irrite, hélas ! Que contre toi : Sur ton sang innocent retombent tous mes crimes ; Seule tu leur tiens lieu de mille autres victimes ; Et pour punir ta mère ils n'ont, ces cruels dieux, Ni monstre dans la mer, ni foudre dans les cieux. Aussi savent-ils bien que se prendre à ta vie, C'est percer de mon coeur la plus tendre partie ; Que je souffre bien plus en te voyant périr, Et qu'ils me feraient grâce en me faisant mourir. Ma fille, c'est donc là cet heureux hyménée, Cette illustre union par Vénus ordonnée, Qu'avec tant de pompe il fallait préparer, Et que ces mêmes dieux devaient tant honorer ! Ce que nos yeux ont vu n'était-ce donc qu'un songe, Déesse ? Ou ne viens-tu que pour dire un mensonge ? Nous aurais-tu parlé sans l'aveu du destin ? Est-ce ainsi qu'à nos maux le ciel trouve une fin ? Est-ce ainsi qu'Andromède en reçoit les caresses ? Si contre elle l'envie émeut quelques déesses, L'amour en sa faveur n'arme-t-il point de dieux ? Sont-ils tous devenus ou sans coeur, ou sans yeux ? Le maître souverain de toute la nature Pour de moindres beautés a changé de figure ; Neptune a soupiré pour de moindres appas ; Elle en montre à Phébus que Daphné n'avait pas ; Et l'Amour en Psyché voyait bien moins de charmes, Quand pour elle il daigna se blesser de ses armes. Qui dérobe à tes yeux le droit de tout charmer, Ma fille ? Au vif éclat qu'ils sèment dans la mer, Les tritons amoureux, malgré leurs Néréides, Devraient déjà sortir de leurs grottes humides, Aux fureurs de leur monstre à l'envi s'opposer, Contre ce même écueil eux-mêmes l'écraser, Et de ses os brisés, de sa rage étouffée, Au pied de ton rocher t'élever un trophée."")",1.0,Deletion
150,"('#achille', ""Que peut-on refuser au pouvoir de vos yeux ? Vous pouvez tout en ces lieux. Rassurez-vous calmez la douleur qui vous presse, Emportez dans vos murs, ce héros glorieux, Ne craignez point les efforts de la Grèce, J'arrêterai ses desseins furieux : Suivez l'ardeur qui vous anime, Rien ne vous troublera dans ce soin légitime : Je ne vais songer désormais Qu'à vous donner une éternelle paix."")","('#andromede', ""Renouveler le crime, est-ce pour les fléchir ? Vous hâtez mon supplice au lieu de m'affranchir. Vous appelez le monstre. Ah ! Du moins à sa vue Quittez la vanité qui m'a déjà perdue. Il n'est mortel ni dieu qui m'ose secourir. Il vient : consolez-vous, et me laissez mourir."")",0.0,Match
151,"('#achille', ""C'en est fait, cher Arcas, j'adore Polixène, Quoiqu'il en coûte enfin, je veux la posséder ; C'est toi que j'ai choisi, pour aller demander, Cours à Troie, il est temps de soulager ma peine."")","('#cassiope', ""Je le vois, c'en est fait. Parois du moins, Phinée, Pour sauver la beauté qui t'était destinée ; Parais, il en est temps ; viens en dépit des dieux Sauver ton Andromède, ou périr à ses yeux ; L'amour te le commande, et l'honneur t'en convie ; Peux-tu, si tu la perds, aimer encore la vie ?"")",0.0,Match
152,"('#arcas', ""Son père, à votre amour, voudra-t-il l'accorder ?"")","('#andromede', ""Il n'a manque d'amour, ni manque de valeur ; Mais sans doute, madame, il est mort de douleur ; Et comme il a du coeur et sait que je l'adore, Il périrait ici, s'il respirait encore."")",1.8,Substitution
153,"('#achille', ""Il sera trop heureux de me donner sa fille, Et de me voir devenir son époux ; L'amitié, que ce noeud fera naître entre nous, Soutiendra désormais son trône et sa famille."")","('#cassiope', ""Dis plutôt que l'ingrat n'ose te mériter. Toi donc, qui plus que lui t'osais tantôt vanter, Viens, amant inconnu, dont la haute origine, Si nous t'en voulons croire, est royale ou divine ; Viens en donner la preuve, et par un prompt secours, Fais-nous voir quelle foi l'on doit à tes discours ; Supplante ton rival par une illustre audace ; Viens à droit de conquête en occuper la place : Andromède est à toi si tu l'oses gagner. Quoi ? Lâches, le péril vous la fait dédaigner ! Il éteint en tous deux ces flammes sans secondes ! Allons, mon désespoir, jusqu'au milieu des ondes Faire servir l'effort de nos bras impuissants D'exemple et de reproche à leurs feux languissants ; Faisons ce que tous deux devraient faire avec joie ; Détournons sa fureur dessus une autre proie : Heureuse si mon sang la pouvait assouvir ! Allons. Mais qui m'arrête ? Ah ! C'est mal me servir."")",1.13,Substitution
154,"('#arcas', ""Juste Ciel ! Des Troyens vous devenez l'appui ? Loin de les accabler, vous voulez les défendre."")","('#timante', 'Courez-vous à la mort quand on vole à votre aide ? Voyez par quels chemins on secourt Andromède ; Quel héros, ou quel dieu sur ce cheval ailé...')",1.0,Substitution
155,,"('#cassiope', ""Ah ! C'est cet inconnu par mes cris appelé, C'est lui-même, seigneur, que mon âme étonnée..."")",1.0,Deletion
156,"('#achille', ""Contre un peuple abattu, que pourrais-je entreprendre, Après ce que mon bras vient de faire aujourd'hui ? Hector seul méritait la gloire De mourir par mes coups, Le reste des Troyens après cette victoire Est indigne de mon courroux."")","('#persee', ""Reine, voyez par là si je vaux bien Phinée, Si j'étais moins que lui digne de votre choix, Et si le sang des dieux cède à celui des rois."")",0.61,Substitution
157,,"('#cassiope', ""Rien n'égale, seigneur, un amour si fidèle ; Combattez donc pour vous en combattant pour elle : Vous ne trouverez point de sentiments ingrats."")",1.0,Deletion
158,,"('#persee', 'Adorable princesse, avouez-en mon bras.')",1.0,Deletion
159,,"('#le-choeur', ""Courage, enfant des Dieux ! Elle est votre conquête ; Et jamais amant ni guerrier Ne vit ceindre sa tête D'un si beau myrte ou d'un si beau laurier."")",1.0,Deletion
160,"('#achille', ""Quand après un cruel tourment, L'hymen succède Aux tendre désirs d'un amant, Que le trouble qui précède Ce bien heureux moment Est doux et charmant! Mais, on vient en ces lieux, ma surprise est extrême ! C'est Agamemnon lui-même."")","('#voix', 'Andromède est le prix qui suit votre victoire : Combattez, combattez ; Et vos plaisirs et votre gloire Rendront jaloux les dieux dont vous sortez.')",0.59,Substitution
161,"('#agamemnon', ""Je ne saurais plus longtemps Conserver contre vous mes chagrins et ma haine, Après vos exploits éclatants, Un mouvement plus doux près de vous me ramène : Avec les jours d'Hector nos périls sont passés, Troie a perdu la bras qui pouvait la défendre."")","('#le-choeur', ""Courage, enfant des dieux ! Elle est votre conquête ; Et jamais amant ni guerrier Ne vit ceindre sa tête D'un si beau myrte ou d'un si beau laurier."")",0.51,Substitution
162,,"('#timante', 'Voyez de quel effet notre attente est suivie, Madame : elle est sauvée, et le monstre est sans vie.')",1.0,Deletion
163,,"('#persee', ""Rendez grâces au dieu qui m'en a fait vainqueur."")",1.0,Deletion
164,"('#achille', ""J'ai fait mon devoir, c'est assez, Vous n'avez point de grâces à mes rendre : Je n'ai point crû servir ceux qui m'ont outragé, Et c'est Patrocle seul que mon bras a vengé."")","('#cassiope', ""Ô ciel ! Que ne vous puis-je assez ouvrir mon coeur ! L'oracle de Vénus enfin s'est fait entendre : Voilà ce dernier choix qui nous devait tout rendre ; Et vous êtes, seigneur, l'incomparable époux Par qui le sang des dieux se doit joindre avec nous. Ne pense plus, ma fille, à ton ingrat Phinée : C'est à ce grand héros que le sort t'a donnée ; C'est pour lui que le ciel te destine aujourd'hui ; Il est digne de toi, rends-toi digne de lui."")",0.39,Substitution
165,"('#agamemnon', 'Votre colère dure encore, Elle éclate dans vos discours : Il faut, pour en finir le cours, Vous rendre la beauté qui vous aime toujours, Et que votre coeur adore. Venez, charmant objet, revoyez votre amant.')","('#persee', ""Il faut la mériter par mille autres services ; Un peu d'espoir suffit pour de tels sacrifices. Princesse, cependant quittez ces tristes lieux, Pour rendre à votre cour tout l'éclat de vos yeux. Ces vents, ces mêmes vents qui vous ont enlevée, Vont rendre de tout point ma victoire achevée : L'ordre que leur prescrit mon père Jupiter Jusqu'en votre palais les force à vous porter, Les force à vous remettre où tantôt leur surprise..."")",0.08,Substitution
166,"('#achille', 'Ah Ciel ! Ma raison cède à mon étonnement.')","('#andromede', ""D'une frayeur mortelle à peine encore remise, Pardonnez, grand héros, si mon étonnement N'a pas la liberté d'aucun remerciement."")",0.32,Substitution
167,"('#agamemnon', ""Mes respects, mes soupirs, les marques de ma flamme N'ont fait qu'allumer son courroux ; Ses constantes rigueurs m'ont appris que son âme Ne peut brûler que pour vous."")","('#persee', 'Venez, tyrans des mers, réparer votre crime, Venez restituer cette illustre victime ; Méritez votre grâce, impétueux mutins, Par votre obéissance au maître des destins.')",0.42,Substitution
168,"('#diomede', ""Jouissez du bonheur que l'amour vous présente, Que votre ardeur s'augmente De moment en moment ! Que c'est un plaisir charmant, Après une absence cruelle, De retrouver sa maîtresse fidèle !"")","('#cassiope', ""Peuple, qu'à pleine voix l'allégresse publique Après un tel miracle en triomphe s'explique, Et fasse retentir sur ce rivage heureux L'immortelle valeur d'un bras si généreux."")",0.39,Substitution
169,"('#briseis', ""Quel triste accueil, Dieux ! Qu'est-ce que je vois? Suis-je encor Briseis ? N'êtes-vous plus Achille ? Pouvez vous me revoir, et demeurer tranquille ? Qu'est devenu l'amour dont vous brûliez pour moi ? Vous ne répondez point ?..."")","('#le-choeur', ""Le monstre est mort, crions victoire, Victoire tous, victoire à pleine voix ; Que nos campagnes et nos bois Ne résonnent que de sa gloire. Princesse, elle vous donne enfin l'illustre époux Qui seul était digne de vous. Vous êtes sa digne conquête. Victoire tous, victoire à son amour ! C'est lui qui nous rend ce beau jour, C'est lui qui calme la tempête ; Et c'est lui qui vous donne enfin l'illustre époux Qui seul était digne de vous."")",1.07,Substitution
170,"('#achille', 'Hélas !')",,1.0,Insertion
171,"('#briseis', ""Que me veut dire Ce regard, ce soupir échappé malgré vous ? Ah ! Que mon destin sera doux, Si c'est encor pour moi que votre coeur soupire ?"")","('#cassiope', ""Dieux ! J'étais sur ces bords immobile de joie. Allons voir où ces vents ont reporté leur proie, Embrasser ce vainqueur, et demander au roi L'effet du juste espoir qu'il a reçu de moi."")",0.32,Substitution
172,"('#achille', ""Ô Ciel ! Que je suis malheureux ! Dans quel temps venez-vous m'accabler de vos larmes ? Que ne suis-je, à mon gré, le maître de mes voeux ! Je finirais bientôt vos mortelles alarmes Mais un charme fatal..."")","('#cymodoce', 'Ainsi notre colère est de tout point bravée ; Ainsi notre victime à nos yeux enlevée Va croître les douceurs de ses contentements Par le juste mépris de nos ressentiments.')",0.77,Substitution
173,"('#briseis', ""Perfide c'est assez. Je vois toute mon infortune, Un autre amour te rend ma tendresse importune, Je te fatigue enfin par mes soins empressés : Le bruit de cette amour nouvelle Était venu jusques à moi, Mais je n'ai pu le croire, et soupçonner ta foi, J'ai cru ton coeur trop grand, pour n'être pas fidèle. C'en est donc fait ? Je ne dois plus penser À l'hymen qui faisait toute mon espérance, À ce suprême honneur il me faut renoncer, D'un amour si parfait, funeste récompense ! Dieux ! Quelle est ma douleur ! Je cède à son effort, Cruel, peux-tu la voir avec indifférence ? Et ne sais-tu pas que ma mort Suivra de près ton inconstance ?"")","('#ephyre', ""Toute notre fureur, toute notre vengeance Semble avec son destin être d'intelligence, N'agir qu'en sa faveur ; et ses plus rudes coups Ne font que lui donner un plus illustre époux."")",0.24,Substitution
174,"('#achille', ""Je ne puis entendre Une plainte si tendre Je souffre autant que vous, les Dieux m'en sont témoins, Faut-il vous immoler ma vie ? Ordonnez, ce sera le plus doux de mes soins De satisfaire à votre envie : Mais, calmez vos transports, et ne m'affligez plus Par des reproches superflus. Vous connaissez mon coeur incapable de feindre, Je suis moins criminel, que je ne suis à plaindre, Du sort et de l'Amour l'indispensable loi M'entraîne ailleurs malgré moi."")","('#cydippe', ""Le sort, qui jusqu'ici nous a donné le change, Immole à ses beautés le monstre qui nous venge ; Du même sacrifice, et dans le même lieu, De victime qu'elle est, elle devient le dieu. Cessons dorénavant, cessons d'être immortelles, Puisque les immortels trahissent nos querelles, Qu'une beauté commune est plus chère à leurs yeux ; Car son libérateur est sans doute un des dieux. Autre qu'un dieu n'eût pu nous ôter cette proie Autre qu'un dieu n'eût pu prendre une telle voie ; Et ce cheval ailé fût péri mille fois, Avant que de voler sous un indigne poids."")",0.02,Substitution
175,"('#briseis', ""Quel amant m'est ravi ! Sa valeur, sa noblesse L'élèvent au dessus du reste des mortels, La victoire le suit sans cesse, Et ses moindres vertus méritent des autels, Dans le haut rang où son destin l'appelle Il eut été parfait, s'il eut été fidèle. Mais n'est-il pas quelque moyen De détourner l'hymen où son coeur se prépare ? Ah ! Faisons que Junon contre lui se déclare, Elle hait tout le sang Troyen, Et ne souffrira pas que cet hymen funeste Sauve un peuple qu'elle déteste, Puissante Reine des Cieux ! Écoutez moi, daignez jeter les yeux Sur le malheur qui me menace, Prévenez ma honte et ma mort, En prenant pitié de mon sort. Des perfides Troyens vous contrez l'audace ? Mes voeux sont exaucés, Junon descend des cieux, Et pour me secourir s'approche de ces lieux. Junon descend sur son char."")","('#cymodoce', ""Oui, c'est sans doute un dieu qui vient de la défendre : Mais il n'est pas, mes soeurs, encore temps de nous rendre ; Et puisqu'un dieu pour elle ose nous outrager, Il faut trouver aussi des dieux à nous venger. Du sang de notre monstre encore toutes teintes, Au palais de Neptune allons porter nos plaintes, Lui demander raison de l'immortel affront Qu'une telle défaite imprime à notre front."")",0.04,Substitution
176,,"('#cydippe', ""Je crois qu'il nous prévient ; les ondes en bouillonnent ; Les conques des tritons dans ces rochers résonnent : c'est lui-même, parlons."")",1.0,Deletion
177,"('#junon', ""Calme tes déplaisirs, ne verse plus de larmes, L'Hymen qui cause tes alarmes Ne sera jamais achevé En vain Priam croit son pays sauvé, Son trône doit tomber, et de toute sa gloire Il ne restera rien qu'une triste mémoire. Je vais évoquer des Enfers La Haine, la Fureur, la Discorde et l'Envie, Leur présence sera suivie De cent prodiges divers. Sortez de la nuit infernale, Noires Divinités, vos antres sont ouverts. Dans le temps que les Divinités sortent des enfers, tout le théâtre est obscurci."")","('#neptune', ""Je sais vos déplaisirs, Mes filles ; et je viens au bruit de vos soupirs, De l'affront qu'on vous fait plus que vous en colère. C'est moi que tyrannise un superbe de frère, Qui dans mon propre état m'osant faire la loi, M'envoie un de ses fils pour triompher de moi. Qu'il règne dans le ciel, qu'il règne sur la terre ; Qu'il gouverne à son gré l'éclat de son tonnerre ; Que même du destin il soit indépendant ; Mais qu'il me laisse à moi gouverner mon trident. C'est bien assez pour lui d'un si grand avantage, Sans me venir braver encore dans mon partage. Après cet attentat sur l'empire des mers, Même honte à leur tour menace les enfers ; Aussi leur souverain prendra notre querelle : Je vais l'intéresser avec Junon pour elle ; Et tous trois, assemblant notre pouvoir en un, Nous saurons bien dompter notre tyran commun. Adieu : consolez-vous, nymphes trop outragées ; Je périrai moi-même, ou vous serez vengées ; Et j'ai su du destin, qui se ligue avec nous, Qu'Andromède ici-bas n'aura jamais d'époux."")",0.38,Substitution
178,,"('#cymodoce', ""Après le doux espoir d'une telle promesse, Reprenons, chères soeurs, une entière allégresse."")",1.0,Deletion
179,"('#briseis', ""L'horreur de leur séjour, se répand dans les airs !"")","('#persee', ""Que me permettez-vous, madame, d'espérer ? Mon amour jusqu'à vous a-t-il lieu d'aspirer ? Et puis-je, en cette illustre et charmante journée, Prétendre jusqu'au coeur que possédait Phinée ?"")",1.29,Substitution
180,"('#junon', 'Volez, portez par tout votre rage fatale, Versez dans tous les coeurs votre mortel poison, Chassez la paix de cette terre, Et faites y régner la guerre, La vengeance et la trahison. Versez dans tous les coeurs votre mortel poison. Poursuivez votre carrière, Soleil, et rendez-nous votre clarté première. Junon remonte dans son char.')","('#andromede', ""Laissez-moi l'oublier, puisqu'on me donne à vous ; Et s'il l'a possédé, n'en soyez point jaloux. Le choix du roi l'y mit, le choix du roi l'en chasse ; Ce même choix du roi vous y donne sa place ; N'exigez rien de plus : je ne sais point haïr, Je ne sais point aimer, mais je sais obéir : Je sais porter ce coeur à tout ce qu'on m'ordonne, Il suit aveuglément la main qui vous le donne : De sorte, grand héros, qu'après le choix du roi, Ce que vous demandez est plus à vous qu'à moi."")",0.69,Substitution
181,"('#briseis', ""Favorable Déesse, J'attends le succès de vos soins. La Danse des Furies a été faite par Mr. Lestang."")","('#persee', ""Que je puisse abuser ainsi de sa puissance ! Hasarder vos plaisirs sur votre obéissance ! Et de libérateur de vos rares beautés M'élever en tyran dessus vos volontés ! Princesse, mon bonheur vous aurait mal servie, S'il vous faisait esclave en vous rendant la vie, Et s'il n'avait sauvé des jours si précieux Que pour les attacher sous un joug odieux. C'est aux courages bas, c'est aux amants vulgaires, À faire agir pour eux l'autorité des pères. Souffrez à mon amour des chemins différents. J'ai vu parler pour moi les dieux et vos parents ; Je sens que mon espoir s'enfle de leur suffrage ; Mais je n'en veux enfin tirer autre avantage Que de pouvoir ici faire hommage à vos yeux Du choix de vos parents et du vouloir des dieux. Ils vous donnent à moi, je vous rends à vous-même ; Et comme enfin c'est vous, et non pas moi, que j'aime, J'aime mieux m'exposer à perdre un bien si doux, Que de vous obtenir d'un autre que vous. Je garde cet espoir et hasarde le reste, Et me soit votre choix ou propice ou funeste, Je bénirai l'arrêt qu'en feront vos désirs, Si ma mort vous épargne un peu de déplaisirs. Remplissez mon espoir ou trompez mon attente, Je mourrai sans regret, si vous vivez contente ; Et mon trépas n'aura que d'aimables moments, S'il vous ôte un obstacle à vos contentements."")",1.12,Substitution
182,"('#junon', ""Avant la fin du jour tes yeux seront témoins  De l'effet de ma promesse."")","('#andromede', ""C'est trop d'être vainqueur dans la même journée Et de ma retenue et de ma destinée. Après que par le roi vos voeux sont exaucés, Vous parler d'obéir c'était vous dire assez ; Mais vous voulez douter, afin que je m'explique, Et que votre victoire en devienne publique. Sachez donc..."")",0.57,Substitution
183,"('#briseis', ""Junon pour moi vient de se déclarer, Elle a fait, à mes yeux, éclater sa puissance, Je dois tout espérer Se sa divine assistance. Mais quel bruit harmonieux Se fait entendre dans ces lieux ! Ah ? Je vois les bergers que l'horreur de la guerre Avait chassé de cette terre, La trêve les rappelle à leur premier séjour, Et déjà leurs chansons annoncent leur retour. Que leurs chants irritent la peine Et la douleur que je sens ! Fuyons, je ne puis voir leurs plaisirs innocents, Puisqu'ils sont dûs à Polixène. On entend un bruit de haut-bois et de flûtes."")","('#persee', ""Non, madame : où j'ai tant d'intérêt, Ce n'est pas devant moi qu'il faut faire l'arrêt. L'excès de vos bontés pourrait en ma présence Faire à vos sentiments un peu de violence : Ce bras vainqueur du monstre, et qui vous rend le jour, Pourrait en ma faveur séduire votre amour ; La pitié de mes maux pourrait même surprendre Ce coeur trop généreux pour s'en vouloir défendre ; Et le moyen qu'un coeur ou séduit ou surpris Fût juste en ses faveurs, ou juste en ses mépris ? De tout ce que j'ai fait ne voyez que ma flamme ; De tout ce qu'on vous dit ne croyez que votre âme ; Ne me répondez point, et consultez-la bien ; Faites votre bonheur sans aucun soin du mien : Je lui voudrais du mal s'il retranchait du vôtre, S'il vous pouvait coûter un soupir pour quelque autre, Et si quittant pour moi quelques destins meilleurs, Votre devoir laissait votre tendresse ailleurs. Je vous le dis encore dans ma plus douce attente, Je mourrai trop content si vous vivez contente, Et si l'heur de ma vie ayant sauvé vos jours, La gloire de ma mort assure vos amours. Adieu : je vais attendre ou triomphe ou supplice, L'un comme effet de grâce, et l'autre de justice."")",0.13,Substitution
184,"('#un-berger', 'Après tant de trouble et de larmes, Un doux repos succède à nos alarmes, Bénissons à jamais Le généreux vainqueur, qui nous donne la paix.')","('#andromede', ""À ces profonds respects qu'ici vous me rendez Je ne réplique point, vous me le défendez ; Mais quoique votre amour me condamne au silence, Je vous dirai, seigneur, malgré votre défense, Qu'un héros tel que vous ne saurait ignorer Qu'ayant tout mérité, l'on doit tout espérer."")",0.77,Substitution
185,"('#un-berger #une-bergere', ""Cet heureux jour doit nous charmer, Dans ces champs mille fleurs vont renaître, Recommençons d'aimer En les voyant paraître."")","('#andromede', ""Nymphes, l'auriez-vous cru, qu'en moins d'une journée J'aimasse de la sorte un autre que Phinée ? Le roi l'a commandé, mais de mon sentiment Je m'offrais en secret à son commandement. Ma flamme impatiente invoquait sa puissance, Et courait au-devant de mon obéissance. Je fais plus : au seul nom de mon premier vainqueur, L'amour à la colère abandonne mon coeur ; Et ce captif rebelle, ayant brisé sa chaîne, Va jusques au dédain, s'il ne passe à la haine. Que direz-vous d'un change et si prompt et si grand, Qui dans ce même coeur moi-même me surprend ?"")",1.13,Substitution
186,"('#trois-bergers', 'Cherchons, avec empressement,  Ces retraites, ces lieux paisibles, Que le ciel a fait seulement Pour le plaisir des coeurs sensibles.')","('#aglante', ""Que pour faire un bonheur promis par tant d'oracles, Cette grande journée est celle des miracles, Et qu'il n'est pas aux dieux besoin de plus d'effort À changer votre coeur qu'à changer votre sort. Cet empire absolu qu'ils ont dessus nos âmes éteint comme il leur plaît et rallume nos flammes, Et verse dans nos coeurs, pour se faire obéir, Des principes secrets d'aimer et de haïr. Nous en voyions au vôtre en cette haute estime Que vous nous témoigniez pour ce bras magnanime ; Au défaut de l'amour que Phinée emportait, Il lui donnait dès lors tout ce qui lui restait ; Dès lors ces mêmes dieux, dont l'ordre s'exécute, Le penchaient du côté qu'ils préparaient sa chute, Et cette haute estime attendant ce beau jour N'était qu'un beau degré pour monter à l'amour."")",0.31,Substitution
187,"('#un-berger #une-bergere', ""Tristes bocages, Reprenez vos feuillages, Servez nous toujours D'asile à nos amours."")",,1.0,Insertion
188,"('#le-choeur', ""Tristes bocages, Reprenez vos feuillages, Servez nous toujours D'asile à nos amours."")",,1.0,Insertion
189,"('#un-berger #une-bergere', ""Paix adorable, Soyez toujours durable, Sans vous, hélas ! Ces lieux n'ont point d'appas."")","('#cephalie', ""Un digne amour succède à cette haute estime : Si je puis toutefois vous le dire sans crime, C'est hasarder beaucoup que croire entièrement L'impétuosité d'un si prompt changement. Comme pour vous Phinée eut toujours quelques charmes, Peut-être il ne lui faut qu'un soupir et deux larmes Pour dissiper un peu de cette avidité Qui d'un si gros torrent suit la rapidité. Deux amants que sépare une légère offense Rentrent d'un seul coup d'oeil en pleine intelligence. Vous reverrez en lui ce qui le fit aimer, Les mêmes qualités qu'il vous plut estimer..."")",0.72,Substitution
190,"('#le-choeur', ""Paix adorable, Soyez toujours durable, Sans vous, hélas ! Ces lieux n'ont point d'appas. Après tant de troubles et de larmes, Un doux repos succède à nos alarmes, Bénissons à jamais Le généreux vainqueur, qui nous donne la paix."")","('#andromede', ""Et j'y verrai de plus cette âme lâche et basse Jusqu'à m'abandonner à toute ma disgrâce ; Cet ingrat trop aimé qui n'osa me sauver, Qui me voyant périr, voulut se conserver, Et crut s'être acquitté devant ce que nous sommes, En querellant les dieux et menaçant les hommes. S'il eût... Mais le voici : voyons si ses discours Rompront de ce torrent ou grossiront le cours."")",0.4,Substitution
191,"('#polixene', ""Enfin je me vois seule, et je puis sans contrainte, Faire éclater les divers mouvements Dont mon âme est atteinte, Et connaître du moins quels sont mes sentiments. Depuis l'instant fatal où l'invincible Achille A daigné, par ses soins, soulager notre ennui,  Je suis cent fois moins tranquille,  Et je songe toujours à lui. Serait-ce qu'en effet une indigne faiblesse Me préviendrait en sa faveur ? Non, non, je me souviens sans cesse Des maux que m'a causé sa funeste valeur, Et le vainqueur d'Hector, le vengeur de la Grèce Ne peut avoir aucun droit sur mon coeur. C'en est fait je triomphe, et dès ce moment même Je ne veux plus m'en souvenir. Puisse, grand Dieux, votre pouvoir suprême Me condamner et me punir ! Si jamais... Ciel ! Que fais-je ? Et quel transport m'inspire ? Malheureuse, qu'allais-je dire ? Dois-je un serment pour ne le pas tenir ? Je souffre trop dans les cruels combats. Qu'il m'en coûte pour me défendre ! Et je trouve mille appas À me rendre. Mais, puis-je avouer, sans honte,  Que l'Amour me surmonte ? N'écouterai-je plus ni raison, ni devoir ? Contre ce Dieu leur force est impuissante ? Est il un coeur s'exempte  De reconnaître son pouvoir ? Je lui cède aujourd'hui. Tous mes efforts sont vains. Je ne puis résister à l'ardeur qui m'enflamme ; Du moins, si l'Amour dispose mon âme,  C'est en faveur du plus grand des humains."")","('#phinee', ""Sur un bruit qui m'étonne, et que je ne puis croire, Madame, mon amour, jaloux de votre gloire, Vient savoir s'il est vrai que vous soyez d'accord, Par un change honteux, de l'arrêt de ma mort. Je ne suis point surpris que le roi, que la reine, Suivent les mouvements d'une faiblesse humaine : Tout ce qui me surprend, ce sont vos volontés. On vous donne à Persée, et vous y consentez ! Et toute votre foi demeure sans défense, Alors que de mon bien on fait sa récompense !"")",0.0,Match
192,"('#andromaque', ""Ah ! Ma soeur, savez-vous qu'Achille Se flatte qu'un hymen tranquille Avant la fin du jour doit vous unir tous deux ? Souffrirez-vous que ce noeud s'accomplisse ? Et pouvez-vous, sans injustice, De ce fier ennemi favoriser les voeux ? Auriez-vous oublié que sa valeur barbare D'un frère tant aimé pour jamais vous sépare ? D'un frère la terreur, et l'amour des mortels : Cette sanglante mort, cette affreuse victoire Toujours présente à ma mémoire, A condamné mes yeux à des pleurs éternels."")","('#andromede', ""Oui, j'y consens, Phinée, et j'y dois consentir ; Et quel_que_soit ce bien qu'il a su garantir, Sans vous faire injustice on en fait son salaire, Quand il a fait pour moi ce que vous deviez faire. De quel front osez-vous me nommer votre bien, Vous qu'on a vu tantôt n'y prétendre plus rien ? Quoi ? Vous consentirez qu'un monstre me dévore, Et ce monstre étant mort je suis à vous encore ! Quand je sors de péril vous revenez à moi ! Vous avez de l'amour, et je vous dois ma foi ! C'était de sa fureur qu'il me fallait défendre, Si vous vouliez garder quelque droit d'y prétendre : Ce demi-dieu n'a fait, quoi que vous prétendiez, Que m'arracher au monstre à qui vous me cédiez. Quittez donc cette vaine et téméraire idée ; Ne me demandez plus, quand vous m'avez cédée. Ce doit être pour vous même chose aujourd'hui, Ou de me voir au monstre, ou de me voir à lui."")",0.12,Substitution
193,"('#polixene', 'Est-ce de moi que mon sort doit dépendre ? Priam seul en peut disposer.')","('#phinee', ""Qu'ai-je oublié pour vous de ce que j'ai pu faire ? N'ai-je pas des dieux même attiré la colère ? Lorsque je vis Éole armé pour m'en punir, Fut-il en mon pouvoir de vous mieux retenir ? N'eurent-ils pas besoin d'un éclat de tonnerre, Ses ministres ailés, pour me jeter par terre ? Et voyant mes efforts avorter sans effets, Quels pleurs n'ai-je versés, et quels voeux n'ai-je faits ?"")",0.93,Substitution
