,quinault-persee,quinault-proserpine,Cost,Operation Type
170,"('#mercure', ""Je vous laisse au milieu d'un péril redoutable ; Je ne puis plus rien pour vos jours ; Cherchez votre dernier secours Dans un courage inébranlable."")","('#pluton #ascalaphe #divinites-infernales', 'Proserpine ne craignez pas Un dieu charmé de vos appas.')",1.51,Substitution
171,,"('#cyane', ""Qu'elle barbare violence !"")",1.0,Deletion
172,"('#cephee', ""Un prix qui me doit charmer M'est offert par la Victoire : Quel péril peut m'alarmer ? L'amour et la gloire S'unissent pour m'animer. Mercure se retire, Persée, tenant son bouclier devant ses yeux, approche de Méduse ; il lui coupe la tête, et la cacha dans une écharpe pour l'emporter avec lui."")","('#pluton', ""Nymphe, crains ma vengeance : Sur peine de perdre la voix. Garde-toi de parler de tout ce que tu vois. L'écharpe de Proserpine demeure dans les mains de Cyané, et Pluton fait placer Proserpine près de lui sur son char."")",0.14,Substitution
173,,"('#proserpine', 'Ciel ! Prenez ma défense !')",1.0,Deletion
174,,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.0,Deletion
175,"('#cephee', ""Le monde est délivré d'un monstre si terrible ; Le ciel s'est servi de mon bras."")","('#pluton #ascalaphe #divinites-infernales', 'Proserpine, ne craignez pas, Un dieu charmé de vos appas.')",1.44,Substitution
176,"('#euryale #stenone', ""Tu fais périr Méduse ! Ah ! Traître ! Tu mourras.. Qu'il meure d'un trépas horrible ! Mais qui peut le rendre invisible... ? Méduse après sa mort trouble encor l'univers ; C'est son sang qui produit tant de monstres divers, Monstres, cherchez votre victime ; Vengez le sang qui vous anime, Servez nos fureurs, armez-vous ; Vengeons Méduse ; vengeons-nous. Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir. Chrysaor, Pégase et plusieurs autres monstres de figure bizarre et terrible, se forment du sang de Méduse. Chrysaor et Pégase volent, quelques-uns des autres monstres s'élèvent aussi dans l'air, quelques autres rampent, les autres courent, et tous cherchent Persée, qui est caché à leurs yeux par la vertu du casque."")","('#tous-ensemble', ""Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ? Ô disgrâce cruelle ! L'écho fidèle Au fond des bois Répond à notre voix ; Proserpine ? Ah faut-il qu'en vain on vous appelle ! Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ?"")",0.75,Substitution
177,"('#mercure', ""Persée allez, volez où l'amour vous appelle... Gorgones, désormais vous serez sans pouvoir : Ce lieu n'est pas pour vous un séjour assez noir, Venez dans la nuit éternelle. Persée vole, et emporte la tête de Méduse. Les monstres qui s'efforcent de la suivre tombent avec Euryale et Sténone dans les enfers, où Mercure les contraint de descendre."")","('#arethuse', ""N'aurais-je point innocemment Causé tant de cris et de larmes ? D'un désir curieux je n'ai point pris d'alarmes ; Qui croirait que Pluton put devenir amant ! Il demandait à voir Proserpine un moment, Je crains qu'il n'ait trop vu ses charmes, Ce n'est que par mes soins que Cérès peut savoir Si le dieu des enfers tient sa fille captive ; Il m'est permis d'aller sur l'infernale rive : Adieu, dans peu de temps j'espère vous revoir."")",0.4,Substitution
178,"('#euryale #stenone', 'Des gouffres profonds sont ouverts : Ah ! Nous tombons dans les enfers.')",,1.0,Insertion
179,"('#troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')","('#alphee', ""Pouvez-vous oublier qu'il faut que je vous suive ? J'ai sans cesse suivi vos pas Quand j'excitais votre colère : Quand j'ai cessé de vous déplaire Pourrais-je ne vous suivre pas ?"")",1.59,Substitution
180,"('#phinee', ""Persée est de retour, chacun court l'honorer ; Et le bonheur public va me désespérer ! Non, non, il n'est plus temps qu'un vain espoir m'abuse."")","('#arethuse', ""Du maître des enfers je veux aller me plaindre, Craignez en me suivant d'attirer son courroux."")",1.04,Substitution
181,"('#seconde-troupe-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')",,1.0,Insertion
182,"('#merope', 'Allons en secret soupirer : Non, je ne puis plus me montrer,  Triste comme je suis, interdite et confuse.')","('#alphee', ""Pour moi rien n'est tant à craindre Que d'être éloigné de vous. Que l'absence de ce qu'on aime Est un supplice rigoureux ! Pour les coeurs amoureux, Tout autre mal cède à ce mal extrême, Et l'enfer même N'a rien de plus affreux Que l'absence de ce qu'on aime."")",1.23,Substitution
183,"('#troisieme-troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse. Les Éthiopiens sortent.')",,1.0,Insertion
184,"('#phinee', ""Nous ressentons mêmes douleurs, Fuyons une foule importune : D'une plainte commune Déplorons nos communs malheurs."")","('#arethuse #alphee', ""Le bonheur est partout où l'amour est en paix, Ne nous quittons jamais."")",1.2,Substitution
185,"('#merope', ""Que l'amour a pour moi de chagrins et d'alarmes. Que Persée à mon coeur coûte de déplaisirs ! Son départ, ses dangers m'ont fait verser des larmes, Et son heureux retour m'arrache des soupirs. Persée est revenu, mais c'est pour Andromède. Pour m'offrir à ses yeux l'ardeur qui me possède M'a fait empresser vainement : Il n'a rien vu que ce qu'il aime ; Il n'a pas daigné même S'apercevoir de mon empressement, Et tous les soins de mon amour extrême N'ont pas été payés d'un regard seulement."")","('#tous-ensemble', ""Cérès revient ! Ah qu'elle peine ! Cachons-nous à ses yeux. Sa fille n'est plus dans ces lieux ; Son espérance est vaine. Que lui pourrons-nous dire, ô dieux ! Cérès revient ; ah quelle peine ! Cachons-nous à ses yeux, Les nymphes et les dieux des bois se cachent, Alphée et Arethuse descendent aux enfers, le char volant de Cérès s'arrête, et la déesse en descend."")",0.31,Substitution
186,"('#phinee', ""Que le ciel pour Persée est prodigue en miracles ! Qui n'eût pas cru qu'un monstre furieux M'aurait débarrassé d'un rival odieux. Cependant, malgré mille obstacles, Mon rival est victorieux. Il s'est fait des routes nouvelles : Il a volé pour hâter son retour ; Et Mercure et l'Amour Ont pris soin à l'envi de lui prêter des ailes. Le peuple croit lui tout devoir : On entend de son nom retentir ce rivage, Le roi s'est empressé d'honorer son courage, Chacun jusqu'en ces lieux l'est venu recevoir. Qu'Andromède a paru contente de la voir ! Quel triomphe pour lui ! quel charmant avantage ! Et pour moi quelle rage, Et quel horrible désespoir ! La mer s'irrite, les flots s'élèvent et s'étendent sur le rivage."")","('#ceres', ""Je vais revoir ma fille, elle est dans ces campagnes : Je viens d'y voir les nymphes ses compagnes. Je vais goûter près d'elle un sort doux et charmant. Hélas ! Qu'un tendre amour accroît l'empressement De la tendresse maternelle. Proserpine est pour moi le gage précieux De l'amour le plus grand des dieux, C'est Jupiter que j'aime en elle. J'ai rendu les humains heureux, Mes travaux ont comblé leurs voeux ; Il m'est permis enfin d'être heureuse moi-même : Après avoir acquis un immortel honneur, Quand chacun par mes soins goûte un bonheur extrême Qu'il m'est doux de songer à mon propre bonheur. Les nymphes de ces lieux semblent fuir ma présence : Proserpine ? Ma fille ? Ah quel triste silence ! Est-ce ainsi qu'on devait dans cet heureux séjour Se réjouir de mon retour ? Venez, nymphes, venez, que ma fille s'avance. Venez, dieux des bois, venez-tous."")",0.0,Match
187,"('#phinee #merope', ""Les vents impétueux s'échappent de la chaîne Qui le forçait d'être en repos. Une tempête soudaine Soulève les flots... Mer vaste, mer profonde, Dont les flots sont émus par les vents en courroux, Les coeurs amoureux et jaloux Sont plus agites que votre onde ; Les coeurs amoureux et jaloux Sont cent fois plus troublés que vous."")","('#ceres', ""Ma fille n'est pas avec vous ! Quoi, donc, est-ce le soin que vous en deviez prendre ? Rendez-moi Proserpine. Au lieu de me la rendre, Vous m'offrez seulement des soupirs et des pleurs ?"")",1.62,Substitution
188,"('#idas #ethiopiens', 'Ô ciel inexorable ! Ô malheur déplorable !')","('#le-choeur', 'Ô Cérès ! Ô mère trop tendre ! Ah quelles seront vos douleurs.')",1.17,Substitution
189,,"('#ceres', ""Ciel ! On m'ôte ma fille ! Et qui l'ose entreprendre ?"")",1.0,Deletion
190,"('#phinee #merope', ""Qui pourrait traverses ces trop heureux amants ? D'où naissent vos gémissements ? Aux Éthiopiens."")","('#deux-nymphes', ""Nous n'avons pu l'apprendre, Et l'on a pris le temps que nous cueillions des fleurs."")",1.34,Substitution
191,"('#idas', ""L'implacable Junon cause notre infortune ; Elle arme contre nous l'empire de Neptune ; Un monstre en doit sortir, qui viendra dévorer L'innocente Andromède ; Et Thétis et ses soeurs viennent de déclarer Qu'il n'est plus permis d'espérer De voir finir nos maux sans ce cruel remède. Les Tritons ont saisi la princesse à nos yeux ; Et le pouvoir des dieux Nous a rendus tous immobiles. C'est sur ces bords qu'au monstre on la doit exposer. Pour son secours Persée en vain veut tout oser ; Ses efforts seront inutiles : Il faut céder aux dieux ; il faut céder au sort Dont Andromède est poursuivie. Croyait-on voir fini une si belle vie Par une si terrible mort ? Les Éthiopiens se placent sur les rochers qui bordent le rivage."")","('#ceres', ""J'ai cru qu'un doux repos devait ici m'attendre, Et je n'y trouve, hélas ! Que de cruels malheurs."")",0.92,Substitution
192,"('#idas #ethiopiens', 'Ô sort inexorable ! Ô malheur déplorable ! Princesse infortunée, hélas ! Vous méritiez un sort plus favorable ; Vous ne mériteriez pas  Un si cruel trépas... Ô sort inexorable ! Ô malheur Déplorable !')","('#le-choeur', 'Ô Cérès ! Ô mère trop tendre ! Ah ! Quelles seront vos douleurs !')",1.16,Substitution
193,"('#phinee', 'Les dieux ont soin de nous venger : Le plaisir que je sens avec peine se cache.')","('#cyane', ""Je ressens vos ennuis, et j'en suis trop atteinte, Quoiqu'il puisse arriver, vous allez tout savoir. Il faut que mon devoir L'emporte sur ma crainte."")",1.17,Substitution
194,"('#merope', 'Verrez-vous sans douleur Andromède en danger ?')",,1.0,Insertion
195,"('#phinee', ""Est-ce à moi que la mort l'arrache ? C'est à Persée à s'affliger. L'amour meurt dans mon coeur, la rage lui succède ; J'aime mieux voir un monstre affreux Dévorer l'ingrate Andromède, Les appas, les douceurs d'une amour mutuelle, Sont de mon sort fatal les plus terribles coups ; Le fils de Jupiter eût été mon époux ; Ah ! Que ma vie eût été belle ! Dieux ! Qui me destinez une mort si cruelle, etc."")","('#ceres', 'Parle, ma chère Cyané ; Soulage un coeur infortuné.')",1.22,Substitution
196,"('#triton', 'Tremblez, superbe reine... Tremblez, mortels audacieux : Que votre orgueil apprenne Combien votre grandeur est vaine, Tremblez, mortels audacieux : Redoutez le courroux des dieux.')","('#cyane', ""J'ai suivi Proserpine, et j'ai pris sa défense ! Hélas tous mes efforts pour elle ont été vains ! Son écharpe est entre mes mains..."")",1.22,Substitution
197,"('#cassiope', 'Ah ! Quelle vengeance inhumaine !')","('#ceres', ""Ce cher et triste objet presse encore ma vengeance. Hâte-toi de nommer l'ennemi qui m'offense."")",0.59,Substitution
198,,"('#cyane', ""C'est... c'est..."")",1.0,Deletion
199,"('#cephee', 'Andromède !')","('#ceres', 'Achève.')",1.54,Substitution
200,,"('#cyane', ""C'est..."")",1.0,Deletion
201,,"('#ceres #le-choeur', ""Ah ! Quel malheur nouveau ! Cyané perd la voix et n'est plus qu'un ruisseau."")",1.0,Deletion
202,"('#cassiope', 'Ma fille !')","('#ceres', 'Ô malheureuse mère !')",1.13,Substitution
203,"('#andromede', 'Ô cieux !')","('#le-choeur', 'Ô trop malheureuse Cérès !')",1.16,Substitution
204,,"('#ceres', ""Les dieux n'ont pu souffrir qu'une nymphe sincère M'ait découvert mes ennemis secrets. Je ne saurai donc pas sur qui lancer les traits De ma juste colère ? On me ravit une fille si chère ! Jupiter dans les cieux sourd à mes vains regrets Ne ressent plus qu'il est son père ! Ô malheureuse mère !"")",1.0,Deletion
205,,"('#le-choeur', 'Ô trop malheureuse Cérès !')",1.0,Deletion
206,"('#cassiope', ""Que les dieux sont cruels ! Qu'ils sont ingénieux À faire ressentir leur haine !"")","('#ceres', ""Ah ! Qu'elle injustice cruelle ! Ô dieux pourquoi m'arrachez-vous Un bien que je trouvais si doux ? De cette audace criminelle Est-ce Apollon ou Mars que je dois soupçonner ? Leurs mères en fureur n'ont pu me pardonner D'avoir une fille si belle. Dois-je accuser l'amour, et sert-il aujourd'hui À me ravir un bien que je tenais de lui ? Trahirait-il mon coeur fidèle ? Ah ! Quelle injustice cruelle ! Ô dieux ! Pourquoi m'arrachez-vous Un bien que je trouvais si doux ? Par mes soins, les champs de Cybele De fruits, et de moissons viennent d'être couverts ; De mes dons précieux la richesse nouvelle Brille par mes travaux en cent climats divers, Et quand de tant de biens j'ai comblé l'univers, Les dieux percent mon coeur d'une douleur mortelle. Ah ! Quelle injustice cruelle ! Ô dieux pourquoi m'arrachez-vous Un bien que je trouvais si doux. Après un si sensible outrage, Mon coeur désespéré s'abandonne à la rage. Du monde trop heureux je veux troubler la paix : Brûlons, ravageons-tout, détruisons mes bienfaits."")",0.67,Substitution
207,"('#cephee', 'Andromède !')","('#ceres', 'Que tout se ressente De la fureur que je sens.')",1.16,Substitution
208,"('#cassiope', 'Ma fille !')",,1.0,Insertion
209,"('#andromede', 'Ô cieux ! Le monstre paraît.')",,1.0,Insertion
210,"('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')","('#le-choeur', 'Quel crime avons-nous fait ? Divinité puissante, Écoutez les clameurs des peuples gémissants.')",0.79,Substitution
211,"('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')",,1.0,Insertion
212,"('#andromede', 'Je ne vois point Persée, et je flattais ma peine Du triste espoir de mourir à ses yeux.')","('#ceres', ""J'ai fait du bien à tous, ma fille est innocente, Et pour toucher les dieux, nos cris sont impuissants ; J'entendrai sans pitié les cris des innocents : Que tout se ressente De la fureur que je sens."")",0.65,Substitution
213,"('#cephee #cassiope #ethiopiens', 'Voyez voler ce héros glorieux.')",,1.0,Insertion
214,"('#cassiope #cephee', ""Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté ! Je perds ma fille, hélas ! Le ciel propice Me la donna pour ma félicité, Aujourd'hui le Ciel irrité Veut qu'un monstre me la ravisse. Ciel ! Que j'ai toujours respecté Ne m'avez-vous longtemps conservé la clarté Que pour me faire voir cet affreux sacrifice ? Ah ! Quel effroyable supplice ! Dieux, ô dieux ! Quelle cruauté ! C'est ma funeste vanité, C'est mon crime, grands dieux ! Qu'il faut que l'on punisse. Ma fille n'est pas complice, Et vos foudres vengeurs contre elle ont éclaté ! Dieux ! Pouvez-vous vouloir qu'Andromède périsse ? Sa jeunesse ni sa beauté N'ont-elles rien qui vous fléchisse ? La vertu, l'innocence a-t-elle mérité Les rigueurs de votre justice ?"")","('#le-choeur', 'Ah ! Quelle épouvantable flamme ! Ah ! Quel ravage affreux !')",0.38,Substitution
215,"('#cephee', 'Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté !')","('#ceres', ""Portons partout l'horreur qui règne dans mon âme. Portons partout d'horribles feux."")",0.63,Substitution
216,"('#cassiope #cephee', ""Que j'expire en mourant un si funeste crime."")","('#le-choeur', 'Ah ! Quelle épouvantable flamme ! Ah ! Quel ravage affreux !')",0.96,Substitution
217,"('#cassiope', ""Que par pitié j'obtienne une mort légitime. Cruels ! n'attachez pas ma fille à ce rocher, C'est moi qu'il y faut attacher !"")","('#le-choeur-des-ombres', ""Loin d'ici, loin de nous, Tristes ennuis, importunes alarmes : Gardez-vous, gardez-vous D'interrompre la paix dont nous goûtons les charmes ; Gardez-vous, gardez-vous De troubler un bonheur si doux."")",1.13,Substitution
218,"('#choeur', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')","('#deux-ombres', 'Ô ! Bienheureuse vie ! Vous ne nous serez point ravie. Ô ! Doux plaisirs dont nos voeux sont comblés ! Vous ne serez jamais troublés.')",1.7,Substitution
219,,"('#deux-ombres', ""Ah que ces demeures sont belles ! Que nous y passons d'heureux jours ! Quelle félicité pour les amants fidèles ! Ici les amours éternelles Ont toujours les douceurs des nouvelles amours. Ah que ces demeures sont belles ! Que nous y passons d'heureux jours."")",1.0,Deletion
220,"('#cassiope #cephee', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')","('#deux-ombres', ""Dans ces beaux lieux, tout nous enchante, Les plaisirs y suivent nos pas ; Et plus on en jouit, plus le désir augmente D'en goûter les appas."")",1.4,Substitution
221,"('#choeur', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")","('#le-choeur-des-ombres', 'Ô bien-heureuse vie ! Vous ne nous serez point ravie. Ô ! Doux plaisirs dont nos voeux sont comblés ! Vous ne serez jamais troublés.')",0.9,Substitution
222,"('#cassiope #cephee', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")","('#proserpine', ""Ma chère liberté que vous aviez d'attraits ! En vous perdant, hélas ! Que mon âme est atteinte De douleur, de trouble, et de crainte ! Ma chère liberté que vous aviez d'attraits ! Faut-il vous perdre pour jamais ? Ombres que j'interromps, souffrez ma triste plainte, Ce n'est pas pour mon coeur que vos plaisirs sont faits : Plaignez-vous avec moi du dieu qui m'a contrainte De troubler la douceur de votre heureuse paix. Ma chère liberté que vous aviez d'attraits ! En vous perdant, hélas ! Que mon âme est atteinte ! De douleur, d'amour, et de crainte ! Ma chère liberté que vous aviez d'attraits ! Faut-il vous perdre pour jamais ?"")",0.76,Substitution
223,"('#andromede', ""Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi flattiez-vous  De l'espoir d'un destin si doux ? Vous dont je tiens la vie Et vous peuple fidèle, Jouissez parmi vous d'une paix éternelle, Je vais fléchir les dieux irrités contre vous. Et si ma mère est criminelle, C'est moi qui dois calmer le céleste courroux ! Par le sang que j'ai reçu d'elle, Heureuse de périr pour le salut de tous. Un souvenir charmant qu'en mourant je rappelle. Les appas, les douceurs d'une amour maternelle Sont de mon triste sort les plus terribles coups. Le fils de Jupiter eut été mon époux ! Ah ! Que ma vie eut été belle ! Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi me flattiez-vous De l'espoir d'un destin si doux ? Tremblez ! Superbe Reine. Tremblez ! Mortels audacieux ! Que votre orgueil apprenne Combien votre grandeur est vaine : Tremblez mortels audacieux ! Redoutez le courroux de Dieux"")","('#ascalaphe', ""Aimez qui vous aime, Rien n'est si charmant. Pluton n'est pas un dieu sujet au changement, Il vous offre son coeur avec son diadème. Aimez qui vous aime, Rien n'est si charmant. Les ombres répètent ces deux derniers vers."")",0.57,Substitution
224,"('#choeur-des-tritons', 'Tremblez mortels audacieux ! Redoutez le courroux de Dieux')","('#proserpine', ""Que n'est-il satisfait de sa grandeur suprême, J'étais heureuse sans amant ; Mon coeur se contentait de régner sur lui-même."")",1.39,Substitution
225,,"('#les-ombres', ""Rien n'est si charmant."")",1.0,Deletion
226,"('#cassiope', 'Ah ! Quelle vengeance inhumaine !')","('#proserpine', 'Ah ! Sans la liberté, sans sa douceur extrême, Tout autre bien est un cruel tourment.')",0.79,Substitution
227,,"('#les-ombres', ""Aimez qui vous aime, Rien n'est si charmant."")",1.0,Deletion
228,"('#cephee', 'Andromède !')","('#proserpine', ""Est-ce une illusion dont le charme m'abuse, Est-ce toi, ma chère Arethuse ?"")",1.01,Substitution
229,"('#cassiope', 'Ma fille !')",,1.0,Insertion
230,"('#andromede', 'Ô cieux !')",,1.0,Insertion
231,"('#cassiope', ""Que les dieux sont cruels ! qu'ils sont ingénieux À faire ressentir leur haine !"")","('#arethuse #alphee', ""Pluton veut qu'avec vous nous demeurions ici ; Nous suivons sans effort la loi qu'il nous impose. Ce dieu veut soulager le chagrin qu'il vous cause, Et croit que par nos soins il peut être adouci. Il attend pour vous voir que de votre colère Les premiers transports soient calmés. Le dieu que vous charmez Ne songe qu'à vous plaire."")",0.99,Substitution
232,"('#cephee', 'Andromède !')","('#proserpine', ""Que devient pour l'amour ton mépris éclatant ? Cet amant près de toi goûte un bonheur paisible."")",0.86,Substitution
233,"('#cassiope', 'Ma fille !')",,1.0,Insertion
234,"('#andromede', 'Ô cieux ! Le monstre paraît.')",,1.0,Insertion
235,"('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')","('#arethuse', ""Rien n'est impossible À l'amour constant. En vain je présumais tant D'avoir un coeur invincible, Rien n'est impossible À l'amour constant."")",1.31,Substitution
236,"('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')","('#alphee', ""Qu'un amant fidèle est content D'engager ce qu'il aime à devenir sensible !"")",1.67,Substitution
237,"('#andromede', ""A s'exposer pour moi c'est en vain qu'il s'obstine. Persée vole, et combat le monstre."")","('#arethuse #alphee', ""Rien n'est impossible À l'amour constant."")",1.4,Substitution
238,"('#nereides #tritons', 'Téméraire Persée, arrêtez ; respectez La vengeance divine.')","('#ascalaphe', 'Pluton pourra trouver un favorable instant Ou son amour pour vous deviendra moins terrible.')",1.32,Substitution
239,"('#cephee #cassiope #ethiopiens', ""Magnanime héros, combattez, remportez Le prix que l'amour vous destine."")","('#arethuse #alphee #ascalaphe', ""Rien n'est impossible À l'amour constant. Voyez ce beau séjour, ces charmantes campagnes, Ces vallons écartés, ces paisibles forêts."")",1.26,Substitution
240,,"('#proserpine', 'Ne reverrai-je plus Cérès ? Ne reverrai-je plus mes fidèles compagnes ?')",1.0,Deletion
241,,"('#ascalaphe', ""Vous avez par malheur goûté de quelques grains D'un fruit de ces lieux souterrains."")",1.0,Deletion
242,"('#nereides #tritons', 'Le fils de Jupiter brave notre courroux.')","('#arethuse #alphee', 'Pluton le sait, il vient de nous le dire.')",1.44,Substitution
243,,"('#ascalaphe', ""J'ai pris soin de l'en avertir. Par l'arrêt du destin, le dieu de cet empire Peut vous voir désormais autant qu'il le désire."")",1.0,Deletion
244,"('#tous-ensemble', 'Le monstre expire sous ses coups.')","('#arethuse #alphee #ascalaphe', ""Jamais s'il n'y veut consentir, Du séjour des enfers vous ne pourrez sortir."")",1.3,Substitution
245,"('#nereide #triton', ""Junon a vainement cherché notre assistance ; Nous nous vantions en vain d'achever sa vengeance. Et Persée a pour lui des dieux plus forts que nous,"")","('#proserpine', ""Je ne verrai jamais la lumière céleste ! Dans une ardente soif, par un secours funeste, C'est toi qui m'as montré ce fruit si dangereux : Tu m'as caché l'arrêt du destin rigoureux ; Perfide, c'est toi qui m'abuse, Et c'est toi-même qui m'accuse ? Ah ! Du moins, le destin exaucera les voeux De ma juste vengeance : Tu ne surprendras plus la crédule innocence ; Tu seras un objet affreux, Et d'un présage malheureux ; Va, cruel, va languir dans l'horreur des ténèbres ; Va, deviens, s'il se peut, aussi triste que moi. Que tes cris soient des cris funèbres ; Que le sombre chagrin, que le mortel effroi ; Ne se lassent jamais de voler après toi. Ascalaphe se transforme en hibou, et s'envole."")",0.92,Substitution
246,"('#nereides #tritons', ""Descendons sous les ondes : Notre honte se doit cacher ; Allons chercher Des retraites profondes, Descendons sous les ondes. La mer s'apaise ; les flots s'abaissent et se retirent. Les Néréides et les Tritons disparaissent."")",,1.0,Insertion
247,"('#ethiopiens', 'Le monstre est mort ; Persée en est vainqueur ;  Persée est invincible.')","('#proserpine', 'Venez-vous contre moi défendre un téméraire ?')",1.17,Substitution
248,"('#cephee #cassiope', ""Quand l'amour anime un grand coeur, Il ne trouve rien d'impossible."")","('#pluton', ""Votre pouvoir ici ne sera point borné ; On n'est point innocent quand on peut vous déplaire : Épuisez, s'il se peut sur cet infortuné, Tous les traits de votre colère."")",1.03,Substitution
249,"('#cephee #andromede', 'Ah ! Que votre danger me paraissait terrible !')","('#proserpine', ""Tout ressent ici bas mon trouble et ma terreur : Les ombres sans trembler ne peuvent plus m'entendre, Ne souffrez pas que ma fureur De cet heureux séjour, fasse un séjour d'horreur, À la clarté du ciel, hâtez-vous de me rendre."")",0.67,Substitution
250,"('#ethiopens', 'Le monstre est mort, etc. Les Éthiopiens descendent des rochers, et témoignent leur joie en chantant et en dansant. Des matelots et des matelottes se mêlent dans la réjouissance publique. Un des éthiopiens chante au milieu des matelots qui dansent.')","('#pluton', ""Ne regrettez point tant la lumière des cieux. Des astres faits pour nous éclairent ces beaux lieux ; Jamais un verdoyant feuillage Ne cesse de parer les arbres de nos bois, Sans cesse dans nos champs nous trouvons à la fois Des fruits, des fleurs, et de l'ombrage, Et le temps affreux des frimas Est la seule saison que l'on n'y connaît pas."")",1.43,Substitution
251,"('#un-des-ethiopiens', ""Notre espoir allait faire naufrage ; Nous goûtons enfin un heureux sort. Quel bonheur d'échapper à l'orage ! Quel plaisir d'en retracer l'image, Quand on est au port !"")","('#proserpine', ""Mon triste coeur ne peut connaître La douceur des appas qu'on voit ici paraître, Hélas ! Ces lieux si beaux où je frémis d'effroi, Sont toujours les enfers pour moi."")",0.6,Substitution
252,"('#cephee', ""Honorons à jamais le glorieux héros Qui nous donne un heureux repos. Sa valeur, à son gré, fait voler la victoire : Tour-à-tour la terre et les flots Sont le théâtre de sa gloire. Honorons à jamais, etc. Andromède, Cassiope et les Éthiopiens, répètent les vers que Céphée a chantés et les Matelots et les Matelottes dansent en réjouissance de la délivrance d'Andromède."")","('#pluton', ""Je suis roi des enfers, Neptune est le roi de l'onde, Nous regardons avec des yeux jaloux Jupiter plus heureux que nous ; Son sceptre est le premier des trois sceptres du monde. Mais si de votre coeur j'étais victorieux, Je serais plus content d'adorer vos beaux yeux Au milieu des enfers dans une paix profonde, Que Jupiter le plus heureux des dieux N'est content d'être roi de la terre et des cieux."")",0.47,Substitution
253,,"('#proserpine', ""Que deviendra Cérès à qui je suis si chère ? Qu'elle surprise ! Hélas ! Quelle douleur amère ! Hélas !"")",1.0,Deletion
254,"('#un-des-ethiopiens', ""Que n'aimez-vous ? Coeurs insensibles ! Que n'aimez-vous ? Rien n'est si doux ! Non, ne vous vantez pas d'être invincibles ; Les dieux, les plus grands dieux, ont aimé tous."")","('#pluton', ""Ne donnerez-vous Des soupirs qu'à votre mère ? Aimez, beauté trop sévère, Les soupirs d'amour sont doux."")",0.4,Substitution
255,"('#le-choeur', ""Que n'aimez-vous, etc."")","('#proserpine', ""D'un insensible coeur que pouvez-vous attendre ?"")",0.6,Substitution
256,"('#un-des-ethiopiens', ""L'amour n'a plus de traits terribles Pour un coeur qui cède à ses coups."")","('#pluton', ""J'ignorais le pouvoir des traits qui m'ont surpris, Mon coeur ne connaissait rien de doux ni de tendre. Ne pourrai-je vous apprendre Ce que vous m'avez appris ?"")",0.97,Substitution
257,,"('#proserpine', ""Dieu cruel ! Vous n'aimez que les pleurs et les cris. Deviez-vous aux enfers me contraindre à descendre ? Vous m'ôtez le bonheur qui m'était destiné ?"")",1.0,Deletion
258,,"('#pluton', ""Est-ce à moi qu'il faut vous en prendre ? Accusez-en l'amour que vous m'avez donné."")",1.0,Deletion
259,,"('#proserpine', ""Voulez-vous me causer d'éternelles alarmes ?"")",1.0,Deletion
260,"('#le-choeur', ""Que n'aimez-vous, etc."")","('#pluton', ""Voulez-vous me causer d'éternels déplaisirs ?"")",0.62,Substitution
261,"('#un-des-ethiopiens', ""Pour un amant Tendre et fidèle ; Pour un amant Tout est charmant. L'espoir nourrit ses feux ; sa chaîne est belle ; Il se fait un plaisir de son tourment."")","('#proserpine', 'Laissez-moi suivre en paix mes innocents désirs.')",0.72,Substitution
262,"('#le-choeur', 'Pour un amant, etc.')","('#pluton', 'Laissez-moi la douceur de voir toujours vos charmes')",0.82,Substitution
263,,"('#proserpine', 'Voyez couler mes larmes.')",1.0,Deletion
264,"('#une-des-ethiopiennes', ""Heureux un coeur qu'amour appelle ! Malheureux, s'il tarde un moment !"")","('#pluton', 'Écoutez mes soupirs. Pluton et Proserpine ensemble.')",1.34,Substitution
265,"('#le-choeur', 'Pour un amant, etc.')","('#pluton', 'Mon amour fidèle Ne touche point votre coeur ? Ah ! Quelle rigueur !')",1.14,Substitution
