,dufresny-depart-des-comediens,regnard-coquette,Cost,Operation Type
273,,"('#trafiquet', 'Je te déshérite. ')",1.0,Deletion
274,,"('#colombine', 'Mon petit papa !')",1.0,Deletion
275,,"('#trafiquet', 'Je te donne ma malédiction, et tu mourras vieille fille. ')",1.0,Deletion
276,,"('#colombine', ""Oh !  Criez tant qu'il vous plaira.  Je n'irai pas perdre un amant pour la mauvaise humeur d'un père : nous sommes dans un temps où il faut garder le peu qu'on en a. "")",1.0,Deletion
277,,"('#colombine', ""Voici notre amoureux Pierrot ; il faut l'écouter un moment et nous en divertir."")",1.0,Deletion
278,,"('#pierrot', ""Enfin, Pierrot, te voilà dans le bourbier jusqu'au cou. De quoi t'avises-tu d'être amoureux ?  Tu ne fais plus que quatre repas par jour ; tu ne saurais plus t'éveiller qu'à midi sonné : tu vois bien qu'en cet état-là tu ne peux pas faire longue vie.  Hé bien, je mourrai.  Tu mourras !  Sais-tu bien qu'il n'y a rien de si triste que la mort ?  Il n'importe ; je ne verrai plus cette ingrate, cette....  Il aperçoit Colombine. "")",1.0,Deletion
279,"('#colombine', 'Comment maraud, tu vas sur mes brisées ?')","('#colombine', 'Que dis-tu là ? ')",0.42,Substitution
280,,"('#pierrot', 'Je dis...  Je dis, mademoiselle, que quand je serai mort, je ne verrai plus goutte. ')",1.0,Deletion
281,"('#pierrot', ""C'est toi qui vas sur mon marché."")","('#colombine', ""C'est donc à dire que ta folie te dure toujours ? "")",1.61,Substitution
282,,"('#pierrot', ""Mademoiselle, assurément vous me ferez faire quelque mauvais coup : je me serais déjà jeté vingt fois par la fenêtre de notre grenier, s'il avait été seulement un étage plus bas. "")",1.0,Deletion
283,,"('#colombine', ""Tu te moques, Pierrot ; quand on est bien amoureux, on n'est pas à un étage près.  Je te conseille, de ce pas, d'aller faire ce saut-là pour l'amour de moi. "")",1.0,Deletion
284,"('#colombine', 'Tu es un flagorneur.')","('#pierrot', 'Allez, vilain petit porc-épic, le ciel vous punira.  Ô amour !  Amour !  Ô Pierrot !  Pierrot !')",1.22,Substitution
285,,"('#le-laquais', 'Mademoiselle, voilà la comtesse de Flamèche et la marquise de Bistoquet qui demandent à vous voir. ')",1.0,Deletion
286,,"('#colombine', 'La comtesse de Flamèche et la marquise de Bistoquet !  Je ne connais point cela.  De quel mauvais vent ces femmes-là abordent-elles chez moi ?  Il faut que ce soient des provinciales. ')",1.0,Deletion
287,,"('#le-laquais', ""Ce sont des dames qui disent qu'elles demeurent depuis peu dans le quartier. "")",1.0,Deletion
288,,"('#colombine', ""Faites-les entrer.  Voilà de ces chiennes de visites que l'on ne saurait éviter."")",1.0,Deletion
289,,"('#mezzetin', ""Hé !  Bonjour, mademoiselle ; comment vous portez-vous ?  Il y a mille ans que j'ai envie de vous venir voir, et de profiter de l'honneur de votre voisinage. "")",1.0,Deletion
290,"('#pierrot', 'Tu es une chercheuse...')","('#pasquariel', ""On a dû vous dire, mademoiselle, que mon équipage s'est arrêté vingt fois à votre porte ; mais vous êtes introuvable, et toute des plus rares. "")",1.65,Substitution
291,"('#arlequin', 'Là, là, là, doucement.')","('#colombine', ""En vérité, mesdames, je suis dans la dernière confusion d'avoir si mai profité de l'honneur de votre visite.  Holà !  Quelqu'un, des siéges. Elles se taisent toutes les trois, et recommencent à parler ensemble. "")",0.67,Substitution
292,,"('#mezzetin', ""Peut-on savoir, la belle, quels sont vos plaisirs ?  Vous êtes toujours dans le grand monde ; on dit que c'est vous qui faites l'honneur du quartier. "")",1.0,Deletion
293,"('#pierrot', ""Madame_la_Marquise m'a choisi à la mine, et elle m'a distingué par la propre personne. \n"")","('#pasquariel', ""Mais voyez ce teint, je vous prie, madame la Comtesse. Apparemment que vous l'avez pris du bon faiseur ; je n'ai jamais rien vu d'aussi charmant. À Colombine. "")",1.17,Substitution
294,"('#colombine', ""Et moi, j'y suis entrée de la main d'un joli homme."")",,1.0,Insertion
295,"('#arlequin', ""Hé bien, vous la servirez tous deux.  C'est ton avantage, Colombine : et quand une dame a un valet de chambre, le service se fait mieux : la maîtresse est toujours de bonne humeur, et la fille de chambre est moins grondée."")","('#colombine', ""Je suis ravie, mesdames, d'avoir un voisinage aussi agréable que le vôtre.  Quand vous voudrez, nous jouerons ensemble ; mais je vous avertis que je suis la plus malheureuse fille du monde.  Elles se taisent encore. "")",0.91,Substitution
296,"('#pierrot', ""Oui-da, il y a moyen de s'accommoder, aussi bien tu es délicate et fluette, tu ne peux pas tout faire : et je servirai, moi, pour la grosse besogne."")","('#mezzetin', 'Nous faisons nos visites de quartier.  Une charrette de foin a fait un embarras, ce qui nous a obligées de nous sauver chez Lamy, où nous avons bu chacune trois bouteilles de vin pour nous désennuyer. ')",1.08,Substitution
297,,"('#colombine', 'Six bouteilles de vin à deux femmes ! ')",1.0,Deletion
298,,"('#pasquariel', 'Il faut dire la vérité ; madame la Comtesse porte le vin comme un charme. ')",1.0,Deletion
299,,"('#mezzetin', ""Madame la Marquise veut qu'on lui rende justice, et qu'on lui dise qu'il n'y a point de Breton qu'elle ne boive par-dessous la jambe ; c'est bien le plus hardi vin de femme ! "")",1.0,Deletion
300,"('#colombine', 'Tu serviras donc à la cuisine ?')","('#colombine', 'Avec ces talents-là, mesdames, il est à présumer que vous êtes mariées en Bourgogne ou en Champagne. ')",1.65,Substitution
301,,"('#mezzetin', ""Vous ne vous trompez point.  À propos de mariage, ma belle voisine, on m'a dit que vous couchiez la noce en joue.  Une fille comme vous peut-elle se résoudre à cette vilenie-là ? "")",1.0,Deletion
302,"('#pierrot', ""Oh, il n'y a point de cuisine chez cette marquise-là."")","('#colombine', 'Pour moi, madame, je ne trouve rien de vilain à faire tout ce que le monde fait, et ce que vous avez fait vous-même. ')",0.97,Substitution
303,,"('#mezzetin', ""Il est vrai ; mais je n'avais que quinze ans pour lors ; vous savez que c'est un âge terriblement scabreux pour une fille.  Pourrez-vous abandonner votre taille aux accidents du mariage ? "")",1.0,Deletion
304,"('#arlequin', ""C'est-à-dire que chacun porte son plat, et qu'on fait tout cuire en ville."")","('#colombine', ""J'ai assez de peine à m'y résoudre ; mais que voulez-vous ?  Il faut bien prendre le bénéfice avec les charges. "")",1.6,Substitution
305,,"('#pasquariel', ""Faites comme moi, mademoiselle ; depuis que j'ai épousé mon mari, nous ne couchons plus ensemble. "")",1.0,Deletion
306,,"('#mezzetin', ""Cela est fort bon pour vous, madame la Marquise, qui avez quantité d'enfants de votre premier lit ; mais une fille qui se marie est bien aise de savoir au juste à quoi elle est propre. "")",1.0,Deletion
307,,"('#pasquariel', ""Pour moi, je suis malheureuse en garçons ; je n'en saurais élever ; je n'en ai plus que dix-sept. "")",1.0,Deletion
308,,"('#colombine', ""Dix-sept !  En vérité, madame, l'état vous est bien obligé de lui donner tant de bons sujets. "")",1.0,Deletion
309,"('#pierrot', ""J'aurais envie d'être portier, j'ai étudié pour cela : car un jour dans notre village, il me prit de quitter la robe pour l'épée ; j'étais bedeau, je me fis suisse. \n"")","('#mezzetin', ""J'en aurais bien eu vingt-cinq ou trente, si tout était venu à profit ; mais les fausses couches ont fait de terribles brèches dans ma famille.  Le dirait-on à ma taille ? Il se promène."")",0.77,Substitution
310,,"('#colombine', ""Elle est d'une finesse extraordinaire ; on croirait que vous allez rompre. "")",1.0,Deletion
311,"('#colombine', ""Si tu étais portier, tu emporterais tout le profit ; la porte d'une coquette est aussi lucrative que celle d'un juge."")","('#mezzetin', ""Depuis deux ans, Dieu merci, j'en suis un peu la maîtresse ; j'ai obligé monsieur le Comte à faire lit à part ; car je suis présentement bien revenue de la bagatelle. "")",1.17,Substitution
312,,"('#colombine', 'Et monsieur votre époux prendra-t-il toujours ce petit divorce en patience ? ')",1.0,Deletion
313,,"('#mezzetin', 'Madame, il fera comme il pourra. ')",1.0,Deletion
314,,"('#pasquariel', 'Peut-on savoir, ma chère, qui vous épousez ? ')",1.0,Deletion
315,,"('#colombine', 'Plusieurs partis me recherchent ; mais mon père me destine à un bailli du Maine, et... ')",1.0,Deletion
316,,"('#pasquariel', 'À un bailli !...  À un bailli !...  Ah !  Ouf !  Je me trouve mal !  Un bailli !  Ah !  Quelle ordure !')",1.0,Deletion
317,,"('#colombine', 'Comment donc, madame !  Avez-vous des vapeurs ? ')",1.0,Deletion
318,,"('#mezzetin', ""Ah, mademoiselle !  Vous ne deviez jamais lâcher le mot de bailli.  À l'heure qu'il est, cela me dévoie.  Un bailli !  Encore si c'était un procureur fiscal !  Ils se jettent sur leurs siéges en faisant beaucoup de contorsions."")",1.0,Deletion
319,,"('#colombine', ""Ah !  Que je suis malheureuse !  Voilà deux femmes qui vont me demeurer dans les mains.  Holà, quelqu'un !  Mes laquais, ma femme de chambre ! "")",1.0,Deletion
320,"('#arlequin', ""Vous pouvez partager l'emploi ; car chez les coquettes il doit toujours y avoir deux portes et deux escaliers.  Pendant que l'un entre par celle-ci, l'autre sort par celle-là."")","('#mezzetin #pasquariel', 'Un bailli !  À la porte ils font beaucoup de cérémonies pour passer.')",1.01,Substitution
321,"('#colombine', ""Mais le profit n'est pas égal : car celui qui entre, et qui meurt d'envie de voir Madame, paye grassement ; mais celui qui sort, voudrait souvent retenir ce qu'il a donné en entrant."")","('#pasquariel', ""Non, madame, assurément je ne passerai pas, ou la peste m'étouffe ! "")",1.33,Substitution
322,,"('#mezzetin', 'Si je passe la première, je veux que cinq cent mille diables me tordent le cou ! À force de civilités, de contorsions, leurs coiffures tombent. ')",1.0,Deletion
323,"('#arlequin', ""Cela est vrai.  Tel donne en entrant chez une coquette, qui aurait besoin qu'on lui donnât en sortant. \n"")","('#colombine', ""Non, je ne crois pas que de mémoire d'homme on ait reçu une visite aussi impertinente.  Elles n'ont que faire de me tant dégoûter du bailli ; si je l'épouse, ce ne sera qu'à mon corps défendant. Il y a ici quelques scènes italiennes, dans lesquelles Mezzetin et Pasquariel rendent compte à Octave du succès de leurs fourberies ; celui-ci les engage à ne pas s'en tenir là, et l'on concerte de se déguiser en Bohémiens, d'aller trouver Arlequin, et de lui dire sa bonne aventure. Ces scènes préparent les scènes françaises suivantes. "")",1.1,Substitution
324,"('#colombine', ""Il n'y a qu'un mot qui serve.  Si tu veux, nous partagerons les profits et le service.  Je présiderai aux conversations secrètes ; toi, tu porteras les billets.  Je veillerai le jour..."")","('#arlequin', 'Quand vous serez las de chanter, vous me direz peut-être ce que vous me voulez. Monsieur le meneur de ballets, peut-on savoir qui sont ces sauterelles-là ?  Ils continuent de chanter et de danser.  À Mezzetin.  Il montre les deux Bohémiennes.')",1.38,Substitution
325,,"('#mezzetin', ""Monsieur, ce sont des filles surnaturelles, qui connaissent les astres, les langues, et tout ce qu'il y a de plus extraordinaire au monde et hors du monde ; elles ne parlent qu'en vers : enfin, ce sont des filles d'un mérite sublime. "")",1.0,Deletion
326,"('#pierrot', 'Je dormirai la nuit. \n')",,1.0,Insertion
327,"('#colombine', ""J'aurai le profit du jeu, et toi tu fourniras les cartes.  Pour ce qui est des habits, je prendrai les jupes, et tu garderas les manteaux."")","('#arlequin', 'Puisque ces créatures -là savent tant de belles choses, elles pourront donc bien me déterminer sur un mariage ? ')",1.46,Substitution
328,"('#pierrot', 'Je le veux bien. Pierrot et Colombine se retirent. ')","('#mezzetin', ""Vous ne pouvez pas mieux vous adresser. Il s'en va en chantant avec sa troupe. "")",1.76,Substitution
329,"('#arlequin', ""Et vous monsieur le mystérieux, méditez-vous quelque chose d'utile pour votre fortune ?  Que prétendez-vous faire pour vous enrichir ?"")","('#arlequin', ""Mesdames, pour venir à la conclusion,  Vous saurez que je sens une convulsion,  Un appétit, nommé vapeurs de mariage ;  Un... là... quelque Arlequin qui demande passage.  Me dois-je marier ?  Oh ! Vous avez raison.  Et vous, à votre avis, me marierai-je, ou non ?  C'est bien dit ; à ces mots il n'est point de réplique.  Dans leur langue, à mon tour, il faut que je m'explique.  Vous m'entendez donc bien : enfin, sans tant parler,  (Car cela vous fait mal) devrais-je convoler ? ) La première Bohémienne gesticule et ne dit mot.  La seconde Bohémienne gesticule et ne dit mot.  Il fait beaucoup de gestes sans rien dire, ensuite il continue. "")",0.96,Substitution
330,,"('#premiere-bohemienne', 'Oui. ')",1.0,Deletion
331,,"('#seconde-bohemienne', 'Non.')",1.0,Deletion
332,"('#octave', 'Moi ?  Rien.')","('#arlequin', 'Comment ?')",0.0,Match
333,"('#arlequin', 'Rien ?')","('#premiere-bohemienne', 'Oui.')",0.0,Match
334,"('#octave', 'Rien du tout.')","('#seconde-bohemienne', 'Non.')",0.77,Substitution
335,"('#arlequin', ""Faire rien serait un excellent emploi, s'il y avait des appointements."")","('#arlequin', 'Quelle peste de gamme !')",1.7,Substitution
336,,"('#premiere-bohemienne', ""C'est manquer de bon sens que de vivre sans femme. "")",1.0,Deletion
337,,"('#seconde-bohemienne', 'Et pour se marier, il faut être archi-fou.')",1.0,Deletion
338,"('#octave', 'Je ne ferai rien, vous dis-je ; et si, je gagnerai plus que pas un de la troupe.')","('#arlequin', 'Celle-ci, par ma foi, lui rive bien son clou.')",1.91,Substitution
339,"('#arlequin', 'Apprenez-moi votre secret.')","('#premiere-bohemienne', ""Oui, l'hymen est des dieux le plus parfait ouvrage ;  C'est le port assuré: dans le libertinage,  Le noeud qui nous unit avec de doux accords,  La porte des plaisirs qu'on goûte sans remords,  Le bridon qui retient la jeunesse fougueuse,  L'onguent qui guérit seul la brûlure amoureuse,  Des blessures du coeur l'appareil souverain,  Et la forge, en un mot, de tout le genre humain."")",1.3,Substitution
340,"('#octave', ""Je me lèverai tous les jours à dix heures ; et de là jusqu'à midi, je tiendrai conseil à ma toilette sur les ajustements de l'habit du jour."")","('#arlequin', ""J'en connais bien pourtant de plus d'une fabrique,  Qui ne furent jamais faits dans cette boutique ;  Enfants du pur hasard ; et, sans aller plus loin,  J'en trouverais peut-être ici plus d'un témoin. "")",1.29,Substitution
341,"('#arlequin', ""Oui : mais ces ajustements de l'habit du jour, où les prendrez-vous, si vous n'avez point de métier pour les gagner."")","('#seconde-bohemienne', ""Non, l'hymen, quel qu'il soit, est un dur esclavage,  Une mer où l'honneur bien souvent fait naufrage,  Un grand chemin rempli de voleurs dangereux,  Une terre fertile en bois malencontreux,  Un magasin de fraude, où l'on fait de commande  Marchandise mêlée et bien de contrebande ;  C'est l'écueil du plaisir : pour tout dire en un mot,  C'est une souricière où l'on attrape un sot. "")",0.89,Substitution
342,,"('#arlequin', ""Cet avis, à mon goût, vaut bien l'autre, madame. "")",1.0,Deletion
343,,"('#premiere-bohemienne', ""Un homme ne saurait vivre content sans femme ;  Sans elle une maison irait tout de travers :  Elle sait du destin partager les revers ;  Elle sert un mari, soulage sa vieillesse :  La femme est dans le monde un miroir de sagesse,  Le temple de l'honneur, le chef-d'oeuvre des cieux ;  La beauté fut son lot, l'esprit son apanage,  La vertu son domaine, et l'honneur son partage."")",1.0,Deletion
344,,"('#arlequin', 'Oui, cela se disait du temps de Jean-de-Vert. ')",1.0,Deletion
345,,"('#seconde-bohemienne', ""Plutôt que prendre femme, épousez un désert :  Par elle une maison va tout en décadence ;  Elle ne met jamais de frein à sa dépense ;  Elle accroît les chagrins, loin de les partager :  La femme est en tout temps un éminent danger,  Un vaisseau sur lequel le nocher le plus sage  Appréhende le calme autant qu'il fait l'orage ;  C'est l'arsenic du coeur : la fureur la conduit ;  L'inconstance en tout temps ou l'escorte ou la suit,  Et la vengeance, enfin, est toujours devant elle."")",1.0,Deletion
346,"('#octave', 'Où je les prendrai ?  Ah, ah ! Où je les prendrai !  Je vois bien que tu ne te connais pas en physionomie. Il rit.')","('#arlequin', ""Oh ! Vous avez raison ; je sais qu'une femelle  Qui prétend se venger d'un époux offensif,  Devient des animaux le plus vindicatif. "")",1.82,Substitution
347,"('#arlequin', ""Ah, ah, je vous entends. C'est-à-dire, vous dépenserez les libéralités de quelque vieille dupe, qui se sera fort mal à propos coiffée de votre noire peau."")","('#premiere-bohemienne', ""Quand on la nomme un mal et doux et nécessaire,  C'est qu'on lui voit toujours quelque vertu pour plaire ;  Si le ciel ne l'a pas faite avec un beau corps,  Il aura sur l'esprit répandu ses trésors ;  Si des biens de fortune elle n'est point fournie,  Elle se fait un fonds de son économie :  La sotte d'ordinaire a l'esprit complaisant,  La folle quelquefois plaît par son enjouement ;  Dans une femme, enfin, toujours quelque mérite  De ses petits défauts aisément nous racquitte."")",0.6,Substitution
348,"('#octave', 'À midi, je prendrai un consommé.  À...')","('#arlequin', ""Qui nous racquittera, dites-nous, s'il vous plaît,  Lorsque de notre honneur elle tire intérêt ? "")",1.59,Substitution
349,"('#arlequin', ""Je vous quitte de ce détail-là ; je sais par coeur le journal coquet d'un comédien distingué.  Mais, faites-vous réflexion que nous fermons le théâtre, et qu'en France on oublie bien vite ce qu'on n'a plus devant les yeux ?  Croyez-moi, quelque mérite qu'ait un acteur, il cesse de briller quand le théâtre ne le met plus en vogue."")","('#seconde-bohemienne', ""Si de quelques vertus les femmes sont pourvues,  Ces vertus de défauts sont souvent corrompues ;  La belle est toujours bête, ou croit qu'un teint fleuri  Est un trop beau morceau pour un sot de mari ;  La savante ne dit que vers, métamorphose,  Et méprise un époux qui ne parle qu'en prose :  Celle qui d'un beau sang voit ses pères issus,  Vous compte ses aïeux pour toutes ses vertus.  Non, quelque qualité qui règne dans son âme,  Quelque vertu qu'elle ait, c'est toujours une femme ;  C'est-à-dire attentive à l'amant qui languit,  Et vous savez, casta quam nemo rogavit."")",0.66,Substitution
350,,"('#arlequin', ""Voilà, je vous l'avoue, un extrait de sorcière,  Que les femmes devraient jeter dans la rivière :  Elle en dit peu de bien. "")",1.0,Deletion
351,"('#octave', ""Je veux me retirer vous dis-je.  Le mérite le plus caché est celui que les dames recherchent avec le plus d'empressement."")","('#seconde-bohemienne', ""Touchez là, j'en dirai,  Foi de fille d'honneur, sitôt que j'en saurai. "")",0.83,Substitution
352,,"('#arlequin', 'Mais parlez-moi français ;... là, si je me marie,  Ne serai-je point,... là... ')",1.0,Deletion
353,,"('#premiere-bohemienne', 'Quoi, là ?')",1.0,Deletion
354,,"('#arlequin', 'Je vous en prie,  Ne me déguisez rien. ')",1.0,Deletion
355,,"('#premiere-bohemienne', 'Quoi donc ? ')",1.0,Deletion
356,,"('#arlequin', ""Là, ce qu'était  Peut-être votre époux dans le temps qu'il vivait. "")",1.0,Deletion
357,"('#arlequin', ""Il est certain négoce où l'on perd beaucoup en quittant boutique."")","('#premiere-bohemienne', ""Voilà donc l'enclouure et le mot péremptoire :  Sur ce point douloureux on en fait bien accroire,  Et l'on en dit bien plus qu'on n'en fait à Paris ;  Ce sont là des terreurs pour les petits esprits... "")",1.66,Substitution
358,,"('#arlequin', 'Et pour les grands parfois. ')",1.0,Deletion
359,,"('#premiere-bohemienne', 'Des visions cornues  Que les hommes vont mettre en leurs têtes fourchues. ')",1.0,Deletion
360,,"('#arlequin', 'Ce sont elles, morbleu, qui nous les plantent là,  De par Belzébuth. ')",1.0,Deletion
361,"('#octave', ""On n'a que faire d'enseigne, quand on est bien achalandé."")","('#premiere-bohemienne', ""Bon ! Approchez, venez çà ;  Regardez-moi bien. Non, vous n'avez point la mine  De recevoir échec de la gent féminine.  Vous êtes beau, joli, bien fait..."")",1.93,Substitution
362,,"('#arlequin', 'Assurément. ')",1.0,Deletion
363,,"('#premiere-bohemienne', ""Vous avez de l'esprit, le port fier, l'air charmant ;  Allez, ne craignez rien. "")",1.0,Deletion
364,,"('#arlequin', ""Mauvaise sauvegarde  Contre les accidents qu'une femme vous garde. "")",1.0,Deletion
365,,"('#seconde-bohemienne', 'Moi je dis, à vous voir seulement par le dos... ')",1.0,Deletion
366,,"('#arlequin', 'Ah, ciel ! Nous y voilà. ')",1.0,Deletion
367,"('#arlequin', ""Quand on trafique des colifichets, et qu'on n'a que des babioles à vendre, il faut étaler en place marchande pour en avoir le débit.  En un mot, je ne veux point m'associer avec vous."")","('#seconde-bohemienne', ""Je vous dis en deux mots  Que vous avez tout l'air, la physionomie,  L'oeil, le nez, la façon, la métoposcopie  D'un homme à qui l'on doit faire un mauvais parti.  Je vois sur votre teint bien du brouillamini.  Vos aspects sont malins, vous avez le front large ;  Vous me portez tout l'air d'en avoir une charge."")",1.04,Substitution
368,,"('#arlequin', 'Ah ! Je sens déjà là...  Il se touche la tête. ')",1.0,Deletion
369,,"('#premiere-bohemienne', 'Animal défiant,  Vous croyez donc... ')",1.0,Deletion
370,"('#octave', ""Va, va, je n'ai que faire de ta société ; je trouverai bien dans Paris quelque illustre associé qui m'apprendra le fin du commerce."")","('#arlequin', ""Ma foi ! Je crois à l'ascendant.  Ce grand front, cet aspect... Dans cette conjoncture,  Je crains bien de payer un jour avec usure  Tous les frais de la guerre. Allons, tant que quelqu'un  Plus courageux que moi prendra femme en commun,  Je prétends me servir des droits du voisinage,  Et laisser qui voudra goûter du mariage.  En ces occasions, on court plus de danger  À bâtir sur son fonds que sur un étranger.  Je ne tâterai point de la cérémonie. "")",0.95,Substitution
371,"('#arlequin', ""À quel emploi vous destinez-vous, s'il vous plaît ?"")","('#premiere-bohemienne', ""Vous n'en tâterez point ! Halte-là, je vous prie. "")",1.35,Substitution
372,,"('#seconde-bohemienne', 'Point de femme, morbleu ! ')",1.0,Deletion
373,,"('#premiere-bohemienne', ""Si vous n'en prenez pas,  Vous n'avez pas encor trois jours à vivre."")",1.0,Deletion
374,,"('#arlequin', 'Hélas ! ')",1.0,Deletion
375,,"('#seconde-bohemienne', ""Et si vous en prenez, moi, je vous signifie  Que demain, au plus tard, vous n'êtes pas en vie.  Elles le prennent chacune par une manche de son habit. "")",1.0,Deletion
376,,"('#arlequin', ""C'en est fait, je suis mort ! Je n'en puis revenir.  Prédiseuses du diable, ah ! Laissez-moi partir. "")",1.0,Deletion
377,,"('#premiere-bohemienne', ""Avant de vous quitter, il faut que je vous voie  À côté d'une femme."")",1.0,Deletion
378,,"('#arlequin', ""Ah ! Plutôt qu'on me noie !"")",1.0,Deletion
379,,"('#seconde-bohemienne', ""Pour vous laisser, je veux vous mettre hors d'état  De pouvoir à jamais sortir du célibat."")",1.0,Deletion
380,,"('#arlequin', ""N'en faites rien ; je suis le dernier de ma race. "")",1.0,Deletion
381,,"('#premiere-bohemienne', 'Que de bruit !')",1.0,Deletion
382,,"('#seconde-bohemienne', ""Qu'on me suive."")",1.0,Deletion
383,,"('#arlequin', ""Hé ! Mesdames, de grâce !  Un accord : je serai six mois de l'an garçon,  Et six mois marié. "")",1.0,Deletion
384,"('#le-comedien', ""Moi ?  Je suis retenu auprès d'une comtesse."")","('#premiere-bohemienne', 'Marchez. ')",1.41,Substitution
385,,"('#seconde-bohemienne', ""Que de façon !  Elles le tiraillent de façon qu'elles emportent chacune une manche de son habit. Il crie au voleur. D'autres Bohémiens l'entourent, dansent autour de lui et le volent. "")",1.0,Deletion
386,"('#arlequin', 'Est-ce en qualité de singe ou de doguin ?')","('#colombine', ""Je n'entends point parler de notre bailli ; il faut que le traité de cette charge de marquis l'arrête chez quelque notaire.  Il n'en est pas encore où il pense ; je lui garde le meilleur pour le dernier. "")",1.81,Substitution
387,,"('#le-laquais', 'Mademoiselle, voilà un bel esprit qui monte, madame Pindaret.')",1.0,Deletion
388,,"('#madame-pindaret', 'Ah, ma chère belle !  Que je suis heureuse de vous rencontrer !  Car vous êtes la fille de France la plus introuvable. ')",1.0,Deletion
389,,"('#colombine', ""On ne m'a point dit, madame, que vous m'ayez fait cet honneur-là.  Il est vrai que j'ai le domestique du monde le plus brutal : qu'une femme de qualité me vienne voir, on ne m'en dit rien ; qu'une procureuse frappe à ma porte, on vient m'en faire la honte en pleine compagnie. "")",1.0,Deletion
390,,"('#madame-pindaret', ""En vérité, mademoiselle, il faut que votre train soit travaillé d'un prodigieux dévoiement de mémoire ; oui, je crois que je suis venue ici plus de dix fois depuis les calendes du mois dernier. "")",1.0,Deletion
391,"('#le-comedien', ""Non : c'est pour lui apprendre la langue."")",,1.0,Insertion
392,"('#arlequin', 'Hé, quelle langue ?  Grecque, latine, hébraïque, syriaque ?')","('#colombine', ""Comment dites-vous cela, s'il vous plaît ?  Les cal... "")",0.98,Substitution
393,"('#le-comedien', ""Non, c'est la langue des mines agréables, gentilles, et mignonnes."")","('#madame-pindaret', ""Les calendes, mademoiselle ; c'est la manière de compter des Romains, et la mienne.  Si ma servante datait sa dépense autrement, elle ne coucherait pas chez moi deux jours de suite.  Je veux de l'érudition jusque dans ma cuisine. "")",1.73,Substitution
394,"('#arlequin', ""Le langage minaudier ?  Diable !  C'est une mère langue, une langue vivante : car les vieilles minaudent aussi volontiers que les jeunes.  Montrez-moi un peu le dictionnaire et la grammaire de cette langue-là."")","('#colombine', ""Que vous êtes heureuse, madame, de savoir tant de belles choses !  Si j'avais l'avantage de vous voir souvent, je crois que je deviendrais une habile fille. "")",0.88,Substitution
395,"('#le-comedien', 'Le dictionnaire : le voilà. Il fait une grimace. ')",,1.0,Insertion
396,"('#arlequin', ""Voilà un dictionnaire d'une vilaine impression.  Faites-moi voir dans votre grammaire quelque dialogue entre une femme et un officier, qui se parlent d'une loge à l'autre. Le Comédien fait des grimaces épouvantables, tantôt d'un côté, tantôt de l'autre, pour marquer l'homme et la femme. "")","('#madame-pindaret', ""Il faut dire la vérité ; on se décrasse en ma compagnie, et tout le monde avoue que je n'ai point la conversation roturière. "")",0.46,Substitution
397,"('#arlequin', ""Fi, fi !  Arrêtez-vous, je n'en veux pas voir davantage.  Voulez-vous prendre un conseil d'ami ?  C'est de vous en aller à la campagne, et tâcher de vous louer pour épouvantail en quelque chènevière : car tant que vous resterez dans la troupe, vous volerez la part, et vous ferez fuir les spectateurs.  À le bien prendre, vous n'êtes propre à rien."")","('#colombine', ""Ah ! Que cela est bien dit !  La conversation roturière !  Comment pouvez-vous fournir à la dépense d'esprit que vous faites ?  Si vous ne vous ménagez, vous n'en aurez jamais assez pour le reste de vos jours. "")",0.53,Substitution
398,,"('#madame-pindaret', ""Bon !  Cela ne coûte rien à une femme comme moi, qui se joue des auteurs ; j'entretiens commerce avec les anciens, et je fraye aussi avec les modernes. "")",1.0,Deletion
399,,"('#colombine', 'Avec les anciens, madame ! ')",1.0,Deletion
400,,"('#madame-pindaret', ""Assurément, mademoiselle ; j'en attrape assez le vrai, et je veux vous faire voir quelle est ma lecture quotidienne.  Laquais !  Petit garçon ! "")",1.0,Deletion
401,,"('#madame-pindaret', 'Donnez-moi mon Juvénal. ')",1.0,Deletion
402,"('#arlequin', ""Et vous, monsieur, qu'allez-vous faire ?"")","('#le-laquais', ""Qu'est-ce que c'est, madame, que votre Juvénal ? "")",1.09,Substitution
403,,"('#madame-pindaret', 'Ce livre in-quarto que je vous ai donné tantôt. ')",1.0,Deletion
404,,"('#le-laquais', ""À moi, madame, un quartaut !  Vous ne m'avez donné ni quartaut ni bouteille. "")",1.0,Deletion
405,,"('#madame-pindaret', ""Eh !  Le petit ignorant !  Qu'il vous arrive une autre fois de l'oublier !"")",1.0,Deletion
406,"('#pasquariel', ""Je m'en vais avec ma soeur jouer l'opéra en vendange."")","('#madame-pindaret', 'Je prends toujours la précaution de me faire escorter de ce livre-là, quand je vais en visite de femmes, pour me dédommager des minuties de leur conversation. ')",1.24,Substitution
407,,"('#colombine', ""Voilà ce qui s'appelle mettre à profit jusqu'à son ennui. "")",1.0,Deletion
408,,"('#madame-pindaret', 'Êtes-vous comme moi, ma chère ?  Toutes les visites de femmes me donnent la colique. ')",1.0,Deletion
409,,"('#colombine', ""Non, madame, je ne suis point d'une complexion si délicate.  À vous dire le vrai, j'aime beaucoup mieux la conversation des hommes, et je voudrais parfois qu'il n'y eût que moi de femme au monde. "")",1.0,Deletion
