,garnier-bradamante,la-calprenede-bradamante,Cost,Operation Type
243,"('#aymon', ""Et que dit l'Empereur ?"")",,1.0,Insertion
244,"('#la-montagne', ""Qu'il entend qu'il l'épouse."")",,1.0,Insertion
245,"('#aymon', 'O Dieu, que de ta main les faits sont merveilleux! Tu as ore abattu le coeur des orgueilleux : Bradamante a trouvé maintenant qui la dompte.')",,1.0,Insertion
246,"('#beatrix', ""Elle n'en faisait cas."")",,1.0,Insertion
247,"('#aymon', ""Mais elle en avait honte. Je vais trouver le Roi, pour ensemble aviser De l'endroit et du jour de les faire épouser."")",,1.0,Insertion
248,"('#roger', ""Gouffres des creux enfers, Tenariens rivages, Ombres, Larves, Fureurs, Monstres, Démons et Rages, Arrachez-moi d'ici pour me rouer là-bas : Tous tous à moi venez, et me tendez les bras. Je sens plus de douleurs, je souffre plus de peines Qu'on n'en saurait souffrir sur vos dolentes plaines. Je suis au désespoir, je suis plein de fureur ; Je ne projette en moi que désastre et qu'horreur. Je ne veux plus du jour, j'ai sa lampe odieuse ; Je veux chercher des nuits la nuit la plus ombreuse, Un lieu le plus sauvage et le plus écarté Qui se trouve sur terre, un rocher déserté, Solitaire, effroyable, où, sans détourbier d'homme, Le dueil, l'amour, la rage, et la faim me consomme. Où me puis-je laver de l'horrible forfait Que j'ai, monstre exécrable, à ma maîtresse fait ? Je l'ai prise de force, et de force ravie A moi, à son amour, et à sa propre vie, Pour la donner en proie, et en faire seigneur (Ingrate cruauté!) son principal haineur ? Ô terre, ouvre ton sein! ô ciel lâche ton foudre, Et mon parjure chef broye soudain en poudre! J'ai madame conquise, et un autre l'aura ; J'ai gagné la victoire, un autre en bravera. Ainsi pour vous, taureaux, vous n'escorchez la plaine ; Ainsi, pour vous, moutons, vous ne portez la laine ; Ainsi, mouches, pour vous aux champs vous ne ruchez, Ainsi pour vous, oiseaux, aux bois vous ne nichez. Ha regret éternel, crève-coeur, jalousie, Dont ma détestable âme est justement saisie! Mourons tôt, dépêchons, ne tardons plus ici ; Allons voir les Enfers le Royaume noirci ; Je n'ai plus que du mal, et des langueurs au monde ; Ce qu'il ha de plaisir à douleur me redonde. Adieu cuirasse, armet, cuissots, grèves, brassards ; Adieu, rudache, épée, outils sanglants de Mars, Dont le Troyen Hector s'arma jadis en guerre : Je ne vous verrai plus, devalé sous la terre. Et vous Maîtresse adieu adieu Maîtresse hélas ! Pardonnez-moi ma coulpe, et n'y repensez pas. J'ai failli, j'ai forfait, il faut qu'on me punisse. Je soumets corps et âme à tout êpre supplice. Je ne refuse rien, pourvu que mon tourment Tire de votre coeur tout mécontentement, Que vous me pardonnez devant que je trépasse, Si que mourir je puisse en votre bonne grâce."")","('#bradamante', ""Oui, mais ce même coeur que vous avez vanté,  S'est noirci maintenant par une lâcheté,  Le traître a pu souffrir que cette main plus lâche,  Efface le passé par une seule tache :  Au lieu de me défendre et de me secourir,  Tous deux ont conspiré pour me faire mourir.  Qu'ils meurent donc tous deux, puisque le Ciel l'ordonne,  Avant que ce Léon possède ma personne,  Qu'il ait quelque pouvoir dessus ma liberté.  Laissez-moi donc, ma soeur, dans cette volonté,  Et ne détournez plus un dessein légitime,  Puisque votre amitié vous fait commettre un crime.  Serez-vous bien joyeuse, au moins si vous m'aimez,  De voir mes tristes jours en regrets consommés,  Voir votre Bradamante aux larmes condamnée,  Entrer dans un veuvage au lieu d'un hyménée :  Que le plus odieux de tous ses ennemis,  Se vante des baisers qui lui seront permis ;  Qu'il possède à son aise, et mes yeux, et ma bouche,  Et me mette aux enfers, me mettant dans sa couche.  Que quand cette raison ne vous toucherait point,  L'intérêt de Roger à mon malheur est joint,  Puisque sa passion, qui m'est déjà connue,  Ne verra, sans mourir, sa flamme prévenue.  Il ne me verra pas entre les bras d'autrui,  Sachant que ma vertu ne pourra rien pour lui.  Car après que l'Hymen m'aura déjà liée,  Si ma première amour ne peut être oubliée,  Pour le moins mon devoir la conduira si bien,  Que mourant à mes yeux, il n'en obtiendra rien.  Souffrez, ci vous l'aimez comme le sang l'ordonne,  Que n'étant point à lui, je ne sois à personne,  Et ne permettez pas qu'un rival odieux,  Le pouvant empêcher, en triomphe à vos yeux. "")",0.03,Substitution
249,"('#bradamante', ""Ha fille misérable et regorgeant de maux! Ô du Sort outrageux trop outrageux assauts! Ô malheureuse vie en misères plongée ! Ô mon âme, ô mon âme à jamais affligée ! Que ferai-je ? où irai-je ? Et que dirai-je plus ? Je suis prise à mes rets, je suis prise à ma glus. Ah Bradamante où est ta prouesse guerrière ? Où est plus ta vigueur et ta force première ? Bras traîtres, traîtres acier, et pourquoi n'avez-vous Poussé dans son gosier la roideur de vos coups ? Une goutte de sang n'est de son corps sortie ; Nulle écaille ne lame est de son lieu partie ; Il n'a point chancelé, ferme comme une tour Que la mer abayante assaut tout alentour. Et folle je pensais ne trouver rien sur terre Que Roger seulement, qui me vainquit en guerre : Toutefois ce Grégeois qui n'est pareil à lui, Qui n'acquit onc honneur, m'a domptée aujourd'hui. Las! Roger, où es-tu, où es-tu ma chère âme ? Où es-tu, mon Roger ? en vain je te réclame, Tu n'entends à mes cris. Es-tu seul des mortels Qui n'aies entendu publier mes cartels ? Chacun l'a su, Roger : les peuples Ibérides, Les Mores, les Persans, les Getes, les Colchides, Et tu l'ignores seul ; cela toi seul ne sais, Qu'épandre pour toi seul par le monde je fais."")","('#marphise', ""Je ne permettrai pas qu'un autre vous possède,  Mais nous y pourvoirons par un autre remède,  Et certes je m'étonne, ayant tant de vertu,  Que vous ayez le coeur tellement abattu.  Pardonnez-moi, ma soeur, si j'use de ces termes,  Oui, vous devriez avoir les sentiments plus fermes,  Et ne témoigner pas à vos meilleurs amis,  Qu'ayant paru plus qu'homme entre mille ennemis,  Au moindre déplaisir qui travaille votre âme,  Vous avez témoigné moins de coeur qu'une femme.  Je vois bien qu'en ce cas on est peu consolé,  Que l'esprit le plus fort en serait ébranlé,  Et que quand ce malheur une amitié sépare,  La raison n'agit point, et la confiance est rare :  Mais que le désespoir vous réduise à ce point,  Sachez que votre amour ne vous excuse point,  Vous ne pouvez douter que je n'aime mon frère  Autant que le devoir m'oblige de le faire :  Et que j'ai son honneur et son repos si cher,  Que votre mal me doit également toucher.  Je vous proteste aussi, que je perdrai la vie,  Avant que par Léon vous lui soyez ravie.  Mais il vous faut tenir dans des termes plus doux,  Et le laisser agir plus sagement que vous. "")",0.34,Substitution
250,"('#hippalque', ""Hé mon_Dieu, que vous sert cette larmeuse plainte ? Pourquoi vous gênez-vous d'une chose contrainte ? Pourquoi pleurez-vous tant ? Que soupirez-vous tant ? Pensez-vous le malheur rompre en vous tourmentant ?"")","('#renaud', 'Comment gouvernez-vous cette désespérée ? ')",0.84,Substitution
251,"('#bradamante', ""Ma compagne, m'amie, hé que j'ai de tristesse! Le deuil, l'amour, la haine et la crainte m'oppresse. Je suis au désespoir, au désespoir je suis : Je n'ai plus que la mort pour borner mes ennuis."")","('#marphise', ""Certes, votre présence était bien désirée,  Et vous me surprenez au milieu d'un discours,  Où je n'avais besoin que de votre secours. "")",1.18,Substitution
252,"('#hippalque', ""Ne vous desolez point. Il n'y a maladie, Tant soit elle incurable ; où lon ne remédie : Il faut prendre courage et toujours espérer. Dieu vous peut (s'il lui plaît) de ces malheurs tirer."")","('#renaud', ""Vous n'en eûtes jamais dans aucune conquête,  Et tous ces beaux lauriers qui couvrent votre tête,  C'est votre seule main qui vous les a donnés,  Et fait ces grands exploits qui nous ont étonnés.  Mais autant que le mal de ma soeur nous afflige,  Autant votre pitié, Madame, nous oblige,  Et cette charité que vous lui témoignez,  À de puissants liens, dont vous nous étreignez.  Oui, de cette bonté j'ai l'âme si ravie. "")",0.62,Substitution
253,"('#bradamante', ""Et comment ? Quel moyen ? Qu'à Léon j'obéisse Par ses armes vaincue, et sois Impératrice ? Ha non! plutôt la mort se coule dans mon sein, Et plutôt me puissé-je enferrer de ma main Que d'être oncques à lui : j'en suis là résolue. Je sais que d'un chacun j'en serai mal voulue : Charles s'en fâchera, et mon père sur tous Vomira contre moi le fiel de son courroux. Je serai justement inconstante estimée, Des Grecs et des François impudente nommée ; Léon j'offenserai : mais tout m'est plus léger Et de moindre peché que d'offenser Roger."")","('#marphise', ""Quand même son repos dépendrait de ma vie,  Je vous jure le Ciel que je la donnerais,  Et même à ce prix je le rachèterais.  Mais puisque dans ses maux je suis intéressée,  Un dessein que le Ciel m'a mis dans la pensée,  Me laisse un grand espoir qu'il nous sera permis  De rompre encor un coup celui des ennemis.  Je vous le veux ouvrir, puisque votre prudence  Nous fait avoir besoin de votre confidence,  Et qu'avec vos conseils il réussira bien. "")",0.0,Match
254,,"('#renaud', ""Vous me comblez d'honneur. "")",1.0,Deletion
255,"('#hippalque', 'Je vois Marphise seule, allons par devers elle : Elle en pourra possible avoir quelque nouvelle.')","('#marphise', ""Votre soeur n'en sait rien.  Quoique aucune raison ne veut que je le cache,  Je vous en veux parler avant qu'elle le sache. "")",1.1,Substitution
256,"('#marphise', ""Quelle fureur, mon frère, à votre esprit époind De quitter votre Dame et ne la revoir point ? D'abandonner la Cour, et moi votre germaine, Me laissant en détresse, et Bradamante en peine ? La pauvre Bradamante, ha que j'en ai pitié! Jamais ne fut je crois, plus constante amitié. Las ! Que sera-ce d'elle ? Elle avoir espérance Qu'au bruit de son cartel vous reviendriez en France ; Un chacun l'estimait, son père en avait peur, Qui a tant ce Léon et son Empire au coeur : Et ores la pauvrette, et moquée et trompée, Est la femme du Grec par le droit de l'épée."")","('#bradamante', ""Ouvre la source de tes pleurs,  Fais couler un ruisseau de larmes,  Et meurs au moins par ces douleurs,  N'ayant pu mourir par les armes.  Préviens cette captivité,  Qui menace ta liberté  D'une prison insupportable :  Et fais paraître aux Dieux qui sont tes ennemis,  Que tu ne meurs pas misérable,  Puisque pour t'affranchir le trépas t'est permis.  Cette main, qui dans les dangers  Témoigna sa valeur extrême,  Est forte pour les étrangers,  Et n'est faible que pour toi-même.  Arme-la donc à ton secours,  Pour couper le fil de tes jours :  Mais non, étant ton ennemie,  L'ingrate à ce besoin craindrait de t'obliger,  Et sa valeur est endormie,  Sinon que ses effets te puissent affliger. "")",0.25,Substitution
257,"('#bradamante', ""Dieu m'en garde, ma soeur, je veux plutôt mourir."")",,1.0,Insertion
258,"('#marphise', ""Hélas ! Que je voudrais vous pouvoir secourir. Mais quoi ? tout est perdu, que saurions-nous plus faire ? La peine en est à vous, et la coulpe à mon frère. Prenez le sort en gré, c'est Dieu qui l'a permis. Léon vous doit avoir, puis qu'on lui a promis."")","('#renaud', ""Oui, la même prudence ordonne qu'on le suive,  Il faut encor un coup que Bradamante vive.  Que sa fidélité conserve son amour, * Et reçoive de vous le repos et le jour.  Léon est au Palais, plein d'honneur et de gloire,  Il demande déjà le prix de sa victoire,  Et le vieillard Aymon, las de le caresser,  N'attend plus que ma soeur pour le récompenser,  Mais vous le troublerez. "")",0.22,Substitution
259,"('#bradamante', 'Jamais, ma soeur.')","('#bradamante', 'Hé, dites-moi mon frère. ')",0.5,Substitution
260,"('#marphise', 'Mais quoi ? Serait-il raisonnable ?')",,1.0,Insertion
261,"('#bradamante', 'Le soit ou ne le soit, mon coeur est immuable.')",,1.0,Insertion
262,"('#marphise', 'Quelle excuse aurez-vous de ne le faire pas ?')","('#renaud', 'Vous saurez en chemin ce que vous devez faire,  Disposez-vous déjà pour agir avec nous. ')",1.12,Substitution
263,"('#bradamante', ""J'aurai pour mon excuse un violent trépas."")","('#marphise', 'Je serai chez le Roi presque aussitôt que vous. ')",1.47,Substitution
264,"('#marphise', ""Un trépas ! Et pourquoi ? N'avances point votre heure."")",,1.0,Insertion
265,"('#bradamante', ""Je mourrai, je mourrai : je n'ai chose meilleure."")","('#roger', ""Je puis, développé d'une suite importune,  Me plaindre en liberté des traits de la fortune,  Et devant que ma main finisse mon tourment,  Rappeler mes douleurs pour mourir doublement :  Puisque de tant de maux étant la seule cause,  Une mort seulement serait trop peu de chose.  Résous-toi, misérable, à mourir mille fouis,  Et ne regrette pas l'état où tu te vois.  Conserve pour toi-même un sentiment farouche,  Et que de tes malheurs la pitié ne te touche,  Étant le plus cruel de tous tes ennemis,  Les pires traitements te seront bien permis.  Justes Dieux ! Fallait-il que de mon mal extrême,  Je devinsse l'auteur et la cause moi-même ?  Et que j'enveloppasse en mon injuste sort,  Celle que j'aimais tant, et qui m'aimais si fort.  Est-ce à votre repos une chose importante,  De perdre avec Roger sa chère Bradamante ?  Et n'obtiendrez-vous pas le comble de vos voeux,  Si vous en perdiez un, sans les perdre tous deux ?  Hélas ! Si pour saouler votre haine implacable,  Vous gardiez à mes jours un sort si déplorable.  Que ne m'accordiez-vous d'assouvir la fureur,  Et le juste courroux d'un barbare Empereur ?  Si dans une prison j'eusse perdu ma tête,  Votre haine n'était qu'à demi satisfaite.  Et moi je n'étais pas malheureux en tout point,  Si même à tous mes maux le remords n'était joint.  Ce n'était pas assez d'une seule victime,  Et je devais périr coupable d'un grand crime.  Ô vous que je perdis par cette trahison !  Puisque mes repentirs ne sont plus de saison,  Et que c'est vainement que la douleur me touche,  Prononcez mon arrêt par votre belle bouche,  Condamnez cet ingrat aux plus cruels tourments,  Qu'ont jamais mérité les perfides amants.  Rien ne me peut servir de prétexte ou d'excuse,  Et pour vous prévenir, moi-même je m'accuse.  Il est vrai, j'ai failli, mais par un tel forfait,  Que rien n'effacera le crime que j'ai fait.  Cette main sacrilège ayant eu la puissance  De s'armer contre vous avec tant d'insolence,  Ayant pu consentir à ce lâche dessein,  Me pourra bien plonger un poignard dans le sein.  Aussi je n'en attends que ce dernier service,  Je lui pardonne tout après ce bon office.  Étant accoutumée à me faire mourir,  Je vois que sa pitié s'offre à me secourir.  Mais je m'épargnerais par un si doux remède,  Non perfide, à ce coup je refuse ton aide.  Tu finirais mes maux par une prompte mort,  Et je la veux souffrir, mais avec moins d'effort.  Je veux, je veux sentir toute son amertume,  Que l'horreur de la faim me mine et me consume,  Et que mon désespoir me tuant à son tour,  Me fasse avant ma mort mourir cent fois le jour.  D'un Ours ou d'un Lion le gîte épouvantable,  Sera dorénavant ma retraite effroyable,  Où tous ces animaux s'armeront contre moi,  Et me reprocheront que j'ai manqué de foi.  Leurs ventres affamés seront ma sépulture,  Ils enseveliront ce monstre de nature,  Et leur dent pitoyable aux siècles à venir,  Effaceront mon crime avec mon souvenir.  Je puis mourir, Léon, sans que ma mort t'offense,  Je me suis acquitté par cette récompense.  Bradamante est à toi, vit désormais content,  Et meurs entre les bras de celle qui t'attend.  Pour moi je t'abandonne, et cette ingrate ville,  Puisque dorénavant je te suis inutile,  Et que sans te troubler il ne m'est pas permis  De te voir triompher du mal que j'ai commis. "")",0.89,Substitution
266,"('#marphise', 'Et que dirait Roger entendant votre mort ?')",,1.0,Insertion
267,"('#bradamante', 'Que morte je serai pour ne lui faire tort.')","('#charles', ""Prince chéri du Ciel, votre valeur est telle,  Qu'au jugement de tous elle est plus que mortelle,  Et ne se peut payer que par un tel présent,  Après ces beaux exploits Bradamante y consent.  Il est vrai que jamais une fille bien née,  Ne subit sans rougir le joug de l'Hyménée,  Et que ce long silence et cet oeil abattu,  Au lieu de son mépris témoigne sa vertu.  Aussi dans sa froideur elle serait blâmée,  Si de tant de vertus elle n'était charmée.  Les rares qualités d'un si parfait amant,  Amolliraient sans doute un coeur de diamant. "")",1.31,Substitution
268,"('#marphise', 'Mais il aurait causé votre mort outrageuse.')","('#leon', ""Invincible Empereur, je vis dans l'espérance,  Puisque votre grandeur entreprend ma défense.  J'attends de ma valeur et de ma qualité. \t Moins que de mon amour et de votre bonté.  L'un et l'autre me donne un esprit légitime,  Et mon ambition passerait pour un crime,  Si j'osais présumer, que j'ai reçu des Cieux  Quelque autre qualité qui la mérite mieux.  Ma seule passion l'oblige à quelque chose,  Et non pas cette loi que ma victoire impose.  C'est par là seulement que je la veux fléchir,  Et le hasard n'a rien qui me puisse affranchir.  Mais parmi tant de biens que le destin m'envoie,  Vous seule êtes contraire à la commune joie.  Maintenant que le Ciel me voit d'un si bon oeil,  Vous me désespérez par un si triste accueil :  Que l'amour la plus froide et la plus retenue,  Doit être, à mon avis, autrement reconnue.  Montrez-nous donc, Madame, un visage content,  Ne vous opposez pas au bonheur qui m'attend,  Et souffrez sans regret, que le Ciel nous assemble,  Et joigne, pour jamais, nos deux âmes ensemble.  Vous ne répondez rien. "")",1.2,Substitution
269,"('#bradamante', 'Non, ainçois la fortune à mon bien envieuse.')","('#aymon', 'Bradamante parlez,  Ce silence indiscret nous a déjà troublés. ')",0.84,Substitution
270,"('#marphise', ""Il mourrait à l'instant qu'il saurait votre fin."")","('#marphise', ""Ceux qui sont travaillés d'un ver de conscience,  Couvrent leur repentir d'un semblable silence.  Le souvenir d'un crime imprime des remords,  Qui gênent nos esprits de plus de mille morts. "")",1.37,Substitution
271,"('#bradamante', ""J'ai peur qu'il soit déjà de la mort le butin."")",,1.0,Insertion
272,"('#marphise', 'Non est pas, si Dieu plaît il en serait nouvelle.')","('#bradamante', ""Grâce aux Dieux, les remords n'affilent point mon âme,  J'ai vécu sans reproche, expliquez-vous Madame,  Et ne m'offensez point en présence du Roi. "")",1.6,Substitution
273,"('#bradamante', ""S'il vit, il est épris de quelque amour nouvelle."")","('#marphise', ""Si trahir un amant, si violer sa foi,  Si fausser lâchement la parole donnée,  Révoquer des serments, et rompre un hyménée,  Sont de ces actions que l'on doit estimer,  Au jugement de tous j'ai tort de vous blâmer.  Vous m'entendez, Madame, et la honte s'imprime  Sur votre front changé, qui confesse son crime.  Oui, vous vous souvenez du jour que devant moi,  À mon frère Roger vous donnâtes la foi.  Renaud y fut aussi témoin de vos caresses,  Et le Ciel appelé dans toutes vos promesses,  Avec tant de serments, que ne les tenant pas,  Vous obligez la terre à s'ouvrir sous vos pas.  C'est ce qu'auparavant que le soleil se cache,  Je veux que par ma voix toute la France sache,  Et que devant les yeux de l'Empereur Romain,  Je vous veux maintenir les armes à la main,  Vous faire malgré vous tenir votre promesse.  Que si dans ce sujet quelque autre s'intéresse,  Qu'il relève ce gage, et qu'il vienne au combat.  Quelle soudaine peur ce grand courage abat.  Vous ne répondez rien, ô grands Dieux ! Bradamante  À ce mot de combat pâlit et s'épouvante.  Parlez un peu, Madame, et s'il vous est permis,  Purgez-vous d'un forfait devant vos ennemis,  C'est moi, qui vous défie, et sur cette querelle,  Je veux encor Renaud vous combattre avec elle,  Si vous ne confessez tout ce qui s'est passé. "")",1.15,Substitution
274,"('#marphise', ""N'ayez peur qu'il soit onc d'autre amour retenu."")","('#aymon', ""D'où vient qu'à ce défi vous êtes si glacé ?  Quoi, l'honneur de Clairmont a-t-il pris l'épouvante ?  Marfise fait trembler Renaud et Bradamante. "")",0.9,Substitution
275,"('#bradamante', ""Qu'au bruit de ce combat n'est-il donques venu ?"")",,1.0,Insertion
276,"('#marphise', ""Hélas! je n'en sais rien ; j'ai peur qu'il soit malade."")","('#renaud', ""Les plus sanglants duels ne sont plus étrangers  À qui ne s'est nourri que parmi les dangers.  C'est le seul exercice où cette main s'adonne,  Qui jamais au combat ne refusa personne.  Elle met en usage, et la lance, et l'écu,  Mais c'est la vérité, dont je le sens vaincu :  Je n'ai point sur ma force assez de confiance,  Pour entrer dans le camp contre ma conscience.  Il est vrai que ma soeur est promise à Roger,  Avec tant de serments, qu'elle ne peut changer. "")",1.47,Substitution
277,"('#bradamante', ""Léon lui aurait bien dressé quelque embuscade, Comme il est fraudulent, et l'aurais pris, de peur Qu'il fût à son dommage encontre moi vainqueur."")","('#aymon', ""Justes Dieux ! Pouvez-vous souffrir cette imposture ?  Mais je serai pour eux sensible à leur injure.  Oui, je veux m'opposer à cette trahison,  Qu'on brasse lâchement contre notre maison.  Je sais que ce perfide a conjuré ma perte,  Mais il soupirera, sa ruse découverte,  Il se repentira de m'avoir offensé. "")",0.41,Substitution
278,"('#hippalque', ""Je sais bien un moyen pour brouiller tout l'affaire."")",,1.0,Insertion
279,"('#marphise', 'Et quel ? Ma grand amie.')",,1.0,Insertion
280,"('#bradamante', 'Et que faudrait-il faire ?')",,1.0,Insertion
281,"('#marphise', ""Je vole toute d'aise."")",,1.0,Insertion
282,"('#bradamante', 'Hippalque, mon amour.')",,1.0,Insertion
283,"('#marphise', 'Mon coeur et je te prie, fais nous quelque bon tour.')",,1.0,Insertion
284,"('#hippalque', ""La fourbe est bien aisée, il faut que vous, Marphise, Allez vers l'empereur, et que de galantise Soutenez qu'on fait tort à votre frère absent, Mariant Bradamante, et la lui ravissant, Vu qu'ils ont devant vous par paroles expresses Fait de s'entre-espouser l'un à l'autre promesses : Qu'un sceptre ne doit pas la faire varier, Qu'on ne la saurait plus à d'autres marier : Que si par arrogance elle veut contredire, Les armes en la main soutiendrez votre dire. Bradamante y sera qui, le front abaissant, Ira par son maintien vos propos confessant ; Lors Charles et ses pairs ne voulant faire outrage À Roger, suspendront ce dernier mariage. Il viendra ce pendant, ou quelque autre moyen Se pourra présenter commode à notre bien."")","('#leon', ""De quels empêchements me vous-je traversé ?  Ha, Madame, à ce coup ouvrez un peu la bouche,  Qu'à cette extrémité ma passion vous touche,  Et ne conspirez pas avec mes ennemis,  Pour me voler un bien que le Ciel m'a promis."")",0.01,Substitution
285,"('#marphise', ""J'approuve ce conseil : car si Léon s'y treuve, Il faudra qu'avec moi par l'honneur il s'épreuve Pour défendre sa cause, et j'espère qu'après Vous n'aurez plus de mal de lui, ni d'autres Grecs."")","('#charles', ""L'esprit le plus subtil ici ne verrait goutte,  Bradamante, il est temps de nous tirer d'un doute :  Enfin par vos discours sachons la vérité. "")",1.32,Substitution
286,"('#leon', ""Magnanime empereur, dont le nom vénérable Est aus fiers Sarrasins et aux Turcs redoutable, Qui le sceptre François faites craindre par tout D'un bout de l'univers jusques à l'autre bout, Et qui ce grand Paris, votre cité Royale, En majesté rendez aux deux Romes égale, Heureuse est votre France, et moi plein de grand De m'être ici trouvé pour voir votre grandeur, Et d'avoir eu de vous témoignage honorable Aux prix de ma valeur, qui vous est redevable."")","('#bradamante', ""Puisqu'il faut obéir à votre Majesté,  Je la veux supplier de voir sur mon visage,  De ma confession l'infaillible présage :  De remarquer ce front, qui parle assez pour moi.  Oui, Sire, il est certain que j'ai donné ma foi. "")",0.24,Substitution
287,,"('#leon', 'Ô mortelle sentence ! ')",1.0,Deletion
288,"('#charles', ""Mon fils, votre vertu s'est montrée à nos yeux Comme l'alme clarté d'un soleil radieux. Ma voix ne la saurait rendre plus héroïque. Le témoignage est vain en chose si publique. Vraiment vous méritez d'un Auguste le nom, Et méritez aussi d'être gendre d'Aymon, Bradamante épousant, que votre vaillantise Et votre ferme amour a doublement conquise."")","('#aymon', ""Ô mensonge exécrable !  Le Ciel vit-il jamais une fourbe semblable ?  Non, non, il n'en est rien, je le maintiens à tous.  Quoi, Sire, avoir le front de mentir devant vous ?  Et votre Majesté, si sainte, et si sacrée,  Souffrir impunément l'imposture sacrée ?  Ils ont également brassé la trahison. "")",0.4,Substitution
289,,"('#marphise', ""Vous avez presque atteint la dernière saison,  L'esprit, comme le corps, s'affaiblit avec l'âge. "")",1.0,Deletion
290,"('#leon', 'Sire, vous plaît-il pas la faire ici venir, Pour de notre noçage ensemble convenir ?')",,1.0,Insertion
291,"('#charles', ""Je le veux. Ha voici le bon Duc_de_Dordonne, Noble sang de Clairmont qui vous affectionne, Votre race et vaillance il honore : et voici La duchesse sa femme, et Bradamante aussi. Vous, Aymon, savez bien que le prince de Grèce, Aussi grand en vertu comme il est en noblesse, Poursuit votre alliance, et s'est acquis vainqueur En publique combat votre fille, son coeur. Ore voulez-vous pas vos promesses conclure, Et déterminer jour pour la noce future ?"")","('#aymon', ""Il m'a ravi la force, et non pas le courage :  Ce corps est affaibli, mais il me reste un coeur,  Qui de mille péris m'a retiré vainqueur.  Il me reste, Madame, en sa vigueur première,  Et sachez, que plutôt je perdrai la lumière,  Tout caduc que je suis, que de souffrir de vous  Un si sensible affront, qui nous offense tous.  La lâcheté des miens vous l'a fait entreprendre,  Mais mon propre intérêt m'oblige à les défendre.  Je veux encore un coup endosser le harnois,  Pour soutenir mon droit, et la rigueur des lois,  Faire voir à Roger, quelque part qu'il se cache,  Que le sang de Clairmont ne souffre point de tache.  Que je ne puis survivre à la honte des miens,  Et qu'il se mêle un jour de disposer des siens.  Qu'il prétend vainement d'entrer dans ma famille,  Que Renaud n'eut jamais de pouvoir sur ma fille.  Et que quand l'imprudente aurait donné sa foi,  Elle n'a pas le droit d'en disposer sans moi :  C'est ce que je soutiens. "")",0.0,Match
292,"('#aymon', ""Ouy, Sire. Je n'ai rien qui me plaise si fort Que me voir allié d'un prince si accort. Je me sens bienheureux, et Bradamante heureuse D'entrer en une race et noble et valeureuse."")","('#marphise', ""Le péril est extrême.  Mais quoiqu'en ce combat la gloire fût de même,  J'attendrai sur l'espoir de vous voir rajeunir.  Cependant qu'entre tous je m'offre à soutenir.  Qu'on n'espère jamais d'épouser Bradamante,  Que de son propre gré mon frère n'y consente.  Et puisqu'il est absent, je combattrai pour lui. "")",0.35,Substitution
293,"('#leon', ""Moi plus heureux encor, d'avoir une beauté Dont mon coeur si long temps idolâtre a été, Et qui, vraie Amazone, est aussi belliqueuse (Rare faveur du ciel) que belle et gracieuse. Puis elle est d'un estoc d'hommes vaillants et forts, Les premiers de la terre en martiaux efforts, De Renauts, de Rolands, les foudres de la guerre, D'Ogers et d'Oliviers, plus craints que le tonnerre."")","('#aymon', ""Donc que ce différent se termine aujourd'hui,  Oui, Madame, je veux moi-même vous combattre,  Et de ma propre main cette insolence abattre,  Magnanime Empereur. "")",0.63,Substitution
294,"('#charles', ""Tout l'Orient n'est point en gemmes si fécond Qu'est en hommes guerriers la race de Clairmont. Jadis le cheval grec n'eut les entrailles pleines De tant de bons soldats et de bons capitaines Que de cette famille, il en sort tous les jours, Indomptés de courage aux belliqueux étours. La loi de Jésus-Christ par eux est maintenue, Et la fureur païenne en ses bords retenue, Comme un torrent enflé, qui par la plaine bruit Et jà prez et jardins de ses ondes détruit, Entraînerait maisons, granges, moulins, étables, S'il n'était arresté par remparts défensables, Qui rompent sa fureur, et ne permettent pas Qu'il déborde, et s'épande aux endroits les plus bas."")","('#leon', ""Monsieur retirez-vous,  L'exercice de Mars est désormais pour nous,  Et principalement quand l'affaire nous touche.  Je dois seul m'opposer à cet esprit farouche,  Et lui faire avouer ; que très mal à propos,  Au point de mon bonheur, on trouble pon repos.  J'entreprends ce duel, puisqu'il vous plaît, Madame, Ma main, avec regret, s'arme contre une femme.  Je verrais un guerrier plus volontiers que vous,  Qui semblez destinée à des combats plus doux. "")",0.27,Substitution
295,"('#aymon', ""C'est par votre vertu, que cette heureuse France Sert encore Jésus-Christ, vous êtes sa défense."")","('#marphise', ""Jamais les plus sanglants n'ont changé ce visage,  J'ai dans mille périls signalé mon courage,  Et mille cavaliers, à mes pieds renversés,  Craignent encor la main qui les a terrassés. "")",1.18,Substitution
296,"('#charles', ""La puissance Chrétienne accroîtra de moitié Par ce noeu conjugal qui joint notre amitié, Quand l'un et l'autre Empire, unissant ses armées, Guerroiera les Païens aux terres Idumées, Ou en la chaude Égypte, en l'Afrique, et aux bords De l'Espagne indomptée, où j'ai fait tant d'efforts."")","('#charles', 'La valeur de tous deux est assez reconnue :  Mais puisque notre loi doit être maintenue,  Et que cette Amazone en doit être le prix,  Je consens à regret au combat entrepris :  Demain, dès que Phébus nous rendra sa lumière,  Je vous donne le camp. ')",0.78,Substitution
297,"('#beatrix', ""Mais pensons d'ordonner du jour du mariage, A fin qu'on se prépare et mette en équipage."")","('#marphise', ""J'y serai la première. "")",1.3,Substitution
298,"('#leon', ""Ce ne sera sitôt que j'en ai de desir."")","('#leon', ""Je n'aurai d'autre soin que de vous prévenir."")",0.83,Substitution
