,leclerc-iphigenie,rotrou-iphigenie,Cost,Operation Type
105,"('#clytemnestre', ""Dissipe ce soupçon dont ton âme est atteinte, Et qu'un plus doux espoir succède à cette crainte, Nous devons seulement rendre grâce aux Dieux Qui font à ma famille un sort si glorieux. Ô Dieux ! Qu'Agamemnon aura l'âme contente ! J'ai voulu le surprendre, il sort de cette tente ; Mais d'où vient qu'il paraît si triste et si rêveur ? Nous allons apaiser le trouble de son coeur, Courons à lui."")","('#agamemnon', 'Cieux pourquoi pressez-vous ce voyage funeste, Elle aura trop tôt fait le chemin qui lui reste, Hélas à quel dessein te tiendrai-je les bras, Ma fille ce sujet ne te sauvera pas.')",0.25,Substitution
106,,"('#clytemnestre', 'Bienheureuse est la loi que nous avons reçue, Puis que nous lui devons le bien de votre vue.')",1.0,Deletion
107,,"('#iphigenie', ""Lassée d'un long chemin j'arrive heureusement, Et pour ma lassitude en cet embrassement."")",1.0,Deletion
108,"('#clytemnestre', 'Seigneur que ma joie est extrême !')","('#agamemnon', ""Pleurs visibles témoins d'une secrète joie, Pourquoi m'aveuglez vous souffrez que je la voie."")",0.9,Substitution
109,,"('#iphigenie', 'Il ne vous déplaît pas que nous soyons ici.')",1.0,Deletion
110,"('#agamemnon', 'Clytemnestre en ces lieux, Clytemnestre elle-même !')","('#agamemnon', ""Je n'en puis, qu'avouer, ni que jurer aussi."")",1.64,Substitution
111,,"('#iphigenie', 'Ce visage contraint marque quelque tristesse.')",1.0,Deletion
112,"('#iphigenie', 'Seigneur, que votre fille.')","('#agamemnon', 'Qui commande a toujours quelque soin qui le presse.')",1.52,Substitution
113,,"('#iphigenie', ""Donnez-nous un moment franc de foins et d'ennuis."")",1.0,Deletion
114,"('#agamemnon', 'Et toi ma fille aussi.')","('#agamemnon', ""Je vous le donne aussi, c'est tout ce que je puis."")",1.74,Substitution
115,"('#clytemnestre', ""D'où vient ce triste accueil que l'on nous fait ici ? Quelle morne douleur ternit ce front auguste ?"")","('#iphigenie', 'Ces pleurs font déshonneur à ce visage auguste.')",0.49,Substitution
116,"('#agamemnon', ""Ne la condamnez pas, elle n'est que trop juste."")","('#agamemnon', 'Leur source est naturelle et la cause en est injuste.')",1.1,Substitution
117,"('#iphigenie', 'Et quel sujet, Seigneur, auriez-vous de pleurer ?')","('#iphigenie', 'Et quel sujet, Seigneur, auriez-vous de pleurer.')",0.0,Match
118,"('#agamemnon', 'Le long éloignement qui va nous séparer.')","('#agamemnon', 'Le long éloignement qui nous va séparer.')",0.0,Match
119,"('#iphigenie', ""Souffrez qu'auprès de vous je sois toute ma vie."")","('#iphigenie', ""Souffrez, qu'auprès de vous je consomme ma vie."")",0.04,Substitution
120,"('#agamemnon', 'Que ne peut ton destin répondre à ton envie.')","('#agamemnon', 'Sachant ce que tu dis, tu perdrait cette envie.')",0.58,Substitution
121,"('#iphigenie', ""Qui peut, si vous voulez, m'éloigner de vos yeux, Ne suis-je pas à vous ?"")","('#iphigenie', ""Qui peut si vous voulez, m'éloigner de vos yeux, Ne suis-je pas à vous."")",0.0,Match
122,"('#agamemnon', 'Non, tu dépens des Dieux.')","('#agamemnon', 'Dépends-tu pas des Dieux.')",0.08,Substitution
123,"('#iphigenie', ""Les Dieux s'opposent-ils aux volontés d'un père ? Aurions-nous pu, Seigneur, mériter leur colère ? Vous ne répondez rien, je vous vois soupirer ?"")","('#iphigenie', ""Mais la loi d'hyménée est un mal volontaire."")",1.85,Substitution
124,,"('#agamemnon', 'Celle qui les prescrit est un mal nécessaire.')",1.0,Deletion
125,"('#agamemnon', ""À tout ce qu'ils voudront il faut se préparer."")","('#iphigenie', 'Quelle nécessité me destine un époux.')",1.08,Substitution
126,,"('#agamemnon', 'Une nécessité qui nous regarde tous.')",1.0,Deletion
127,"('#clytemnestre', ""J'ignore quel secret cet entretien nous cache."")","('#iphigenie', ""J'ignore quel secret et entretien me cache."")",0.0,Match
128,"('#agamemnon', ""Il n'est pas à propos qu'une fille le sache."")","('#agamemnon', ""Il n'est pas à propos qu'une fille les cache."")",0.0,Match
129,,"('#iphigenie', 'Quand délibérez vous de partir de ces lieux.')",1.0,Deletion
130,,"('#agamemnon', 'Il faut auparavant sacrifier aux Dieux.')",1.0,Deletion
131,,"('#iphigenie', 'Pourrai-je être présente à la cérémonie.')",1.0,Deletion
132,,"('#agamemnon', ""Oui, n'appréhende point que l'on te le dénie."")",1.0,Deletion
133,"('#iphigenie', ""Quelque part que je prenne à tous vos intérêts, Je ne veux pas, Seigneur, pénétrer vos secrets, Peut-être trouvez-vous qu'ils surpassent mon âge ; Mais pour votre repos et pour votre avantage Veuillent les justes Dieux que tout succède bien."")","('#iphigenie', 'Plaise au pouvoir des Dieux que tout succède bien.')",1.2,Substitution
134,"('#agamemnon', ""Les Dieux sont irrités, ne leur demande rien. Laisse-nous un moment, ta présence me tue, J'ai peine à rétablir ma constance abattue. Il était nécessaire au repos de mes jours Ou de ne te voir plus, ou de te voir toujours."")","('#agamemnon', ""Les Dieux font irrités ne leur demande rien, Laisse nous un moment et va sous cette tente, Des filles de ces lieux satisfaire l'attente, Toute la ville en foule adresse ici ses pas, Pour te voir à ses yeux exposer tes appas : Contente leur désir, permets leurs-en la vue, Va ce baiser m'afflige et ce regard me tue, Il était nécessaire au repos de mes jours, Ou de ne te voir point, ou de te voir toujours."")",0.0,Match
135,"('#clytemnestre', ""Si vous l'aimez, Seigneur, vous savez que je l'aime, Et que m'en séparer c'est l'ôter à moi-même ; Mais lorsqu'on lui destine un si charmant époux, Ce doit être pour elle un changement bien doux, En vain vous lui montrez un naturel si tendre, Vous lui donnez des pleurs qu'elle ne peut vous rendre ; Mais."")","('#clytemnestre', ""Le Ciel qui voit mon coeur sait qu'au point ou je l'aime, L'éloigner de ma vue est m'ôter à moi-même : Mais l'échange qu'on fait d'un père en un époux, Est quoi qu'elle en témoigne un changement bien doux, Il faut qu'en leur saison les roses soient cueillies, On les laisse au rosier quant elles font vieillies : Elle est d'âge en un mot à ne pas refuser, Le favorable joug qu'on lui veut imposer, Et quand vous lui montrez un naturel si tendre, Vous lui donnez des pleurs quelle ne vous peut rendre. Outre que pour un Prince issu du sang des Dieux, On est bien aveuglé si l'on ouvre les yeux, Une illustre couronne à la vôtre s'allie, Vous aurez pour appui toute la Cessalie, D'où votre fille un jour vous enverra des Rois, Reconnaître leur père, et révérer ses lois : C'est par eux qu'à jamais vivra votre mémoire."")",0.0,Match
136,,"('#agamemnon', 'Les Dieux qui peuvent tout, feront tout pour leur gloire.')",1.0,Deletion
137,,"('#clytemnestre', 'Quant sacrifierez-vous pour un bonheur si cher.')",1.0,Deletion
138,"('#agamemnon', 'Rendez sur ce point mon esprit éclairci, Madame, quel sujet vous a conduit ici ?')","('#agamemnon', ""C'est à quoi je travaille on dresse le bûcher."")",1.44,Substitution
139,"('#clytemnestre', ""Cet Hymen proposé, mon amour, cette lettre Qu'Ulysse dans Argos en mes mains vint remettre."")","('#clytemnestre', 'Ordonnez que surtout, la victime soit pure.')",1.51,Substitution
140,"('#agamemnon', ""L'écriture en est fausse, et le seing contrefait, Dissimulons pourtant. C'est ma lettre en effet ; Mais je ne demandais ici qu'Iphigénie, Elle seule suffit pour la cérémonie. Haut."")","('#agamemnon', ""Comme la flamme l'est au lieu de sa nature, Mais durant cet hymen, il n'est pas à propos, Que nul de nous ne vaque aux affaires d'Argos : Je sais l'humeur d'Argiffe, et crains qu'en votre absence, Son orgueil ne le porte à l'extrême licence, Un trône est un beau lieu qui veut être occupé, Où qui demeurant vide est bientôt usurpé, Retournez donc, Madame et Princesse absolue, Portez-y le respect qu'impose votre vue : Remplissez-y ma place, et comme sur vos bras J'ose me reposer au soin de mes États : Sans que dans ce pays cet hymen vous retarde, Déchargez-vous sur moi du foin qui vous regarde, Et n'appréhendez point que fait hors de vos yeux,, Il en succède moins à la gloire des Dieux."")",0.44,Substitution
141,"('#clytemnestre', ""Ulysse par votre ordre a parlé comme vous, Mais pourquoi me priver d'un spectacle si doux ? J'ai crû qu'en cet hymen je devais la conduire."")","('#clytemnestre', ""Ne me prescrivez point une loi si sévère, Je sais bien les devoirs et d'épouse et de mère : Je suis et l'une et l'autre, et ces deux qualités, Doivent être d'accord de leurs autorités : Si je vous obéi en qualité d'épouse, J'ai d'un autre côté sujet d'être jalouse, Voyant que l'on me chasse que l'on me défend, Un si juste devoir de la mère à l'enfant, Oui je connais fort bien quel ordre qu'on me donne, D'aller remplir le trône et porter la couronne, Tandis que cet Hymen si célèbre en ces lieux, M'est un bannissement honnête et spécieux, Car qu'appréhendes-vous qu'Argisse se propose, Dans le calme profond où l'Empire repose. Ce fleuve si tranquille est bien moins en repos, Que n'est l'état présent des affaires d'Argos."")",0.55,Substitution
142,"('#agamemnon', ""De mes intentions il devait vous instruire, Et vous auriez appris qu'il était à propos De ne point s'éloigner de Mycènes et d'Argos. Un tas de mécontents peut pendant votre absence Y semer le venin qu'inspire la vengeance, Un peuple qui toujours aime le changement, Qui ne saurait souffrir le joug le plus charmant, Qui sans cesse gémit, qui sans cesse soupire, Peut d'un Prince étranger reconnaître l'empire. Qui laisse un trône vide, invite à l'usurper, Et qui connaît son prix doit toujours l'occuper. Prévenez de mutins l'ambitieuse audace, De peur qu'on s'en saisisse, allez remplir ma place. Ne perdez point de temps et comme sur vos bras J'ose me reposer du soin de vos États, Sans que dans notre camp cet hymen vous retarde, Reposez-vous sur moi du soin qui vous regarde, Et n'appréhendez point étant loin de ces lieux Que cet hymen ne tourne à la gloire des Dieux."")","('#agamemnon', ""Mais, Madame, songez qu'ici votre présence, N'est ni démon honneur ni de la bienséance, Et qu'en cet éminent et sérieux emploi, Les yeux de tout un camp sont ouverts dessus moi, Qu'on n'y respire rien que courage et que flammes, Que la guerre répugne au commerce des femmes, Que leur feule maison est leur propre élément, Et que hors de son centre on perd son ornement."")",0.0,Match
143,"('#clytemnestre', ""Qui vous fait me prescrire une loi si sévère ? Je connais les devoirs et d'épouse et de mère, Je suis et l'une et l'autre, et ces deux qualités D'un accord mutuel règlent mes volontés ; Mais je ne vois que trop, que l'ordre qu'on m'impose Part d'un prétexte adroit dont on cache la cause, Qui lorsque cet Hymen se célèbre en ces lieux Ne saurait m'en bannir sans être injurieux, Car doit-on dans le calme où repose l'Empire, Craindre que contre vous votre peuple conspire, Cette mère tranquille est bien moins en repos Que n'est l'état présent de Mycènes et d'Argos."")","('#clytemnestre', ""Quoi que l'on me propose, il n'est point déshonnête, Que ma fille épousant j'en célèbre la fête, Tenant de moi la vie aussi bien que de vous, Souffrez que de tous deux elle tienne un époux."")",0.19,Substitution
144,"('#agamemnon', ""Madame, suivez mieux les avis qu'on vous donne."")","('#agamemnon', ""Ne contrevenez point aux avis qu'on vous donne."")",0.22,Substitution
145,,"('#clytemnestre', ""Ne me défendez point ce que le sang m'ordonne."")",1.0,Deletion
146,,"('#agamemnon', 'Obéissez.')",1.0,Deletion
147,"('#clytemnestre', ""Ne me défendez pas ce que le Ciel m'ordonne, Rien ne peut me forcer à partir de ces lieux Eussai-je contre moi les hommes et les Dieux, Vous conduisez les Grecs, moi je conduis ma fille, Et j'y dois soutenir l'éclat de ma famille."")","('#clytemnestre', ""Non pas si de la voix des Dieux, Je recevais la loi de sortir de ces lieux, Vous conduisez les Grecs, moi je conduits ma fille, Partout où vous serez, je puis lever le front, Et ma présence aussi ne vous fait point d'affront."")",0.0,Match
148,"('#agamemnon', 'Demeurez donc, Madame, et désobéissez, Mais destinez ailleurs ces pleurs que vous versez : Jaloux de ma douleur moins que de votre joie, Je voulais au chagrin demeurer seul en proie, Mais pour votre malheur vous ne le voulez pas. Je vous laisse, Madame, et je vais voir Calcas.')","('#agamemnon', ""Ô refus ! Ô mépris qui me covure de blâme, Ce Chef de tous les Grecs ne peut vaincre sa femme, Que ferai-je, en quel lieu s'adresseront mes pas, Allons nous-en au temple et consultons Calchas."")",0.47,Substitution
149,"('#clytemnestre', ""De tout ce que je vois quelle sera la suite ? Que dois-je, Agamemnon, juger de ta conduite ? Qu'ai-je fait qui mérite un si dur traitement ? De ce grand hyménée est-ce l'apprêt charmant ? Je n'entends que soupirs, que murmures, que plaintes, Que mots entrecoupés qui redoublent mes craintes, Et je sens malgré moi se glisser dans mon coeur Je ne sais quels soupçons qui me comblent d'horreur ; En quelque lieu du camp que je porte la vue, Je vois de tous côtés la terreur répandue ? J'en ignore la cause, et veux m'en éclaircir, J'en cherche la raison et crains d'y réussir."")","('#clytemnestre', ""Honneur peste des moeurs, noir poison de la vie, Que ta possession est bien digne d'envie : Que tu mets de désordre en l'esprit des mortels, Que l'on est insensé d'encenser les Autels , Et que quand nous prenons superbes que nous sommes, Ce titre spécieux de maîtresse des hommes : L'Empire que l'Amour donne à notre beauté, N'est qu'un amusement de leur oisiveté, La moindre occasion où l'honneur les attire, Rétablit leur franchise et detruit notre empire : L'amour durant la guerre abat les étendards, Et quoi que l'on ait dit de Vénus et de Mars. Quelques soumission qu'il rendit à ses charmes, Elle s'allait cacher quand il prenait les armes : Mais le fils de Thétis ravi d'aise et d'amour, Des yeux de son Soleil vient recevoir le jour."")",0.17,Substitution
150,"('#phenice', 'Madame, espérez mieux.')",,1.0,Insertion
151,"('#clytemnestre', ""Hé ! Qu'espérer, Phénice Quand mon époux me traite avec tant d'injustice, Et par un changement qu'on ne peut concevoir."")","('#achille', ""Inconstant Dieu des flots, jusqu'à sur tes rives,  n;i reçu l'être et le sentiment, Autre divinité de ce mort élément, Si je tiens de ton sang la force et le courage Et si de ta faveur j'en puis tenir l'usage, Romps la tranquille paix des Vents avec les eaux, Et jusques à Terede amène nos vaisseaux : Tu Vois de nos soldats la valeur engourdie, Demande qu'on l'emploie ou qu'on la congédie, Que l'on donne matière, ou dispense à leurs faits, Et que l'on leur accorde où la guerre à la paix, De ton autorité seconde leur adresse, Et prends contre Ilion, l'intérêt de la Grèce Nous apprendrons ici ce qu'aura résolu Celui qui de l'armée à l'empire absolu."")",1.04,Substitution
152,"('#phenice', 'Madame, Achille vient.')",,1.0,Insertion
153,"('#clytemnestre', 'Allons le recevoir.')","('#clytemnestre', 'Sacré sang de Thétis, rare honneur de la terre, Merveille de la paix, prodige de la guerre.')",1.89,Substitution
154,"('#achille', ""Si le calme obstiné qui règne en ce rivage De tous les Grecs, Madame, étonna le courage, Je les vois rassurés à l'aspect de vos yeux, Votre abord nous répond de la faveur des Cieux, Déjà dans tout le camp le pouvoir de vos charmes Fait revivre la gloire et l'éclat de nos armes, Et par le doux espoir qu'il met dans tous les coeurs."")","('#achille', ""Madame, hé depuis quand sont venus vos beaux yeux, Du rivage d'Argos éclairer en ces lieux, Comment accordez-vous la douceur de leurs charmes, Avecque la frayeur et le bruit de nos armes, Quel est ici l'emploi de votre majesté, Qu'à de commun la guerre avecque la beauté, Elle occupe des Rois les veilles et les peines : Mais la paix est bien mieux l'exercice des Reines, La couronne à vos fronts doit être un faix léger. Elle vous doit parer et non pas vous charger. Elle veut l'embrasser et le retire."")",0.0,Match
155,"('#clytemnestre', ""De grâce, bannissons tous ces termes flatteurs, Et ne songeons, Seigneur, qu'à bénir la journée Qui doit, par les beaux noeuds d'un charmant hyménée De vous et de ma fille unir le noble sort. D'où vient que ce discours vous étonne si fort ?"")","('#clytemnestre', ""Je puis en vous voyant goûter en cette terre, Le Repos de la paix dans l'effroi de la guerre, Comme vous accordez dans ce même séjour, Les entretiens de Mars avec ceux de l'amour. Bénissez donc mon fils cette heureuse journée, Et pour me confirmer un si bel hyménée, Portez moi le salut si longtemps attendu."")",0.0,Match
156,"('#achille', ""Madame, ce discours que je ne puis comprendre, A de quoi m'honorer et de quoi me surprendre."")","('#achille', 'À Madame souffrez que de cette licence, Vers votre Majesté mon respect me dispense.')",0.89,Substitution
157,"('#clytemnestre', ""L'Hymen qu'on a traité de ma fille et de vous Ne vous plairait il plus ?"")","('#clytemnestre', ""L'hymen qu'on a traité de ma fille et de vous, Vous enjoint ce devoir puisqu'il vous joint à nous."")",0.47,Substitution
158,,"('#achille', ""Aurait-on sans mon su conclu ce mariage, Ou bien de la mémoire ai je perdu l'usage ?"")",1.0,Deletion
159,"('#achille', ""Il me serait trop doux ; Tout cède à la Princesse, et j'en garde, Madame, Le glorieux portrait jusques au fond de l'âme : À ses charmes d'abord Achille assujetti Sentit ce que son coeur n'avait jamais senti ; Mais quand de son hymen on me promet la gloire Mon bonheur est si grand que je n'ose se croire, Et comme il me surprend, j'ai peine à concevoir Par quel sort je puis être heureux sans le savoir."")","('#clytemnestre', ""Il est presque ordinaire naturel à tous, De croire a autant moins que ce qu'on croit est doux, Et de n'être jamais sans quelque défiance Si la possession n'établit la créance. Venez donc voir  l'objet de votre affection, Et vous faire savant par sa possession."")",0.0,Match
160,,"('#achille', ""Prouvez moi qu'en effet ne ne suis plus Achille, La persuasion m'en sera plus facile ; Plus cet entretien dure et moins j'y vois de jour, Et je ne me souviens ni d'hymen ni d amour."")",1.0,Deletion
161,,"('#clytemnestre', ""Dieux ! En l'étonnement que le vôtre m'excite, Je m'ignore moi-même et demeure interdite."")",1.0,Deletion
162,,"('#achille', ""Je m'étonne bien plus, et bien plus justement, De me voir marié dans mon consentement."")",1.0,Deletion
163,"('#clytemnestre', ""Je vois par vos discours, que dans cette aventure Quelque intérêt secret a mêlé l'imposture. L'accueil que j'ai reçu de mon cruel époux Convertit en chagrin mon espoir le plus doux."")","('#clytemnestre', ""Un mouvement secret me dit que cette affaire, N'est point sans quelque fourbe ou sans quelque mystère."")",0.08,Substitution
164,"('#achille', ""Il faut s'en éclaircir."")",,1.0,Insertion
165,"('#clytemnestre', 'Ne vois je pas Oronte ? De tout cet artifice il peut nous rendre compte.')","('#achille', ""Si je vous puis au vrai dire ce que j'en crois, On s'est voulu jouer et de vous et de moi."")",1.05,Substitution
166,"('#oronte', ""Ô Reine infortunée où s'adressent vos pas ?"")","('#amyntas', ""Ciel impitoyable ! Ô funeste contrée, Triste réception et malheureuse entrée, Princesse infortunée ou s'adressent vos pas ?"")",0.24,Substitution
167,"('#clytemnestre', ""Qu'est-ce ? Écoutons, Seigneur, ne m'abandonnez pas."")","('#clytemnestre', ""Qu'est-ce Achille , écoutons ne m'abandonnez pas."")",0.0,Match
168,"('#oronte', ""Ce secret révélé me coûta-t-il la vie, Je serai trop heureux de vous avoir servie : Le Roi consent Madame, à l'Oracle inhumain Qui porte à votre fille un poignard dans le sein, Par la voix de Calcas Diane la demande."")","('#amyntas', ""Quant ce triste respect me coûterait la vie, Ce me fera beaucoup de vous avoir servie. Madame, Agamemnon veut de sa propre main Porter à votre fille un poignard dans le sein : Voilà l'heureux succès qu'aura votre voyage."")",0.0,Match
169,"('#clytemnestre', 'Dieux cruels !')","('#clytemnestre', ""Ô Dieux ! De la raison, as-tu perdu l'usage ?"")",1.75,Substitution
170,"('#achille', ""J'en frémis."")",,1.0,Insertion
171,"('#oronte', ""Au coup qu'il appréhende Le Roi pour s'emparer feignait de consentir, Et j'allais en Argos pour vous en avertir ; Lorsqu'au sortir du camp d'un effort téméraire Je me suis vu, Madame, arrêté par son frère, Qui ne m'eût point encor rendu la liberté, Sans un ordre absolu du monarque irrité. Sur l'amour du pays, sur celui de sa gloire Dans son coeur la nature emportait la victoire, Mais depuis que j'ai vu, que d'un esprit rusé Ulysse vous portant un écrit supposé, Vous avait obligée à ce triste voyage, Il a cru ne pouvoir résister davantage, Et que votre arrivée en ces funestes lieux Était moins le complot d'Ulysse que de Dieux : Il vient de voir Calcas, et croirait faire un crime S'il différait encor à livrer la victime,"")","('#amyntas', ""Oui pour votre regard, et son propre intérêt ; Mais Diane elle-même en a donné l'arrêt, Et chacun y souscrit comme à la seule voie, Qu'elle a marqué aux Grecs pour arriver à Troie. Ce triste sacrifice est l'hymen spécieux, Dont il vous a mandé qu'on traitait en ces lieux, Et vous serviez Seigneur d'instrument à sa perte, Puisque de votre nom l'embûche était couverte, Et que sous ce prétexte on tramait le dessein, Qui doit au lieu de vous mettre un fer en son sein."")",0.0,Match
172,"('#clytemnestre', ""Dieux ! Si de l'innocent vous prenez l'intérêt, Souffrirez vous ?"")","('#clytemnestre', 'Et je puis sans mourir ouïr cette nouvelle !')",1.33,Substitution
173,,"('#achille', ""Elle me touche autant qu'elle vous est cruelle."")",1.0,Deletion
174,"('#oronte', ""Diane en a donné l'arrêt, Calcas a prononcé que c'est la seule voie Qu'elle a marquée aux Grecs pour arriver à Troie, Ce triste sacrifice est l'hymen glorieux Qu'Ulysse vous a dit qu'on traitait en ces lieux ; Vous serviez Seigneur d'instrument à sa perte, Puisque de votre nom la trame était couverte."")","('#clytemnestre', ""Son père dans son sein porte le coup mortel, Sa mère de sa main la conduit à l'autel, Secrète loi du sang tendre instinct de nature, Que respecterez vous après cette aventure."")",1.08,Substitution
175,"('#achille', ""Quoi ! Ménélas, Ulysse, et même Agamemnon Pour faire un parricide ont employé mon nom ? Ulysse avec quel front, avec quel artifice M'as-tu parlé tantôt de ce noir sacrifice : Tyran de mon repos, sacrilège imposteur, Mes mains, mes propres mains t'arracheront le coeur. Madame, dans vos maux ma gloire s'intéresse, Je partage avec vous la douleur qui vous presse, Et je ferai bien voir peut-être avec éclat, Que je n'ai point de part à ce lâche attentat."")","('#achille', ""Il m'est très déplaisant de voir qu'Agamemnon, Voulant commettre un mal, le couvre de mon nom, Dans vos ressentiments mon honneur s'intéresse, Je partage avec vous la douleur qui vous presse : Et je vous prouverai peut être utilement, Que je n'eus point dessein d'en être l'instrument."")",0.0,Match
176,"('#clytemnestre', 'Seigneur !')","('#clytemnestre', 'Seigneur ?')",0.19,Substitution
177,"('#achille', 'Que faites-vous ?')","('#achille', 'Que faites-vous.')",0.1,Substitution
178,"('#clytemnestre', ""Une Reine affligée, Qui par Achille seul se peut voir protégée, D'un héros tel que lui dans son pressant malheur Ne saurait jamais trop honorer la valeur : Pour être plus sensible aux douleurs d'une mère, Songez, Seigneur, songez qu'une fille si chère Qu'on destine à la mort, et qu'on veut m'arracher. N'était venue ici que pour vous y chercher. Votre nom va servir de prétexte à sa perte, On vous imputerait si vous l'aviez soufferte, Et l'on dirait un jour, apprenant son trépas, Achille pour la perdre a plus fait que Calcas."")","('#clytemnestre', ""Le fils d'une Déesse, Peut souffrir que mortelle à ses pieds je m'abaisse, Je ne puis apporter trop de soumission, À m'obtenir sa grâce et sa protection, Pour m'être favorable et pour plaindre ma peine, Ne me regardez point en qualité de Reine : Je ne perds pas un Sceptre, et je ne voudrais pas, Pour son recouvrement employer votre bras : La perte d'un enfant nous est plus amère ; Considérez moi donc en qualité de mère, Et mère d'une fille à qui vous êtes cher, Qui ne se rend ici que pour vous y chercher, Dont l'ardeur d'être à vous est la première flamme, Et que l'on a mandée au nom de votre femme. Quoi que de cet hymen l'espoir lui soit ôté, Révérez toutefois le nom quelle a porté, Et soyez à ses jours un salutaire asile, Voudriez, vous qu'un bûcher lui fut le lit d'Achille, Et qu'où je la menais pour vous tendre les bras, Elle tendit le col au couteau de Calchas ? Pour le respect du sang où l'honneur vous convie, Par les flancs immortels dont vous tenez la vie, Par ces foudres vivants, ces bras toujours vainqueurs, Et par ce port si beau, l'objet de tant de coeurs, Conservez-moi ma fille et détournez sa perte, On vous l'imputerait si vous l'aviez soufferte ; Ce coup qui la tuerait viendrait de votre nom, Bien plus que de Calchas ou que d'Agamemnon,. Il serait dangereux d'être votre Maîtresse, Si l'on payait ainsi les voeux qu'on vous adresse : Et vous seriez au sexe un objet de mépris, Si du bien qu'il vous veut la mort était le prix."")",0.0,Match
179,"('#achille', ""Je sens que pour combattre une injustice extrême. Mon courage s'élève au dessus de lui-même ; Et plus j'ose y songer, moins je puis concevoir Que le Ciel soit l'auteur d'un attentat si noir. Madame, suspendez ces mortelles alarmes, Attendez ce qu'on peut attendre de mes armes, Ne croyez-pas qu'en paix je laisse Agamemnon Pour perdre Iphigénie abuser de mon nom. Non, de cet attentat le Roi perdra l'envie, Ou d'autres que sa fille y laisseront la vie, Je suis partout Achille, et je n'attendrai pas Que je sois devant Troie à signaler mon bras."")","('#achille', ""Je sens mon coeur s'enfler, et mon courage extrême, S'étendre et s'élever au delà de soi-même : Ce n'est pas que rebelle au joug d'un souverain, Je fasse vanité d'en secouer le frein : Mais je veux que ses lois comme ses moeurs soient bonnes, C'est par où se maintient le respect des couronnes, Où je pardonnerais à mes propres sujets, Les troubles excités, par mes mauvais projets ; Partout ou la raison réglera la puissance, On pourra s'assurer de mon obéissance : Où je verrai manquer cette condition, Là manquera mon zèle et ma soumission, La raison est le chef qui m'a conduit à Troie, Bien plus qu'Agamemnon c'est elle qui m'emploie, Et ce bras tout ardent et tout bouillant qu'il est, Est un foudre immobile ou la raison se tait, Arrêtez donc le cours de ce torrent de larmes, Et tout ce qui se peut attendre de mes armes, Dont on ne peut douter que je ne m'aide bien, Espérez-le, Madame, et n'en exceptez rien, Je suis le plus abject de tout ce que nous sommes, Le plus lâche des Grecs et le moindre des hommes, Si sans empêchement je laisse Agamemnon, Vous ourdir cette fraude, abuser de mon nom, Le crime qu'il propose est mien si je l'endure, Sans tenir le couteau je ferais la blessure : Et pour être appelé l'auteur de son trépas, N'importe qui la tue, ou mon nom ou mon bras : Par le sang de Thétis, par celui de Nerée, Par leur autorité des flots si révérée, Par le jour que je tiens d'une divinité, Par l'honneur que je dois à votre Majesté ; De ce meurtre le Roi rétractera l'envie, Et d'autres que sa fille y laisseront la vie, Partout je suis Achille et le fer s'il le faut, N'attendra pas à Troie à montrer ce qu'il vaut : Quiconque de ce bras voudra forcer l'asile, À sa honte apprendra quel est le bras d'Achille, Et ne publiera pas que de la main des Dieux, Le tonnerre lancé tombe plus furieux."")",0.0,Match
180,,"('#amyntas', ""Ô résolution digne d'un grand courage, Et qui sait reconnaître à quoi l'honneur l'engage."")",1.0,Deletion
181,"('#clytemnestre', ""Seul vous êtes l'espoir de toute ma famille, Et ce n'est qu'a vous seul que je devrai ma fille N'osant pas espérer de vous voir son époux Je publierai partout que je la tiens de vous."")","('#clytemnestre', ""C'est une vertu née avec les gens de bien, Qu'être des affligés, fragile et le soutien : Seul vous êtes l'espoir de toute ma famille, Plus qu'à mes propres flancs je vous devrai ma fille ; Et n'osant espérer de vous voir son époux, Je vous croirai son père et la tenir de vous. Viendra-t-elle à ses pieds implorer cette grâce, Faut-il qu'elle les baise, et qu'elle les embrasse : Nous ne saurions, Seigneur, avec trop de respect, Pour vous importuner paraître à votre aspect."")",0.0,Match
182,"('#achille', ""Non, Ulysse en ces lieux sous un feint hyménée Ne l'aura pas Madame au supplice amenée, Son stratagème est vain, il n'en jouira pas, Et je ferai mentir l'Oracle de Calcas. Le soin de mon amour, l'intérêt de ma gloire Arrêteront le coup d'une action si noire, Vous m'ayez honoré du nom de son époux, Et je conserverai ce que je tiens de vous. Heureux ! Si de mon sort la maîtresse et l'arbitre Souffre que mon amour ose prendre ce titre, Si je puis l'employant pour lui sauver le jour Montrer à l'Univers jusqu'où va mon amour. Non, non, elle ne peut tomber que par ma chute, Et pour elle il n'est rien qu'Achille n'exécute, Il faut."")","('#achille', ""Madame supportez la douleur qui vous presse, Sans démentir le rang ni le coeur de Princesse, Exiger ce devoir de la fille d'un Roi, Serait trop cher lui vendre un soin que je lui dois : Essayez ces moyens sur l'esprit de son père, Rendez lui ces respects, joignez-y la prière, Et si vous ne pouvez divertir son trépas, Croyez que mon secours ne vous manquera pas."")",0.0,Match
