,la-fontaine-daphne,quinault-alceste,Cost,Operation Type
220,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")","('#alceste #pheres #cephise', ""De tant d'amis qu'avait Admète,  Aucun ne vient le secourir ;  Quelque honneur qu'on promette,  On le laisse mourir. "")",1.31,Substitution
221,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#pheres', ""J'aime mon Fils, je l'ai fait Roi ;  Pour prolonger son sort, je mourrais sans effroi,  Si je pouvais offrir des jours dignes d'envie :  Je n'ai plus qu'un reste de vie,  Ce n'est rien pour Admète, et c'est beaucoup pour moi. "")",0.91,Substitution
222,,"('#cephise', ""Les honneurs les plus éclatants,  En vain dans le tombeau promettent de nous suivre,  La mort est affreuse en tout temps :  Mais peut-on renoncer à vivre,  Quand on n'a vécu que quinze ans ? "")",1.0,Deletion
223,"('#telamon', 'Changera-t-il son âme ?')","('#alceste', ""Chacun est satisfait des excuses qu'il donne :  Cependant on ne voit personne  Qui, pour sauver Admète, ose perdre le jour ;  Le Devoir, l'Amitié, le Sang, tout l'abandonne,  Il n'a plus d'espoir qu'en l'Amour. "")",1.67,Substitution
224,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')","('#pheres', ""Voyons encor mon Fils, allons, hâtons nos pas ;  Ses yeux vont se couvrir d'éternelles ténèbres. "")",1.57,Substitution
225,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.26,Substitution
226,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#pheres', 'Quels cris ! Quelles plaintes funèbres ! ')",1.43,Substitution
227,,"('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.0,Deletion
228,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')","('#pheres', 'Où vas-tu ? Cléante, demeure. ')",1.35,Substitution
229,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')","('#cleante', ""Hélas ! Hélas !  Le Roi touche à sa dernière heure,  Il s'affaiblit, il faut qu'il meure,  Et je vins pleurer son trépas.  Hélas ! Hélas ! "")",1.17,Substitution
230,"('#un-berger', ""L'ennemi commun est mort."")","('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.78,Substitution
231,,"('#pheres', 'On le plaint, tout le monde pleure,  Mais nos pleurs ne le sauvent pas. ')",1.0,Deletion
232,,"('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.0,Deletion
233,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",1.5,Substitution
234,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")","('#pheres #cleante', 'Quel changement ! Quel bruit nouveau ! ')",1.84,Substitution
235,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",0.57,Substitution
236,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")","('#pheres #cleante', ""L'effort d'une amitié parfaite  L'a sauvé du tombeau. "")",1.37,Substitution
237,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
238,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
239,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")",,1.0,Insertion
240,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#pheres', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",1.49,Substitution
241,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",,1.0,Insertion
242,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",1.3,Substitution
243,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#admete', ""Qu'une Pompe funèbre  Rende à jamais célèbre  Le généreux effort  Qui m'arrache à la mort.  Alceste n'aura plus d'alarmes,  Je reverrai ses yeux charmants  À qui j'ai coûté tant de larmes :  Que la vie a de charmes  Pour les heureux Amants !  Achevez, Dieux des Arts, faites-nous voir l'Image  Qui doit éterniser la grandeur de courage  De qui s'est immolé pour moi ;  Ne différez point davantage...  Ciel ! Ô Ciel ! Qu'est-ce que je vois !  L'Autel s'ouvre, et l'on voit sortir l'Image d'ALCESTE qui se perce le sein. "")",0.17,Substitution
244,,"('#cephise', 'Alceste est morte ! ')",1.0,Deletion
245,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
246,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
247,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#cephise', ""Alceste a satisfait les Parques en courroux ;  Votre tombeau s'ouvrait, elle y descend pour vous ;  Elle-même a voulu vous en fermer la porte ;  Alceste est morte ! "")",1.73,Substitution
248,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
249,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
250,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
251,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
252,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",,1.0,Insertion
253,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")","('#cephise', ""Sujets, Amis, Parents, vous abandonnaient tous ;  Sur les droits les plus forts, sur les noeuds les plus doux, L'Amour, le tendre Amour l'emporte :  Alceste est morte ! "")",1.48,Substitution
254,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
255,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#le-choeur', 'Alceste est morte !  ADMÈTE, tombe accablé de douleur entre les bras de sa suite.')",1.32,Substitution
256,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')",,1.0,Insertion
257,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",,1.0,Insertion
258,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#une-femme-affligee', ""La Mort, la Mort barbare  Détruit aujourd'hui mille appas.  Quelle Victime, hélas !  Fût jamais si belle, et si rare ?  La Mort, la Mort barbare  Détruit aujourd'hui mille appas. "")",1.32,Substitution
259,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
260,"('#aminte', 'Aurait-elle mieux répondu ?')",,1.0,Insertion
261,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#autre-femme', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus. "")",1.36,Substitution
262,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#choeur', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus. "")",1.78,Substitution
263,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#une-femme-affligee', 'Tant de beautés, tant de vertus,  Méritaient un sort moins funeste. ')",0.95,Substitution
264,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")","('#choeur', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus.  Un transport de douleur saisit les troupes affligées, et désolées ; une partie déchire ses habits ; l'autre s'arrache les cheveux, et chacun brise au pied de l'image d'Alceste les ornements qu'il porte à la main."")",1.83,Substitution
265,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#choeur', 'Rompons, brisons le triste reste  De ces ornement superflus.  Que nos pleurs, que nos cris renouvellent sans cesse :  Allons porter partout la douleur qui nous presse. ')",0.67,Substitution
266,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#admete', ""Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre !  Laissez-moi courir au trépas  Où ma chère Alceste se livre.  Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre !  C'est pour moi qu'elle meurt, Hélas !  Pourquoi m'empêcher de la suivre ?  Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre ! "")",1.5,Substitution
267,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
268,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
269,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")",,1.0,Insertion
270,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")","('#alcide', ""Tu me vois arrêté sur le point de partir,  Par les tristes clameurs qu'on entend retentir. "")",1.64,Substitution
271,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#admete', ""Alceste meurt pour moi par un amour extrême,  Je ne reverrai plus les yeux qui m'ont charmé :  Hélas ! J'ai perdu ce que j'aime,  Pour avoir été trop aimé."")",1.12,Substitution
272,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#alcide', ""J'aime Alceste, il est temps de ne m'en plus défendre :  Elle meurt, ton amour n'a plus rien à prétendre ;  Admète, cède-moi la beauté que tu perds :  Au Palais de Pluton j'entreprends de descendre :  J'irai jusqu'au fond des Enfers  Forcer la mort à me la rendre. "")",1.07,Substitution
273,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")",,1.0,Insertion
274,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#admete', ""Je verrais encor ses beaux yeux !  Allez Alcide, allez, revenez glorieux,  Obtenez qu'Alceste vous suive ;  Le Fils du plus puissant des Dieux  Est plus digne que moi du bien dont on me prive.  Allez, allez, ne tardez pas,  Arrachez Alceste au trépas ;  Et ramenez au jour son Ombre fugitive ;  Qu'elle vive pour vous avec tous ses appas,  Admète est trop heureux, pourvu qu'Alceste vive. "")",0.25,Substitution
275,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#ensemble', 'Allez, allez, ne tardez pas,  Arrachez Alceste au trépas ; ')",1.34,Substitution
276,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")","('#diane', ""Le Dieu dont tu tiens la naissance  Oblige tous les Dieux d'être d'intelligence ;  En faveur d'un dessein si beau,  Je viens t'offrir mon assistance ;  Et Mercure s'avance  Pour t'ouvrir aux Enfers, un passage nouveau.  Mercure vient en volant frapper la terre de son Caducée, l'Enfer s'ouvre, et Alcide y descend."")",0.95,Substitution
277,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#caron', ""Il faut passer tôt ou tard,  Il faut passer dans ma Barque.  On y vient jeune, ou vieillard,  Ainsi qu'il plaît à la Parque :  On y reçoit sans égard,  Le Berger, et le Monarque.  Il faut passer tôt ou tard,  Il faut passer dans ma Barque.  Vous qui voulez passer, venez, Mânes errants,  Venez, avancez, tristes Ombres,  Payer le tribut que je prends,  Ou retournez errer sur ces Rivages sombres. "")",0.71,Substitution
278,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#les-ombres', 'Passe-moi, Caron, passe-moi. ')",1.83,Substitution
279,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#caron', ""Il faut auparavant que l'on me satisfasse,  On doit payer les soins d'un si pénible emploi. "")",1.21,Substitution
280,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")","('#les-ombres', 'Passe-moi, Caron, passe-moi.  CARON fait entrer dans sa Barque les Ombres qui ont de quoi le payer.')",1.58,Substitution
281,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#caron', ""Donne, passe ; donne, passe ;  Demeure toi,  Tu n'as rien, il faut qu'on te chasse. "")",1.28,Substitution
282,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#une-ombre', 'Une Ombre tient si peu de place. ')",1.43,Substitution
283,,"('#caron', 'Ou paye, ou tourne ailleurs tes pas. ')",1.0,Deletion
284,,"('#l-ombre', 'De grâce, par pitié, ne me rebute pas. ')",1.0,Deletion
285,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#caron', ""La pitié n'est point ici-bas,  Et Caron ne fait point de grâce. "")",1.71,Substitution
286,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')","('#l-ombre', 'Hélas ! Caron, hélas ! Hélas ! ')",1.59,Substitution
287,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#caron', ""Crie, hélas ! Tant que tu voudras,  Rien pour rien, en tous lieux, est une loi suivie :  Les mains vides sont sans appas ;  Et ce n'est point assez de payer dans la vie :  Il faut encor payer au-delà du trépas. "")",1.38,Substitution
288,,"('#l-ombre', 'Hélas ! Caron, hélas ! Hélas ! ')",1.0,Deletion
289,"('#daphne', 'Il le faut.')","('#caron', ""Il importe peu que l'on crie :  Hélas ! Caron, hélas ! Hélas !  Il faut encor payer au-delà du trépas. "")",1.59,Substitution
290,,"('#alcide', ""Sortez, Ombres, faites-moi place,  Vous passerez une autre fois.  Les Ombres s'enfuient."")",1.0,Deletion
291,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#caron', 'Ah ! Ma Barque ne peut offrir un si grand poids ! ')",1.12,Substitution
292,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#alcide', ""Allons, il faut que l'on me passe. "")",1.5,Substitution
293,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#caron', ""Retire-toi d'ici, Mortel, qui que tu sois,  Les Enfers irrités puniront ton audace. "")",0.88,Substitution
294,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")","('#alcide', 'Passe-moi sans tant de façons. ')",1.44,Substitution
295,,"('#caron', ""L'eau nous gagne, ma Barque crève. "")",1.0,Deletion
296,"('#leucippe', 'Achevez.')","('#alcide', 'Allons, rame, dépêche, achève. ')",0.88,Substitution
297,,"('#caron', 'Nous enfonçons. ')",1.0,Deletion
298,,"('#alcide', 'Passons, passons. ')",1.0,Deletion
299,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#pluton', ""Reçois le juste prix de ton amour fidèle ;  Que ton dessein nouveau soit heureux à jamais :  Commence de goûter la douceur éternelle  D'une profonde paix. "")",1.02,Substitution
300,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#suivants-de-pluton', ""Commence de goûter la douceur éternelle  D'une profonde paix. "")",0.63,Substitution
301,"('#daphne-', ""Ne m'aimez plus."")","('#proserpine', ""L'épouse de Pluton te retient auprès d'elle :  Tous tes voeux seront satisfaits. "")",1.36,Substitution
302,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')",,1.0,Insertion
303,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#suivants-de-pluton', ""Commence de goûter la douceur éternelle  D'une profonde paix. "")",0.8,Substitution
304,,"('#pluton #proserpine', ""En faveur d'une Ombre si belle,  Que l'Enfer fasse voir tout ce qu'il a d'attraits.  Les suivants de PLUTON répètent les deux derniers vers, et se réjouissent de la venue d'ALCESTE dans les Enfers, par une espèce de Fête."")",1.0,Deletion
305,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#suivants-de-pluton', ""En faveur d'une Ombre si belle,  Que l'Enfer fasse voir tout ce qu'il a d'attraits.  Tout Mortel doit ici paraître,  On ne peut naître  Que pour mourir :  De cent maux le Trépas délivre ;  Qui cherche à vivre  Cherche à souffrir.  Venez tous sur nos sombres bords,  Le repos qu'on désire  Ne tient son Empire  Que dans le Séjour des morts.  On danse."")",0.29,Substitution
306,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')","('#choeur', ""Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  C'est pour tous une loi nécessaire ;  L'effort qu'on peut faire  N'est qu'un vain effort :  Est-on sage  De fuir ce passage ?  C'est un orage  Qui mène au Port.  Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  Tous les charmes,  Plaintes, cris, larmes,  Tout est sans armes  Contre la mort.  Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  On danse."")",0.48,Substitution
307,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")","('#alecton', ""Quittez, quittez les Jeux, songez à vous défendre,  Contre un Audacieux unissons nos efforts :  Le Fils de Jupiter vient ici de descendre  Seul, il ose attaquer tout l'Empire des morts. "")",1.13,Substitution
308,,"('#pluton', ""Qu'on arrête ce Téméraire,  Armez-vous, Amis, armez-vous,  Qu'on déchaîne Cerbère,  Courez tous, courez tous.  On entend aboyer CERBERE."")",1.0,Deletion
309,,"('#alecton', ""Son bras abat tout ce qu'il frappe,  Tout cède à ses horribles coups,  Rien ne résiste, rien n'échappe. "")",1.0,Deletion
310,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#pluton', ""Insolent, jusqu'ici braves-tu mon courroux ?  Quelle injuste audace t'engage  À troubler la paix de ces lieux? "")",0.38,Substitution
311,,"('#alcide', 'Je suis né pour dompter la rage  Des Monstres les plus furieux. ')",1.0,Deletion
312,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#pluton', ""Est-ce le Dieu jaloux qui lance lez tonnerre,  Qui t'oblige à porter la guerre  Jusqu'au centre de l'Univers ?  Il tient sous son pouvoir et le Ciel et la Terre,  Veut-il encor ravir l'Empire des Enfers ? "")",0.53,Substitution
313,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#alcide', ""Non, Pluton, règne en paix, jouis de ton partage ;  Je viens chercher Alceste en cet affreux séjour,  Permets que je la rende au jour,  Je ne veux point d'autre avantage :  Si c'est te faire outrage  D'entrer par force dans ta Cour,  Pardonne à mon courage  Et fais grâce à l'amour. "")",0.23,Substitution
314,,"('#proserpine', ""Un grand coeur peut tout quand il aime,  Tout doit céder à son effort.  C'est un Arrêt du Sort,  Il faut que l'amour extrême  Soit plus fort  Que la mort."")",1.0,Deletion
315,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#pluton', ""Les Enfers, Pluton lui-même,  Tout doit en être d'accord ;  Il faut que l'amour extrême  Soit plus fort  Que la mort."")",0.28,Substitution
316,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')","('#suivants-de-pluton', ""Il faut que l'amour extrême  Soit plus fort  Que la mort."")",1.67,Substitution
317,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#pluton', ""Que pour revoir le jour, l'Ombre d'Alceste sorte.  Prenez place tous deux au Char dont je me sers :  Qu'au gré de vos voeux, il vous porte ;  Partez, les chemins sont ouverts ;  Qu'une volante Escorte  Vous conduise au travers  Des noires vapeurs des Enfers.  PLUTON donne un coup de son Trident et fait sortir son Char. Alcide et l'Ombre d'Alceste se placent sur le char de Pluton qui les enlève sous la conduite d'une troupe volante de suivants de Pluton."")",1.27,Substitution
318,,"('#admete', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas :  Il ramène Alceste vivante ;  Que chacun chante :  Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas : "")",1.0,Deletion
319,,"('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.0,Deletion
320,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#admete', ""Quelle douleur secrète  Rend mon âme inquiète,  Et trouble mon amour ?  Alceste voit encor le jour,  Mais c'est pour un autre qu'Admète. "")",0.29,Substitution
321,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.36,Substitution
322,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#admete', ""Ah ! Du moins cachons ma tristesse ;  Alceste dans ces lieux ramène les plaisirs.  Je dois rougir de ma faiblesse ;  Quelle honte à mon coeur, de mêler des soupirs  Avec tant de cris d'allégresse ! "")",0.46,Substitution
323,,"('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.0,Deletion
324,,"('#admete', 'Par une ardeur impatiente  Courons, et devançons ses pas.  Il ramène Alceste vivante ;  Que chacun chante : ')",1.0,Deletion
325,,"('#tous', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.0,Deletion
326,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")","('#straton', ""Ne m'ôteras-tu point la chaîne qui m'accable,  Dans ce séjour destiné pour tant d'aimables jeux ?  Ah ! Qu'il est rigoureux  D'être seul misérable,  Quand on voit tout le monde heureux ! "")",0.73,Substitution
