,chabanon-toison-d-or,rousseaujb-jason,Cost,Operation Type
172,"('#aetes', 'Calme tes sens troublés.')","('#hypsipile', ""Qu'entends-je, malheureuse !"")",1.71,Substitution
173,"('#medee', 'Fuyons de cette Cour ; Quittons cet horrible séjour :  Aux yeux de vos sujets gardez vous de paraître ; Ils frémiraient de voir la honte de leur maître.')","('#medee', ""Hé quoi pouviez-vous croire Que son orgueil ambitieux Le pourrait emporter sur Médée et les Dieux ? Séduit par les appas d'un fol espoir de gloire, Il a voulu braver la mort ; Voyez le sang couler étendu sur ce bord. Elle fait paraître l'image de Jason étendu mort."")",0.78,Substitution
174,"('#aetes', ""Qu'entends-je ? Quel discours !... Mais le ciel s'obscurcit, La terre sous mes pas, et s'ébranle, et mugit. Le tonnerre gronde."")","('#hypsipile', 'Dieux ! Quelle sanglante victime ! Ciel ! Ô ciel quelle cruauté')",1.11,Substitution
175,,"('#medee', 'Votre douleur est légitime, Il vous aimait avec fidélité.')",1.0,Deletion
176,"('#medee', ""Craignez-vous d'expliquer ce terrible présage ? Mon silence, mes cris, ma douleur, et ma rage, Et le ciel, et l'enfer tout parle, tout vous dit Que votre fille vous trahit : Du salut de l'empire, elle a livré le gage."")","('#hypsipile', ""C'en est donc fait je perds tout l'espoir qui me reste, Dieux cruels, Dieux jaloux, vous êtes satisfaits ! Ô pressentiment trop funeste ! Tu m'avais annoncé la perte que je fais. Mais je puis m'affranchir d'un si cruel supplice, Et ce fer va finir ma vie et mes douleurs. Reçois ce sanglant sacrifice, Chère ombre, cher amant c'est pour toi que je meurs. Elle se tue."")",0.15,Substitution
177,"('#aetes', 'Toi ! Ma fille. Le tonnerre continue.')","('#medee', ""Meurs, objet odieux, satisfais mon envie. Le coup précipité qui t'arrache à la vie Ne fait qu'épargner à mon bras Le soin d'achever ton trépas. C'en est fait ; mon amour n'a plus rien qui le gêne, Suivons-en désormais les tendres mouvements ; Déjà, par mes enchantements, J'ai calmé la rage inhumaine. Des farouches taureaux qui défendent ces lieux Achevons et rendons Jason victorieux, Que ce rare bienfait dans mes noeuds le ramène : Que dis-je ? Malheureuse et quel est mon espoir ? Ciel ! Puis-je ainsi trahir la loi de mon devoir ? Dans le fond de mon coeur je l'entends qui murmure ? Qu'un reste de vertu nous coûte de remords ! Cessez, cruels combats, inutiles efforts, C'est trop renouveler le tourment que j'endure. Les droits de l'amour sont plus forts Que tous les droits de la nature."")",1.01,Substitution
178,"('#medee', 'Fuyons, les moments nous sont chers ; Cherchons les plus lointains déserts.')",,1.0,Insertion
179,"('#aetes', ""Où veux-tu m'entraîner, effroyable furie ?"")","('#le-roi', 'Savez-vous la rigueur des destins en courroux? Les Grecs sont triomphants.')",1.17,Substitution
180,,"('#medee', 'Seigneur, que dites-vous?')",1.0,Deletion
181,"('#medee', ""Oui, mon crime est affreux ; mais mon remord l'expie. Les statues tombent et se brisent; les tombeaux s'ouvrent, il tombe une pluie de feu. "")","('#le-roi', ""Déjà les fiers taureaux, qui de cette carrière Défendaient l'affreuse barrière, Ont succombé sous l'effort de leurs coups. Après un si grand avantage Que ne pourra point leur courage ? Ah ! S'il faut que le sort soit propice à leurs voeux, Que deviendrai-je, hélas ! Monarque malheureux?"")",0.58,Substitution
182,"('#aetes', ""Contemple tous les maux qu'a causés ta fureur : Ces marbres sont brisés, ces tombes se renversent ; Des Princes, tes aïeux, les cendres se dispersent ; La nature en désordre, accuse tes forfaits : Tu veux ma mort, je la désire ; J'ensevelis ma honte et mes regrets,  Sous les débris de mon empire. Il se frappe."")","('#medee', ""Par ce noir et fatal présage Pourquoi troubler votre repos? Si dans l'empire de Colchos Du pouvoir souverain la Toison est le gage ; Le trône de Scythie, acquis par vos exploits, N'est point sujet à ces injustes lois. Mais de vos ennemis je préviendrai l'audace. Ils paraissent bientôt la terre va s'ouvrir; Mille soldats armés à leurs yeux vont s'offrir. Ne vous exposez point au coup qui les menace. Allez, et bannissant un inutile effroi, De nos destins communs reposez-vous sur moi."")",0.07,Substitution
183,"('#medee', 'Ciel !')",,1.0,Insertion
184,"('#choeur', 'Jason, des enfers, est demeuré vainqueur.')","('#jason #orphee', 'Cherchons dans les combats Une illustre mémoire. Le chemin du trépas Est celui de la gloire.')",0.69,Substitution
185,"('#medee', 'Mon père !')",,1.0,Insertion
186,"('#choeur', 'Célébrons ce héros magnanime.')","('#jason', ""Invincibles guerriers, venez, suivez mes pas. Hâtons-nous d'achever cette grande victoire."")",0.94,Substitution
187,"('#medee', 'Ces chants révoltent ma douleur. Hélas ! Leur triomphe est mon crime.')","('#le-choeur', 'Cherchons dans les combats Une illustre mémoire, Le chemin du trépas Est celui de la gloire.')",0.63,Substitution
188,"('#choeur', ""Jason, tranquille et désarmé, Vers un objet aimé, Que l'Amour te serve de guide."")",,1.0,Insertion
189,"('#medee', ""Je te suis, mon père, et descends Par les chemins sanglants, Que t'ouvrit mon bras parricide. Elle saisit le poignard de son père, pour s'en frapper."")","('#medee', ""Arrêtez, c'est à moi de finir cette guerre, De vos combats sanglants voici l'illustre prix ; Rentrez, fiers enfants de la terre, Dans le gouffre profond d'où vous êtes sortis. Les combattants sont engloutis dans la terre."")",0.64,Substitution
190,"('#jason', 'Que fais-tu ? Jusques-là pourrais-tu me haïr ?')","('#jason', 'De votre colère fatale Venez-vous contre moi renouveler les traits ?')",0.87,Substitution
191,"('#medee', ""D'un forfait odieux, laisse-moi me punir. Le poignard lui échappe ; elle tombe évanouie."")","('#medee', ""Cesse d'en redouter les funestes effets, Elle meurt avec ma rivale ; Son trépas comble mes souhaits Et te punit assez des maux que tu m'as faits."")",0.48,Substitution
192,,"('#jason', 'Juste ciel !')",1.0,Deletion
193,"('#venus', ""Jason, à ton bonheur ma puissance préside ; Que ton vaisseau s'apprête à voguer sur les flots ; Bientôt j'y conduirai ton amante chérie : Qu'elle fuie avec toi, compagne d'un héros Qui doit lui tenir lieu de père et de patrie. Puisse-t-elle, pour ton repos, Être aussi chère à ta tendresse, Dans les champs fortunés de la riante Grèce, Qu'au milieu des rochers de l'aride Colchos. Un nuage couvre Médée et l'enlève dans les airs, Vénus l'accompagne ; Jason sort, en disant :"")","('#medee', ""De mon coeur je ne suis plus maîtresse: La nature cède à l'amour. Je t'offre la Toison, et, je vais dans la Grèce, Par ce gage éclatant racheter ton retour. Elle s'envole."")",0.0,Match
194,"('#jason', ""J'obéis à ta voix, et vole au sein de l'onde."")","('#jason', ""Ne crois pas m'échapper, cruelle Il faut que de ta mort ce gage soit le prix, Et que mon bras plongé dans ton sang infidèle, Apaise les funestes cris De celui qu'a versé ta rage criminelle. Mais quel trouble soudain s'empare de mes sens ? Mes yeux sont obscurcis par d'affreuses ténèbres, Où suis-je ? Quels objets funèbres ! Ô ciel ! Quels lugubres accents ! Quelle ombre !... Ah ! Charmante princesse, Je vous revois ? Dieux, quel bonheur ! Jason se trouble, et croit être descendu aux Enfers."")",1.17,Substitution
195,,"('#orphee', 'Jason, connaissez votre erreur, Embarquons-nous, venez, le temps nous presse.')",1.0,Deletion
196,,"('#jason', ""Ciel ! Quel nuage épais la dérobe à mes yeux ? Peuples cruels de ces royaumes sombres, Impitoyables ombres, Pourquoi m'arrachez-vous un bien si précieux ?"")",1.0,Deletion
197,,"('#orphee', 'Étouffez une vaine flamme Partons, éloignons-nous de ces funestes bords.')",1.0,Deletion
198,"('#choeur', ""Volons au sein de l'onde, Et remplissons le monde Du bruit de nos exploits ; Que l'univers apprenne, Qu'aux ordres de l'Amour, à sa voix souveraine, Le Phase a vu tomber le trône de ses Rois."")","('#jason', ""Un calme heureux succède à mes transports, La raison revient dans mon âme ; Je reconnais enfin ce barbare séjour, Ces lieux où j'ai perdu l'objet de mon amour. Ne tardons plus, cédons à la fureur extrême Que m'inspire un juste transport, Partons et que bientôt ma mort Succède à la douceur de venger ce que j'aime."")",0.29,Substitution
