,regnard-coquette,regnard-filles-errantes,Cost,Operation Type
221,"('#colombine', ""De pareils efforts d'esprit sont bons pour la province ; mais à Paris on aime à parler terre à terre."")",,1.0,Insertion
222,"('#arlequin', ""Bon !  A-t-on de l'esprit à Paris ?  Sitôt qu'il y a un fat dans un pays, on l'y envoie ; c'est le rendez-vous de tous les sots de la France ; et, de tous les Parisiens, je ne vois que les Normands et les Manceaux qui aient un peu de brillant. "")","('#isabelle', ""Il faut se tirer d'affaire. Et qu'ai-je donc fait pour faire tant de bruit ?  Ce beau monsieur-là est bien plaisant d'amener des filles dans notre hôtellerie pour le servir, et emporter tous nos profits ! Haut."")",0.68,Substitution
223,,"('#arlequin', ""Comment donc !  Est-ce qu'il y a un peu de gravelure à son fait ?"")",1.0,Deletion
224,"('#colombine', ""À vous entendre parler, vous ne paraissez pas content des cavaliers de ce pays-ci ; et les dames, qu'en dites-vous ? "")",,1.0,Insertion
225,"('#arlequin', ""La la ; elles sont d'assez bonne amitié : j'en ai trouvé quelques unes de jolies en mon chemin ; mais, tout franc, je n'en ai point encore vu une de votre calibre. "")","('#isabelle', ""Il dit que c'est sa soeur.  Hé !  Oui, voilà encore une belle parenté !  Il ne passe point de monsieur dans l'hôtellerie dont je ne puisse bien être de même la soeur, si je voulais m'en donner la peine.  Oh bien, monsieur, je ne veux point souffrir qu'une autre prenne ma place."")",0.31,Substitution
226,"('#colombine', ""Il faut pourtant tomber d'accord qu'elles ont un tour d'esprit et des manières de se mettre que les femmes de province n'ont pas. "")",,1.0,Insertion
227,"('#arlequin', ""Oui-da, oui-da, je trouve qu'elles se coiffent raisonnablement haut, et je crois que leurs maris ne sont guère coiffés plus bas, "")",,1.0,Insertion
228,"('#colombine', ""Où passe-t-on le temps avec plus d'économie ?  Aujourd'hui à l'Opéra, demain à la Comédie, un autre jour au bal ; on entrelace cela de parties de jeu et de promenades.  Vous voyez bien qu'il n'y a point de lieu où une femme soit si façonnière. "")","('#arlequin', ""Claudine a raison, monsieur, cela ne se fait point : quand il y a une servante dans une hôtellerie, on ne doit se servir que d'elle ; et d'ailleurs Claudine est très habile in utroque, c'est-à-dire qu'elle fait aussi bien une chambre qu'un ragoût."")",0.91,Substitution
229,"('#arlequin', 'Pour moi, je trouve cela le plus joli du monde ; mais que disent les maris à Paris ? ')",,1.0,Insertion
230,"('#colombine', ""Les maris disent ce qu'ils veulent, et les femmes font ce qui leur plaît ; c'est la mode du pays. "")",,1.0,Insertion
231,"('#arlequin', ""Les femmes feront durer cette mode-là le plus qu'elles pourront.  Et, s'il vous plaît, quand une femme revient du bal à cinq heures du matin avec un cavalier, qu'elle éveille toute la maison, que disent les maris à Paris ? "")",,1.0,Insertion
232,"('#colombine', 'Ils ne disent rien ; dès que la femme est rentrée, ils se rendorment. ')",,1.0,Insertion
233,"('#arlequin', ""Un homme qui a le sommeil si bien en main n'a pas besoin d'être bercé.  Mais, je vous prie, lorsqu'une femme vend ses pierreries pour faire l'équipage de quelque galant homme qui va à l'armée, que disent les maris à Paris ? "")","('#cinthio', ""Je conviens, monsieur, qu'elle sait parfaitement bien son métier de fille ; mais c'est une petite imprudente, qui sert au premier venu ce qu'elle ne devrait servir qu'à moi seul.  N'ai-je pas lieu de me plaindre ?"")",0.67,Substitution
234,"('#colombine', 'Oh !  Les Parisiens sont trop bons serviteurs du Roi pour trouver cela mauvais. ')",,1.0,Insertion
235,"('#arlequin', ""Je ne m'en dédis point, voila de bonnes gens que ces Parisiens-là.  Vaille que vaille, puisque j'ai fait les frais du voyage, je vous épouserai ; mais à condition que, dès le lendemain de la noce, vous vous mettrez dans la carriole du Mans pour venir régenter les chapons de ma basse-cour : l'air de Paris donne trop de maux de tête. "")","('#arlequin', ""Assurément, elle a tort.  Je vous dirai cependant, monsieur, qu'on est ici fort exact à donner aux compagnies ce qu'elles demandent.  Tout à l'heure encore, je n'ai pas voulu donner au coche un chat de garenne que le messager avait retenu.  D'où vient donc, coquine, que vous faites de ces impertinences-là ?"")",0.61,Substitution
236,"('#colombine', ""Quelque loi que vous m'imposiez, elle me paraîtra toujours douce, pourvu que je sois sûre de passer avec vous le reste de mes jours : vous me tenez lieu de tout ; et du moment que je vous ai vu, j'ai senti pour vous...  Ah !  Ne m'obligez pas de m'expliquer ; j'en dirais peut-être plus que je ne veux. "")","('#isabelle', ""Moi, servir à un autre ce que je vous ai promis ?  Dites monsieur, que vous n'avez pas voulu vous contenter de ce que vous aviez choisi vous-même, et que l'appétit vous est venu en mangeant."")",0.71,Substitution
237,"('#arlequin', ""Les filles de ce pays-ci sont faites avec des étoupes ; il ne faut qu'une étincelle... "")",,1.0,Insertion
238,"('#colombine', ""J'ai une grâce à vous demander : les filles, comme vous savez, ont beaucoup d'ambition sur le fait du mariage ; j'ai eu toute ma vie une noble horreur pour les baillis du Maine ; ne pourriez-vous point changer de charge, et vous faire homme de qualité ? "")","('#arlequin', ""Pardi, monsieur, si vous êtes si fantasque, il n'y a pas moyen de vous contenter."")",1.31,Substitution
239,"('#arlequin', ""Très volontiers ; rien n'est plus aisé : aussi bien je suis en pourparler avec un marquis de nos cantons qui s'en va à l'armée ; et, comme il a besoin d'argent, il veut me vendre sa charge de marquis avec sa pratique. "")","('#isabelle', ""Voyez, je vous prie, si ce n'est pas assez pour le repas d'un homme seul je lui présente une jeune poularde, tendre, grasse jusqu'au bout des ongles, comme moi ; monsieur n'est pas content ; il en veut encore une autre."")",1.08,Substitution
240,"('#colombine', ""Oh, monsieur !  Que cela me fera de plaisir !  Mais, en achetant une charge de marquis, n'oubliez pas, s'il vous plaît, de vous faire donner les airs déhanchés de ces messieurs-là. "")","('#arlequin', ""Diable !  Monsieur, comme vous y allez !  Il ne faudrait encore qu'un homme comme vous pour mettre toute une rôtisserie à feu et à sang."")",1.14,Substitution
241,"('#arlequin', ""Oh !  Je n'en ai que faire : quand on a été toute sa vie élevé dans le Bas-Maine, les airs de cour ne sont que trop familiers.  Adieu, ma belle enfant ; touchez là : dans une heure au plus tard je vous fais marquise ou baillivesse ; vous choisirez."")","('#cinthio', ""Hé !  Ne la croyez pas.  Je me serais fort bien contenté de la poularde ; je ne suis pas si grand mangeur : mais je sais qu'on la présente à tout venant ; on l'a déjà servie sur vingt tables différentes, et je ne suis pas homme à m'accommoder du reste de toute la terre."")",0.86,Substitution
242,"('#colombine', ""La sotte pécore qu'un homme qui a le mariage en tête !  Une fille un peu savante sur l'article le manie comme un chamois.  Voyez, je vous prie, cet idiot de bailli qui va se faire marquis.  Pour m'essayer, le premier marquis qui me tombera sous la patte, j'en ferai un procureur fiscal. Scènes italiennes. "")","('#arlequin', ""Ah !  Parbleu, monsieur, prenez garde s'il vous plaît à ce que vous dites ; je ne m'entends point à ce tripotage-là, et l'on ne sert chez moi que des viandes neuves.  Parlez, a-t-on jamais vu manger ici la même poularde deux fois ?"")",1.43,Substitution
243,"('#trafiquet', ""Je vous prie, mademoiselle ma fille, de ne point m'échauffer les oreilles ; je sais ce qu'il vous faut, et c'est à vous d'obéir quand je vous ai choisi un mari, entendez-vous ? "")","('#isabelle', ""Bon !  Ne voyez-vous pas bien que monsieur ne sait ce qu'il dit ?  Jamais personne n'y avait touché ; c'était une volaille délicate que j'avais pris soin d'élever, et que je nourrissais à la brochette avec autant de plaisir que si c'eût été moi-même ; elle faisait envie de manger à tous ceux qui la voyaient, et cependant je ne la gardais qu'à monsieur.  Allez, cela est bien vilain de reconnaître si mal les soins que l'on prend pour vous."")",0.34,Substitution
244,"('#colombine', ""Comme je suis une partie des plus intéressées dans l'affaire, je crois, mon père, que mon choix est du moins aussi nécessaire que le vôtre ; et je vous dirai franchement que cet homme-là n'est point fait pour moi. "")","('#arlequin', ""C'est peut-être que vous n'aimez pas la viande bardée ; une autre fois on vous la fera larder."")",1.75,Substitution
245,"('#trafiquet', ""N'est point fait pour vous !  J'en suis d'avis ; il faut vous l'essayer.  Mais voyez, je vous prie, comme cela fait la raisonneuse !"")","('#cinthio', ""Bardé, lardé, cela m'est indifférent : quand les choses sont bonnes, je les trouve telles ; je ne m'y laisse point attraper."")",0.61,Substitution
246,"('#colombine', ""Je vous dis encore une fois, mon père, laissez-moi mener cette affaire-là.  Vous êtes plus vieux que moi, j'en conviens ; mais je me connais mieux en maris que vous. "")",,1.0,Insertion
247,"('#trafiquet', ""Et que trouvez-vous, s'il vous plaît, à redire au mari que je vous propose ? "")","('#isabelle', 'Il faudrait, pour satisfaire le goût de monsieur, lui servir quelque vieille volaille racornie, quelque doyenne de basse-cour.  Oh !  Ce serait là le moyen de gagner ses bonnes grâces.')",0.96,Substitution
248,"('#colombine', ""Bon !  C'est un homme qui se présente de front au mariage, et ne sait pas ce que c'est qu'un préliminaire d'amour. "")",,1.0,Insertion
249,"('#trafiquet', ""Hé !  De par tous les diables !  Comment veux-tu donc qu'il se présente ?  Tant mieux, s'il entre tout de suite en matière ; en fait de mariage, je n'aime point à voir préluder. "")",,1.0,Insertion
250,"('#colombine', 'Quoi !  Mon père, vous voudriez... ')","('#arlequin', 'Oh !  Parbleu, monsieur, si vous aimez la viande coriace, nous vous en donnerons tout votre soûl.')",1.43,Substitution
251,"('#trafiquet', 'Oui, je le veux. ')",,1.0,Insertion
252,"('#colombine', ""Vous prétendez qu'un homme que je n'ai jamais vu... "")","('#cinthio', 'Eh, monsieur !')",0.88,Substitution
253,"('#trafiquet', 'Oui, je le prétends. ')",,1.0,Insertion
254,"('#colombine', ""J'ai trop de raison pour... "")",,1.0,Insertion
255,"('#trafiquet', ""Si tu as de la raison tu dois m'obéir, et prendre le parti qui se présente."")","('#arlequin', ""J'ai une oie qui me sert depuis trois mois à faire mes soupes ; vous en aurez la fleur.  Il n'y a point encore eu de postillon assez hardi pour mettre la dent dessus."")",1.63,Substitution
256,"('#colombine', 'Le parti qui se présente ? ')",,1.0,Insertion
257,"('#trafiquet', 'Oui, le parti qui se présente. ')",,1.0,Insertion
258,"('#colombine', 'Assurément ? ')","('#isabelle', ""Voilà justement l'affaire de monsieur."")",1.46,Substitution
259,"('#trafiquet', ""Oui, s'il vous plaît ; il ne faut point tant faire de gestes et de grimaces : est-ce qu'il lui manque quelque chose ? "")","('#arlequin', ""Allons, taisez-vous ; que je ne vous entende pas souffler ; rentrez là-dedans.  Je vois bien que monsieur ne se connaît pas mieux en servantes qu'en poulardes : on vous mettra une aile de boeuf sur le gril. Scènes italiennes."")",1.32,Substitution
260,"('#colombine', 'Je ne dis pas cela. ')",,1.0,Insertion
261,"('#trafiquet', 'Est-il tortu ou bossu ? ')",,1.0,Insertion
262,"('#colombine', 'Je trouve sa taille dégagée et engageante. ')",,1.0,Insertion
263,"('#trafiquet', ""Est-ce qu'il n'a point d'esprit ?  Va, va, ce n'est pas le plus nécessaire en ménage. "")",,1.0,Insertion
264,"('#colombine', 'Son esprit me charme, et je connais peu de gens qui en aient plus que lui. ')",,1.0,Insertion
265,"('#trafiquet', ""Et pourquoi donc n'en veux-tu point ? "")",,1.0,Insertion
266,"('#colombine', ""Moi, je n'en veux pas !  Il faudrait, mon père, que je fusse bien aveugle ou bien insensible pour, refuser un tel parti. "")","('#colombine', ""Rien n'est plus vrai que ce que je vous dis.  Ce gentilhomme, appelé Cinthio, qui vous aimait, qui vous jurait un amour éternel, m'en a dit tout autant ; et sans la connaissance que vous me donnez de son infidélité, je ne sais si dans la suite il ne m'aurait pas un peu écorné le coeur."")",0.82,Substitution
267,"('#trafiquet', ""Oh !  Que ne parles-tu donc ?  J'allais me mettre en colère.  Voyez, je vous prie, quand on ne s'entend pas.  Viens, ma fille, que je t'embrasse. "")",,1.0,Insertion
268,"('#colombine', 'Que cet embrassement me fait de plaisir ! Colombine, en embrassant Trafiquet, donne sa main à baiser à Octave.')",,1.0,Insertion
269,"('#trafiquet', ""Tu réponds dignement aux soins que j'ai pris de ton éducation. "")",,1.0,Insertion
270,"('#colombine', ""J'aimerais mieux mourir, mon père, que de vous désobliger. "")",,1.0,Insertion
271,"('#trafiquet', 'Tu me promets donc de ne plus songer à cet étourdi ? ')",,1.0,Insertion
272,"('#colombine', ""Je ne le verrai de ma vie ; c'est un homme que je ne puis souffrir. "")","('#isabelle', ""Est-il possible, mademoiselle, que tant d'amour soit suivi de tant de perfidie ?  Non, je ne croirai jamais que les hommes soient infidèles jusqu'à ce point-là."")",0.67,Substitution
273,"('#trafiquet', ""Et moi, pour reconnaître ton obéissance, je te promets d'augmenter ton trousseau de six chemises, et d'aller te voir toutes les fêtes et dimanches quand tu seras au Maine. "")","('#colombine', ""Les hommes !  C'est bien la plus maudite engeance !...  Je ne sais qu'un secret pour n'en être point trompée ; c'est de les tromper les premiers."")",1.26,Substitution
274,"('#colombine', 'Au Maine, mon père !  Et que faire là ? ')",,1.0,Insertion
275,"('#trafiquet', 'Accompagner ton mari. ')","('#isabelle', ""Le perfide !  Après m'avoir engagé son coeur par une promesse de mariage !"")",0.46,Substitution
276,"('#colombine', ""Mon mari !  Ce n'est pas son dessein de quitter Paris. "")",,1.0,Insertion
277,"('#trafiquet', 'Vraiment si ; il est bailli du Maine. ')",,1.0,Insertion
278,"('#colombine', 'Octave est bailli du Maine !  Depuis quand donc ? ')",,1.0,Insertion
279,"('#trafiquet', 'Que diable veux-tu donc dire avec ton Octave ?  Je crois que tu es folle. ')",,1.0,Insertion
280,"('#colombine', ""Quoi !  Ce n'est pas Octave que vous voulez me donner pour mari ? "")",,1.0,Insertion
281,"('#trafiquet', 'Non, assurément. ')","('#colombine', ""Promesse de mariage ?  Ah !  Je n'y croirai jamais.  Trébuchet à dupes, trébuchet à dupes."")",1.26,Substitution
282,"('#colombine', 'Bon, bon !  Vous voulez rire. ')",,1.0,Insertion
283,"('#trafiquet', ""Je ne ris point, et je veux...  Il aperçoit Octave qui lui fait une révérence et s'en va. "")",,1.0,Insertion
284,"('#trafiquet', ""C'est donc ainsi, coquine, que tu fais état de mes remontrances, et que tu te moques de moi !"")",,1.0,Insertion
285,"('#colombine', 'Mon père... ')",,1.0,Insertion
286,"('#trafiquet', ""Va, je t'abandonne. "")",,1.0,Insertion
287,"('#colombine', 'Hé !  Mon père... ')",,1.0,Insertion
288,"('#trafiquet', 'Je te déshérite. ')",,1.0,Insertion
289,"('#colombine', 'Mon petit papa !')",,1.0,Insertion
290,"('#trafiquet', 'Je te donne ma malédiction, et tu mourras vieille fille. ')",,1.0,Insertion
291,"('#colombine', ""Oh !  Criez tant qu'il vous plaira.  Je n'irai pas perdre un amant pour la mauvaise humeur d'un père : nous sommes dans un temps où il faut garder le peu qu'on en a. "")","('#isabelle', ""Il fut obligé de me quitter pour un duel, où il tua son ennemi : l'amour me fit voler sur ses pas ; je suis venue à Paris ; je me suis déguisée sous l'habit d'une servante ; et sous le nom de Claudine, je suis venue demeurer dans cette hôtellerie, où je l'ai revu avec plaisir, dans le temps que je devais l'oublier pour toujours ; mais, hélas !  Le moyen, quand on a le coeur sincère et qu'on n'est pas née scélérate !"")",0.62,Substitution
292,"('#colombine', ""Voici notre amoureux Pierrot ; il faut l'écouter un moment et nous en divertir."")",,1.0,Insertion
293,"('#pierrot', ""Enfin, Pierrot, te voilà dans le bourbier jusqu'au cou. De quoi t'avises-tu d'être amoureux ?  Tu ne fais plus que quatre repas par jour ; tu ne saurais plus t'éveiller qu'à midi sonné : tu vois bien qu'en cet état-là tu ne peux pas faire longue vie.  Hé bien, je mourrai.  Tu mourras !  Sais-tu bien qu'il n'y a rien de si triste que la mort ?  Il n'importe ; je ne verrai plus cette ingrate, cette....  Il aperçoit Colombine. "")","('#colombine', ""Oh !  Il faut le devenir ; on ne fait rien en amour autrement ; et la vertu la plus nécessaire à une femme, dans le siècle où nous sommes, c'est un peu d'inconstance, assaisonnée quelquefois de perfidie."")",0.74,Substitution
294,"('#colombine', 'Que dis-tu là ? ')",,1.0,Insertion
295,"('#pierrot', 'Je dis...  Je dis, mademoiselle, que quand je serai mort, je ne verrai plus goutte. ')",,1.0,Insertion
296,"('#colombine', ""C'est donc à dire que ta folie te dure toujours ? "")",,1.0,Insertion
297,"('#pierrot', ""Mademoiselle, assurément vous me ferez faire quelque mauvais coup : je me serais déjà jeté vingt fois par la fenêtre de notre grenier, s'il avait été seulement un étage plus bas. "")",,1.0,Insertion
298,"('#colombine', ""Tu te moques, Pierrot ; quand on est bien amoureux, on n'est pas à un étage près.  Je te conseille, de ce pas, d'aller faire ce saut-là pour l'amour de moi. "")",,1.0,Insertion
299,"('#pierrot', 'Allez, vilain petit porc-épic, le ciel vous punira.  Ô amour !  Amour !  Ô Pierrot !  Pierrot !')",,1.0,Insertion
300,"('#le-laquais', 'Mademoiselle, voilà la comtesse de Flamèche et la marquise de Bistoquet qui demandent à vous voir. ')",,1.0,Insertion
301,"('#colombine', 'La comtesse de Flamèche et la marquise de Bistoquet !  Je ne connais point cela.  De quel mauvais vent ces femmes-là abordent-elles chez moi ?  Il faut que ce soient des provinciales. ')",,1.0,Insertion
302,"('#le-laquais', ""Ce sont des dames qui disent qu'elles demeurent depuis peu dans le quartier. "")",,1.0,Insertion
303,"('#colombine', ""Faites-les entrer.  Voilà de ces chiennes de visites que l'on ne saurait éviter."")",,1.0,Insertion
304,"('#mezzetin', ""Hé !  Bonjour, mademoiselle ; comment vous portez-vous ?  Il y a mille ans que j'ai envie de vous venir voir, et de profiter de l'honneur de votre voisinage. "")",,1.0,Insertion
305,"('#pasquariel', ""On a dû vous dire, mademoiselle, que mon équipage s'est arrêté vingt fois à votre porte ; mais vous êtes introuvable, et toute des plus rares. "")","('#isabelle', ""D'où vient donc, mademoiselle, qu'avec toutes vos connaissances, vous vous êtes laissé attraper comme une novice ?  Car il me paraît, dans votre histoire, que vous avez été un peu maltraitée."")",0.61,Substitution
306,"('#colombine', ""En vérité, mesdames, je suis dans la dernière confusion d'avoir si mai profité de l'honneur de votre visite.  Holà !  Quelqu'un, des siéges. Elles se taisent toutes les trois, et recommencent à parler ensemble. "")","('#colombine', ""J'avoue que je n'en ai pas été quitte à meilleur marché que vous ; mais je ne savais pas ce que je sais, et avec le temps je me rendrai encore plus connaisseuse."")",1.17,Substitution
307,"('#mezzetin', ""Peut-on savoir, la belle, quels sont vos plaisirs ?  Vous êtes toujours dans le grand monde ; on dit que c'est vous qui faites l'honneur du quartier. "")","('#isabelle', ""C'est-à-dire, mademoiselle, que vous ne prétendez pas en demeurer là, et que vous ne voulez pas être fille à une aventure."")",1.29,Substitution
308,"('#pasquariel', ""Mais voyez ce teint, je vous prie, madame la Comtesse. Apparemment que vous l'avez pris du bon faiseur ; je n'ai jamais rien vu d'aussi charmant. À Colombine. "")","('#colombine', ""J'ai quitté Rome, comme vous, pour suivre un amant infidèle appelé Octave.  Cinthio est venu à la traverse pour prendre parti sous mes étendards ; et, si vous ne me l'aviez fait connaître pour un déserteur de profession, je ne sais si je ne l'aurais pas enrôlé.  Dame !  En temps de guerre on prend ce que l'on trouve."")",1.14,Substitution
309,"('#colombine', ""Je suis ravie, mesdames, d'avoir un voisinage aussi agréable que le vôtre.  Quand vous voudrez, nous jouerons ensemble ; mais je vous avertis que je suis la plus malheureuse fille du monde.  Elles se taisent encore. "")","('#isabelle', ""Quel bonheur, mademoiselle, de pouvoir changer si facilement !  Et que je serais contente si, pour me venger de mon infidèle, je le pouvais haïr autant qu'il le mérite !"")",0.6,Substitution
310,"('#mezzetin', 'Nous faisons nos visites de quartier.  Une charrette de foin a fait un embarras, ce qui nous a obligées de nous sauver chez Lamy, où nous avons bu chacune trois bouteilles de vin pour nous désennuyer. ')",,1.0,Insertion
311,"('#colombine', 'Six bouteilles de vin à deux femmes ! ')",,1.0,Insertion
312,"('#pasquariel', 'Il faut dire la vérité ; madame la Comtesse porte le vin comme un charme. ')",,1.0,Insertion
313,"('#mezzetin', ""Madame la Marquise veut qu'on lui rende justice, et qu'on lui dise qu'il n'y a point de Breton qu'elle ne boive par-dessous la jambe ; c'est bien le plus hardi vin de femme ! "")",,1.0,Insertion
314,"('#colombine', 'Avec ces talents-là, mesdames, il est à présumer que vous êtes mariées en Bourgogne ou en Champagne. ')",,1.0,Insertion
315,"('#mezzetin', ""Vous ne vous trompez point.  À propos de mariage, ma belle voisine, on m'a dit que vous couchiez la noce en joue.  Une fille comme vous peut-elle se résoudre à cette vilenie-là ? "")","('#colombine', ""Ne vous embarrassez point de votre vengeance ; remettez seulement vos intérêts entre les mains d'une coquette de ce pays-ci, dont il sera amoureux ; je vous promets qu'elle le fera aller bon train."")",0.93,Substitution
316,"('#colombine', 'Pour moi, madame, je ne trouve rien de vilain à faire tout ce que le monde fait, et ce que vous avez fait vous-même. ')","('#isabelle', ""Non, non ; je ne me croirais pas assez vengée de m'en rapporter à une autre.  Si une femme l'aimait une fois, elle l'aimerait toujours ; et puis on n'est peut-être pas sujette au changement en France."")",1.17,Substitution
317,"('#mezzetin', ""Il est vrai ; mais je n'avais que quinze ans pour lors ; vous savez que c'est un âge terriblement scabreux pour une fille.  Pourrez-vous abandonner votre taille aux accidents du mariage ? "")",,1.0,Insertion
318,"('#colombine', ""J'ai assez de peine à m'y résoudre ; mais que voulez-vous ?  Il faut bien prendre le bénéfice avec les charges. "")","('#colombine', ""Oh !  L'on n'a garde !  Vous ne savez donc pas que Paris est la boutique de la légèreté ?  Il ne vient point d'étranger qui n'en emporte sa provision.  Bon !  Je vous dis que c'est le magasin de toute l'inconstance qui se débite en Europe."")",1.03,Substitution
319,"('#pasquariel', ""Faites comme moi, mademoiselle ; depuis que j'ai épousé mon mari, nous ne couchons plus ensemble. "")","('#isabelle', ""Est-il possible ?  Je ne l'aurais jamais cru.  Hélas !  Quand un Français dit qu'il vous aime, il vous le dit d'une manière si tendre et si passionnée, qu'il semble que son amour doive durer pour le moins vingt ans après sa mort."")",0.96,Substitution
320,"('#mezzetin', ""Cela est fort bon pour vous, madame la Marquise, qui avez quantité d'enfants de votre premier lit ; mais une fille qui se marie est bien aise de savoir au juste à quoi elle est propre. "")",,1.0,Insertion
321,"('#pasquariel', ""Pour moi, je suis malheureuse en garçons ; je n'en saurais élever ; je n'en ai plus que dix-sept. "")",,1.0,Insertion
322,"('#colombine', ""Dix-sept !  En vérité, madame, l'état vous est bien obligé de lui donner tant de bons sujets. "")",,1.0,Insertion
323,"('#mezzetin', ""J'en aurais bien eu vingt-cinq ou trente, si tout était venu à profit ; mais les fausses couches ont fait de terribles brèches dans ma famille.  Le dirait-on à ma taille ? Il se promène."")","('#colombine', 'Vingt ans après sa mort !...  Eh !  Oui...  Les femmes seraient trop heureuses si leur tendresse durait seulement vingt jours.')",0.77,Substitution
324,"('#colombine', ""Elle est d'une finesse extraordinaire ; on croirait que vous allez rompre. "")","('#isabelle', 'Vous me surprenez.')",1.25,Substitution
325,"('#mezzetin', ""Depuis deux ans, Dieu merci, j'en suis un peu la maîtresse ; j'ai obligé monsieur le Comte à faire lit à part ; car je suis présentement bien revenue de la bagatelle. "")",,1.0,Insertion
326,"('#colombine', 'Et monsieur votre époux prendra-t-il toujours ce petit divorce en patience ? ')",,1.0,Insertion
327,"('#mezzetin', 'Madame, il fera comme il pourra. ')",,1.0,Insertion
328,"('#pasquariel', 'Peut-on savoir, ma chère, qui vous épousez ? ')",,1.0,Insertion
329,"('#colombine', 'Plusieurs partis me recherchent ; mais mon père me destine à un bailli du Maine, et... ')",,1.0,Insertion
330,"('#pasquariel', 'À un bailli !...  À un bailli !...  Ah !  Ouf !  Je me trouve mal !  Un bailli !  Ah !  Quelle ordure !')",,1.0,Insertion
331,"('#colombine', 'Comment donc, madame !  Avez-vous des vapeurs ? ')",,1.0,Insertion
332,"('#mezzetin', ""Ah, mademoiselle !  Vous ne deviez jamais lâcher le mot de bailli.  À l'heure qu'il est, cela me dévoie.  Un bailli !  Encore si c'était un procureur fiscal !  Ils se jettent sur leurs siéges en faisant beaucoup de contorsions."")",,1.0,Insertion
333,"('#colombine', ""Ah !  Que je suis malheureuse !  Voilà deux femmes qui vont me demeurer dans les mains.  Holà, quelqu'un !  Mes laquais, ma femme de chambre ! "")",,1.0,Insertion
334,"('#mezzetin #pasquariel', 'Un bailli !  À la porte ils font beaucoup de cérémonies pour passer.')",,1.0,Insertion
335,"('#pasquariel', ""Non, madame, assurément je ne passerai pas, ou la peste m'étouffe ! "")",,1.0,Insertion
336,"('#mezzetin', 'Si je passe la première, je veux que cinq cent mille diables me tordent le cou ! À force de civilités, de contorsions, leurs coiffures tombent. ')","('#colombine', ""La variété de leurs modes ne marque-t-elle pas l'inconstance de leur humeur ?  Aujourd'hui ils portent des perruques qui leur pendent jusqu'aux genoux, demain ils en auront d'autres qui ne leur passeront pas les oreilles ; ils sont quelquefois habillés le plus simplement du monde, deux jours après il faut les chercher dans leurs dentelles et leurs rubans ; tantôt ils sont serrés dans leurs habits et empaquetés comme des momies, et quelquefois une pièce de drap ne suffit pas pour leur faire une manche d'été : enfin, tout est girouette dans un Français, depuis les pieds jusqu'à la tête."")",0.61,Substitution
337,"('#colombine', ""Non, je ne crois pas que de mémoire d'homme on ait reçu une visite aussi impertinente.  Elles n'ont que faire de me tant dégoûter du bailli ; si je l'épouse, ce ne sera qu'à mon corps défendant. Il y a ici quelques scènes italiennes, dans lesquelles Mezzetin et Pasquariel rendent compte à Octave du succès de leurs fourberies ; celui-ci les engage à ne pas s'en tenir là, et l'on concerte de se déguiser en Bohémiens, d'aller trouver Arlequin, et de lui dire sa bonne aventure. Ces scènes préparent les scènes françaises suivantes. "")","('#isabelle', ""Cela peut être vrai pour l'ajustement et la manière de s'habiller ; mais pour le coeur, je ne les crois point si sujets au changement."")",1.43,Substitution
338,"('#arlequin', 'Quand vous serez las de chanter, vous me direz peut-être ce que vous me voulez. Monsieur le meneur de ballets, peut-on savoir qui sont ces sauterelles-là ?  Ils continuent de chanter et de danser.  À Mezzetin.  Il montre les deux Bohémiennes.')","('#colombine', ""Oh !  Vous avez raison ; ce sont des miroirs de fidélité.  Voulez-vous que je vous représente un Français qui veut surprendre la tendresse d'une jeune personne ?  Premièrement, je vous avertis que la braise n'est pas plus chaude.  Ah, ma chère enfant !  Ma princesse !  Que de beautés !  Que de charmes !  Les dieux ont-ils jamais rien fait d'aussi parfait que vous ?  Non, mon amour ne peut aller plus loin, et je suis au désespoir de n'avoir que des termes ordinaires pour vous l'exprimer.  Voulez-vous que j'expire à vos pieds ?  Vous ne me dites rien.  Il faut donc mourir, puisque votre cruauté l'ordonne !  Là-dessus, on pleure, on laisse échapper un gros soupir, on se donne de la tête contre un coin de la cheminée : il n'en faut pas davantage ; voilà une femme dans la nasse."")",0.7,Substitution
339,"('#mezzetin', ""Monsieur, ce sont des filles surnaturelles, qui connaissent les astres, les langues, et tout ce qu'il y a de plus extraordinaire au monde et hors du monde ; elles ne parlent qu'en vers : enfin, ce sont des filles d'un mérite sublime. "")","('#isabelle', ""Mais vraiment, je le crois bien ; un homme qui s'explique de la sorte est fort aimable.  Le moyen de résister à ces gros soupirs-là !  J'avoue qu'il ne m'en faudrait pas beaucoup d'un pareil style pour me persuader.  Je sens que j'ai le coeur français."")",0.99,Substitution
340,"('#arlequin', 'Puisque ces créatures -là savent tant de belles choses, elles pourront donc bien me déterminer sur un mariage ? ')",,1.0,Insertion
341,"('#mezzetin', ""Vous ne pouvez pas mieux vous adresser. Il s'en va en chantant avec sa troupe. "")",,1.0,Insertion
