,moliere-amants-magnifiques,quinault-thesee,Cost,Operation Type
207,"('#eriphile', 'Quelle commission, Sostrate ?')","('#aegle', 'Je prétends ne rien faire Qui vous doive irriter.')",1.37,Substitution
208,"('#sostrate', ""Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre coeur."")","('#medee', ""Et n'est-ce rien que de trop plaire ?"")",1.42,Substitution
209,"('#eriphile', ""La Princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.  Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie."")","('#aegle', ""Je renonce à l'hymen du roi Si je lui plais, c'est malgré moi. Ce n'est point dans le rang suprême Qu'on trouve les plus doux appas, Et souvent un bonheur extrême Est plus sûr dans un rang plus bas."")",1.25,Substitution
210,"('#sostrate', ""Je l'ai acceptée, Madame, par la nécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelqu'autre de cet emploi."")","('#medee', ""Vous aimez donc Thésée ? Ah ! N'en rougissez pas, Il n'est que trop digne qu'on l'aime. Je m'intéresse en votre amour ; Parlez, vous connaîtrez mon cour à votre tour."")",0.96,Substitution
211,"('#eriphile', 'Quelle cause, Sostrate, vous obligeait à le refuser ?')",,1.0,Insertion
212,"('#sostrate', ""La crainte, Madame, de m'en acquitter mal."")",,1.0,Insertion
213,"('#eriphile', 'Croyez-vous que je ne vous estime pas assez pour vous ouvrir mon coeur, et vous donner toutes les lumières que vous pourrez désirer de moi sur le sujet de ces deux Princes ?')","('#aegle', ""J'avais toujours bravé l'amour et sa puissance Avant que d'avoir vu ce glorieux vainqueur ; Mais la gloire et l'amour tous deux d'intelligence Ne sont que trop puissants pour vaincre un jeune cour. Que votre soin au mien réponde, J'espère que le roi deviendra votre époux : Régnez par son hymen dans une paix profonde, Laissez-moi ce héros, mon sort est assez doux ; Quand vous posséderiez tout l'empire du monde, Mon cour n'en serait point jaloux."")",0.16,Substitution
214,"('#sostrate', ""Je ne désire rien pour moi là-dessus, Madame, et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."")","('#medee', 'Mais enfin, si le roi commande, Vous êtes soumise à sa loi.')",0.88,Substitution
215,"('#eriphile', ""Jusques ici je me suis défendue de m'expliquer, et la Princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager ; mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps."")","('#aegle', ""Ma vie est au pouvoir du roi, Et je veux bien qu'elle en dépende : Mais c'est en vain qu'il demande Un cour qui n'est plus à moi."")",0.61,Substitution
216,"('#sostrate', ""C'est une chose, Madame, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire."")","('#medee', ""Vous m'en avez trop dit, il est temps qu'entre nous La confidence soit égale. Il faut vous dégager d'une chaîne fatale."")",1.11,Substitution
217,"('#eriphile', ""Mais c'est ce que la Princesse ma mère attend de vous."")","('#aegle', 'La mort, la seule mort rompra des noeuds si doux.')",1.67,Substitution
218,"('#sostrate', ""Ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?"")",,1.0,Insertion
219,"('#eriphile', ""Ô çà, Sostrate, les gens comme vous ont toujours les yeux pénétrants ; et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres.  N'ont-ils pu découvrir, vos yeux, ce dont tout le monde est en peine, et ne vous ont-ils point donné quelques petites lumières du penchant de mon coeur ?  Vous voyez les soins qu'on me rend, l'empressement qu'on me témoigne : quel est celui de ces deux Princes que vous croyez que je regarde d'un oeil plus doux ?"")","('#medee', ""Je veux que dés demain le roi soit votre époux : Vous aimez un héros qui ne peut être à vous, Et Médée est votre rivale ; Prenez soin d'éviter mon funeste courroux."")",0.79,Substitution
220,"('#sostrate', ""Les doutes que l'on forme sur ces sortes de choses ne sont réglés d'ordinaire que par les intérêts qu'on prend."")","('#aegle', 'Nos deux cours sont unis par un amour fidèle.')",1.6,Substitution
221,"('#eriphile', ""Pour qui, Sostrate, pencheriez-vous des deux ?  Quel est celui, dites-moi, que vous souhaiteriez que j'épousasse ?"")","('#medee', ""En dépit de l'amour je les veux diviser."")",1.74,Substitution
222,,"('#aegle', 'La chaîne qui nous lie est si forte et si belle.')",1.0,Deletion
223,"('#sostrate', 'Ah !  Madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.')","('#medee', ""J'aurai plus de plaisir si je la puis briser."")",1.3,Substitution
224,"('#eriphile', 'Mais si je me conseillais à vous pour ce choix ?')",,1.0,Insertion
225,"('#sostrate', 'Si vous vous conseilliez à moi, je serais fort embarrassé.')",,1.0,Insertion
226,"('#eriphile', 'Vous ne pourriez pas dire qui des deux vous semble plus digne de cette préférence ?')",,1.0,Insertion
227,"('#sostrate', ""Si l'on s'en rapporte à mes yeux, il n'y aura personne qui soit digne de cet honneur.  Tous les princes du monde seront trop peu de chose pour aspirer à vous ; les Dieux seuls y pourront prétendre, et vous ne souffrirez des hommes que l'encens et les sacrifices."")","('#aegle', ""Non, j'aime mieux la mort qu'une lâche inconstance, Tout l'enfer à mes yeux n'aura rien de si noir ; Malgré Médée et sa vengeance, Mon amour fera son devoir."")",1.07,Substitution
228,"('#eriphile', ""Cela est obligeant, et vous êtes de mes amis.  Mais je veux que vous me disiez pour qui des deux vous vous sentez plus d'inclination, quel est celui que vous mettez le plus au rang de vos amis."")",,1.0,Insertion
229,"('#chorebe', 'Madame, voilà la Princesse qui vient vous prendre ici, pour aller au bois de Diane.')","('#medee', ""Voyons si votre amour est tel qu'il veut paraître, Puisque vous le voulez vous allez me connaître : Je vais vous faire voir Ce que c'est que Médée et quel est son pouvoir. La scène change, et représente un désert épouvantable rempli de monstres furieux."")",1.14,Substitution
230,"('#sostrate', 'Hélas !  Petit garçon, que tu es venu à propos.')","('#aegle #cleone #arcas', 'Dieux ! Où sommes nous !')",1.18,Substitution
231,"('#aristione', 'On vous a demandée, ma Fille, et il y a des gens que votre absence chagrine fort.')",,1.0,Insertion
232,"('#eriphile', ""Je pense, Madame, qu'on m'a demandée par compliment, et on ne s'inquiète pas tant qu'on vous dit."")",,1.0,Insertion
233,"('#aristione', ""On enchaîne pour nous ici tant de divertissements les uns aux autres, que toutes nos heures sont retenues, et nous n'avons aucun moment à perdre, si nous voulons les goûter tous.  Entrons vite dans le bois, et voyons ce qui nous y attend ; ce lieu est le plus beau du monde, prenons vite nos places."")","('#cleone', ""Que d'objets horribles !"")",1.55,Substitution
234,,"('#arcas', 'Quels monstres terribles !')",1.0,Deletion
235,"('#tircis', ""Vous chantez sous ces feuillages, Doux rossignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux, vous ne chanteriez pas."")","('#aegle', 'Quel affreux courroux !')",1.23,Substitution
236,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes-nous !')",1.0,Deletion
237,"('#lycaste', 'Hé quoi toujours languissant, sombre, et triste ?')","('#aegle', 'Me laissez-vous, cruelle, Dans cette horreur mortelle ? Ah cruelle ! Où me laissez-vous ?')",1.37,Substitution
238,,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous ?')",1.0,Deletion
239,"('#menandre', 'Hé quoi ! Toujours aux pleurs abandonné ?')","('#cleone', ""Contre ce monstre qui m'alarme Viens me défendre Arcas."")",1.25,Substitution
240,"('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')","('#arcas', ""Ne crains rien avant mon trépas. Ô ciel ! On me désarme ! Tu peux beaucoup ici, belle Dorine, hélas ! Ne l'abandonne pas. Un fantôme emporte l'épée d'Arcas."")",1.73,Substitution
241,"('#lycaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")","('#cleone #arcas', ""Belle, Dorine, hélas ! Ne m'abandonne pas. Ne l'abandonne pas."")",0.85,Substitution
242,"('#tircis', 'Eh le moyen, hélas !')",,1.0,Insertion
243,"('#menandre', 'Fais, fais-toi quelque effort.')",,1.0,Insertion
244,"('#tircis', 'Eh ! Le moyen, hélas ! Quand le mal est trop fort ?')","('#dorine', ""Il est bon d'être nécessaire ; C'est un charme puissant pour plaire Où peu de cours ont résisté : Un grand secours qu'on espère Est un grand trait de beauté."")",1.16,Substitution
245,"('#lycaste', 'Ce mal trouvera son remède.')",,1.0,Insertion
246,"('#tircis', ""Je ne guérirai qu'à ma mort."")","('#arcas', ""Ce n'est pas d'aujourd'hui que je te trouve belle."")",1.67,Substitution
247,"('#lycaste #menandre', 'Ah Tircis !')","('#cleone', ""Où pourrait-il voir plus d'attraits ?"")",1.56,Substitution
248,"('#tircis', 'Ah Bergers !')",,1.0,Insertion
249,"('#lycaste #menandre', ""Prends sur toi plus d'empire."")","('#dorine', 'Je sais trop votre amour nouvelle.')",1.62,Substitution
250,"('#tircis', 'Rien ne me peut secourir.')","('#cleone #arcas', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",1.43,Substitution
251,"('#lycaste #menandre', ""C'est trop, c'est trop céder."")","('#dorine', 'Pour se tirer de peine Chacun promet assez ; Mais la promesse est vaine Lorsque les périls sont passés.')",1.33,Substitution
252,"('#tircis', ""C'est trop, c'est trop souffrir."")",,1.0,Insertion
253,"('#lycaste #menandre', 'Quelle faiblesse !')","('#cleone #arcas', 'Ne doute point de ma promesse.')",1.0,Substitution
254,"('#tircis', 'Quel martyre !')",,1.0,Insertion
255,"('#lycaste #menandre', 'Il faut prendre courage.')",,1.0,Insertion
256,"('#tircis', 'Il faut plutôt mourir.')",,1.0,Insertion
257,"('#lycaste', ""Il n'est point de bergère Si froide, et si sévère, Dont la pressante ardeur D'un coeur qui persévère Ne vainque la froideur."")","('#dorine', ""Non, je ne prétends point regagner désormais D'un si volage amant la trompeuse tendresse ; Non, non, je le promets ; Non, je ne l'aimerai jamais."")",0.8,Substitution
258,"('#menandre', ""Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux amants."")","('#cleone #arcas #dorine', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",1.67,Substitution
259,"('#tircis', ""Je la vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'ingrate, hélas ! N'y viendrait pas."")","('#medee', ""Qu'on ne me trouble point, qu'on leur ouvre un passage. C'est sur d'autres que vous que doit tomber ma rage, Fuyez de ce funeste lieu."")",0.87,Substitution
260,,"('#cleone #arcas', 'Adieu, Dorine, adieu.')",1.0,Deletion
261,"('#caliste', ""Ah que sur notre coeur La sévère loi de l'honneur Prend un cruel empire ! Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ces cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre, C'est à vous seuls que je le dis, Arbres, n'allez pas le redire. Puisque le ciel a voulu nous former Avec un coeur qu'Amour peut enflammer, Quelle rigueur impitoyable Contre des traits si doux nous force à nous armer, Et pourquoi, sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable ? Hélas ! Que vous êtes heureux, Innocents animaux, de vivre sans contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux : Hélas ! Petits oiseaux, que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux. Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui toute entière, Nous n'avons point de loi sévère Qui défende à nos sens d'en goûter la douceur."")","('#medee', ""Sortez, ombres, sortez de la nuit éternelle. Voyez le jour pour le troubler. Hâtez-vous d'obéir quand ma voix vous appelle, Que l'affreux désespoir, que la rage cruelle Prennent soin de vous assembler. Sortez, ombres, sortez de la nuit éternelle."")",0.49,Substitution
262,"('#tircis', 'Vers ma belle ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.')","('#le-choeur-de-l-enfer', 'Sortons de la nuit éternelle.')",0.94,Substitution
263,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#medee', ""Venez peuple infernal, venez, Avancez malheureux coupables, Soyez aujourd'hui déchaînés : Goûtez l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",0.53,Substitution
264,"('#tircis', ""Silence, petits oiseaux, Vents, n'agitez nulle chose, Coulez doucement ruisseaux, C'est Caliste qui repose."")","('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",1.4,Substitution
265,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#medee', 'Redoublez en ce jour le soin que vous prenez De mes vengeances redoutables.')",0.74,Substitution
266,"('#caliste', 'Ah Quelle peine extrême ! Suivre partout mes pas.')",,1.0,Insertion
267,"('#tircis', ""Que voulez-vous qu'on suive, hélas ! Que ce qu'on aime ?"")",,1.0,Insertion
268,"('#caliste', 'Berger, que voulez-vous ?')","('#le-choeur-de-l-enfer', 'Ordonnez, ordonnez.')",0.29,Substitution
269,"('#tircis', 'Mourir, belle Bergère, Mourir à vos genoux, Et finir ma misère, Puisque en vain à vos pieds on me voit soupirer, Il y faut expirer.')","('#medee', ""Ma rivale m'expose à des maux effroyables ; Qu'elle ait part aux tourments qui vous sont destinés : Tous les enfers impitoyables Auront peine à former des horreurs comparables Aux troubles qu'elle m'a donné : Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",0.59,Substitution
270,"('#caliste', ""Ah Tircis, ôtez-vous, j'ai peur que dans ce jour La pitié dans mon coeur n'introduise l'amour."")","('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables. On nous tourmente Sans cesse aux enfers, Que l'on ressente Nos feux et nos fers. Tout doit se troubler, Tout doit trembler. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. On nous déchaine, Suivons nos fureurs ; Dans notre peine Troublons tous les cours. Un grand désespoir Est doux à voir. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. Les habitants des enfers expriment la douceur qu'ils trouvent dans les ordres que Médée leur donne de donner des frayeurs, et de faire de la peine à Aeglé."")",0.76,Substitution
271,"('#lycaste #menandre', ""Soit amour, soit pitié, Il sied bien d'être tendre ; C'est par trop vous défendre Bergère, il faut se rendre À sa longue amitié, Soit amour, soit pitié, Il sied bien d'être tendre."")","('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",1.09,Substitution
272,"('#caliste', ""C'est trop, c'est trop de rigueur, J'ai maltraité votre ardeur, Chérissant votre personne, Vengez-vous de mon coeur Tircis, je vous le donne."")","('#aegle', 'Ah quel effroyable supplice ! Faites-moi promptement mourir.')",0.77,Substitution
273,"('#tircis', ""Ô Ciel ! Bergers !  Caliste !  Ah je suis hors de moi. Si l'on meurt de plaisir je dois perdre la vie."")","('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",0.44,Substitution
274,"('#lycaste', 'Digne prix de la foi !')",,1.0,Insertion
275,"('#menandre', ""Ô sort digne d'envie !"")",,1.0,Insertion
276,"('#premier-satyre', 'Quoi ? Tu me fuis ingrate, et je te vois ici De ce berger à moi faire une préférence ?')","('#aegle', 'Cruelle, ne voulez-vous pas Faire cesser ma peine ? Au moins achevez, inhumaine, Achevez mon trépas.')",1.53,Substitution
277,"('#deuxieme-satyre', ""Quoi mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton coeur s'est adouci ?"")","('#medee', 'Satisfaites le roi, contentez mon envie, Si vous voulez sortir de cet affreux sejour.')",1.06,Substitution
278,"('#caliste', 'Le destin le veut ainsi, Prenez tous deux patience.')","('#aegle', 'Hélas ! Laissez-moi mon amour, Prenez plutôt ma vie.')",0.9,Substitution
279,"('#premier-satyre', ""Aux amants qu'on pousse à bout L'amour fait verser des larmes : Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout."")",,1.0,Insertion
280,"('#deuxieme-satyre', ""Notre amour n'a pas toujours Tout le bonheur qu'il désire : Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours."")","('#medee', ""Ma rage en vous perdant ne peut être assouvie, C'est grâce, c'est pitié de vous ôter le jour."")",0.79,Substitution
281,"('#tous', ""Champêtres Divinités, Faunes, Dryades, sortez De vos paisibles retraites ; Mêlez vos pas à nos sons, Et tracez sur les herbettes L'image de nos chansons. PREMIÈRE ENTRÉE DE BALLET. En même temps, six dryades et six faunes sortent de leurs demeures, et font ensemble une danse agréable, qui, s'ouvrant tout d'un coup, laisse voir un berger et une bergère, qui font en musique une petite scène d'un dépit amoureux."")","('#aegle', ""Vous aurez beau me poursuivre, Vous aurez beau m'alarmer, Ce n'est qu'en cessant de vivre Que je puis cesser d'aimer."")",1.25,Substitution
282,"('#philinte', ""Quand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Roi ni Dieux Dont le sort me fît envie."")","('#medee', ""Achevez de savoir de quoi je suis capable ; La plus horrible mort n'a rien de comparable Au coup qui vous menace en ce fatal instant : Moi-même j'en frémis tant il est effroyable."")",1.12,Substitution
283,"('#climene', ""Lorsqu'à toute autre personne Me préférait ton ardeur, J'aurais quitté la couronne Pour régner dessus ton coeur."")","('#aegle', ""Est-ce un crime si punissable D'avoir un coeur tendre et constant ?"")",1.16,Substitution
284,"('#philinte', ""Une autre a guéri mon âme Des feux que j'avais pour toi."")","('#medee', ""Il n'est que trop aisé de percer un coeur tendre : Toute ma rage enfin va paraître à vos yeux."")",0.92,Substitution
285,"('#climene', 'Un autre a vengé ma flamme Des faiblesses de ta foi.')","('#aegle', ""Quel spectacle vient me surprendre ? C'est Thésée endormi qu'on transporte en ces lieux."")",1.26,Substitution
286,"('#philinte', ""Cloris, qu'on vante si fort, M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort, Je mourrais content pour elle."")","('#medee', ""Venez à mon secours implacables furies. Que le sang innocent recommence à couler ; Il faut encor nous signaler Par de nouvelles barbaries, Venez à mon secours implacables furies. Les furies sortent tenant un tison ardent d'une main, et un couteau de l'autre."")",0.72,Substitution
287,"('#climene', ""Myrtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amour."")","('#aegle', 'Faut-il voir contre moi tous les enfers armés ?')",1.12,Substitution
288,"('#philinte', ""Mais si d'une douce ardeur Quelque renaissante trace Chassait Cloris de mon coeur Pour te remettre en sa place."")",,1.0,Insertion
289,"('#climene', ""Bien qu'avec pleine tendresse Myrtil me puisse chérir, Avec toi, je le confesse, Je voudrais vivre et mourir."")","('#medee', ""Tremblez en apprenant quel est votre supplice. Votre amant va périr, c'est vous qui m'animez À m'en faire à vos yeux un affreux sacrifice."")",0.82,Substitution
290,"('#tous-deux', 'Ah plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.')","('#aegle', ""Vous pouvez vouloir qu'il périsse ? Et vous dites que vous l'aimez ?"")",0.6,Substitution
291,"('#tous-les-acteurs', ""Amants, que vos querelles Sont aimables et belles, Qu'on y voit succéder De plaisirs, de tendresse, Querellez-vous sans cesse Pour vous raccommoder. Amants, que vos querelles Sont aimables et belles, etc. Les faunes et les dryades recommencent leur danse, que les bergères et bergers musiciens entremêlent de leurs chansons, tandis que trois petites dryades et trois petits faunes, font paraître dans l'enfoncement du théâtre, tout ce qui se passe sur le devant."")","('#medee', ""Il faut voir qui des deux l'aimera davantage, Plutôt que le céder, j'aime mieux que la mort En fasse entre nous le partage, Et l'amour n'en est que plus fort Quand il passe jusqu'à la rage. Dépêchez, achevez votre sanglant ouvrage. Elle parle aux furies."")",0.82,Substitution
292,"('#bergers #bergeres', ""Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens, Des grandeurs, qui voudra se soucie, Tous ces honneurs dont on a tant d'envie Ont des chagrins qui sont trop vieillissants : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens. En aimant tout nous plaît dans la vie, Deux coeurs unis de leur sort sont contents, Cette ardeur de plaisirs suivie, De tous nos jours fait d'éternels printemps : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens."")","('#aegle', ""Arrêtez, retenez leurs coups, J'épouserai le roi, je suivrai votre envie : Je cède ce héros, que son cour soit à vous, Rien ne m'est si cher que sa vie."")",0.79,Substitution
293,"('#aristione', ""Les mêmes paroles toujours se présentent à dire.  Il faut toujours s'écrier voilà qui est admirable, il ne se peut rien de plus beau, cela passe tout ce qu'on a jamais vu. "")",,1.0,Insertion
294,"('#timocles', ""C'est donner de trop grandes paroles, Madame, à de petites bagatelles."")",,1.0,Insertion
295,"('#aristione', ""Des bagatelles comme celles-là peuvent occuper agréablement les plus sérieuses personnes.  En vérité, ma Fille, vous êtes bien obligée à ces Princes, et vous ne sauriez assez reconnaître tous les soins qu'ils prennent pour vous."")","('#medee', 'Mais aurez-vous bien le pouvoir De lui paraître ingrate, insensible, volage ?')",0.64,Substitution
296,"('#eriphile', ""J'en ai, Madame, tout le ressentiment qu'il est possible."")",,1.0,Insertion
297,"('#aristione', ""Cependant vous les faites longtemps languir, sur ce qu'ils attendent de vous.  J'ai promis de ne vous point contraindre, mais leur amour vous presse de vous déclarer, et de ne plus traîner en longueur la récompense de leurs services.  J'ai chargé Sostrate d'apprendre doucement de vous les sentiments de votre coeur, et je ne sais pas s'il a commencé à s'acquitter de cette commission."")","('#aegle', ""C'est lui faire un cruel outrage, J'aimerais mieux ne le point voir."")",0.83,Substitution
298,"('#eriphile', ""Oui, Madame, mais il me semble que je ne puis assez reculer ce choix dont on me presse, et que je ne saurais le faire sans mériter quelque blâme.  Je me sens également obligée à l'amour, aux empressements, aux services de ces deux Princes, et je trouve une espèce d'injustice bien grande à me montrer ingrate, ou vers l'un, ou vers l'autre, par le refus qu'il m'en faudra faire dans la préférence de son rival."")","('#medee', ""Non il faut lui montrer une âme déloyale Qui l'immole sans peine à la grandeur royale Tandis que je feindrai d'agir en sa faveur : Enfin je veux gagner son cour Par le secours de ma rivale."")",0.02,Substitution
299,"('#iphicrate', ""Cela s'appelle, Madame, un fort honnête compliment pour nous refuser tous deux."")",,1.0,Insertion
300,"('#aristione', 'Ce scrupule, ma Fille, ne doit point vous inquiéter, et ces Princes tous deux se sont soumis il y a longtemps à la préférence que pourra faire votre inclination.')","('#aegle', 'Dieux ! Quelle contrainte fatale !')",1.51,Substitution
301,"('#eriphile', ""L'inclination, Madame, est fort sujette à se tromper, et des yeux désintéressés sont beaucoup plus capables de faire un juste choix."")","('#medee', 'Pour le prix de ses jours attirez ses mépris, Ou je vais...')",1.66,Substitution
302,"('#aristione', 'Vous savez que je suis engagée de parole à ne rien prononcer là-dessus, et, parmi ces deux Princes, votre inclination ne peut point se tromper, et faire un choix qui soit mauvais.')","('#aegle', ""Non, qu'il vive, il n'importe à quel prix : Je veux tout, je puis tout pour sauver ce que j'aime ; Mon amour vous promet de se trahir lui-même."")",0.88,Substitution
303,"('#eriphile', ""Pour ne point violenter votre parole, ni mon scrupule, agréez, Madame, un moyen que j'ose proposer."")","('#medee', 'Cessez donc de trembler : voyez en un moment Changer ces lieux affreux en un séjour charmant.')",0.92,Substitution
304,"('#aristione', 'Quoi, ma Fille ?')",,1.0,Insertion
305,"('#eriphile', ""Que Sostrate décide de cette préférence.  Vous l'avez pris pour découvrir le secret de mon coeur : souffrez que je le prenne pour me tirer de l'embarras où je me trouve."")","('#medee', ""Voyez ce que j'ai soin de faire Pour un trop malheureux amant."")",0.66,Substitution
306,"('#aristione', ""J'estime tant Sostrate que, soit que vous vouliez vous servir de lui pour expliquer vos sentiments, ou soit que vous vous en remettiez absolument à sa conduite ; je fais, dis-je, tant d'estime de sa vertu et de son jugement, que je consens de tout mon coeur, à la proposition que vous me faites."")",,1.0,Insertion
307,"('#iphicrate', ""C'est-à-dire, Madame, qu'il nous faut faire notre cour à Sostrate ?"")","('#thesee', ""Où suis-je ? Et d'où me vient ce nouvel ornement ?"")",1.38,Substitution
308,"('#sostrate', ""Non, Seigneur, vous n'aurez point de cour à me faire, et avec tout le respect que je dois aux Princesses, je renonce à la gloire où elles veulent m'élever."")","('#medee', ""J'ai voulu vous aider à plaire."")",0.8,Substitution
309,"('#aristione', ""D'où vient cela, Sostrate ?"")",,1.0,Insertion
310,"('#sostrate', ""J'ai des raisons, Madame, qui ne permettent pas que je reçoive l'honneur que vous me présentez."")",,1.0,Insertion
311,"('#iphicrate', 'Craignez-vous, Sostrate, de vous faire un ennemi ?')","('#thesee', 'Mon épée ! Ah rendez-la moi.')",1.16,Substitution
312,"('#sostrate', 'Je craindrais peu, Seigneur, les ennemis que je pourrais me faire en obéissant à mes souveraines.')","('#medee', ""On va vous l'apporter. Si vous craignez le roi, Je serai vos plus fortes armes."")",0.18,Substitution
313,"('#timocles', ""Par quelle raison donc refusez-vous d'accepter le pouvoir qu'on vous donne, et de vous acquérir l'amitié d'un Prince qui vous devrait tout son bonheur ?"")","('#thesee', 'Après tout ce que je vous dois... Est-ce vous ? Ma princesse, est-ce vous que je vois ? Mais où détournez-vous vos regards pleins de charmes ? Il aperçoit AEglé.')",0.88,Substitution
314,,"('#medee', 'Quoy ? Vous ne tournez pas les yeux Sur un amant si glorieux ?')",1.0,Deletion
315,"('#sostrate', ""Par la raison que je ne suis pas en état d'accorder à ce Prince ce qu'il souhaiterait de moi."")",,1.0,Insertion
316,"('#iphicrate', 'Quelle pourrait être cette raison ?')","('#thesee', 'Belle AEglé, dites-moi, quel crime ai-je pu faire ?')",1.0,Substitution
317,,"('#medee', ""N'appreéhendez-vous point qu'on ose se venger ?"")",1.0,Deletion
318,"('#sostrate', ""Pourquoi me tant presser là-dessus ?  Peut-être ai-je, Seigneur, quelque intérêt secret qui s'oppose aux prétentions de votre amour.  Peut-être ai-je un ami qui brûle sans oser le dire, d'une flamme respectueuse pour les charmes divins dont vous êtes épris.  Peut-être cet ami me fait-il tous les jours confidence de son martyre ; qu'il se plaint à moi tous les jours des rigueurs de sa destinée, et regarde l'hymen de la Princesse, ainsi que l'arrêt redoutable qui le doit pousser au tombeau ; et si cela était, Seigneur, serait-il raisonnable que ce fût de ma main qu'il reçût le coup de sa mort ?"")","('#thesee', ""Non, elle aura beau m'outrager, Elle me sera toujours chère."")",1.15,Substitution
319,"('#iphicrate', ""Vous auriez bien la mine, Sostrate, d'être vous-même cet ami dont vous prenez les intérêts."")","('#medee', ""Tant d'amour ne vous touche pas ? Ingrate, croyez-vous qu'un trône ait plus d'appas ?"")",1.16,Substitution
320,"('#sostrate', ""Ne cherchez point, de grâce, à me rendre odieux aux personnes qui vous écoutent ; je sais me connaître, Seigneur, et les malheureux comme moi n'ignorent pas jusques où leur fortune leur permet d'aspirer."")","('#thesee', ""Vous m'aviez tant promis de n'être point légère ?"")",1.34,Substitution
321,"('#aristione', ""Laissons cela, nous trouverons moyen de terminer l'irrésolution de ma fille."")",,1.0,Insertion
