,dufresny-regnard-chinois,dufresny-depart-des-comediens,Cost,Operation Type
248,"('#colombine', ""Ce n'est point ici une hôtellerie, monsieur."")",,1.0,Insertion
249,"('#mezzetin', 'Mon capitaine ?  Le major de Bagnolet, va venir vous épouser par étape, et moi je prends déjà cette fille-là pour mon ustensile.')",,1.0,Insertion
250,"('#colombine', ""Il n'est pas dégoûté.  Un ustensile comme moi n'est pas à l'usage d'un grivois."")",,1.0,Insertion
251,"('#mezzetin', ""Dans le combat, je suis un diable ; Mon nom de guerre est la Fureur : Mais chez un hôte un peu traitable, Je suis, par ma bonté, surnommé la Douceur ; Pourvu qu'il me laisse égorger sa volaille, Vider sa futaille, Emporter son manteau, Je suis doux comme un agneau. Lorsque mon hôte est raisonnable, Je ne cherche que son profit ; Si je passe la nuit à table, C'est pour ne point user ni ses draps ni son lit : Pourvu qu'il me donne pour mon ustensile Sa femme, sa fille, Sa servante Isabeau, Je suis doux comme un agneau. Mais j'entends nos équipages."")","('#arlequin', ""Un des fils de Neptune  Apaisera dit-on,  La déleste rancune ;  Mais il lui faut Nanon. Flon, flon, etc.  Pendant qu'Arlequin est derrière le paravent, on lui met un manteau royal. "")",0.56,Substitution
252,"('#arlequin', ""Ne soyez point surprise, mademoiselle, de voir un amant démantelé : la mousqueterie de vos yeux estropie les libertés les plus libres, et devant vous les coeurs les plus fiers ne marchent qu'en béquilles."")",,1.0,Insertion
253,"('#isabelle', ""Je ne croyais pas, monsieur, que mes yeux fissent des effets si terribles ; et si vous n'aviez jamais été exposé qu'à leurs coups, vous marcheriez plus droit que vous ne faites."")",,1.0,Insertion
254,"('#arlequin', ""J'avoue, mademoiselle, qu'il y a quelque chose à refaire à mon attitude ; mais quand on a été, comme moi, soixante ans exposé aux périls de Mars, on est bien heureux de n'avoir qu'une jambe de bois."")",,1.0,Insertion
255,"('#roquillard', ""De pareilles incommodités sont lettres patentes de noblesse ; et tout le chagrin que j'ai, c'est de n'avoir pas laissé quelque jambe ou quelque bras à l'arrière-ban."")",,1.0,Insertion
256,"('#arlequin', ""Vous étiez là, beau-père, dans un corps dont les membres ne courent pas grand risque, et où le vivandier a plus de pratiques que le chirurgien.  Mais vous n'aurez pas plus tôt fait trente ou quarante campagnes dans mon régiment, qu'il ne vous restera pas une seule dent dans la bouche."")",,1.0,Insertion
257,"('#roquillard', ""Il me semble aussi qu'il y a quelque chose à redire à vos yeux."")",,1.0,Insertion
258,"('#arlequin', ""Oh !  Ce n'est rien ; c'est qu'au dernier siége il me tomba dans la prunelle gauche une bombe."")",,1.0,Insertion
259,"('#roquillard', 'Une bombe !')",,1.0,Insertion
260,"('#arlequin', ""Et cela a un peu dérangé l'économie du nerf optique.  Mais quoique je n'en voie goutte, je ne laisse pas de m'en servir utilement."")",,1.0,Insertion
261,"('#isabelle', 'Utilement !  Et à quel usage ?')",,1.0,Insertion
262,"('#arlequin', ""Je m'en sers pour lire les mémoires de mes créanciers ; et aussitôt lus, aussitôt payés."")",,1.0,Insertion
263,"('#pierrot', 'Vous étiez donc à Namur ?')",,1.0,Insertion
264,"('#arlequin', ""Si j'y étais ?  Oui, par la sambleu !  J'y étais ; j'en suis encore tout crotté."")",,1.0,Insertion
265,"('#pierrot', ""Et en quelle qualité, monsieur, serviez-vous dans l'armée ?"")",,1.0,Insertion
266,"('#arlequin', 'Moi, servir !  Hé !  Pour qui me prenez-vous donc ?  Je commandais en chef le détachement des brouettes qui enlevaient les boues du camp.')",,1.0,Insertion
267,"('#pierrot', 'Vous aviez là, monsieur, un commandement digne de vos mérites.')","('#le-sacrificateur', 'Voici le Roi.')",1.37,Substitution
268,"('#arlequin', 'Trop heureux, mademoiselle, si avec la brouette de mon amour je pouvais enlever la crotte de votre indifférence, et vous épouser à la tête de ma compagnie !')","('#arlequin', ""Vous l'avez entendu, je n'ai rien à vous dire,  Je plains vos déplaisirs, avec vous j'en soupire :  Mais rien n'est préférable  Au repos de ces lieux.  Allez-vous-en au diable,  Soumettons-nous aux dieux. "")",0.72,Substitution
269,"('#isabelle', 'Franchement, monsieur le Major, je voudrais bien épouser un homme tout entier.')",,1.0,Insertion
270,"('#arlequin', 'Que dites-vous, la majoresse de ma minorité ?')",,1.0,Insertion
271,"('#roquillard', ""Elle a raison ; il lui faut un homme tout entier : un homme n'est déjà pas trop pour une femme, il n'en faut rien supprimer. Je ne veux pas la lui donner, moi. À part."")",,1.0,Insertion
272,"('#arlequin', ""Parlez, parlez donc, barbe de chat ; avez-vous jamais été tué ?  Savez-vous que quand un homme comme vous refuse sa fille à un homme comme moi, j'assiège la fille en forme comme une place de guerre ?  Vous allez voir. Des soldats de la suite du Major entourent Roquillard, en lui présentant de tous côtés la pointe de la hallebarde ; et pendant ce temps Arlequin emmène Isabelle. Les soldats et Roquillard forment une danse, qui sert de divertissement pour le troisième acte."")",,1.0,Insertion
273,"('#colombine', ""Tour allait le mieux du monde ; vous auriez épousé Isabelle aujourd'hui, sans cet impertinent de comédien français qui vient d'arriver, et dont Roquillard s'est coiffé."")",,1.0,Insertion
274,"('#octave', 'Est-il possible ?')",,1.0,Insertion
275,"('#colombine', ""Dame !  Ces messieurs-là plaisent à l'ouverture du livre.  Tout ce que j'ai pu obtenir, c'est qu'il suspendra son choix jusqu'à ce qu'il vous ait entendu sur la prééminence de vos conditions."")",,1.0,Insertion
276,"('#octave', ""Comment veux-tu que je lui fasse entendre mes raisons ?  Il ne sait pas l'italien ; et, comme tu vois, je parle assez mal français."")",,1.0,Insertion
277,"('#colombine', ""Si vous voulez, je parlerai pour vous, et dans la dispute une femme vaut toujours mieux qu'un homme.  J'ai servi autrefois un comédien italien, et j'en sais assez le fort et le faible."")",,1.0,Insertion
278,"('#octave', ""Ah, ma pauvre Colombine !  Il n'y a rien que tu ne doives attendre de moi, si, par ton moyen, j'épouse Isabelle."")",,1.0,Insertion
279,"('#colombine', 'Allez, ne vous mettez pas en peine ; je vais tout préparer pour vous servir. Il y a ici plusieurs scènes italiennes.')",,1.0,Insertion
280,"('#colombine', ""Vous voyez devant vous Octave, fidèle de nom, Vénitien d'extraction, amoureux de profession, et acteur sérieux de la troupe risible des comédiens italiens."")",,1.0,Insertion
281,"('#le-comedien-français', ""Halte-là ; je m'oppose à ces qualités : dites bande de comédiens italiens, et non pas troupe ; c'est un titre qui n'appartient qu'aux comédiens français.  Vous êtes encore de plaisants Bohémiens !"")",,1.0,Insertion
282,"('#colombine', ""On voit bien que vous vous ressentez toujours de la fierté romaine ; vous aimez les titres ; et, si l'on n'y tient la main, vous vous mettrez de pair avec les mouleurs de bois, et vous prendrez dans vos affiches la qualité de conseillers du roi."")",,1.0,Insertion
283,"('#un-portier', ""Monsieur, il y a là-bas un gros homme qui fait le diable à quatre pour entrer ; il dit qu'il s'appelle le Parterre."")",,1.0,Insertion
284,"('#le-comedien-français', ""Malepeste !  Il faut lui ouvrir la porte à deux battants ; c'est notre père nourricier.  Qu'il entre, en payant, s'entend. À bas, coquin. Le Parterre, habillé de diverses façons, ayant plusieurs têtes, un grand sifflet à son côté et d'autres à sa ceinture, prend Roquillard par le bras et le jette par terre."")","('#le-sacrificateur', 'Le monstre redouble sa rage. Le voilà qui vient, sauvez-vous. Pasquariel se change en monstre. Arlequin jette son manteau royal, et paraît monté sur un cheval ailé, combat le monstre, et après un jeu de culbutes, la scène finit.')",0.81,Substitution
285,"('#roquillard', 'Le Parterre a le ton impératif.')",,1.0,Insertion
286,"('#le-parterre', ""Qui vous fait si téméraire, mon ami, d'usurper ma juridiction ?  Ne savez-vous pas que je suis seul juge, et en dernier ressort, des comédiens et des comédies ?  Voilà avec quoi je prononce mes arrêts. Il donne un coup de sifflet."")",,1.0,Insertion
287,"('#le-comedien-français', ""Prends un siège, Parterre, prends, et sur toute chose, N'écoute point la brigue en jugeant notre cause : Prête, sans nous troubler, l'oreille à nos discours ; D'aucun coup de sifflet n'en interromps le cours. On apporte un fauteuil au Parterre."")",,1.0,Insertion
288,"('#le-parterre', ""Tu te moques, mon ami ; le Parterre ne s'assied point.  Je ne suis pas un juge à l'ordinaire ; et de peur de m'endormir à l'audience, j'écoute debout."")",,1.0,Insertion
289,"('#colombine', ""Le style impérial, l'attitude romaine et le clinquant héroïque de ce déclamateur, pourraient m'alarmer, si je parlais devant un juge moins éclairé que Son Excellence Monseigneur le Parterre."")",,1.0,Insertion
290,"('#le-comedien-français', ""Ah, ah !  Son Excellence !  Monseigneur !  Ah !  Voilà bien les Italiens, qui tâchent d'amadouer l'auditeur dans un prologue, et font amende honorable pour demander grâce au Parterre."")","('#arlequin', ""Voilà qui est fait, je vais avec vous autres. Allons jouer l'opéra aux vendanges. Prenons auparavant congé de ces messieurs. Il montre les auditeurs. Ici tous les violons jouent, et tous les comédiens chantent ce qui suit. "")",0.47,Substitution
291,"('#le-parterre', ""Ils ont beau faire, ils n'en sont pas quittes à meilleur marché que les Français : mes instruments à vent vont toujours leur train."")",,1.0,Insertion
292,"('#colombine', ""Non, ce n'est point la flatterie qui me dénoue .la langue ; je rends seulement les hommages dûs à ce souverain plénipotentiaire : c'est l'éperon des auteurs, le frein des comédiens, le contrôleur des bancs du théâtre, I'inspecteur et le curieux examinateur des hautes et basses loges : et de tout ce qui se passe en icelles ; en un mot, c'est un juge incorruptible, qui, bien loin de prendre de l'argent pour juger, commence par en donner à la porte de l'audience."")",,1.0,Insertion
293,"('#le-parterre', ""Hélas !  Je n'ai pas seulement mes buvettes franches ; demandez-le plutôt à la limonadière."")",,1.0,Insertion
294,"('#colombine', ""Néron, empereur et comédien italien, fait assez voir la prééminence dont il est question.  Tout le monde sait qu'il courut la Grèce dans une de nos troupes, et l'histoire ne fait point mention qu'il ait jamais monté sur le théâtre du faubourg Saint-Germain."")",,1.0,Insertion
295,"('#le-comedien-français', ""Néron ?  Voilà encore un plaisant farceur !  Nous ne l'aurions jamais reçu dans notre troupe.  Il était trop cruel, et on n'est pas accoutumé à trouver de la cruauté sur nos théâtres."")",,1.0,Insertion
296,"('#le-parterre', ""Si ce n'est à l'Opéra."")","('#arlequin', 'Adieu théâtre, adieu balcons.  Adieu loges, adieu parterre.')",1.16,Substitution
297,"('#colombine', ""En effet, pour donner à l'univers un comédien italien, il faut que la nature fasse des efforts extraordinaires.  Un bon Arlequin est naturae laborantis opus ; elle fait sur lui un épanchement de tous ses trésors ; à peine a-t-elle assez d'esprit pour animer son ouvrage.  Mais pour des comédiens français, la nature les fait en dormant ; elle les forme de la même pâte dont elle fait les perroquets, qui ne disent que ce qu'on leur apprend par coeur : au lieu qu'un italien tire tout de son propre fonds, n'emprunte l'esprit de personne pour parler ; semblable à ces rossignols éloquents, qui varient leurs ramages suivant leurs différents caprices."")",,1.0,Insertion
298,"('#le-comedien-français', ""Vous les rossignols !  Ma foi, vous n'êtes tout au plus que des merles, que le Parterre prend soin de siffler tous les jours."")","('#leandre', 'Adieu fillettes et garçons,  Plus assidus que père et mère. ')",1.7,Substitution
299,"('#le-parterre', ""Cela n'est pas vrai.  Les Italiens me donnent le mardi et le vendredi pour me reposer ; mais chez les Français, je n'ai pas un jour pour reprendre mon haleine."")",,1.0,Insertion
300,"('#colombine', ""Si l'on regarde I'intérêt, qui est le seul point de vue dans les mariages d'aujourd'hui, un comédien italien l'emportera toujours sur un français.  Il fait moins de dépense en habits, sa part est plus grosse, et il ne faut quelquefois qu'une médiocre comédie pour faire rouler toute l'année un comédien italien"")",,1.0,Insertion
301,"('#le-comedien-français', ""Je le crois bien : il est aisé de rouler quand on n'a qu'une moitié de carrosse à entretenir."")",,1.0,Insertion
302,"('#colombine', 'Nos équipages seraient aussi superbes que les vôtres, si nous voulions faire des exactions sur le public, et mettre, comme vous, nos premières représentations au double.')",,1.0,Insertion
303,"('#le-comedien-français', ""Est-ce qu'un bourgeois doit plaindre trente sous pour être logé pendant deux heures dans l'hôtel le plus magnifique et le plus doré qui soit à Paris ?"")","('#colombine', 'Dieu bons bourgeois de Paris  Qui veniez nous voir le dimanche.')",1.19,Substitution
304,"('#colombine', ""Hé !  Ne nous vantez pas tant les magnificences de votre hôtel : votre théâtre, environné d'une grille de fer, ressemble plutôt à une prison qu'à un lieu de plaisir.  Est-ce pour la sûreté des jeunes gens qui sortent de la Cornemuse ou de chez Rousseau, et pour les empêcher de se jeter dans le parterre, que vous mettez des garde-fous devant eux ?  Les Italiens donnent un champ libre sur la scène à tout le monde ; l'officier vient jusque sur le bord du théâtre, étaler impunément aux yeux du marchand la dorure qu'il lui doit encore ; l'enfant de famille, sur les frontières de l'orchestre, fait la moue à l'usurier qui ne saurait lui demander ni le principal, ni les intérêts ; le fils, mêlé avec les acteurs, rit de voir son père avaricieux faire le pied de grue dans le parterre, pour lui laisser quinze sous de plus après sa mort.  Enfin le théâtre italien est le centre de la liberté, la source de la joie, l'asile des chagrins domestiques ; et quand on voit un homme à l'hôtel de Bourgogne, on peut dire qu'il a laissé tout son chagrin chez lui, pourvu qu'il y ait laissé sa femme."")",,1.0,Insertion
305,"('#le-parterre', ""J'en connais qui laissent quelquefois leurs femmes seules au logis, et qui les retrouvent ici en fort bonne compagnie."")","('#mezzetin', 'Adieu femmes, dont les maris  Trouvaient ici leurs places franches. ')",0.87,Substitution
306,"('#colombine', ""Le tout mûrement considéré, je conclus qu'un comédien italien est préférable, par toutes sortes de raisons, à un comédien français."")",,1.0,Insertion
307,"('#le-comedien-français', ""Je déclame pour maître Titus de la Discorde, comédien d'heureuse mémoire, chevalier, seigneur du Cid, baron de Bérénice, Phèdre, Iphigénie, et autres pièces de sa dépendance ; Français de nation, Grec ou Romain de profession."")",,1.0,Insertion
308,"('#le-parterre', ""Voilà de belles qualités ; mais par malheur elles ne paraissent qu'aux chandelles, et s'en vont en fumée sitôt qu'elles sont éteintes."")",,1.0,Insertion
309,"('#le-comedien-français', ""Cicéron dans son opinion pro Roscio Amerino comoedo, compare une troupe de comédiens à un coche attelé de différents animaux.  Le cheval veut aller à droite, l'âne à gauche, le boeuf tire à plein collier, tandis que la mule rétive et malicieuse s'arrête tout court."")",,1.0,Insertion
310,"('#le-parterre', 'Et moi, je suis le charretier qui fouette ceux qui ne tirent pas propos. Il fait aller son sifflet.')","('#la-chanteuse', 'Adieu grands et petits collets,  Adieu gens de robe et finance.')",1.3,Substitution
311,"('#le-comedien-français', ""Qui peut douter, messieurs, que cette peinture ne représente au naturel l'attelage des comédiens italiens ?  Cicéron était Italien, il n'y avait point encore de comédiens français dans la république romaine ; ergo, voilà ces boeufs, ces ânes et ces mules dont le prince de l'éloquence a voulu parler."")",,1.0,Insertion
312,"('#colombine', 'Cela est faux.  La mule est un animal stérile, et .tout le monde sait que Marinette et Colombine ont des enfants tous les neuf mois. ')",,1.0,Insertion
313,"('#le-parterre', 'Exemplum ut talpa.')",,1.0,Insertion
314,"('#le-comedien-français', ""Qu'est-ce qu'un comédien italien ?  Un oiseau de passage, un étourneau qui vient s'engraisser en France ; un vagabond sans feu ni lieu, et sans parents."")",,1.0,Insertion
315,"('#colombine', ""Sans parents ?  Rayez cela de vos papiers.  Il n'y a point de comédien italien qui n'ait fait des alliances dans tous les quartiers de Paris."")",,1.0,Insertion
316,"('#le-comedien-français', ""Ces alliances-là ne lui donnent pas le droit de bourgeoisie : il faut avoir, comme les Français, pignon sur rue, un hôtel magnifique, bâti de leurs deniers, ou de ceux qu'ils ont empruntés.  C'est un héritage hypothécable, une vigne qui n'est point sujette à la grêle, un champ fertile où pour quelques paroles semées à tort et à travers, on recueille tous les jours de l'argent comptant."")",,1.0,Insertion
317,"('#le-parterre', ""Cette hypothèque-là est bien casuelle.  Il ne faut que le mauvais vent d'un sifflet pour envoyer la récolte à tous les diables."")","('#pierrot', 'Vous pouvez vendre vos sifflets,  À tous les chaudronniers de France.')",1.28,Substitution
318,"('#le-comedien-français', ""Quand un comédien français n'aurait pour tout bien que sa seule garde-robe, il serait plus riche que toute l'Italie ensemble, et trouvera toujours une ressource chez le fripier.  Le moindre petit confident a de quoi habiller, dans un jour de triomphe, toute la république romaine."")",,1.0,Insertion
319,"('#colombine', ""Cela est vrai.  Mais si tous les marchands à qui ils doivent leur tiraient chacun leurs plumes, ils feraient le rôle de la corneille d'Ésope, et seraient obligés de jouer les empereurs en pinchina."")",,1.0,Insertion
320,"('#le-comedien-français', ""Je tombe d'accord que l'on doit quelque petite chose dans la rue Saint-Honoré ; mais une part entière bouche bien des trous, et trente ou quarante ans de service acquittent plus de la moitié des dettes d'un comédien."")",,1.0,Insertion
321,"('#le-parterre', 'On ne devrait pas faire crédit à ces messieurs-là.  Ils me font toujours payer comptant, et ne me rendent jamais juste la passe de ma pièce de quinze sols.')",,1.0,Insertion
322,"('#le-comedien-français', ""Paraissez, Navarrais, Maures et Castillans, Et tout ce que l'Espagne a nourri de vaillants. N'allons pas plus avant ; demeurons, chère OEnone ; Je ne me soutiens plus, la force m'abandonne ; Mes yeux sont éblouis du jour que je revois ; Et mes genoux tremblants se dérobent sous moi. Peut-on faire quelque parallèle entre le mérite d'un comédien français et celui d'un comédien italien ?  Le premier est le maître des passions ; c'est le balancier qui fait mouvoir tous les ressorts de l'âme ; c'est un vieux fiacre routiné, qui tient à la main les rênes des passions : tantôt, faisant claquer son fouet, il excite le trouble et la terreur : Veut-il inspirer la pitié ; il arrête sur le cul ses rosses fatiguées : Voilà ce qui s'appelle retourner un coeur comme une omelette ; et pour faire naître tant de différents mouvements dans l'âme des auditeurs, il faut qu'un comédien français soit un Protée qui change de face à tout moment, et qu'il ait l'art de peindre toutes les passions sur son visage."")","('#arlequin', ""Revenez tous encor demain,  Voir partir la troupe dolente.  Plus le parterre sera plein,  Plus la chose sera touchante.  Avant de nous séparer,  J'ai bien des choses à vous dire.  Si notre adieu vous fait pleurer,  Votre argent nous fera bien rire. "")",0.82,Substitution
323,"('#colombine', 'Je ne sais quelle couleur les passions prennent sur le visage de vos comédiens ; mais sur celui de vos comédiennes, elles sont toutes peintes en rouge.')",,1.0,Insertion
324,"('#le-parterre', ""Je crois que les deux troupes se servent du même peintre ; c'est à peu près la même manière."")",,1.0,Insertion
325,"('#le-comedien-français', ""Quae cum ita sint, je conclus que Roquillard est un sot, s'il ne marie sa fille à la Discorde.  En la donnant à un comédien italien, il lui donne tout au plus un homme.  Arlequin est toujours Arlequin ; le Docteur toujours le Docteur : au lieu qu'un comédien français est un mari en plusieurs hommes ; tantôt homme de robe et tantôt homme de guerre, aujourd'hui César et demain Mascarille.  Ah !  Que c'est un grand plaisir pour une femme de tâter un peu de tout, et de pouvoir mettre un mari à toutes sauces !  Finis coronat opus."")",,1.0,Insertion
326,"('#le-parterre', ""Pour reconnaître en quelque façon le désintéressement de la troupe italienne, qui ne m'a jamais fait payer que quinze sous, et qui m'a donné la comédie gratis à la prise de Namur, j'ordonne qu'Octave épousera Isabelle."")",,1.0,Insertion
327,"('#le-comedien-français', ""O tempora ! O mores !  J'appelle de ce jugement-là aux loges."")",,1.0,Insertion
328,"('#le-parterre', 'Mes jugements sont sans appel.')",,1.0,Insertion
