,la-fontaine-daphne,moliere-psyche,Cost,Operation Type
159,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")","('#agenor', ""Rien ne s'offre à nos yeux encor qui les étonne, Et quand vous vous peignez un si proche trépas, Si la force vous abandonne, Nous avons des coeurs et des bras Que l'espoir n'abandonne pas. Peut-être qu'un rival a dicté cet Oracle, Que l'or a fait parler celui qui l'a rendu : Ce ne serait pas un miracle, Que pour Dieu muet un homme eût répondu, Et dans tous les climats on n'a que trop d'exemples Qu'il est ainsi qu'ailleurs des méchants dans les temples."")",1.19,Substitution
160,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#cleomene', ""Laissez-nous opposer au lâche ravisseur, À qui le sacrilège indignement vous livre, Un amour qu'a le Ciel choisi pour défenseur De la seule beauté pour qui nous voulons vivre. Si nous n'osons prétendre à sa possession, Du moins en son péril permettez-nous de suivre L'ardeur et les devoirs de notre passion."")",0.71,Substitution
161,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#psyche', ""Portez-les à d'autres moi-mêmes, Princes, portez-les à mes Soeurs Ces devoirs, ces ardeurs extrêmes Dont pour moi sont remplis vos coeurs, Vivez pour elles quand je meurs, Plaignez de mon destin les funestes rigueurs, Sans leur donner en vous de nouvelles matières. Ce sont mes volontés dernières, Et l'on a reçu de tout temps Pour souveraines lois les ordres des mourants."")",0.21,Substitution
162,"('#tharsis', 'Je vous verrai.')","('#cleomene', 'Princesse...')",1.13,Substitution
163,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#psyche', ""Encore un coup, Princes, vivez pour elles, Tant que vous m'aimerez, vous devez m'obéir ; Ne me réduisez pas à vouloir vous haïr, Et vous regarder en rebelles, À force de m'être fidèles. Allez, laissez-moi seule expirer en ce lieu, Où je n'ai plus de voix que pour vous dire adieu. Mais je sens qu'on m'enlève, et l'air m'ouvre une route D'où vous n'entendrez plus cette mourante voix, Adieu, Princes, adieu pour la dernière fois, Voyez si de mon sort vous pouvez être en doute. Elle est enlevée en l'air par deux Zéphyrs."")",0.44,Substitution
164,,"('#agenor', 'Nous la perdons de vue, allons tous deux chercher Sur le faîte de ce rocher, Prince, les moyens de la suivre.')",1.0,Deletion
165,,"('#cleomene', 'Allons-y chercher ceux de ne lui point survivre.')",1.0,Deletion
166,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#l-amour', ""Allez mourir, rivaux d'un dieu jaloux, Dont vous méritez le courroux, Pour avoir eu le coeur sensible aux mêmes charmes, Et toi, forge, Vulcain, mille brillants attraits Pour orner un palais Où l'Amour de Psyché veut essuyer les larmes, Et lui rendre les armes."")",0.54,Substitution
167,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#vulcain', ""Dépêchez, préparez ces lieux Pour le plus aimable des Dieux, Que chacun pour lui s'intéresse, N'oubliez rien des soins qu'il faut : Quand l'Amour presse, On n'a jamais fait assez tôt. L'Amour ne veut point qu'on diffère, Travaillez, hâtez-vous, Frappez, redoublez vos coups ; Que l'ardeur de lui plaire Fasse vos soins le plus doux. Servez bien un dieu si charmant, Il se plaît dans l'empressement. Que chacun pour lui s'intéresse, N'oubliez rien des soins qu'il faut : Quand l'Amour presse, On n'a jamais fait assez tôt. L'Amour ne veut point qu'on diffère, Travaillez, etc. SECOND COUPLET."")",0.16,Substitution
168,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",,1.0,Insertion
169,"('#telamon', 'Ceci vous trouble et vous étonne.')","('#zephyr', ""Oui, je me suis galamment acquitté De la commission que vous m'avez donnée, Et du haut du rocher je l'ai, cette beauté, Par le milieu des airs doucement amenée Dans ce beau palais enchanté, Où vous pouvez en liberté Disposer de sa destinée : Mais vous me surprenez par ce grand changement Qu'en votre personne vous faites ; Cette taille, ces traits, et cet ajustement, Cachent tout à fait qui vous êtes, Et je donne aux plus fins à pouvoir en ce jour Vous reconnaître pour l'Amour."")",1.09,Substitution
170,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#l-amour', ""Aussi, ne veux-je pas qu'on puisse me connaître, Je ne veux à Psyché découvrir que mon coeur, Rien que les beaux transports de cette vive ardeur Que ses doux charmes y font naître ; Et pour en exprimer l'amoureuse langueur, Et cacher ce que je puis être Aux yeux qui m'imposent des lois, J'ai pris la forme que tu vois."")",0.19,Substitution
171,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#zephyr', ""En tout vous êtes un grand maître, C'est ici que je le connais. Sous des déguisements de diverse nature On a vu les Dieux amoureux Chercher à soulager cette douce blessure Que reçoivent les coeurs de vos traits pleins de feux ; Mais en bon sens vous l'emportez sur eux, Et voilà la bonne figure Pour avoir un succès heureux, Près de l'aimable sexe où l'on porte ses voeux. Oui, de ces formes-là l'assistance est bien forte, Et sans parler ni de rang, ni d'esprit, Qui peut trouver moyen d'être fait de la sorte, Ne soupire guère à crédit."")",0.64,Substitution
172,,"('#l-amour', ""J'ai résolu, mon cher Zéphyr, De demeurer ainsi toujours, Et l'on ne peut le trouver à redire À l'aîné de tous les Amours. Il est temps de sortir de cette longue enfance Qui fatigue ma patience, Il est temps désormais que je devienne grand."")",1.0,Deletion
173,,"('#zephyr', ""Fort bien, vous ne pouvez mieux faire, Et vous entrez dans un mystère Qui ne demande rien d'enfant."")",1.0,Deletion
174,,"('#l-amour', 'Ce changement sans doute irritera ma mère.')",1.0,Deletion
175,"('#tharsis', 'Tu ris.')",,1.0,Insertion
176,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#zephyr', ""Je prévois là-dessus quelque peu de colère. Bien que les disputes des ans Ne doivent point régner parmi des Immortelles, Votre Mère Vénus est de l'humeur des Belles Qui n'aiment point de grands enfants. Mais où je la trouve outragée, C'est dans le procédé que l'on vous voit tenir, Et c'est l'avoir étrangement vengée, Que d'aimer la beauté qu'elle voulait punir. Cette haine où ses voeux prétendent que réponde La puissance d'un fils que redoutent les Dieux..."")",0.18,Substitution
177,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")","('#l-amour', ""Laissons cela, Zéphyr, et me dis si tes yeux Ne trouvent pas Psyché la plus belle du monde ? Est-il rien sur la Terre, est-il rien dans les Cieux, Qui puisse lui ravir le titre glorieux De beauté sans seconde ? Mais je la vois, mon cher Zéphyr, Qui demeure surprise à l'éclat de ces lieux."")",1.61,Substitution
178,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#zephyr', ""Vous pouvez vous montrer pour finir son martyre, Lui découvrir son destin glorieux, Et vous dire entre vous tout ce que peuvent dire Les soupirs, la bouche, et les yeux. En confident discret je sais ce qu'il faut faire Pour ne pas interrompre un amoureux mystère."")",0.31,Substitution
179,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",,1.0,Insertion
180,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")","('#psyche', ""Où suis-je ? Et dans un lieu que je croyais barbare, Quelle savante main a bâti ce palais, Que l'Art, que la Nature pare De l'assemblage le plus rare Que l'oeil puisse admirer jamais ? Tout rit, tout brille, tout éclate, Dans ces jardins, dans ces appartements, Dont les pompeux ameublements N'ont rien qui n'enchante et ne flatte ; Et de quelque côté que tournent mes frayeurs, Je ne vois sous mes pas que de l'or, ou des fleurs. Le Ciel aurait-il fait cet amas de merveilles Pour la demeure d'un serpent ? Et lorsque par leur vue il amuse et suspend De mon destin jaloux les rigueurs sans pareilles, Veut-il montrer qu'il s'en repent ? Non, non, c'est de sa haine en cruautés féconde Le plus noir, le plus rude trait, Qui par une rigueur nouvelle et sans seconde N'étale ce choix qu'elle a fait De ce qu'a de plus beau le Monde, Qu'afin que je le quitte avec plus de regret. Que mon espoir est ridicule, S'il croit par là soulager mes douleurs ! Tout autant de moments que ma mort se recule, Sont autant de nouveaux malheurs, Plus elle tarde, et plus de fois je meurs. Ne me fais plus languir, viens prendre ta victime, Monstre qui dois me déchirer ; Veux-tu que je te cherche, et faut-il que j'anime Tes fureurs à me dévorer ? Si le Ciel veut ma mort, si ma vie est un crime, De ce peu qui m'en reste ose enfin t'emparer, Je suis lasse de murmurer Contre un châtiment légitime, Je suis lasse de soupirer, Viens, que j'achève d'expirer."")",0.23,Substitution
181,,"('#l-amour', ""Le voilà ce serpent, ce monstre impitoyable, Qu'un Oracle étonnant pour vous a préparé, Et qui n'est pas peut-être à tel point effroyable Que vous vous l'êtes figuré."")",1.0,Deletion
182,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')","('#psyche', ""Vous, Seigneur, vous seriez ce monstre dont l'oracle A menacé mes tristes jours, Vous qui semblez plutôt un Dieu qui par miracle Daigne venir lui-même à mon secours !"")",1.58,Substitution
183,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",,1.0,Insertion
184,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#l-amour', ""Quel besoin de secours au milieu d'un Empire, Où tout ce qui respire N'attend que vos regards pour en prendre la loi, Où vous n'avez à craindre autre monstre que moi ?"")",0.83,Substitution
185,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#psyche', ""Qu'un monstre tel que vous inspire peu de crainte ! Et que s'il a quelque poison, Une âme aurait peu de raison De hasarder la moindre plainte, Contre une favorable atteinte Dont tout le coeur craindrait la guérison ! À peine je vous vois, que mes frayeurs cessées Laissent évanouir l'image du trépas, Et que je sens couler dans mes veines glacées Un je ne sais quel feu que je ne connais pas. J'ai senti de l'estime et de la complaisance, De l'amitié, de la reconnaissance, De la compassion les chagrins innocents M'en ont fait sentir la puissance, Mais je n'ai point encore senti ce que je sens. Je ne sais ce que c'est, mais je sais qu'il me charme ; Que je n'en conçois point d'alarme ; Plus j'ai les yeux sur vous, plus je m'en sens charmée : Tout ce que j'ai senti n'agissait point de même, Et je dirais que je vous aime, Seigneur, si je savais ce que c'est que d'aimer. Ne les détournez point, ces yeux qui m'empoisonnent, Ces yeux tendres, ces yeux perçants, mais amoureux, Qui semblent partager le trouble qu'ils me donnent. Hélas ! Plus ils sont dangereux, Plus je me plais à m'attacher sur eux. Par quel ordre du Ciel que je ne puis comprendre Vous dis-je plus que je ne dois, Moi de qui la pudeur devrait du moins attendre Que vous m'expliquassiez le trouble où je vous vois ? Vous soupirez, Seigneur, ainsi que je soupire, Vos sens comme les miens paraissent interdits, C'est à moi de m'en taire, à vous de me le dire, Et cependant c'est moi qui vous le dis."")",0.6,Substitution
186,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#l-amour', ""Vous avez eu, Psyché, l'âme toujours si dure, Qu'il ne faut pas vous étonner, Si, pour en réparer l'injure L'Amour en ce moment se paye avec usure De ceux qu'elle a dû lui donner. Ce moment est venu qu'il faut que votre bouche Exhale des soupirs si longtemps retenus, Et qu'en vous arrachant à cette humeur farouche, Un amas de transports aussi doux qu'inconnus Aussi sensiblement tout à la fois vous touche, Qu'ils ont dû vous toucher durant tant de beaux jours Dont cette âme insensible a profané le cours."")",0.15,Substitution
187,,"('#psyche', ""N'aimer point, c'est donc un grand crime !"")",1.0,Deletion
188,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')","('#l-amour', 'En souffrez-vous un rude châtiment ?')",0.68,Substitution
189,"('#penee', 'Laissez-nous achever cette cérémonie.')","('#psyche', ""C'est punir assez doucement."")",1.77,Substitution
190,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#l-amour', ""C'est lui choisir sa peine légitime, Et se faire justice en ce glorieux jour D'un manquement d'amour, par un excès d'amour."")",0.7,Substitution
191,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#psyche', ""Que n'ai-je été plus tôt punie ! J'y mets le bonheur de ma vie, Je devrais en rougir, ou le dire plus bas, Mais le supplice a trop d'appas : Permettez que tout haut je le die et redie, Je le dirais cent fois et n'en rougirais pas. Ce n'est point moi qui parle, et de votre présence L'empire surprenant, l'aimable violence, Dès que je veux parler, s'empare de ma voix. C'est en vain qu'en secret ma pudeur s'en offense, Que le sexe et la bienséance Osent me faire d'autres lois ; Vos yeux de ma réponse eux-mêmes font le choix, Et ma bouche asservie à leur toute-puissance Ne me consulte plus sur ce que je me dois."")",0.02,Substitution
192,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",,1.0,Insertion
193,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
194,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#l-amour', ""Croyez, belle Psyché, croyez ce qu'ils vous disent. Ces yeux, qui ne sont point jaloux, Qu'à l'envi les vôtres m'instruisent De tout ce qui se passe en vous. Croyez-en ce coeur qui soupire, Et qui, tant que le vôtre y voudra répartir, Vous dira bien plus d'un soupir Que cent regards ne peuvent dire. C'est le langage le plus doux, C'est le plus fort, c'est le plus sûr de tous."")",0.63,Substitution
195,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#psyche', ""L'intelligence en était due À nos coeurs, pour les rendre également contents : J'ai soupiré, vous m'avez entendue ; Vous soupirez, je vous entends. Mais ne me laissez plus en doute, Seigneur, et dites-moi si par la même route Après moi le Zéphyr ici vous a rendu Pour me dire ce que j'écoute. Quand j'y suis arrivée, étiez-vous attendu ? Et quand vous lui parlez, êtes-vous entendu ?"")",1.19,Substitution
196,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#l-amour', ""J'ai dans ce doux climat un souverain empire, Comme vous l'avez sur mon coeur : L'Amour m'est favorable, et c'est en sa faveur Qu'à mes ordres Éole a soumis le Zéphyr. C'est l'Amour qui pour voir mes feux récompensés Lui-même a dicté cet Oracle, Par qui vos beaux jours menacés D'une foule d'amants se sont débarrassés, Et qui m'a délivré de l'éternel obstacle De tant de soupirs empressés, Qui ne méritaient pas de vous être adressés. Ne me demandez point quelle est cette province, Ni le nom de son Prince, Vous le saurez quand il en sera temps : Je veux vous acquérir, mais c'est par mes services, Par des soins assidus, et par des voeux constants, Par les amoureux sacrifices De tout ce que je suis, De tout ce que je puis, Sans que l'éclat du rang pour moi vous sollicite, Sans que de mon pouvoir je me fasse un mérite ; Et bien que souverain dans cet heureux séjour, Je ne vous veux, Psyché, devoir qu'à mon amour. Venez en admirer avec moi les merveilles, Princesse, et préparez vos yeux et vos oreilles À ce qu'il a d'enchantements. Vous y verrez des bois et des prairies Contester sur leurs agréments Avec l'or et les pierreries ; Vous n'entendrez que des concerts charmants, De cent beautés vous y serez servie, Qui vous adoreront sans vous porter envie, Et brigueront à tous moments D'une âme soumise et ravie L'honneur de vos commandements."")",0.08,Substitution
197,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#psyche', ""Mes volontés suivent les vôtres, Je n'en saurais plus avoir d'autres ; Mais votre Oracle enfin vient de me séparer De deux soeurs, et du Roi mon Père, Que mon trépas imaginaire Réduit tous trois à me pleurer. Pour dissiper l'erreur dont leur âme accablée De mortels déplaisirs se voit pour moi comblée, Souffrez que mes Soeurs soient témoins Et de ma gloire et de vos soins. Prêtez-leur comme à moi les ailes du Zéphyr, Qui leur puissent de votre Empire Ainsi qu'à moi faciliter l'accès ; Faites-leur voir en quels lieux je respire, Faites-leur de ma perte admirer le succès."")",0.38,Substitution
198,"('#telamon', ""N'en saurai-je pas plus ?"")",,1.0,Insertion
199,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
200,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#l-amour', ""Vous ne me donnez pas, Psyché, toute votre âme : Ce tendre souvenir d'un père et de deux soeurs Me vole une part des douceurs Que je veux toutes pour ma flamme. N'ayez d'yeux que pour moi, qui n'en ai que pour vous, Ne songez qu'à m'aimer, ne songez qu'à me plaire, Et quand de tels soucis osent vous en distraire..."")",0.48,Substitution
201,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#psyche', 'Des tendresses du sang peut-on être jaloux ?')",1.76,Substitution
202,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#l-amour', ""Je le suis, ma Psyché, de toute la Nature. Les rayons du soleil vous baisent trop souvent, Vos cheveux souffrent trop les caresses du vent ; Dès qu'il les flatte, j'en murmure : L'air même que vous respirez, Avec trop de plaisir passe par votre bouche ; Votre habit de trop près vous touche ; Et sitôt que vous soupirez, Je ne sais quoi qui m'effarouche Craint parmi vos soupirs des soupirs égarés. Mais vous voulez vos soeurs, allez, partez, Zéphyr, Psyché le veut, je ne l'en puis dédire. Quand vous leur ferez voir ce bienheureux séjour, De ses trésors faites-leur cent largesses, Prodiguez-leur caresses sur caresses, Et du sang, s'il se peut, épuisez les tendresses, Pour vous rendre toute à l'amour. Je n'y mêlerai point d'importune présence, Mais ne leur faites pas de si longs entretiens ; Vous ne sauriez pour eux avoir de complaisance, Que vous ne dérobiez aux miens. Le Zéphyr s'envole."")",0.59,Substitution
203,,"('#psyche', ""Votre amour me fait une grâce Dont je n'abuserai jamais."")",1.0,Deletion
204,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#l-amour', ""Allons voir cependant ces jardins, ce palais, Où vous ne verrez rien que votre éclat n'efface. Et vous, petits Amours, et vous jeunes Zéphyrs, Qui pour âmes n'avez que de tendres soupirs, Montrez tous à l'envi ce qu'à voir ma Princesse Vous avez senti d'allégresse."")",0.9,Substitution
205,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#aglaure', ""Je n'en puis plus, ma Soeur, j'ai vu trop de merveilles, L'avenir aura peine à les bien concevoir ; Le soleil qui voit tout, et qui nous fait tout voir, N'en a vu jamais de pareilles. Elles me chagrinent l'esprit ; Et ce brillant palais, ce pompeux équipage, Font un odieux étalage Qui m'accable de honte autant que de dépit. Que la Fortune indignement nous traite, Et que sa largesse indiscrète Prodigue aveuglément, épuise, unit d'efforts, Pour faire de tant de trésors Le partage d'une cadette !"")",0.4,Substitution
206,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#cidippe', ""J'entre dans tous vos sentiments, J'ai les mêmes chagrins, et dans ces lieux charmants Tout ce qui vous déplaît me blesse ; Tout ce que vous prenez pour un mortel affront, Comme vous m'accable, et me laisse L'amertume dans l'âme, et la rougeur au front."")",0.38,Substitution
207,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#aglaure', ""Non, ma Soeur, il n'est point de reines, Qui dans leur propre État parlent en souveraines, Comme Psyché parle en ces lieux. On l'y voit obéie avec exactitude, Et de ses volontés une amoureuse étude Les cherche jusque dans ses yeux. Mille beautés s'empressent autour d'elle, Et semblent dire à nos regards jaloux, Quels que soient nos attraits, elle est encor plus belle, Et nous qui la servons, le sommes plus que vous. Elle prononce, on exécute, Aucun ne s'en défend, aucun ne s'en rebute : Flore, qui s'attache à ses pas, Répand à pleines mains autour de sa personne Ce qu'elle a de plus doux appas, Zéphyr vole aux ordres qu'elle donne, Et son amante et lui s'en laissant trop charmer, Quittent pour la servir les soins de s'entr'aimer."")",0.11,Substitution
208,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#cidippe', ""Elle a des Dieux à son service, Elle aura bientôt des autels ; Et nous ne commandons qu'à de chétifs mortels, De qui l'audace et le caprice Contre nous à toute heure en secret révoltés, Opposent à nos volontés Ou le murmure, ou l'artifice."")",0.19,Substitution
209,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')","('#aglaure', ""C'était peu que dans notre Cour Tant de coeurs à l'envi nous l'eussent préférée ; Ce n'était pas assez que de nuit et de jour D'une foule d'amants elle y fût adorée : Quand nous nous consolions de la voir au tombeau Par l'ordre imprévu d'un Oracle, Elle a voulu de son destin nouveau Faire en notre présence éclater le miracle, Et choisi nos yeux pour témoins De ce qu'au fond du coeur nous souhaitions le moins."")",1.18,Substitution
210,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#cidippe', ""Ce qui le plus me désespère, C'est cet amant parfait et si digne de plaire, Qui se captive sous ses lois. Quand nous pourrions choisir entre tous les monarques, En est-il un de tant de rois Qui porte de si nobles marques ? Se voir du bien par delà ses souhaits, N'est souvent qu'un bonheur qui fait des misérables : Il n'est ni train pompeux, ni superbes palais, Qui n'ouvrent quelque porte à des maux incurables ; Mais avoir un amant d'un mérite achevé, Et s'en voir chèrement aimée, C'est un bonheur si haut, si relevé, Que sa grandeur ne peut être exprimée."")",0.76,Substitution
211,"('#leucippe', 'Et mon bien ?')",,1.0,Insertion
212,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#aglaure', ""N'en parlons plus, ma Soeur, nous en mourrions d'ennui, Songeons plutôt à la vengeance, Et trouvons le moyen de rompre entre elle et lui Cette adorable intelligence. La voici. J'ai des coups tous prêts à lui porter, Qu'elle aura peine d'éviter."")",1.0,Substitution
213,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#psyche', ""Je viens vous dire adieu, mon amant vous renvoie, Et ne saurait plus endurer Que vous lui retranchiez un moment de la joie Qu'il prend de se voir seul à me considérer. Dans un simple regard, dans la moindre parole, Son amour trouve des douceurs, Qu'en faveur du sang je lui vole, Quand je les partage à des soeurs."")",0.68,Substitution
214,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#aglaure', ""La jalousie est assez fine, Et ses délicats sentiments Méritent bien qu'on s'imagine Que celui qui pour vous a ces empressements, Passe le commun des amants. Je vous en parle ainsi faute de le connaître. Vous ignorez son nom, et ceux dont il tient l'être, Nos esprits en sont alarmés : Je le tiens un grand prince, et d'un pouvoir suprême Bien au delà du diadème, Ses trésors sous vos pas confusément semés Ont de quoi faire honte à l'abondance même ; Vous l'aimez autant qu'il vous aime, Il vous charme, et vous le charmez ; Votre félicité, ma Soeur, serait extrême, Si vous saviez qui vous aimez."")",0.87,Substitution
215,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#psyche', ""Que m'importe : j'en suis aimée ; Plus il me voit, plus je lui plais ; Il n'est point de plaisirs dont l'âme soit charmée, Qui ne préviennent mes souhaits, Et je vois mal de quoi la vôtre est alarmée, Quand tout me sert dans ce palais."")",0.46,Substitution
