,archambault-ce-n-est-pas,archambault-janot-battus,Cost,Operation Type
273,"('#janot', ""Mam'selle Perrette, une petite blonde, où ce que tu lui verras des yeux dans la tête, avec un petit nez, qu'all' rit toujours, où ce que tu la reconnaîtras ben, va."")","('#le-clerc', 'Six francs !  Ah !  Voilà de quoi faire une belle plainte, bien nourrie même !')",1.29,Substitution
274,"('#dodinet', ""C'est bon, c'est bon : je trouverai ben, ne t'inquiète pas."")","('#ragot', 'Je le crais ben.  Ah !  Rendez-moi de bonnes pièces toujours.')",1.35,Substitution
275,"('#janot', ""Tu l'amèneras avec toi, et pendant c' temps-là, je vas chercher Mam'selle Courtois et mon lingot, et pis rendre l'habit à la comtesse, et pis je reviendrai vous trouver tout de suite.  Vous n'avez toujours qu'à boire et manger, tout le monde ?"")","('#le-clerc', ""N'ayez pas peur, allez, vous n'aurez pas de peine à passer celles que je vous rendrai.  Voilà votre compte.  Parlez, Monsieur."")",0.82,Substitution
276,"('#dodinet', ""Oui, oui. Ils s'en vont, l'un d'un côte, l'autre de l'autre."")","('#ragot', ""Imaginez-vous, Monsieur, que tout-à-l'heure on vient de me jeter par la fenêtre..."")",1.7,Substitution
277,"('#madame-ragot', ""Qu'est-ce que tu me ragotes là, toi, depis une heure, avec ton dîner au cabaret, pour une noce ?  Et de qui est c'te noce?  Voyons, de not' chat ?"")","('#le-clerc', ""Par la fenêtre !  Ah !  Monsieur, que me dites-vous là ?  Par la fenêtre !  Mais c'est une affaire criminelle que cela !"")",1.17,Substitution
278,,"('#ragot', 'Criminelle !  Ah !  Je vous en réponds, très criminelle !')",1.0,Deletion
279,,"('#le-clerc', ""Comment donc !  Criminelle au premier chef ; et vous venez vous plaindre criminellement, n'est-il pas vrai ?"")",1.0,Deletion
280,,"('#ragot', ""Oh oui !  Tout ce qu'il y a de plus criminellement...  Rendez-moi ça ben noir."")",1.0,Deletion
281,"('#ragot', ""Eh !  Non, ma femme : je vous dis, c'est d'un quéq'zun que..."")","('#le-clerc', 'Ne vous inquiétéz pas...  Mais écoutez donc, Monsieur.')",1.09,Substitution
282,,"('#ragot', 'Quoi ?')",1.0,Deletion
283,,"('#le-clerc', ""Une plainte criminelle, c'est beaucoup plus cher."")",1.0,Deletion
284,"('#madame-ragot', ""Eh ben !  Après ?  Est-ce qu'il n'a pas de nom ce quéq'zun que..."")","('#ragot', 'Comment donc ?')",1.01,Substitution
285,,"('#le-clerc', 'Oui, il faut encore trente-six sous.')",1.0,Deletion
286,,"('#ragot', 'Mais je viens de vous en donner vingt-quatre pour me plaindre.')",1.0,Deletion
287,"('#ragot', ""Si fait, si fait, Mme Ragot, mais c'est que i' m'a dit qu'i'..."")","('#le-clerc', ""Distinguons, Monsieur, ne confondons pas : il y a civil et criminel, voyez-vous, vous m'avez payé au civil ; mais vous vous plaignez au criminel : cela change la thèse."")",1.4,Substitution
288,,"('#ragot', ""Qu'eu chien d'arrangement !  C'est toujours une plainte."")",1.0,Deletion
289,,"('#le-clerc', ""Oui, mais concevez donc que l'une vous rapportera infinement plus que l'autre, et que cela se paye en proportion."")",1.0,Deletion
290,"('#madame-ragot', ""La peste t'étrangle avec tes cachotteries ; un quéq'zun que...  Qui m'a dit qu'i'...  Qui m'a dit quoi?...  Eh !  Qué que tu lui as répondu, toi?"")","('#ragot', ""Ah jarni !  Tout ça commence à me dégouter, moi ; mais c'est-ti ben sûr aussi que ça me rapportera ?"")",1.12,Substitution
291,"('#ragot', ""J'y ai répondu que vous y viendriez, comme de raison."")","('#le-clerc', 'Oh !  Sans doute, plus vous me donnerez, et...')",0.71,Substitution
292,,"('#ragot', ""Et moins il me r'stera, n'est-ce pas ?"")",1.0,Deletion
293,,"('#le-clerc', 'Non, et plus il vous rentrera.')",1.0,Deletion
294,"('#madame-ragot', ""Eh ben !  par où que c'est qu'i' faut donc passer ?  Ce cabaret, c'est-i' encore un mystère ?"")","('#ragot', ""Allons, pisque c'est comme ça, tenez, vlà encore les trente-six sous ; mais arrangez-moi ben ça au moins."")",1.26,Substitution
295,"('#simon', ""Allons, ma fille, redresse-toi : te v'là pas mal comme ça.  Quiens, prends-moi par le bras !  ça te donnera du maintien.  Ah !  C'est Monsieur et Madame Ragot.  Pardon, mon voisin, si je nous rencontrons à vous barrer une porte.  Vous alliez pour entrer, je crois ?"")","('#le-clerc', 'Oh !  Vous êtes tombé en bonnes mains !...  Dites-moi, avez-vous des témoins ?')",0.95,Substitution
296,"('#ragot', 'Et vous-même, M.  Simon, vous alliez faire un petit écot, pas vrai ?')","('#ragot', ""Pardine !  Si j'en ai : tout le quartier était là !  Et pis les passants, et pis Dodinet."")",1.32,Substitution
297,"('#simon', 'Je sommes de noce.')","('#le-clerc', 'Tant mieux !  Cela rend votre affaire bien meilleure ; il faudra les faire assigner.')",1.76,Substitution
298,,"('#ragot', 'Oui, il faut faire assigner toute la rue.')",1.0,Deletion
299,,"('#le-clerc', 'Oh !  pourvu que vous en ayez trois ou quatre, cela suffira...  Voyons, combien avez-vous encore là ?  Il regarde dans sa main.')",1.0,Deletion
300,,"('#ragot', ""C'est un p'tit écu, ça."")",1.0,Deletion
301,"('#ragot', ""Ah !  Queue rencontre !  Je venons aussi pour une noce d'accordailles.  Passez donc."")","('#le-clerc', ""Un petit écu, eh bien ?  C'est pour quatre assignations, il y en aura assez. Il serre l'écu."")",1.09,Substitution
302,"('#simon', 'Après vous, Monsieur Ragot.')",,1.0,Insertion
303,"('#ragot', 'Allez-vous faire des compliments ?')","('#ragot', ""Eh ben !  Qu'est-ce que vous faites ?  Et mon écu donc ?"")",1.21,Substitution
304,,"('#le-clerc', ""C'est pour payer l'huissier, ça."")",1.0,Deletion
305,"('#simon', 'Je ne passerons pas avant Mme Ragot. Ils font entrer les femmes.')","('#ragot', ""Comment diable !  Encore payer !  Oh !  Je n'entends pas ça, moi ; je ne donne pas st'écu-là."")",1.8,Substitution
306,"('#ragot', 'Mon voisin, vous permettez ?')","('#le-clerc', 'Et laissez donc, vous êtes comme un enfant, voulez-vous mener cela chaudement, ou non ?')",1.14,Substitution
307,"('#simon', ""Comment donc !  Trop d'honneur."")","('#ragot', 'Mais, mon argent, avec tout ça ?...')",1.55,Substitution
308,"('#perrette', ""Comment !  C'est de la part de ce Monsieur qui m'avait tant promis de choses, au sujet de mes mailles, quand j'en aurais."")","('#le-clerc', ""Eh bien, votre argent ?  Il n'est pas perdu, songez donc aux intérêts de cette affaire-là !...  Vous êtes trop heureux, en vérité !  Il y a vingt personnes qui voudraient être à votre place."")",1.84,Substitution
309,"('#dodinet', ""Oui : vous voyez qu'il est de parole.  En avez-vous à reprendre à c't' heure ci ?"")","('#ragot', 'Croyez-vous ?')",1.0,Substitution
310,,"('#le-clerc', ""Si je le crois !  Un homme qu'on a jeté par la fenêtre !  Cela peut aller furieusement loin !...  Et dites-moi, vous êtes vous fait bien du mal ?"")",1.0,Deletion
311,"('#perrette', 'Non, pas encore : je ne crois pas, du moins.')","('#ragot', 'Mal !  Non, pas du tout.')",0.6,Substitution
312,"('#dodinet', ""Ah !  Vous conservez ben vos affaires.  Depis le temps, y en a d'aucunes qui auraient été déjà ravaudées pus de quatre fois."")",,1.0,Insertion
313,"('#perrette', ""Eh !  C'est-i' ben loin que nous allons ?"")",,1.0,Insertion
314,"('#dodinet', ""Non : je nous y v'là devant la porte...  Et avez-vous songé à lui depuis que vous ne l'avez pas revu ?"")","('#le-clerc', 'Non !  Vous êtes donc tombé sur quelque chose ?')",1.36,Substitution
315,"('#perrette', ""Ma fine, j'avons été assez grondée par rapport à lui, pour m'en souvenir, qu'il m'a pensé faire mettre à la porte."")",,1.0,Insertion
316,"('#dodinet', ""Mais ne vous avait-i' pas promis quéque chose dans c' temps-là ?"")","('#ragot', ""Au contraire, c'est queuque chose qui est tombée sur moi."")",1.43,Substitution
317,,"('#le-clerc', ""Comment tombé sur vous !...  Et vous dites qu'on vous a jeté par la fenêtre."")",1.0,Deletion
318,"('#perrette', ""Bon !  les promesses que les garçons font aux filles, i' n'y a pas de fiate à y prendre : aussi, ça nous entre par une oreille et ça nous sort par l'autre."")","('#ragot', ""Moi !  Non pas, c'est une fille..."")",1.07,Substitution
319,"('#dodinet', ""Ah !  Mais, Mademoiselle, y a garçon et garçon.  Si vous vouliez, par exemple, je vous en ferais voir un, moi, que quand i' tient ce qu'i' promet, c'est qui ne manque jamais de parole, da."")","('#le-clerc', ""Une fille qu'on a jeté sur vous !"")",1.52,Substitution
320,,"('#ragot', ""Et non !  Ce n'est pas ça non plus."")",1.0,Deletion
321,"('#perrette', 'Ah !  Monsieur, ils sont rares ceux-là.')",,1.0,Insertion
322,"('#dodinet', ""Ah !  Mademoiselle, pas si rares que votre mérite n'en fasse ben retrouver quéque échantillon, et quand vous voudrez...  Mais entrons toujours, on nous attend, et tout en devisant, je vous ferai voir que gn'y en a tencore."")","('#le-clerc', ""Que diable dites-vous donc ?  Je n'y comprends rien."")",1.72,Substitution
323,,"('#ragot', ""Je vous dis que tout-à-l'heure, on m'a jeté par une fenêtre..."")",1.0,Deletion
324,"('#perrette', ""Monsieur, ça n'est pas de refus : quand i' s'en rencontre, ça' fait toujours plaisir.  C'est-i' là ?"")",,1.0,Insertion
325,"('#dodinet', 'Oui, Mademoiselle, au fond de la cour, n° 9 : À Belle-Vue.')","('#le-clerc', 'Bien haute ?')",1.6,Substitution
326,,"('#ragot', 'Oui, du troisième.')",1.0,Deletion
327,"('#perrette', ""Comment donc !  Mais c'est bon signe, Monsieur ; v'là une annonce qu'est heureuse."")","('#le-clerc', 'Eh !  Bon Dieu !  Vous devez être tout moulu ?')",1.26,Substitution
328,,"('#ragot', 'Eh non !  Je ne suis pas tombé, je vous dis.')",1.0,Deletion
329,"('#dodinet', ""Allez toujours ; allez, Mademoiselle, le reste s'ensuivra. Ils entrent."")","('#le-clerc', ""Comment !  Vous êtes donc resté en l'air !..."")",1.38,Substitution
330,"('#janot', ""Me v'là ben prope, moi !  La comtesse qui s'est mise en colère contre moi.  Elle m'a repris sa veste et m'a dit des sottises par-dessus.  Heureusement que j'avais encore ce manteau de c't abbé, mais ce n'est rien que ça.  C'te Mam'selle Courtois qui a fait la difficile, tenez !  Quand j'y ai parlé en manière, là...  Comme pour l'i faire une déclaration d'amour.  Retire-toi de là, petit vilain.  Diabe !  Elle est ben dégoûtée.  Comme c'est trompeur dans les paroles que ça dit pourtant, ces filles !  Je croyais du d'abord, moi, qu'i' gn'y avait qu'à me baisser.  Eh ben !  À présent c'est tout le contraire.  Mais c'est égal : je m'en moque aussi à mon tour.  J'ai toujours là mon lingot que j'ai repris en m'en allant.  Avec ça, je ne serai pas embarrassé d'en trouver d'autres...  Jarni !  C'est une belle invention que c't or !  Ça vous console tout de suite dans vos chagrins.  Y a des amis qui vous font des discours d'une aune, qui n'avancent à rien, et celui-là, sans vous rien dire, rien que de le regarder, ça vous tranquillise en un clin d'oeil : c'est bien différent."")","('#ragot', ""Bon !  Resté en l'air !  Le diable vous emporte !  Comment vous avez donc les oreilles dures !...  J'étais en bas, moi, et une fille qui était à une fenêtre, là-haut voyez-vous !...  En gesticulant, il lui porte son bras sous le nez ; le clerc sent l'odeur."")",0.56,Substitution
331,,"('#le-clerc', 'Pouah !  Fi !  Retirez donc votre bras...  Cela sent mauvais comme tout.')",1.0,Deletion
332,"('#dodinet', ""Ah !  Te v'là, Janot !  Eh ben !  On t'attend là dedans.  Tout le monde est à table !  Et ta demoiselle, qué que t'en as donc fait ?"")","('#ragot', ""Eh ben !  C'est justement ça."")",1.4,Substitution
333,"('#janot', ""Ma foi, rien du tout.  C'est elle qui a fait...  Là, comme si...  T'entends bien ?"")","('#le-clerc', ""Comment !  Qu'est-ce donc ?"")",1.36,Substitution
334,"('#dodinet', ""Diabe !  C'est malheureux ça.  Tu ne lui as donc pas montré ton lingot ?"")","('#janot', 'Pardine !  Vous ne devinez pas ?')",1.32,Substitution
335,"('#janot', ""Si fait : c'est par là que j'ai commencé ; mais elle, pour me faire enrager, vois-tu, quand elle l'a eu ben regardé, elle m'a dit que ça n'en était pas."")",,1.0,Insertion
336,"('#dodinet', ""Comment !  Que c'en était pas !"")","('#le-clerc', 'Quoi !  Est-ce que ça serait ?...')",1.13,Substitution
337,"('#janot', ""Oui, d'or : j'ai eu beau lui soutenir, moi, que c'en était, elle s'est obstinée, au point qu'elle n'a pas voulu en démordre."")","('#ragot', ""Eh, sans doute !  C'en est ; vlà positivement le cas que je vous explique là depis une heure."")",1.37,Substitution
338,,"('#le-clerc', 'Ah !  Je commence à comprendre...')",1.0,Deletion
339,"('#dodinet', ""Eh !  Mais diante !  Il faut vérifier ça, vois-tu : c'est sérieux au moins, Janot.  Tout ce monde qui mange là dedans, i's comptent ben que c'en est, eux."")","('#ragot', ""Ah !  C'est ben heureux !...  Y êtes-vous ?"")",1.53,Substitution
340,"('#janot', ""Et je te dis ben que c'en est aussi, moi.  T'es comme un enfant.  Est-ce qu'une fille se connaît à ça, donc !"")","('#le-clerc', ""Oui, oui, j'y suis...  C'est une veste de gâtée, n'est-ce pas ?"")",0.9,Substitution
341,,"('#ragot', 'Tout juste !  Eh ben, conseillez-moi donc à présent ?')",1.0,Deletion
342,,"('#le-clerc', ""Eh bien, mon ami, je te conseille de t'en aller à cette heure."")",1.0,Deletion
343,,"('#ragot', ""M'en aller ?"")",1.0,Deletion
344,"('#dodinet', ""Mais c'est que c'est de conséquence : tu ne sais pas, toi, que le cabaretier est déjà venu me demander de l'argent : y a déjà six bouteilles de bues sans compter le manger.  Pour le tranquilliser, viens-t'en un peu lui montrer ça."")","('#le-clerc', ""Oui, voilà ta déposition faite ; va te nettoyer à présent, je m'en vais arranger ton affaire, et tu reviendras demain."")",0.91,Substitution
345,,"('#ragot', 'Mais, écoutez donc...')",1.0,Deletion
346,"('#janot', ""Oh !  Mais écoute donc : faut aller doucement ici : mon ami, faut de la prudence.  Si je vas montrer ça au premier venu, on sera jaloux contre moi.  Dès qu'on saura que c'en est, tu verras tout le monde qui en voudra sa part : faut prendre garde."")","('#le-clerc', ""Non, non, je n'ai pas le temps ; tu n'as plus à te plaindre, tu n'as plus d'argent...  Sois tranquille, va, va, te nettoyer, va, mon ami.  Il rentre chez lui."")",0.92,Substitution
347,"('#dodinet', ""C'est vrai, t'as raison.  Y a tant d'envieux au jour d'aujourd'hui qui cherchent à vivre aux dépens des autres; i' faut se défier de tout le monde.  Mais cependant, mon ami, ça presse.  Écoute : va-t'en chez un orfèvre.  Tiens, en v'là un là devant : tâche de te faire donner quéque chose à compte, ou de savoir au juste ce qu'il en est, et moi, je m'en vas toujours là dedans le cabaret les retenir un peu, qu'ils ne boivent et ne mangent pas tout jusqu'à la définition de ça."")","('#janot', ""Oui, il a raison, je commence à me refroidir là ; faut que j'aille chercher not' souper cheux le pâtissier, je me sécherai à son four. Il marche, et aperçoit un des garçons de la boutique, qui passe."")",0.14,Substitution
348,,"('#ragot', ""Ah !  Te vlà, François !  J'allais cheux ta boutique."")",1.0,Deletion
349,,"('#le-garçon', 'Pourquoi faire ?')",1.0,Deletion
350,"('#janot', ""À la bonne heure comme ça.  Quoique je suis tranquille là-dessus, moi : je suis ben sûr que c'en est, va."")","('#ragot', ""J'allais chercher not' souper qui est là, depis cinq heures, dans le four, avec de la chicorée dessous ; est-ti prêt ?"")",1.4,Substitution
351,,"('#le-garçon', ""Queu morceau que c'est ?"")",1.0,Deletion
352,"('#dodinet', ""Eh ben !  Si c'en est, tant mieux.  On le verra toujours ben ; mais le pus prudent, c'est de prendre ses précautions.  On allait servir le rôti, je m'en vas toujours le décommander, jusqu'à nouvel ordre."")","('#ragot', ""Eh pardine !  Un aloyau de mouton, avec une gousse d'ail que je t'ai dit de faire ben cuire dans son jus, là, rissolé"")",0.67,Substitution
353,,"('#le-garçon', ""À moi ?  Je ne t'ai pas vu d'aujourd'hui."")",1.0,Deletion
354,,"('#ragot', ""Ah, oui !  T'as raison ; c'est à M.  Pierre que j'ai parlé, qui était là sur le pas de la porte en veste, avec un bonnet de coton, qui gardait la boutique."")",1.0,Deletion
355,,"('#le-garçon', ""Queu marque est-ce qu'il a ton souper ?"")",1.0,Deletion
356,"('#janot', ""Diable !  Tout ça commence à me fourrer martel en tête, moi.  Si je montre ça à un orfèvre, i' cherchera à me tricher d'abord, ou ben i' craira que je l'ai volé quéque part.  V'la l'embarras.  Jarni !  Je ne croyais pas que ça donnait tant de tintoin.  J'aimerais mieux l'avoir trouvé en louis d'or, à présent, ça serait pus commode.  Mais pour en être, je suis ben sûr que c'en est.  Voyez donc comme ça brille !  Je m'en vas toujours chez l'orfèvre.  Holà !  Monsieur le maître marchand orfèvre !"")","('#ragot', ""Et je te dis de la chicorée dessous, avec une petite broche et trois isques...  C'est-ti ça que t'as là ?"")",0.72,Substitution
357,,"('#le-garçon', ""Non, non, peste ; c'est un rognon de veau.  C'est le souper d'un procureur...  Ne m'arrête pas pus longtemps, car ses clercs ont les dents longues...  Mais va voir dans la boutique, tu le trouveras."")",1.0,Deletion
358,"('#ragot', ""Eh ben donc !  Mon cher ami Janot, qu'est-ce que c'est donc qu'on dit de c' trésor que t'as trouvé !"")","('#ragot', ""Oui, oui, Monsieur Pierre va me trouver ça. Le garçon s'en va, et Janot va à la boutique."")",0.73,Substitution
359,"('#l-orfevre', ""Qu'est-ce qu'il y a pour votre service, Monsieur ?"")",,1.0,Insertion
360,"('#janot', ""Je vas vous conter ça tout à l'heure.  Monsieur, faites-moi un plaisir de me dire un peu, s'il vous plaît, comben que ça vaut d'argent ce morceau d'or-là. À l'orfèvre."")","('#ragot', ""Eh ben !  Mais ventrebleu !  voyez donc ce petit gueux-là, si c'est pas démontant, ça ?  Deux heures pour aller chercher un gigot...  Quand il le serait faire exprès !...  Au moins s'il avait commencé par rapporter toujours la boutielle, ça tient compagnie en attentant la mangeaille, ça sert de contenance ; mais pas du tout, je suis là devant ste table, et rien dessus !  ça me donne la pépie...  Y sera à causer avec le cabaretier ; je vas le faire avancer, moi... On entend arrière Janot qui dispute avec le pâtissier."")",1.17,Substitution
361,"('#ragot', 'Diabe !  Il est beau.')","('#ragot', 'Eh ben !  Pardine, on fait crédit au monde queuquefois pour deux sous...  Vous les mettez sur la taille.')",1.86,Substitution
362,"('#l-orfevre', ""D'or ?  Ça n'en est pas."")",,1.0,Insertion
363,"('#janot', 'Hein !  Quoi que vous avez donc dit, Monsieur ?')","('#ragot', ""N'est-ce pas lui que j'entends donc ?"")",0.75,Substitution
364,,"('#le-patissier', ""Allons, allons, va t'en, villain ; va te secher ailleurs.  On l'entend rosser à coups de torchon."")",1.0,Deletion
365,"('#l-orfevre', ""Je vous dis que ça n'en est pas."")",,1.0,Insertion
366,"('#janot', 'Eh ben !  Comment que vous avez entendu, vous, Monsieur Ragot ?')","('#janot', 'Ahi !  ahi !  laissez-moi donc, Messieurs !...  Je vas me plaindre aussi contre vous, au moins.')",1.17,Substitution
367,"('#ragot', ""J'ai entendu que ça n'en est pas."")",,1.0,Insertion
368,"('#janot', ""Comment !  Ça n'en serait pas !"")",,1.0,Insertion
369,"('#l-orfevre', ""Vous n'avez qu'à entrer dans ma boutique, je vais vous le toucher sur ma pierre, vous en serez plus sûr."")","('#ragot', ""C'est lui-même !...  Ce petit coquin !  à qui en a-t-il donc ?"")",1.62,Substitution
370,"('#janot', ""Oh ben !  J'allons voir ça.  Restez là, vous, Monsieur Ragot.  J'en aurons bentôt le coeur net, allez. Il entre avec l'orfèvre."")","('#janot', ""Eh ben !  Ne me vlà pas mal, moi, à st'heure !  Ce diable de maître clerc qui ne m'a pas laissé tant seulement de quoi payer la cuisson de mon gigot !"")",0.89,Substitution
371,"('#ragot', ""Et nous aussi, je crais.  Heureusement que j'avons déjà pris un bon à-compte sur le repas, car il me semble que le dessert ne vaudra pas les entrées.  Holà, mesdames, venez-vous-en donc ici prendre un peu l'air.  Est-ce qu'on boit comme ça les uns sans les autres ?  Attendez donc la future."")",,1.0,Insertion
372,"('#dodinet', 'Eh ben !  Où ce que nous en sommes !')","('#ragot', ""Ah !  Te vlà donc, à la fin !  Eh ben, ce vin, où ce qu'il est ?"")",0.56,Substitution
373,,"('#ragot', ""Je n'ai pas encore été cheux le cabaret, Monsieur."")",1.0,Deletion
374,,"('#ragot', ""Comment !  Depis le temps que t'es parti, pour aller chercher une bouteille !  Et j'en aurais déjà bu quatre, moi !"")",1.0,Deletion
375,"('#ragot', ""Ah !  Je crois que j'en sommes au dessert."")","('#ragot', ""Maître, faut le temps à tout.  J'ai voulu d'abord tout de suite me débarrasser du pâtissier, où que je croyais que vous aviez pus faim que soif pour le moment."")",0.79,Substitution
376,"('#dodinet', 'Au dessert ?')","('#ragot', ""Eh ben !  Où ce qu'est le souper ?"")",1.03,Substitution
377,"('#ragot', ""Oui.  Il a montré son lingot à l'orfèvre ; mais i' l'i a dit que ça n'en était pas."")","('#ragot', ""Il est encore là, Monsieur ; c'est à cause du commissaire... qui n'a pas voulu me le donner."")",1.08,Substitution
378,,"('#ragot', ""Comment !  Le commissaire n'a pas voulu ?..."")",1.0,Deletion
379,,"('#ragot', ""Non, c'est une histoire...  Pas de commissaire...  C'est du clerc...  De deux sous..."")",1.0,Deletion
380,,"('#ragot', 'Le clerc...  De deux sous...')",1.0,Deletion
381,,"('#ragot', 'Oui, qui fallait au pâtissier pour son gigot...  Les avez-vous en monnaie ?')",1.0,Deletion
382,"('#dodinet', ""Comment !  Ça se pourrait que ça n'en soit pas ?  Ah !  Ventrebleu !  Qu'est-ce qui payera le diner, à présent ?  Il montre le cabaret."")","('#ragot', ""Comment !  Est-ce que ma femme ne t'a pas donné douze sous pour le vin et le gigot ?"")",0.78,Substitution
383,,"('#ragot', ""Si fait, elle m'a donné une écu pour le changer, de six francs, là tantôt."")",1.0,Deletion
384,"('#ragot', 'Ma foi, qui ça voudra.  Ça ne me regarde pas ; mais je crais que si on attend après le lingot pour souper, on aura les dents longues.  Eh ben !  Eh ben !  Queu tocsin qui sonne donc là-dedans ?  Queu remue-ménage !')","('#ragot', ""Elle t'a donné six livres, misérable !  Eh !  Qu'est-ce que t'en as fait ?"")",1.35,Substitution
385,"('#madame-ragot', 'Parle donc, hé !  Monsieur Nicodème ; est-ce que tu te moques de nous donc ?')","('#ragot', ""Comment !  Monsieur, vous n'entendez donc pas ?  Je vous dis que c'est le commissaire, là, pour une plainte, avec son clerc, que Dodinet m'a dit, d'une histoire, dessus ma veste, par une fenêtre, où ce que vous voyez ben, tenez... Il lui porte de même son bras sous le nez."")",1.27,Substitution
386,"('#madame-ragot', ""Qu'est-ce que c'est donc que c't' affronterie-là de nous venir retirer les morceaux du bec ?"")","('#ragot', 'Ah !  Le vilain cochon !  Veux-tu te retirer.')",1.17,Substitution
387,"('#ragot', ""Qu'est-ce que vous avez donc, Mme Ragot ?"")",,1.0,Insertion
388,"('#perrette', ""C'est des impertinents qui nous enlèvent not' mangeaille de dessus nos assiettes."")",,1.0,Insertion
389,"('#suzon', ""Oui ; mais j'avons fait main basse, et je mettrons c'te bouteille-là à fin, s'i' plaît à Dieu."")","('#ragot', 'Eh ben !  Monsieur, vlà vos six francs.')",1.63,Substitution
390,"('#madame-ragot', ""Pardine !  C'est ben juste ; pisqu'on nous a invités à la noce, faut ben que j' vivions p't-êt'.  Mais où c' qu'est donc la mariée dans tout ça, et l'épouseur ?  Eh !  Le v'là qui sort de chez l'orfèvre ; comme il a l'oreille basse !  Ah !  V'là un mauvais signe pour la noce."")","('#ragot', 'Ah !  Chien de coquin !  Vlà la monnaie que tu me rapportes ; va-t-en ben vite me chercher mon argent, ou je te vas arranger, moi.')",0.98,Substitution
391,"('#perrette', 'Eh !  Bonjour donc, Monsieur Janot ; vous êtes rare comme les beaux jours : on ne vous voit plus.')",,1.0,Insertion
392,"('#madame-ragot', ""Pardi, oui, v'là qu'est bien retourné : c'est ben de ça qui s'agit.  Parlez donc, beau mignon, quoi que c'est donc qu'on dit que vous avez qui en est ou qui n'en est pas ?  Est-ce-t-i' donc pour affronter le monde qu' vous nous avez invités ?  Parlez donc."")","('#ragot', ""Mais, Monsieur, c'est-ti de ma faute donc ?  Est-ce qu'on s'entend à ça ?"")",0.94,Substitution
393,"('#janot', ""Hélas !  Mesdames, je vous demande ben pardon, que ça n'est pas de ma faute, où ce que si vous l'aviez vu vous-mêmes, j'en avais un beau morceau qui vous aurait fait envie, que vous vous y seriez trompées comme moi, jaune comme un coin et brillant comme une lanterne allumée."")","('#ragot', ""Ce gueux-là n'en fait jamais d'autre...  Quiens, va-t-en, crois-moi.  Retire-toi de là, ou je vas te nettoyer, moi."")",1.28,Substitution
394,"('#suzon', ""Le pauvre garçon !  Comme le v'là penaud !  C'est-i' ben vrai ce que vous nous dites là, Monsieur Janot ?"")",,1.0,Insertion
395,"('#janot', ""Hélas !  Mam'selle Suzon, preuve en main tenez, regardez par vous-même."")","('#ragot', 'Eh ben !  Monsieur, laissez-moi rentrer pour me changer, du moins.')",1.55,Substitution
396,"('#suzon', ""Ah !  Ce diamant !  Comme ça tarluit : c'est ben dommage.  Examinez donc ça, Madame."")","('#ragot', ""Rentrer !  Ah, drôle !  Regarde ben ma porte, pour n'y pus remettre le pied."")",1.39,Substitution
397,"('#madame-ragot', ""Dame, oui, c'était ben tentant : c'était apparemment là-dessus que vous vouliez trouver une femme."")",,1.0,Insertion
398,"('#perrette', ""Une femme !  Était-ce-t-i' moi, Monsieur Janot, que vous auriez choisie ?"")",,1.0,Insertion
399,"('#suzon', ""Mon p'tit Janot, était-ce-t-i' pour moi vot' lingot ?"")",,1.0,Insertion
400,"('#janot', ""Allez-vous-en au diabe : c'est vous qui m'avez porté malheur."")","('#ragot', 'Comment !  Monsieur, vous me renvoyez ?')",1.26,Substitution
401,"('#ragot', 'Non, ça ne nous regarde pas : arrangez-vous avec Monsieur.')",,1.0,Insertion
402,"('#simon', ""Eh !  Par la ventrebleu !  Zst-ce qu'on invite les gens pour les faire payer donc ?  Ça ne serait pas juste.  Ah !  Vous v'là, l'ami Janot.  Arrangez donc un peu ça, vous, avec ce trésor en question."")",,1.0,Insertion
403,"('#janot', 'Laisse-moi tranquille, toi.')","('#ragot', 'Oui, coquin, je te chasse ; et va-t-en.')",0.96,Substitution
404,"('#ragot', ""Ah !  Monsieur Janot, vous v'là bien maussade pour un jour de noce.  Qu'est-ce que vous avez donc dans la tête, mesdemoiselles ?  Est-ce vous qui chagrinez ce jeune homme ?"")","('#ragot', 'Eh ben !  Payez-moi mes gages.')",1.73,Substitution
405,"('#dodinet', ""Messieurs, laissez-moi aller, encore un coup : je vous dis que ce n'est pas pour moi la carte."")",,1.0,Insertion
406,"('#le-cabaretier', ""Tenez-le ben, mes amis.  Oh !  Tu payeras, chien d'escroc : c'est toi qui as commandé le repas."")","('#ragot', ""Tes gages !  Un vaurien comme toi, qui ne gagne pas le pain qui mange !  T'es trop payé avec les six francs que tu m'emportes."")",1.09,Substitution
407,"('#dodinet', ""Mais, messieurs, je n'ai pas d'argent assez dessus moi."")","('#ragot', 'Mais, Monsieur, je ne les ai pas, moi, vos six francs !  Ils sont au greffe, on vous dit.')",1.34,Substitution
408,"('#le-cabaretier', 'Eh ben !  Tu as des effets : tu viendras les chercher.')","('#ragot', 'Eh ben !  Va les chercher...  Bonsoir. Il lui ferme la porte sur le nez.')",1.0,Substitution
409,,"('#ragot', 'Mais, Monsieur, laissez-moi prendre mon habit du moins.')",1.0,Deletion
410,,"('#ragot', 'Je vas te le jeter ton habit.')",1.0,Deletion
411,"('#dodinet', 'À mon secours, Janot.  Eh !  Janot.')",,1.0,Insertion
