,moliere-amants-magnifiques,quinault-alceste,Cost,Operation Type
229,"('#lycaste', 'Hé quoi toujours languissant, sombre, et triste ?')","('#tous', 'Cherchons Admète promptement. ')",1.53,Substitution
230,"('#menandre', 'Hé quoi ! Toujours aux pleurs abandonné ?')",,1.0,Insertion
231,"('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')","('#alceste', ""Peut-on chercher ce qu'on aime  Avec trop d'empressement !  Quand l'amour est extrême,  Le moindre éloignement  Est un cruel tourment. "")",1.02,Substitution
232,"('#lycaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")","('#tous', 'Cherchons Admète promptement. ')",1.12,Substitution
233,"('#tircis', 'Eh le moyen, hélas !')","('#alceste', 'Ô Dieux ! Quel spectacle funeste ! ')",1.26,Substitution
234,"('#menandre', 'Fais, fais-toi quelque effort.')",,1.0,Insertion
235,"('#tircis', 'Eh ! Le moyen, hélas ! Quand le mal est trop fort ?')","('#cleante', ""Le chef des Ennemis mourant et terrassé,  De sa rage expirante a ramassé le reste,  Le Roi vient d'en être blessé. "")",1.17,Substitution
236,,"('#admete', 'Je meurs, charmante Alceste ;  Mon sort est assez doux,  Puisque je meurs pour vous. ')",1.0,Deletion
237,"('#lycaste', 'Ce mal trouvera son remède.')",,1.0,Insertion
238,"('#tircis', ""Je ne guérirai qu'à ma mort."")","('#alceste', ""C'est pour vous voir mourir que le Ciel me délivre ! "")",0.91,Substitution
239,"('#lycaste #menandre', 'Ah Tircis !')",,1.0,Insertion
240,"('#tircis', 'Ah Bergers !')",,1.0,Insertion
241,"('#lycaste #menandre', ""Prends sur toi plus d'empire."")",,1.0,Insertion
242,"('#tircis', 'Rien ne me peut secourir.')","('#admete', ""Avec le nom de votre Époux  J'eusse été trop heureux de vivre ;  Mon sort est assez doux,  Puisque je meurs pour vous. "")",1.65,Substitution
243,"('#lycaste #menandre', ""C'est trop, c'est trop céder."")","('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ?  Fallait-il que sitôt l'aveugle sort des armes  Tranchât des noeuds si beaux, par un affreux trépas ?  Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")",1.56,Substitution
244,"('#tircis', ""C'est trop, c'est trop souffrir."")","('#admete', 'Belle Alceste, ne pleurez pas,  Tout mon sang ne vaut point vos larmes. ')",1.59,Substitution
245,"('#lycaste #menandre', 'Quelle faiblesse !')","('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")",1.43,Substitution
246,"('#tircis', 'Quel martyre !')","('#admete', 'Alceste, vous pleurez ? ')",1.64,Substitution
247,"('#lycaste #menandre', 'Il faut prendre courage.')",,1.0,Insertion
248,"('#tircis', 'Il faut plutôt mourir.')","('#alceste', 'Admète, vous mourez. ')",0.84,Substitution
249,"('#lycaste', ""Il n'est point de bergère Si froide, et si sévère, Dont la pressante ardeur D'un coeur qui persévère Ne vainque la froideur."")","('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')",1.31,Substitution
250,"('#menandre', ""Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux amants."")","('#alceste', ""Se peut-il que le Ciel permette,  Que les coeurs d'Alceste et d'Admète  Soient ainsi séparés ? "")",1.16,Substitution
251,"('#tircis', ""Je la vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'ingrate, hélas ! N'y viendrait pas."")","('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')",1.25,Substitution
252,"('#caliste', ""Ah que sur notre coeur La sévère loi de l'honneur Prend un cruel empire ! Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ces cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre, C'est à vous seuls que je le dis, Arbres, n'allez pas le redire. Puisque le ciel a voulu nous former Avec un coeur qu'Amour peut enflammer, Quelle rigueur impitoyable Contre des traits si doux nous force à nous armer, Et pourquoi, sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable ? Hélas ! Que vous êtes heureux, Innocents animaux, de vivre sans contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux : Hélas ! Petits oiseaux, que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux. Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui toute entière, Nous n'avons point de loi sévère Qui défende à nos sens d'en goûter la douceur."")","('#apollon', ""La lumière aujourd'hui te doit être ravie ;  Il n'est qu'un seul moyen de prolonger ton sort.  Le Destin me promet de te rendre la vie,  Si quelque autre pour toi veut s'offrir à la mort.  Reconnais si quelqu'un t'aime parfaitement,  Sa mort aura pour prix une immortelle gloire :  Pour en conserver la mémoire,  Les Arts vont élever un pompeux Monument.  Les Arts qui sont autour d'Apollon se séparent sur des Nuages différents, et tous descendent pour élever un Monument superbe, tandis qu'Apollon s'envole. "")",0.13,Substitution
253,"('#tircis', 'Vers ma belle ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.')","('#alceste', ""Ah ! Pourquoi nous séparez-vous ?  Eh du moins, attendez que la mort nous sépare ;  Cruels, quel pitié barbare  Vous presse d'arracher Alceste à son Époux ?  Ah ! Pourquoi nous séparez-vous ? "")",1.22,Substitution
254,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#pheres #cephise', ""Plus votre Époux mourant voit d'amour et d'appas,  Et plus le jour qu'il perd lui doit faire d'envie :  Ce sont les douceurs de la vie  Qui font les horreurs du trépas. "")",1.04,Substitution
255,"('#tircis', ""Silence, petits oiseaux, Vents, n'agitez nulle chose, Coulez doucement ruisseaux, C'est Caliste qui repose."")",,1.0,Insertion
256,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#alceste', ""Les Arts n'ont point encore achevé leur ouvrage ;  Cet Autel doit porter la glorieuse Image,  De qui signalera sa foi,  En mourant, pour sauver son Roi. Le prix d'une gloire immortelle  Ne peut-il toucher un grand coeur ?  Faut-il que la mort la plus belle  Ne laisse pas de faire peur ?  À quoi sert la foule importune  Dont les Rois sont embarrassés ?  Un coup fatal de la Fortune  Écarte les plus empressés. "")",1.07,Substitution
257,"('#caliste', 'Ah Quelle peine extrême ! Suivre partout mes pas.')",,1.0,Insertion
258,"('#tircis', ""Que voulez-vous qu'on suive, hélas ! Que ce qu'on aime ?"")","('#alceste #pheres #cephise', ""De tant d'amis qu'avait Admète,  Aucun ne vient le secourir ;  Quelque honneur qu'on promette,  On le laisse mourir. "")",1.04,Substitution
259,"('#caliste', 'Berger, que voulez-vous ?')",,1.0,Insertion
260,"('#tircis', 'Mourir, belle Bergère, Mourir à vos genoux, Et finir ma misère, Puisque en vain à vos pieds on me voit soupirer, Il y faut expirer.')","('#pheres', ""J'aime mon Fils, je l'ai fait Roi ;  Pour prolonger son sort, je mourrais sans effroi,  Si je pouvais offrir des jours dignes d'envie :  Je n'ai plus qu'un reste de vie,  Ce n'est rien pour Admète, et c'est beaucoup pour moi. "")",0.42,Substitution
261,"('#caliste', ""Ah Tircis, ôtez-vous, j'ai peur que dans ce jour La pitié dans mon coeur n'introduise l'amour."")","('#cephise', ""Les honneurs les plus éclatants,  En vain dans le tombeau promettent de nous suivre,  La mort est affreuse en tout temps :  Mais peut-on renoncer à vivre,  Quand on n'a vécu que quinze ans ? "")",1.54,Substitution
262,"('#lycaste #menandre', ""Soit amour, soit pitié, Il sied bien d'être tendre ; C'est par trop vous défendre Bergère, il faut se rendre À sa longue amitié, Soit amour, soit pitié, Il sied bien d'être tendre."")","('#alceste', ""Chacun est satisfait des excuses qu'il donne :  Cependant on ne voit personne  Qui, pour sauver Admète, ose perdre le jour ;  Le Devoir, l'Amitié, le Sang, tout l'abandonne,  Il n'a plus d'espoir qu'en l'Amour. "")",0.58,Substitution
263,"('#caliste', ""C'est trop, c'est trop de rigueur, J'ai maltraité votre ardeur, Chérissant votre personne, Vengez-vous de mon coeur Tircis, je vous le donne."")","('#pheres', ""Voyons encor mon Fils, allons, hâtons nos pas ;  Ses yeux vont se couvrir d'éternelles ténèbres. "")",1.44,Substitution
264,"('#tircis', ""Ô Ciel ! Bergers !  Caliste !  Ah je suis hors de moi. Si l'on meurt de plaisir je dois perdre la vie."")","('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.41,Substitution
265,"('#lycaste', 'Digne prix de la foi !')",,1.0,Insertion
266,"('#menandre', ""Ô sort digne d'envie !"")","('#pheres', 'Quels cris ! Quelles plaintes funèbres ! ')",1.11,Substitution
267,,"('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.0,Deletion
268,"('#premier-satyre', 'Quoi ? Tu me fuis ingrate, et je te vois ici De ce berger à moi faire une préférence ?')","('#pheres', 'Où vas-tu ? Cléante, demeure. ')",1.26,Substitution
269,"('#deuxieme-satyre', ""Quoi mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton coeur s'est adouci ?"")","('#cleante', ""Hélas ! Hélas !  Le Roi touche à sa dernière heure,  Il s'affaiblit, il faut qu'il meure,  Et je vins pleurer son trépas.  Hélas ! Hélas ! "")",1.84,Substitution
270,"('#caliste', 'Le destin le veut ainsi, Prenez tous deux patience.')","('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.76,Substitution
271,"('#premier-satyre', ""Aux amants qu'on pousse à bout L'amour fait verser des larmes : Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout."")","('#pheres', 'On le plaint, tout le monde pleure,  Mais nos pleurs ne le sauvent pas. ')",0.73,Substitution
272,,"('#le-choeur', 'Hélas ! Hélas ! Hélas ! ')",1.0,Deletion
273,"('#deuxieme-satyre', ""Notre amour n'a pas toujours Tout le bonheur qu'il désire : Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours."")","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",1.18,Substitution
274,"('#tous', ""Champêtres Divinités, Faunes, Dryades, sortez De vos paisibles retraites ; Mêlez vos pas à nos sons, Et tracez sur les herbettes L'image de nos chansons. PREMIÈRE ENTRÉE DE BALLET. En même temps, six dryades et six faunes sortent de leurs demeures, et font ensemble une danse agréable, qui, s'ouvrant tout d'un coup, laisse voir un berger et une bergère, qui font en musique une petite scène d'un dépit amoureux."")","('#pheres #cleante', 'Quel changement ! Quel bruit nouveau ! ')",1.57,Substitution
275,"('#philinte', ""Quand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Roi ni Dieux Dont le sort me fît envie."")","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",0.94,Substitution
276,"('#climene', ""Lorsqu'à toute autre personne Me préférait ton ardeur, J'aurais quitté la couronne Pour régner dessus ton coeur."")","('#pheres #cleante', ""L'effort d'une amitié parfaite  L'a sauvé du tombeau. "")",1.21,Substitution
277,"('#philinte', ""Une autre a guéri mon âme Des feux que j'avais pour toi."")","('#pheres', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",1.16,Substitution
278,"('#climene', 'Un autre a vengé ma flamme Des faiblesses de ta foi.')",,1.0,Insertion
279,"('#philinte', ""Cloris, qu'on vante si fort, M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort, Je mourrais content pour elle."")","('#le-choeur', 'Ô trop heureux Admète,  Que votre sort est beau ! ')",0.95,Substitution
280,"('#climene', ""Myrtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amour."")","('#admete', ""Qu'une Pompe funèbre  Rende à jamais célèbre  Le généreux effort  Qui m'arrache à la mort.  Alceste n'aura plus d'alarmes,  Je reverrai ses yeux charmants  À qui j'ai coûté tant de larmes :  Que la vie a de charmes  Pour les heureux Amants !  Achevez, Dieux des Arts, faites-nous voir l'Image  Qui doit éterniser la grandeur de courage  De qui s'est immolé pour moi ;  Ne différez point davantage...  Ciel ! Ô Ciel ! Qu'est-ce que je vois !  L'Autel s'ouvre, et l'on voit sortir l'Image d'ALCESTE qui se perce le sein. "")",0.3,Substitution
281,,"('#cephise', 'Alceste est morte ! ')",1.0,Deletion
282,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
283,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
284,"('#philinte', ""Mais si d'une douce ardeur Quelque renaissante trace Chassait Cloris de mon coeur Pour te remettre en sa place."")","('#cephise', ""Alceste a satisfait les Parques en courroux ;  Votre tombeau s'ouvrait, elle y descend pour vous ;  Elle-même a voulu vous en fermer la porte ;  Alceste est morte ! "")",1.47,Substitution
285,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
286,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
287,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
288,,"('#le-choeur', 'Alceste est morte ! ')",1.0,Deletion
289,"('#climene', ""Bien qu'avec pleine tendresse Myrtil me puisse chérir, Avec toi, je le confesse, Je voudrais vivre et mourir."")","('#cephise', ""Sujets, Amis, Parents, vous abandonnaient tous ;  Sur les droits les plus forts, sur les noeuds les plus doux, L'Amour, le tendre Amour l'emporte :  Alceste est morte ! "")",0.97,Substitution
290,,"('#admete', 'Alceste est morte ! ')",1.0,Deletion
291,,"('#le-choeur', 'Alceste est morte !  ADMÈTE, tombe accablé de douleur entre les bras de sa suite.')",1.0,Deletion
292,,"('#une-femme-affligee', ""La Mort, la Mort barbare  Détruit aujourd'hui mille appas.  Quelle Victime, hélas !  Fût jamais si belle, et si rare ?  La Mort, la Mort barbare  Détruit aujourd'hui mille appas. "")",1.0,Deletion
293,,"('#autre-femme', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus. "")",1.0,Deletion
294,,"('#choeur', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus. "")",1.0,Deletion
295,"('#tous-deux', 'Ah plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.')","('#une-femme-affligee', 'Tant de beautés, tant de vertus,  Méritaient un sort moins funeste. ')",1.33,Substitution
296,"('#tous-les-acteurs', ""Amants, que vos querelles Sont aimables et belles, Qu'on y voit succéder De plaisirs, de tendresse, Querellez-vous sans cesse Pour vous raccommoder. Amants, que vos querelles Sont aimables et belles, etc. Les faunes et les dryades recommencent leur danse, que les bergères et bergers musiciens entremêlent de leurs chansons, tandis que trois petites dryades et trois petits faunes, font paraître dans l'enfoncement du théâtre, tout ce qui se passe sur le devant."")","('#choeur', ""Alceste, la charmante Alceste,  La fidèle Alceste n'est plus.  Un transport de douleur saisit les troupes affligées, et désolées ; une partie déchire ses habits ; l'autre s'arrache les cheveux, et chacun brise au pied de l'image d'Alceste les ornements qu'il porte à la main."")",1.01,Substitution
297,"('#bergers #bergeres', ""Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens, Des grandeurs, qui voudra se soucie, Tous ces honneurs dont on a tant d'envie Ont des chagrins qui sont trop vieillissants : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens. En aimant tout nous plaît dans la vie, Deux coeurs unis de leur sort sont contents, Cette ardeur de plaisirs suivie, De tous nos jours fait d'éternels printemps : Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nos sens."")","('#choeur', 'Rompons, brisons le triste reste  De ces ornement superflus.  Que nos pleurs, que nos cris renouvellent sans cesse :  Allons porter partout la douleur qui nous presse. ')",0.27,Substitution
298,"('#aristione', ""Les mêmes paroles toujours se présentent à dire.  Il faut toujours s'écrier voilà qui est admirable, il ne se peut rien de plus beau, cela passe tout ce qu'on a jamais vu. "")","('#admete', ""Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre !  Laissez-moi courir au trépas  Où ma chère Alceste se livre.  Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre !  C'est pour moi qu'elle meurt, Hélas !  Pourquoi m'empêcher de la suivre ?  Sans Alceste, sans ses appas,  Croyez-vous que je puisse vivre ! "")",1.6,Substitution
299,"('#timocles', ""C'est donner de trop grandes paroles, Madame, à de petites bagatelles."")","('#alcide', ""Tu me vois arrêté sur le point de partir,  Par les tristes clameurs qu'on entend retentir. "")",1.12,Substitution
300,"('#aristione', ""Des bagatelles comme celles-là peuvent occuper agréablement les plus sérieuses personnes.  En vérité, ma Fille, vous êtes bien obligée à ces Princes, et vous ne sauriez assez reconnaître tous les soins qu'ils prennent pour vous."")",,1.0,Insertion
301,"('#eriphile', ""J'en ai, Madame, tout le ressentiment qu'il est possible."")",,1.0,Insertion
302,"('#aristione', ""Cependant vous les faites longtemps languir, sur ce qu'ils attendent de vous.  J'ai promis de ne vous point contraindre, mais leur amour vous presse de vous déclarer, et de ne plus traîner en longueur la récompense de leurs services.  J'ai chargé Sostrate d'apprendre doucement de vous les sentiments de votre coeur, et je ne sais pas s'il a commencé à s'acquitter de cette commission."")","('#admete', ""Alceste meurt pour moi par un amour extrême,  Je ne reverrai plus les yeux qui m'ont charmé :  Hélas ! J'ai perdu ce que j'aime,  Pour avoir été trop aimé."")",0.87,Substitution
303,"('#eriphile', ""Oui, Madame, mais il me semble que je ne puis assez reculer ce choix dont on me presse, et que je ne saurais le faire sans mériter quelque blâme.  Je me sens également obligée à l'amour, aux empressements, aux services de ces deux Princes, et je trouve une espèce d'injustice bien grande à me montrer ingrate, ou vers l'un, ou vers l'autre, par le refus qu'il m'en faudra faire dans la préférence de son rival."")","('#alcide', ""J'aime Alceste, il est temps de ne m'en plus défendre :  Elle meurt, ton amour n'a plus rien à prétendre ;  Admète, cède-moi la beauté que tu perds :  Au Palais de Pluton j'entreprends de descendre :  J'irai jusqu'au fond des Enfers  Forcer la mort à me la rendre. "")",0.47,Substitution
304,"('#iphicrate', ""Cela s'appelle, Madame, un fort honnête compliment pour nous refuser tous deux."")",,1.0,Insertion
305,"('#aristione', 'Ce scrupule, ma Fille, ne doit point vous inquiéter, et ces Princes tous deux se sont soumis il y a longtemps à la préférence que pourra faire votre inclination.')","('#admete', ""Je verrais encor ses beaux yeux !  Allez Alcide, allez, revenez glorieux,  Obtenez qu'Alceste vous suive ;  Le Fils du plus puissant des Dieux  Est plus digne que moi du bien dont on me prive.  Allez, allez, ne tardez pas,  Arrachez Alceste au trépas ;  Et ramenez au jour son Ombre fugitive ;  Qu'elle vive pour vous avec tous ses appas,  Admète est trop heureux, pourvu qu'Alceste vive. "")",0.86,Substitution
306,,"('#ensemble', 'Allez, allez, ne tardez pas,  Arrachez Alceste au trépas ; ')",1.0,Deletion
307,"('#eriphile', ""L'inclination, Madame, est fort sujette à se tromper, et des yeux désintéressés sont beaucoup plus capables de faire un juste choix."")",,1.0,Insertion
308,"('#aristione', 'Vous savez que je suis engagée de parole à ne rien prononcer là-dessus, et, parmi ces deux Princes, votre inclination ne peut point se tromper, et faire un choix qui soit mauvais.')","('#diane', ""Le Dieu dont tu tiens la naissance  Oblige tous les Dieux d'être d'intelligence ;  En faveur d'un dessein si beau,  Je viens t'offrir mon assistance ;  Et Mercure s'avance  Pour t'ouvrir aux Enfers, un passage nouveau.  Mercure vient en volant frapper la terre de son Caducée, l'Enfer s'ouvre, et Alcide y descend."")",0.74,Substitution
309,"('#eriphile', ""Pour ne point violenter votre parole, ni mon scrupule, agréez, Madame, un moyen que j'ose proposer."")","('#caron', ""Il faut passer tôt ou tard,  Il faut passer dans ma Barque.  On y vient jeune, ou vieillard,  Ainsi qu'il plaît à la Parque :  On y reçoit sans égard,  Le Berger, et le Monarque.  Il faut passer tôt ou tard,  Il faut passer dans ma Barque.  Vous qui voulez passer, venez, Mânes errants,  Venez, avancez, tristes Ombres,  Payer le tribut que je prends,  Ou retournez errer sur ces Rivages sombres. "")",0.73,Substitution
310,"('#aristione', 'Quoi, ma Fille ?')","('#les-ombres', 'Passe-moi, Caron, passe-moi. ')",1.26,Substitution
311,"('#eriphile', ""Que Sostrate décide de cette préférence.  Vous l'avez pris pour découvrir le secret de mon coeur : souffrez que je le prenne pour me tirer de l'embarras où je me trouve."")","('#caron', ""Il faut auparavant que l'on me satisfasse,  On doit payer les soins d'un si pénible emploi. "")",1.32,Substitution
312,"('#aristione', ""J'estime tant Sostrate que, soit que vous vouliez vous servir de lui pour expliquer vos sentiments, ou soit que vous vous en remettiez absolument à sa conduite ; je fais, dis-je, tant d'estime de sa vertu et de son jugement, que je consens de tout mon coeur, à la proposition que vous me faites."")",,1.0,Insertion
313,"('#iphicrate', ""C'est-à-dire, Madame, qu'il nous faut faire notre cour à Sostrate ?"")",,1.0,Insertion
314,"('#sostrate', ""Non, Seigneur, vous n'aurez point de cour à me faire, et avec tout le respect que je dois aux Princesses, je renonce à la gloire où elles veulent m'élever."")","('#les-ombres', 'Passe-moi, Caron, passe-moi.  CARON fait entrer dans sa Barque les Ombres qui ont de quoi le payer.')",1.27,Substitution
315,"('#aristione', ""D'où vient cela, Sostrate ?"")",,1.0,Insertion
316,"('#sostrate', ""J'ai des raisons, Madame, qui ne permettent pas que je reçoive l'honneur que vous me présentez."")",,1.0,Insertion
317,"('#iphicrate', 'Craignez-vous, Sostrate, de vous faire un ennemi ?')",,1.0,Insertion
318,"('#sostrate', 'Je craindrais peu, Seigneur, les ennemis que je pourrais me faire en obéissant à mes souveraines.')","('#caron', ""Donne, passe ; donne, passe ;  Demeure toi,  Tu n'as rien, il faut qu'on te chasse. "")",1.45,Substitution
319,"('#timocles', ""Par quelle raison donc refusez-vous d'accepter le pouvoir qu'on vous donne, et de vous acquérir l'amitié d'un Prince qui vous devrait tout son bonheur ?"")",,1.0,Insertion
320,"('#sostrate', ""Par la raison que je ne suis pas en état d'accorder à ce Prince ce qu'il souhaiterait de moi."")",,1.0,Insertion
321,"('#iphicrate', 'Quelle pourrait être cette raison ?')","('#une-ombre', 'Une Ombre tient si peu de place. ')",1.75,Substitution
322,,"('#caron', 'Ou paye, ou tourne ailleurs tes pas. ')",1.0,Deletion
323,"('#sostrate', ""Pourquoi me tant presser là-dessus ?  Peut-être ai-je, Seigneur, quelque intérêt secret qui s'oppose aux prétentions de votre amour.  Peut-être ai-je un ami qui brûle sans oser le dire, d'une flamme respectueuse pour les charmes divins dont vous êtes épris.  Peut-être cet ami me fait-il tous les jours confidence de son martyre ; qu'il se plaint à moi tous les jours des rigueurs de sa destinée, et regarde l'hymen de la Princesse, ainsi que l'arrêt redoutable qui le doit pousser au tombeau ; et si cela était, Seigneur, serait-il raisonnable que ce fût de ma main qu'il reçût le coup de sa mort ?"")","('#l-ombre', 'De grâce, par pitié, ne me rebute pas. ')",1.01,Substitution
324,"('#iphicrate', ""Vous auriez bien la mine, Sostrate, d'être vous-même cet ami dont vous prenez les intérêts."")",,1.0,Insertion
325,"('#sostrate', ""Ne cherchez point, de grâce, à me rendre odieux aux personnes qui vous écoutent ; je sais me connaître, Seigneur, et les malheureux comme moi n'ignorent pas jusques où leur fortune leur permet d'aspirer."")","('#caron', ""La pitié n'est point ici-bas,  Et Caron ne fait point de grâce. "")",1.09,Substitution
326,,"('#l-ombre', 'Hélas ! Caron, hélas ! Hélas ! ')",1.0,Deletion
327,"('#aristione', ""Laissons cela, nous trouverons moyen de terminer l'irrésolution de ma fille."")",,1.0,Insertion
328,"('#anaxarque', ""En est-il un meilleur, Madame, pour terminer les choses au contentement de tout le monde, que les lumières que le Ciel peut donner sur ce mariage ?  J'ai commencé, comme je vous ai dit, à jeter pour cela les figures mystérieuses que notre art nous enseigne, et j'espère vous faire voir tantôt ce que l'avenir garde à cette union souhaitée.  Après cela pourra-t-on balancer encore ?  La gloire et les prospérités que le Ciel promettra, ou à l'un, ou à l'autre choix, ne seront-elles pas suffisantes pour le déterminer, et celui qui sera exclus, pourra-t-il s'offenser quand ce sera le Ciel qui décidera cette préférence ?"")","('#caron', ""Crie, hélas ! Tant que tu voudras,  Rien pour rien, en tous lieux, est une loi suivie :  Les mains vides sont sans appas ;  Et ce n'est point assez de payer dans la vie :  Il faut encor payer au-delà du trépas. "")",1.01,Substitution
329,"('#iphicrate', ""Pour moi, je m'y soumets entièrement, et je déclare que cette voie me semble la plus raisonnable."")","('#l-ombre', 'Hélas ! Caron, hélas ! Hélas ! ')",1.93,Substitution
330,"('#timocles', 'Je suis de même avis, et le Ciel ne saurait rien faire où je ne souscrive sans répugnance.')","('#caron', ""Il importe peu que l'on crie :  Hélas ! Caron, hélas ! Hélas !  Il faut encor payer au-delà du trépas. "")",1.24,Substitution
331,"('#eriphile', 'Mais, Seigneur Anaxarque, voyez-vous si clair dans les destinées, que vous ne vous trompiez jamais, et ces prospérités, et cette gloire que vous dites que le Ciel nous promet, qui en sera caution, je vous prie ?')","('#alcide', ""Sortez, Ombres, faites-moi place,  Vous passerez une autre fois.  Les Ombres s'enfuient."")",0.97,Substitution
332,"('#aristione', 'Ma fille, vous avez une petite incrédulité qui ne vous quitte point.')",,1.0,Insertion
333,"('#anaxarque', ""Les épreuves, Madame, que tout le monde a vues de l'infaillibilité de mes prédictions, sont les cautions suffisantes des promesses que je puis faire.  Mais enfin, quand je vous aurai fait voir ce que le Ciel vous marque, vous vous réglerez là-dessus, à votre fantaisie, et ce sera à vous à prendre la fortune de l'un, ou de l'autre choix."")","('#caron', 'Ah ! Ma Barque ne peut offrir un si grand poids ! ')",1.5,Substitution
334,"('#eriphile', ""Le Ciel, Anaxarque, me marquera les deux fortunes qui m'attendent ?"")","('#alcide', ""Allons, il faut que l'on me passe. "")",1.5,Substitution
335,"('#anaxarque', ""Oui, Madame, les félicités qui vous suivront, si vous épousez l'un, et les disgrâces qui vous accompagneront, si vous épousez l'autre."")",,1.0,Insertion
336,"('#eriphile', ""Mais comme il est impossible que je les épouse tous deux, il faut donc qu'on trouve écrit dans le Ciel, non seulement ce qui doit arriver, mais aussi ce qui ne doit pas arriver."")",,1.0,Insertion
337,"('#clitidas', 'Voilà mon astrologue embarrassé.')",,1.0,Insertion
338,"('#anaxarque', ""Il faudrait vous faire, Madame, une longue discussion des principes de l'astrologie pour vous faire comprendre cela."")",,1.0,Insertion
339,"('#clitidas', ""Bien répondu.  Madame, je ne dis point de mal de l'astrologie, l'astrologie est une belle chose, et le Seigneur Anaxarque est un grand homme."")",,1.0,Insertion
340,"('#iphicrate', ""La vérité de l'astrologie est une chose incontestable, et il n'y a personne qui puisse disputer contre la certitude de ses prédictions."")",,1.0,Insertion
341,"('#clitidas', 'Assurément.')",,1.0,Insertion
342,"('#timocles', ""Je suis assez incrédule pour quantité de choses, mais pour ce qui est de l'astrologie, il n'y a rien de plus sûr et de plus constant, que le succès des horoscopes qu'elle tire."")",,1.0,Insertion
343,"('#clitidas', 'Ce sont des choses les plus claires du monde.')",,1.0,Insertion
344,"('#iphicrate', 'Cent aventures prédites arrivent tous les jours, qui convainquent les plus opiniâtres.')","('#caron', ""Retire-toi d'ici, Mortel, qui que tu sois,  Les Enfers irrités puniront ton audace. "")",1.31,Substitution
345,"('#clitidas', 'Il est vrai.')",,1.0,Insertion
346,"('#timocles', 'Peut-on contester sur cette matière les incidents célèbres, dont les histoires nous font foi ?')","('#alcide', 'Passe-moi sans tant de façons. ')",1.09,Substitution
347,"('#clitidas', ""Il faut n'avoir pas le sens commun.  Le moyen de contester ce qui est moulé."")",,1.0,Insertion
348,"('#aristione', ""Sostrate n'en dit mot, quel est son sentiment là-dessus ?"")","('#caron', ""L'eau nous gagne, ma Barque crève. "")",1.76,Substitution
