,fuzelier-enfer-galant,la-fontaine-daphne,Cost,Operation Type
222,"('#endymion', ""Vous ne l'avez pas encore dit. Parlez donc plus clairement. Parlez donc plus clairement. AIR : Lampons."")","('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")",1.25,Substitution
223,"('#diane', ""Je n'ai jamais vu d'amant. Je n'ai jamais vu d'amant. De conception plus dure. Eh bien ! Le feu que j'endure C'est vous, vous, vous, vous, Vous qui l'allumez chez nous. Cela est-il clair ?"")","('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")",0.44,Substitution
224,,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')",1.0,Deletion
225,,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')",1.0,Deletion
226,,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')",1.0,Deletion
227,,"('#daphne', 'Il le faut.')",1.0,Deletion
228,,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")",1.0,Deletion
229,"('#endymion', ""Eh quoi ? J'obtiens tant d'appâts Pour qui je soupire ! Eh quoi ? J'obtiens tant d'appas Oh ! je n'en parlerais113 pas, I'n'faut pas tout dire. Vous commencez à être intelligible. AIR : I'n'faut pas tout dire"")","('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")",0.66,Substitution
230,"('#diane', ""Il faut tout vous dire à vous ! Il faut tout vous dire ! Soyez ma confidente Et célébrez mon choix, Ici Diane chante Pour la première fois Tout comme il vous plaira, Larira Tout comme il vous plaira. N'approchez pas de ce bocage, plaisirs indiscrets et causeurs !  Restez à Paris, et vous qui savez parfaitement bien vous taire, venez bergers, accourez troupe prudente. AIR : Flon flon. AIR : tout comme il vous plaira"")","('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")",0.64,Substitution
231,"('#endymion', 'Ouais, les bergers ne viennent pas.')",,1.0,Insertion
232,"('#diane', 'Il me suffit de mon berger Nous nous en passerons bien. AIR : Fi donc Julien.')","('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")",1.37,Substitution
233,,"('#leucippe', 'Achevez.')",1.0,Deletion
234,,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")",1.0,Deletion
235,"('#endymion', ""Et moi de ma déesse. Nous pouvons ici sans danger Nous parler de tendresse. Allons cher coeur, Plus de rigueur, Que l'amour la suspende !"")","('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")",0.58,Substitution
236,"('#diane', 'Endymion ! Songez-y donc ! Est-ce que cela se demande ? Serez-vous toujours aussi neuf ?')","('#daphne-', ""Ne m'aimez plus."")",1.36,Substitution
237,"('#le-choeur', 'Endymion, Songez-y donc Est-ce que cela se demande ?')","('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')",1.05,Substitution
238,"('#endymion', ""Oh ! J'en deviendrai malade ! Maudit Pluton ! Est-ce encore là quelque aubade De ta façon ? Entendrons-nous encore ici Charivari ? AIR : Charivari"")","('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')",1.61,Substitution
239,"('#diane', ""Vous n'avez que trop bien deviné.  J'aperçois dans le bois votre rival qui fulmine et tous les dieux qui se moquent de lui.  Hélas, je vais avoir mon tour."")","('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")",0.68,Substitution
240,,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')",1.0,Deletion
241,"('#le-choeur', ""Endymion. Songez-y donc Est-ce que cela se demande ? Pluton se débarrasse des dieux qui l'arrêtaient. Diane et Endymion entourés tâchent de s'échapper."")","('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")",0.99,Substitution
242,"('#pluton', 'Vous faisiez la prude, déesse ? Vous faisiez la Lucrèce, enfin ? Je vous prends donc sur le fait, Madame la sévère. AIR : Tu croyais en aimant Colette.')","('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")",1.01,Substitution
243,"('#hebe', ""N'est-elle pas une Lucrèce ? On la trouve avec un Tarquin121 !"")","('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")",1.59,Substitution
244,"('#le-choeur', ""N'est-elle pas une Lucrèce ? On la trouve avec un Tarquin !"")",,1.0,Insertion
245,"('#bacchus', ""Sachons du moins quel dieu est le galant de notre chère soeur.  Quelle chute !  Ce n'est qu'un simple berger !"")","('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")",0.9,Substitution
246,"('#endymion', 'Fort à votre service.')",,1.0,Insertion
247,"('#apollon', ""L'effronté !  Avoir perverti ma chaste jumelle !  Ceci mérite un châtiment exemplaire !"")","('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")",0.81,Substitution
248,"('#endymion', 'Ah ! Messieurs les dieux, pardon ! AIR : des fraises.')",,1.0,Insertion
249,"('#apollon', 'Non, non, point de clémence.')","('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')",1.44,Substitution
250,"('#endymion', 'Épargnez Endymion !')","('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")",1.69,Substitution
251,"('#pluton', 'Il faut punir ce fripon ! Vengeance, vengeance, vengeance !')","('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")",1.4,Substitution
252,"('#choeur-des-dieux', 'Vengeance, vengeance, vengeance !')","('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')",1.45,Substitution
253,"('#bacchus', 'Oh ça !  Pluton, vous êtes juge et partie dans cette affaire-ci ; voyons un peu ce que vous ferez de votre criminel !')","('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")",1.45,Substitution
254,"('#pluton', ""Moi ?  Je ne prétends rien innover ; je me copierai sur l'arrêt rendu par mon frère Jupiter en cas pareil ; vous devez vous souvenir tous que ce même Endymion a eu jadis l'audace de s'attaquer à la reine des cieux et que son époux condamna le téméraire à un sommeil de plusieurs années, je lui impose encore ce supplice."")","('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")",0.55,Substitution
255,,"('#leucippe', 'Mes amours sont mes dieux.')",1.0,Deletion
256,,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")",1.0,Deletion
257,"('#endymion', 'Miséricorde !')","('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')",1.46,Substitution
258,,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")",1.0,Deletion
259,"('#diane', 'Quelle barbarie !')","('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')",1.07,Substitution
260,"('#venus', 'En vérité, Pluton, vous êtes trop cruel !')","('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')",1.36,Substitution
261,"('#pluton', ""En vérité, Vénus, vous ne l'êtes pas assez !"")","('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")",1.74,Substitution
262,"('#venus', ""Chère Diane aujourd'hui Vous faites des vôtres ! Vénus prend votre parti ! AIR : Va t'en voir s'ils viennent Jean."")","('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")",1.09,Substitution
263,"('#pluton', 'Quoi contre nous autres ?')",,1.0,Insertion
264,"('#venus', ""Puisqu'elle est des nôtres, Oui  Puisqu'elle est des nôtres."")","('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")",1.12,Substitution
265,,"('#amour', ""Viens l'éprouver."")",1.0,Deletion
266,,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")",1.0,Deletion
267,"('#pluton', ""Vous allez voir le cas que je fais de votre protection ! Holà suivant de Morphée ! Emparez-vous de ce galant et endormez-le très profondément pour deux ou trois siècles, car il n'est que trop éveillé. Il arrive deux songes."")","('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")",0.85,Substitution
268,"('#hebe', ""J'endors le petit Mon fils, J'endors le petit."")","('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")",1.27,Substitution
269,,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')",1.0,Deletion
270,,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")",1.0,Deletion
271,"('#diane', 'Remuez-vous, Endymion ? La... AIR : Bonsoir la compagnie.')","('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')",1.41,Substitution
272,"('#endymion', ""C'en est fait ma mie !"")","('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")",1.43,Substitution
273,,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")",1.0,Deletion
274,,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")",1.0,Deletion
275,"('#diane', 'Juste ciel !')","('#choeur', 'Comment faire Pour se taire ?')",1.85,Substitution
276,"('#endymion', 'Bonsoir bouchon ! Bonsoir la compagnie ! Bonsoir,  pour deux ou trois cent ans ! Bonsoir la compagnie !')","('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")",1.44,Substitution
277,,"('#le-mechant-poete', 'Quoi ! Dans ces lieux sacrés on souffre la satire !')",1.0,Deletion
278,"('#bacchus', ""Voilà ce qui s'appelle agir vertement. Les plaisants seront bien camus, Ils ne chanteront plus (bis) Que Pluton sortant de l'enfer Ne vient que prendre l'air. (bis) AIR : Je ferai mon devoir"")","('#thalie', ""Soyez les premiers à rire. Les ridicules se consolent et font une entrée, dansant tous sur les mêmes pas, et gardant toutefois, autant qu'ils peuvent, leur caractère.  Mercure, monté sur Pégase, descend au sacré vallon. Il interrompt la danse des ridicules, et vient présenter trois couronnes de laurier à ces trois genres de poésie. "")",0.63,Substitution
279,"('#diane', 'Le voilà dans un engourdissement épouvantable. Adieu paniers [vendanges sont faites] Que ferai-je dans ces retraites, Sans mon berger, Sans mes amours? Hélas ! Il dormira toujours. Adieu Paniers, Vendanges sont faites. AIR Les suivants de Morphée emportent Endymion endormi, Diane désespérée le suit, et tous les dieux lui font cortège en chantant.')","('#mercure', ""Chacun de vous doit être couronné : Recevez ces présents de la part de Daphné. Elle est maintenant déesse, Aimant le dieu de ces lieux : Poussez-en jusques aux cieux Des chants remplis d'allégresse. Mercure revole au ciel, ayant laissé Pégase sur le double mont. Quatre auteurs lyriques et autant de Muses du même genre viennent danser en témoignage de joie ; puis les ridicules se mêlent avec eux, formant de différentes figures avec des branches de laurier qu'ils portent tous, et dont ils se font des espèces de berceaux. C'est le grand ballet. "")",0.4,Substitution
280,,"('#une-muse-lyrique', ""Il n'est que de s'enflammer ; Laissez, laissez-vous charmer ; La raison vous y convie : Sans le dieu qui fait aimer, Que serait-ce que la vie ? Le grand ballet recommence encore."")",1.0,Deletion
281,"('#le-choeur-des-dieux', 'Adieu paniers, vendanges sont faites.')","('#autre-muse-lyrique', 'Chacun sert quelque désir ; Tout consiste à bien choisir ; Faites-vous de douces chaînes : En amour tout est plaisir, Et même jusques aux peines.')",1.81,Substitution
282,,"('#le-choeur', ""Aimez, doctes nourrissons : S'il n'était point d'amour, serait-il des chansons ?"")",1.0,Deletion
