,dufresny-chevalier-joueur,regnard-joueur,Cost,Operation Type
507,"('#nerine', ""Il ne l'aura pas trouvée, Monsieur. N'est-il pas vrai que Mademoiselle n'y est pas ? À Dorante, lui faisant signe de dire comme elle."")","('#hector', ""Mais le voici qui vient poussé d'un heureux vent : Il a les yeux sereins et l'accueil avenant. Par votre ordre, Monsieur, j'ai vu Monsieur Géronte, Qui de notre mémoire a fait fort peu de compte : Sa monnaie est frappée avec un vilain coin ; Et de pareil argent nous n'avons pas besoin. J'ai vu, chemin faisant, aussi Monsieur Dorante : Morbleu ! Qu'il est fâché ! Haut."")",1.17,Substitution
508,"('#dorante', ""Elle y est Chevalier, elle y est ; je n'ai pas envie de vous en faire mystère."")",,1.0,Insertion
509,"('#le-chevalier', 'Nérine.')",,1.0,Insertion
510,"('#nerine', 'Sauvons-nous.')","('#valere', 'Mille deux cent cinquante.')",1.67,Substitution
511,"('#le-chevalier', 'Angélique y est, dites-vous ?')","('#hector', ""La flotte est arrivée avec les galions ; Cela va diablement hausser nos actions. J'ai vu pareillement, par votre ordre, Angélique ; Elle m'a dit... Haut."")",1.12,Substitution
512,,"('#valere', ""Morbleu ! Ce dernier coup me pique ; Sans les cruels revers de deux coups inouis, J'aurais encor gagné plus de deux cents louis."")",1.0,Deletion
513,,"('#hector', 'Cette fille, Monsieur, de votre amour est folle.')",1.0,Deletion
514,"('#dorante', ""Je viens de m'entretenir avec elle."")","('#valere', ""Damon m'en doit encor deux cents sur sa parole."")",1.27,Substitution
515,"('#le-chevalier', ""L'aveu est sincère ?  À ce qui me paraît, on vous favorise, cependant vous n'êtes qu'ami, dites-vous, et vous faites profession de ne pas dire une chose pour l'autre."")","('#hector', ""Monsieur, écoutez-moi ; calmez un peu vos sens ; Je parle d'Angélique, et depuis fort longtemps."")",1.54,Substitution
516,"('#dorante', ""Si le vous ai trompé, j'ai été trompé le premier ; je croyais que l'amitié seule m'intéressait pour Angélique, mais..."")","('#valere', ""Ah ! D'Angélique ? Eh bien ! Comment suis-je avec elle ?"")",0.56,Substitution
517,,"('#hector', ""On n'y peut être mieux. Ah ! Monsieur, qu'elle est belle ! Et que j'ai de plaisir à vous voir raccroché !"")",1.0,Deletion
518,,"('#valere', ""À te dire le vrai, je n'en suis pas fâché."")",1.0,Deletion
519,"('#le-chevalier', ""Mais...  mais vous plaisantez, et si vous avez de l'amour pour ma Maîtresse, vous êtes trop prudent pour me l'avouer."")","('#hector', ""Comment ! Quelle froideur s'empare de votre âme ! Quelle glace ! Tantôt vous étiez tout de flamme. Ai-je tort quand je dis que l'argent de retour Vous fait faire toujours banqueroute à l'amour ? Vous vous sentez en fonds, ergo plus de maîtresse."")",0.72,Substitution
520,"('#dorante', ""Non seulement je l'avoue, mais j'allais vous chercher pour vous le déclarer."")","('#valere', ""Ah ! Juge mieux, Hector, de l'amour qui me presse. J'aime autant que jamais ; mais sur ma passion J'ai fait, en te quittant, quelque réflexion. Je ne suis point du tout né pour le mariage. Des parents, des enfants, une femme, un ménage, Tout cela me fait peur. J'aime la liberté."")",1.39,Substitution
521,,"('#hector', 'Et le libertinage.')",1.0,Deletion
522,"('#le-chevalier', ""C'est pousser un peu loin la raillerie."")","('#valere', ""Hector, en vérité, Il n'est point dans le monde un état plus aimable Que celui d'un joueur : sa vie est agréable ; Ses jours sont enchaînés par des plaisirs nouveaux ; Comédie, opéra, bonne chère, cadeaux : Il traîne en tous les lieux la joie et l'abondance : On voit régner sur lui l'air de magnificence ; Tabatières, bijoux : sa poche est un trésor : Sous ses heureuses mains le cuivre devient or."")",1.67,Substitution
523,,"('#hector', ""Et l'or devient à rien."")",1.0,Deletion
524,"('#dorante', 'Non : sur pareilles matières la raillerie...')","('#valere', ""Chaque jour mille belles Lui font la cour par lettre, et l'invitent chez elles : La porte, à son aspect, s'ouvre à deux grands battants. Là, vous trouvez toujours des gens divertissants ; Des femmes qui jamais n'ont pu fermer la bouche, Et qui sur le prochain vous tirent à cartouche ; Des oisifs de métier, et qui toujours sur eux Portent de tout Paris le lardon scandaleux ; Des Lucrèces du temps, là, de ces filles veuves, Qui veulent imposer et se donner pour neuves ; De vieux seigneurs toujours prêts à vous cajoler ; Des plaisants qui font rire avant que de parler. Plus agréablement peut-on passer la vie ?"")",1.2,Substitution
525,,"('#hector', ""D'accord. Mais quand on perd, tout cela vous ennuie."")",1.0,Deletion
526,"('#le-chevalier', 'Sur pareilles matières le sérieux est encore pis ; quoi !  Tous ces beaux conseils que vous donniez à Angélique étaient dictés par la jalousie ?  Ce procédé serait excusable dans un homme de Cour, mais vous qui vous piquez de sincérité...')","('#valere', ""Le jeu rassemble tout ; il unit à la fois Le turbulent Marquis, le paisible bourgeois. La femme du banquier, dorée et triomphante, Coupe orgueilleusement la duchesse indigente. Là, sans distinction, on voit aller de pair Le laquais d'un commis avec un duc et pair ; Et quoi qu'un sort jaloux nous ait fait d'injustices, De sa naissance ainsi l'on venge les caprices."")",0.37,Substitution
527,"('#dorante', ""Je ne me pique de rien ; mais voici mon procédé qui vous paraîtra plus singulier encore que l'aveu de mon amour.  Angélique avait résolu de différer votre mariage, c'est moi seul qui lui fais changer de résolution ; en un mot, elle m'a promis de vous épouser incessamment."")","('#hector', ""À ce qu'on peut juger de ce discours charmant, Vous voilà donc en grâce avec l'argent comptant. Tant mieux. Pour se conduire en bonne politique, Il faudrait retirer le portrait d'Angélique."")",1.16,Substitution
528,,"('#valere', 'Nous verrons.')",1.0,Deletion
529,,"('#hector', 'Vous savez...')",1.0,Deletion
530,,"('#valere', 'Je dois jouer tantôt.')",1.0,Deletion
531,"('#le-chevalier', ""J'avoue que le sacrifice est héroïque."")","('#hector', 'Tirez-en mille écus.')",1.61,Substitution
532,,"('#valere', ""Oh ! Non, c'est un dépôt..."")",1.0,Deletion
533,"('#dorante', ""Moins héroïque qu'il ne vous paraît : il est vrai, je viens de lui conseiller de vous offrir sa main, mais elle ne vous l'offrira qu'à des conditions."")","('#hector', ""Pour mettre quelque chose à l'abri des orages, S'il vous plaisait du moins de me payer mes gages."")",1.11,Substitution
534,"('#le-chevalier', ""Ces conditions apparemment sont d'une nature à rompre l'affaire."")",,1.0,Insertion
535,"('#dorante', 'Si vous les refusez, ce sera votre faute.')",,1.0,Insertion
536,"('#le-chevalier', 'Parlez en honnête homme ; souhaitez-vous que je les accepte ?')","('#valere', 'Quoi ! Je te dois ?')",0.82,Substitution
537,"('#dorante', ""Si je le souhaite, je n'en sais rien, Chevalier ; je vous ai dit que j'aime, je n'ose répondre de mes sentiments, mais au moins je vous réponds de ma conduite.  En un mot, j'ai mis votre bonheur entre vos mains, c'est tout ce que j'ai dû faire pour Angélique, pour vous, et pour moi ; elle vient, je vous laisse ensemble."")","('#hector', ""Depuis que je suis avec vous, Je n'ai pas, en cinq ans, encor reçu cinq sous."")",1.3,Substitution
538,,"('#valere', ""Mon père te paiera ; l'article est au mémoire."")",1.0,Deletion
539,"('#nerine', ""Je crains que vous n'en disiez plus que vous ne voudrez."")","('#hector', ""Votre père ? Ah ! Monsieur, c'est une mer à boire. Son argent n'a point cours, quoiqu'il soit bien de poids."")",1.56,Substitution
540,,"('#valere', ""Va, j'examinerai ton compte une autre fois. J'entends venir quelqu'un."")",1.0,Deletion
541,,"('#hector', ""Je vois votre sellière. Elle a flairé l'argent."")",1.0,Deletion
542,,"('#valere', 'Il faut nous en défaire.')",1.0,Deletion
543,,"('#hector', 'Et Monsieur Galonier, votre honnête tailleur.')",1.0,Deletion
544,,"('#valere', 'Quel contre-temps !')",1.0,Deletion
545,,"('#valere', ""Je suis votre humble serviteur. Bonjour, Madame Adam. Quelle joie est la mienne ! Vous voir ! C'est du plus loin, parbleu, qu'il me souvienne."")",1.0,Deletion
546,"('#angelique', ""Est-il vrai que vous ayez joué toute la nuit ?  Je veux l'apprendre par vous-même...  Vous ne dites mot, répondez-moi donc, Chevalier...  vous cherchez de mauvaises excuses pour justifier votre conduite."")","('#madame-adam', 'Je viens pourtant ici souvent faire ma cour ; Mais vous jouez la nuit, et vous dormez le jour.')",0.21,Substitution
547,,"('#valere', ""C'est pour cette calèche à velours à ramage ?"")",1.0,Deletion
548,,"('#madame-adam', ""Oui, s'il vous plaît."")",1.0,Deletion
549,"('#le-chevalier', ""C'est à vous ingrate, à me justifier la vôtre."")","('#valere', ""Je suis fort content de l'ouvrage ; Il faut vous la payer... Songe par quel moyen Tu pourras me tirer de ce triste entretien. Vous, Monsieur Galonier, quel sujet vous amène ? Bas à Hector. Haut."")",0.98,Substitution
550,,"('#monsieur-galonier', 'Je viens vous demander...')",1.0,Deletion
551,"('#angelique', ""La manière de s'excuser est tendre."")","('#hector', 'Vous prenez trop de peine.')",0.94,Substitution
552,,"('#monsieur-galonier', 'Vous...')",1.0,Deletion
553,"('#le-chevalier', 'Vous parlez de tendresse, vous, est-ce que vous la connaissez ?')","('#hector', 'Vous faites toujours mes habits trop étroits.')",1.73,Substitution
554,,"('#monsieur-galonier', 'Si...')",1.0,Deletion
555,,"('#hector', ""Ma culotte s'use en deux ou trois endroits."")",1.0,Deletion
556,,"('#monsieur-galonier', 'Je...')",1.0,Deletion
557,"('#angelique', 'Je ne connais guère la vôtre, du moins, faire ce qui me déplaît le plus, mépriser mes volontés, violer vos serments...')","('#hector', 'Vous cousez si mal...')",1.04,Substitution
558,,"('#madame-adam', 'Nous marions ma fille.')",1.0,Deletion
559,"('#le-chevalier', ""Il est bien question d'entrer dans ces petits détails, pendant que vous manquez au fond de la tendresse : quoi, Madame, vous savez la passion de Dorante, et vous avez encore de la confiance en lui ?"")","('#valere', 'Quoi ! Vous la mariez ? Elle est vive et gentille ; Et son époux futur doit en être content.')",0.98,Substitution
560,"('#angelique', ""Vous lui avez plus d'obligation, que vous ne pensez."")","('#madame-adam', ""Nous aurions grand besoin d'un peu d'argent comptant."")",1.76,Substitution
561,"('#le-chevalier', ""Qu'entends-je ?  Me forcer d'avoir obligation à mon rival ?  Peut-on plus cruellement m'offenser ?"")","('#valere', ""Je veux, Madame Adam, mourir à votre vue, Si j'ai..."")",1.43,Substitution
562,"('#angelique', ""Pardon, je croyais que c'était vous qui m'aviez offensée."")","('#madame-adam', ""Depuis longtemps cette somme m'est due."")",1.57,Substitution
563,"('#le-chevalier', 'Je ne devrais jamais vous pardonner...  Mais hélas !')","('#valere', ""Que je sois en maraud, déshonoré cent fois, Si l'on m'a vu toucher un sou depuis six mois !"")",1.4,Substitution
564,"('#nerine', ""Mais, hélas !...  voilà un hélas qui part d'un grand fond de bonté... Se peut-il qu'il y ait des hommes si scélérats, et des femmes si faibles ? À part."")","('#hector', 'Oui, nous avons tous deux, par pitié profonde, Fait voeu de pauvreté : nous renonçons au monde.')",0.85,Substitution
565,"('#angelique', ""J'avoue que je ne m'attendais pas à être querellée, je croyais que vous étiez au désespoir d'avoir joué."")","('#monsieur-galonier', ""Que votre coeur pour moi se laisse un peu toucher ! Notre femme est, Monsieur, sur le point d'accoucher. Donnez-moi cent écus sur et tant moins des dettes."")",1.36,Substitution
566,"('#le-chevalier', ""Moi, Madame, je serais bien fâchée de ne l'avoir pas fait."")","('#hector', 'Et de quoi diable aussi, du métier dont vous êtes, Vous avisez-vous là de faire des enfants ? Faites-moi des habits.')",1.73,Substitution
567,"('#angelique', 'Quels discours ?')","('#monsieur-galonier', 'Seulement deux cents francs.')",1.89,Substitution
568,"('#le-chevalier', ""Oui, je suis ravi d'avoir connu jusqu'où peut aller l'acharnement du jeu sur un homme : j'ai éprouvé cette nuit...  Non, ces coups-là n'arrivent qu'à moi ; cela m'a donné une horreur pour le jeu, et c'est cette horreur qui me charme, puisqu'elle vous répond de ma conduite à venir ; ah !  Madame, il fallait cela pour me guérir entièrement du jeu."")","('#valere', ""Et mais... si j'en avais... comptez que dans la vie Personne de payer n'eut jamais tant d'envie. Demandez..."")",0.84,Substitution
569,"('#angelique', 'Je ne dois plus me fier à vos résolutions.')","('#hector', ""S'il avait quelques deniers comptants, Ne me paierait-il pas mes gages de cinq ans ? Votre dette n'est pas meilleure que la mienne."")",1.55,Substitution
570,"('#le-chevalier', ""Je sais que vous voulez m'imposer une loi."")","('#madame-adam', 'Mais quand faudra-t-il donc, Monsieur, que je revienne ?')",1.58,Substitution
571,"('#angelique', ""Avant que de m'expliquer avec vous là-dessus, je veux éprouver votre conduite."")","('#valere', 'Mais... quand il vous plaira... dès demain ; que sait-on ?')",1.26,Substitution
572,,"('#hector', 'Je vous avertirai quand il y fera bon.')",1.0,Deletion
573,,"('#monsieur-galonier', ""Pour moi, je ne sors point d'ici qu'on ne m'en chasse."")",1.0,Deletion
574,,"('#hector', ""Non, je ne vis jamais d'animal si tenace."")",1.0,Deletion
575,"('#le-chevalier', ""Ah !  Belle Angélique, éprouvez-moi dans des choses plus difficiles ; commandez-moi d'exposer ma fortune, ma gloire, ma vie."")","('#valere', ""Écoutez, je vous dis un secret qui, je crois, Vous plaira dans la suite autant et plus qu'à moi. Je vais me marier tout-à-fait : et mon père Avec mes créanciers doit me tirer d'affaire."")",0.6,Substitution
576,,"('#hector', 'Pour le coup...')",1.0,Deletion
577,,"('#madame-adam', ""Il me faut de l'argent cependant."")",1.0,Deletion
578,,"('#hector', ""Cette raison vaut mieux que de l'argent comptant. Montrez-nous les talons."")",1.0,Deletion
579,,"('#monsieur-galonier', 'Monsieur, ce mariage Se fera-t-il bientôt ?')",1.0,Deletion
580,"('#angelique', ""Votre vie, hélas !  Si jusqu'à présent vous n'avez pu me sacrifier seulement votre passion pour le jeu..."")","('#hector', ""Tout au plus tôt. J'enrage."")",1.63,Substitution
581,,"('#madame-adam', 'Sera-ce dans ce jour ?')",1.0,Deletion
582,"('#le-chevalier', ""C'est bien de même, Madame, c'est bien de même !"")","('#hector', ""Nous l'espérons. Adieu. Sortez. Nous attendons la future en ce lieu : Si l'on vous trouve ici, vous gâterez l'affaire."")",1.35,Substitution
583,"('#angelique', ""Cela est tout différent, d'accord."")",,1.0,Insertion
584,"('#le-chevalier', ""Ce que vous exigez de moi est un si petit sacrifice, qu'en vérité vous ne devriez pas y faire attention, et je ne me fais pas un mérite auprès de vous de ne point jouer ; au contraire vous me faites un vrai plaisir de me le défendre : naturellement je hais le jeu, moi ; l'oisiveté seule me faisait chercher cet amusement ; mais hélas !  Je serai si pleinement occupé du plaisir d'être à vous....  Ah !  Charmante Angélique, hâtez-vous de m'occuper."")","('#madame-adam', 'Vous me promettez donc ? ...')",1.38,Substitution
585,"('#angelique', ""Je vais employer l'après-midi à disposer de mes affaires selon la résolution que j'ai prise."")","('#hector', 'Allez, laissez-moi faire.')",1.05,Substitution
586,"('#le-chevalier', 'Permettez-moi de passer le reste du jour avec vous.')","('#madame-adam #monsieur-galonier', 'Mais, monsieur...')",1.42,Substitution
587,,"('#hector', 'Que de bruit ! Oh ! Parbleu, détalez.')",1.0,Deletion
588,"('#angelique', ""C'est pour certains détails...  vous m'embarrasseriez."")","('#hector', 'Voilà des créanciers assez bien régalés. Vous devriez pourtant, en fonds comme vous êtes...')",1.12,Substitution
589,,"('#valere', 'Rien ne porte malheur comme payer ses dettes.')",1.0,Deletion
590,"('#le-chevalier', 'Non, Madame, non, je ne puis vivre sans vous voir, quand je devrais vous embarrasser...')","('#hector', ""Ah ! Je ne dois donc plus m'étonner désormais Si tant d'honnêtes gens ne les payent jamais."")",0.97,Substitution
591,,"('#hector', 'Mais voici le Marquis, ce héros de tendresse.')",1.0,Deletion
592,,"('#valere', ""C'est là le soupirant ?"")",1.0,Deletion
593,"('#frontin', 'Voici...')","('#hector', 'Oui, de notre comtesse.')",1.34,Substitution
594,"('#le-chevalier', 'Mais, Madame, vous dites que je vous embarrasserais.')","('#le-marquis', ""Que ma chaise se tienne à deux cents pas d'ici. Et vous, mes trois laquais, éloignez-vous aussi : Je suis incognito . Les laquais sortent."")",1.22,Substitution
595,,"('#hector', 'Que prétend-il donc faire ?')",1.0,Deletion
596,"('#angelique', 'Cependant, Chevalier, si vous vouliez...')","('#le-marquis', ""N'est-ce pas vous, Monsieur, qui vous nommez Valère ?"")",1.07,Substitution
597,,"('#valere', ""Oui, monsieur ; c'est ainsi qu'on m'a toujours nommé."")",1.0,Deletion
598,"('#le-chevalier', 'Non, madame, je vous quitte, il faut se faire violence ; adieu mon unique plaisir.')","('#le-marquis', ""Jusques au fond du coeur j'en suis, parbleu, charmé. Faites que ce valet à l'écart se retire."")",0.97,Substitution
599,,"('#valere', ""Va-t'en."")",1.0,Deletion
600,,"('#hector', 'Monsieur...')",1.0,Deletion
601,,"('#valere', ""Va-t'en : faut-il te le redire ?"")",1.0,Deletion
602,"('#angelique', ""Rendez-vous ce soir chez moi, nous verrons si je puis faire votre bonheur... Angélique s'en va."")","('#le-marquis', 'Savez-vous qui je suis ?')",1.17,Substitution
603,,"('#valere', ""Je n'ai pas cet honneur."")",1.0,Deletion
604,"('#le-chevalier', 'Vous ferez tout mon bonheur ; adieu tout mon bonheur, adieu.')","('#le-marquis', ""Courage ; allons, Marquis, montre de la vigueur : il craint. Je suis pourtant fort connu dans la ville ; Et, si vous l'ignorez, sachez que je faufile Avec ducs, archiducs, princes, seigneurs, Marquis, Et tout ce que la cour offre de plus exquis ; Petits-maîtres de robe à courte et longue queue. J'évente les beautés et leur plais d'une lieue. Je m'érige aux repas en maître architriclin ; Je suis le chansonnier et l'âme du festin. Je suis parfait en tout. Ma valeur est connue ; Je ne me bats jamais qu'aussitôt je ne tue : De cent jolis combats je me suis démêlé ; J'ai la botte trompeuse et le jeu très brouillé. Mes aïeux sont connus ; ma race est ancienne ; Mon trisaïeul était vice-bailli du Maine. J'ai le vol du chapon : ainsi, dès le berceau, Vous voyez que je suis gentilhomme manceau. Haut."")",1.73,Substitution
605,"('#le-chevalier', 'Donne vite.')","('#valere', 'On le voit à votre air.')",1.29,Substitution
606,"('#frontin', ""Adieu tout votre bonheur, adieu ; car en allant jouer ces deux cents pistoles, vous perdez à coup sûr cinquante mille écus qui vous attendent ce soir.  La réflexion opère...  Courage, Monsieur, courage ; quelle gloire pour un Joueur converti de triompher l'argent à la main de la rage de l'aller perdre."")","('#le-marquis', ""J'ai, sur certaine femme Jeté, sans y songer, quelque amoureuse flamme. J'ai trouvé la matière assez sèche de soi ; Mais la belle est tombée amoureuse de moi. Vous le croyez sans peine : on est fait d'un modèle, À prétendre hypothèque, à fort bon droit, sur elle ; Et vouloir faire obstacle à de telles amours, C'est prétendre arrêter un torrent dans son cours."")",0.84,Substitution
607,"('#le-chevalier', ""J'avoue que je me laissais entraîner moins par inclination que par habitude."")","('#valere', ""Je ne crois pas,Monsieur, qu'on fût si téméraire."")",1.13,Substitution
608,"('#frontin', 'Tant que vous aurez entre vos mains cet objet de tentation...')","('#le-marquis', ""On m'assure pourtant que vous le voulez faire."")",1.13,Substitution
609,"('#le-chevalier', ""Tu as raison ; tiens, va-t'en le porter."")",,1.0,Insertion
610,"('#frontin', 'Donnez.')","('#valere', 'Moi ?')",0.0,Match
611,,"('#le-marquis', ""Que, sans respecter ni rang, ni qualité, Vous nourrissez dans l'âme une velléité De me barrer son coeur."")",1.0,Deletion
612,,"('#valere', ""C'est pure médisance ; Je sais ce qu'entre nous le sort mit de distance."")",1.0,Deletion
613,"('#le-chevalier', 'Je suis résolu...')","('#le-marquis', ""Il tremble. Savez-vous, Monsieur du lansquenet, Que j'ai de quoi rabattre ici votre caquet ? Haut."")",1.66,Substitution
614,"('#frontin', 'De le garder.')","('#valere', 'Je le sais.')",1.37,Substitution
615,,"('#le-marquis', ""Vous croyez, en votre humeur caustique, En agir avec moi comme avec l'as de pique."")",1.0,Deletion
616,"('#le-chevalier', ""C'est Monsieur_le_Marquis ; hé de quel pays venez-vous donc ?  Quoi !  Des mois entiers sans visiter les bassettes !  Cela n'est point permis ; à moins que l'on ne soit mort."")","('#valere', 'Moi, monsieur ?')",1.3,Substitution
617,"('#le-marquis', ""Qheu...  Qheu...  je viens de me mettre au lait à une de mes terres ; les veilles, qheu, les disputes, qheu, les jurements nous ruinent la poitrine, à nous autres Joueurs ; vous devriez aussi vous mettre au lait.  Le lait est un grand remède, qheu, je m'en trouve fort bien, qheu ; mais je vous dis fort bien, qheu, q, fort bien, q, fort bien, q, fort bien. Il tousse jusqu'à extinction."")","('#le-marquis', ""Il me craint. Vous faites le plongeon, Petit noble à nasarde, enté sur sauvageon. Je crois qu'il a du coeur. Je retiens ma colère : Mais... Haut. Valère enfonce son chapeau. Bas. Haut."")",1.4,Substitution
618,"('#frontin', 'Vous voilà guéri, votre poitrine joue de son reste.')","('#valere', 'Vous le voulez donc ? Il faut vous satisfaire.')",1.45,Substitution
619,"('#le-marquis', ""En arrivant j'apprends une grande nouvelle."")","('#le-marquis', 'Bon ! Bon ! Je ris.')",1.43,Substitution
620,,"('#valere', 'Vos ris ne sont point de mon goût, Et vos airs insolents ne plaisent point du tout. Vous êtes un faquin.')",1.0,Deletion
621,"('#le-chevalier', 'On vous a dit peut-être que je me suis retiré du jeu.')","('#le-marquis', 'Cela vous plaît à dire.')",1.79,Substitution
622,,"('#valere', 'Un fat, un malheureux.')",1.0,Deletion
623,,"('#le-marquis', 'Monsieur, vous voulez rire.')",1.0,Deletion
624,"('#le-marquis', ""Non, qheu...  Ce n'est pas cela qheu...  C'est votre mariage, je vous félicite...  Cinquante mille écus, dit-on ?..."")","('#valere', ""Il faut voir sur-le-champ si les vice-baillis Sont si francs du collier que vous l'avez promis."")",1.53,Substitution
625,"('#le-chevalier', ""L'argent me touche peu ; c'est un mariage d'inclination."")","('#le-marquis', 'Mais faut-il nous brouiller pour un sot point de gloire ?')",1.69,Substitution
626,,"('#valere', 'Oh ! Le vin est tiré, monsieur ; il le faut boire.')",1.0,Deletion
627,,"('#le-marquis', 'Ah ! Ah ! Je suis blessé.')",1.0,Deletion
628,,"('#hector', 'Quels desseins emportés ? ...')",1.0,Deletion
629,"('#le-marquis', ""Pour la beauté, ou pour l'argent, c'est toujours inclination."")","('#le-marquis', ""Ah ! C'est trop endurer."")",1.54,Substitution
630,"('#le-chevalier', 'Et vous, Marquis, ne vous lassez-vous point de la vie de garçon ?')","('#hector', 'Ah ! Monsieur, arrêtez.')",0.92,Substitution
631,"('#frontin', ""Pas encore qu'heu...  Je me marierai qu'heu... quand j'aurai la goutte."")",,1.0,Insertion
632,"('#frontin', 'La goutte et les poitrines au lait, font la moitié des mauvais ménages.')",,1.0,Insertion
633,"('#le-chevalier', ""Pour moi qui aime la vie réglée, je vais m'établir solidement."")","('#le-marquis', 'Laissez-moi donc.')",1.46,Substitution
634,,"('#hector', 'Tout beau !')",1.0,Deletion
635,"('#le-marquis', ""Je ne vois point d'établissement plus solide, que de ponter qu'heu... contre une certaine dupe qui taille chez la Baronne ; c'est un gros boeuf qu'heu... qu'heu.... riche et bête à l'avenant, il taille tant qu'il a de l'argent, et il a de l'argent tant qu'il veut."")","('#valere', ""Cesse de le contraindre : Va, c'est un malheureux qui n'est pas bien à craindre."")",1.38,Substitution
636,"('#le-chevalier', 'Bonne pratique, ma foi !  Bonne pratique !')","('#hector', 'Quel sujet ? ...')",1.75,Substitution
637,"('#le-marquis', 'Il a pris la banque de la bassette pour se faire des amis : par politesse il oublie les cartes des Dames, et il paye les hommes deux fois pour éviter les querelles.')","('#le-marquis', ""Votre maître a certains petits airs... Et prend mal à propos les choses de travers. On vient civilement pour s'éclaircir d'un doute, Et monsieur prend la chèvre ; il met tout en déroute, Fait le petit mutin. Oh ! Cela n'est pas bien. Valère s'approche du Marquis. Le Marquis effrayé, dit doucement."")",1.03,Substitution
638,,"('#hector', 'Mais encor quel sujet ?')",1.0,Deletion
639,,"('#le-marquis', ""Quel sujet ? Moins que rien. L'amour de la Comtesse auprès de lui m'appelle..."")",1.0,Deletion
640,"('#frontin', 'On vous veut tenter ; Monsieur_le_Marquis au lait a fleuré la bourse.')","('#hector', ""Ah ! Diable, c'est avoir une vieille querelle. Quoi ! Vous osez, monsieur, d'un coeur ambitieux, Sur notre patrimoine ainsi jeter les yeux ! Attaquer la Comtesse, et nous le dire encore !"")",1.17,Substitution
641,,"('#le-marquis', ""Bon ! Je ne l'aime pas ; c'est elle qui m'adore."")",1.0,Deletion
642,,"('#valere', ""Oh ! Vous pouvez l'aimer autant qu'il vous plaira ; C'est un bien que jamais on ne vous enviera : Vous êtes en effet un amant digne d'elle : Je vous cède les droits que j'ai sur cette belle."")",1.0,Deletion
643,,"('#hector', 'Oui, les droits sur le coeur ; mais sur la bourse, Non.')",1.0,Deletion
644,,"('#le-marquis', ""Je le savais bien, moi, que j'en aurais raison ; Et voilà comme il faut se tirer d'une affaire."")",1.0,Deletion
645,"('#le-marquis', ""Si vous étiez d'humeur à vous enrichir."")","('#hector', ""N'auriez-vous point besoin d'un peu d'eau vulnéraire ?"")",1.49,Substitution
646,,"('#le-marquis', 'Je suis ravi de voir que vous ayez du coeur, Et que le tout se soit passé dans la douceur. Serviteur. Vous et moi, nous en valons deux autres. Je suis de vos amis.')",1.0,Deletion
647,,"('#valere', 'Je ne suis pas des vôtres.')",1.0,Deletion
648,"('#le-chevalier', 'Non, Marquis, non.')","('#valere', 'Voilà donc ce Marquis, cet homme dangereux ?')",0.84,Substitution
649,"('#frontin', 'Mon Maître aime la pauvreté.')",,1.0,Insertion
650,"('#le-marquis', ""C'est une tonne d'or que ce gros faquin-là, jamais Banquier n'a taillé plus libéralement ?"")","('#hector', 'Oui, monsieur, le voilà.')",1.32,Substitution
651,"('#le-chevalier', 'En un mot comme en mille je ne joue plus, je ne veux plus jouer.')","('#valere', ""C'est un grand malheureux. Je crains que mes joueurs ne soient sortis du gîte ; Ils ont trop attendu ; j'y retourne au plus vite. J'ai dans le coeur, Hector, un bon pressentiment ; Et je dois aujourd'hui gagner, assurément."")",1.46,Substitution
652,"('#le-marquis', ""Cela s'appelle n'être bon à rien qu'heu...  bon à rien ; je vais donc courir les spectacles."")","('#hector', ""Votre coeur est, Monsieur, toujours insatiable. Ces inspirations viennent souvent du diable ; Je vous en avertis, c'est un futé matois."")",1.42,Substitution
653,,"('#valere', ""Elles m'ont réussi déjà plus d'une fois."")",1.0,Deletion
654,,"('#hector', ""Tant va la cruche à l'eau..."")",1.0,Deletion
655,,"('#valere', ""Paix ! Tu veux contredire : À mon âge, crois-tu m'apprendre à me conduire ?"")",1.0,Deletion
656,,"('#hector', 'Vous ne me parlez point, Monsieur, de votre amour.')",1.0,Deletion
657,,"('#valere', 'Non.')",1.0,Deletion
658,,"('#hector', ""Il m'en parlera peut-être à son retour."")",1.0,Deletion
659,,"('#nerine', ""En vain vous m'opposez une indigne tendresse, Je n'ai vu de mes jours avoir tant de mollesse. Je ne puis sur ce point m'accorder avec vous. Valère n'est point fait pour être votre époux ; Il ressent pour le jeu des fureurs nonpareilles, Et cet homme perdra quelque jour ses oreilles."")",1.0,Deletion
660,,"('#angelique', 'Le temps le guérira de cet aveuglement.')",1.0,Deletion
661,,"('#nerine', 'Le temps augmente encore un tel attachement.')",1.0,Deletion
662,"('#le-chevalier', 'Opéra ou Comédie ?')","('#angelique', ""Ne combats plus, Nérine, une ardeur qui m'enchante ; Tu prendrais pour l'éteindre une peine impuissante. Il est des noeuds formés sous des astres malins, Qu'on chérit malgré soi. Je cède à mes destins. La raison, les conseils ne peuvent m'en distraire, Je vois le bon parti ; mais je prends le contraire."")",1.88,Substitution
