,la-fontaine-daphne,quinault-persee,Cost,Operation Type
193,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",,1.0,Insertion
194,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#meduse #euryale #stenone', ""Non, ce n'est que pour la colère Que nos coeurs malheureux sont faits : Non, le repos ne peut nous plaire ; Nous y renonçons pour jamais. Non, ce n'est que pour la colère, etc."")",0.88,Substitution
195,"('#leucippe', 'Et mon bien ?')",,1.0,Insertion
196,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#mercure', 'Il faut céder, il faut vous rendre Au charme qui va vous surprendre.')",1.06,Substitution
197,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#meduse #euryale #stenone', ""Il faut nous rendre malgré nous Au charme d'un sommeil trop doux. Les trois Gorgones s'endorment."")",1.13,Substitution
198,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#mercure', ""Persée, approchez-vous ; Méduse est endormie. Avancez sans bruit ; surprenez Une si terrible ennemie. Si vous osez la voir, c'est fait de votre vie."")",1.15,Substitution
199,,"('#cephee', ""Je suivrai les conseils que vous m'avez donnés."")",1.0,Deletion
200,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#mercure', ""Je vous laisse au milieu d'un péril redoutable ; Je ne puis plus rien pour vos jours ; Cherchez votre dernier secours Dans un courage inébranlable."")",0.94,Substitution
201,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")","('#cephee', ""Un prix qui me doit charmer M'est offert par la Victoire : Quel péril peut m'alarmer ? L'amour et la gloire S'unissent pour m'animer. Mercure se retire, Persée, tenant son bouclier devant ses yeux, approche de Méduse ; il lui coupe la tête, et la cacha dans une écharpe pour l'emporter avec lui."")",0.96,Substitution
202,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#cephee', ""Le monde est délivré d'un monstre si terrible ; Le ciel s'est servi de mon bras."")",1.52,Substitution
203,"('#telamon', 'Changera-t-il son âme ?')",,1.0,Insertion
204,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",,1.0,Insertion
205,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#euryale #stenone', ""Tu fais périr Méduse ! Ah ! Traître ! Tu mourras.. Qu'il meure d'un trépas horrible ! Mais qui peut le rendre invisible... ? Méduse après sa mort trouble encor l'univers ; C'est son sang qui produit tant de monstres divers, Monstres, cherchez votre victime ; Vengez le sang qui vous anime, Servez nos fureurs, armez-vous ; Vengeons Méduse ; vengeons-nous. Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir. Chrysaor, Pégase et plusieurs autres monstres de figure bizarre et terrible, se forment du sang de Méduse. Chrysaor et Pégase volent, quelques-uns des autres monstres s'élèvent aussi dans l'air, quelques autres rampent, les autres courent, et tous cherchent Persée, qui est caché à leurs yeux par la vertu du casque."")",0.56,Substitution
206,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#mercure', ""Persée allez, volez où l'amour vous appelle... Gorgones, désormais vous serez sans pouvoir : Ce lieu n'est pas pour vous un séjour assez noir, Venez dans la nuit éternelle. Persée vole, et emporte la tête de Méduse. Les monstres qui s'efforcent de la suivre tombent avec Euryale et Sténone dans les enfers, où Mercure les contraint de descendre."")",1.23,Substitution
207,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",,1.0,Insertion
208,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",,1.0,Insertion
209,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
210,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')","('#euryale #stenone', 'Des gouffres profonds sont ouverts : Ah ! Nous tombons dans les enfers.')",1.43,Substitution
211,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")","('#troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')",1.63,Substitution
212,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")","('#phinee', ""Persée est de retour, chacun court l'honorer ; Et le bonheur public va me désespérer ! Non, non, il n'est plus temps qu'un vain espoir m'abuse."")",1.49,Substitution
213,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")","('#seconde-troupe-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse.')",1.36,Substitution
214,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
215,"('#un-berger', ""L'ours a passe l'onde noire."")","('#merope', 'Allons en secret soupirer : Non, je ne puis plus me montrer,  Triste comme je suis, interdite et confuse.')",1.87,Substitution
216,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#troisieme-troupe-d-ethiopiens', 'Courons, courons tous admirer Le vainqueur de Méduse. Les Éthiopiens sortent.')",1.09,Substitution
217,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#phinee', ""Nous ressentons mêmes douleurs, Fuyons une foule importune : D'une plainte commune Déplorons nos communs malheurs."")",0.81,Substitution
218,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",,1.0,Insertion
219,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#merope', ""Que l'amour a pour moi de chagrins et d'alarmes. Que Persée à mon coeur coûte de déplaisirs ! Son départ, ses dangers m'ont fait verser des larmes, Et son heureux retour m'arrache des soupirs. Persée est revenu, mais c'est pour Andromède. Pour m'offrir à ses yeux l'ardeur qui me possède M'a fait empresser vainement : Il n'a rien vu que ce qu'il aime ; Il n'a pas daigné même S'apercevoir de mon empressement, Et tous les soins de mon amour extrême N'ont pas été payés d'un regard seulement."")",0.54,Substitution
220,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#phinee', ""Que le ciel pour Persée est prodigue en miracles ! Qui n'eût pas cru qu'un monstre furieux M'aurait débarrassé d'un rival odieux. Cependant, malgré mille obstacles, Mon rival est victorieux. Il s'est fait des routes nouvelles : Il a volé pour hâter son retour ; Et Mercure et l'Amour Ont pris soin à l'envi de lui prêter des ailes. Le peuple croit lui tout devoir : On entend de son nom retentir ce rivage, Le roi s'est empressé d'honorer son courage, Chacun jusqu'en ces lieux l'est venu recevoir. Qu'Andromède a paru contente de la voir ! Quel triomphe pour lui ! quel charmant avantage ! Et pour moi quelle rage, Et quel horrible désespoir ! La mer s'irrite, les flots s'élèvent et s'étendent sur le rivage."")",0.58,Substitution
221,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#phinee #merope', ""Les vents impétueux s'échappent de la chaîne Qui le forçait d'être en repos. Une tempête soudaine Soulève les flots... Mer vaste, mer profonde, Dont les flots sont émus par les vents en courroux, Les coeurs amoureux et jaloux Sont plus agites que votre onde ; Les coeurs amoureux et jaloux Sont cent fois plus troublés que vous."")",0.69,Substitution
222,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",,1.0,Insertion
223,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",,1.0,Insertion
224,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")","('#idas #ethiopiens', 'Ô ciel inexorable ! Ô malheur déplorable !')",1.64,Substitution
225,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')",,1.0,Insertion
226,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')","('#phinee #merope', ""Qui pourrait traverses ces trop heureux amants ? D'où naissent vos gémissements ? Aux Éthiopiens."")",1.07,Substitution
227,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')","('#idas', ""L'implacable Junon cause notre infortune ; Elle arme contre nous l'empire de Neptune ; Un monstre en doit sortir, qui viendra dévorer L'innocente Andromède ; Et Thétis et ses soeurs viennent de déclarer Qu'il n'est plus permis d'espérer De voir finir nos maux sans ce cruel remède. Les Tritons ont saisi la princesse à nos yeux ; Et le pouvoir des dieux Nous a rendus tous immobiles. C'est sur ces bords qu'au monstre on la doit exposer. Pour son secours Persée en vain veut tout oser ; Ses efforts seront inutiles : Il faut céder aux dieux ; il faut céder au sort Dont Andromède est poursuivie. Croyait-on voir fini une si belle vie Par une si terrible mort ? Les Éthiopiens se placent sur les rochers qui bordent le rivage."")",0.77,Substitution
228,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",,1.0,Insertion
229,"('#aminte', 'Aurait-elle mieux répondu ?')",,1.0,Insertion
230,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")","('#idas #ethiopiens', 'Ô sort inexorable ! Ô malheur déplorable ! Princesse infortunée, hélas ! Vous méritiez un sort plus favorable ; Vous ne mériteriez pas  Un si cruel trépas... Ô sort inexorable ! Ô malheur Déplorable !')",1.79,Substitution
231,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")","('#phinee', 'Les dieux ont soin de nous venger : Le plaisir que je sens avec peine se cache.')",1.18,Substitution
232,,"('#merope', 'Verrez-vous sans douleur Andromède en danger ?')",1.0,Deletion
233,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#phinee', ""Est-ce à moi que la mort l'arrache ? C'est à Persée à s'affliger. L'amour meurt dans mon coeur, la rage lui succède ; J'aime mieux voir un monstre affreux Dévorer l'ingrate Andromède, Les appas, les douceurs d'une amour mutuelle, Sont de mon sort fatal les plus terribles coups ; Le fils de Jupiter eût été mon époux ; Ah ! Que ma vie eût été belle ! Dieux ! Qui me destinez une mort si cruelle, etc."")",0.22,Substitution
234,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",,1.0,Insertion
235,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")","('#triton', 'Tremblez, superbe reine... Tremblez, mortels audacieux : Que votre orgueil apprenne Combien votre grandeur est vaine, Tremblez, mortels audacieux : Redoutez le courroux des dieux.')",0.82,Substitution
236,,"('#cassiope', 'Ah ! Quelle vengeance inhumaine !')",1.0,Deletion
237,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#cephee', 'Andromède !')",1.31,Substitution
238,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
239,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
240,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")",,1.0,Insertion
241,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",,1.0,Insertion
242,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')","('#cassiope', 'Ma fille !')",1.42,Substitution
243,,"('#andromede', 'Ô cieux !')",1.0,Deletion
244,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#cassiope', ""Que les dieux sont cruels ! Qu'ils sont ingénieux À faire ressentir leur haine !"")",1.39,Substitution
245,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")","('#cephee', 'Andromède !')",1.27,Substitution
246,,"('#cassiope', 'Ma fille !')",1.0,Deletion
247,,"('#andromede', 'Ô cieux ! Le monstre paraît.')",1.0,Deletion
248,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')",1.87,Substitution
249,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')",1.02,Substitution
250,,"('#andromede', 'Je ne vois point Persée, et je flattais ma peine Du triste espoir de mourir à ses yeux.')",1.0,Deletion
251,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")","('#cephee #cassiope #ethiopiens', 'Voyez voler ce héros glorieux.')",1.36,Substitution
252,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#cassiope #cephee', ""Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté ! Je perds ma fille, hélas ! Le ciel propice Me la donna pour ma félicité, Aujourd'hui le Ciel irrité Veut qu'un monstre me la ravisse. Ciel ! Que j'ai toujours respecté Ne m'avez-vous longtemps conservé la clarté Que pour me faire voir cet affreux sacrifice ? Ah ! Quel effroyable supplice ! Dieux, ô dieux ! Quelle cruauté ! C'est ma funeste vanité, C'est mon crime, grands dieux ! Qu'il faut que l'on punisse. Ma fille n'est pas complice, Et vos foudres vengeurs contre elle ont éclaté ! Dieux ! Pouvez-vous vouloir qu'Andromède périsse ? Sa jeunesse ni sa beauté N'ont-elles rien qui vous fléchisse ? La vertu, l'innocence a-t-elle mérité Les rigueurs de votre justice ?"")",0.12,Substitution
253,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#cephee', 'Ah ! quel effroyable supplice ! Dieux, ô dieux ! quelle cruauté !')",1.55,Substitution
254,,"('#cassiope #cephee', ""Que j'expire en mourant un si funeste crime."")",1.0,Deletion
255,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#cassiope', ""Que par pitié j'obtienne une mort légitime. Cruels ! n'attachez pas ma fille à ce rocher, C'est moi qu'il y faut attacher !"")",0.58,Substitution
256,,"('#choeur', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')",1.0,Deletion
257,,"('#cassiope #cephee', 'Divinités des Flots, Quel courroux vous anime Contre une innocente victime ?')",1.0,Deletion
258,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")","('#choeur', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")",1.42,Substitution
259,,"('#cassiope #cephee', ""C'est notre unique espoir, Faut-il vous l'arracher ? Nos voeux, nos pleurs, nos cris, Rien ne vous peut toucher"")",1.0,Deletion
260,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#andromede', ""Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi flattiez-vous  De l'espoir d'un destin si doux ? Vous dont je tiens la vie Et vous peuple fidèle, Jouissez parmi vous d'une paix éternelle, Je vais fléchir les dieux irrités contre vous. Et si ma mère est criminelle, C'est moi qui dois calmer le céleste courroux ! Par le sang que j'ai reçu d'elle, Heureuse de périr pour le salut de tous. Un souvenir charmant qu'en mourant je rappelle. Les appas, les douceurs d'une amour maternelle Sont de mon triste sort les plus terribles coups. Le fils de Jupiter eut été mon époux ! Ah ! Que ma vie eut été belle ! Dieux ! Qui me destinez une mort si cruelle Hélas ! Pourquoi me flattiez-vous De l'espoir d'un destin si doux ? Tremblez ! Superbe Reine. Tremblez ! Mortels audacieux ! Que votre orgueil apprenne Combien votre grandeur est vaine : Tremblez mortels audacieux ! Redoutez le courroux de Dieux"")",0.0,Match
261,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#choeur-des-tritons', 'Tremblez mortels audacieux ! Redoutez le courroux de Dieux')",1.37,Substitution
262,,"('#cassiope', 'Ah ! Quelle vengeance inhumaine !')",1.0,Deletion
263,,"('#cephee', 'Andromède !')",1.0,Deletion
264,,"('#cassiope', 'Ma fille !')",1.0,Deletion
265,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#andromede', 'Ô cieux !')",0.48,Substitution
266,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')",,1.0,Insertion
267,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#cassiope', ""Que les dieux sont cruels ! qu'ils sont ingénieux À faire ressentir leur haine !"")",1.3,Substitution
268,"('#daphne', 'Il le faut.')",,1.0,Insertion
269,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#cephee', 'Andromède !')",1.11,Substitution
270,,"('#cassiope', 'Ma fille !')",1.0,Deletion
271,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#andromede', 'Ô cieux ! Le monstre paraît.')",1.39,Substitution
272,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#cephee #cassiope #ethiopiens', 'Le monstre approche de ces lieux, Ah, quelle vengeance inhumaine !')",0.78,Substitution
273,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")",,1.0,Insertion
274,"('#leucippe', 'Achevez.')","('#nereides #tritons', 'Tremblez, mortels audacieux, etc.')",0.88,Substitution
275,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#andromede', ""A s'exposer pour moi c'est en vain qu'il s'obstine. Persée vole, et combat le monstre."")",1.43,Substitution
276,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#nereides #tritons', 'Téméraire Persée, arrêtez ; respectez La vengeance divine.')",1.8,Substitution
277,"('#daphne-', ""Ne m'aimez plus."")","('#cephee #cassiope #ethiopiens', ""Magnanime héros, combattez, remportez Le prix que l'amour vous destine."")",0.85,Substitution
278,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')","('#nereides #tritons', 'Le fils de Jupiter brave notre courroux.')",2.0,Substitution
279,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#tous-ensemble', 'Le monstre expire sous ses coups.')",1.44,Substitution
280,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#nereide #triton', ""Junon a vainement cherché notre assistance ; Nous nous vantions en vain d'achever sa vengeance. Et Persée a pour lui des dieux plus forts que nous,"")",0.77,Substitution
281,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')","('#nereides #tritons', ""Descendons sous les ondes : Notre honte se doit cacher ; Allons chercher Des retraites profondes, Descendons sous les ondes. La mer s'apaise ; les flots s'abaissent et se retirent. Les Néréides et les Tritons disparaissent."")",0.8,Substitution
282,,"('#ethiopiens', 'Le monstre est mort ; Persée en est vainqueur ;  Persée est invincible.')",1.0,Deletion
283,,"('#cephee #cassiope', ""Quand l'amour anime un grand coeur, Il ne trouve rien d'impossible."")",1.0,Deletion
284,,"('#cephee #andromede', 'Ah ! Que votre danger me paraissait terrible !')",1.0,Deletion
285,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")","('#ethiopens', 'Le monstre est mort, etc. Les Éthiopiens descendent des rochers, et témoignent leur joie en chantant et en dansant. Des matelots et des matelottes se mêlent dans la réjouissance publique. Un des éthiopiens chante au milieu des matelots qui dansent.')",1.4,Substitution
286,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#un-des-ethiopiens', ""Notre espoir allait faire naufrage ; Nous goûtons enfin un heureux sort. Quel bonheur d'échapper à l'orage ! Quel plaisir d'en retracer l'image, Quand on est au port !"")",0.89,Substitution
287,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#cephee', ""Honorons à jamais le glorieux héros Qui nous donne un heureux repos. Sa valeur, à son gré, fait voler la victoire : Tour-à-tour la terre et les flots Sont le théâtre de sa gloire. Honorons à jamais, etc. Andromède, Cassiope et les Éthiopiens, répètent les vers que Céphée a chantés et les Matelots et les Matelottes dansent en réjouissance de la délivrance d'Andromède."")",0.47,Substitution
288,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#un-des-ethiopiens', ""Que n'aimez-vous ? Coeurs insensibles ! Que n'aimez-vous ? Rien n'est si doux ! Non, ne vous vantez pas d'être invincibles ; Les dieux, les plus grands dieux, ont aimé tous."")",0.65,Substitution
289,,"('#le-choeur', ""Que n'aimez-vous, etc."")",1.0,Deletion
290,,"('#un-des-ethiopiens', ""L'amour n'a plus de traits terribles Pour un coeur qui cède à ses coups."")",1.0,Deletion
291,,"('#le-choeur', ""Que n'aimez-vous, etc."")",1.0,Deletion
292,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#un-des-ethiopiens', ""Pour un amant Tendre et fidèle ; Pour un amant Tout est charmant. L'espoir nourrit ses feux ; sa chaîne est belle ; Il se fait un plaisir de son tourment."")",0.52,Substitution
293,,"('#le-choeur', 'Pour un amant, etc.')",1.0,Deletion
294,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')","('#une-des-ethiopiennes', ""Heureux un coeur qu'amour appelle ! Malheureux, s'il tarde un moment !"")",1.43,Substitution
295,,"('#le-choeur', 'Pour un amant, etc.')",1.0,Deletion
296,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#merope', ""Ô mort ! Venez finir mon destin déplorable. Ma rivale jouit d'un sort trop favorable, Et je souffrirais trop, si je ne mourais pas. Son bonheur m'a rendu le jour insupportable ; La nuit affreuse du trépas Me paraît moins épouvantable. Ô mort ! Venez finir mon destin déplorable. Hélas ! Funeste mort, hélas ! Pour les coeurs fortunés vous êtes effroyable ; Mais vos horreurs ont des appas Pour un coeur que l'amour a rendu misérable. Ô mort ! Venez finir mon destin déplorable."")",0.55,Substitution
