,quinault-isis,cahusac-l-algerien,Cost,Operation Type
229,"('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")","('#osmin', 'En quoi puis-je vous plaire ? Je suis prêt à vous obéir.')",0.49,Substitution
230,,"('#dorise', ""C'est un amour si vif.... Ce n'est plus un mystère... Il est ici. Je veux ou le voir, ou périr. Tu le connais ?"")",1.0,Deletion
231,"('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')","('#osmin', 'Qui donc ?')",1.63,Substitution
232,,"('#axelie', ""Quelqu'un vient ce me semble."")",1.0,Deletion
233,"('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")","('#osmin', 'Pardonnez si je fuis.')",1.07,Substitution
234,,"('#axelie', 'Je vous quitte à regret.')",1.0,Deletion
235,,"('#dorise', 'Dans le bosquet voisin retrouvons-nous ensemble : Je vous apprendrai mon secret.')",1.0,Deletion
236,"('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")","('#hassan', ""Oui, d_Oberval, ainsi pensent les Musulmans : Leur coeur, sans s'arrêter à des recherches vaines, N'aspire qu'à la paix, ne fuit que les tourments : Ce qu'on appelle amour pour eux n'a point de chaînes» Tout fuit dans leurs sérails l'essor de leurs désirs, Si les femmes font leurs plaisirs, Elles ne font jamais leurs peines ; C'est tout ce que mon âme adopte de leurs moeurs."")",0.56,Substitution
237,"('#jupiter', ""La fille d'Inachus."")",,1.0,Insertion
238,"('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")","('#d-oberval', ""Je sens par le chagrin qui me fuit et m'accable, Qu'une passion véritable Peut nous causer le plus grand des malheurs ; Clarice est pour mon coeur une source durable D'ennuis, de regrets de de pleurs. Cependant si l'amour a des jours de tristesse, Il sait répandre aussi la plus aimable ivresse Sur ses plus cruelles rigueurs. Chez nous il est bien plus sentiment que faiblesse, En affectant notre âme, il l'émeut, l'intéresse ; Et franchement le vôtre..."")",0.11,Substitution
239,"('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")","('#hassan', 'Est le seul de bon sens : Nous vivons pour nous-mêmes, de tout flatte nos sens. Sur ce point seul nul souci ne nous presse.')",1.16,Substitution
240,,"('#d-oberval', 'Mais comment reçoit-on de pareils sentiments ?')",1.0,Deletion
241,"('#junon', 'Junon commande Allez, allez, Mercure obéissez.')","('#hassan', ""Fort bien. On nous traite en amants, Et nous n'avons point de maîtresse."")",1.41,Substitution
242,"('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")","('#d-oberval', ""C'est connaître l'amour par ses moindres douceurs. Cette aimable délicatesse Que vous croyez ici le comble des erreurs, Donne seule un prix aux faveurs : C'est elle qui bannit de chez nous la rudesse, Elle calme, adoucit le feu de la jeunesse, Elle pare l'amour des plus tendres couleurs, Elle est l'âme de la tendresse, La source de la politesse, Le piquant des plaisirs, et le charme des coeurs."")",0.24,Substitution
243,,"('#hassan', ""J'adopterais votre système, Si je n'avais passé la saison de l'amour. Mais venons au désir extrême Que j'ai d'aller fixer en France mon séjour."")",1.0,Deletion
244,,"('#d-oberval', 'Je crains que le projet où votre âme se livre Ne séduise trop votre coeur ; Examinez-vous bien avant que de le suivre : Les difficultés me font peur.')",1.0,Deletion
245,"('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')","('#hassan', ""Je sens le prix des jours qui me restent à vivre ; Je veux assurer leur bonheur ; Et pour Alger un fond de répugnance, Des citoyens cruels, de des barbares moeurs, Me font trouver ici l'ennui dans l'opulence, Le chagrin, le dégoût m'accablent, et j'y meurs."")",1.01,Substitution
246,,"('#d-oberval', ""Il ne faut point que votre âme balance, On ne peut fuir avec assez de diligence Un séjour où l'on meurt quand on peut vivre ailleurs. Cependant à voir tout du côté favorable..."")",1.0,Deletion
247,"('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")","('#hassan', ""Je me souviens toujours de ce temps agréable Que nous avons passé vous de moi dans Paris. D'arts, déplaisirs, de jeux quel assemblage aimable ! C'est là que des moments on connaît tout le prix."")",0.48,Substitution
248,,"('#d-oberval', ""Le plaisir, il est vrai, sans cesse s'y varie. Partout ailleurs l'âme languit, On ne fait que traîner sa vie ; Mais à Paris on en jouit."")",1.0,Deletion
249,"('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")","('#hassan', ""Ce peuple heureux semble avoir en partage. L'art de rassembler pour chaque âge Des sociétés, des plaisirs ; Tandis que nous n'avons que le triste avantage De faire partager le poids de nos loisirs À des coeurs malheureux flétris par l'esclavage, Et rampants devant nos désirs"")",0.07,Substitution
250,,"('#d-oberval', ""J'aime à vous voir penser ainsi sur ma patrie, Son goût pour la société À bon droit doit être vanté, Et le vôtre le justifie."")",1.0,Deletion
251,"('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')","('#hassan', ""J'ai vu toutes les Cours, et d'Europe de d'Asie, À la vôtre mon coeur s'est toujours arrêté : Dans ces lieux embellis par l'art et la nature Le ciel a répandu ses faveurs sans mesure. Un Monarque adoré, père de ses sujets, Règle sur leur bonheur de la guerre et la paix, La Justice à ses Lois asservit sa Couronne ; Le zèle de la prudence environnent le Trône, ; Et j'ai vu réunis dans tous les courtisans, La douceur au courage, et la gloire aux talents."")",0.43,Substitution
252,"('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")","('#d-oberval', ""Cher Hassan tous ces traits sont gravés dans mon âme, Et vous peignez d'après mon coeur. Oui. Je me rends. Partons. Même désir m'enflamme. Que Fatmé veuille ou non, laissez-lui son erreur. Vous n'aimez point... D'amour. Votre bonheur....."")",0.71,Substitution
253,"('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')","('#hassan', ""Mais si je vais en France, il me faut une femme ; Et je ne vous cacherai pas Que je verrais avec inquiétude Que l'hymen près de moi ne fixât point ses pas. J'ai pris plaisir, dans cette solitude, À sonder son esprit de j'en fats un grand cas... ; Nous tenons tous à l'habitude... Et vous verrez bientôt combien elle a d'appas."")",0.45,Substitution
254,,"('#d-oberval', ""Je vais de tous mes soins seconder l'entreprise; Et je désire fort que Vous réussissiez."")",1.0,Deletion
255,,"('#clarice', ""On m'avait dit que vous me demandiez."")",1.0,Deletion
256,"('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")","('#hassan', ""Approchez.  C'est Fatmé.  L'amitié m'autorise À souffrir que vous le voyiez. À Clarice. À d'Oberval. À Clarice."")",0.79,Substitution
257,"('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")","('#clarice', 'Je vous avais cru seul excusez ma méprise.')",0.73,Substitution
258,,"('#d-oberval', ""Quelle voix !... Ciel !... Que vois-je !... En croirai-je mes yeux ?... Est-il vrai qu'à ce point le Ciel me favorise !"")",1.0,Deletion
259,,"('#clarice', 'Vous ne vous doutiez pas de trouver dans ces lieux, Sous le nom de Fatmé la nièce de Dorise ?')",1.0,Deletion
260,,"('#d-oberval', 'Cher Hassan quel hasard heureux !... Mon coeur ne peut suffire à cet excès de joie... Se peut-il que je vous revoie ?...')",1.0,Deletion
261,,"('#clarice', 'Contraignez-vous.')",1.0,Deletion
262,,"('#hassan', ""Les Turcs savent-ils bien choisir ?  Convenez qu'on n'a pas le goût meilleur en France."")",1.0,Deletion
263,,"('#d-oberval', ""Oh !... J'en conviens."")",1.0,Deletion
264,,"('#hassan', ""Le Ciel a pris plaisir De la conduire ici par préférence.' N'êtes vous pas charmé..."")",1.0,Deletion
265,,"('#d-oberval', 'Sans doute....')",1.0,Deletion
266,"('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")","('#hassan', 'Sa présence Est le bien le plus doux dont je puisse jouir.')",1.55,Substitution
267,,"('#d-oberval', ""Dans le sérail d'Hassan !... Je n'en puis revenir."")",1.0,Deletion
268,,"('#clarice', 'Rassurez votre contenance, Ou vous allez tout découvrir.')",1.0,Deletion
269,,"('#hassan', 'Votre joie est déjà sur le point de finir ?')",1.0,Deletion
270,"('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')","('#d-oberval', 'Moi !... Point du tout.... ma joie est trop sincère...')",0.91,Substitution
271,"('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")","('#hassan', ""Eh pourquoi donc la retenir ? De toutes les Beautés que mon sérail resserre, Voilà celle que je préfère, Et c'est de votre main que je veux l'obtenir."")",0.39,Substitution
272,,"('#d-oberval', ""Oh ! C'en est trop..."")",1.0,Deletion
273,,"('#clarice', 'Quelle imprudence !')",1.0,Deletion
274,"('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")","('#hassan', ""Elle a quelque scrupule encore ; elle balance ; Mais vous saurez les faire évanouir, J'attends tout de vos soins"")",1.25,Substitution
275,,"('#d-oberval', 'De mes soins !')",1.0,Deletion
276,,"('#hassan', 'Oui sans doute. Vous connaissez mes sentiments.')",1.0,Deletion
277,,"('#d-oberval', 'Il est vrai... Mais...')",1.0,Deletion
278,,"('#hassan', ""Je compte les instants. Examinez-la bien. Jugez ce qu'il m'en coûte, Pour me prêter à ses retardements,"")",1.0,Deletion
279,,"('#d-oberval', ""Oui je juge en effet... Je ne sais que lui dire. Madame... Hassan.. à votre hymen aspire.... Cependant pour pouvoir combattre ses raisons. Il faudrait avant m'en instruire. Il se pourrait que dans le fonds Quelqu'obstacle bien fort.... Bas à Fatmé.  À Clarice.  À Hassan."")",1.0,Deletion
280,"('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")","('#hassan', ""Non, c'est incertitude... Ses alarmes en ma faveur Lui donnent quelqu'inquiétude."")",0.65,Substitution
281,,"('#d-oberval', 'Mais ce motif est pour vous très flatteur.')",1.0,Deletion
282,,"('#hassan', ""Oui, s'il était suivi d'un peu de complaisance, En général des Turcs vous pensez mal en France ; Et je puis sans orgueil imputer se froideur Aux préjugés de sa naissance. Un caprice peut-être entretient sa rigueur ? Gagnez pour moi sa confiance ; Soyez ma caution, répondez de mon coeur."")",1.0,Deletion
283,,"('#d-oberval', ""Très volontiers... Il faut m'armer de patience. Madame, Hassan est... un Turc plein d'honneur Le sort vous a soumise à sa puissance... Dans ce sérail tout doit flatter son espérance : Ses désirs sont des lois... son choix une faveur.... Et la nécessité... Bas.  À Clarice. Tristement."")",1.0,Deletion
284,,"('#clarice', ""L'ingrat doute de ma constance !"")",1.0,Deletion
285,,"('#hassan', ""Remarquez-vous cette aimable rougeur Dont son visage se colore ? Ses yeux plus animés s'embellissent encore... Ce mouvement, sans doute, est un présage heureux. Vous la persuadez."")",1.0,Deletion
286,,"('#d-oberval', ""Ah ! Je suis à la gêne. Cependant... ses refus ( je l'avoue avec peine ) Les craintes, les soupçons qu'elle oppose à vos voeux Pourraient avoir quelque air de vraisemblance... À Hassan."")",1.0,Deletion
287,"('#argus', 'Non !')","('#hassan', 'Ne hasardez donc point un tel propos ici.')",1.07,Substitution
288,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')","('#d-oberval', 'Je me tais, ou je dis toujours ce que je pense.')",1.16,Substitution
289,"('#argus', 'Non, non, on ne la doit point voir')","('#hassan', ""C'est me servir fort mal que de parler ainsi ; Et j'aime mieux votre silence."")",1.65,Substitution
290,"('#hierax', 'Quoi ! Junon me devient contraire ?')","('#clarice', ""Je dois vous éclaircir tous deux, Hassan m'accuse de caprice ; Peut-être d_Oberval aurait-il l'injustice De me croire un défaut encore plus odieux. Je vais vous parler sans mystère. Hassan vous m'êtes cher..."")",1.5,Substitution
291,"('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")","('#hassan', 'Quel discours enchanteur ! Je pourrais espérer de ne vous pas déplaire ?')",1.64,Substitution
292,"('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")","('#d-oberval', 'En pouvez-vous douter ? Madame est trop sincère...')",0.85,Substitution
293,,"('#hassan', 'Cher ami, je vous dois un aveu si flatteur.')",1.0,Deletion
294,,"('#d-oberval', ""À moi !.... L'ingrate ! Bas. "")",1.0,Deletion
295,,"('#clarice', ""Ils sont tous les deux dans l'erreur."")",1.0,Deletion
296,"('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")","('#hassan', ""Il n'est plus rien que je souhaite. Vos bontés à mes yeux augmentent vos appas."")",1.03,Substitution
297,,"('#d-oberval', 'Je suis désespéré : ma disgrâce est complète.')",1.0,Deletion
298,,"('#clarice', ""Je le vois bien, vous ne m'entendez pas."")",1.0,Deletion
299,,"('#hassan', 'Quelle est donc votre idée ?')",1.0,Deletion
300,"('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")","('#clarice', ""Hassan, je le répète : Vous m'êtes cher. Vos vertus, vos bienfaits Sont gravés dans mon coeur, m'occuperont sans cesse, Et je voudrais par ma tendresse Pouvoir remplir tous vos souhaits : Mais de son coeur est-on le maître ? Longtemps avant de vous connaître. L'Amant le plus amiable de le plus amoureux..."")",0.11,Substitution
301,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")","('#hassan', ""En voilà plus que je ne veux. N'achevez pas."")",1.7,Substitution
302,"('#hierax', 'Ô Dieux !')","('#d-oberval', ""Grâce au Ciel, je respire. J'avais prévu quelqu'obstacle puissant, Et j'avais eu le soin de vous le dire. À Hassan."")",1.18,Substitution
303,"('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")","('#hassan', 'Je ne puis revenir de mon étonnement. Et cet amour est-il si violent, Que rien ne puisse le détruire ? À Clarice.')",0.59,Substitution
304,"('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")","('#clarice', ""Non, il est au-dessus de tout événement. Sans nul espoir de revoir mon amant, Il conservait sur moi toujours le même empire. De mon amour tous ces lieux sont témoins : En vain votre amitié, vos bienfaits, de vos soins Adoucissaient mon esclavage Je faisais cas de votre hommage, Je vous plaignais, je n'en aimais pas moins, Et j'en souffrais bien davantage."")",0.3,Substitution
305,"('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")","('#d-oberval', ""Ah ! Je vous reconnais à cet amour constant... Pour le coeur du Français que vous croyez volage... L'amour.... devient... quand il l'engage Une espèce d'enchantement. En France en tout on est extrême... Le Français ordinairement S'attache à l'excès quand il aime ; Il n'est léger que lorsqu'il est indifférent. Moi (sans vouloir me citer pour modèle) D'une maîtresse jeune de belle J'ai su vainement le trépas : Vous m'avez vu rempli de mon ardeur fidèle, Ne vous entretenir que de sa mort cruelle, De mes malheurs, de ses appas, Et mon dernier soupir sera pour elle. Hassan sait un mouvement de surprise. D'Obercal troublé continue."")",0.61,Substitution
306,,"('#clarice', ""Je serai comme vous. Il n'est point de danger..."")",1.0,Deletion
307,,"('#hassan', ""Et c'est-là cet amour que vous vantez en France !"")",1.0,Deletion
308,,"('#d-oberval', 'Mais... sans doute...')",1.0,Deletion
309,,"('#hassan', ""L'amour n'est qu'une extravagance. Elle fera sagement de changer. Fatmé, rentrez. Clarice rentre."")",1.0,Deletion
310,"('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')","('#hassan', ""J'ai peine à me défendre D'un transport dangereux que je veux réprimer."")",1.81,Substitution
311,,"('#d-oberval', 'Quoi ? Voudriez-vous cesser de vous faire estimer ?')",1.0,Deletion
312,,"('#hassan', 'Quel aveu !... Que viens-je entendre ?')",1.0,Deletion
313,,"('#d-oberval', 'Mais, Hassan...')",1.0,Deletion
314,,"('#hassan', ""Laissez-moi. Trop ingrate Fatmé... Une Esclave !... Avouer un amour qui m'offense... Je sens que mon sang allumé Me pousserait à quelque violence. Sortons."")",1.0,Deletion
315,,"('#d-oberval', ""Vraiment ceci prend un fort mauvais tour. La circonstance est périlleuse... Elle aurait dû se taire.... Oui... je vois peu de jour. En vain l'âme d'Hassan est noble et généreuse.... Je connais la façon dont les Turcs font l'amour..."")",1.0,Deletion
316,"('#argus', 'Liberté, liberté.')","('#osmin', 'Monsieur ?')",0.75,Substitution
317,,"('#d-oberval', ""Qu'est-ce ?"")",1.0,Deletion
318,,"('#osmin', 'Pardon, un mot.')",1.0,Deletion
319,"('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')","('#d-oberval', 'Je vous écoute.')",1.69,Substitution
320,,"('#osmin', ""Est-ce vous par hasard qu'on nomme d_Oberval ?"")",1.0,Deletion
321,,"('#d-oberval', 'Moi-même.')",1.0,Deletion
322,,"('#osmin', 'Et François, sans doute ?')",1.0,Deletion
323,,"('#d-oberval', 'Oui.')",1.0,Deletion
324,"('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')","('#osmin', ""J'en ai, je vous jure, un plaisir sans égal. Je suis Français aussi. Pour le pays natal Je conserve un amour si tendre... !"")",1.49,Substitution
325,,"('#d-oberval', ""De quoi s'agit-il donc ? Parlez ; je suis pressé."")",1.0,Deletion
326,"('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")","('#osmin', ""Quelqu'un pourrait-il nous entendre !... Vous voilà du Patron, je crois, débarrassé."")",1.38,Substitution
327,,"('#d-oberval', 'Nous sommes seuls.')",1.0,Deletion
328,,"('#osmin', ""Bien fait, jeune comme vous l'êtes..."")",1.0,Deletion
329,,"('#d-oberval', ""Je n'aime point l'éloge. Après."")",1.0,Deletion
330,,"('#osmin', ""Un bon esprit, Sans haïr l'éloge, en rougit. Mais les conquêtes que vous faites..."")",1.0,Deletion
331,"('#hierax #argus', 'Que voulez-vous ?')","('#d-oberval', 'Oh ! Finissons cet entretien. Que voulez-vous ? Puis-je vous être utile ?')",0.67,Substitution
332,,"('#osmin', ""Non, Monsieur, c'est moi qui..."")",1.0,Deletion
333,,"('#d-oberval', ""Je n'ai besoin de rien. Adieu."")",1.0,Deletion
334,,"('#osmin', ""Vous êtes difficile... Je serai court. Daignez m'écouter un instant. En l'arrêtant."")",1.0,Deletion
335,"('#choeur-des-nymphes', 'Liberté, liberté.')","('#d-oberval', 'Voyons.')",0.69,Substitution
336,,"('#osmin', ""Une Française à ses serments fidèle. Dont vous êtes l'heureux amant."")",1.0,Deletion
337,,"('#d-oberval', 'Eh bien cher ami que fait-elle ?')",1.0,Deletion
338,,"('#osmin', ""Vous n'êtes plus si preste maintenant."")",1.0,Deletion
339,,"('#d-oberval', ""J'étais pour elle en ce moment D'une inquiétude mortelle."")",1.0,Deletion
340,,"('#osmin', ""C'est bien fait. Elle vous le rend, Sans doute même avec usure."")",1.0,Deletion
341,,"('#d-oberval', ""Rien n'égale l'amour que mon âme ressent[.]"")",1.0,Deletion
342,,"('#osmin', ""De cet amour je connais la nature. J'étais en France un aimable, un brillant, Un fat complet, et presqu'un petit-maître..."")",1.0,Deletion
343,,"('#d-oberval', ""Moi je ne le suis point, j'aurais honte de l'être."")",1.0,Deletion
344,,"('#osmin', ""Je vous en fais mon compliment. C'est pourtant un état charmant."")",1.0,Deletion
345,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")","('#d-oberval', ""Mais de sa part enfin qu'aviez-vous à me dire ?"")",0.21,Substitution
346,,"('#osmin', ""Je ne l'oubliais pas ; je vais vous en instruire."")",1.0,Deletion
347,,"('#d-oberval', 'Eh ! Dépêchez-vous donc.')",1.0,Deletion
348,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")","('#osmin', 'Dans une heure au plus tard Et pas plus tôt. Venez dans ce lieu même.')",1.7,Substitution
349,,"('#d-oberval', ""Et j'y verrai l'objet que j'aime ?"")",1.0,Deletion
350,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")","('#osmin', ""Oui. Je crois qu'un heureux hasard Alors pourra bien l'y conduire. Y viendrez-vous ?"")",1.84,Substitution
351,,"('#d-oberval', ""Si j'y viendrai ?"")",1.0,Deletion
352,"('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")","('#osmin', ""J'entends. Vous serez tous les deux contents . J'aurai soin de le lui redire... Croyez-moi cependant, éloignez-vous d'ici : Hassan, pour dissiper l'ennui Que sur nos jours ses fers pourraient répandre, Voudrait remplir tous nos moments Par de nouveaux amusements. Ses Esclaves ici doivent bientôt se rendre. Par leurs danses, et par leurs chants... Mais ils viennent, je les entends. Adieu. Gardez-vous bien de vous laisser surprendre."")",0.69,Substitution
353,"('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")","('#d-oberval', ""Je ne vois plus personne dans ces lieux. Clarice doit bientôt s'y montrer à mes yeux.... Mon impatience est extrême ; Que les plus courts moments paraissent ennuyeux, Lorsqu'on attend ce que l'on aime ! Dans la conjoncture où je suis Tout m'alarme, tout m'inquiète. J'ai pour Hassan une amitié parfaite, Je partage sa peine en causant ses ennuis... Dans le fonds sa tendresse a peu de violence ; Le bonheur d'un ami doit balancer ses droits : Il m'en a fait la confidence, Pour elle il n'a qu'un goût de préférence, Et c'est sans passion qu'il en a fait le choix... Il faut lui découvrir... Mais c'est lui que je vois...'. Que je fuis malheureux ! Il fera fuir Clarice."")",0.79,Substitution
354,"('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")","('#hassan', ""Cher d_Oberval, je vous cherchais, Vous m'avez fait peut-être l'injustice De juger mal de mes projets..."")",1.26,Substitution
355,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")","('#d-oberval', ""Il est vrai qu'aux transports que vous faisiez paraître..."")",1.82,Substitution
356,"('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")","('#hassan', ""Apprenez-donc à me connaître. Jusqu'à ce jour de tous mes mouvements, J'ai, grâce au Ciel, assez été le maître, Et j'ai suivi de mes plus jeunes ans, La raison, ou du moins, ce que nous croyons l'être."")",0.93,Substitution
357,"('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")","('#d-oberval', ""Ainsi toujours maître de vous, Fort généreux d'ailleurs, Fatmé dans sa Patrie Libre avec son amant, au gré de son envie, Ira bientôt jouir du destin le plus doux ?"")",0.0,Match
358,,"('#hassan', 'Non, Point du tout.')",1.0,Deletion
359,"('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')","('#d-oberval', 'Quoi donc ! quand elle en aime un autre ; Vous voudriez la forcer à recevoir vos voeux ? Quel coeur assez tyran !... Je juge mieux du vôtre...')",0.16,Substitution
360,,"('#hassan', ""J'espère ...."")",1.0,Deletion
361,,"('#d-oberval', ""Hassan, c'est un projet affreux Pour vous en détourner...."")",1.0,Deletion
362,,"('#hassan', ""Mais daignez-donc m'entendre..."")",1.0,Deletion
363,"('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")","('#d-oberval', ""L'intérêt qu'en vous je dois prendre Peut seul causer ma crainte, de j'aurais du chagrin...."")",0.65,Substitution
364,,"('#hassan', ""Mais ce n'est pas-là mon dessein : Votre crainte est fort déplacée."")",1.0,Deletion
365,,"('#d-oberval', 'Et quelle est donc votre pensée ?')",1.0,Deletion
366,"('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")","('#hassan', ""Si vous m'aviez donné l'instant de vous parler, Vous la sauriez déjà..."")",1.13,Substitution
367,,"('#d-oberval', ""Je brûle de l'apprendre."")",1.0,Deletion
368,"('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")","('#hassan', 'Eh bien, pour ne vous rien celer, Mon coeur vient, cher ami, de se laisser surprendre... Peut-être votre amour est-il contagieux.')",0.94,Substitution
369,,"('#d-oberval', 'Je ne vous comprends point.')",1.0,Deletion
